lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD73-5xFAD-M2liver_033123,FAD131-5xFAD-M1liver_033123,FAD131-5xFAD-M2liver_033123,FAD131-5xFAD-M4liver_033123,FAD173-5xFAD-M1liver_033123,DOD73m2_500x_N1__liverLD__8_8_23,FAD131m1_500x_N1__liverLD__8_8_23,FAD131m2_500x_N1__liverLD__8_8_23,FAD131m4_500x_N1__liverLD__8_8_23,FAD173m1_500x_N1__liverLD__8_8_23,Blank_500x_N1__liverLD__8_8_23
C14:1,-5.214550799098387,15.440550456205814,445.92168153898524,5.567746011855365e-99,1.7148657716514525e-97,5,5,Time Period_ Older Data,Time Period_ New Data,FA,319819.1005859375,318049.23974609375,305547.70166015625,315566.4853515625,307396.82080078125,770915.7314453125,761247.0703125,627102.865234375,711979.046875,900056.4013671875,590455.8642578125
Lyso_PI(16:1) | PI (16:1),-5.114701295824139,7.065281305498256,430.6536093142726,1.17119788992801e-95,3.435513810455496e-94,5,5,Time Period_ Older Data,Time Period_ New Data,PI,972.7800750732422,973.1600761413574,962.820068359375,973.4800643920898,961.260066986084,1890.360122680664,2408.700168609619,2235.4601440429688,2456.420177459717,1883.040126800537,2255.3001747131348
PCo(40:2),4.452319186214211,11.071791819894095,348.8954813052042,7.37335712700685e-78,2.064539995561918e-76,5,5,Time Period_ Older Data,Time Period_ New Data,PC,839597.7322387695,894062.2902526855,1017411.5369873048,161827.91534423828,336042.1649169922,1901.02014541626,2049.6401710510254,1642.1401290893557,1813.9401245117188,2141.580146789551,1761.880126953125
PC (34:5),4.289796406367037,11.06332903171084,329.00151075052304,1.5858446173135807e-73,4.2473055837615903e-72,5,5,Time Period_ Older Data,Time Period_ New Data,PC,723626.2180786133,859554.1729736328,874605.430480957,144593.35220336914,607340.8925170898,1848.340133666992,2116.6601524353027,2703.8201942443848,1947.0601539611816,1939.6801490783691,1845.4201316833496
PI (36:4),4.102772752993405,11.225611079255579,306.45587374415356,1.2921200240199752e-68,3.316441394984603e-67,5,5,Time Period_ Older Data,Time Period_ New Data,PI,751446.2164001465,384700.76596069336,1017975.4953308104,121349.4871673584,1295144.963256836,2198.3001441955566,3105.860210418701,3505.340274810791,2595.960174560547,1976.1401290893557,1911.3801345825195
SM (d18:2/20:1),4.066407528254904,11.173302923589949,302.0741110199217,1.1638514123902294e-67,2.8677298801295253e-66,5,5,Time Period_ Older Data,Time Period_ New Data,SM,720453.3782348633,878933.5264892578,957438.400604248,246801.98498535156,627724.1118774414,3116.6802673339844,3113.6402282714844,1720.3401260375977,2175.120143890381,3103.4602394104004,2146.74015045166
PE (16:1),-4.041887804141869,7.001091618845664,298.233315070508,7.992382165017506e-67,1.8935797744810706e-65,5,5,Time Period_ Older Data,Time Period_ New Data,PE,1940.960132598877,1934.780158996582,1941.040138244629,1917.200122833252,2016.1801490783691,2186.300148010254,1974.980136871338,2082.340156555176,2114.9401512145996,2046.620147705078,1867.4601402282717
PC (36:6),4.026941307084375,11.37077174295029,297.4251617052006,1.1988085960852798e-66,2.735059611809379e-65,5,5,Time Period_ Older Data,Time Period_ New Data,PC,900876.9567260742,1000760.827392578,1160095.8842773438,197628.83331298828,681907.6862182617,2233.1001472473145,3476.500286102295,3791.2602195739746,2445.9801902770996,3612.6002883911137,1940.720142364502
PCo(40:5),3.963984560442425,10.928163769813903,289.7632207102652,5.59948970206074e-65,1.2318877344533628e-63,5,5,Time Period_ Older Data,Time Period_ New Data,PC,752088.2249145508,810585.9423675537,905071.0111694336,102179.58813476562,316379.64697265625,2361.4801712036133,3489.520206451416,1817.0001525878904,2236.4201736450195,2035.3601417541504,1908.780143737793
PCo(36:5),3.929808284843329,10.947153953343227,285.72214850692865,4.2528980058166824e-64,9.033741970976126e-63,5,5,Time Period_ Older Data,Time Period_ New Data,PC,468100.8109741211,941975.0394287108,1004706.1619873048,153994.93035888672,359164.9714355469,2786.380210876465,3330.2002029418945,1892.3801574707031,2253.5001373291016,2116.12015914917,1796.700122833252
"Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester",3.9094600891347624,12.834916985800689,283.7417502055247,1.1487430563532556e-63,2.3587524090453516e-62,5,5,Time Period_ Older Data,Time Period_ New Data,CAR,1986488.38671875,1945987.927734375,2178149.1953125,2035685.748046875,2569833.62109375,10155.3207321167,9352.960670471191,10308.940742492676,8214.500560760498,8232.220615386963,7081.680503845215
Lyso_PS(16:1) | PS (16:1),-3.905141722595683,6.955057732606673,281.94962133838203,2.823222073091285e-63,5.6100154742717145e-62,5,5,Time Period_ Older Data,Time Period_ New Data,PS,1997.2201499938965,2147.080146789551,1966.420139312744,1978.420139312744,2068.980155944824,1961.660140991211,1962.8201370239256,1959.2801551818848,1965.8001441955569,2012.380146026611,1959.220142364502
PCp(36:5),3.863801791789041,10.880948818707129,277.90791098524176,2.145381761190522e-62,4.129859890291755e-61,5,5,Time Period_ Older Data,Time Period_ New Data,PC,783763.1045532227,521462.2561645508,977016.6969299316,146286.6517944336,353833.22888183594,2878.2402381896973,2381.440158843994,2729.400230407715,2202.440174102783,2111.680145263672,1721.6601371765137
PC (34:6),3.691663980673661,10.393319219976158,257.62502715708814,5.652134407093773e-58,1.055065089324171e-56,5,5,Time Period_ Older Data,Time Period_ New Data,PC,462053.4729614258,519589.2384033203,508706.4399719238,87773.98620605469,371943.336517334,2283.660140991211,1731.9801330566406,1890.7601356506348,1931.7201385498047,1874.8001289367676,2155.2601585388184
Lyso_PC(16:0),-3.658325627251911,10.283158343124509,254.3648297705381,2.9033516891864476e-57,5.2601901192319165e-56,5,5,Time Period_ Older Data,Time Period_ New Data,PC,26650.501983642574,26685.421646118164,29808.80212402344,20709.961517333984,23065.50161743164,23840.12152862549,22666.861389160156,27631.10167694092,12861.000923156738,17099.08143234253,13719.580963134766
"O-oleoylcarnitine, Elaidic carnitine",3.5693404867666056,12.87210711613003,244.13274337064374,4.93871913296219e-55,8.692145674013455e-54,5,5,Time Period_ Older Data,Time Period_ New Data,CAR,1979574.865234375,1972617.470703125,2185124.79296875,2032419.55078125,2574827.34375,11997.22085571289,11189.280807495115,12544.741039276125,11605.16082763672,11277.860801696776,11667.48078918457
PC (36:2),-3.472645711980498,14.179456026162047,233.24170587785193,1.1705813635149822e-52,2.0029947775700806e-51,5,5,Time Period_ Older Data,Time Period_ New Data,PC,568137.9635009766,595438.1477050781,700129.7864990234,144939.9888305664,421310.82678222656,515803.4843673706,449463.8835449219,315851.0205345154,159263.05183410645,311282.93786239624,7865.340538024902
PC (34:2),-3.4062808768635318,14.637237416454083,225.76970578157488,4.9881069804587545e-51,8.304524053952954e-50,5,5,Time Period_ Older Data,Time Period_ New Data,PC,784041.4350280762,935222.17626953125,982057.9860534668,140906.18795776367,647045.6148986816,302527.4062728882,987141.1896209716,688741.2252655029,191823.49026489255,238129.79373550415,7078.560470581055
PC (36:4),-3.379910966857076,14.542676771408548,222.81766516316566,2.196829356535524e-50,3.561176009541796e-49,5,5,Time Period_ Older Data,Time Period_ New Data,PC,760033.3044433594,837896.5888671875,974832.0047607422,185219.61328125,569375.0965576172,469848.0016479492,709817.2920417786,457933.04595184326,178988.45598602295,433232.8134193421,3069.2602157592773
PCo(40:1),3.3514175010449616,11.283542789658355,219.3593206349176,1.2477655853077243e-49,1.9708297449988673e-48,5,5,Time Period_ Older Data,Time Period_ New Data,PC,830832.1791381836,920457.9158935548,1005666.2827758788,161389.74995422363,663375.5046691895,5246.4404220581055,4953.360363006592,4246.8002853393555,2774.920196533203,5443.140335083008,2053.080146789551
PI (36:1),3.335939835043653,10.138111755553007,217.2934386533218,3.52184233463609e-49,5.4236371953395793e-48,5,5,Time Period_ Older Data,Time Period_ New Data,PI,175940.4327392578,472436.0231933594,690620.6750488281,44362.10314941406,227982.9351806641,1925.7401390075684,2100.620143890381,2161.960159301758,2051.040145874023,1956.5001335144043,1911.1801528930664
Lyso_PS(14:1) | PS (14:1),3.1910952868722884,9.9914257777213,201.38836153440482,1.0395980226790571e-45,1.5619326389519492e-44,5,5,Time Period_ Older Data,Time Period_ New Data,PS,288447.541015625,278448.2626953125,285210.34033203125,284993.84033203125,279395.0400390625,1960.6801300048828,2030.240135192871,2036.2001457214355,1993.5201416015625,2031.1801414489744,2028.3001594543457
PCo(38:3),3.08144606004636,10.997680666559875,189.9069977137728,3.331435873831225e-43,4.8861059482857964e-42,5,5,Time Period_ Older Data,Time Period_ New Data,PC,689423.0865478516,705263.1522216797,814627.7904052734,167210.53033447266,501402.9344482422,2905.4802017211914,5088.6003341674805,4563.380256652832,4448.580253601074,4860.480270385742,2006.3601455688477
PCo(38:6),3.0223839333143507,10.785134776546002,183.60226241669648,7.923960406281252e-42,1.135153397737035e-40,5,5,Time Period_ Older Data,Time Period_ New Data,PC,582056.95068359375,607127.09033203125,695986.553894043,148801.27026367188,432988.03271484375,4554.020351409912,5249.280403137207,3664.280242919922,2922.420211791992,3266.0602378845215,2076.480140686035
Lyso_PS(17:0) | PSo (18:0),3.0230879455771835,9.843546970618087,183.39385357652006,8.799170032207364e-42,1.231883804509031e-40,5,5,Time Period_ Older Data,Time Period_ New Data,PS,249903.978515625,252658.478515625,252323.71630859375,256716.05859375,249314.556640625,1960.9201431274416,2131.3801612854004,1959.1601219177248,1958.6801528930664,2048.580135345459,1960.3001403808591
PC (32:0),-2.9867076962372203,11.467150841760674,180.1032676890556,4.601218171424114e-41,6.29855643021612e-40,5,5,Time Period_ Older Data,Time Period_ New Data,PC,87605.00549316406,103570.56823730467,105829.28735351562,40026.24304199219,155206.69314575195,52666.54346084595,72336.8846321106,56514.60353088379,27061.201808929443,44950.10347366333,5839.080394744873
PCo(36:4),2.9610330236517615,10.810239743012698,177.1680014436666,2.012737182423841e-40,2.695317618202361e-39,5,5,Time Period_ Older Data,Time Period_ New Data,PC,455518.5846557617,949968.351135254,570680.9780883789,155839.90942382812,369303.241027832,4580.040264129639,4339.740348815918,4330.040241241455,3041.5002250671387,4440.760341644287,1917.4401321411133
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",2.8856026278443103,12.172520259438361,169.50325358824293,9.49864739708977e-39,1.2449291056611272e-37,5,5,Time Period_ Older Data,Time Period_ New Data,CAR,1152357.54296875,1170740.322265625,1251187.7265625,1192738.005859375,1485295.001953125,10999.46078491211,10954.660766601562,11684.840850830078,10311.9407081604,10876.40079498291,11294.42084121704
SM (d18:1/16:0),-2.850109539598787,9.883433002147946,165.85393755283758,5.953495589585238e-38,7.640319339967724e-37,5,5,Time Period_ Older Data,Time Period_ New Data,SM,40429.74295043945,32817.222564697266,36800.22250366211,27168.542205810547,31111.06231689453,26014.34148788452,13929.161003112791,9200.620567321776,15654.661128997805,13966.68096923828,6372.460460662842
PC (36:3),-2.790605723400938,13.63969225124952,159.8858280999102,1.1983773040728613e-36,1.5065314679773113e-35,5,5,Time Period_ Older Data,Time Period_ New Data,PC,597560.9814453125,612617.8272094727,739310.6051025391,154134.61279296875,454349.3288574219,216344.19340515137,405973.8032569885,231688.31662368777,93438.30642700195,203963.45601272583,3750.120258331299
PCo(38:5),2.74306260378701,10.81854039232653,154.88100662372085,1.486611698657438e-35,1.8315056127459636e-34,5,5,Time Period_ Older Data,Time Period_ New Data,PC,592686.9577636719,615361.8306884766,669558.3651123047,151266.24865722656,443355.4483642578,5009.740383148193,5881.560474395752,5142.880298614502,2667.920207977295,5199.380336761475,1736.3401222229004
PCo(40:6),2.7313990231740806,10.63417798682365,153.68118038503297,2.7189675625755515e-35,3.284086310875568e-34,5,5,Time Period_ Older Data,Time Period_ New Data,PC,745074.5775756836,424178.8273925781,484401.71130371094,167351.8687133789,311635.0610961914,3489.180233001709,5442.180366516113,3836.240261077881,4175.26029586792,3846.7802543640137,3636.620250701904
PCo(36:1),2.631372328855669,11.023040605176277,143.86513040673333,3.802578031643824e-33,4.5045924374857614e-32,5,5,Time Period_ Older Data,Time Period_ New Data,PC,614993.4243774414,720669.8525390625,770322.5883483887,205261.41705322263,486995.0041503906,7136.500484466553,7910.620574951172,4619.240329742432,4301.680335998535,5292.300354003906,3370.000259399414
1-O-lignoceroyl-Cer(d18:1/16:0),2.624286061719881,9.382763068165769,142.80466658465605,6.485445690522909e-33,7.537801028985116e-32,5,5,Time Period_ Older Data,Time Period_ New Data,Cer,128046.36904907228,237023.6909790039,280851.90058898926,27560.402072906498,214795.79314422607,1793.0601272583008,2008.6001434326172,1715.8201179504397,1944.8001327514648,1781.4201164245603,1810.0001373291016
PI (44:5),-2.585052420253386,7.035060254395175,138.83129667796365,4.795010351625613e-32,5.469863660372921e-31,5,5,Time Period_ Older Data,Time Period_ New Data,PI,4759.480327606201,4693.3603439331055,4978.240352630615,4999.880352020264,5262.280342102051,1926.4801445007324,1920.7801246643064,1913.1801376342771,1923.5601348876953,1918.7801361083984,1984.2601470947263
PCp(42:4),2.5543021187232853,9.490316331409238,136.101025545761,1.8963251170164698e-31,2.123884131058446e-30,5,5,Time Period_ Older Data,Time Period_ New Data,PC,220962.33239746097,232728.4000244141,234871.7990722656,81261.625,178926.99169921875,1972.520133972168,2060.800151824951,2075.620147705078,1627.7601318359375,2685.2002029418945,1749.7001266479492
PI (44:2),-2.549264538549922,7.045562912366681,135.40433057913248,2.6933746249946856e-31,2.9627120874941542e-30,5,5,Time Period_ Older Data,Time Period_ New Data,PI,4389.420295715332,6256.400451660156,4741.180328369141,5717.980407714844,4386.480316162109,1926.6001472473145,2008.760139465332,1913.4401359558103,1913.9801445007324,1917.080139160156,1959.660144805908
PS (24:0),2.5299029825996677,9.396761812767188,133.7427149804099,6.219489981922709e-31,6.721413734849805e-30,5,5,Time Period_ Older Data,Time Period_ New Data,PS,176893.412109375,173710.23168945312,176115.37280273438,179022.11303710938,171642.31201171875,1961.1801300048828,1963.5601387023928,1958.880142211914,2002.0601348876953,1959.5201416015625,1959.160140991211
PI (44:1),-2.508948574439451,7.043272189283923,131.56880506052192,1.8591746075592276e-30,1.9411043360279394e-29,5,5,Time Period_ Older Data,Time Period_ New Data,PI,4653.120300292969,4883.3603439331055,5556.5803871154785,5518.280380249023,5440.140407562256,1926.020149230957,1920.5401344299316,1914.1001358032229,1931.060146331787,1916.7201309204104,1968.540138244629
SM (d18:0/24:0),2.503761769892479,11.096573563880009,131.59770098462764,1.832308185659376e-30,1.9411043360279394e-29,5,5,Time Period_ Older Data,Time Period_ New Data,SM,676515.6820678711,717473.2960205078,835963.300201416,148548.39166259766,549030.677734375,9731.22064590454,8879.800827026367,2919.6601943969727,4593.060325622559,7329.220569610596,2386.8601875305176
PI (44:0),-2.5073671123747854,7.042243823874542,131.42263764843875,2.0012339691821727e-30,2.054600208360364e-29,5,5,Time Period_ Older Data,Time Period_ New Data,PI,5417.240333557129,5224.580406188965,5781.740432739258,4642.240367889404,5170.680328369141,1925.5001373291016,1918.2201309204104,1921.440143585205,1972.640151977539,1915.7401428222656,1910.800136566162
PCo(42:2),2.5043061541891074,9.545151708173625,131.3686446036813,2.0564124644603113e-30,2.076639472307462e-29,5,5,Time Period_ Older Data,Time Period_ New Data,PC,218803.4001464844,228941.1776123047,240711.1385498047,107823.96826171876,181784.9716796875,2275.7401580810547,2930.4202156066895,2232.980152130127,1943.1201362609863,1786.780128479004,1925.1801681518557
PC (52:0),-2.47205492293925,6.857741819836143,128.01701911802513,1.1128459919890622e-29,1.1056663404278425e-28,5,5,Time Period_ Older Data,Time Period_ New Data,PC,5093.220409393311,5168.360336303711,5260.940338134766,3772.8202743530273,4475.400321960449,1603.7401161193848,2002.5001373291016,1700.140121459961,1552.2001190185547,1688.320125579834,1620.2401123046875
PCo(36:3),2.4487778928743245,10.623504221524907,126.37340099643535,2.547450433708795e-29,2.490840424070822e-28,5,5,Time Period_ Older Data,Time Period_ New Data,PC,455566.5986022949,542054.8340454102,576126.9697875977,154595.12796020508,362100.7457885742,3916.1202812194824,7175.960521697998,4608.960399627686,4084.880332946778,4967.020343780518,2008.3401489257812
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",2.4377235824067354,11.527515853128364,125.42609846130142,4.1059983785981683e-29,3.952023439400737e-28,5,5,Time Period_ Older Data,Time Period_ New Data,CE,760286.1535644531,790383.5528564453,806346.02099609375,698403.88818359375,756955.7144775391,9208.660648345947,8974.660652160645,8880.080661773682,9049.5206489563,9441.820629119871,8629.540618896484
PI (44:10),-2.4194801429281254,7.046260323063214,123.20591730268792,1.2570227426954392e-28,1.1912707838467548e-27,5,5,Time Period_ Older Data,Time Period_ New Data,PI,6413.640449523926,5089.140342712402,5335.820381164551,4503.700340270996,6348.360420227051,1926.380146026611,1920.020149230957,1913.3001251220703,1919.2201499938965,1916.4401321411133,1912.020149230957
PE (20:5),2.414591531278917,9.445787720495185,122.96257688313753,1.4210404259922504e-28,1.3263043975927671e-27,5,5,Time Period_ Older Data,Time Period_ New Data,PE,183788.17309570312,184050.43310546875,173841.11206054688,183633.13330078125,171930.21264648438,1925.3001327514648,2164.260154724121,2292.3601608276367,2414.6001586914062,2098.1601524353027,1981.8001441955569
SM (d18:0/22:0),2.406993299859463,11.550075407259248,122.57953235726563,1.7236551462208132e-28,1.5847336866746582e-27,5,5,Time Period_ Older Data,Time Period_ New Data,SM,923036.9236450196,993563.8188781738,1115973.9252319336,194385.0180053711,740528.6936645508,20240.3016204834,10516.020622253418,4378.720375061035,4898.680328369141,8585.880535125732,3290.440254211426
PI (44:6),-2.3987920376774663,7.060535582088582,121.30618425727069,3.274810429014571e-28,2.966592976872023e-27,5,5,Time Period_ Older Data,Time Period_ New Data,PI,5802.000442504883,6478.780487060547,5968.880416870117,5061.660354614258,5061.760353088379,1926.18013381958,1987.10013961792,1913.8201446533203,1944.9401473999023,1915.9001426696775,1912.040138244629
PI (44:12),-2.395879278313525,7.079114163699402,121.03793962755076,3.748934307794528e-28,3.346874686378883e-27,5,5,Time Period_ Older Data,Time Period_ New Data,PI,5548.220367431641,5533.06037902832,5675.80041885376,5927.400413513184,5679.000392913818,1992.1401443481443,1920.3401260375977,1935.9201278686523,1913.8401374816897,1916.5601501464844,2071.540153503418
PE (38:4),-2.3758935983104204,11.790597505301987,119.78836745640274,7.03827860914525e-28,6.19368517604782e-27,5,5,Time Period_ Older Data,Time Period_ New Data,PE,204145.89587402344,206024.89721679688,253955.27520751953,62964.964599609375,178099.03649902344,68160.64474868774,79806.80770111084,78572.26818466187,7798.80069732666,70999.56424713135,1964.7801399230957
PI (44:3),-2.3741999666523013,7.0762100023486365,119.05960272712954,1.016294317003324e-27,8.8174267503387e-27,5,5,Time Period_ Older Data,Time Period_ New Data,PI,6047.040420532227,6128.100433349609,6118.840393066406,5255.780326843262,5560.780426025391,1925.8401412963867,1920.3601379394531,1913.4201431274416,2088.440158843994,1917.3801383972168,1924.860134124756
1-O-tricosanoyl-Cer(d18:1/18:0),-2.37409619695357,6.872515154891338,118.95951566916345,1.0688894705399849e-27,9.144943247953204e-27,5,5,Time Period_ Older Data,Time Period_ New Data,Cer,5155.200401306152,5557.080352783203,5012.480361938477,4540.9603271484375,4959.780361175537,1689.6201210021973,1686.2401313781738,1693.0801391601562,1686.6601295471191,1713.180118560791,1695.3201217651367
PCo(42:1),2.3600460695523493,9.491588076965922,117.98371664834184,1.748173077371233e-27,1.4751707063844925e-26,5,5,Time Period_ Older Data,Time Period_ New Data,PC,212722.55505371097,221580.1356201172,219309.51416015625,104460.08728027344,171175.2529296875,2008.1801643371584,2577.180187225342,2613.380199432373,1829.7201499938965,2673.4401664733887,1733.1801261901855
PC (34:1),-2.3541971111775184,13.56067132228498,117.81797065430148,1.9005355992416782e-27,1.5820674718011808e-26,5,5,Time Period_ Older Data,Time Period_ New Data,PC,779118.79345703125,536741.0807495117,1005576.8692016602,151608.24865722656,656020.1268920898,103968.02865600586,439331.15197753906,330412.2041168213,85162.02494812012,82653.5664100647,7028.960487365723
PC (52:4),-2.357956011638645,6.794440121692053,117.44673863646597,2.291722985186113e-27,1.8822684784995272e-26,5,5,Time Period_ Older Data,Time Period_ New Data,PC,4438.800319671631,4971.72038269043,5076.3603591918945,3719.060268402099,5730.960464477539,1528.2601051330566,1756.700122833252,1526.6601028442385,1572.5401039123535,1558.4801177978516,1683.6401252746582
Lyso_PS(15:0) | PSo (16:0),2.340178095626261,9.276514754068808,116.11997450098767,4.4739565226458944e-27,3.6262594973024615e-26,5,5,Time Period_ Older Data,Time Period_ New Data,PS,157555.990234375,150249.3505859375,160264.59155273438,161238.93139648438,159170.59155273438,2066.2801513671875,1962.8401260375977,2028.7401542663576,2055.300148010254,1976.9801483154297,1958.4801292419431
