,Q1,Q3,Intensity,Transition,Lipid,Class
182,984.9,711.9,4985.580352783203,984.9 -> 711.9,TAG(60:4)_FA 16:0,
183,984.9,713.9,6761.320415496826,984.9 -> 713.9,TAG(60:4)_FA 16:1,
184,986.9,685.9,5212.140342712402,986.9 -> 685.9,TAG(60:3)_FA 18:0,
185,986.9,713.9,6709.60046005249,986.9 -> 713.9,TAG(60:3)_FA 16:0,
186,986.9,715.9,5450.700370788574,986.9 -> 715.9,TAG(60:3)_FA 16:1,
187,988.9,687.9,5004.600364685059,988.9 -> 687.9,TAG(60:2)_FA 18:0,
188,988.9,715.9,5240.480400085449,988.9 -> 715.9,TAG(60:2)_FA 16:0,
189,988.9,717.9,4968.640350341797,988.9 -> 717.9,TAG(60:2)_FA 16:1,
190,990.9,689.9,4986.280353546143,990.9 -> 689.9,TAG(60:1)_FA 18:0,
191,990.9,717.9,4886.880405426025,990.9 -> 717.9,TAG(60:1)_FA 16:0,
192,990.9,719.9,5790.700412750244,990.9 -> 719.9,TAG(60:1)_FA 16:1,
193,992.9,691.9,5401.000377655029,992.9 -> 691.9,TAG(60:0)_FA 18:0,
194,992.9,719.9,4944.980331420898,992.9 -> 719.9,TAG(60:0)_FA 16:0,
195,992.9,721.9,4990.640331268311,992.9 -> 721.9,TAG(60:0)_FA 16:1,
