,Q1,Q3,Intensity,Transition,Lipid,Class
182,984.9,711.9,5599.100448608398,984.9 -> 711.9,TAG(60:4)_FA 16:0,
183,984.9,713.9,5841.940425872803,984.9 -> 713.9,TAG(60:4)_FA 16:1,
184,986.9,685.9,11302.620880126953,986.9 -> 685.9,TAG(60:3)_FA 18:0,
185,986.9,713.9,5722.520427703857,986.9 -> 713.9,TAG(60:3)_FA 16:0,
186,986.9,715.9,5029.820343017578,986.9 -> 715.9,TAG(60:3)_FA 16:1,
187,988.9,687.9,5205.680374145508,988.9 -> 687.9,TAG(60:2)_FA 18:0,
188,988.9,715.9,5932.680374145508,988.9 -> 715.9,TAG(60:2)_FA 16:0,
189,988.9,717.9,5285.000377655029,988.9 -> 717.9,TAG(60:2)_FA 16:1,
190,990.9,689.9,6438.660449981689,990.9 -> 689.9,TAG(60:1)_FA 18:0,
191,990.9,717.9,5883.780361175537,990.9 -> 717.9,TAG(60:1)_FA 16:0,
192,990.9,719.9,5899.720428466797,990.9 -> 719.9,TAG(60:1)_FA 16:1,
193,992.9,691.9,6249.900466918945,992.9 -> 691.9,TAG(60:0)_FA 18:0,
194,992.9,719.9,4801.160339355469,992.9 -> 719.9,TAG(60:0)_FA 16:0,
195,992.9,721.9,5661.10037612915,992.9 -> 721.9,TAG(60:0)_FA 16:1,
