lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,10xBlank_01202023
TAG(56:7)_FA 16:0,0.053153041658589924,6.7719398141701035,0.010409464260874302,0.9187354169815212,0.9997100298088456,TAG,40341.9026184082,108622.54696655272,63515.70501708984,82035.02575683594,52067.423400878906,59181.04412841797,77358.2456665039,69161.96524047852,56993.52508544922,23594.62156677246
TAG(56:7)_FA 16:1,0.6690801447977947,8.006705427485674,1.6099472817486458,0.20449921282071004,0.9997100298088456,TAG,68317.0446472168,618845.5997924805,84132.98573303223,127704.76834106444,115706.78814697266,120569.50909423828,117083.34826660156,137540.0881652832,112666.68865966795,28556.76222229004
TAG(56:7)_FA 18:0,-0.07951252623072165,7.099407654569484,0.023372063690885625,0.8784935032235677,0.9997100298088456,TAG,42187.96276855469,39172.02267456055,58449.30438232422,196267.45361328125,88919.76719665527,66603.04486083984,65841.38426208496,145218.54914855957,78687.80503845215,25445.201599121097
TAG(56:7)_FA 18:1,0.39744516529844115,7.229172326686716,0.5751696933425592,0.4482118998372961,0.9997100298088456,TAG,54239.32360839844,222761.97552490231,67293.48498535156,86672.0068359375,94326.6260986328,75569.70538330078,67982.48443603516,95320.96664428712,73830.68536376953,39011.222747802734
TAG(56:7)_FA 18:2,-0.15188116665867216,8.147364806386495,0.08540941210048913,0.7700963356697431,0.9997100298088456,TAG,66625.96447753906,491680.490814209,92210.08670043944,130698.14807128906,109670.78833007812,196867.7940979004,148117.21185302734,209846.97595214844,206363.2973022461,21795.08140563965
TAG(56:7)_FA 20:0,-0.3478664524911433,5.765070473986398,0.449392499399778,0.5026235879552697,0.9997100298088456,TAG,21275.021461486816,22438.781707763672,26704.621826171875,33752.682273864746,30470.42244720459,24664.78199005127,53576.264083862305,33334.34254074097,24899.721755981445,36411.68240356445
TAG(56:7)_FA 20:4,0.4135219132469504,8.280093606689022,0.6222424014640637,0.4302152142144718,0.9997100298088456,TAG,86955.90588378906,251033.4574584961,278096.6986694336,302744.0994873047,185636.15048217773,78261.26458740234,263853.79443359375,218175.3532104492,93297.80596923828,49940.60345458984
TAG(56:8)_FA 16:0,-0.1388402377273754,6.441853126680543,0.07135038311957942,0.7893806765436986,0.9997100298088456,TAG,49593.702545166016,48045.86282348633,55145.68341064453,52309.94342041016,41428.1032409668,52574.70327758789,59451.684158325195,54265.70388793945,54245.063735961914,26022.34194946289
TAG(56:8)_FA 16:1,0.09216236951607613,6.799801040152858,0.031260563832435695,0.8596603268321217,0.9997100298088456,TAG,42099.42321777344,108654.927734375,66271.78448486328,82525.22523498535,57712.0643157959,57795.94415283203,74753.82586669922,73561.58420562744,58329.1838684082,23650.04164123535
TAG(56:8)_FA 18:0,-0.22498615593022628,6.162441935919491,0.18765602121470693,0.664874693007695,0.9997100298088456,TAG,29155.48223876953,38104.70278930664,43856.98355102539,49506.66329956055,36991.00273132324,31679.84228515625,66720.5048828125,50581.5036315918,35458.14242553711,26831.36215209961
TAG(56:8)_FA 18:1,0.007226816520693,7.06573873524215,1.926664226630237e-4,0.9889253723624807,0.9997100298088456,TAG,47490.623291015625,43996.04333496094,62506.18395996094,166822.63543701172,99391.88595581056,66575.34494018555,64820.764488220215,135102.16955566406,68078.64498901367,29437.34210205078
TAG(56:8)_FA 18:2,0.3923822202323604,7.233935352527376,0.5607249124968798,0.45396831170482077,0.9997100298088456,TAG,56894.063903808594,231371.73614501953,65204.08508300781,89243.26580810547,85506.2658996582,76685.50604248047,68910.74478149414,94502.18743896484,75188.00595092773,36622.68264770508
