lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,-0.3009869439145967,8.086927938525594,0.22830884603718005,0.6327806387165976,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,163176.71159362793,187992.35208892825,46379.60326766968,249489.0998535156,160506.25076293945,47949.46321105957,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,-0.19784046431577088,8.090299539359224,0.09874241037340425,0.7533440419772358,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,160255.63095092773,202342.01542663577,50241.78372955322,240007.47801208496,151672.46923828125,50140.58383560181,125768.08905029295
16:2 Campesteryl ester,-0.2250593435498917,8.04004438430253,0.12775190585307428,0.7207744227646423,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,157160.73239135742,191045.8516845703,48198.26329803467,239180.9777069092,147526.39030456543,45947.08301925659,117353.56846618652
"16:2 Cholesteryl ester, zymosteryl palmitoleate",-0.08902052052044665,8.783710810339562,0.0200045246638183,0.8875244478720087,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,269839.3192138672,260879.01892089844,113157.4481201172,276360.1994628906,269447.4189453125,107576.0082397461,274790.7999267578
16:3 Campesteryl ester,-0.23331360931771933,8.011158480139942,0.13728415317109466,0.7109959995088165,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,154318.75048446655,185146.27444458008,47734.20327758789,234669.65798187256,144066.910446167,46587.88315200806,114802.70822143556
16:3 Cholesteryl ester,-0.10962469021321665,8.748341853068014,0.030333953138324432,0.8617346496668312,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,254891.2978515625,267854.7390136719,103272.96737670898,274137.7209472656,262840.2385253906,104622.92736816406,268572.4782714844
16:3 Stigmasteryl ester,-0.26270651821438823,8.486613644581631,0.17400364679269842,0.6765778784766592,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,209177.1556091309,238084.13414001465,74735.34531402588,301400.6235656738,207753.87649536133,79884.74600219727,174687.61349487305
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",-0.18291690391911392,8.725421871383114,0.08441779613349354,0.7713974880030356,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,263683.299118042,306007.86514282227,72935.00525665283,360051.70681762695,252912.35702514648,69250.00426864624,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",-0.21768789597232163,8.723060593467599,0.11952919201212353,0.7295456807016482,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,264936.3984527588,297442.67919921875,70505.20509338379,372578.784576416,249793.495513916,65956.20474243164,197452.61389160156
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",-0.257774405581073,8.730023257375423,0.16754046740970807,0.6823069868087316,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,262366.89752197266,291198.4189758301,70637.344970703125,372894.063873291,253252.07821655273,72498.68489837646,201944.25617980957
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",-0.15432220504381808,8.722900093816593,0.06009894916496705,0.8063396156452881,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,270283.1389465332,304620.8027038574,71781.18487167358,350154.3428039551,255931.9373779297,67602.62491607666,199674.9553833008
17:1 Cholesteryl ester; 16:1 Campesteryl ester,-0.20676758069383075,8.069484168150767,0.10784670545535846,0.7426090755656852,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,159780.23112487793,195049.07516479492,50700.763595581055,243419.6374053955,148317.23024749756,45423.58345794678,122837.10720825195
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,-0.30023833926532933,8.013316533948064,0.2271763193066363,0.6336254955581784,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,141740.25134277344,189485.9930114746,45853.58361053467,236172.8360900879,147790.75193023682,48443.423652648926,119584.48794555664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",-0.04757586706387721,8.439687798843284,0.005714375191018917,0.9397425187118039,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,219805.51568603516,230061.63494873047,61646.12407684326,222433.1926574707,217670.1551208496,58456.8840713501,232670.8377380371
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",-0.10620225541954967,8.444031817751116,0.028469798562582582,0.8660090539242267,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,218252.77764892575,222260.49298095703,57490.724044799805,230665.59564208984,212685.6136932373,61869.20440673828,241449.8783721924
18:1 Campesteryl ester,-0.15392484790992852,8.458488068393711,0.05978975542529952,0.8068285496547298,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,224761.61779785156,221406.51528930664,57654.62384033203,240928.99647521973,227796.5161743164,60167.68382263184,225617.7167816162
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",-0.2175770716402716,8.81800474984034,0.11940773077367339,0.7296777430160278,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,280304.0225830078,318279.0209350586,71046.00440979004,381474.1481933594,274696.0990600586,71782.84466552734,224405.7758178711
18:3 Campesteryl ester,-0.06662693983243977,8.2964156324512,0.011206639203010127,0.9156923082941528,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,204601.67504882812,201746.27587890625,59464.94415283203,206521.37365722656,195902.6728515625,58889.22416687012,197820.75631713867
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",-0.20881144208531227,8.903671206959492,0.10998855013895081,0.7401571716825951,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,303762.46228027344,323355.76055908203,75469.04551696777,400381.6452026367,283924.2213745117,76460.92622375488,254542.46154785156
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",-0.05102990877598913,9.206000160524548,0.00657424028031528,0.9353769878494697,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,394841.6081542969,361790.4643554687,141033.05004882812,391348.7673339844,354341.3049316406,139586.21026611328,328716.4434814453
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",-0.05527053326885104,9.188003002598032,0.007712218168308027,0.9300203489121404,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,389983.6870117187,350235.70349121094,141314.990234375,382867.52575683594,352302.1843261719,137866.00958251953,329537.4803466797
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",0.01906184635151747,11.381770113042306,9.17378612371067e-4,0.9758371605138221,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CAR,1239495.3037109375,1246068.608642578,1313484.6853027344,1289018.3786621094,1210873.5478515625,1173183.5369873047,1930786.4631347656
20:0 Campesteryl ester,0.06400612066276269,9.588133973845144,0.010342542728153603,0.918996157388019,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,585695.0806884766,473914.73474121094,214888.3358154297,469695.3544921875,501893.65234375,197502.67498779297,317584.8635253906
20:1 Campesteryl ester,0.062184810743888666,9.57822580458834,0.009762362232436317,0.9212933628524458,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,591302.220703125,470726.4147949219,206285.61291503903,461297.6511230469,503761.7349853515,199627.77404785156,310572.0031738281
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",-0.046625581533961596,9.23095779779046,0.005488432900165208,0.9409435794813052,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,399111.8679199219,371012.6671142578,143911.17016601562,396489.7082519531,359091.7648925781,142767.74981689453,336350.2844238281
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",-0.018237600113917,9.217933813855886,8.39752159663476e-4,0.9768817558317969,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,397876.28942871094,374258.9852294922,143833.49053955078,380589.8077392578,355941.384765625,146173.73016357422,332064.9237060547
20:3 Campesteryl ester,0.05668908598581201,9.982371169810916,0.008113189756841166,0.9282290088864171,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,718330.4713134766,585737.4237060547,297018.6400756836,581533.5655517578,624555.2194824219,273740.8601074219,532591.3153076172
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",-0.023494383752475773,8.982794691159006,0.0013936096438555978,0.9702210233276687,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,331318.5635986328,305953.5029296875,136850.70935058594,316081.24267578125,295324.52014160156,140183.13012695312,281844.6805419922
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",-0.021420997806414273,9.184468652768315,0.0011584935855353251,0.9728479246529836,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,353973.44651794434,347179.2874908447,132554.4094543457,348575.3070983887,324714.06285095215,131112.8683166504,433173.92571258545
20:5 Cholesteryl ester,-0.08647342619107826,10.252139842067749,0.018876490968978032,0.8907211575064304,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,744792.4973754883,726792.67041015625,239452.2180480957,771799.6127319336,714395.755935669,235360.5344581604,911030.2897338868
22:0 Campesteryl ester,-0.10748049492152262,8.734604337070799,0.029159254394471645,0.8644118451078231,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,328048.70728302,321248.46086883545,65602.16407394409,335009.5023803711,319311.84059143066,69838.88446426392,105651.5481300354
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",0.1478258856699521,8.29354360134761,0.05514757040850782,0.8143366471769854,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,273860.9999847412,198562.29412078857,90103.56624221802,172745.71115112305,235747.2753677368,80594.5062789917,79871.64535522461
22:0 Sitosteryl ester,-0.04843918842510587,8.9970263527465,0.005923678370891139,0.9386510412869629,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,361571.613319397,384457.0058746338,74688.44552993774,375415.22120666504,342953.5009460449,77020.76491165161,228572.99380493164
22:1 Campesteryl ester,-0.1474544825794311,8.575917658425585,0.05487111711408943,0.8147941237213737,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,276676.6441421509,289324.78229522705,61668.54472351074,300019.1825180054,286221.46573257446,66762.084716796875,102455.64757919312
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",0.1458045943218735,8.288524978179774,0.05365039877960953,0.8168288554437855,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,276648.3995361328,193528.11378479004,89969.3465385437,169745.83312225342,234477.81832885745,84083.74672317505,78654.8657836914
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",-0.054259859330837386,8.964254190628786,0.007432755111949518,0.9312967567085387,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,368723.5038909912,365224.468170166,74251.82576751709,371401.4266014099,339966.16425323486,77005.56617355347,206498.9136428833
22:2 Campesteryl ester,0.04187796715229321,7.4772883760190965,0.0044275567670410965,0.9469480015969113,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,107182.94714355467,130781.98825073242,53468.66411590576,109912.80857086182,103576.40770339966,55119.703243255615,80835.36569976807
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",-0.056596850968497044,8.858349462988258,0.008086758985882625,0.9283456950423644,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,350452.42657470703,345563.46530914307,71689.82487487793,350456.68489456177,326611.1287879944,73470.72465133667,160474.38968276978
22:3 Campesteryl ester,0.057573964817233064,7.451501136025549,0.008368189570319373,0.927112938013617,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,119099.86869812012,140469.92993164062,32036.042041778564,117693.50897216795,117399.28813171388,27730.041870117188,78485.72638702393
