lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023
PGp (36:5),-0.676669153565231,7.32635602130582,1.348364186891558,0.245564295533103,0.9999800194571477,PG,35242.80212402344,98686.68737792967,19592.021446228027,83867.08529663086,87084.026123046875,118718.54949951172,96950.24816894533,96887.646240234375,75559.30596923828
PGp (38:6),-0.6093381728823973,7.938705022431371,1.0909527663841345,0.296260203043656,0.9999800194571477,PG,48458.84307861328,197005.2326660156,24984.001556396484,112345.3871459961,126127.04846191406,177014.47424316406,161512.2900390625,124697.7296142578,122761.30865478516
PGp (42:2),-0.4473384044221524,6.523396592260776,0.584369543074331,0.44460467825167793,0.9999800194571477,PG,22951.24164581299,59592.284606933594,14840.620994567871,44728.72341918945,52074.58404541016,57404.5235748291,55129.72442626953,49709.463317871094,48403.54284667969
PGp (42:4),-0.35832096831719384,6.204817613433281,0.3735113970060411,0.5410964497712055,0.9999800194571477,PG,19551.94139099121,48094.283782958984,13622.380878448486,42625.08255004883,39597.90313720703,49972.94384765625,40454.24267578125,38288.1826171875,32466.142684936523
PI (14:1),-0.37855568523445915,9.5501065362041615,0.4172894862713292,0.5182926458435642,0.9999800194571477,PI,81723.08558273315,636724.3433837891,29517.72205734253,531401.0949707031,513240.47790527344,527984.02587890625,582093.70458984375,242129.21718215945,276031.0588378906
PI (20:1),-0.20988061752568526,7.925339025747657,0.12725753575159615,0.7212926402412718,0.9999800194571477,PI,83201.68542480469,160455.3104248047,44494.66305541992,131882.9903564453,134600.74853515625,145929.0294189453,162932.29138183594,86469.7066040039,119808.26794433594
PI (24:0),0.0899915321560271,7.012906009210553,0.023008973956848422,0.8794337382483708,0.9999800194571477,PI,27035.881645202637,77459.20544433594,15593.841022491457,74795.32498168945,142885.1083984375,69843.44577026367,88784.26718139648,33671.162033081055,46573.70297241211
PI (26:0),0.09575173992689881,7.061920497722638,0.02603961395720944,0.8718036112662165,0.9999800194571477,PI,33734.00225067139,70765.20516967773,17091.781280517578,81926.26428222656,134693.27075195312,70531.66412353516,77585.34585571289,43668.20324707031,63134.92413330078
PI (26:1),-0.13136962485195858,8.250689701849264,0.04965629380149039,0.8236624308239219,0.9999800194571477,PI,127232.84943771362,176314.1708984375,75726.12528991699,147846.2900390625,168049.17163085938,172569.73168945312,177218.83349609375,131447.40942382812,144399.28955078125
PI (28:0),0.0598106300155709,7.520016880026893,0.010182358073507203,0.9196237535890521,0.9999800194571477,PI,41449.362854003906,96436.04745483398,21721.22162628174,146507.33123779297,170380.95294189453,109907.5479736328,101055.36865234376,62891.86410522461,71032.00482177734
PI (28:1),-0.14487871449323586,6.679479973183484,0.06043477197090397,0.8058100807020708,0.9999800194571477,PI,21220.441551208496,65179.8837890625,12466.400871276855,77995.48391723633,71760.42517089844,66708.96452331543,62545.46469116211,35212.46252441406,45244.50390625
PI (28:2),-0.22536913620988927,6.0199782003042035,0.14683580120390616,0.7015777068790937,0.9999800194571477,PI,15242.481121063232,45863.38332366943,7914.620586395264,35436.44206237793,40516.0828704834,41232.54252624512,42775.76330566406,18166.58140563965,40523.60314178467
PI (30:0),0.05925381441950487,9.330951120628844,0.00999421103460918,0.9203673082514401,0.9999800194571477,PI,198396.3542366028,331658.62158203125,104465.44719696043,523328.578125,505053.54541015625,373956.02734375,343324.4228515625,250347.51684570312,232384.59716796875
PI (30:1),0.07921705254585695,8.110439896346245,0.017841283177858713,0.8937416067237368,0.9999800194571477,PI,67716.464427948,155328.83044433594,33143.082218170166,255374.93798828125,225243.2543334961,183004.43212890625,152522.9112548828,79947.545166015625,90841.666259765625
