lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.21291552015613263,11.274137232468174,0.20755888098574365,0.6486874932539541,0.9998952798792559,CAR,1260946.1431884766,1137990.1825561523,1271184.7647705078,1143505.6591796875,1291661.7513427734,1585961.4837646484,1354965.4031982422,1177180.6912841797,1447871.6550292969,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",-0.09040198845340985,11.761648489052133,0.037563174391834764,0.8463229227695871,0.9998952798792559,CAR,1770713.409423828,1717515.307861328,1811327.671875,1667394.3842773438,1929676.493652344,1850445.7600097656,1793115.135986328,1852051.1657714844,1707312.4143066406,2578376.0740966797
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.06550029163901207,14.925025402201388,0.019733499820233202,0.8882839326736774,0.9998952798792559,CAR,16470506.173828123,19040901.25390625,19527801.967285156,19669121.095703125,15425044.841796877,17616816.35986328,15560660.842773438,23578611.47607422,23004359.768066406,2155070.9477539062
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.06586515476730544,13.658561298820514,0.01995374237111669,0.8876663522259267,0.9998952798792559,CAR,6556788.756103516,7579394.700439453,7847061.452392578,7985043.280273437,6473824.611083984,7022553.862060547,6461878.519042969,9142425.646728516,9132833.381347656,2817110.0759277344
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.06118375947395653,15.011099124083279,0.017220380110742006,0.8955961760269121,0.9998952798792559,CAR,17311510.770996094,20298427.107910156,20722991.56201172,21033323.51171875,16167813.693847656,18424387.296875,16605329.997558594,25047980.522460938,24543649.78955078,2395006.220703125
1-O-behenoyl-Cer(d18:1/16:0),-0.007601527913687119,6.109256240059768,2.661684588929347e-4,0.9869833540905517,0.9998952798792559,Cer,36692.462463378906,37616.98265457153,47163.46329879761,38684.44284820557,34723.00240325928,36657.50228881836,39095.64287948608,48923.5634727478,37555.882331848145,22294.401321411133
1-O-carboceroyl-Cer(d18:1/16:0),0.03803655713333583,7.412965574259611,0.006672382793112774,0.9348974814508844,0.9998952798792559,Cer,94097.04789352416,71634.02543640137,152652.411567688,90605.04538345335,95524.1658706665,72723.06428146362,87146.86511993408,155467.693359375,73221.06582641602,49086.90395736694
1-O-carboceroyl-Cer(d18:1/18:0),0.10955591364935197,5.378000391564664,0.05543598064684829,0.8138606718971131,0.9998952798792559,Cer,24564.40146255493,21907.801445007324,21279.241298675537,21167.64161300659,22350.521404266357,19638.42140197754,19103.36149597168,21265.18152618408,19184.941383361816,32565.38228225708
1-O-cerotoyl-Cer(d18:1/16:0),0.006991823125626499,7.278300659519445,2.2527932924276683e-4,0.9880247544401568,0.9998952798792559,Cer,77182.18599319458,67614.68476867676,112079.00816345216,75406.60494613647,77170.1263885498,71760.08392715454,66176.30462646484,109173.28615570068,77536.20505905151,104272.36771011353
1-O-cerotoyl-Cer(d18:1/18:0),0.01668336747481082,8.963212186084142,0.001283004081415129,0.9714266460203157,0.9998952798792559,Cer,261576.97959136963,228328.85834503177,223601.65310287476,227696.1364517212,260292.91549301147,226606.41647338867,224349.4774131775,218882.65203475952,217872.79592895508,544596.580368042
1-O-eicosanoyl-Cer(d18:1/16:0),-0.42906793297149004,6.2955935093781665,0.8359406971181897,0.3605603202000793,0.9998952798792559,Cer,36027.762283325195,42948.363021850586,42736.36308288574,30331.58203125,40271.942752838135,48901.74348449707,79985.14546966553,45007.06316757202,38794.08239746094,28402.641986846924
1-O-lignoceroyl-Cer(d18:1/16:0),-6.108373240327057e-5,7.258077235147062,1.722582965157926e-8,0.9998952798792559,0.9998952798792559,Cer,84782.36605834961,66330.18539047241,144407.71041107178,81413.10648345947,88004.54573059082,67973.50408935547,83376.7452545166,147981.1301498413,69986.14563369751,19274.341342926025
1-O-myristoyl-Cer(d18:1/16:0),0.014814829176322911,6.530247857831151,0.0010115950906879334,0.9746270945420272,0.9998952798792559,Cer,54183.54351043701,53711.363929748535,49155.66358947754,50361.163749694824,48533.30375289917,53109.183780670166,59416.14421081543,49433.40335083008,43722.223094940186,43334.30277252197
1-O-palmitoyl-Cer(d18:1/16:0),-0.1355192554544081,6.395015365041808,0.08429092153414786,0.7715645638615735,0.9998952798792559,Cer,42159.56315231323,46103.00323486328,43331.863063812256,40639.18308258057,42280.12342071533,51340.90389251709,57042.14367675781,44925.50315475464,38691.3226890564,50665.82361602783
1-O-stearoyl-Cer(d18:1/16:0),-0.5041672229011497,6.587751198566839,1.1504460598034711,0.28345579315946645,0.9998952798792559,Cer,41978.902713775635,47592.20374298096,53856.84366226196,37718.002490997314,45861.98350524902,60920.96372222901,108743.84694671632,58732.24412536621,43761.362968444824,32940.40257644653
1-O-tricosanoyl-Cer(d18:1/16:0),-0.01573822436380314,6.519377913459927,0.0011407377555769926,0.9730567236026837,0.9998952798792559,Cer,47917.14291381836,44551.783615112305,79700.04627227783,46306.862968444824,42481.76253890991,46389.883586883545,47993.662883758545,85672.64553451538,45309.76321029663,21537.66153717041
1-O-tricosanoyl-Cer(d18:1/18:0),0.0611465166061519,4.344964107878893,0.017247047228970303,0.8955158318335026,0.9998952798792559,Cer,11874.98077774048,11112.440662384031,11614.500896453856,10037.64073562622,9886.160655975342,11597.380840301514,10146.580741882324,12243.720832824709,8869.920574188232,12759.900817871094
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",-0.0626942112375995,13.053558244043444,0.018080336812487885,0.89303635403474535,0.9998952798792559,CAR,4612804.606933594,5059683.297363281,5089087.544433594,4672021.863769531,4456442.3203125,4906805.72265625,4376553.2001953125,5851287.732910156,5240845.183105469,2428656.8916015625
12:0 Cholesteryl ester,-0.08039230300415608,7.933359962187989,0.029713157899095677,0.8631426857058833,0.9998952798792559,CE,206443.9545135498,187842.8329925537,54702.864181518555,53449.14390563965,197889.75340270996,192208.85467529297,196251.07221984863,46403.643058776855,45492.56311035156,158999.98956298828
12:0 Cholesteryl ester_2,-0.07052499893507629,7.901159586255215,0.02287327009253204,0.8797870953581884,0.9998952798792559,CE,198899.35383605957,189600.57427978516,50913.96357727051,49618.86361312866,188985.39365386963,191529.11226654053,181537.25415039065,43779.26319885254,49127.3635559082,163044.15301513672
14:0 Cholesteryl ester,-9.946890922736381e-5,7.146924076465324,4.563480615615845e-8,0.9998295534703632,0.9998952798792559,CE,107908.76762390137,103784.52690124512,43653.82319641113,49058.56335067749,107592.74710083008,111948.30752563477,95863.90637207033,37085.942611694336,34170.76250457764,85346.74568939209
14:1 Cholesteryl ester,-0.03629423213379755,7.131777719512884,0.006063457014533924,0.9379328930391674,0.9998952798792559,CE,101516.40711975098,103069.94741821288,42685.24269104004,45816.14336395264,105616.70771789552,114755.32794189452,89815.826416015625,36128.2225151062,35097.92267227173,91728.62675476074
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,-0.20508828798797715,8.66517864763758,0.19262662147230003,0.660739435588983,0.9998952798792559,CE,289878.5213623047,287886.201171875,121756.2882385254,94190.34649658205,344296.18408203125,322049.3430175781,282733.9587402344,111289.70825195312,97976.74700927734,268696.0985107422
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,-0.1606245160885444,8.659480100336024,0.11832888970093336,0.730854058407779,0.9998952798792559,CE,292477.3010253906,290238.64123535156,120988.00839233398,93845.26657104492,339298.6618652344,310006.2232055664,279367.6589355469,109775.18774414062,90888.4663696289,281328.5203857422
15:0 Cholesteryl ester,-0.07795195760601349,8.480909661520549,0.027938850849750452,0.8672526644160375,0.9998952798792559,CE,259193.8380126953,259023.73706054688,110598.20782470705,99013.02743530272,266142.63873291016,262806.1593017578,247914.3380126953,100862.94711303712,93542.90643310548,248100.27880859375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,-0.14265021847077813,8.680969589482466,0.0933810022252155,0.7599221254349504,0.9998952798792559,CE,296957.74169921875,290135.00103759766,120349.36853027344,108678.26788330078,325613.7829589844,314207.48400878906,285182.6004638672,111228.06823730467,104504.52752685548,282264.8193359375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,-0.14417965978111175,8.708060404450043,0.0953896010905737,0.7574340580489762,0.9998952798792559,CE,299675.64099121094,298718.8214111328,121086.38803100586,111295.56848144533,332167.22412109375,320285.1428222656,290290.8615722656,109240.58813476562,110252.7873840332,287922.24072265625
15:1 Cholesteryl ester,-0.0752336208837772,8.516066106789475,0.026026302366517484,0.871836099438501,0.9998952798792559,CE,268055.0593261719,267581.09765625,112505.0086364746,97831.46688842772,268890.8377685547,271941.56005859375,254635.35803222656,99233.0864868164,98567.5069580078,255572.7781982422
16:0 Campesteryl ester | 17:0 Cholesteryl ester,-0.4802778919120955,8.882348705191268,1.045172040903708,0.3066216353867852,0.9998952798792559,CE,482661.26905822754,230368.095413208,157669.31104660034,44475.38328170776,599021.1501617432,364204.10803222656,448713.8888244629,151944.7908821106,56299.903301239014,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,-0.5380173793496503,8.887674633153216,1.3081870654386876,0.2527231595172877,0.9998952798792559,CE,457017.1744232178,232697.2156829834,162404.1529197693,42214.92322540283,609993.4200134277,360084.2857208252,463799.4299316406,156451.45086669922,55858.1439781189,125768.08905029295
16:2 Campesteryl ester,-0.4819406536329399,8.867519361309567,1.0523446090633115,0.30496771967152186,0.9998952798792559,CE,468778.7299804687,229844.91590881348,165206.61423492432,43435.38317108154,625300.3235015869,333241.1462402344,437722.5107727051,152684.90951156616,56317.044551849365,117353.56846618652
"16:2 Cholesteryl ester, zymosteryl palmitoleate",-0.1733370502706778,8.658339821632874,0.13774391495098826,0.7105342475000292,0.9998952798792559,CE,286850.72009277344,293157.0216064453,113731.94830322266,101456.2074584961,318423.20361328125,314303.2229003906,291071.2001953125,108236.02865600586,103669.7276916504,274790.7999267578
16:3 Campesteryl ester,-0.5381320734150048,8.85054902150613,1.3087375570945028,0.25262335476468273,0.9998952798792559,CE,456562.5186233521,217033.97341918945,160582.991481781,41053.32256317139,615577.74658203125,344850.82232666016,433388.474029541,157380.9925956726,58418.86434555054,114802.70822143556
16:3 Cholesteryl ester,-0.14481992871907773,8.609922414742405,0.09623663692036644,0.7563934314187402,0.9998952798792559,CE,273550.51916503906,280845.88049316406,118023.78784179688,104182.76788330078,310266.3620605469,293686.3809814453,270211.9997558594,109016.26788330078,102616.72705078124,268572.4782714844
16:3 Stigmasteryl ester,-0.5017983431854454,9.172523284850884,1.1398528120989795,0.28568343120657735,0.9998952798792559,CE,542890.2322692871,303466.01583862305,177535.57064819336,70479.92538833618,727697.5627822876,427144.43183898926,529747.2166748047,192696.09077453613,87870.18571090698,174687.61349487305
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",-0.563263351536998,9.354232192064146,1.4321670714853099,0.23141109665533308,0.9998952798792559,CE,609582.4785461426,339927.88663482666,196164.55129241943,63067.42455291748,855093.6213684082,510967.8601989746,612365.7075805664,204385.93420410156,84979.48628616333,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",-0.535768553619383,9.361780549699459,1.2974130036018323,0.2546863094769256,0.9998952798792559,CE,612892.9210205078,352186.2632141113,199214.2363128662,66339.54444122314,852660.2135925293,521878.4792175293,601565.92333984375,199647.8141479492,89481.14645385742,197452.61389160156
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",-0.5279195665231543,9.338402988728097,1.2601289310478023,0.26162668711319925,0.9998952798792559,CE,604201.1010437012,344977.4267883301,195620.6760406494,66619.54499816895,842930.1578979492,510275.13067626953,586323.5788574219,197720.9366455078,81592.54598236084,201944.25617980957
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",-0.5736230032466988,9.348422903148423,1.4846099872956984,0.22305463763116554,0.9998952798792559,CE,601233.5832366943,331640.3845214844,200966.05520629883,63674.6642036438,862067.712310791,517304.1920166016,595576.9428405762,204358.05494308472,83035.78645706177,199674.9553833008
17:1 Cholesteryl ester; 16:1 Campesteryl ester,-0.5098263286398288,8.881202117505017,1.1761905211660633,0.27813289642898265,0.9998952798792559,CE,471428.01194763184,218880.09548187256,165967.61249160767,46261.54291534424,611723.5156555176,350131.3035583496,446275.3489227295,159345.89164733887,60428.163719177246,122837.10720825195
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,-0.4998638106486267,8.827542404356073,1.1311750257482345,0.28752484251977944,0.9998952798792559,CE,460792.76985168457,206078.07276916504,160566.41161346436,45343.343311309814,597038.2792663574,335558.16551208496,423873.5100250244,151612.76976776123,55816.66398239136,119584.48794555664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",-0.7733568379755821,8.764762147219404,2.6713098987020203,0.1021719007983543,0.9998952798792559,CE,278488.0610809326,250274.46084594727,88312.66635894775,66861.42481994629,579479.3815917969,415102.8081359863,312724.2644042969,103781.74765777588,79692.8857498169,232670.8377380371
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",-0.7421687985829933,8.773998029312928,2.4643054098141874,0.11645917413565013,0.9998952798792559,CE,273423.89978027344,259398.0389404297,92443.26620483398,70337.48574829102,581549.4797363281,415805.8867492676,298301.0598449707,106387.14749145508,80918.7451248169,241449.8783721924
18:1 Campesteryl ester,-0.5897802182398891,8.599259448975383,1.5682048398593906,0.21046790609680338,0.9998952798792559,CE,263904.27825927734,252689.3544921875,82409.8259010315,56984.78404998779,455285.64990234375,356218.5864562988,290367.66189575195,90191.30676269533,66857.70453643799,225617.7167816162
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",-0.5023243642164608,9.376281341231802,1.1422187743410177,0.28518397709223425,0.9998952798792559,CE,604406.4444274902,375458.106048584,202646.0722885132,67644.66412353516,840616.2183532715,529500.3120422363,600648.3408966064,201127.7946472168,78328.40519714355,224405.7758178711
18:3 Campesteryl ester,-0.4424875583654735,8.398588118875843,0.8886067555140471,0.34585514336504647,0.9998952798792559,CE,233462.63381958008,232237.91787719727,76780.36492156982,65536.76523590088,349060.78579711914,310821.30099487305,245531.99661254883,79602.82596588135,67994.36478424072,197820.75631713867
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",-0.5351099287147194,9.419840582744738,1.2942644893191755,0.25526354445339683,0.9998952798792559,CE,619175.6261291504,365628.6613922119,202318.07664489743,71515.98536682129,850813.5699462891,552733.6976013184,620345.52880859375,201715.55276489255,91518.96710586548,254542.46154785156
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",-0.4556387739518412,9.394809298114783,0.9416942749303416,0.33184249807991045,0.9998952798792559,CE,447091.57263183594,447873.4123535156,205471.35342407227,140569.51007080078,738547.298828125,590154.2624511719,468987.13415527344,208501.35400390625,149831.62994384766,328716.4434814453
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",-0.4457978993585715,9.383727388305365,0.9018355735752266,0.3422900028063933,0.9998952798792559,CE,443882.2932128906,452466.95568847656,199821.99346923828,138753.42993164062,721592.5570068359,591230.9625244141,457069.5925292969,204910.27416992188,155575.15103149414,329537.4803466797
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",-0.08619425202234478,11.233842223161197,0.0341519647390669,0.853383945364378,0.9998952798792559,CAR,1195290.807861328,1194065.662109375,1239282.0832519531,1133090.1042480469,1342165.8034667969,1293608.794555664,1232293.98046875,1205931.8406982422,1154733.269897461,1930786.4631347656
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",-0.47882408137706217,9.395544035064084,1.0389241582888644,0.30807181627718055,0.9998952798792559,CE,445063.4099121094,438793.0089111328,196959.51458740231,143887.10974121094,741543.9924316406,592514.7603759766,463263.3770751953,213167.83587646484,152485.4100341797,336350.2844238281
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",-0.453142189132075,9.372172404371474,0.9315024455499952,0.3344728196383859,0.9998952798792559,CE,442481.4721679687,434864.9537353515,198226.1947631836,142786.26989746094,715989.0925292969,571387.8460693359,452535.7111816406,214638.8768310547,156924.85137939453,332064.9237060547
20:3 Campesteryl ester,-0.30309852467192344,10.008448829448797,0.41927362176647875,0.5172997155547508,0.9998952798792559,CE,690644.8483886719,670642.06982421875,303552.1791381836,338287.26470947266,971733.7509765624,796782.51513671875,658286.7297363281,331052.8444213867,359388.5831298828,532591.3153076172
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",-0.4977312077668405,9.213216819447352,1.121653314676223,0.28956273089142714,0.9998952798792559,CE,373994.6680908203,377226.9892578125,181923.79260253903,143761.37060546875,655990.4508056641,518913.4805908203,402155.2277832031,194882.89279174805,152072.91143798828,281844.6805419922
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",-0.5390208936882146,9.370782167329153,1.3130151687073521,0.25184946746796083,0.9998952798792559,CE,426969.5148162842,402345.11001586914,157411.192817688,135987.24981689453,739420.5382232666,566264.937713623,449138.75494384766,170348.91171264648,147960.15045166016,433173.92571258545
20:5 Cholesteryl ester,-0.46770813388579147,10.240977648596521,0.9917314648628235,0.31931955727238487,0.9998952798792559,CE,774021.08935546875,796451.9927368164,261745.4785232544,228661.520111084,1235624.6225280762,995561.273284912,848273.2289733887,289770.39990234375,256014.0956192017,911030.2897338868
22:0 Campesteryl ester,-1.0327304848721293,9.372536582802013,4.6922680997959105,0.030298628367120915,0.9998952798792559,CE,466218.7146835327,350722.9248352051,96338.56734848022,93248.5464744568,896566.9890136719,939694.8839035034,509218.2499542236,95272.74718475342,195138.1933746338,105651.5481300354
22:0 Sitosteryl ester,-0.8997827169459781,9.379994433372763,3.5905604389772634,0.05810864320054637,0.9998952798792559,CE,485815.2135925293,355294.92652893066,88051.98610305786,102267.82748413086,765647.420135498,885845.569229126,525418.6844100952,82712.30665969849,204437.75436782837,228572.99380493164
22:1 Campesteryl ester,-1.1160365559693526,9.456846947488195,5.45087951849564,0.019558477728155433,0.9998952798792559,CE,468357.8101348877,350133.2861633301,110473.78787994383,98551.34607315063,1047875.6008148192,946360.6265792848,542836.6854553223,118994.38879013062,192189.37321090695,102455.64757919312
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",-0.8775980292254804,9.383921849264304,3.420071104221279,0.0644082390458565,0.9998952798792559,CE,498246.4359283447,359096.9853553772,98792.72665023804,99168.76778030396,755514.5677680969,944503.3225631714,491153.4977798462,81157.6648902893,208831.17345809937,206498.9136428833
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",-0.9006890713401003,9.332432058722492,3.5976075993785344,0.05786278478236721,0.9998952798792559,CE,469579.57151794434,358588.62020111084,94247.98609542848,99335.6669845581,743872.3928756714,898655.6136779785,502230.538608551,85175.60606384277,209764.5725975037,160474.38968276978
22:3 Stigmasteryl ester,-0.9097911147821208,9.258918497293442,3.6687376556110394,0.05544215997637112,0.9998952798792559,CE,469026.6374282837,339874.48025512695,81643.70561981201,92794.06651306152,723321.4232177734,894071.6810836792,463588.0719909668,83160.50679779053,201195.9746055603,107463.74801254272
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",-0.8593917473686954,9.375226841076108,3.2830537650479528,0.0699985723130496,0.9998952798792559,CE,503115.4162559509,356643.36696624756,87385.58686447144,101842.16680145264,741502.5326538086,901822.6605300904,507127.1789741516,85131.08557891846,202069.635471344,225753.29443740845
3-hydroxyarachidonoylcarnitine,-0.1932389729930231,11.762941380902685,0.17108152699074708,0.6791524037705949,0.9998952798792559,CAR,1804854.5581054688,1691555.87109375,1853001.6511230469,1728707.09375,1856874.8933105469,2316012.5373535156,1997917.2893066409,1784077.2758789062,2009942.3466796875,1852556.1604003904
