lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,10xBlank_01202023
22:6 Cholesteryl ester,1.5498270452428167,11.115751548203551,10.193672602064908,0.0014092336547300982,0.18388775713659336,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4458070.431640625,2715212.2209472656,1491101.0864257812,645550.1623535156,377736.9682617188,1064576.5604248047,808378.1989746094,398871.7492675781,318702.20233154297,318345.9444580078
Cholesteryl nitrolinoleate,1.5472836702042556,11.090286813460198,10.16221676702844,0.0014334815540418726,0.18388775713659336,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4343857.308349609,2643083.231811523,1497477.1091308594,648281.0699462891,371760.6458129883,1035345.849609375,787725.51953125,392853.3888854981,329565.4995727539,321258.66369628906
20:1 Campesteryl ester,1.5192527630536372,11.053806347730848,9.81825157746789,0.0017278852355751477,0.1984371682610497,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4235422.83215332,2598765.4096679688,1407519.564819336,627173.1862182617,362508.36560058594,1035268.6345214844,770815.9124755859,390393.90771484375,324425.34533691406,310572.0031738281
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",1.5084454037448005,11.162526525040313,9.686971280287253,0.0018557918207446197,0.1984371682610497,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4550953.7470703125,2741932.9650878906,1526239.79296875,680709.7716064453,397991.8699951172,1093322.7568359375,861990.7429199219,423409.3279418945,346047.02673339844,370215.2233886719
PG (32:5),1.4300715861641715,8.009621361993117,8.757217437443614,0.0030837919187914173,0.30776243349538346,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,PG,56995.0637512207,66687.0654296875,55179.38348388672,45016.04336547852,738903.2070922852,64834.60479736328,61361.8037109375,141260.64776611328,55899.803955078125,52170.14404296875
"lanosteryl oleate, 20:2 Campesteryl ester",1.3141406318293845,10.82689608574876,7.457063579466194,0.006318799836577932,0.5912027097098228,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,3263123.1767578125,2069157.8939208984,1236304.8525390625,569448.6436157227,348855.00384521484,916787.4792480468,753635.3916015625,374125.9454345703,316658.740234375,399176.990234375
"(11Z,14Z)-eicosadienoylcarnitine",0.11219216372929414,11.422355995683347,0.05781512737121375,0.8099831534789838,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,1490627.2612304688,1620460.4702148438,1434255.701171875,1426995.7827148438,1442118.8286132812,1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438,1833013.6752929688
(11Z)-eicoseneoylcarnitine,0.10565635287056614,11.445605650371121,0.051285266294144094,0.8208417181861192,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,1498962.5366210938,1640511.7080078125,1468215.3647460938,1455302.6083984375,1517652.2963867188,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",0.16899790938172457,11.448323981593859,0.13095163833713744,0.7174473811593653,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,1468592.0839233398,1801727.1483154297,1494908.485961914,1415503.9500732422,1514023.7989501953,1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",0.16896895477343832,12.055373608351788,0.13090702918771058,0.7174934475925865,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,2392796.6845703125,2414485.858154297,2782494.2834472656,2515677.2600097656,2177589.061767578,2184246.087890625,2205746.576171875,2470854.001464844,2018780.2897949216,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",-0.400420191483687,15.595059178150665,0.7440311376586806,0.38837261306461784,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,24583201.19921875,20847168.3828125,28155528.892578125,22671427.51611328,34723637.06933594,29948597.337890625,26648913.84375,16632944.549316406,65346110.588378906,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.21291552015648502,11.27413723247001,0.20755441760411492,0.6486910164386284,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,1291661.7513427734,1585961.4837646484,1354965.4031982422,1177180.6912841797,1447871.6550292969,1260946.1431884766,1137990.1825561523,1271184.7647705078,1143505.6591796875,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",0.09040198845351749,11.761648489053645,0.03756236541084945,0.8463245569986245,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,1929676.493652344,1850445.7600097656,1793115.135986328,1852051.1657714844,1707312.4143066406,1770713.409423828,1717515.307861328,1811327.671875,1667394.3842773438,2578376.07409668
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.06550029163910881,14.925025402201285,0.01973307552194381,0.888285125827932,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,15425044.841796877,17616816.35986328,15560660.842773438,23578611.47607422,23004359.768066406,16470506.173828123,19040901.25390625,19527801.96728516,19669121.095703125,2155070.9477539062
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",0.0658651547675159,13.658561298820421,0.01995331333761574,0.8876675518870131,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,6473824.611083984,7022553.862060547,6461878.519042969,9142425.646728516,9132833.381347656,6556788.756103516,7579394.700439453,7847061.452392578,7985043.280273437,2817110.0759277344
(9Z)-3-hydroxyoctadecenoylcarnitine,0.06118375947404206,15.011099124083179,0.017220009848088136,0.89559729202031,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,16167813.693847656,18424387.296875,16605329.997558594,25047980.522460938,24543649.78955078,17311510.770996094,20298427.10791016,20722991.56201172,21033323.51171875,2395006.220703125
1-O-behenoyl-Cer(d18:1/16:0),0.007601527939955216,6.109256240043963,0.00026616273908075527,0.9869834939391362,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,Cer,34723.00240325928,36657.50228881836,39095.64287948608,48923.5634727478,37555.88233184815,36692.462463378906,37616.98265457153,47163.46329879761,38684.44284820557,22294.401321411133
1-O-carboceroyl-Cer(d18:1/16:0),-0.03803655711558861,7.412965574244109,0.006672239288491255,0.9348981799871172,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,Cer,95524.1658706665,72723.06428146362,87146.86511993408,155467.693359375,73221.06582641602,94097.04789352416,71634.02543640137,152652.411567688,90605.04538345335,49086.90395736694
1-O-carboceroyl-Cer(d18:1/18:0),-0.10955591364105126,5.37800039170969,0.05543478896242959,0.813862635891095,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,Cer,22350.52140426636,19638.42140197754,19103.36149597168,21265.18152618408,19184.941383361816,24564.40146255493,21907.801445007324,21279.241298675537,21167.64161300659,32565.38228225708
1-O-cerotoyl-Cer(d18:1/16:0),-0.006991823102246531,7.278300659546159,2.2527450028064777e-4,0.9880248827785513,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,Cer,77170.1263885498,71760.08392715454,66176.30462646484,109173.28615570068,77536.20505905151,77182.18599319458,67614.68476867676,112079.00816345216,75406.60494613647,104272.36771011353
1-O-cerotoyl-Cer(d18:1/18:0),-0.0166833674750184,8.963212186105688,0.0012829763545596506,0.9714269546377201,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,Cer,260292.91549301147,226606.41647338867,224349.4774131775,218882.65203475952,217872.79592895508,261576.97959136963,228328.8583450317,223601.6531028748,227696.1364517212,544596.580368042
1-O-eicosanoyl-Cer(d18:1/16:0),0.4290679329677305,6.295593509353357,0.8359227250222148,0.360565483212027,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,Cer,40271.942752838135,48901.74348449707,79985.14546966553,45007.06316757202,38794.08239746094,36027.762283325195,42948.363021850586,42736.36308288574,30331.58203125,28402.641986846924
1-O-lignoceroyl-Cer(d18:1/16:0),6.10837538944183e-5,7.258077235113105,1.712578523438424e-8,0.999895584419576,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,Cer,88004.54573059082,67973.50408935547,83376.7452545166,147981.1301498413,69986.14563369751,84782.36605834961,66330.18539047241,144407.71041107178,81413.10648345947,19274.341342926025
1-O-myristoyl-Cer(d18:1/16:0),-0.014814829187206894,6.5302478578388365,0.001011573350353956,0.9746273670979296,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,Cer,48533.30375289917,53109.183780670166,59416.14421081543,49433.40335083008,43722.223094940186,54183.54351043701,53711.363929748535,49155.66358947754,50361.16374969482,43334.30277252197
1-O-palmitoyl-Cer(d18:1/16:0),0.13551925544164045,6.395015365071226,0.08428910932957479,0.7715669512653519,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,Cer,42280.12342071533,51340.90389251709,57042.14367675781,44925.50315475464,38691.3226890564,42159.56315231323,46103.00323486328,43331.863063812256,40639.18308258057,50665.82361602783
1-O-stearoyl-Cer(d18:1/16:0),0.5041672228947633,6.587751198539185,1.1504213254993374,0.28346096881619026,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,Cer,45861.98350524902,60920.96372222901,108743.84694671632,58732.24412536621,43761.36296844482,41978.90271377564,47592.20374298096,53856.84366226196,37718.002490997314,32940.40257644653
1-O-tricosanoyl-Cer(d18:1/16:0),0.01573822440293876,6.51937791342596,0.0011407132233216544,0.973057013209823,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,Cer,42481.76253890991,46389.883586883545,47993.66288375855,85672.64553451538,45309.76321029663,47917.14291381836,44551.78361511231,79700.04627227783,46306.86296844482,21537.66153717041
1-O-tricosanoyl-Cer(d18:1/18:0),-0.06114651660371217,4.3449641080291315,0.017246676542750805,0.8955169482245773,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,Cer,9886.160655975342,11597.380840301514,10146.580741882324,12243.720832824709,8869.920574188232,11874.98077774048,11112.440662384031,11614.500896453856,10037.64073562622,12759.900817871094
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",0.06269421123781732,13.053558244043321,0.018079948059946727,0.8930374970613262,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,4456442.3203125,4906805.72265625,4376553.2001953125,5851287.732910156,5240845.183105469,4612804.606933594,5059683.297363281,5089087.544433594,4672021.863769531,2428656.8916015625
12:0 Cholesteryl ester,0.080392302968188,7.933359962189081,0.02971251907001715,0.8631441424075266,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,197889.75340271,192208.85467529297,196251.07221984863,46403.643058776855,45492.56311035156,206443.9545135498,187842.8329925537,54702.86418151856,53449.14390563965,158999.98956298828
12:0 Cholesteryl ester_2,0.07052499889926454,7.901159586259138,0.022872778339660726,0.8797883777725155,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,188985.39365386963,191529.11226654053,181537.25415039065,43779.26319885254,49127.3635559082,198899.3538360596,189600.5742797852,50913.96357727051,49618.86361312866,163044.15301513672
14:0 Cholesteryl ester,9.94688562221875e-5,7.1469240764672435,4.551839083433151e-8,0.9998297710154768,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,107592.74710083008,111948.30752563477,95863.90637207033,37085.942611694336,34170.76250457764,107908.76762390137,103784.52690124512,43653.82319641113,49058.56335067749,85346.74568939209
14:1 Cholesteryl ester,0.0362942320815817,7.131777719520662,0.006063326778530609,0.93793355826125,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,105616.70771789552,114755.32794189452,89815.826416015625,36128.2225151062,35097.92267227173,101516.40711975098,103069.94741821288,42685.24269104004,45816.14336395264,91728.62675476074
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,0.20508828797200487,8.665178647639577,0.1926224797643954,0.6607428546419098,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,344296.18408203125,322049.3430175781,282733.9587402344,111289.70825195312,97976.74700927734,289878.5213623047,287886.201171875,121756.2882385254,94190.34649658205,268696.0985107422
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,0.1606245160717585,8.659480100339264,0.1183263456041459,0.730856839440632,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,339298.6618652344,310006.2232055664,279367.6589355469,109775.18774414062,90888.4663696289,292477.3010253906,290238.6412353516,120988.00839233398,93845.26657104492,281328.5203857422
15:0 Cholesteryl ester,0.07795195758818962,8.480909661525619,0.02793825024855323,0.867254078019319,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,266142.63873291016,262806.1593017578,247914.3380126953,100862.94711303712,93542.90643310548,259193.8380126953,259023.73706054688,110598.20782470705,99013.02743530272,248100.27880859372
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,0.14265021845456238,8.680969589486223,0.09337899454112719,0.759924626939533,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,325613.7829589844,314207.48400878906,285182.6004638672,111228.06823730467,104504.52752685548,296957.74169921875,290135.00103759766,120349.36853027344,108678.26788330078,282264.8193359375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,0.14417965976534447,8.7080604044539065,0.09538755028916057,0.757436583692923,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,332167.2241210937,320285.1428222656,290290.8615722656,109240.58813476562,110252.7873840332,299675.64099121094,298718.8214111328,121086.38803100586,111295.56848144533,287922.24072265625
15:1 Cholesteryl ester,0.07523362086666321,8.516066106794598,0.026025743121863343,0.8718374645135406,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,268890.8377685547,271941.5600585937,254635.35803222656,99233.0864868164,98567.5069580078,268055.0593261719,267581.09765625,112505.0086364746,97831.46688842772,255572.7781982422
16:0 Campesteryl ester | 17:0 Cholesteryl ester,0.48027789189972747,8.882348705175382,1.045149568079978,0.3066268356145877,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,599021.1501617432,364204.10803222656,448713.8888244629,151944.7908821106,56299.90330123901,482661.26905822754,230368.095413208,157669.31104660034,44475.38328170776,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,0.5380173793381333,8.887674633137486,1.3081589378343779,0.2527282603850037,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,609993.4200134277,360084.2857208252,463799.4299316406,156451.45086669922,55858.1439781189,457017.1744232178,232697.2156829834,162404.1529197693,42214.92322540283,125768.08905029295
16:2 Campesteryl ester,0.4819406536213166,8.86751936129339,1.052321981702903,0.3049729191050788,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,625300.3235015869,333241.1462402344,437722.5107727051,152684.90951156616,56317.044551849365,468778.7299804688,229844.91590881348,165206.61423492432,43435.38317108154,117353.56846618652
"16:2 Cholesteryl ester, zymosteryl palmitoleate",0.17333705025420706,8.658339821636252,0.13774095349072013,0.7105372189724913,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,318423.20361328125,314303.2229003906,291071.2001953125,108236.02865600586,103669.7276916504,286850.72009277344,293157.0216064453,113731.94830322266,101456.2074584961,274790.7999267578
16:3 Campesteryl ester,0.5381320734036723,8.850549021489657,1.3087094176152618,0.2526284553084556,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,615577.74658203125,344850.82232666016,433388.474029541,157380.9925956726,58418.86434555054,456562.5186233521,217033.97341918945,160582.991481781,41053.32256317139,114802.70822143556
16:3 Cholesteryl ester,0.14481992870285795,8.609922414746523,0.09623456756526139,0.756395967597779,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,310266.3620605469,293686.3809814453,270211.9997558594,109016.26788330078,102616.72705078124,273550.51916503906,280845.88049316406,118023.78784179688,104182.76788330078,268572.4782714844
16:3 Stigmasteryl ester,0.5017983431753917,9.172523284840036,1.1398283036760404,0.28568861073412044,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,727697.5627822876,427144.43183898926,529747.2166748047,192696.09077453613,87870.18571090698,542890.2322692871,303466.01583862305,177535.57064819336,70479.92538833618,174687.61349487305
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",0.5632633515280002,9.35423219205396,1.4321362777845934,0.23141611302644333,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,855093.6213684082,510967.8601989746,612365.7075805664,204385.9342041016,84979.48628616333,609582.4785461426,339927.88663482666,196164.55129241943,63067.42455291748,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",0.535768553610366,9.361780549689344,1.2973851066853967,0.25469141691198666,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,852660.2135925293,521878.4792175293,601565.92333984375,199647.8141479492,89481.14645385742,612892.9210205078,352186.2632141113,199214.2363128662,66339.54444122314,197452.6138916016
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",0.5279195665137504,9.338402988718048,1.2601018374407431,0.26163181503221594,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,842930.1578979492,510275.13067626953,586323.5788574219,197720.9366455078,81592.54598236084,604201.1010437012,344977.4267883301,195620.6760406494,66619.54499816895,201944.2561798096
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",0.573623003237797,9.34842290313822,1.4845780670439126,0.22305961267627383,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,862067.712310791,517304.1920166016,595576.9428405762,204358.05494308472,83035.78645706177,601233.5832366943,331640.3845214844,200966.05520629883,63674.6642036438,199674.9553833008
17:1 Cholesteryl ester; 16:1 Campesteryl ester,0.5098263286284501,8.881202117489407,1.1761652313489321,0.27813806315546175,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,611723.5156555176,350131.3035583496,446275.3489227295,159345.89164733887,60428.163719177246,471428.01194763184,218880.09548187256,165967.61249160767,46261.54291534424,122837.10720825195
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,0.4998638106365857,8.827542404339907,1.1311507043756137,0.28753002463043603,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,597038.2792663574,335558.16551208496,423873.5100250244,151612.76976776123,55816.66398239136,460792.76985168457,206078.07276916504,160566.41161346436,45343.34331130981,119584.48794555664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",0.7733568379587935,8.764762147213816,2.671252462987468,0.10217558777981514,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,579479.3815917969,415102.8081359863,312724.2644042969,103781.74765777588,79692.8857498169,278488.0610809326,250274.46084594727,88312.66635894775,66861.42481994629,232670.8377380371
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",0.7421687985664713,8.773998029308144,2.46425242481655,0.11646310154967389,0.999895584419576,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,581549.4797363281,415805.8867492676,298301.0598449707,106387.14749145508,80918.7451248169,273423.89978027344,259398.0389404297,92443.26620483398,70337.48574829102,241449.8783721924
