lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",-0.16200390851476273,12.963795604724554,0.072247748046432,0.7880917415425281,0.999964504802779,CAR,3537992.9995117188,4869216.183105469,3993657.2543945312,4530618.3974609375,4468202.2490234375,4224210.512207031,2428656.8916015625
12:0 Cholesteryl ester,0.03437770339477514,8.20087619513481,0.0032548744056839496,0.9545041655864004,0.999964504802779,CE,184184.01274108887,194290.03338623047,57300.26417160034,186232.6936645508,183007.07179260257,49461.103244781494,158999.98956298828
12:0 Cholesteryl ester_2,0.05329460402418385,8.225348091888069,0.00782226824958343,0.9295241188340956,0.999964504802779,CE,194223.2352294922,194121.27363967896,55628.72424697876,189840.21322631836,177894.63215637207,54207.28388977051,163044.15301513672
14:0 Cholesteryl ester,0.3045606617484128,7.614505247137975,0.25499313382715627,0.6135809968906316,0.999964504802779,CE,174361.71353149414,103502.50770568848,44501.422870635986,104420.42792510986,109004.62704467772,49358.223373413086,85346.74568939209
14:1 Cholesteryl ester,0.2633172787210158,7.61568491631564,0.1906963308374543,0.6623376982876498,0.999964504802779,CE,167934.35008239746,103306.90727233888,43761.02275466919,103682.6265411377,112287.36878967284,47979.98323059082,91728.62675476074
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,0.10509642074358365,8.875344870358546,0.030414075416047126,0.8615540085043604,0.999964504802779,CE,292253.8006591797,309868.7003173828,101925.20712280272,274064.7186279297,268143.77795410156,100182.9266052246,268696.0985107422
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,0.09079331945926501,8.888795400452866,0.022700264453305863,0.8802391403661505,0.999964504802779,CE,288007.4022216797,308109.24353027344,105516.18823242188,278048.1408691406,271687.5393066406,96428.72689819336,281328.5203857422
15:0 Cholesteryl ester,-0.007931208758597066,8.746023960953108,1.7324967484455556e-4,0.989498200185516,0.999964504802779,CE,253107.4787597656,264173.32067871094,101124.08694458008,258305.59765625,248950.81713867188,102162.18740844728,248100.27880859375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,0.02636343178262265,8.914736217799746,0.0019142242090310901,0.9651022099771105,0.999964504802779,CE,278878.5386352539,308956.20349121094,115424.5080871582,286384.1994628906,276976.9796142578,111654.76879882812,282264.8193359375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,0.0049558583621059716,8.928688588743308,6.764446152374148e-5,0.9934377724282625,0.999964504802779,CE,286760.6004638672,295662.2412109375,118771.74865722656,293948.66052246094,278041.7590332031,112872.2681274414,287922.24072265625
15:1 Cholesteryl ester,0.07528291177706505,8.802439401083378,0.015607665729476139,0.9005784582709184,0.999964504802779,CE,279110.23876953125,272599.61767578125,109607.08767700195,261043.47790527344,247970.59814453125,107635.2876586914,255572.7781982422
16:0 Campesteryl ester | 17:0 Cholesteryl ester,0.5255975850263611,8.490043791797055,0.7566810782591347,0.3843691705831628,0.999964504802779,CE,181109.19328308103,438289.16777038574,77134.06510925293,249489.0998535156,160506.25076293945,47949.46321105957,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,0.6049742597122891,8.492740051397575,1.0007152735307763,0.3171374944843892,0.999964504802779,CE,187184.91275024417,443183.8342895508,79354.32606506348,240007.47801208496,151672.46923828125,50140.58383560181,125768.08905029295
16:2 Campesteryl ester,0.5295828420554043,8.41462605164702,0.7681346911938363,0.38079471978524043,0.999964504802779,CE,167781.59133911133,418315.46867370605,74919.82628250122,239180.9777069092,147526.39030456543,45947.08301925659,117353.56846618652
"16:2 Cholesteryl ester, zymosteryl palmitoleate",0.07334798274065032,8.888500764199813,0.014815775604802184,0.9031207173306955,0.999964504802779,CE,292551.71875,297439.0616455078,110140.7073059082,276360.1994628906,269447.4189453125,107576.0082397461,274790.7999267578
16:3 Campesteryl ester,0.5807502043859916,8.416358003422095,0.922701026986033,0.3367667688012413,0.999964504802779,CE,170507.59172058103,427672.8699798584,75315.50601577759,234669.65798187256,144066.910446167,46587.88315200806,114802.70822143556
16:3 Cholesteryl ester,0.005992402401257419,8.833537128262016,9.889999637380242e-5,0.992065290327336,0.999964504802779,CE,270792.63830566406,275931.4796142578,110097.02749633788,274137.7209472656,262840.2385253906,104622.92736816406,268572.4782714844
16:3 Stigmasteryl ester,0.4432380784378012,8.830997134057993,0.5389748609832168,0.4628578880457881,0.999964504802779,CE,238233.19439697263,491452.9175415039,112134.6275253296,301400.6235656738,207753.87649536133,79884.74600219727,174687.61349487305
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",0.4257161748306258,9.028271920232783,0.497355404892005,0.4806644448050431,0.999964504802779,CE,269417.33947753906,589933.1188049316,103941.22734069824,360051.70681762695,252912.35702514648,69250.00426864624,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",0.4100037163990259,9.031737617200553,0.46144020903739147,0.49695165771442346,0.999964504802779,CE,275774.5595397949,578218.7215881348,105990.80756378174,372578.784576416,249793.495513916,65956.20474243164,197452.61389160156
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",0.3808013420895736,9.04027132258906,0.3982320604227425,0.5280037096881751,0.999964504802779,CE,272276.99826049805,578229.0800170898,104960.36757659912,372894.063873291,253252.07821655273,72498.68489837646,201944.25617980957
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",0.4631974733868703,9.032597494971597,0.5883987379208975,0.4430389856687359,0.999964504802779,CE,282595.2204284668,584872.5077514648,106163.54775619508,350154.3428039551,255931.9373779297,67602.62491607666,199674.9553833008
17:1 Cholesteryl ester; 16:1 Campesteryl ester,0.5694319902523203,8.456443373300942,0.8873148420311736,0.3462059989674749,0.999964504802779,CE,172803.25178527832,436325.72637939453,77847.66497421265,243419.6374053955,148317.23024749756,45423.58345794678,122837.10720825195
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,0.5178262567310631,8.4109761066724,0.7345873516940173,0.391400278478534,0.999964504802779,CE,165014.77180480957,415234.27352905273,75341.58574676514,236172.8360900879,147790.75193023682,48443.423652648926,119584.48794555664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",0.1828878782219704,8.571996286649869,0.09206027408072259,0.761574103184603,0.999964504802779,CE,238098.99700927737,265711.5782318115,72586.16502380371,222433.1926574707,217670.1551208496,58456.8840713501,232670.8377380371
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",0.15396253403141524,8.586902804766645,0.06525550591322826,0.7983743425247107,0.999964504802779,CE,234472.71701049805,270909.55950927734,68150.66487884521,230665.59564208984,212685.6136932373,61869.20440673828,241449.8783721924
18:1 Campesteryl ester,0.054493862383564746,8.578032145173593,0.00817828974686563,0.92794242103987,0.999964504802779,CE,233450.53912353516,261731.28118896484,63951.22497558594,240928.99647521973,227796.5161743164,60167.68382263184,225617.7167816162
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",0.35799484894758493,9.099779539611216,0.35207779028860386,0.5529392934950379,0.999964504802779,CE,289138.4790649414,585151.3779449463,102739.50680541992,381474.1481933594,274696.0990600586,71782.84466552734,224405.7758178711
18:3 Campesteryl ester,0.14929160927194193,8.422336743547508,0.061357734964985866,0.8043627130510227,0.999964504802779,CE,213127.35446166992,242607.49642944336,66174.2045288086,206521.37365722656,195902.6728515625,58889.22416687012,197820.75631713867
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",0.3540467780832951,9.178420687567783,0.3443744295327633,0.557315035925648,0.999964504802779,CE,315847.1044616699,595870.3013763428,103495.5284690857,400381.6452026367,283924.2213745117,76460.92622375488,254542.46154785156
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",0.12365532273571386,9.315689895331541,0.04210071261331905,0.8374279151056325,0.999964504802779,CE,419422.98986816406,415310.3869628906,146106.55047607422,391348.7673339844,354341.3049316406,139586.21026611328,328716.4434814453
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",0.18340839518063393,9.325575130616762,0.09258548922662158,0.7609156188612559,0.999964504802779,CE,427756.94885253906,430666.9284667969,150386.73071289062,382867.52575683594,352302.1843261719,137866.00958251953,329537.4803466797
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",-0.044239099575750986,11.408461405295132,0.005390089861975866,0.9414741059478913,0.999964504802779,CAR,1218044.2957763672,1240025.518798828,1244585.4881591797,1289018.3786621094,1210873.5478515625,1173183.5369873047,1930786.4631347656
20:0 Campesteryl ester,0.7551476921221605,9.967756912927177,1.5529800829535816,0.21269603861723718,0.999964504802779,CE,944354.227294922,799106.8182373047,242206.25750732425,469695.3544921875,501893.65234375,197502.67498779297,317584.8635253906
20:1 Campesteryl ester,0.7140194114614601,9.936381107433112,1.390065304316522,0.23839407160479373,0.999964504802779,CE,922340.90771484375,768436.0723876953,229859.89709472656,461297.6511230469,503761.7349853515,199627.77404785156,310572.0031738281
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",0.11744246690449547,9.33627460907834,0.0379775743058417,0.8454881773957404,0.999964504802779,CE,420065.7504882813,422728.80859375,149125.32971191406,396489.7082519531,359091.7648925781,142767.74981689453,336350.2844238281
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",0.13538317657940344,9.31979857583367,0.050462275627069175,0.8222608233721524,0.999964504802779,CE,420005.08837890625,413933.3474121094,152263.0704345703,380589.8077392578,355941.384765625,146173.73016357422,332064.9237060547
20:3 Campesteryl ester,0.23602710239935973,10.098527378049367,0.15326353279670002,0.6954359163926938,0.999964504802779,CE,831691.5396728516,630418.0675048828,291385.0417480469,581533.5655517578,624555.2194824219,273740.8601074219,532591.3153076172
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",0.1446779058701216,9.091932845614833,0.05762599127046997,0.8102882839103615,0.999964504802779,CE,340624.28259277344,362469.4854736328,146808.49047851562,316081.24267578125,295324.52014160156,140183.13012695312,281844.6805419922
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",0.11782459964305625,9.282555534405578,0.038225000724196434,0.844992027040967,0.999964504802779,CE,348037.0646057129,402231.26961517334,144343.5308227539,348575.3070983887,324714.06285095215,131112.8683166504,433173.92571258545
20:5 Cholesteryl ester,0.015690420866811796,10.33339915556263,6.780568510293961e-4,0.9792258129098996,0.999964504802779,CE,719790.7917480469,810821.262512207,246523.35818481445,771799.6127319336,714395.755935669,235360.5344581604,911030.2897338868
22:0 Campesteryl ester,0.44882427824558563,9.02941962464194,0.5525928076785931,0.4572602054262531,0.999964504802779,CE,526033.4529647827,384554.50311279297,71315.94483184814,335009.5023803711,319311.84059143066,69838.88446426392,105651.5481300354
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",1.3830812015823128,9.045620927121325,5.078354002562264,0.024226358612000422,0.999964504802779,CE,636603.4621429443,524705.1521759033,114199.28704071043,172745.71115112305,235747.2753677368,80594.5062789917,79871.64535522461
22:0 Sitosteryl ester,0.4245937428369759,9.244346277269125,0.49474640359403566,0.4818176475920911,0.999964504802779,CE,561003.0242385864,421927.34729003906,79683.76554870605,375415.22120666504,342953.5009460449,77020.76491165161,228572.99380493164
22:1 Campesteryl ester,0.534865563252532,8.934488408020902,0.7834537744856789,0.3760869297710522,0.999964504802779,CE,479712.1131286621,395492.0505371094,70321.82493591309,300019.1825180054,286221.46573257446,66762.084716796875,102455.64757919312
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",1.3612331482221323,9.02760684509602,4.924634617291304,0.02647640040398579,0.999964504802779,CE,631755.8412628174,508749.61309814453,112743.7882270813,169745.83312225342,234477.81832885745,84083.74672317505,78654.8657836914
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",0.45713456935791663,9.23203916495318,0.5731605303662946,0.4490057320365837,0.999964504802779,CE,568701.699710846,423679.4720993042,84803.34576416016,371401.4266014099,339966.16425323486,77005.56617355347,206498.9136428833
22:2 Campesteryl ester,1.4240966167454772,8.274196844459535,5.372552707551222,0.02045601943609887,0.999964504802779,CE,289210.3822784424,381027.0474014282,70477.46474456787,109912.80857086182,103576.40770339966,55119.703243255615,80835.36569976807
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",0.49516006065103024,9.15027307230862,0.6719972026839969,0.41235615673775705,0.999964504802779,CE,558193.1280670166,415441.63109588623,78620.56488800049,350456.68489456177,326611.1287879944,73470.72465133667,160474.38968276978
22:3 Campesteryl ester,1.6864226395470425,8.416279429256784,7.423806898899784,0.00643664897999228,0.999964504802779,CE,353298.22665405273,449166.67167663574,60358.8840713501,117693.50897216795,117399.28813171388,27730.041870117188,78485.72638702393
22:3 Stigmasteryl ester,0.44152348953771253,9.03990500427307,0.534830597905966,0.464583025903969,0.999964504802779,CE,511923.66984558105,404606.42864990234,73503.32471084595,336055.4048423767,324529.98192596436,70560.264919281,107463.74801254272
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",0.737939616897997,10.081765804396746,1.4837542607856449,0.22318805593435734,0.999964504802779,CE,1016566.2236328124,848434.1008300781,253103.3198852539,505492.7348632813,542394.1608886719,215199.37567138672,370215.2233886719
22:5 Cholesteryl ester,0.7238147434578359,10.023878978775773,1.4280731731560081,0.23207915518643518,0.999964504802779,CE,964189.7916259766,834771.65625,240096.01763916016,490647.8161621094,528387.7165527344,207113.65533447263,343852.4637451172
22:6 Cholesteryl ester,0.7518317245303467,9.991463011330096,1.5395217295736074,0.21468900879025515,0.999964504802779,CE,964544.3095703124,816056.55078125,238869.7992553711,477660.0895996094,511284.4758300781,203145.3345336914,318345.9444580078
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",0.4613531659053778,9.270349041258951,0.583743248040264,0.444848816278748,0.999964504802779,CE,578703.7203903198,439196.276046753,80810.02714920044,380375.3474197388,343044.65074920654,77957.44495010376,225753.29443740845
3-hydroxyarachidonoylcarnitine,0.047984078066512344,11.832844710243661,0.006341254811559338,0.9365299467635251,0.999964504802779,CAR,2006010.538330078,1782707.8674316406,1758179.811767578,1790563.1328125,1705696.5053710938,1698589.076171875,1852556.1604003904
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",0.05279758623457914,11.56790983443653,0.007677231031266274,0.9301788569629311,0.999964504802779,CAR,1648205.6264648438,1463896.3289794922,1432335.53125,1469556.4709472656,1387417.1748046875,1385420.610961914,1670603.4350585938
"3-hydroxylinoleoylcarnitine,",-0.26005278038314694,14.717417386089085,0.18601054254948615,0.6662579601617781,0.999964504802779,CAR,10761649.6015625,18211508.875,15035135.946289062,16175701.743652344,16419706.2265625,17175345.586914062,2200595.70703125
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",-0.2198991887297174,13.650409568015142,0.13305427138616044,0.7152860495013311,0.999964504802779,CAR,5162313.787597656,8139380.811523437,7055534.583984375,7209705.599609375,7470181.8642578125,7760483.259277344,2678909.9697265625
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",-0.020600228360658807,11.788840114449478,0.0011688019149005413,0.9727274388245513,0.999964504802779,CAR,1759514.2299804688,1749869.0766601562,1744912.2163085938,1753678.2744140625,1650440.2626953125,1726526.607421875,1844464.9086914065
C12:0,-0.023461686225992377,8.955628726064205,0.0015160375041887164,0.9689411543340992,0.999964504802779,FA,65259.664710998535,109801.30871582033,710519.4306640625,85580.02577972412,74923.58480072021,653824.168548584,75923.3450012207
C12:1,-0.004237770305237836,7.882077181610104,4.946107219439e-5,0.9943886385443698,0.999964504802779,FA,47108.703521728516,62049.54445648193,287798.99993896484,49931.84354400635,54982.60381317139,259565.99877929688,73215.28530883789
C14:0,0.044349858981039665,12.288852052736836,0.005417120410129428,0.9413278040100286,0.999964504802779,FA,898529.0009765625,1279555.7036132812,6963518.0693359375,1015557.393798828,1011738.4111328124,6046213.6572265625,693541.4095458984
C14:1,-0.010896711059919142,10.763148924575496,3.270322340540588e-4,0.9855718160318153,0.999964504802779,FA,594265.66064453125,717026.0707397461,1435120.964111328,599084.623046875,714810.3697509766,1283313.6311035156,740184.6535644531
C15:0,2.496918681385169e-5,9.542950542810635,1.979060471057892e-9,0.999964504802779,0.999964504802779,FA,115030.28819274902,121836.94915771484,1090235.3614501953,103824.6078491211,122971.3888092041,978235.9412841796,129704.048828125
C15:1,-0.28943797539555416,10.440494223511678,0.23034762957831845,0.6312661861374732,0.999964504802779,FA,296673.09677124023,235542.77764892575,1655150.7130126953,213923.81509399417,292221.74154663086,1946355.065673828,272115.42083740234
C16:0,-0.1609268894721813,13.759821018737972,0.0712908935621357,0.7894664308865503,0.999964504802779,FA,520237.87005615234,682099.9892883301,23354211.756591797,575914.718963623,671411.6846313477,23273896.87438965,774104.8880310059
C16:1,0.03658756177653318,10.0723624406021,0.0036868421593680978,0.951582703367951,0.999964504802779,FA,83028.24620056152,98844.3080368042,1805586.1708984375,90039.48612976074,99205.5075149536,1551176.450012207,136898.70957183838
C17:0,-0.024040877962550715,10.814651066442382,0.0015918280114419758,0.9681746693310046,0.999964504802779,FA,106294.46714782716,139662.78958129883,3071493.1654663086,110541.86812591551,120016.02813720705,2790368.6721191406,140066.65022277832
C17:1,-0.002238344587974468,8.65507637813474,1.3799115549772978e-5,0.997036092209117,0.999964504802779,FA,64310.14447784424,78449.80569458008,573275.8400878906,60772.00437927246,65939.6644897461,524639.7941894531,70801.5651550293
C18:0,-0.5410249001504043,13.94447181740118,0.8015081028316757,0.3706428537503054,0.999964504802779,FA,331727.46364593506,427606.13441467285,23530379.48803711,362502.4236526489,440748.81315612793,30694361.858276367,531086.4338760376
C18:1,-0.25324390627364324,9.29165316821078,0.17640812453464605,0.6744783881035418,0.999964504802779,FA,76538.52537536621,90479.36639404295,855011.84033203125,80559.24592590332,88099.3063659668,933400.5457763672,104823.58738708496
C18:2,-0.21738349805682802,8.923488438472338,0.1300285849138163,0.718402402939392,0.999964504802779,FA,67781.42481994629,83346.18618774414,652463.1795043945,73442.66500854492,75589.74545288086,698083.7495727539,77342.70542907715
C18:3,-0.09613437945577939,8.654637100469264,0.02544907366973348,0.8732531693960603,0.999964504802779,FA,60280.80438232422,69524.76458740234,556984.080871582,53728.96374511719,70039.80529785156,542877.7591552734,80425.24575805664
C18:4,0.06268743718920854,7.641718167263848,0.010822170617757365,0.9171458092407252,0.999964504802779,FA,42168.5029296875,53779.403663635254,254400.53790283203,40413.74284362793,45068.98324584961,221650.59716796875,51582.26365661621
C19:0,-0.21691807884616632,10.685903433912378,0.1294741164892912,0.7189779171665679,0.999964504802779,FA,110576.26768493652,109783.32733154295,2606082.5446777344,97796.74641418456,124545.28927612305,2724316.3669433594,127139.60901260376
C20:0,-0.41440263834759816,11.04704623717564,0.47136585251428187,0.49235948273690683,0.999964504802779,FA,7604.120532989502,7639.580585479736,3456997.7758789062,7786.240581512451,7616.220481872559,4097641.898925781,7613.20051574707
C20:1,-0.11382143365865269,8.713482343852442,0.035672296420671046,0.85019383643151,0.999964504802779,FA,8003.260551452637,7914.660617828369,751014.5116577148,8162.660572052002,8022.740535736084,722962.9092407227,7613.340526580811
C20:3,-0.5421800326981825,10.264024712809688,0.8049100161879323,0.3696293979561452,0.999964504802779,FA,136979.38968658447,108870.46718978882,1641727.3037109375,122215.80850601196,142620.22994995117,2218698.015625,13496.580974578856
C20:4,-0.08957038021953,8.617932702629917,0.022092964936746284,0.8818400564908614,0.999964504802779,FA,43572.742935180664,54842.16376495361,596100.1388549805,44692.9231262207,49378.24327850342,572772.0607910156,45044.56342697144
C20:5,-0.1742464684217768,10.297567609710416,0.08357257489115,0.7725131057235721,0.999964504802779,FA,87672.50679016113,105897.68690490724,1976678.9348754885,104304.14715576172,110983.42793273926,1982782.520263672,136633.4702758789
C22:0,-0.25179526685900316,9.910737802626294,0.17439888740773313,0.676231605395303,0.999964504802779,FA,23399.06170654297,28800.42206192017,1611712.4611816406,24892.82191085815,28235.482181549072,1712995.5904541016,28793.822025299072
C22:1,-0.07194372552009562,8.117138467180151,0.014253880130127072,0.9049666886092816,0.999964504802779,FA,15650.301082611084,15731.241065979004,473792.9331970215,15487.821071624756,15168.301097869871,444693.6153564453,17784.141235351562
C22:4,-0.00969056093842962,7.645363243734424,2.586340924608521e-4,0.9871688900289787,0.999964504802779,FA,13860.760997772217,14972.061054229736,341043.86407470703,12582.440914154053,14356.981021881104,306986.10302734375,16067.361099243164
