lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023
15:0 Cholesteryl ester,-0.04893859864694805,8.71996017470998,0.005953230051090941,0.9384985073932695,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,241246.33728027344,253455.57739257812,105602.46716308594,257820.4782714844,246816.4970703125,116445.74822998048,248100.27880859375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,-0.0530328466836972,8.877172479700972,0.0069909551602904685,0.9333649798539646,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,278759.4783935547,273873.7996826172,111482.82788085938,295206.8620605469,267262.1589355469,126887.06896972656,282264.8193359375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,-0.026793761481478683,8.870385953021495,0.001784563974069897,0.9663041073037224,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,272410.89880371094,280813.90087890625,110884.42791748048,280321.3400878906,274924.6597290039,121661.82904052734,287922.24072265625
15:1 Cholesteryl ester,-0.01907873747675526,8.759454182809174,9.048292995430529e-4,0.976002947630243,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,260969.47998046875,254370.2586669922,106415.78732299805,268707.93811035156,249741.7177734375,113070.3878173828,255572.7781982422
16:0 Campesteryl ester | 17:0 Cholesteryl ester,-0.9081134513687982,8.45906297140495,2.0170056118804496,0.15554561386718058,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,163176.71159362793,187992.35208892825,46379.60326766968,336776.8264312744,328525.7266998291,76195.66496658325,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,-0.8755651862594619,8.49092379361608,1.877118614513166,0.17066199768157986,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,160255.63095092773,202342.01542663577,50241.78372955322,347830.1068267822,326737.56340026855,75534.00523757935,125768.08905029295
16:2 Campesteryl ester,-0.8791250203274641,8.431391426312661,1.8921832792002524,0.16895587482223612,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,157160.73239135742,191045.8516845703,48198.26329803467,342955.9080352783,310051.0410308838,69768.96461868286,117353.56846618652
"16:2 Cholesteryl ester, zymosteryl palmitoleate",-0.043141369560974564,8.831977966766136,0.004626393343642121,0.9457716272682144,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,269839.3192138672,260879.01892089844,113157.4481201172,280581.6188964844,265993.7189941406,119384.78771972656,274790.7999267578
16:3 Campesteryl ester,-0.8946815344132385,8.407739402280406,1.9586951532292005,0.16165293824458563,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,154318.75048446655,185146.27444458008,47734.20327758789,332875.0812988281,310477.7449951172,71218.46506500244,114802.70822143556
16:3 Cholesteryl ester,-0.027703502672754954,8.781061986764351,0.0019078023105976172,0.9651607599678094,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,254891.2978515625,267854.7390136719,103272.96737670898,259728.7784423828,258171.55993652344,119627.44903564452,268572.4782714844
16:3 Stigmasteryl ester,-0.7747938853672035,8.800847872906559,1.4746609145622642,0.22461174377565118,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,209177.1556091309,238084.13414001465,74735.34531402588,417130.1490478515,365903.52224731445,105826.8872909546,174687.61349487305
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",-0.621985155486589,8.995159867399858,0.9543263892376217,0.32862049164094276,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,263683.299118042,306007.86514282227,72935.00525665283,472836.29583740234,411432.90814208984,95725.1279220581,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",-0.6617158638227717,8.998091176828579,1.0790572119913113,0.29890855985583287,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,264936.3984527588,297442.67919921875,70505.20509338379,467518.1094055176,432811.65029907227,94433.90701293944,197452.61389160156
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",-0.650543351119826,8.980401650134082,1.043227111651504,0.3070721170914496,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,262366.89752197266,291198.4189758301,70637.344970703125,449361.2501220703,421981.7488708496,102442.5464553833,201944.25617980957
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",-0.6287802525946251,9.009516823869248,0.9751290380063438,0.3234043342054156,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,270283.1389465332,304620.8027038574,71781.18487167358,468996.0119934082,424691.0045776367,98708.50708389282,199674.9553833008
17:1 Cholesteryl ester; 16:1 Campesteryl ester,-0.8921684242085844,8.476165733571223,1.9478776197574916,0.1628157411009887,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,159780.23112487793,195049.07516479492,50700.763595581055,345805.9059753418,328314.5411529541,73089.96499633789,122837.10720825195
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,-0.9550550188600827,8.409854972475244,2.227157703764534,0.13560309802422374,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,141740.25134277344,189485.9930114746,45853.58361053467,334849.38470458984,315089.0400085449,72327.7248840332,119584.48794555664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",-0.12299440090977874,8.537834739858084,0.03759314268245362,0.8462623964445564,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,219805.51568603516,230061.63494873047,61646.12407684326,251351.8338623047,233254.1951904297,69918.46492004395,232670.8377380371
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",-0.19257888562349598,8.548472882289518,0.09212225766532356,0.7614962851648238,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,218252.77764892575,222260.49298095703,57490.724044799805,256823.51718139648,238287.11483764648,71601.82501220703,241449.8783721924
