lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",-0.0917846004698648,9.608902381131372,0.03628672214108519,0.8489245985113064,0.9972693222116406,CE,842930.1578979492,510275.13067626953,586323.5788574219,197720.9366455078,81592.54598236084,485151.77462768555,520088.8929138184,296793.23989868164,562371.0579147339,102937.98823547363,201944.25617980957
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",-0.05950782606758229,9.619065258220546,0.015254526580974925,0.9017038763937864,0.9972693222116406,CE,862067.712310791,517304.1920166016,595576.9428405762,204358.05494308472,83035.78645706177,482734.01651000977,514852.2113342285,295495.2796020508,571522.3371124268,98115.54702758788,199674.9553833008
17:1 Cholesteryl ester; 16:1 Campesteryl ester,-0.14597430112817994,9.177585422791962,0.09175882760905552,0.7619529661889639,0.9972693222116406,CE,611723.5156555176,350131.3035583496,446275.3489227295,159345.89164733887,60428.163719177246,346586.8232803345,398959.0480499267,182229.13215637207,539455.1224517822,80697.56628417969,122837.10720825195
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,-0.12334759911164347,9.109157903975118,0.06552531984084453,0.797966945095931,0.9972693222116406,CE,597038.2792663574,335558.16551208496,423873.5100250244,151612.76976776123,55816.66398239136,330769.7475128174,378362.88427734375,172700.15437316897,506378.6541099548,74885.58505630493,119584.48794555664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",0.25744057262844283,8.933085881763816,0.2851390771502338,0.5933524970773182,0.9972693222116406,CE,579479.3815917969,415102.8081359863,312724.2644042969,103781.74765777588,79692.8857498169,265665.31997680664,250481.35647583008,273335.97845458984,62059.30449676514,64375.98403930664,232670.8377380371
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",0.24251270024529673,8.937925008886783,0.2530675645211886,0.6149233456229386,0.9972693222116406,CE,581549.4797363281,415805.8867492676,298301.0598449707,106387.14749145508,80918.7451248169,278562.02059936523,251506.4744873047,265981.2977294922,66287.6245727539,65895.02463531494,241449.8783721924
18:1 Campesteryl ester,0.012483759402389256,8.813652208437732,6.71378023980651e-4,0.9793283554599659,0.9972693222116406,CE,455285.64990234375,356218.5864562988,290367.66189575195,90191.30676269533,66857.70453643799,266465.2412109375,245670.0968322754,280101.3180847168,56779.70411682129,60489.72505187988,225617.7167816162
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",-0.11099869654882878,9.645095990313623,0.05306522986211348,0.8178128835191074,0.9972693222116406,CE,840616.2183532715,529500.3120422363,600648.3408966064,201127.7946472168,78328.40519714355,498600.83795166016,542809.4772644043,318725.1033630371,552400.2912902832,94015.80750274658,224405.7758178711
18:3 Campesteryl ester,-0.08589133966517658,8.607857707448428,0.0317768778259051,0.8585182398371903,0.9972693222116406,CE,349060.78579711914,310821.30099487305,245531.99661254883,79602.82596588135,67994.36478424072,237615.17587280273,228000.55624389648,240460.916885376,57197.34386444092,61311.203605651855,197820.75631713867
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",-0.11245106826133433,9.696743393277506,0.054462645639432594,0.8154722954375989,0.9972693222116406,CE,850813.5699462891,552733.6976013184,620345.52880859375,201715.55276489255,91518.96710586548,507301.7349853515,540377.458404541,337561.1262207031,573815.3596115112,101688.64781570436,254542.46154785156
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",0.0817989989422404,9.540154203454334,0.028821625907767157,0.8651915467093205,0.9972693222116406,CE,738547.298828125,590154.2624511719,468987.13415527344,208501.35400390625,149831.62994384766,437464.8122558594,402255.1103515625,402006.4881591797,144071.72985839844,158509.9910888672,328716.4434814453
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",0.06783762618666521,9.53102890945669,0.019823572048323967,0.8880309391918473,0.9972693222116406,CE,721592.5570068359,591230.9625244141,457069.5925292969,204910.27416992188,155575.15103149414,431716.41259765625,397131.4901123047,402571.6882324219,148464.85083007812,160089.11193847656,329537.4803466797
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",-0.31686522842555026,11.398893325654536,0.43167999776596844,0.5111657483153942,0.9972693222116406,CAR,1342165.8034667969,1293608.794555664,1232293.98046875,1205931.8406982422,1154733.269897461,1083593.9168701172,1316100.0698242188,1280694.2133789062,1321934.1652832031,1328133.6027832031,1930786.4631347656
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",0.051693893581867205,9.560991361492524,0.011511607583088335,0.9145572041074094,0.9972693222116406,CE,741543.9924316406,592514.7603759766,463263.3770751953,213167.83587646484,152485.4100341797,441135.7902832031,413777.4302978515,411261.06884765625,157066.20965576172,160391.5714111328,336350.2844238281
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",0.03489852624482719,9.53616423836036,0.005246675958915148,0.942256573888075,0.9972693222116406,CE,715989.0925292969,571387.8460693359,452535.7111816406,214638.8768310547,156924.85137939453,427770.54821777344,412817.9084472656,404912.9471435547,156799.3109741211,164944.91046142578,332064.9237060547
20:3 Campesteryl ester,-0.19343136784606185,10.22235624254388,0.16106865451001795,0.6881745325405354,0.9972693222116406,CE,971733.7509765624,796782.51513671875,658286.7297363281,331052.8444213867,359388.5831298828,651394.2424316406,620419.22412109375,818735.2111816406,256280.87823486328,276048.0584716797,532591.3153076172
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",0.11577631878603743,9.357596746416542,0.05773019983735139,0.8101201003895862,0.9972693222116406,CE,655990.4508056641,518913.4805908203,402155.2277832031,194882.89279174805,152072.91143798828,364076.984375,342376.0046386719,346876.38415527344,141291.849609375,159077.29052734375,281844.6805419922
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",0.041485219650932076,9.549201584010792,0.0074139957357601816,0.9313832965046408,0.9972693222116406,CE,739420.5382232666,566264.937713623,449138.75494384766,170348.91171264648,147960.15045166016,386609.8872833252,384790.6307067871,438562.8924407959,131670.3087234497,149449.1901550293,433173.92571258545
20:5 Cholesteryl ester,-0.14526706572015316,10.471763940887575,0.09087271955377396,0.7630705915293078,0.9972693222116406,CE,1235624.6225280762,995561.273284912,848273.2289733887,289770.39990234375,256014.0956192017,736159.460723877,768196.9700622559,914103.2744140624,243411.83782958984,267082.9399795532,911030.2897338868
22:0 Campesteryl ester,0.47251880482459263,9.545690136653887,0.9576065205146733,0.32779065081561387,0.9972693222116406,CE,896566.9890136719,939694.8839035034,509218.2499542236,95272.74718475342,195138.1933746338,340675.8217391968,367210.848815918,477027.76877593994,80513.78633880615,67158.64447784424,105651.5481300354
22:0 Sitosteryl ester,0.2893529354300326,9.57822195295325,0.3600890016550693,0.5484568104192632,0.9972693222116406,CE,765647.420135498,885845.569229126,525418.6844100952,82712.30665969849,204437.75436782837,362017.368598938,396812.5258102417,498058.5573425293,96923.02661895752,69150.82513046265,228572.99380493164
22:1 Campesteryl ester,0.6624540162750893,9.580901606919152,1.8741879328663344,0.17099620011729985,0.9972693222116406,CE,1047875.6008148192,946360.6265792848,542836.6854553223,118994.38879013062,192189.37321090695,338504.9609069824,364372.6840209961,430084.86849212646,86435.68635940552,65307.76513290405,102455.64757919312
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",0.2646652519746983,9.58738793998686,0.3013467457153638,0.5830393614668666,0.9972693222116406,CE,755514.5677680969,944503.3225631714,491153.4977798462,81157.6648902893,208831.17345809937,360373.44744873047,413555.0725479126,509330.1950759888,100277.56690216064,72650.8650932312,206498.9136428833
