lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",0.2089085990364686,13.524740703891029,0.1359552754229558,0.7123355936013539,0.99988633890637435,CAR,6556788.756103516,7579394.700439453,7847061.452392578,7985043.280273437,4689957.828857422,7210002.552490234,6411734.287353516,2817110.0759277344
(9Z)-3-hydroxyoctadecenoylcarnitine,0.3038131142001325,14.825103539257308,0.28637563171355107,0.5925525273908434,0.99988633890637435,CAR,17311510.770996094,20298427.107910156,20722991.56201172,21033323.51171875,11026079.612304688,19093728.143554688,15453683.57763672,2395006.220703125
1-O-behenoyl-Cer(d18:1/16:0),0.028129523761292526,6.085234097988651,0.0024815027467184336,0.9602700650337671,0.99988633890637435,Cer,36692.462463378906,37616.98265457153,47163.46329879761,38684.44284820557,33323.14264297485,36546.822441101074,39283.802684783936,22294.401321411133
1-O-carboceroyl-Cer(d18:1/16:0),-0.213148786624133,7.507268698738582,0.14350336962440924,0.7048227330848253,0.99988633890637435,Cer,94097.04789352416,71634.02543640137,152652.411567688,90605.04538345335,119585.8681526184,86770.38639831543,115558.20627593994,49086.90395736694
1-O-carboceroyl-Cer(d18:1/18:0),-0.18196300159477444,5.521575639157519,0.10448795665422494,0.7465089694897036,0.99988633890637435,Cer,24564.40146255493,21907.801445007324,21279.241298675537,21167.64161300659,24480.881874084473,23461.22156906128,21810.941791534424,32565.38228225708
1-O-cerotoyl-Cer(d18:1/16:0),-0.3157633431506796,7.421757977915231,0.3156639766448279,0.5742251629907766,0.99988633890637435,Cer,77182.18599319458,67614.68476867676,112079.00816345216,75406.60494613647,100954.5672607422,83571.66579055786,98255.28512954712,104272.36771011353
1-O-cerotoyl-Cer(d18:1/18:0),-0.41429043127203696,9.167226612629587,0.5444015119537653,0.46061429975179313,0.99988633890637435,Cer,261576.97959136963,228328.85834503177,223601.65310287476,227696.1364517212,304801.284576416,276514.42039108276,285917.71657562256,544596.580368042
1-O-eicosanoyl-Cer(d18:1/16:0),-0.14813057460703338,6.1221741686014,0.06918746556982569,0.7925235229531644,0.99988633890637435,Cer,36027.762283325195,42948.363021850586,42736.36308288574,30331.58203125,38517.28271102905,40629.2631149292,37163.8623008728,28402.641986846924
1-O-lignoceroyl-Cer(d18:1/16:0),-0.14293733355952878,7.291043606731249,0.06441572605535839,0.7996481160041246,0.99988633890637435,Cer,84782.36605834961,66330.18539047241,144407.71041107178,81413.10648345947,104923.82834243774,79647.96742630005,97751.66666412354,19274.341342926025
1-O-myristoyl-Cer(d18:1/16:0),-0.081613745661868,6.572338063238769,0.020962864840839757,0.8848801659317158,0.99988633890637435,Cer,54183.54351043701,53711.363929748535,49155.66358947754,50361.163749694824,55029.08363342285,50479.26407623291,45911.8233833313,43334.30277252197
1-O-palmitoyl-Cer(d18:1/16:0),-0.11373952634278076,6.3889937837940955,0.04075197040685907,0.8400174388682783,0.99988633890637435,Cer,42159.56315231323,46103.00323486328,43331.863063812256,40639.18308258057,41975.34289932251,43672.76354598999,43771.94339752197,50665.82361602783
1-O-stearoyl-Cer(d18:1/16:0),-0.1398454104223366,6.365973644858297,0.061651322854231666,0.8039047405118158,0.99988633890637435,Cer,41978.902713775635,47592.20374298096,53856.84366226196,37718.002490997314,44340.323066711426,49289.16366195679,44351.12351226807,32940.40257644653
1-O-tricosanoyl-Cer(d18:1/16:0),0.08088887285586885,6.461941468576231,0.020482048626718097,0.886198957416043,0.99988633890637435,Cer,47917.14291381836,44551.783615112305,79700.04627227783,46306.862968444824,45042.482692718506,47179.88382720947,49861.92351913452,21537.66153717041
1-O-tricosanoyl-Cer(d18:1/18:0),-0.2117935979322531,4.469853437499206,0.14163995597114626,0.7066560867156095,0.99988633890637435,Cer,11874.98077774048,11112.440662384031,11614.500896453856,10037.64073562622,13229.820877075195,10774.420791625977,11459.260730743408,12759.900817871094
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",0.135090493725338,12.9570488049442,0.05701661737587495,0.8112749956834292,0.99988633890637435,CAR,4612804.606933594,5059683.297363281,5089087.544433594,4672021.863769531,3537992.9995117188,4869216.183105469,3993657.2543945312,2428656.8916015625
12:0 Cholesteryl ester,-0.34006097816044123,8.04479061518165,0.36629696367890574,0.5450296917840025,0.99988633890637435,CE,206443.9545135498,187842.8329925537,54702.864181518555,53449.14390563965,184184.01274108887,194290.03338623047,57300.26417160034,158999.98956298828
12:0 Cholesteryl ester_2,-0.4106439802124217,8.047707277866722,0.5348208347058971,0.4645871021480897,0.99988633890637435,CE,198899.35383605957,189600.57427978516,50913.96357727051,49618.86361312866,194223.2352294922,194121.27363967896,55628.72424697876,163044.15301513672
14:0 Cholesteryl ester,-0.6669751168551094,7.436758901448315,1.4150992950944792,0.23421172229969536,0.99988633890637435,CE,107908.76762390137,103784.52690124512,43653.82319641113,49058.56335067749,174361.71353149414,103502.50770568848,44501.422870635986,85346.74568939209
14:1 Cholesteryl ester,-0.6866041760959376,7.414025279785883,1.4997956074039402,0.22070281373553313,0.99988633890637435,CE,101516.40711975098,103069.94741821288,42685.24269104004,45816.14336395264,167934.35008239746,103306.90727233888,43761.02275466919,91728.62675476074
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,-0.3750126981610004,8.732006054576578,0.44576197014248464,0.5043544285392438,0.99988633890637435,CE,289878.5213623047,287886.201171875,121756.2882385254,94190.34649658205,292253.8006591797,309868.7003173828,101925.20712280272,268696.0985107422
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,-0.36161546261139516,8.744674131370179,0.4143788267101627,0.5197553114390282,0.99988633890637435,CE,292477.3010253906,290238.64123535156,120988.00839233398,93845.26657104492,288007.4022216797,308109.24353027344,105516.18823242188,281328.5203857422
15:0 Cholesteryl ester,-0.309937771131949,8.584284904660958,0.30409403011435643,0.58132714239331,0.99988633890637435,CE,259193.8380126953,259023.73706054688,110598.20782470705,99013.02743530272,253107.4787597656,264173.32067871094,101124.08694458008,248100.27880859375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,-0.32565660015873377,8.759835602668904,0.335830000549322,0.5622461717116864,0.99988633890637435,CE,296957.74169921875,290135.00103759766,120349.36853027344,108678.26788330078,278878.5386352539,308956.20349121094,115424.5080871582,282264.8193359375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,-0.2998406252470522,8.776150624311535,0.2845435110211838,0.593738584943022,0.99988633890637435,CE,299675.64099121094,298718.8214111328,121086.38803100586,111295.56848144533,286760.6004638672,295662.2412109375,118771.74865722656,287922.24072265625
15:1 Cholesteryl ester,-0.3758261305544705,8.647118637745189,0.4477039953781059,0.5034273117600812,0.99988633890637435,CE,268055.0593261719,267581.09765625,112505.0086364746,97831.46688842772,279110.23876953125,272599.61767578125,109607.08767700195,255572.7781982422
16:0 Campesteryl ester | 17:0 Cholesteryl ester,-0.10681165619732626,8.646723964064513,0.03593406071559002,0.8496517283732717,0.99988633890637435,CE,482661.26905822754,230368.095413208,157669.31104660034,44475.38328170776,181109.19328308103,438289.16777038574,77134.06510925293,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,-0.16985882136193847,8.645780882490739,0.09103347905556802,0.7628673896142293,0.99988633890637435,CE,457017.1744232178,232697.2156829834,162404.1529197693,42214.92322540283,187184.91275024417,443183.8342895508,79354.32606506348,125768.08905029295
16:2 Campesteryl ester,-0.04311400532820528,8.60427453765353,0.005843500368428067,0.9390668265054617,0.99988633890637435,CE,468778.7299804687,229844.91590881348,165206.61423492432,43435.38317108154,167781.59133911133,418315.46867370605,74919.82628250122,117353.56846618652
"16:2 Cholesteryl ester, zymosteryl palmitoleate",-0.36363513000105935,8.737185048003546,0.4190362781082513,0.5174183148376363,0.99988633890637435,CE,286850.72009277344,293157.0216064453,113731.94830322266,101456.2074584961,292551.71875,297439.0616455078,110140.7073059082,274790.7999267578
16:3 Campesteryl ester,-0.12186645861353891,8.585829160900392,0.04679762249841701,0.8287324111386163,0.99988633890637435,CE,456562.5186233521,217033.97341918945,160582.991481781,41053.32256317139,170507.59172058103,427672.8699798584,75315.50601577759,114802.70822143556
16:3 Cholesteryl ester,-0.3046687877484886,8.679512993707325,0.29381059238221496,0.5877888975898617,0.99988633890637435,CE,273550.51916503906,280845.88049316406,118023.78784179688,104182.76788330078,270792.63830566406,275931.4796142578,110097.02749633788,268572.4782714844
16:3 Stigmasteryl ester,-0.1286279720128521,8.940973163823745,0.052144707815841684,0.8193724796812026,0.99988633890637435,CE,542890.2322692871,303466.01583862305,177535.57064819336,70479.92538833618,238233.19439697263,491452.9175415039,112134.6275253296,174687.61349487305
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",-0.17869100657603812,9.107490379645258,0.10077030349202687,0.7509071907281204,0.99988633890637435,CE,609582.4785461426,339927.88663482666,196164.55129241943,63067.42455291748,269417.33947753906,589933.1188049316,103941.22734069824,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",-0.15040972942118244,9.119063317970793,0.07134321048852144,0.7893910138779326,0.99988633890637435,CE,612892.9210205078,352186.2632141113,199214.2363128662,66339.54444122314,275774.5595397949,578218.7215881348,105990.80756378174,197452.61389160156
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",-0.16533738642912582,9.108310599237752,0.08624161428315347,0.7690106720359019,0.99988633890637435,CE,604201.1010437012,344977.4267883301,195620.6760406494,66619.54499816895,272276.99826049805,578229.0800170898,104960.36757659912,201944.25617980957
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",-0.21182879548261088,9.110097163433226,0.14173013219988206,0.7065670490798897,0.99988633890637435,CE,601233.5832366943,331640.3845214844,200966.05520629883,63674.6642036438,282595.2204284668,584872.5077514648,106163.54775619508,199674.9553833008
17:1 Cholesteryl ester; 16:1 Campesteryl ester,-0.10526320036604916,8.628356064321684,0.0348981678380369,0.8518092036959298,0.99988633890637435,CE,471428.01194763184,218880.09548187256,165967.61249160767,46261.54291534424,172803.25178527832,436325.72637939453,77847.66497421265,122837.10720825195
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,-0.0861566977330182,8.573228084240569,0.023365997290966334,0.8785091507695278,0.99988633890637435,CE,460792.76985168457,206078.07276916504,160566.41161346436,45343.343311309814,165014.77180480957,415234.27352905273,75341.58574676514,119584.48794555664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",-0.2984311267266677,8.48930036317249,0.2818651843845146,0.5954813068114262,0.99988633890637435,CE,278488.0610809326,250274.46084594727,88312.66635894775,66861.42481994629,238098.99700927737,265711.5782318115,72586.16502380371,232670.8377380371
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",-0.26547268169202615,8.506175372842895,0.22288411880435888,0.6368510970850971,0.99988633890637435,CE,273423.89978027344,259398.0389404297,92443.26620483398,70337.48574829102,234472.71701049805,270909.55950927734,68150.66487884521,241449.8783721924
18:1 Campesteryl ester,-0.3164978293348647,8.438597498078847,0.3171453801624011,0.5733282383477963,0.99988633890637435,CE,263904.27825927734,252689.3544921875,82409.8259010315,56984.78404998779,233450.53912353516,261731.28118896484,63951.22497558594,225617.7167816162
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",-0.1560773992440868,9.161281171122864,0.07683293501031585,0.7816361028633408,0.99988633890637435,CE,604406.4444274902,375458.106048584,202646.0722885132,67644.66412353516,289138.4790649414,585151.3779449463,102739.50680541992,224405.7758178711
18:3 Campesteryl ester,-0.3223829114136459,8.318076241510658,0.329088332131505,0.5661964048799927,0.99988633890637435,CE,233462.63381958008,232237.91787719727,76780.36492156982,65536.76523590088,213127.35446166992,242607.49642944336,66174.2045288086,197820.75631713867
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",-0.20622736848858145,9.212106079658202,0.13431503956235247,0.7139993516046743,0.99988633890637435,CE,619175.6261291504,365628.6613922119,202318.07664489743,71515.98536682129,315847.1044616699,595870.3013763428,103495.5284690857,254542.46154785156
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",-0.21483443319885792,9.25184305642868,0.1457915121136466,0.7025900262132996,0.99988633890637435,CE,447091.57263183594,447873.4123535156,205471.35342407227,140569.51007080078,419422.98986816406,415310.3869628906,146106.55047607422,328716.4434814453
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",-0.2609449094374071,9.264997864992358,0.21532589962589554,0.6426246628263448,0.99988633890637435,CE,443882.2932128906,452466.95568847656,199821.99346923828,138753.42993164062,427756.94885253906,430666.9284667969,150386.73071289062,329537.4803466797
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",-0.1653810241695398,11.28741656383305,0.08628798709833063,0.7689503432540069,0.99988633890637435,CAR,1195290.807861328,1194065.662109375,1239282.0832519531,1133090.1042480469,1218044.2957763672,1240025.518798828,1244585.4881591797,1930786.4631347656
20:0 Campesteryl ester,-0.181341213938208,10.177860450376887,0.10378933277388569,0.7473288201820812,0.99988633890637435,CE,1051954.5400390625,802405.31298828125,404391.10778808594,333963.88360595703,944354.227294922,799106.8182373047,242206.25750732425,317584.8635253906
20:1 Campesteryl ester,-0.17510226076851187,10.135520643844107,0.09675481040903833,0.7557593020620594,0.99988633890637435,CE,1035268.6345214844,770815.9124755859,390393.90771484375,324425.34533691406,922340.90771484375,768436.0723876953,229859.89709472656,310572.0031738281
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",-0.24780643575244682,9.254787351846579,0.19412986864335835,0.6595013632022484,0.99988633890637435,CE,445063.4099121094,438793.0089111328,196959.51458740231,143887.10974121094,420065.7504882813,422728.80859375,149125.32971191406,336350.2844238281
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",-0.24814358010202814,9.245482233497436,0.19465997649240308,0.6590661323877376,0.99988633890637435,CE,442481.4721679687,434864.9537353515,198226.1947631836,142786.26989746094,420005.08837890625,413933.3474121094,152263.0704345703,332064.9237060547
20:3 Campesteryl ester,-0.37173535996439033,10.012734303678148,0.4379829226891161,0.5080976227674371,0.99988633890637435,CE,690644.8483886719,670642.06982421875,303552.1791381836,338287.26470947266,831691.5396728516,630418.0675048828,291385.0417480469,532591.3153076172
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",-0.20324203747030814,9.041114227574917,0.13044451993482653,0.717971589986724,0.99988633890637435,CE,373994.6680908203,377226.9892578125,181923.79260253903,143761.37060546875,340624.28259277344,362469.4854736328,146808.49047851562,281844.6805419922
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",-0.21017173291946606,9.207356147806806,0.13951554510276765,0.708763101705317,0.99988633890637435,CE,426969.5148162842,402345.11001586914,157411.192817688,135987.24981689453,348037.0646057129,402231.26961517334,144343.5308227539,433173.92571258545
20:5 Cholesteryl ester,-0.32817206558656065,10.170767679404737,0.3410588093684055,0.5592186937897111,0.99988633890637435,CE,774021.08935546875,796451.9927368164,261745.4785232544,228661.520111084,719790.7917480469,810821.262512207,246523.35818481445,911030.2897338868
22:0 Campesteryl ester,-0.5441574145289729,8.967179126755248,0.9409153582564613,0.33204254607356665,0.99988633890637435,CE,466218.7146835327,350722.9248352051,96338.56734848022,93248.5464744568,526033.4529647827,384554.50311279297,71315.94483184814,105651.5481300354
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",-0.1645843776810531,9.483648230643103,0.08545640101510799,0.7700348829125985,0.99988633890637435,CE,760646.4669799805,476102.9566268921,238534.7177581787,214955.03761291504,636603.4621429443,524705.1521759033,114199.28704071043,79871.64535522461
22:0 Sitosteryl ester,-0.618511585372178,9.132900425297525,1.2165171018132224,0.2700452567279307,0.99988633890637435,CE,485815.2135925293,355294.92652893066,88051.98610305786,102267.82748413086,561003.0242385864,421927.34729003906,79683.76554870605,228572.99380493164
22:1 Campesteryl ester,-0.45185625273676616,8.946782355123077,0.6479921221907716,0.4208314642364769,0.99988633890637435,CE,468357.8101348877,350133.2861633301,110473.78787994383,98551.34607315063,479712.1131286621,395492.0505371094,70321.82493591309,102455.64757919312
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",-0.16422249748930237,9.460146754967683,0.08508018888824154,0.7705274139143573,0.99988633890637435,CE,759511.5723876953,460364.1280517578,238796.4598121643,205046.51355743408,631755.8412628174,508749.61309814453,112743.7882270813,78654.8657836914
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",-0.60669137700366,9.139098969246477,1.1703444989907439,0.2793304665567348,0.99988633890637435,CE,498246.4359283447,359096.9853553772,98792.72665023804,99168.76778030396,568701.699710846,423679.4720993042,84803.34576416016,206498.9136428833
22:2 Campesteryl ester,0.17069205918285593,8.881218782433969,0.09090178318729158,0.7630338402403714,0.99988633890637435,CE,560526.3181762695,350653.6643676758,191685.95164108276,109390.46683120728,289210.3822784424,381027.0474014282,70477.46474456787,80835.36569976807
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",-0.6199054275524718,9.068929337784965,1.2220204190743988,0.26896450812287626,0.99988633890637435,CE,469579.57151794434,358588.62020111084,94247.98609542848,99335.6669845581,558193.1280670166,415441.63109588623,78620.56488800049,160474.38968276978
22:3 Campesteryl ester,0.14173928596753815,9.078201566404527,0.06275048789393622,0.8022003375359418,0.99988633890637435,CE,665137.4459533691,401060.3264312744,213215.67528152463,110209.54704284668,353298.22665405273,449166.67167663574,60358.8840713501,78485.72638702393
22:3 Stigmasteryl ester,-0.5818451665774533,8.957400739941109,1.0761948815415963,0.2995503491603597,0.99988633890637435,CE,469026.6374282837,339874.48025512695,81643.70561981201,92794.06651306152,511923.66984558105,404606.42864990234,73503.32471084595,107463.74801254272
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",-0.2043254557082535,10.271450658273794,0.1318435560388025,0.7165281828955014,0.99988633890637435,CE,1093322.7568359375,861990.7429199219,423409.32794189453,346047.02673339844,1016566.2236328124,848434.1008300781,253103.3198852539,370215.2233886719
22:5 Cholesteryl ester,-0.1911189829597015,10.216512709062604,0.11531255897716619,0.7341750790319761,0.99988633890637435,CE,1072980.8911132812,829280.7783203125,412156.6676635742,328844.22247314453,964189.7916259766,834771.65625,240096.01763916016,343852.4637451172
22:6 Cholesteryl ester,-0.20769726272856598,10.188007954919371,0.13624228045227937,0.7120456463124952,0.99988633890637435,CE,1064576.5604248047,808378.1989746094,398871.7492675781,318702.20233154297,964544.3095703124,816056.55078125,238869.7992553711,318345.9444580078
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",-0.6417518022796393,9.163569229860896,1.3098977187473793,0.2524131747700468,0.99988633890637435,CE,503115.4162559509,356643.36696624756,87385.58686447144,101842.16680145264,578703.7203903198,439196.276046753,80810.02714920044,225753.29443740845
3-hydroxyarachidonoylcarnitine,-0.18658497645619174,11.749603261366937,0.10989383646665374,0.7402650338399321,0.99988633890637435,CAR,1804854.5581054688,1691555.87109375,1853001.6511230469,1728707.09375,2006010.538330078,1782707.8674316406,1758179.811767578,1852556.1604003904
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",-0.21743357839968994,11.470789123769245,0.1493513829409494,0.6991559720838446,0.99988633890637435,CAR,1483060.986328125,1352919.6352539062,1493629.2587890625,1350391.4493408203,1648205.6264648438,1463896.3289794922,1432335.53125,1670603.4350585938
"3-hydroxylinoleoylcarnitine,",0.2973277523622093,14.770052016743705,0.2743587517684063,0.6004227584141552,0.99988633890637435,CAR,16541263.293945312,19619409.79248047,19984253.64794922,20210526.215820312,10761649.6015625,18211508.875,15035135.946289062,2200595.70703125
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",0.22583340172649027,13.671848338573312,0.1587656202895484,0.6902955318502427,0.99988633890637435,CAR,7377617.71875,8635526.384277344,8777433.122558594,8896624.5087890625,5162313.787597656,8139380.811523437,7055534.583984375,2678909.9697265625
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",-0.14431909248840225,11.694869875996622,0.06567201823781943,0.7977458172573024,0.99988633890637435,CAR,1729499.3325195312,1661999.3544921875,1749794.1958007812,1715870.7236328125,1759514.2299804688,1749869.0766601562,1744912.2163085938,1844464.9086914065
C12:0,-0.34032547527473633,8.770423859000745,0.3668737270818383,0.5447133057834952,0.99988633890637435,FA,102755.98667907716,93574.48696136476,244185.53945922852,502122.9731445313,65259.664710998535,109801.30871582033,710519.4306640625,75923.3450012207
C12:1,-0.05420319328391181,7.844426770144411,0.009239129736670293,0.9234249559087263,0.99988633890637435,FA,69150.74453735352,65784.02473449707,113583.0078125,270074.0389404297,47108.703521728516,62049.54445648193,287798.99993896484,73215.28530883789
C14:0,-0.42017247506061106,12.098227586561396,0.5600313531467691,0.454247610184821,0.99988633890637435,FA,1091242.5759277344,1048398.7133789062,2319769.7622070312,4795566.249511719,898529.0009765625,1279555.7036132812,6963518.0693359375,693541.4095458984
C14:1,-0.04023580221992399,10.72508033423184,0.005088945559691638,0.9431296712569361,0.99988633890637435,FA,661317.3471069336,726307.5505981445,855747.0192871094,1478801.8356933594,594265.66064453125,717026.0707397461,1435120.964111328,740184.6535644531
C15:0,-0.32448869882389597,9.376775989874016,0.3334201661928091,0.5636520767422601,0.99988633890637435,FA,113912.88793945312,117210.58850097656,251196.03927612305,931129.7698974608,115030.28819274902,121836.94915771484,1090235.3614501953,129704.048828125
C15:1,-0.24043136067317286,10.174498535970669,0.18271618481958285,0.6690493110334378,0.99988633890637435,FA,185168.93379211423,236472.4353027344,438494.6328735352,1635409.1970214844,296673.09677124023,235542.77764892575,1655150.7130126953,272115.42083740234
C16:0,-0.37212698238890196,13.488331953141177,0.4389122962858494,0.5076479113262431,0.99988633890637435,FA,619029.5606384277,687835.7874755859,1406338.4676513672,21696978.556396484,520237.87005615234,682099.9892883301,23354211.756591797,774104.8880310059
C16:1,-0.44901556912575247,9.862677658418702,0.6398467140388675,0.4237663096782646,0.99988633890637435,FA,92179.58646392822,105333.04737091064,243560.97749328613,1463452.8924560547,83028.24620056152,98844.3080368042,1805586.1708984375,136898.70957183838
C17:0,-0.37328088653945063,10.612167412955055,0.4416462162625976,0.5063289652595373,0.99988633890637435,FA,119093.28855895996,114860.32844543456,523007.9359741211,2593282.5930786133,106294.46714782716,139662.78958129883,3071493.1654663086,140066.65022277832
C17:1,-0.06089935914885683,8.622136051111081,0.011665449506836012,0.9139903691657412,0.99988633890637435,FA,72961.54518127441,76476.34498596191,163386.79238891602,602982.5654296875,64310.14447784424,78449.80569458008,573275.8400878906,70801.5651550293
C18:0,-0.1070381142522469,13.600718619021576,0.0360873472639156,0.8493352245708924,0.99988633890637435,FA,398423.98794555664,453710.31283569336,1195170.1613769531,26822640.43395996,331727.46364593506,427606.13441467285,23530379.48803711,531086.4338760376
C18:1,-0.08197647988866616,9.123280626901094,0.0211511125380639,0.8843680476976031,0.99988633890637435,FA,88351.62602233887,93067.82656860352,184608.3336181641,910963.5828857422,76538.52537536621,90479.36639404295,855011.84033203125,104823.58738708496
C18:2,0.6280375084973894,9.192320647821575,1.2039671696838923,0.27253020822949364,0.99988633890637435,FA,80750.52571105957,80072.3256072998,197827.17599487305,1277089.952209473,67781.42481994629,83346.18618774414,652463.1795043945,77342.70542907715
C18:3,-0.17981229404321497,8.513860079307147,0.1020413962105522,0.7493934967768072,0.99988633890637435,FA,66972.42492675781,68185.1443939209,135642.82958984375,536904.0774536133,60280.80438232422,69524.76458740234,556984.080871582,80425.24575805664
C18:4,-0.15962569853925335,7.584032600644262,0.08037209103349596,0.7767937965485866,0.99988633890637435,FA,43943.263092041016,46511.78314208984,80847.46586608887,251535.9575805664,42168.5029296875,53779.403663635254,254400.53790283203,51582.26365661621
