Unnamed: 0,Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
1795,TAG,27369.9619140625,"[TG(57:9),TG(56:2)]_FA18:1",932.9,633.6,11282023_FAD184_F4_WT_hippo_O3on_01,932.9 -> 633.6
1796,TAG,23757.36168289185,"[TG(58:7),TG(57:0)]_FA18:1",950.9,651.6,11282023_FAD184_F4_WT_hippo_O3on_01,950.9 -> 651.6
1797,TAG,23759.88167572021,"[TG(59:13),TG(58:6)]_FA18:1",952.8,653.5,11282023_FAD184_F4_WT_hippo_O3on_01,952.8 -> 653.5
1798,TAG,23779.981632232662,"[TG(59:12),TG(58:5)]_FA18:1",954.8,655.5,11282023_FAD184_F4_WT_hippo_O3on_01,954.8 -> 655.5
1799,TAG,23849.901668548584,"[TG(59:11),TG(58:4)]_FA18:1",956.9,657.6,11282023_FAD184_F4_WT_hippo_O3on_01,956.9 -> 657.6
1800,,24972.421825408936,,584.4,437.3,11282023_FAD185_M4_WT_cereb_O3on_01,584.4 -> 437.3
1801,,24834.761764526367,,612.4,437.3,11282023_FAD185_M4_WT_cereb_O3on_01,612.4 -> 437.3
1802,,25504.36184310913,,622.5,503.4,11282023_FAD185_M4_WT_cereb_O3on_01,622.5 -> 503.4
1803,,25807.48187637329,,624.5,505.4,11282023_FAD185_M4_WT_cereb_O3on_01,624.5 -> 505.4
1804,,30273.582206726074,,626.5,437.3,11282023_FAD185_M4_WT_cereb_O3on_01,626.5 -> 437.3
1805,,24949.881801605225,,650.5,503.4,11282023_FAD185_M4_WT_cereb_O3on_01,650.5 -> 503.4
1806,,24562.16174697876,,652.5,505.4,11282023_FAD185_M4_WT_cereb_O3on_01,652.5 -> 505.4
1807,,25583.241832733154,,654.5,437.3,11282023_FAD185_M4_WT_cereb_O3on_01,654.5 -> 437.3
1808,,24598.121795654297,,664.6,503.4,11282023_FAD185_M4_WT_cereb_O3on_01,664.6 -> 503.4
1809,,25315.40184020996,,666.6,505.4,11282023_FAD185_M4_WT_cereb_O3on_01,666.6 -> 505.4
1810,,28688.862014770508,,692.6,503.4,11282023_FAD185_M4_WT_cereb_O3on_01,692.6 -> 503.4
1811,,63693.48480987549,,694.6,505.4,11282023_FAD185_M4_WT_cereb_O3on_01,694.6 -> 505.4
1812,,25495.521854400635,,694.6,547.5,11282023_FAD185_M4_WT_cereb_O3on_01,694.6 -> 547.5
1813,,24263.241729736328,,702.5,583.4,11282023_FAD185_M4_WT_cereb_O3on_01,702.5 -> 583.4
1814,,24452.34182357788,,714.6,567.5,11282023_FAD185_M4_WT_cereb_O3on_01,714.6 -> 567.5
1815,,24375.92177200317,,716.6,571.5,11282023_FAD185_M4_WT_cereb_O3on_01,716.6 -> 571.5
1816,,24825.501834869385,,718.6,599.5,11282023_FAD185_M4_WT_cereb_O3on_01,718.6 -> 599.5
1817,,25169.00183868408,,722.7,547.5,11282023_FAD185_M4_WT_cereb_O3on_01,722.7 -> 547.5
1818,,25641.281814575195,,730.5,583.4,11282023_FAD185_M4_WT_cereb_O3on_01,730.5 -> 583.4
1819,,26237.52191543579,,730.6,583.5,11282023_FAD185_M4_WT_cereb_O3on_01,730.6 -> 583.5
1820,TAG | DAG,45214.60319900513,"[TG(42:2)]_FA18:1 | DG(44:9),DG(43:2)_C18:1",736.6,437.3,11282023_FAD185_M4_WT_cereb_O3on_01,736.6 -> 437.3
1821,,126551.8491859436,,736.7,547.5,11282023_FAD185_M4_WT_cereb_O3on_01,736.7 -> 547.5
1822,,24357.82174682617,,742.6,567.5,11282023_FAD185_M4_WT_cereb_O3on_01,742.6 -> 567.5
1823,,24315.661781311035,,744.6,571.5,11282023_FAD185_M4_WT_cereb_O3on_01,744.6 -> 571.5
1824,,24183.34175491333,,744.6,583.4,11282023_FAD185_M4_WT_cereb_O3on_01,744.6 -> 583.4
1825,,24383.101734161377,,744.6,597.5,11282023_FAD185_M4_WT_cereb_O3on_01,744.6 -> 597.5
1826,,28166.26209640503,,746.6,599.5,11282023_FAD185_M4_WT_cereb_O3on_01,746.6 -> 599.5
1827,,25221.7018699646,,746.6,599.5,11282023_FAD185_M4_WT_cereb_O3on_01,746.6 -> 599.5
1828,,25703.38185119629,,748.6,601.5,11282023_FAD185_M4_WT_cereb_O3on_01,748.6 -> 601.5
1829,,24543.20178222656,,748.6,629.5,11282023_FAD185_M4_WT_cereb_O3on_01,748.6 -> 629.5
1830,,25959.421882629395,,750.6,603.5,11282023_FAD185_M4_WT_cereb_O3on_01,750.6 -> 603.5
1831,,25076.541763305664,,752.6,605.5,11282023_FAD185_M4_WT_cereb_O3on_01,752.6 -> 605.5
1832,,24730.02182006836,,754.6,607.5,11282023_FAD185_M4_WT_cereb_O3on_01,754.6 -> 607.5
1833,,25210.781845092773,,756.7,567.5,11282023_FAD185_M4_WT_cereb_O3on_01,756.7 -> 567.5
1834,,26114.26190567017,,756.7,637.6,11282023_FAD185_M4_WT_cereb_O3on_01,756.7 -> 637.6
1835,,24213.601753234863,,758.6,583.5,11282023_FAD185_M4_WT_cereb_O3on_01,758.6 -> 583.5
1836,,24502.241760253903,,758.7,571.5,11282023_FAD185_M4_WT_cereb_O3on_01,758.7 -> 571.5
1837,,31208.902423858643,,760.7,599.5,11282023_FAD185_M4_WT_cereb_O3on_01,760.7 -> 599.5
1838,,24373.101806640625,,762.6,615.5,11282023_FAD185_M4_WT_cereb_O3on_01,762.6 -> 615.5
1839,,24324.421752929688,,764.6,617.5,11282023_FAD185_M4_WT_cereb_O3on_01,764.6 -> 617.5
1840,,27014.02197265625,,764.7,547.5,11282023_FAD185_M4_WT_cereb_O3on_01,764.7 -> 547.5
1841,,24401.30174636841,,770.7,623.6,11282023_FAD185_M4_WT_cereb_O3on_01,770.7 -> 623.6
1842,,24677.041744232178,,770.7,651.6,11282023_FAD185_M4_WT_cereb_O3on_01,770.7 -> 651.6
1843,,24616.901790618896,,772.6,583.4,11282023_FAD185_M4_WT_cereb_O3on_01,772.6 -> 583.4
1844,,24257.16177749633,,772.6,597.5,11282023_FAD185_M4_WT_cereb_O3on_01,772.6 -> 597.5
1845,,24573.721759796143,,772.6,625.5,11282023_FAD185_M4_WT_cereb_O3on_01,772.6 -> 625.5
1846,,24612.161792755127,,772.7,583.5,11282023_FAD185_M4_WT_cereb_O3on_01,772.7 -> 583.5
1847,,24712.901821136475,,774.6,599.5,11282023_FAD185_M4_WT_cereb_O3on_01,774.6 -> 599.5
1848,,24337.321743011475,,774.6,627.5,11282023_FAD185_M4_WT_cereb_O3on_01,774.6 -> 627.5
1849,TAG,25959.101894378666,[TG(45:4)]_FA16:1,774.7,503.4,11282023_FAD185_M4_WT_cereb_O3on_01,774.7 -> 503.4
1850,,25940.72184371948,,776.6,601.5,11282023_FAD185_M4_WT_cereb_O3on_01,776.6 -> 601.5
1851,,24263.701740264893,,776.6,629.5,11282023_FAD185_M4_WT_cereb_O3on_01,776.6 -> 629.5
1852,,24217.361785888672,,776.6,629.5,11282023_FAD185_M4_WT_cereb_O3on_01,776.6 -> 629.5
1853,TAG,45381.523654937744,[TG(45:3)]_FA16:1,776.7,505.4,11282023_FAD185_M4_WT_cereb_O3on_01,776.7 -> 505.4
1854,,25337.561805725098,,778.6,603.5,11282023_FAD185_M4_WT_cereb_O3on_01,778.6 -> 603.5
1855,,24628.62177276612,,778.6,631.5,11282023_FAD185_M4_WT_cereb_O3on_01,778.6 -> 631.5
1856,,25225.36183929444,,780.7,605.5,11282023_FAD185_M4_WT_cereb_O3on_01,780.7 -> 605.5
1857,,24173.78173828125,,780.7,633.6,11282023_FAD185_M4_WT_cereb_O3on_01,780.7 -> 633.6
1858,,26900.50193405152,,782.6,607.5,11282023_FAD185_M4_WT_cereb_O3on_01,782.6 -> 607.5
1859,,24342.701736450195,,784.7,567.5,11282023_FAD185_M4_WT_cereb_O3on_01,784.7 -> 567.5
1860,,24262.401763916016,,784.7,637.6,11282023_FAD185_M4_WT_cereb_O3on_01,784.7 -> 637.6
1861,,24345.32178878784,,786.7,571.5,11282023_FAD185_M4_WT_cereb_O3on_01,786.7 -> 571.5
1862,,36794.28245925903,,786.7,597.5,11282023_FAD185_M4_WT_cereb_O3on_01,786.7 -> 597.5
1863,,169834.7109336853,,788.7,599.5,11282023_FAD185_M4_WT_cereb_O3on_01,788.7 -> 599.5
1864,,169923.79233551025,,788.7,599.5,11282023_FAD185_M4_WT_cereb_O3on_01,788.7 -> 599.5
1865,,24365.001804351807,,790.6,615.5,11282023_FAD185_M4_WT_cereb_O3on_01,790.6 -> 615.5
1866,,488280.4352111816,,790.7,601.5,11282023_FAD185_M4_WT_cereb_O3on_01,790.7 -> 601.5
1867,,24374.86173248291,,790.7,629.5,11282023_FAD185_M4_WT_cereb_O3on_01,790.7 -> 629.5
1868,,24393.161750793457,,792.6,617.5,11282023_FAD185_M4_WT_cereb_O3on_01,792.6 -> 617.5
1869,,767606.7342681885,,792.7,603.5,11282023_FAD185_M4_WT_cereb_O3on_01,792.7 -> 603.5
1870,,227308.4989891052,,794.7,605.5,11282023_FAD185_M4_WT_cereb_O3on_01,794.7 -> 605.5
1871,,44474.68321228027,,796.7,607.5,11282023_FAD185_M4_WT_cereb_O3on_01,796.7 -> 607.5
1872,,24340.66174697876,,798.7,623.6,11282023_FAD185_M4_WT_cereb_O3on_01,798.7 -> 623.6
1873,,24397.04179763794,,798.7,651.6,11282023_FAD185_M4_WT_cereb_O3on_01,798.7 -> 651.6
1874,,24308.96172332764,,798.7,651.6,11282023_FAD185_M4_WT_cereb_O3on_01,798.7 -> 651.6
1875,,24488.681785583496,,798.8,637.6,11282023_FAD185_M4_WT_cereb_O3on_01,798.8 -> 637.6
1876,,24334.46171951294,,800.6,625.5,11282023_FAD185_M4_WT_cereb_O3on_01,800.6 -> 625.5
1877,,24226.44175338745,,800.6,653.5,11282023_FAD185_M4_WT_cereb_O3on_01,800.6 -> 653.5
1878,,24256.96167755127,,800.7,583.5,11282023_FAD185_M4_WT_cereb_O3on_01,800.7 -> 583.5
1879,,24481.76180267334,,802.6,627.5,11282023_FAD185_M4_WT_cereb_O3on_01,802.6 -> 627.5
1880,,24194.721786499023,,802.6,655.5,11282023_FAD185_M4_WT_cereb_O3on_01,802.6 -> 655.5
