Lipid,Parent_Ion,Product_Ion,Species,Class,DB Location,FA mass,[FA+AMP]+
FA(7:2)_<B>_n-4,253.2,183.0,7:2,FA,<B>,126.1,293.2
FA(7:2)_<F>_n-5,241.2,183.0,7:2,FA,<F>,126.1,293.2
FA(7:3)_<BF>_n-2,281.2,183.0,7:3,FA,<BF>,124.1,291.2
FA(7:3)_<BB>_n-2,279.2,183.0,7:3,FA,<BB>,124.1,291.2
FA(7:3)_<FF>_n-3,269.2,183.0,7:3,FA,<FF>,124.1,291.2
FA(7:3)_<BF>_n-3,267.2,183.0,7:3,FA,<BF>,124.1,291.2
FA(7:3)_<BB>_n-3,265.2,183.0,7:3,FA,<BB>,124.1,291.2
FA(7:3)_<FF>_n-4,255.2,183.0,7:3,FA,<FF>,124.1,291.2
FA(7:3)_<BF>_n-4,253.2,183.0,7:3,FA,<BF>,124.1,291.2
FA(7:3)_<FF>_n-5,241.2,183.0,7:3,FA,<FF>,124.1,291.2
FA(7:4)_<BBF>_n-2,279.2,183.0,7:4,FA,<BBF>,122.1,289.2
FA(7:4)_<BBB>_n-2,277.2,183.0,7:4,FA,<BBB>,122.1,289.2
FA(7:4)_<BFF>_n-3,267.2,183.0,7:4,FA,<BFF>,122.1,289.2
FA(7:4)_<BBF>_n-3,265.2,183.0,7:4,FA,<BBF>,122.1,289.2
FA(7:4)_<FFF>_n-4,255.2,183.0,7:4,FA,<FFF>,122.1,289.2
FA(7:4)_<BFF>_n-4,253.2,183.0,7:4,FA,<BFF>,122.1,289.2
FA(7:4)_<FFF>_n-5,241.2,183.0,7:4,FA,<FFF>,122.1,289.2
FA(7:5)_<BBBF>_n-2,277.2,183.0,7:5,FA,<BBBF>,120.1,287.2
FA(7:5)_<BBFF>_n-3,265.2,183.0,7:5,FA,<BBFF>,120.1,287.2
FA(7:5)_<BFFF>_n-4,253.2,183.0,7:5,FA,<BFFF>,120.1,287.2
FA(7:5)_<FFFF>_n-5,241.2,183.0,7:5,FA,<FFFF>,120.1,287.2
FA(8:0),311.3,183.0,8:0,FA,,144.20000000000002,323.3
FA(8:1)_<>_n-2,297.2,183.0,8:1,FA,<>,142.1,309.2
FA(8:1)_<>_n-3,283.2,183.0,8:1,FA,<>,142.1,309.2
FA(8:1)_<>_n-4,269.2,183.0,8:1,FA,<>,142.1,309.2
FA(8:1)_<>_n-5,255.2,183.0,8:1,FA,<>,142.1,309.2
FA(8:1)_<>_n-6,241.2,183.0,8:1,FA,<>,142.1,309.2
FA(8:2)_<F>_n-2,297.2,183.0,8:2,FA,<F>,140.1,307.2
FA(8:2)_<B>_n-2,295.2,183.0,8:2,FA,<B>,140.1,307.2
FA(8:2)_<F>_n-3,283.2,183.0,8:2,FA,<F>,140.1,307.2
FA(8:2)_<B>_n-3,281.2,183.0,8:2,FA,<B>,140.1,307.2
FA(8:2)_<F>_n-4,269.2,183.0,8:2,FA,<F>,140.1,307.2
FA(8:2)_<B>_n-4,267.2,183.0,8:2,FA,<B>,140.1,307.2
FA(8:2)_<F>_n-5,255.2,183.0,8:2,FA,<F>,140.1,307.2
FA(8:2)_<B>_n-5,253.2,183.0,8:2,FA,<B>,140.1,307.2
FA(8:2)_<F>_n-6,241.2,183.0,8:2,FA,<F>,140.1,307.2
FA(8:3)_<BF>_n-2,295.2,183.0,8:3,FA,<BF>,138.1,305.2
FA(8:3)_<BB>_n-2,293.2,183.0,8:3,FA,<BB>,138.1,305.2
FA(8:3)_<FF>_n-3,283.2,183.0,8:3,FA,<FF>,138.1,305.2
FA(8:3)_<BF>_n-3,281.2,183.0,8:3,FA,<BF>,138.1,305.2
FA(8:3)_<BB>_n-3,279.2,183.0,8:3,FA,<BB>,138.1,305.2
FA(8:3)_<FF>_n-4,269.2,183.0,8:3,FA,<FF>,138.1,305.2
FA(8:3)_<BF>_n-4,267.2,183.0,8:3,FA,<BF>,138.1,305.2
FA(8:3)_<BB>_n-4,265.2,183.0,8:3,FA,<BB>,138.1,305.2
FA(8:3)_<FF>_n-5,255.2,183.0,8:3,FA,<FF>,138.1,305.2
FA(8:3)_<BF>_n-5,253.2,183.0,8:3,FA,<BF>,138.1,305.2
FA(8:3)_<FF>_n-6,241.2,183.0,8:3,FA,<FF>,138.1,305.2
FA(8:4)_<BBF>_n-2,293.2,183.0,8:4,FA,<BBF>,136.1,303.2
FA(8:4)_<BBB>_n-2,291.2,183.0,8:4,FA,<BBB>,136.1,303.2
FA(8:4)_<BFF>_n-3,281.2,183.0,8:4,FA,<BFF>,136.1,303.2
FA(8:4)_<BBF>_n-3,279.2,183.0,8:4,FA,<BBF>,136.1,303.2
FA(8:4)_<BBB>_n-3,277.2,183.0,8:4,FA,<BBB>,136.1,303.2
FA(8:4)_<FFF>_n-4,269.2,183.0,8:4,FA,<FFF>,136.1,303.2
FA(8:4)_<BFF>_n-4,267.2,183.0,8:4,FA,<BFF>,136.1,303.2
FA(8:4)_<BBF>_n-4,265.2,183.0,8:4,FA,<BBF>,136.1,303.2
FA(8:4)_<FFF>_n-5,255.2,183.0,8:4,FA,<FFF>,136.1,303.2
FA(8:4)_<BFF>_n-5,253.2,183.0,8:4,FA,<BFF>,136.1,303.2
FA(8:4)_<FFF>_n-6,241.2,183.0,8:4,FA,<FFF>,136.1,303.2
FA(8:5)_<BBBF>_n-2,291.2,183.0,8:5,FA,<BBBF>,134.1,301.2
FA(8:5)_<BBBB>_n-2,289.2,183.0,8:5,FA,<BBBB>,134.1,301.2
FA(8:5)_<BBFF>_n-3,279.2,183.0,8:5,FA,<BBFF>,134.1,301.2
FA(8:5)_<BBBF>_n-3,277.2,183.0,8:5,FA,<BBBF>,134.1,301.2
FA(8:5)_<BFFF>_n-4,267.2,183.0,8:5,FA,<BFFF>,134.1,301.2
FA(8:5)_<BBFF>_n-4,265.2,183.0,8:5,FA,<BBFF>,134.1,301.2
FA(8:5)_<FFFF>_n-5,255.2,183.0,8:5,FA,<FFFF>,134.1,301.2
FA(8:5)_<BFFF>_n-5,253.2,183.0,8:5,FA,<BFFF>,134.1,301.2
FA(8:5)_<FFFF>_n-6,241.2,183.0,8:5,FA,<FFFF>,134.1,301.2
FA(8:6)_<BBBBF>_n-2,289.2,183.0,8:6,FA,<BBBBF>,132.1,299.2
FA(8:6)_<BBBFF>_n-3,277.2,183.0,8:6,FA,<BBBFF>,132.1,299.2
FA(8:6)_<BBFFF>_n-4,265.2,183.0,8:6,FA,<BBFFF>,132.1,299.2
FA(8:6)_<BFFFF>_n-5,253.2,183.0,8:6,FA,<BFFFF>,132.1,299.2
FA(8:6)_<FFFFF>_n-6,241.2,183.0,8:6,FA,<FFFFF>,132.1,299.2
FA(9:0),325.3,183.0,9:0,FA,,158.20000000000002,337.3
FA(9:1)_<>_n-2,311.2,183.0,9:1,FA,<>,156.1,323.2
FA(9:1)_<>_n-3,297.2,183.0,9:1,FA,<>,156.1,323.2
FA(9:1)_<>_n-4,283.2,183.0,9:1,FA,<>,156.1,323.2
FA(9:1)_<>_n-5,269.2,183.0,9:1,FA,<>,156.1,323.2
FA(9:1)_<>_n-6,255.2,183.0,9:1,FA,<>,156.1,323.2
FA(9:1)_<>_n-7,241.2,183.0,9:1,FA,<>,156.1,323.2
FA(9:2)_<F>_n-2,311.2,183.0,9:2,FA,<F>,154.1,321.2
FA(9:2)_<B>_n-2,309.2,183.0,9:2,FA,<B>,154.1,321.2
FA(9:2)_<F>_n-3,297.2,183.0,9:2,FA,<F>,154.1,321.2
FA(9:2)_<B>_n-3,295.2,183.0,9:2,FA,<B>,154.1,321.2
FA(9:2)_<F>_n-4,283.2,183.0,9:2,FA,<F>,154.1,321.2
FA(9:2)_<B>_n-4,281.2,183.0,9:2,FA,<B>,154.1,321.2
FA(9:2)_<F>_n-5,269.2,183.0,9:2,FA,<F>,154.1,321.2
FA(9:2)_<B>_n-5,267.2,183.0,9:2,FA,<B>,154.1,321.2
FA(9:2)_<F>_n-6,255.2,183.0,9:2,FA,<F>,154.1,321.2
FA(9:2)_<B>_n-6,253.2,183.0,9:2,FA,<B>,154.1,321.2
FA(9:2)_<F>_n-7,241.2,183.0,9:2,FA,<F>,154.1,321.2
FA(9:3)_<BF>_n-2,309.2,183.0,9:3,FA,<BF>,152.1,319.2
FA(9:3)_<BB>_n-2,307.2,183.0,9:3,FA,<BB>,152.1,319.2
FA(9:3)_<FF>_n-3,297.2,183.0,9:3,FA,<FF>,152.1,319.2
FA(9:3)_<BF>_n-3,295.2,183.0,9:3,FA,<BF>,152.1,319.2
FA(9:3)_<BB>_n-3,293.2,183.0,9:3,FA,<BB>,152.1,319.2
FA(9:3)_<FF>_n-4,283.2,183.0,9:3,FA,<FF>,152.1,319.2
FA(9:3)_<BF>_n-4,281.2,183.0,9:3,FA,<BF>,152.1,319.2
FA(9:3)_<BB>_n-4,279.2,183.0,9:3,FA,<BB>,152.1,319.2
FA(9:3)_<FF>_n-5,269.2,183.0,9:3,FA,<FF>,152.1,319.2
FA(9:3)_<BF>_n-5,267.2,183.0,9:3,FA,<BF>,152.1,319.2
FA(9:3)_<BB>_n-5,265.2,183.0,9:3,FA,<BB>,152.1,319.2
FA(9:3)_<FF>_n-6,255.2,183.0,9:3,FA,<FF>,152.1,319.2
FA(9:3)_<BF>_n-6,253.2,183.0,9:3,FA,<BF>,152.1,319.2
FA(9:3)_<FF>_n-7,241.2,183.0,9:3,FA,<FF>,152.1,319.2
FA(9:4)_<BBF>_n-2,307.2,183.0,9:4,FA,<BBF>,150.1,317.2
FA(9:4)_<BBB>_n-2,305.2,183.0,9:4,FA,<BBB>,150.1,317.2
FA(9:4)_<BFF>_n-3,295.2,183.0,9:4,FA,<BFF>,150.1,317.2
FA(9:4)_<BBF>_n-3,293.2,183.0,9:4,FA,<BBF>,150.1,317.2
FA(9:4)_<BBB>_n-3,291.2,183.0,9:4,FA,<BBB>,150.1,317.2
FA(9:4)_<FFF>_n-4,283.2,183.0,9:4,FA,<FFF>,150.1,317.2
FA(9:4)_<BFF>_n-4,281.2,183.0,9:4,FA,<BFF>,150.1,317.2
FA(9:4)_<BBF>_n-4,279.2,183.0,9:4,FA,<BBF>,150.1,317.2
FA(9:4)_<BBB>_n-4,277.2,183.0,9:4,FA,<BBB>,150.1,317.2
FA(9:4)_<FFF>_n-5,269.2,183.0,9:4,FA,<FFF>,150.1,317.2
FA(9:4)_<BFF>_n-5,267.2,183.0,9:4,FA,<BFF>,150.1,317.2
FA(9:4)_<BBF>_n-5,265.2,183.0,9:4,FA,<BBF>,150.1,317.2
FA(9:4)_<FFF>_n-6,255.2,183.0,9:4,FA,<FFF>,150.1,317.2
FA(9:4)_<BFF>_n-6,253.2,183.0,9:4,FA,<BFF>,150.1,317.2
FA(9:4)_<FFF>_n-7,241.2,183.0,9:4,FA,<FFF>,150.1,317.2
FA(9:5)_<BBBF>_n-2,305.2,183.0,9:5,FA,<BBBF>,148.1,315.2
FA(9:5)_<BBBB>_n-2,303.2,183.0,9:5,FA,<BBBB>,148.1,315.2
FA(9:5)_<BBFF>_n-3,293.2,183.0,9:5,FA,<BBFF>,148.1,315.2
FA(9:5)_<BBBF>_n-3,291.2,183.0,9:5,FA,<BBBF>,148.1,315.2
FA(9:5)_<BBBB>_n-3,289.2,183.0,9:5,FA,<BBBB>,148.1,315.2
FA(9:5)_<BFFF>_n-4,281.2,183.0,9:5,FA,<BFFF>,148.1,315.2
FA(9:5)_<BBFF>_n-4,279.2,183.0,9:5,FA,<BBFF>,148.1,315.2
FA(9:5)_<BBBF>_n-4,277.2,183.0,9:5,FA,<BBBF>,148.1,315.2
FA(9:5)_<FFFF>_n-5,269.2,183.0,9:5,FA,<FFFF>,148.1,315.2
FA(9:5)_<BFFF>_n-5,267.2,183.0,9:5,FA,<BFFF>,148.1,315.2
FA(9:5)_<BBFF>_n-5,265.2,183.0,9:5,FA,<BBFF>,148.1,315.2
FA(9:5)_<FFFF>_n-6,255.2,183.0,9:5,FA,<FFFF>,148.1,315.2
FA(9:5)_<BFFF>_n-6,253.2,183.0,9:5,FA,<BFFF>,148.1,315.2
FA(9:5)_<FFFF>_n-7,241.2,183.0,9:5,FA,<FFFF>,148.1,315.2
FA(9:6)_<BBBBF>_n-2,303.2,183.0,9:6,FA,<BBBBF>,146.1,313.2
FA(9:6)_<BBBBB>_n-2,301.2,183.0,9:6,FA,<BBBBB>,146.1,313.2
FA(9:6)_<BBBFF>_n-3,291.2,183.0,9:6,FA,<BBBFF>,146.1,313.2
FA(9:6)_<BBBBF>_n-3,289.2,183.0,9:6,FA,<BBBBF>,146.1,313.2
FA(9:6)_<BBFFF>_n-4,279.2,183.0,9:6,FA,<BBFFF>,146.1,313.2
FA(9:6)_<BBBFF>_n-4,277.2,183.0,9:6,FA,<BBBFF>,146.1,313.2
FA(9:6)_<BFFFF>_n-5,267.2,183.0,9:6,FA,<BFFFF>,146.1,313.2
FA(9:6)_<BBFFF>_n-5,265.2,183.0,9:6,FA,<BBFFF>,146.1,313.2
FA(9:6)_<FFFFF>_n-6,255.2,183.0,9:6,FA,<FFFFF>,146.1,313.2
FA(9:6)_<BFFFF>_n-6,253.2,183.0,9:6,FA,<BFFFF>,146.1,313.2
FA(9:6)_<FFFFF>_n-7,241.2,183.0,9:6,FA,<FFFFF>,146.1,313.2
FA(10:0),339.3,183.0,10:0,FA,,172.20000000000002,351.3
FA(10:1)_<>_n-2,325.2,183.0,10:1,FA,<>,170.1,337.2
FA(10:1)_<>_n-3,311.2,183.0,10:1,FA,<>,170.1,337.2
FA(10:1)_<>_n-4,297.2,183.0,10:1,FA,<>,170.1,337.2
FA(10:1)_<>_n-5,283.2,183.0,10:1,FA,<>,170.1,337.2
FA(10:1)_<>_n-6,269.2,183.0,10:1,FA,<>,170.1,337.2
FA(10:1)_<>_n-7,255.2,183.0,10:1,FA,<>,170.1,337.2
FA(10:1)_<>_n-8,241.2,183.0,10:1,FA,<>,170.1,337.2
FA(10:2)_<F>_n-2,325.2,183.0,10:2,FA,<F>,168.1,335.2
FA(10:2)_<B>_n-2,323.2,183.0,10:2,FA,<B>,168.1,335.2
FA(10:2)_<F>_n-3,311.2,183.0,10:2,FA,<F>,168.1,335.2
FA(10:2)_<B>_n-3,309.2,183.0,10:2,FA,<B>,168.1,335.2
FA(10:2)_<F>_n-4,297.2,183.0,10:2,FA,<F>,168.1,335.2
FA(10:2)_<B>_n-4,295.2,183.0,10:2,FA,<B>,168.1,335.2
FA(10:2)_<F>_n-5,283.2,183.0,10:2,FA,<F>,168.1,335.2
FA(10:2)_<B>_n-5,281.2,183.0,10:2,FA,<B>,168.1,335.2
FA(10:2)_<F>_n-6,269.2,183.0,10:2,FA,<F>,168.1,335.2
FA(10:2)_<B>_n-6,267.2,183.0,10:2,FA,<B>,168.1,335.2
FA(10:2)_<F>_n-7,255.2,183.0,10:2,FA,<F>,168.1,335.2
FA(10:2)_<B>_n-7,253.2,183.0,10:2,FA,<B>,168.1,335.2
FA(10:2)_<F>_n-8,241.2,183.0,10:2,FA,<F>,168.1,335.2
FA(10:3)_<BF>_n-2,323.2,183.0,10:3,FA,<BF>,166.1,333.2
FA(10:3)_<BB>_n-2,321.2,183.0,10:3,FA,<BB>,166.1,333.2
FA(10:3)_<FF>_n-3,311.2,183.0,10:3,FA,<FF>,166.1,333.2
FA(10:3)_<BF>_n-3,309.2,183.0,10:3,FA,<BF>,166.1,333.2
FA(10:3)_<BB>_n-3,307.2,183.0,10:3,FA,<BB>,166.1,333.2
FA(10:3)_<FF>_n-4,297.2,183.0,10:3,FA,<FF>,166.1,333.2
FA(10:3)_<BF>_n-4,295.2,183.0,10:3,FA,<BF>,166.1,333.2
FA(10:3)_<BB>_n-4,293.2,183.0,10:3,FA,<BB>,166.1,333.2
FA(10:3)_<FF>_n-5,283.2,183.0,10:3,FA,<FF>,166.1,333.2
FA(10:3)_<BF>_n-5,281.2,183.0,10:3,FA,<BF>,166.1,333.2
FA(10:3)_<BB>_n-5,279.2,183.0,10:3,FA,<BB>,166.1,333.2
FA(10:3)_<FF>_n-6,269.2,183.0,10:3,FA,<FF>,166.1,333.2
FA(10:3)_<BF>_n-6,267.2,183.0,10:3,FA,<BF>,166.1,333.2
FA(10:3)_<BB>_n-6,265.2,183.0,10:3,FA,<BB>,166.1,333.2
FA(10:3)_<FF>_n-7,255.2,183.0,10:3,FA,<FF>,166.1,333.2
FA(10:3)_<BF>_n-7,253.2,183.0,10:3,FA,<BF>,166.1,333.2
FA(10:3)_<FF>_n-8,241.2,183.0,10:3,FA,<FF>,166.1,333.2
FA(10:4)_<BBF>_n-2,321.2,183.0,10:4,FA,<BBF>,164.1,331.2
FA(10:4)_<BBB>_n-2,319.2,183.0,10:4,FA,<BBB>,164.1,331.2
FA(10:4)_<BFF>_n-3,309.2,183.0,10:4,FA,<BFF>,164.1,331.2
FA(10:4)_<BBF>_n-3,307.2,183.0,10:4,FA,<BBF>,164.1,331.2
FA(10:4)_<BBB>_n-3,305.2,183.0,10:4,FA,<BBB>,164.1,331.2
FA(10:4)_<FFF>_n-4,297.2,183.0,10:4,FA,<FFF>,164.1,331.2
FA(10:4)_<BFF>_n-4,295.2,183.0,10:4,FA,<BFF>,164.1,331.2
FA(10:4)_<BBF>_n-4,293.2,183.0,10:4,FA,<BBF>,164.1,331.2
FA(10:4)_<BBB>_n-4,291.2,183.0,10:4,FA,<BBB>,164.1,331.2
FA(10:4)_<FFF>_n-5,283.2,183.0,10:4,FA,<FFF>,164.1,331.2
FA(10:4)_<BFF>_n-5,281.2,183.0,10:4,FA,<BFF>,164.1,331.2
FA(10:4)_<BBF>_n-5,279.2,183.0,10:4,FA,<BBF>,164.1,331.2
FA(10:4)_<BBB>_n-5,277.2,183.0,10:4,FA,<BBB>,164.1,331.2
FA(10:4)_<FFF>_n-6,269.2,183.0,10:4,FA,<FFF>,164.1,331.2
FA(10:4)_<BFF>_n-6,267.2,183.0,10:4,FA,<BFF>,164.1,331.2
FA(10:4)_<BBF>_n-6,265.2,183.0,10:4,FA,<BBF>,164.1,331.2
FA(10:4)_<FFF>_n-7,255.2,183.0,10:4,FA,<FFF>,164.1,331.2
FA(10:4)_<BFF>_n-7,253.2,183.0,10:4,FA,<BFF>,164.1,331.2
FA(10:4)_<FFF>_n-8,241.2,183.0,10:4,FA,<FFF>,164.1,331.2
FA(10:5)_<BBBF>_n-2,319.2,183.0,10:5,FA,<BBBF>,162.1,329.2
FA(10:5)_<BBBB>_n-2,317.2,183.0,10:5,FA,<BBBB>,162.1,329.2
FA(10:5)_<BBFF>_n-3,307.2,183.0,10:5,FA,<BBFF>,162.1,329.2
FA(10:5)_<BBBF>_n-3,305.2,183.0,10:5,FA,<BBBF>,162.1,329.2
FA(10:5)_<BBBB>_n-3,303.2,183.0,10:5,FA,<BBBB>,162.1,329.2
FA(10:5)_<BFFF>_n-4,295.2,183.0,10:5,FA,<BFFF>,162.1,329.2
FA(10:5)_<BBFF>_n-4,293.2,183.0,10:5,FA,<BBFF>,162.1,329.2
FA(10:5)_<BBBF>_n-4,291.2,183.0,10:5,FA,<BBBF>,162.1,329.2
FA(10:5)_<BBBB>_n-4,289.2,183.0,10:5,FA,<BBBB>,162.1,329.2
FA(10:5)_<FFFF>_n-5,283.2,183.0,10:5,FA,<FFFF>,162.1,329.2
FA(10:5)_<BFFF>_n-5,281.2,183.0,10:5,FA,<BFFF>,162.1,329.2
FA(10:5)_<BBFF>_n-5,279.2,183.0,10:5,FA,<BBFF>,162.1,329.2
FA(10:5)_<BBBF>_n-5,277.2,183.0,10:5,FA,<BBBF>,162.1,329.2
FA(10:5)_<FFFF>_n-6,269.2,183.0,10:5,FA,<FFFF>,162.1,329.2
FA(10:5)_<BFFF>_n-6,267.2,183.0,10:5,FA,<BFFF>,162.1,329.2
FA(10:5)_<BBFF>_n-6,265.2,183.0,10:5,FA,<BBFF>,162.1,329.2
FA(10:5)_<FFFF>_n-7,255.2,183.0,10:5,FA,<FFFF>,162.1,329.2
FA(10:5)_<BFFF>_n-7,253.2,183.0,10:5,FA,<BFFF>,162.1,329.2
FA(10:5)_<FFFF>_n-8,241.2,183.0,10:5,FA,<FFFF>,162.1,329.2
FA(10:6)_<BBBBF>_n-2,317.2,183.0,10:6,FA,<BBBBF>,160.1,327.2
FA(10:6)_<BBBBB>_n-2,315.2,183.0,10:6,FA,<BBBBB>,160.1,327.2
FA(10:6)_<BBBFF>_n-3,305.2,183.0,10:6,FA,<BBBFF>,160.1,327.2
FA(10:6)_<BBBBF>_n-3,303.2,183.0,10:6,FA,<BBBBF>,160.1,327.2
FA(10:6)_<BBBBB>_n-3,301.2,183.0,10:6,FA,<BBBBB>,160.1,327.2
FA(10:6)_<BBFFF>_n-4,293.2,183.0,10:6,FA,<BBFFF>,160.1,327.2
FA(10:6)_<BBBFF>_n-4,291.2,183.0,10:6,FA,<BBBFF>,160.1,327.2
FA(10:6)_<BBBBF>_n-4,289.2,183.0,10:6,FA,<BBBBF>,160.1,327.2
FA(10:6)_<BFFFF>_n-5,281.2,183.0,10:6,FA,<BFFFF>,160.1,327.2
FA(10:6)_<BBFFF>_n-5,279.2,183.0,10:6,FA,<BBFFF>,160.1,327.2
FA(10:6)_<BBBFF>_n-5,277.2,183.0,10:6,FA,<BBBFF>,160.1,327.2
FA(10:6)_<FFFFF>_n-6,269.2,183.0,10:6,FA,<FFFFF>,160.1,327.2
FA(10:6)_<BFFFF>_n-6,267.2,183.0,10:6,FA,<BFFFF>,160.1,327.2
FA(10:6)_<BBFFF>_n-6,265.2,183.0,10:6,FA,<BBFFF>,160.1,327.2
FA(10:6)_<FFFFF>_n-7,255.2,183.0,10:6,FA,<FFFFF>,160.1,327.2
FA(10:6)_<BFFFF>_n-7,253.2,183.0,10:6,FA,<BFFFF>,160.1,327.2
FA(10:6)_<FFFFF>_n-8,241.2,183.0,10:6,FA,<FFFFF>,160.1,327.2
FA(11:0),353.3,183.0,11:0,FA,,186.2,365.3
FA(11:1)_<>_n-2,339.2,183.0,11:1,FA,<>,184.1,351.2
FA(11:1)_<>_n-3,325.2,183.0,11:1,FA,<>,184.1,351.2
FA(11:1)_<>_n-4,311.2,183.0,11:1,FA,<>,184.1,351.2
FA(11:1)_<>_n-5,297.2,183.0,11:1,FA,<>,184.1,351.2
FA(11:1)_<>_n-6,283.2,183.0,11:1,FA,<>,184.1,351.2
FA(11:1)_<>_n-7,269.2,183.0,11:1,FA,<>,184.1,351.2
FA(11:1)_<>_n-8,255.2,183.0,11:1,FA,<>,184.1,351.2
FA(11:1)_<>_n-9,241.2,183.0,11:1,FA,<>,184.1,351.2
FA(11:2)_<F>_n-2,339.2,183.0,11:2,FA,<F>,182.1,349.2
FA(11:2)_<B>_n-2,337.2,183.0,11:2,FA,<B>,182.1,349.2
FA(11:2)_<F>_n-3,325.2,183.0,11:2,FA,<F>,182.1,349.2
FA(11:2)_<B>_n-3,323.2,183.0,11:2,FA,<B>,182.1,349.2
FA(11:2)_<F>_n-4,311.2,183.0,11:2,FA,<F>,182.1,349.2
FA(11:2)_<B>_n-4,309.2,183.0,11:2,FA,<B>,182.1,349.2
FA(11:2)_<F>_n-5,297.2,183.0,11:2,FA,<F>,182.1,349.2
FA(11:2)_<B>_n-5,295.2,183.0,11:2,FA,<B>,182.1,349.2
FA(11:2)_<F>_n-6,283.2,183.0,11:2,FA,<F>,182.1,349.2
FA(11:2)_<B>_n-6,281.2,183.0,11:2,FA,<B>,182.1,349.2
FA(11:2)_<F>_n-7,269.2,183.0,11:2,FA,<F>,182.1,349.2
FA(11:2)_<B>_n-7,267.2,183.0,11:2,FA,<B>,182.1,349.2
FA(11:2)_<F>_n-8,255.2,183.0,11:2,FA,<F>,182.1,349.2
FA(11:2)_<B>_n-8,253.2,183.0,11:2,FA,<B>,182.1,349.2
FA(11:2)_<F>_n-9,241.2,183.0,11:2,FA,<F>,182.1,349.2
FA(11:3)_<BF>_n-2,337.2,183.0,11:3,FA,<BF>,180.1,347.2
FA(11:3)_<BB>_n-2,335.2,183.0,11:3,FA,<BB>,180.1,347.2
FA(11:3)_<FF>_n-3,325.2,183.0,11:3,FA,<FF>,180.1,347.2
FA(11:3)_<BF>_n-3,323.2,183.0,11:3,FA,<BF>,180.1,347.2
FA(11:3)_<BB>_n-3,321.2,183.0,11:3,FA,<BB>,180.1,347.2
FA(11:3)_<FF>_n-4,311.2,183.0,11:3,FA,<FF>,180.1,347.2
FA(11:3)_<BF>_n-4,309.2,183.0,11:3,FA,<BF>,180.1,347.2
FA(11:3)_<BB>_n-4,307.2,183.0,11:3,FA,<BB>,180.1,347.2
FA(11:3)_<FF>_n-5,297.2,183.0,11:3,FA,<FF>,180.1,347.2
FA(11:3)_<BF>_n-5,295.2,183.0,11:3,FA,<BF>,180.1,347.2
FA(11:3)_<BB>_n-5,293.2,183.0,11:3,FA,<BB>,180.1,347.2
FA(11:3)_<FF>_n-6,283.2,183.0,11:3,FA,<FF>,180.1,347.2
FA(11:3)_<BF>_n-6,281.2,183.0,11:3,FA,<BF>,180.1,347.2
FA(11:3)_<BB>_n-6,279.2,183.0,11:3,FA,<BB>,180.1,347.2
FA(11:3)_<FF>_n-7,269.2,183.0,11:3,FA,<FF>,180.1,347.2
FA(11:3)_<BF>_n-7,267.2,183.0,11:3,FA,<BF>,180.1,347.2
