Lipid,Parent_Ion,Chain length,DB Number,DB Location,FA mass,[FA+AMP]+
FA(9:5)_<BBBF>_n-3,291.2,9,5,<BBBF>,148.1,315.2
FA(9:5)_<BBBF>_n-4,277.2,9,5,<BBBF>,148.1,315.2
FA(9:5)_<BBFF>_n-3,293.2,9,5,<BBFF>,148.1,315.2
FA(9:5)_<BBFF>_n-4,279.2,9,5,<BBFF>,148.1,315.2
FA(9:5)_<BBFF>_n-5,265.2,9,5,<BBFF>,148.1,315.2
FA(9:5)_<BFFF>_n-4,281.2,9,5,<BFFF>,148.1,315.2
FA(9:5)_<BFFF>_n-5,267.2,9,5,<BFFF>,148.1,315.2
FA(9:5)_<BFFF>_n-6,253.2,9,5,<BFFF>,148.1,315.2
FA(9:5)_<FFFF>_n-5,269.2,9,5,<FFFF>,148.1,315.2
FA(9:5)_<FFFF>_n-6,255.2,9,5,<FFFF>,148.1,315.2
FA(9:5)_<FFFF>_n-7,241.2,9,5,<FFFF>,148.1,315.2
FA(9:6)_<BBBBB>_n-2,301.2,9,6,<BBBBB>,146.1,313.2
FA(9:6)_<BBBBF>_n-2,303.2,9,6,<BBBBF>,146.1,313.2
FA(9:6)_<BBBBF>_n-3,289.2,9,6,<BBBBF>,146.1,313.2
FA(9:6)_<BBBFF>_n-3,291.2,9,6,<BBBFF>,146.1,313.2
FA(9:6)_<BBBFF>_n-4,277.2,9,6,<BBBFF>,146.1,313.2
FA(9:6)_<BBFFF>_n-4,279.2,9,6,<BBFFF>,146.1,313.2
FA(9:6)_<BBFFF>_n-5,265.2,9,6,<BBFFF>,146.1,313.2
FA(9:6)_<BFFFF>_n-5,267.2,9,6,<BFFFF>,146.1,313.2
FA(9:6)_<BFFFF>_n-6,253.2,9,6,<BFFFF>,146.1,313.2
FA(9:6)_<FFFFF>_n-6,255.2,9,6,<FFFFF>,146.1,313.2
FA(9:6)_<FFFFF>_n-7,241.2,9,6,<FFFFF>,146.1,313.2
FA(10:1)_<>_n-2,325.2,10,1,<>,170.1,337.2
FA(10:1)_<>_n-3,311.2,10,1,<>,170.1,337.2
FA(10:1)_<>_n-4,297.2,10,1,<>,170.1,337.2
FA(10:1)_<>_n-5,283.2,10,1,<>,170.1,337.2
FA(10:1)_<>_n-6,269.2,10,1,<>,170.1,337.2
FA(10:1)_<>_n-7,255.2,10,1,<>,170.1,337.2
FA(10:1)_<>_n-8,241.2,10,1,<>,170.1,337.2
FA(10:2)_<B>_n-2,323.2,10,2,<B>,168.1,335.2
FA(10:2)_<B>_n-3,309.2,10,2,<B>,168.1,335.2
FA(10:2)_<B>_n-4,295.2,10,2,<B>,168.1,335.2
FA(10:2)_<B>_n-5,281.2,10,2,<B>,168.1,335.2
FA(10:2)_<B>_n-6,267.2,10,2,<B>,168.1,335.2
FA(10:2)_<B>_n-7,253.2,10,2,<B>,168.1,335.2
FA(10:2)_<F>_n-2,325.2,10,2,<F>,168.1,335.2
FA(10:2)_<F>_n-3,311.2,10,2,<F>,168.1,335.2
FA(10:2)_<F>_n-4,297.2,10,2,<F>,168.1,335.2
FA(10:2)_<F>_n-5,283.2,10,2,<F>,168.1,335.2
FA(10:2)_<F>_n-6,269.2,10,2,<F>,168.1,335.2
FA(10:2)_<F>_n-7,255.2,10,2,<F>,168.1,335.2
FA(10:2)_<F>_n-8,241.2,10,2,<F>,168.1,335.2
FA(10:3)_<BB>_n-2,321.2,10,3,<BB>,166.1,333.2
FA(10:3)_<BB>_n-3,307.2,10,3,<BB>,166.1,333.2
FA(10:3)_<BB>_n-4,293.2,10,3,<BB>,166.1,333.2
FA(10:3)_<BB>_n-5,279.2,10,3,<BB>,166.1,333.2
FA(10:3)_<BB>_n-6,265.2,10,3,<BB>,166.1,333.2
FA(10:3)_<BF>_n-2,323.2,10,3,<BF>,166.1,333.2
FA(10:3)_<BF>_n-3,309.2,10,3,<BF>,166.1,333.2
FA(10:3)_<BF>_n-4,295.2,10,3,<BF>,166.1,333.2
FA(10:3)_<BF>_n-5,281.2,10,3,<BF>,166.1,333.2
FA(10:3)_<BF>_n-6,267.2,10,3,<BF>,166.1,333.2
FA(10:3)_<BF>_n-7,253.2,10,3,<BF>,166.1,333.2
FA(10:3)_<FF>_n-3,311.2,10,3,<FF>,166.1,333.2
FA(10:3)_<FF>_n-4,297.2,10,3,<FF>,166.1,333.2
FA(10:3)_<FF>_n-5,283.2,10,3,<FF>,166.1,333.2
FA(10:3)_<FF>_n-6,269.2,10,3,<FF>,166.1,333.2
FA(10:3)_<FF>_n-7,255.2,10,3,<FF>,166.1,333.2
FA(10:3)_<FF>_n-8,241.2,10,3,<FF>,166.1,333.2
FA(10:4)_<BBB>_n-2,319.2,10,4,<BBB>,164.1,331.2
FA(10:4)_<BBB>_n-3,305.2,10,4,<BBB>,164.1,331.2
FA(10:4)_<BBB>_n-4,291.2,10,4,<BBB>,164.1,331.2
FA(10:4)_<BBB>_n-5,277.2,10,4,<BBB>,164.1,331.2
FA(10:4)_<BBF>_n-2,321.2,10,4,<BBF>,164.1,331.2
FA(10:4)_<BBF>_n-3,307.2,10,4,<BBF>,164.1,331.2
FA(10:4)_<BBF>_n-4,293.2,10,4,<BBF>,164.1,331.2
FA(10:4)_<BBF>_n-5,279.2,10,4,<BBF>,164.1,331.2
FA(10:4)_<BBF>_n-6,265.2,10,4,<BBF>,164.1,331.2
FA(10:4)_<BFF>_n-3,309.2,10,4,<BFF>,164.1,331.2
FA(10:4)_<BFF>_n-4,295.2,10,4,<BFF>,164.1,331.2
FA(10:4)_<BFF>_n-5,281.2,10,4,<BFF>,164.1,331.2
FA(10:4)_<BFF>_n-6,267.2,10,4,<BFF>,164.1,331.2
FA(10:4)_<BFF>_n-7,253.2,10,4,<BFF>,164.1,331.2
FA(10:4)_<FFF>_n-4,297.2,10,4,<FFF>,164.1,331.2
FA(10:4)_<FFF>_n-5,283.2,10,4,<FFF>,164.1,331.2
FA(10:4)_<FFF>_n-6,269.2,10,4,<FFF>,164.1,331.2
FA(10:4)_<FFF>_n-7,255.2,10,4,<FFF>,164.1,331.2
FA(10:4)_<FFF>_n-8,241.2,10,4,<FFF>,164.1,331.2
FA(10:5)_<BBBB>_n-2,317.2,10,5,<BBBB>,162.1,329.2
FA(10:5)_<BBBB>_n-3,303.2,10,5,<BBBB>,162.1,329.2
FA(10:5)_<BBBB>_n-4,289.2,10,5,<BBBB>,162.1,329.2
FA(10:5)_<BBBF>_n-2,319.2,10,5,<BBBF>,162.1,329.2
FA(10:5)_<BBBF>_n-3,305.2,10,5,<BBBF>,162.1,329.2
FA(10:5)_<BBBF>_n-4,291.2,10,5,<BBBF>,162.1,329.2
FA(10:5)_<BBBF>_n-5,277.2,10,5,<BBBF>,162.1,329.2
FA(10:5)_<BBFF>_n-3,307.2,10,5,<BBFF>,162.1,329.2
FA(10:5)_<BBFF>_n-4,293.2,10,5,<BBFF>,162.1,329.2
FA(10:5)_<BBFF>_n-5,279.2,10,5,<BBFF>,162.1,329.2
FA(10:5)_<BBFF>_n-6,265.2,10,5,<BBFF>,162.1,329.2
FA(10:5)_<BFFF>_n-4,295.2,10,5,<BFFF>,162.1,329.2
FA(10:5)_<BFFF>_n-5,281.2,10,5,<BFFF>,162.1,329.2
FA(10:5)_<BFFF>_n-6,267.2,10,5,<BFFF>,162.1,329.2
FA(10:5)_<BFFF>_n-7,253.2,10,5,<BFFF>,162.1,329.2
FA(10:5)_<FFFF>_n-5,283.2,10,5,<FFFF>,162.1,329.2
FA(10:5)_<FFFF>_n-6,269.2,10,5,<FFFF>,162.1,329.2
FA(10:5)_<FFFF>_n-7,255.2,10,5,<FFFF>,162.1,329.2
FA(10:5)_<FFFF>_n-8,241.2,10,5,<FFFF>,162.1,329.2
FA(10:6)_<BBBBB>_n-2,315.2,10,6,<BBBBB>,160.1,327.2
FA(10:6)_<BBBBB>_n-3,301.2,10,6,<BBBBB>,160.1,327.2
FA(10:6)_<BBBBF>_n-2,317.2,10,6,<BBBBF>,160.1,327.2
FA(10:6)_<BBBBF>_n-3,303.2,10,6,<BBBBF>,160.1,327.2
FA(10:6)_<BBBBF>_n-4,289.2,10,6,<BBBBF>,160.1,327.2
FA(10:6)_<BBBFF>_n-3,305.2,10,6,<BBBFF>,160.1,327.2
FA(10:6)_<BBBFF>_n-4,291.2,10,6,<BBBFF>,160.1,327.2
FA(10:6)_<BBBFF>_n-5,277.2,10,6,<BBBFF>,160.1,327.2
FA(10:6)_<BBFFF>_n-4,293.2,10,6,<BBFFF>,160.1,327.2
FA(10:6)_<BBFFF>_n-5,279.2,10,6,<BBFFF>,160.1,327.2
FA(10:6)_<BBFFF>_n-6,265.2,10,6,<BBFFF>,160.1,327.2
FA(10:6)_<BFFFF>_n-5,281.2,10,6,<BFFFF>,160.1,327.2
FA(10:6)_<BFFFF>_n-6,267.2,10,6,<BFFFF>,160.1,327.2
FA(10:6)_<BFFFF>_n-7,253.2,10,6,<BFFFF>,160.1,327.2
FA(10:6)_<FFFFF>_n-6,269.2,10,6,<FFFFF>,160.1,327.2
FA(10:6)_<FFFFF>_n-7,255.2,10,6,<FFFFF>,160.1,327.2
FA(10:6)_<FFFFF>_n-8,241.2,10,6,<FFFFF>,160.1,327.2
FA(11:1)_<>_n-2,339.2,11,1,<>,184.1,351.2
FA(11:1)_<>_n-3,325.2,11,1,<>,184.1,351.2
FA(11:1)_<>_n-4,311.2,11,1,<>,184.1,351.2
FA(11:1)_<>_n-5,297.2,11,1,<>,184.1,351.2
FA(11:1)_<>_n-6,283.2,11,1,<>,184.1,351.2
FA(11:1)_<>_n-7,269.2,11,1,<>,184.1,351.2
FA(11:1)_<>_n-8,255.2,11,1,<>,184.1,351.2
FA(11:1)_<>_n-9,241.2,11,1,<>,184.1,351.2
FA(11:2)_<B>_n-2,337.2,11,2,<B>,182.1,349.2
FA(11:2)_<B>_n-3,323.2,11,2,<B>,182.1,349.2
FA(11:2)_<B>_n-4,309.2,11,2,<B>,182.1,349.2
FA(11:2)_<B>_n-5,295.2,11,2,<B>,182.1,349.2
FA(11:2)_<B>_n-6,281.2,11,2,<B>,182.1,349.2
FA(11:2)_<B>_n-7,267.2,11,2,<B>,182.1,349.2
FA(11:2)_<B>_n-8,253.2,11,2,<B>,182.1,349.2
FA(11:2)_<F>_n-2,339.2,11,2,<F>,182.1,349.2
FA(11:2)_<F>_n-3,325.2,11,2,<F>,182.1,349.2
FA(11:2)_<F>_n-4,311.2,11,2,<F>,182.1,349.2
FA(11:2)_<F>_n-5,297.2,11,2,<F>,182.1,349.2
FA(11:2)_<F>_n-6,283.2,11,2,<F>,182.1,349.2
FA(11:2)_<F>_n-7,269.2,11,2,<F>,182.1,349.2
FA(11:2)_<F>_n-8,255.2,11,2,<F>,182.1,349.2
FA(11:2)_<F>_n-9,241.2,11,2,<F>,182.1,349.2
FA(11:3)_<BB>_n-2,335.2,11,3,<BB>,180.1,347.2
FA(11:3)_<BB>_n-3,321.2,11,3,<BB>,180.1,347.2
FA(11:3)_<BB>_n-4,307.2,11,3,<BB>,180.1,347.2
FA(11:3)_<BB>_n-5,293.2,11,3,<BB>,180.1,347.2
FA(11:3)_<BB>_n-6,279.2,11,3,<BB>,180.1,347.2
FA(11:3)_<BB>_n-7,265.2,11,3,<BB>,180.1,347.2
FA(11:3)_<BF>_n-2,337.2,11,3,<BF>,180.1,347.2
FA(11:3)_<BF>_n-3,323.2,11,3,<BF>,180.1,347.2
FA(11:3)_<BF>_n-4,309.2,11,3,<BF>,180.1,347.2
FA(11:3)_<BF>_n-5,295.2,11,3,<BF>,180.1,347.2
FA(11:3)_<BF>_n-6,281.2,11,3,<BF>,180.1,347.2
FA(11:3)_<BF>_n-7,267.2,11,3,<BF>,180.1,347.2
FA(11:3)_<BF>_n-8,253.2,11,3,<BF>,180.1,347.2
FA(11:3)_<FF>_n-3,325.2,11,3,<FF>,180.1,347.2
FA(11:3)_<FF>_n-4,311.2,11,3,<FF>,180.1,347.2
FA(11:3)_<FF>_n-5,297.2,11,3,<FF>,180.1,347.2
FA(11:3)_<FF>_n-6,283.2,11,3,<FF>,180.1,347.2
FA(11:3)_<FF>_n-7,269.2,11,3,<FF>,180.1,347.2
FA(11:3)_<FF>_n-8,255.2,11,3,<FF>,180.1,347.2
FA(11:3)_<FF>_n-9,241.2,11,3,<FF>,180.1,347.2
FA(11:4)_<BBB>_n-2,333.2,11,4,<BBB>,178.1,345.2
FA(11:4)_<BBB>_n-3,319.2,11,4,<BBB>,178.1,345.2
FA(11:4)_<BBB>_n-4,305.2,11,4,<BBB>,178.1,345.2
FA(11:4)_<BBB>_n-5,291.2,11,4,<BBB>,178.1,345.2
FA(11:4)_<BBB>_n-6,277.2,11,4,<BBB>,178.1,345.2
FA(11:4)_<BBF>_n-2,335.2,11,4,<BBF>,178.1,345.2
FA(11:4)_<BBF>_n-3,321.2,11,4,<BBF>,178.1,345.2
FA(11:4)_<BBF>_n-4,307.2,11,4,<BBF>,178.1,345.2
FA(11:4)_<BBF>_n-5,293.2,11,4,<BBF>,178.1,345.2
FA(11:4)_<BBF>_n-6,279.2,11,4,<BBF>,178.1,345.2
FA(11:4)_<BBF>_n-7,265.2,11,4,<BBF>,178.1,345.2
FA(11:4)_<BFF>_n-3,323.2,11,4,<BFF>,178.1,345.2
FA(11:4)_<BFF>_n-4,309.2,11,4,<BFF>,178.1,345.2
FA(11:4)_<BFF>_n-5,295.2,11,4,<BFF>,178.1,345.2
FA(11:4)_<BFF>_n-6,281.2,11,4,<BFF>,178.1,345.2
FA(11:4)_<BFF>_n-7,267.2,11,4,<BFF>,178.1,345.2
FA(11:4)_<BFF>_n-8,253.2,11,4,<BFF>,178.1,345.2
FA(11:4)_<FFF>_n-4,311.2,11,4,<FFF>,178.1,345.2
FA(11:4)_<FFF>_n-5,297.2,11,4,<FFF>,178.1,345.2
FA(11:4)_<FFF>_n-6,283.2,11,4,<FFF>,178.1,345.2
FA(11:4)_<FFF>_n-7,269.2,11,4,<FFF>,178.1,345.2
FA(11:4)_<FFF>_n-8,255.2,11,4,<FFF>,178.1,345.2
FA(11:4)_<FFF>_n-9,241.2,11,4,<FFF>,178.1,345.2
FA(11:5)_<BBBB>_n-2,331.2,11,5,<BBBB>,176.1,343.2
FA(11:5)_<BBBB>_n-3,317.2,11,5,<BBBB>,176.1,343.2
FA(11:5)_<BBBB>_n-4,303.2,11,5,<BBBB>,176.1,343.2
FA(11:5)_<BBBB>_n-5,289.2,11,5,<BBBB>,176.1,343.2
FA(11:5)_<BBBF>_n-2,333.2,11,5,<BBBF>,176.1,343.2
FA(11:5)_<BBBF>_n-3,319.2,11,5,<BBBF>,176.1,343.2
FA(11:5)_<BBBF>_n-4,305.2,11,5,<BBBF>,176.1,343.2
FA(11:5)_<BBBF>_n-5,291.2,11,5,<BBBF>,176.1,343.2
FA(11:5)_<BBBF>_n-6,277.2,11,5,<BBBF>,176.1,343.2
FA(11:5)_<BBFF>_n-3,321.2,11,5,<BBFF>,176.1,343.2
FA(11:5)_<BBFF>_n-4,307.2,11,5,<BBFF>,176.1,343.2
FA(11:5)_<BBFF>_n-5,293.2,11,5,<BBFF>,176.1,343.2
FA(11:5)_<BBFF>_n-6,279.2,11,5,<BBFF>,176.1,343.2
FA(11:5)_<BBFF>_n-7,265.2,11,5,<BBFF>,176.1,343.2
FA(11:5)_<BFFF>_n-4,309.2,11,5,<BFFF>,176.1,343.2
FA(11:5)_<BFFF>_n-5,295.2,11,5,<BFFF>,176.1,343.2
FA(11:5)_<BFFF>_n-6,281.2,11,5,<BFFF>,176.1,343.2
FA(11:5)_<BFFF>_n-7,267.2,11,5,<BFFF>,176.1,343.2
FA(11:5)_<BFFF>_n-8,253.2,11,5,<BFFF>,176.1,343.2
FA(11:5)_<FFFF>_n-5,297.2,11,5,<FFFF>,176.1,343.2
FA(11:5)_<FFFF>_n-6,283.2,11,5,<FFFF>,176.1,343.2
FA(11:5)_<FFFF>_n-7,269.2,11,5,<FFFF>,176.1,343.2
FA(11:5)_<FFFF>_n-8,255.2,11,5,<FFFF>,176.1,343.2
FA(11:5)_<FFFF>_n-9,241.2,11,5,<FFFF>,176.1,343.2
FA(11:6)_<BBBBB>_n-2,329.2,11,6,<BBBBB>,174.1,341.2
FA(11:6)_<BBBBB>_n-3,315.2,11,6,<BBBBB>,174.1,341.2
FA(11:6)_<BBBBB>_n-4,301.2,11,6,<BBBBB>,174.1,341.2
FA(11:6)_<BBBBF>_n-2,331.2,11,6,<BBBBF>,174.1,341.2
FA(11:6)_<BBBBF>_n-3,317.2,11,6,<BBBBF>,174.1,341.2
FA(11:6)_<BBBBF>_n-4,303.2,11,6,<BBBBF>,174.1,341.2
