,Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Area,Area_RT,Area_Ratio,FAC,TG,Biology,Genotype,Mouse,SLBG_group,Lipid_End
19,[TG(50:3)]_FA18:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-9,736.7,547.5,13.23,2524.0,736.7 -> 547.5,35280.0,0.1776333333333344,,FA18:1,TG(50:3),cortex,WT,FAD184_F3,3,FA18:1
20,[TG(50:3)]_FA18:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-9,736.7,547.5,13.18,686.0,736.7 -> 547.5,2746.0,0.0,,FA18:1,TG(50:3),dienc,WT,FAD184_F3,4,FA18:1
21,[TG(50:3)]_FA18:1,11282023_FAD184_F4_WT_cereb_O3on_01,n-9,736.7,547.5,13.36,665.0,736.7 -> 547.5,2661.0,0.0,,FA18:1,TG(50:3),cereb,WT,FAD184_F4,5,FA18:1
22,[TG(50:3)]_FA18:1,11282023_FAD184_F4_WT_dienc_O3on_01,n-9,736.7,547.5,13.23,591.0,736.7 -> 547.5,4640.0,0.0444166666666667,,FA18:1,TG(50:3),dienc,WT,FAD184_F4,6,FA18:1
23,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,764.7,547.5,13.27,881.0,764.7 -> 547.5,5678.0,0.0443999999999995,18.44,FA18:1,TG(50:3),cereb,WT,FAD185_M4,7,FA18:1
24,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,736.7,547.5,13.36,5801.0,736.7 -> 547.5,104706.0,0.7549166666666665,18.44,FA18:1,TG(50:3),cereb,WT,FAD185_M4,7,FA18:1
25,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,736.7,547.5,13.36,3674.0,736.7 -> 547.5,39483.0,0.1776333333333344,,FA18:1,TG(50:3),cortex,WT,FAD185_M4,8,FA18:1
26,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_hippo_O3on_01,n-9,736.7,547.5,13.45,578.0,736.7 -> 547.5,4366.0,0.2664666666666662,,FA18:1,TG(50:3),hippo,WT,FAD185_M4,9,FA18:1
27,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-9,736.7,547.5,13.36,1821.0,736.7 -> 547.5,28166.0,0.2664500000000007,,FA18:1,TG(50:3),cereb,WT,FAD189_M3,10,FA18:1
28,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,736.7,547.5,13.32,6918.0,736.7 -> 547.5,101057.0,0.3552499999999998,,FA18:1,TG(50:3),cortex,WT,FAD189_M3,11,FA18:1
29,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-9,736.7,547.5,13.36,1042.0,736.7 -> 547.5,11960.0,0.4884666666666675,,FA18:1,TG(50:3),dienc,WT,FAD189_M3,12,FA18:1
125,[TG(54:5)]_FA18:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-9,788.7,599.5,13.3,778.0,788.7 -> 599.5,8221.0,0.0444166666666667,,FA18:1,TG(54:5),cereb,WT,DOD94_F3,25,FA18:1
126,[TG(54:5)]_FA18:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-9,788.7,599.5,13.26,1414.0,788.7 -> 599.5,17252.0,0.0890666666666657,,FA18:1,TG(54:5),cortex,WT,DOD94_F3,26,FA18:1
127,[TG(54:5)]_FA18:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-9,788.7,599.5,13.35,4714.0,788.7 -> 599.5,44358.0,0.0890666666666657,,FA18:1,TG(54:5),dienc,WT,DOD94_F3,27,FA18:1
128,[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_cereb_O3on_01,n-9,788.7,599.5,13.26,987.0,788.7 -> 599.5,6424.0,0.0443999999999995,,FA18:1,TG(54:5),cereb,WT,FAD184_F3,28,FA18:1
129,[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-7,816.7,599.5,13.21,1406.0,816.7 -> 599.5,8113.0,0.0443999999999995,13.24,FA18:1,TG(54:5),cortex,WT,FAD184_F3,29,FA18:1
130,[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-9,788.7,599.5,13.26,7540.0,788.7 -> 599.5,107436.0,0.1778999999999992,13.24,FA18:1,TG(54:5),cortex,WT,FAD184_F3,29,FA18:1
131,[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-9,788.7,599.5,13.26,727.0,788.7 -> 599.5,5148.0,0.0446833333333334,,FA18:1,TG(54:5),dienc,WT,FAD184_F3,30,FA18:1
132,[TG(54:5)]_FA18:1,11282023_FAD184_F4_WT_cortex_O3on_01,n-9,788.7,599.5,13.3,813.0,788.7 -> 599.5,3250.0,0.0,,FA18:1,TG(54:5),cortex,WT,FAD184_F4,31,FA18:1
133,[TG(54:5)]_FA18:1,11282023_FAD184_F4_WT_dienc_O3on_01,n-9,788.7,599.5,13.26,617.0,788.7 -> 599.5,2469.0,0.0,,FA18:1,TG(54:5),dienc,WT,FAD184_F4,32,FA18:1
134,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,816.7,599.5,13.16,9256.0,816.7 -> 599.5,57614.0,0.0443999999999995,9.66,FA18:1,TG(54:5),cereb,WT,FAD185_M4,33,FA18:1
135,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,788.7,599.5,13.26,26171.0,788.7 -> 599.5,556776.0,0.3996499999999994,9.66,FA18:1,TG(54:5),cereb,WT,FAD185_M4,33,FA18:1
136,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,816.7,599.5,13.16,2219.0,816.7 -> 599.5,15963.0,0.0443999999999995,22.35,FA18:1,TG(54:5),cortex,WT,FAD185_M4,34,FA18:1
137,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,788.7,599.5,13.26,19727.0,788.7 -> 599.5,356718.0,0.3108500000000003,22.35,FA18:1,TG(54:5),cortex,WT,FAD185_M4,34,FA18:1
138,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_dienc_O3on_01,n-7,816.7,599.5,13.21,583.0,816.7 -> 599.5,2332.0,0.0,18.46,FA18:1,TG(54:5),dienc,WT,FAD185_M4,35,FA18:1
139,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_dienc_O3on_01,n-9,788.7,599.5,13.26,3594.0,788.7 -> 599.5,43039.0,0.1334999999999997,18.46,FA18:1,TG(54:5),dienc,WT,FAD185_M4,35,FA18:1
140,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_hippo_O3on_01,n-9,788.7,599.5,13.26,1702.0,788.7 -> 599.5,18359.0,0.0446666666666661,,FA18:1,TG(54:5),hippo,WT,FAD185_M4,36,FA18:1
141,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-7,816.7,599.5,13.21,654.0,816.7 -> 599.5,2618.0,0.0,48.2,FA18:1,TG(54:5),cereb,WT,FAD189_M3,37,FA18:1
142,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-9,788.7,599.5,13.26,7969.0,788.7 -> 599.5,126175.0,0.2217666666666673,48.2,FA18:1,TG(54:5),cereb,WT,FAD189_M3,37,FA18:1
143,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-7,816.7,599.5,13.21,1839.0,816.7 -> 599.5,10451.0,0.0444166666666667,28.78,FA18:1,TG(54:5),cortex,WT,FAD189_M3,38,FA18:1
144,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,788.7,599.5,13.26,14770.0,788.7 -> 599.5,300744.0,0.4440833333333334,28.78,FA18:1,TG(54:5),cortex,WT,FAD189_M3,38,FA18:1
145,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-7,816.7,599.5,13.21,596.0,816.7 -> 599.5,2383.0,0.0,39.25,FA18:1,TG(54:5),dienc,WT,FAD189_M3,39,FA18:1
146,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-9,788.7,599.5,13.21,5626.0,788.7 -> 599.5,93528.0,0.1334833333333343,39.25,FA18:1,TG(54:5),dienc,WT,FAD189_M3,39,FA18:1
147,[TG(54:6)]_FA18:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-9,786.7,597.5,12.24,544.0,786.7 -> 597.5,2175.0,0.0,,FA18:1,TG(54:6),dienc,WT,DOD94_F3,40,FA18:1
148,[TG(54:6)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,786.7,597.5,12.15,3069.0,786.7 -> 597.5,28587.0,0.0888166666666663,,FA18:1,TG(54:6),cereb,WT,FAD185_M4,41,FA18:1
149,[TG(54:6)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,786.7,597.5,12.1,1377.0,786.7 -> 597.5,7954.0,0.0444166666666667,,FA18:1,TG(54:6),cortex,WT,FAD185_M4,42,FA18:1
150,[TG(54:6)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,786.7,597.5,12.1,1207.0,786.7 -> 597.5,11100.0,0.0888166666666663,,FA18:1,TG(54:6),cortex,WT,FAD189_M3,43,FA18:1
66,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-7,820.7,603.5,15.6,577.0,820.7 -> 603.5,4475.0,0.0444166666666667,32.37,FA18:1,"TG(54:3), TG(55:10)",cereb,WT,DOD94_F3,44,FA18:1
67,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-9,792.7,603.5,15.7,8248.0,792.7 -> 603.5,144878.0,0.3552499999999998,32.37,FA18:1,"TG(54:3), TG(55:10)",cereb,WT,DOD94_F3,44,FA18:1
68,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_cortex_O3on_01,n-9,792.7,603.5,15.66,10377.0,792.7 -> 603.5,141651.0,0.2664333333333335,,FA18:1,"TG(54:3), TG(55:10)",cortex,WT,DOD94_F3,45,FA18:1
69,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-7,820.7,603.5,15.65,1241.0,820.7 -> 603.5,11376.0,0.0888166666666663,28.4,FA18:1,"TG(54:3), TG(55:10)",dienc,WT,DOD94_F3,46,FA18:1
70,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-9,792.7,603.5,15.7,23010.0,792.7 -> 603.5,323026.0,0.3996500000000011,28.4,FA18:1,"TG(54:3), TG(55:10)",dienc,WT,DOD94_F3,46,FA18:1
71,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-7,820.7,603.5,15.74,709.0,820.7 -> 603.5,2837.0,0.0,87.62,FA18:1,"TG(54:3), TG(55:10)",hippo,WT,DOD94_F3,47,FA18:1
72,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-9,792.7,603.5,15.79,8977.0,792.7 -> 603.5,248564.0,0.6661000000000019,87.62,FA18:1,"TG(54:3), TG(55:10)",hippo,WT,DOD94_F3,47,FA18:1
73,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-7,820.7,603.5,15.56,1076.0,820.7 -> 603.5,13859.0,0.1332166666666658,13.37,FA18:1,"TG(54:3), TG(55:10)",cereb,WT,FAD184_F3,48,FA18:1
74,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-9,792.7,603.5,15.66,11069.0,792.7 -> 603.5,185322.0,0.355266666666667,13.37,FA18:1,"TG(54:3), TG(55:10)",cereb,WT,FAD184_F3,48,FA18:1
75,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-7,820.7,603.5,15.56,2337.0,820.7 -> 603.5,21582.0,0.1332166666666676,18.04,FA18:1,"TG(54:3), TG(55:10)",cortex,WT,FAD184_F3,49,FA18:1
76,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-9,792.7,603.5,15.61,33073.0,792.7 -> 603.5,389349.0,0.3552499999999998,18.04,FA18:1,"TG(54:3), TG(55:10)",cortex,WT,FAD184_F3,49,FA18:1
77,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-7,820.7,603.5,15.56,648.0,820.7 -> 603.5,2590.0,0.0,54.65,FA18:1,"TG(54:3), TG(55:10)",dienc,WT,FAD184_F3,50,FA18:1
78,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-9,792.7,603.5,15.66,9687.0,792.7 -> 603.5,141539.0,0.2664333333333335,54.65,FA18:1,"TG(54:3), TG(55:10)",dienc,WT,FAD184_F3,50,FA18:1
79,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-7,820.7,603.5,15.56,728.0,820.7 -> 603.5,7310.0,0.0888166666666663,22.11,FA18:1,"TG(54:3), TG(55:10)",hippo,WT,FAD184_F3,51,FA18:1
80,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-9,792.7,603.5,15.66,9171.0,792.7 -> 603.5,161601.0,0.3996499999999994,22.11,FA18:1,"TG(54:3), TG(55:10)",hippo,WT,FAD184_F3,51,FA18:1
81,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-7,820.7,603.5,15.56,673.0,820.7 -> 603.5,7147.0,0.0888166666666663,22.97,FA18:1,"TG(54:3), TG(55:10)",cereb,WT,FAD184_F4,52,FA18:1
82,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-9,792.7,603.5,15.66,12847.0,792.7 -> 603.5,164133.0,0.3552499999999998,22.97,FA18:1,"TG(54:3), TG(55:10)",cereb,WT,FAD184_F4,52,FA18:1
83,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cortex_O3on_01,n-9,792.7,603.5,15.66,3957.0,792.7 -> 603.5,62164.0,0.1776166666666654,,FA18:1,"TG(54:3), TG(55:10)",cortex,WT,FAD184_F4,53,FA18:1
84,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_dienc_O3on_01,n-9,792.7,603.5,15.66,8381.0,792.7 -> 603.5,124688.0,0.2664500000000007,,FA18:1,"TG(54:3), TG(55:10)",dienc,WT,FAD184_F4,54,FA18:1
85,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_hippo_O3on_01,n-9,792.7,603.5,15.61,4193.0,792.7 -> 603.5,60733.0,0.2220333333333339,,FA18:1,"TG(54:3), TG(55:10)",hippo,WT,FAD184_F4,55,FA18:1
86,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-7,820.7,603.5,15.56,21692.0,820.7 -> 603.5,195846.0,0.2664500000000007,10.27,FA18:1,"TG(54:3), TG(55:10)",cereb,WT,FAD185_M4,56,FA18:1
87,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-9,792.7,603.5,15.66,177357.0,792.7 -> 603.5,2010649.0,0.5772833333333338,10.27,FA18:1,"TG(54:3), TG(55:10)",cereb,WT,FAD185_M4,56,FA18:1
88,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-7,820.7,603.5,15.56,3272.0,820.7 -> 603.5,30081.0,0.1332166666666658,16.94,FA18:1,"TG(54:3), TG(55:10)",cortex,WT,FAD185_M4,57,FA18:1
89,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-9,792.7,603.5,15.61,42833.0,792.7 -> 603.5,509514.0,0.3996666666666666,16.94,FA18:1,"TG(54:3), TG(55:10)",cortex,WT,FAD185_M4,57,FA18:1
90,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-7,820.7,603.5,15.6,842.0,820.7 -> 603.5,5378.0,0.0444166666666667,31.36,FA18:1,"TG(54:3), TG(55:10)",dienc,WT,FAD185_M4,58,FA18:1
91,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-9,792.7,603.5,15.66,12118.0,792.7 -> 603.5,168674.0,0.3552666666666653,31.36,FA18:1,"TG(54:3), TG(55:10)",dienc,WT,FAD185_M4,58,FA18:1
92,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_hippo_O3on_01,n-9,792.7,603.5,15.66,9855.0,792.7 -> 603.5,181905.0,0.4884833333333347,,FA18:1,"TG(54:3), TG(55:10)",hippo,WT,FAD185_M4,59,FA18:1
93,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-7,820.7,603.5,15.65,1551.0,820.7 -> 603.5,19258.0,0.1332166666666676,17.51,FA18:1,"TG(54:3), TG(55:10)",cereb,WT,FAD189_M3,60,FA18:1
94,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-9,792.7,603.5,15.66,30522.0,792.7 -> 603.5,337138.0,0.4440666666666661,17.51,FA18:1,"TG(54:3), TG(55:10)",cereb,WT,FAD189_M3,60,FA18:1
95,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-7,820.7,603.5,15.6,3716.0,820.7 -> 603.5,41094.0,0.1776333333333344,19.42,FA18:1,"TG(54:3), TG(55:10)",cortex,WT,FAD189_M3,61,FA18:1
96,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-9,792.7,603.5,15.66,72652.0,792.7 -> 603.5,798104.0,0.3996666666666666,19.42,FA18:1,"TG(54:3), TG(55:10)",cortex,WT,FAD189_M3,61,FA18:1
97,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-7,820.7,603.5,15.56,1762.0,820.7 -> 603.5,11900.0,0.0444000000000013,30.84,FA18:1,"TG(54:3), TG(55:10)",dienc,WT,FAD189_M3,62,FA18:1
98,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-9,792.7,603.5,15.61,24021.0,792.7 -> 603.5,366966.0,0.4440666666666661,30.84,FA18:1,"TG(54:3), TG(55:10)",dienc,WT,FAD189_M3,62,FA18:1
99,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_hippo_O3on_01,n-9,792.7,603.5,15.66,3514.0,792.7 -> 603.5,52528.0,0.2664333333333335,,FA18:1,"TG(54:3), TG(55:10)",hippo,WT,FAD189_M3,63,FA18:1
100,"[TG(55:11),TG(54:4)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-9,790.7,601.5,14.46,3356.0,790.7 -> 601.5,31928.0,0.1332166666666658,,FA18:1,"TG(54:4), TG(55:11)",cereb,WT,DOD94_F3,64,FA18:1
101,"[TG(55:11),TG(54:4)]_FA18:1",11282023_DOD94_F3_WT_cortex_O3on_01,n-9,790.7,601.5,14.46,5919.0,790.7 -> 601.5,44241.0,0.0443999999999995,,FA18:1,"TG(54:4), TG(55:11)",cortex,WT,DOD94_F3,65,FA18:1
102,"[TG(55:11),TG(54:4)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-9,790.7,601.5,14.55,9925.0,790.7 -> 601.5,101959.0,0.1332166666666658,,FA18:1,"TG(54:4), TG(55:11)",dienc,WT,DOD94_F3,66,FA18:1
103,"[TG(55:11),TG(54:4)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-9,790.7,601.5,14.59,2112.0,790.7 -> 601.5,8449.0,0.0,,FA18:1,"TG(54:4), TG(55:11)",hippo,WT,DOD94_F3,67,FA18:1
104,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-9,790.7,601.5,14.46,4175.0,790.7 -> 601.5,29158.0,0.0888166666666663,,FA18:1,"TG(54:4), TG(55:11)",cereb,WT,FAD184_F3,68,FA18:1
105,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-7,818.7,601.5,14.4,2441.0,818.7 -> 601.5,19610.0,0.0888166666666663,15.19,FA18:1,"TG(54:4), TG(55:11)",cortex,WT,FAD184_F3,69,FA18:1
106,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-9,790.7,601.5,14.46,34940.0,790.7 -> 601.5,297832.0,0.2220500000000012,15.19,FA18:1,"TG(54:4), TG(55:11)",cortex,WT,FAD184_F3,69,FA18:1
107,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-9,790.7,601.5,14.46,3275.0,790.7 -> 601.5,32810.0,0.1332166666666658,,FA18:1,"TG(54:4), TG(55:11)",dienc,WT,FAD184_F3,70,FA18:1
108,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-9,790.7,601.5,14.41,1672.0,790.7 -> 601.5,18404.0,0.0888166666666681,,FA18:1,"TG(54:4), TG(55:11)",hippo,WT,FAD184_F3,71,FA18:1
109,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-9,790.7,601.5,14.5,3439.0,790.7 -> 601.5,34367.0,0.0888166666666663,,FA18:1,"TG(54:4), TG(55:11)",cereb,WT,FAD184_F4,72,FA18:1
110,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F4_WT_cortex_O3on_01,n-9,790.7,601.5,14.5,1457.0,790.7 -> 601.5,10654.0,0.0443999999999995,,FA18:1,"TG(54:4), TG(55:11)",cortex,WT,FAD184_F4,73,FA18:1
111,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F4_WT_dienc_O3on_01,n-9,790.7,601.5,14.46,1715.0,790.7 -> 601.5,6861.0,0.0,,FA18:1,"TG(54:4), TG(55:11)",dienc,WT,FAD184_F4,74,FA18:1
