lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
DG(36:6)_C16:0,0.5647793203157468,9.400727413670154,1.563135001109913,0.21120678558753536,0.6835305563596498,DAG,1070405.0447998047,140778.8073539734,476966.8588562012,2177050.8026428223,459338.4711303711,511793.8184814453,5644166.026489258
FA(23:0),-0.541166036820574,6.27439988378062,1.5623988017518968,0.21131433496123206,0.6835305563596498,FA,482568.3391113281,201348.2147216797,216842.85485839844,352907.6833496094,374543.7768554688,294792.60119628906,58693.98394775391
PC(40:5),0.5644647046554563,11.565091085844102,1.5614577945383994,0.2114518987299636,0.6835305563596498,PC,15164071.99609375,15446780.280883787,27989663.080566406,8090820.6630859375,10179494.821777344,6364319.1142578125,312125.4022216797
[TG(50:8)|TG(49:1)]_FA18:3,-0.5380174375248905,4.530846776366892,1.5438893199211634,0.21403981485337714,0.6843509202238023,TAG,102469.10775756836,75888.94570922852,83806.78576660156,87916.90588378906,91076.3663330078,99409.7474975586,31872.16226196289
[TG(51:6)]_FA22:6,0.5618077341252303,6.383033991807536,1.547136062044956,0.21355873416219762,0.6843509202238023,TAG,328029.20416259766,324730.62438964844,566544.5212402344,498238.9958496094,194732.314453125,245043.44067382807,68924.44467163086
[TG(54:7)|TG(53:0)]_FA14:0,0.5636647529401302,5.457989512186553,1.5570722873299019,0.21209440908062563,0.6843509202238023,TAG,192285.99609375,163051.59143066406,227830.3363037109,312048.36193847656,95472.46667480467,134330.32983398438,41643.66302490234
[TG(58:10)|TG(57:3)]_FA18:1,0.5616573957784916,4.8729029661765875,1.5462490762643029,0.2136900341581227,0.6843509202238023,TAG,120552.40914916992,163324.63079833984,152563.6112060547,144319.9093017578,63041.36486816406,87002.28546142578,33981.18243408203
DG(O-38:8)|DG(36:1)_C18:1,-0.5391848237412862,7.4037407260512325,1.5508079464336788,0.21301620573476204,0.6843509202238023,DAG,506261.395904541,349443.5253601074,246551.11694717407,370661.8487358093,442318.753238678,347763.6075782776,941535.63037109375
FA(14:5),0.5611993580327825,5.066243972060518,1.5437509637667972,0.21406034414257188,0.6843509202238023,FA,225471.57568359372,110081.56787109376,48033.80342102051,58385.304443359375,60539.964111328125,49570.10385131836,154348.11157226562
FA(34:6),-0.5383694400888294,3.9151059922544316,1.5458704264268306,0.21374611468644475,0.6843509202238023,FA,89613.0267791748,55902.863861083984,44182.32388305664,46759.38291931152,79785.02659606934,45046.16323852539,15935.581169128418
