lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
[TG(50:7)|TG(49:0)]_FA18:1,-0.01014929550464237,5.133383998280044,5.147343472344801e-4,0.9818993413027366,0.9999514498362397,TAG,89766.626220703125,80583.86541748047,61957.063903808594,62550.88427734375,115890.42803955078,28335.32202148437
[TG(50:7)|TG(49:0)]_FA18:2,0.12114508282377211,4.944703000633537,0.07376161599142961,0.7859365986649478,0.9999514498362397,TAG,84398.2063293457,67361.62478637695,56482.96405029297,64605.10430908203,72103.50503540039,32208.06225585937
[TG(50:7)|TG(49:0)]_FA18:3,0.06540407992625767,5.147706595435722,0.02144880237858615,0.8835629248089282,0.9999514498362397,TAG,84392.66607666016,91786.02673339844,75951.865478515625,73435.42489624023,81406.02603149414,31936.082153320312
[TG(50:7)|TG(49:0)]_FA20:4,-0.03491719682241754,4.58985370077525,0.006084977860041363,0.937823066980069,0.9999514498362397,TAG,51105.28414916992,57514.8041381836,47638.7633972168,48004.36346435547,57045.96389770508,30781.2820892334
[TG(50:7)|TG(49:0)]_FA22:5,-0.201044909581678,6.317687183541278,0.20006217708487384,0.6546706631508372,0.9999514498362397,TAG,128858.62884521484,178131.81283569336,180020.73489379883,155576.43200683594,141982.74942016602,148353.2518005371
[TG(50:7)|TG(49:0)]_FA22:6,0.027441311254832856,5.667824110294424,0.003769488635725793,0.951043709346674,0.9999514498362397,TAG,112739.86752319336,128640.5094909668,114567.58770751952,91752.94598388672,119240.20840454102,56658.363861083984
[TG(50:8)|TG(49:1)]_FA14:0,-0.35005007313283354,5.346174377867127,0.6014325228044299,0.4380319751467833,0.9999514498362397,TAG,78143.7455444336,89635.6060180664,71820.82501220703,71976.94464111328,155003.91088867188,39048.70275878906
[TG(50:8)|TG(49:1)]_FA16:1,-0.04104385703118742,8.099824314609466,0.008406467910390347,0.9269468912831705,0.9999514498362397,TAG,771821.4521484375,598676.78076171875,375779.8078613281,340635.84716796875,1313617.908203125,130824.41003417967
[TG(50:8)|TG(49:1)]_FA18:0,-0.5661446118274097,6.692231561269165,1.5522069850012485,0.21280992565830223,0.9999514498362397,TAG,200960.134765625,203038.67254638672,116873.06817626952,105087.3472290039,642931.1976318359,62726.964111328125
[TG(50:8)|TG(49:1)]_FA18:1,0.4985422874919075,8.44005329323716,1.2655857136123814,0.26059643339751537,0.9999514498362397,TAG,1371298.6345214844,811400.5920410156,438124.330078125,382015.5886230469,1419158.699951172,94239.846923828125
[TG(50:8)|TG(49:1)]_FA18:2,-0.12568706662646623,5.549625931748126,0.07849795436140994,0.7793433503886881,0.9999514498362397,TAG,109161.06762695312,105874.28747558594,82302.46588134766,71597.56530761719,176825.15130615234,40756.982666015625
[TG(50:8)|TG(49:1)]_FA18:3,0.12440621015285207,5.112614975703651,0.07779799620868744,0.7803039774293533,0.9999514498362397,TAG,98868.76727294922,74717.3257446289,69249.60488891602,70293.84533691406,81549.50573730469,31872.16226196289
[TG(50:8)|TG(49:1)]_FA20:4,-0.023278988089973973,4.633594427363603,0.0027061414152740326,0.9585122900008765,0.9999514498362397,TAG,56307.02346801758,57970.20352172852,54831.80364990234,54384.34403991699,49361.94348144531,28737.26205444336
[TG(50:8)|TG(49:1)]_FA22:6,-0.1178990664618703,6.548497678897091,0.06910072703612968,0.7926506477179002,0.9999514498362397,TAG,148864.62982177734,214794.05419921875,211059.7940673828,165672.13232421875,157216.8505859375,189373.33435058597
[TG(50:9)|TG(49:2)]_FA14:0,-0.3422800415717359,4.731955175254734,0.5752608555594634,0.4481759329106253,0.9999514498362397,TAG,47615.063537597656,58955.92419433594,46966.14349365234,42797.18328857422,98882.5464477539,31564.60223388672
[TG(50:9)|TG(49:2)]_FA16:1,-0.6286030783620409,7.770577322462431,1.9056368977180682,0.16744872561364563,0.9999514498362397,TAG,342896.02600097656,486098.6101074219,204512.9534912109,201603.3140869141,1435336.5200195312,146894.5498046875
