Lipid,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo
1-O-carboceroyl-Cer(d18:1/18:0),24564.40146255493,21907.801445007324,21279.241298675537,21167.64161300659,23518.86159515381,24620.981536865234,18542.74126815796,20872.98154449463,19351.66135406494
1-O-cerotoyl-Cer(d18:1/16:0),77182.18599319458,67614.68476867676,112079.00816345216,75406.60494613647,71531.56502151489,94600.40604019164,48290.72343444824,129686.40884780884,90206.18699645996
1-O-cerotoyl-Cer(d18:1/18:0),261576.97959136963,228328.8583450317,223601.6531028748,227696.1364517212,242689.6378440857,319763.26332473755,188144.5944366455,290259.72340393066,254315.69579315183
1-O-eicosanoyl-Cer(d18:1/16:0),36027.762283325195,42948.363021850586,42736.36308288574,30331.58203125,38312.82266235352,32873.5220451355,24691.961532592773,32300.02227020264,30083.80215072632
1-O-lignoceroyl-Cer(d18:1/16:0),84782.36605834961,66330.18539047241,144407.71041107178,81413.10648345947,61918.36474227905,70929.20533752441,51119.96410369873,132110.53005218506,46688.28359603882
1-O-myristoyl-Cer(d18:1/16:0),54183.54351043701,53711.363929748535,49155.66358947754,50361.16374969482,52282.40361404419,51031.74311065674,29999.60227203369,47704.26295471192,41838.42319107056
1-O-palmitoyl-Cer(d18:1/16:0),42159.56315231323,46103.00323486328,43331.863063812256,40639.18308258057,37671.40256881714,41503.562911987305,30627.382152557373,38626.942794799805,38395.3628578186
1-O-stearoyl-Cer(d18:1/16:0),41978.90271377564,47592.20374298096,53856.84366226196,37718.002490997314,39907.92282104492,41409.22291183472,24739.3617515564,39577.36284255981,37099.262493133545
1-O-tricosanoyl-Cer(d18:1/16:0),47917.14291381836,44551.78361511231,79700.04627227783,46306.86296844482,46462.44305038452,36770.78251647949,26529.861740112305,74690.7049446106,34747.30205154419
1-O-tricosanoyl-Cer(d18:1/18:0),11874.98077774048,11112.440662384031,11614.500896453856,10037.64073562622,12337.640785217283,10196.060813903809,9660.040676116943,10959.840721130371,10466.840755462646
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",4612804.606933594,5059683.297363281,5089087.544433594,4672021.863769531,5415979.774414063,3846312.868652344,4968330.218261719,4577722.708984375,4138307.3325195312
12:0 Cholesteryl ester,206443.9545135498,187842.8329925537,54702.86418151856,53449.14390563965,200241.51499938965,196464.39416503903,191143.31437683103,48828.74309921265,50371.44329452515
12:0 Cholesteryl ester_2,198899.3538360596,189600.5742797852,50913.96357727051,49618.86361312866,185237.65446472168,194796.03422546387,182998.59495544437,46823.28361511231,44904.20314788818
14:0 Cholesteryl ester,107908.76762390137,103784.52690124512,43653.82319641113,49058.56335067749,105610.56730651855,107985.74781799316,168315.25177001953,36109.662437438965,35977.82231903076
14:1 Cholesteryl ester,101516.40711975098,103069.94741821288,42685.24269104004,45816.14336395264,109536.30744934082,108556.44799804688,160008.3309020996,36776.74267196655,35528.5424118042
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,289878.5213623047,287886.201171875,121756.2882385254,94190.34649658205,306373.8005371094,299731.0216064453,295858.30310058594,112840.5672302246,105376.86743164062
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,292477.3010253906,290238.6412353516,120988.00839233398,93845.26657104492,303455.8826904297,299659.14196777344,302988.9415283203,112044.8677368164,106071.48748779295
15:0 Cholesteryl ester,259193.8380126953,259023.73706054688,110598.20782470705,99013.02743530272,266860.19885253906,267613.71813964844,272503.8608398437,114434.50775146484,111157.34732055664
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,296957.74169921875,290135.00103759766,120349.36853027344,108678.26788330078,297769.2003173828,290351.58154296875,308943.9620361328,124084.7282409668,119824.3484802246
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,299675.64099121094,298718.8214111328,121086.38803100586,111295.56848144533,301401.74060058594,287615.060546875,309998.6005859375,119055.92895507812,120952.50833129884
15:1 Cholesteryl ester,268055.0593261719,267581.09765625,112505.0086364746,97831.46688842772,284971.76025390625,274811.8981933594,285592.7198486328,114059.18821716309,115133.86862182616
16:0 Campesteryl ester | 17:0 Cholesteryl ester,482661.26905822754,230368.095413208,157669.31104660034,44475.38328170776,351679.80712890625,393651.0072021485,180673.55206298828,528545.7402648926,78532.20629882812
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,457017.1744232178,232697.2156829834,162404.1529197693,42214.92322540283,337068.3601837158,390498.6081542969,178450.37184143066,527734.0662574768,75855.20571899414
16:2 Campesteryl ester,468778.7299804688,229844.91590881348,165206.61423492432,43435.38317108154,337974.6212387085,383311.68368530273,173929.8528137207,523835.7752380371,71962.5654296875
"16:2 Cholesteryl ester, zymosteryl palmitoleate",286850.72009277344,293157.0216064453,113731.94830322266,101456.2074584961,297905.1613769531,287947.70153808594,311092.6616210937,121413.6282043457,118804.1879272461
16:3 Campesteryl ester,456562.5186233521,217033.97341918945,160582.991481781,41053.32256317139,331275.62284851074,373961.9270172119,172677.89218139648,515711.15589141846,74763.10524368286
16:3 Cholesteryl ester,273550.51916503906,280845.88049316406,118023.78784179688,104182.76788330078,294535.90087890625,284794.66064453125,298385.6613769531,113194.88842773438,113224.94805908205
16:3 Stigmasteryl ester,542890.2322692871,303466.01583862305,177535.57064819336,70479.92538833618,411188.2872314453,460511.3327941895,242870.8171234131,562328.8849334717,103573.42597198486
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",609582.4785461426,339927.88663482666,196164.55129241943,63067.42455291748,499268.83602905273,530913.7354736328,301160.1184692383,602502.1294021606,107037.6085472107
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",612892.9210205078,352186.2632141113,199214.2363128662,66339.54444122314,479157.2927246094,521070.05615234375,297985.96279907227,599676.2238388062,98678.10720062256
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",604201.1010437012,344977.4267883301,195620.6760406494,66619.54499816895,485151.7746276856,520088.8929138184,296793.23989868164,562371.0579147339,102937.98823547363
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",601233.5832366943,331640.3845214844,200966.05520629883,63674.6642036438,482734.01651000977,514852.2113342285,295495.2796020508,571522.3371124268,98115.54702758788
17:1 Cholesteryl ester; 16:1 Campesteryl ester,471428.01194763184,218880.09548187256,165967.61249160767,46261.54291534424,346586.8232803345,398959.0480499268,182229.13215637207,539455.1224517822,80697.56628417969
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,460792.76985168457,206078.07276916504,160566.41161346436,45343.34331130981,330769.7475128174,378362.88427734375,172700.15437316897,506378.6541099548,74885.58505630493
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",278488.0610809326,250274.46084594727,88312.66635894775,66861.42481994629,265665.31997680664,250481.35647583008,273335.97845458984,62059.30449676514,64375.98403930664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",273423.89978027344,259398.0389404297,92443.26620483398,70337.48574829102,278562.02059936523,251506.4744873047,265981.2977294922,66287.6245727539,65895.02463531494
18:1 Campesteryl ester,263904.27825927734,252689.3544921875,82409.8259010315,56984.78404998779,266465.2412109375,245670.0968322754,280101.3180847168,56779.70411682129,60489.72505187988
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",604406.4444274902,375458.106048584,202646.0722885132,67644.66412353516,498600.83795166016,542809.4772644043,318725.1033630371,552400.2912902832,94015.80750274658
18:3 Campesteryl ester,233462.63381958008,232237.91787719727,76780.36492156982,65536.76523590088,237615.17587280276,228000.55624389648,240460.916885376,57197.34386444092,61311.203605651855
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",619175.6261291504,365628.6613922119,202318.07664489743,71515.98536682129,507301.7349853516,540377.458404541,337561.1262207031,573815.3596115112,101688.64781570436
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",447091.572631836,447873.4123535156,205471.35342407227,140569.51007080078,437464.8122558594,402255.1103515625,402006.4881591797,144071.72985839844,158509.9910888672
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",443882.2932128906,452466.95568847656,199821.99346923828,138753.42993164062,431716.41259765625,397131.4901123047,402571.6882324219,148464.85083007812,160089.11193847656
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",1195290.807861328,1194065.662109375,1239282.0832519531,1133090.1042480469,1083593.9168701172,1316100.0698242188,1280694.2133789062,1321934.1652832031,1328133.6027832031
20:0 Campesteryl ester,1051954.5400390625,802405.3129882812,404391.10778808594,333963.88360595703,726330.0109863281,579660.4241943359,684587.4663085938,186229.012878418,183809.9330444336
20:1 Campesteryl ester,1035268.6345214844,770815.9124755859,390393.90771484375,324425.34533691406,711627.2513427734,574620.6032714844,681386.8842773438,190459.41339111328,188184.5531616211
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",445063.4099121094,438793.0089111328,196959.51458740237,143887.10974121094,441135.7902832031,413777.4302978516,411261.06884765625,157066.20965576172,160391.5714111328
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",442481.4721679688,434864.9537353516,198226.1947631836,142786.26989746094,427770.54821777344,412817.9084472656,404912.9471435547,156799.3109741211,164944.91046142578
20:3 Campesteryl ester,690644.8483886719,670642.0698242188,303552.1791381836,338287.26470947266,651394.2424316406,620419.2241210938,818735.2111816406,256280.87823486328,276048.0584716797
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",373994.6680908203,377226.9892578125,181923.79260253903,143761.37060546875,364076.984375,342376.0046386719,346876.38415527344,141291.849609375,159077.29052734375
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",426969.5148162842,402345.11001586914,157411.192817688,135987.24981689453,386609.8872833252,384790.6307067871,438562.8924407959,131670.3087234497,149449.1901550293
20:5 Cholesteryl ester,774021.0893554688,796451.9927368164,261745.4785232544,228661.520111084,736159.460723877,768196.9700622559,914103.2744140624,243411.83782958984,267082.9399795532
22:0 Campesteryl ester,466218.7146835327,350722.9248352051,96338.56734848022,93248.5464744568,340675.8217391968,367210.848815918,477027.76877594,80513.78633880615,67158.64447784424
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",760646.4669799805,476102.9566268921,238534.7177581787,214955.03761291504,418908.9720458984,288414.3606262207,395202.1464691162,60594.46385574341,54126.38396835327
22:0 Sitosteryl ester,485815.2135925293,355294.92652893066,88051.98610305786,102267.82748413086,362017.368598938,396812.5258102417,498058.5573425293,96923.02661895752,69150.82513046265
22:1 Campesteryl ester,468357.8101348877,350133.2861633301,110473.78787994383,98551.34607315063,338504.9609069824,364372.6840209961,430084.86849212646,86435.68635940552,65307.76513290405
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",759511.5723876953,460364.1280517578,238796.4598121643,205046.51355743408,429962.6456832886,281520.3006362915,380934.2229003906,58387.70426940918,56851.84379959106
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",498246.4359283447,359096.9853553772,98792.72665023804,99168.76778030396,360373.44744873047,413555.0725479126,509330.1950759888,100277.56690216064,72650.8650932312
22:2 Campesteryl ester,560526.3181762695,350653.6643676758,191685.9516410828,109390.46683120728,310858.8617248535,204018.31434631348,165681.3123474121,55576.944202423096,53085.56405258179
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",469579.57151794434,358588.62020111084,94247.98609542848,99335.6669845581,343573.86669921875,397247.6654701233,506831.23790740967,93415.8077392578,73798.28538894653
22:3 Campesteryl ester,665137.4459533691,401060.3264312744,213215.67528152463,110209.54704284668,345234.3631744385,229129.03816223145,175946.43223571777,34748.142459869385,32327.26247024536
22:3 Stigmasteryl ester,469026.6374282837,339874.4802551269,81643.70561981201,92794.06651306152,327388.4639663696,372575.8259277344,492436.8146018982,90041.28677749634,63313.0247001648
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",1093322.7568359375,861990.7429199219,423409.3279418945,346047.02673339844,761836.2901611328,625923.0830078125,729867.6760253906,213621.0160522461,221255.75579833984
22:5 Cholesteryl ester,1072980.8911132812,829280.7783203125,412156.6676635742,328844.22247314453,732844.8115234375,586350.7768554688,696990.0095214844,195039.9539489746,201413.274597168
22:6 Cholesteryl ester,1064576.5604248047,808378.1989746094,398871.7492675781,318702.20233154297,724647.8146972656,589545.1394042969,698972.4873046875,192804.07348632807,194199.51263427731
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",503115.4162559509,356643.3669662476,87385.58686447144,101842.16680145264,361285.80671310425,415519.5479660034,520013.3414154053,94177.24686813354,72342.84449386597
3-hydroxyarachidonoylcarnitine,1804854.5581054688,1691555.87109375,1853001.6511230469,1728707.09375,1654123.5068359375,1856437.095703125,1835111.345703125,1974828.7731933596,1928741.116455078
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",1483060.986328125,1352919.6352539062,1493629.2587890625,1350391.4493408203,1341716.8400878906,1510425.403930664,1495649.9022216797,1594701.9755859375,1617362.8673095703
"3-hydroxylinoleoylcarnitine,",16541263.293945312,19619409.79248047,19984253.64794922,20210526.215820312,22603931.45800781,12251396.957519531,18552533.94921875,15933776.28515625,14766753.270751951
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",7377617.71875,8635526.384277344,8777433.122558594,8896624.508789062,9503114.80419922,5984358.296875,8369825.224609375,7382732.733886719,7176826.198730469
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",1729499.3325195312,1661999.3544921875,1749794.1958007812,1715870.7236328125,1629539.580078125,1757365.703125,1789178.2016601562,1834129.7998046875,1957207.7475585935
C12:0,102755.98667907716,93574.48696136476,244185.5394592285,502122.9731445313,104670.28729248048,107748.88719940186,55248.80407714844,226448.41662597656,733573.8945007324
C12:1,69150.74453735352,65784.02473449707,113583.0078125,270074.0389404297,59427.54405212402,47843.18366241455,55930.48390197754,110690.90811157228,275200.278503418
C14:0,1091242.5759277344,1048398.7133789062,2319769.7622070312,4795566.249511719,1375814.2526855469,1198648.1489257812,803785.7360839844,2237367.991210937,5189257.805664063
C14:1,661317.3471069336,726307.5505981445,855747.0192871094,1478801.8356933594,692347.3874511719,510473.6550292969,717643.2119445801,789669.7750244141,1296562.494140625
C15:0,113912.88793945312,117210.58850097656,251196.03927612305,931129.7698974608,110853.68840026855,104234.56735229492,135165.6690979004,220572.2958984375,959959.9842529296
C15:1,185168.93379211423,236472.4353027344,438494.6328735352,1635409.1970214844,218629.41493225095,230389.17543029785,456531.76628112793,381341.5670166016,1353371.945678711
C16:0,619029.5606384277,687835.7874755859,1406338.4676513672,21696978.556396484,624800.8621520996,669805.5308074951,654285.5855407715,1482021.9129638672,23766001.09558105
C16:1,92179.58646392822,105333.04737091064,243560.97749328613,1463452.8924560547,98774.1865310669,93685.54733657835,100888.66667938232,283593.5999450684,1795473.702209473
C17:0,119093.28855895996,114860.32844543456,523007.9359741211,2593282.5930786133,109237.24765014648,113008.6683807373,117685.1485824585,468309.12911987305,2977794.2908935547
C17:1,72961.54518127441,76476.34498596191,163386.79238891602,602982.5654296875,74727.02532958984,58749.38416290283,66817.54458618164,196774.0928955078,634539.8258666992
C18:0,398423.98794555664,453710.31283569336,1195170.1613769531,26822640.43395996,431486.0724945069,481663.0949401856,559183.4834899902,1314897.104598999,29269708.84863281
C18:1,88351.62602233887,93067.82656860352,184608.3336181641,910963.5828857422,86475.9259185791,70049.16540527344,95522.1665649414,215003.7946777344,955797.8286132812
C18:2,80750.52571105957,80072.3256072998,197827.17599487305,1277089.952209473,82122.78601074219,61532.98417663574,74726.00527954102,478550.4316101074,888503.4256591797
C18:3,66972.42492675781,68185.1443939209,135642.82958984375,536904.0774536133,64679.68458557129,49622.28349304199,73251.34510803223,146945.17184448242,630508.348815918
C18:4,43943.263092041016,46511.78314208984,80847.46586608887,251535.9575805664,45939.48325347901,34610.88236236572,47726.00343322754,113393.60835266112,277794.69985961914
C19:0,102223.66697692873,123433.24899291992,317191.9226989746,3241307.137573242,107522.60765075684,106849.60803985596,172727.29260253906,337887.06213378906,3021680.8803710938
C20:0,7622.380481719971,7634.660541534424,577442.6827392578,5042129.390625,7639.600532531738,7632.480560302734,7626.580486297607,640342.6439208984,4826514.1572265625
C20:1,8123.340503692627,7784.100551605225,143522.9499053955,726845.827331543,7923.400539398193,8118.140605926514,7626.020473480225,174642.3316040039,972171.8549194336
C20:3,100316.60711288452,65319.744525909424,381163.126953125,2196692.3862304688,119819.5083770752,109856.02811431883,16166.121063232422,399148.2878417969,1307326.7814941406
C20:4,49491.54354095459,50602.823654174805,107660.04711914062,532156.9182739258,52689.32372283936,41338.74296569824,43147.72286987305,112263.48756408691,498975.2778930664
C20:5,104081.4468536377,119114.4077758789,188144.53439331052,1995148.889770508,108170.8678779602,103828.7677230835,132663.90879821777,253791.73818969727,2460101.061950684
C22:0,26651.96194076538,29380.08205795288,122871.94790649414,2416250.2287597656,28006.301902771,25348.621574401852,29273.24211120605,121045.1097869873,2131818.3259277344
C22:1,15641.161060333252,16140.621116638184,62404.16464996338,521649.2957458496,16095.081134796144,14486.260974884031,15778.401134490969,59617.72424316406,628133.1289978027
C22:4,14814.021087646484,14614.961017608644,59904.44418334961,317976.7225036621,14879.781059265137,12284.40089416504,14392.44095993042,55334.204010009766,354900.0247192383
C22:5,22982.461685180664,25691.161811828613,116665.22760009766,1596640.9282836914,23308.921676635742,21756.861572265625,27038.901977539062,114934.64831542967,1890893.5544433596
C22:6,19093.52132797241,23184.56167602539,112179.4280090332,852127.6811523438,18584.421321868896,15957.061100006104,24631.84167098999,123264.62911987305,907260.8684082032
C24:0,12422.880878448486,11962.540851593018,35576.462577819824,7630.560523986816,12544.980842590332,11782.680866241457,13331.72099685669,31774.98223876953,7632.960498809814
C24:1,12050.7808303833,10972.920818328856,44909.34334564209,7631.160537719727,11679.200820922852,11487.940799713137,10398.340724945068,39565.38287353516,7632.48051071167
C24:5,15964.541080474854,15109.661087036133,57000.02405548096,279655.6807937622,16385.72120285034,14604.30101776123,14021.64101409912,53978.32370758057,211407.67669677731
C24:6,14724.921058654783,13442.360980987549,59095.50420379639,10546.140739440918,14555.08102798462,13046.480945587158,12623.040897369385,47890.76341247559,9405.680633544922
C26:0,11362.400802612305,11605.460834503174,141754.75018310547,285523.23933410645,11075.580814361572,10411.86071395874,11757.96086883545,144820.0300140381,307391.3058013916
C26:1,12157.14087677002,13665.620986938477,316193.8034362793,231233.61688232425,13172.680931091309,11357.600788116457,12903.48093032837,318498.86267089844,256768.89825439453
C28:0,12676.12088394165,11160.080825805664,126774.08838272096,620624.3272666931,10609.120811462402,11391.780799865724,12365.840843200684,102752.06749725342,703603.0884170532
C30:0,10177.460697174072,9409.78065109253,41076.242710113525,529046.6750564575,9848.900714874268,9254.100723266602,8750.94058227539,30131.32222366333,539501.0548057556
C32:0,8342.200553894043,8305.340579986572,18470.46129226685,221910.69500732425,8301.440570831299,8228.860591888428,8155.720554351807,17630.981330871582,310046.70194625854
C34:0,10987.320747375488,10485.220756530762,37137.482566833496,288275.72148895264,11449.860816955566,11252.540817260742,11072.12080001831,35780.822410583496,372679.3901824951
Cer(d14:1(4E)/20:0(2OH)),65684.10403442383,56412.82353210449,50969.50338745117,54219.64370346069,52563.58427429199,54096.90383148193,30687.54201889038,45990.763427734375,41965.62269210816
Cer(d14:1(4E)/20:1(11Z)(2OH)),75295.0057220459,83777.5252609253,53569.9035949707,57841.424072265625,67584.02461242676,58871.3048210144,41557.48303604126,48262.5835647583,48459.3034362793
Cer(d14:1(4E)/22:0(2OH)),911247.462272644,727587.9548797607,769543.5727767944,733670.8095359802,841781.1739196777,980350.4079589844,311127.22427749634,929240.5542297364,741314.4466209412
Cer(d14:1(4E)/22:1(13Z)(2OH)),888279.2268104553,705025.3226394653,757077.0777130127,704754.9338684082,821051.284324646,931842.088973999,309750.6650161743,908468.3333282472,711508.3666687012
Cer(d14:1(4E)/24:0(2OH)),123345.10816192628,111052.08710479736,113664.52755737305,110666.2273902893,99882.0276298523,129189.51008224487,47814.50333404541,130980.68824005128,121622.80861282349
Cer(d14:1(4E)/26:0(2OH)),553499.0198974609,593033.5422821045,560405.2588539124,581617.4612426758,547569.7347183228,415984.18517303467,246990.64037704468,554947.5443344116,513948.6778259277
"Cer(d14:2(4E,6E)/16:0)",43207.30297088623,39822.06280136109,43469.96287918091,37170.0026550293,46818.70296859741,49588.86336517334,19355.161197662357,42051.32285308838,43253.82303619385
"Cer(d14:2(4E,6E)/18:0(2OH))",50858.54306793213,50843.64400482178,53326.20362854004,44659.78339385986,61421.4045791626,63062.46446990967,22531.921615600582,43069.46284484863,51253.46418762207
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",50410.30330657959,43815.66324615479,48934.04312133789,45444.203437805176,59787.84385681152,63734.984855651855,22580.00164413452,44312.84300613403,48335.86357879639
"Cer(d14:2(4E,6E)/18:1(9Z))",47856.023151397705,45633.46314239502,50257.743576049805,35887.10263442993,44414.04288482666,53788.624282836914,19350.141220092773,42339.84297943115,44629.943309783936
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",74884.54563903809,59851.26445770264,61635.56430435181,59431.08422088623,68775.8858718872,68581.12490844727,32032.442337036133,48632.72338485718,54231.623905181885
"Cer(d14:2(4E,6E)/20:1(11Z))",46237.92321777344,42028.843044281006,46365.96300125122,36962.0428314209,44958.72314071655,44870.18347167969,22368.04182434082,40291.74254608154,44147.56328582764
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",711966.7505493164,610751.699596405,620138.5299377441,580191.3209991455,599326.9708862305,785916.2691726685,271180.82040405273,716659.3988227844,614121.8733100891
"Cer(d14:2(4E,6E)/24:0(2OH))",130536.80955505373,108461.3470954895,130636.9496498108,112089.08768463136,114518.38901519775,139430.28848266602,48110.82347488403,126209.33029174805,122196.06798934937
"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",614847.6120605469,514617.9124145508,503404.5989379883,494670.7143554688,500497.1371459961,649062.8455200195,221915.89768218997,575626.6390686035,494961.1950073242
"Cer(d16:2(4E,6E)/24:0(2OH))",142184.78930664062,141723.1703491211,142645.58950805664,133046.96920776367,136234.21002197266,147543.93057250977,69526.34452819824,150299.69073486328,138617.0086364746
Cer(d18:0/14:0),69678.10508728027,68727.40532684326,72194.92471313477,66011.90441894531,66728.50514221191,67233.50524902344,39620.402561187744,69628.84553527832,61488.22444152832
Cer(d18:0/16:0(2OH)),153011.21069335938,127287.80834960938,152874.5906982422,161880.13189697266,140850.28994750977,154639.19134521484,77185.88529205322,156381.91052246094,133727.10833740234
Cer(d18:0/16:0),113375.0082397461,110499.50741577148,114675.30766296388,107880.2878112793,104234.02743530272,112339.7671508789,67518.32512664795,117145.42950439452,101856.56713867188
Cer(d18:0/18:0(2OH)),121464.8078918457,104212.64819335938,161638.29013061523,118237.508102417,106416.74772644044,122158.66917419434,58387.26418685913,164841.94914245603,102301.2879638672
Cer(d18:0/18:0),157739.89166259766,132191.7696533203,181541.2541656494,136283.30877685547,130865.6294555664,146127.97019958496,72138.24514770508,174297.39086914062,125387.909866333
Cer(d18:0/20:0(2OH)),202125.3351135254,162531.37170410156,218093.05740356445,190188.01220703125,167348.95217895508,179597.57501220703,107189.30765914916,210269.03582763672,159746.17098999023
Cer(d18:0/20:0),132555.86972045898,108238.1477355957,140808.33010864258,118345.74819946288,110510.92861938477,119162.88958740234,62770.82458877564,140454.12896728516,112137.06759643556
Cer(d18:0/22:0(2OH)),2399728.389160156,2281492.40814209,2147129.334777832,2171286.031738281,2465010.203918457,2480252.733398437,1345326.1305046082,2233805.578918457,2084786.02545166
Cer(d18:0/22:0),181953.27249145508,149522.72943115234,202511.11181640625,178534.01141357422,153869.08935546875,160901.95111083984,97249.60677719116,197313.95330810547,146979.09133911133
Cer(d18:0/24:0),2515717.0775146484,2448334.5513916016,2276263.2356567383,2299914.916625977,2532297.484802246,2649351.746826172,1464951.2535476685,2392778.707824707,2155782.4967041016
Cer(d18:0/26:0),1020465.2311401368,1062271.7876586914,1127448.4967041016,1189078.7384643557,1086043.3112792969,725517.329284668,612660.3406829834,980651.1170654296,899961.4192504883
