Lipid,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype__WT___Brain_Region__cerebellum,Genotype__WT___Brain_Region__cerebellum,Genotype__WT___Brain_Region__cerebellum
CE(20:1) | 18:0 Stigmasteryl ester | 18:1 Sitosteryl ester,347684.2236328125,502197.9731445313,419090.47009277344,148990.13116455078,136796.1903076172,399111.8679199219,371012.6671142578,143911.17016601562
CE(20:2) | 18:1 Stigmasteryl ester | 18:2 Sitosteryl ester,339358.6844482422,501408.71350097656,406331.3693847656,155499.97149658203,139269.41015625,397876.2894287109,374258.9852294922,143833.49053955078
CE(20:3) | 18:2 Stigmasteryl ester | 18:3 Sitosteryl ester,283521.4597167969,442812.4324951172,341104.5848388672,144004.32977294922,136512.4094543457,331318.5635986328,305953.5029296875,136850.70935058594
CE(20:4) | 18:3 Stigmasteryl ester,257892.53875732425,472898.1745147705,339870.63845825195,132994.22860717773,130860.34854125977,353973.44651794434,347179.2874908447,132554.4094543457
CE(20:5),553765.8633422852,813621.7353820801,678465.0278625488,236174.3785057068,275581.3198928833,744792.4973754883,726792.6704101562,239452.2180480957
CE(22:0) | 20:0 Sitosteryl ester,395209.9066314697,293992.34017944336,204615.7733001709,41977.76301956177,56235.90398788452,273860.9999847412,198562.29412078857,90103.56624221802
CE(22:1) | 20:0 Stigmasteryl ester | 20:1 Sitosteryl ester,401505.6079406738,279027.41773986816,202002.13383483887,46140.94332122803,56842.763942718506,276648.3995361328,193528.11378479004,89969.3465385437
CE(22:4) | 20:3 Stigmasteryl ester,717614.01171875,602161.724609375,566763.3215332031,203169.11529541016,193636.29321289065,635157.966796875,495490.35778808594,231045.13665771484
CE(22:5),681358.9282226562,574075.4008789062,548872.98046875,182482.6729736328,182210.3336181641,602304.2216796875,474177.8748779297,214552.43481445312
CE(22:6),689877.5708007812,583864.720703125,548383.4206542969,173364.03149414062,170276.5321044922,590267.5639648438,471349.9522705078,207493.234375
CE(24:1) | 22:0 Stigmasteryl ester | 22:1 Sitosteryl ester,331529.74309921265,390391.3275756836,402741.9845695496,83488.34439468384,86167.32622909546,370315.3039894104,374672.5684509277,71333.26514053345
Cer(d14:1(4E)/20:0(2OH)),66650.74519348145,54439.20386505127,56731.90399932861,48422.66332626343,50116.94361495972,57777.78420257568,60768.66422653198,50150.32370376587
Cer(d14:1(4E)/20:1(11Z)(2OH)),75061.22528839111,62368.964111328125,76992.8856124878,51291.08360290527,55728.08428955078,76996.04591369629,74460.72595977783,52325.02319717407
Cer(d14:1(4E)/22:0(2OH)),792039.7418060303,924250.8180084229,762881.6403007507,894977.015045166,811234.5140151978,904654.271533966,862039.7985877991,899897.511341095
