Lipid,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo
1-O-stearoyl-Cer(d18:1/16:0),40163.10260391235,200401.791885376,58489.64445877075,65201.24501800537,57285.90365982056,39907.92282104492,41409.22291183472,24739.3617515564,39577.36284255981,37099.262493133545
1-O-tricosanoyl-Cer(d18:1/16:0),31280.9020614624,36101.58243179321,44575.183376312256,82565.64527130127,42070.66318130493,46462.44305038452,36770.78251647949,26529.861740112305,74690.7049446106,34747.30205154419
1-O-tricosanoyl-Cer(d18:1/18:0),10099.880729675291,10180.240703582764,11458.880809783936,12517.040855407717,10831.58073425293,12337.640785217283,10196.060813903809,9660.040676116943,10959.840721130371,10466.840755462646
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",3269997.2236328125,4893907.564453125,4660732.620117188,4206026.020996094,3740109.557617188,5415979.774414063,3846312.868652344,4968330.218261719,4577722.708984375,4138307.3325195312
12:0 Cholesteryl ester,162075.57186889648,185949.39279174805,190370.63200378415,52144.48365020752,51295.14357757568,200241.51499938965,196464.39416503903,191143.31437683103,48828.74309921265,50371.44329452515
12:0 Cholesteryl ester_2,167308.3116760254,191733.1952819824,180831.0321426392,49434.48342514038,48283.80372619629,185237.65446472168,194796.03422546387,182998.59495544437,46823.28361511231,44904.20314788818
14:0 Cholesteryl ester,202606.45343017575,94036.7070159912,116114.08819580078,39418.46291732788,37524.18278503418,105610.56730651855,107985.74781799316,168315.25177001953,36109.662437438965,35977.82231903076
14:1 Cholesteryl ester,199691.31356811523,93316.4656982422,120425.56855773926,37575.38257598877,34715.18257904053,109536.30744934082,108556.44799804688,160008.3309020996,36776.74267196655,35528.5424118042
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,247360.9578857422,266253.2185058594,280976.87927246094,103361.62686157228,103570.74768066406,306373.8005371094,299731.0216064453,295858.30310058594,112840.5672302246,105376.86743164062
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,252850.63806152344,269787.4794921875,275199.18005371094,109722.42831420898,102070.20748901369,303455.8826904297,299659.14196777344,302988.9415283203,112044.8677368164,106071.48748779295
15:0 Cholesteryl ester,229352.2568359375,249117.5584716797,268693.6774902344,105126.76776123048,107702.80712890624,266860.19885253906,267613.71813964844,272503.8608398437,114434.50775146484,111157.34732055664
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,260590.21728515625,268047.0192871094,298079.80126953125,111455.6879272461,115781.30844116212,297769.2003173828,290351.58154296875,308943.9620361328,124084.7282409668,119824.3484802246
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,261740.3193359375,276397.84020996094,290697.8009033203,112282.48760986328,111079.46835327148,301401.74060058594,287615.060546875,309998.6005859375,119055.92895507812,120952.50833129884
15:1 Cholesteryl ester,259498.01831054688,255651.8582763672,270325.19915771484,111679.74743652344,103642.36712646484,284971.76025390625,274811.8981933594,285592.7198486328,114059.18821716309,115133.86862182616
16:0 Campesteryl ester | 17:0 Cholesteryl ester,104547.70739746094,125639.16746520996,145071.9510192871,181893.13065719604,67114.82503509521,351679.80712890625,393651.0072021485,180673.55206298828,528545.7402648926,78532.20629882812
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,108868.50756835938,129753.7692565918,137290.98944091797,186053.9358062744,68740.46430206299,337068.3601837158,390498.6081542969,178450.37184143066,527734.0662574768,75855.20571899414
16:2 Campesteryl ester,98350.60737609863,120443.98805236816,131431.08966064453,185782.1937828064,66551.36469268799,337974.6212387085,383311.68368530273,173929.8528137207,523835.7752380371,71962.5654296875
"16:2 Cholesteryl ester, zymosteryl palmitoleate",258572.75805664065,269297.05908203125,292214.919921875,110203.26791381836,106837.36743164062,297905.1613769531,287947.70153808594,311092.6616210937,121413.6282043457,118804.1879272461
16:3 Campesteryl ester,100437.2666015625,118072.24786376952,136457.43032836914,189290.5514297485,64989.22410583496,331275.62284851074,373961.9270172119,172677.89218139648,515711.15589141846,74763.10524368286
16:3 Cholesteryl ester,242702.83837890625,258914.67810058597,280185.4190673828,113500.16781616212,111255.42819213869,294535.90087890625,284794.66064453125,298385.6613769531,113194.88842773438,113224.94805908205
16:3 Stigmasteryl ester,140503.76998901367,230125.45840454104,206513.696723938,220924.29370880127,100984.72776794434,411188.2872314453,460511.3327941895,242870.8171234131,562328.8849334717,103573.42597198486
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",173129.27224731445,277060.34257507324,237041.23654174805,223447.3737182617,89343.60666656494,499268.83602905273,530913.7354736328,301160.1184692383,602502.1294021606,107037.6085472107
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",176152.7712097168,267835.77947998047,236358.4162597656,224382.29598999023,88803.84687805176,479157.2927246094,521070.05615234375,297985.96279907227,599676.2238388062,98678.10720062256
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",175306.81085205078,278235.6174316406,244266.5776062012,213606.07862091064,89111.60607910156,485151.7746276856,520088.8929138184,296793.23989868164,562371.0579147339,102937.98823547363
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",169233.3512878418,278870.03869628906,241900.73580932617,216516.61446380612,87569.78634643555,482734.01651000977,514852.2113342285,295495.2796020508,571522.3371124268,98115.54702758788
17:1 Cholesteryl ester; 16:1 Campesteryl ester,100099.72714233398,127040.96856689452,131818.60929107666,184913.35300827023,69245.70543670654,346586.8232803345,398959.0480499268,182229.13215637207,539455.1224517822,80697.56628417969
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,104714.5871887207,123977.3080444336,138369.3503265381,170765.33235931396,67861.66511154175,330769.7475128174,378362.88427734375,172700.15437316897,506378.6541099548,74885.58505630493
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",175049.87139892578,348423.6258239746,213535.4341430664,67835.50381469727,64241.92467880249,265665.31997680664,250481.35647583008,273335.97845458984,62059.30449676514,64375.98403930664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",179889.05236816406,339962.84579467773,213364.9132080078,68219.18450927734,64514.02480316162,278562.02059936523,251506.4744873047,265981.2977294922,66287.6245727539,65895.02463531494
18:1 Campesteryl ester,175239.93341064453,268409.1796569824,215967.89556884769,61878.92424011231,62048.54407501221,266465.2412109375,245670.0968322754,280101.3180847168,56779.70411682129,60489.72505187988
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",185224.3324279785,288059.8182067871,258973.9764404297,218629.17308807373,95617.1079788208,498600.83795166016,542809.4772644043,318725.1033630371,552400.2912902832,94015.80750274658
18:3 Campesteryl ester,163275.2911682129,237849.9397888184,197581.23251342773,67581.88467407227,63734.52460479736,237615.17587280276,228000.55624389648,240460.916885376,57197.34386444092,61311.203605651855
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",200000.09326171875,302431.44108581543,274596.4970703125,227412.97649383545,99282.3278427124,507301.7349853516,540377.458404541,337561.1262207031,573815.3596115112,101688.64781570436
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",341507.6442871094,514951.9577636719,400920.3483886719,148631.35021972656,134828.8695678711,437464.8122558594,402255.1103515625,402006.4881591797,144071.72985839844,158509.9910888672
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",352155.083984375,523589.3599853516,399723.98828125,146718.33074951172,137638.7099609375,431716.41259765625,397131.4901123047,402571.6882324219,148464.85083007812,160089.11193847656
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",1040048.8419189452,1131210.0415039062,1147077.4656982422,1272941.5639648438,1376064.4704589844,1083593.9168701172,1316100.0698242188,1280694.2133789062,1321934.1652832031,1328133.6027832031
20:0 Campesteryl ester,679605.6884765625,570926.6004638672,540973.541015625,174167.41290283203,173933.0126953125,726330.0109863281,579660.4241943359,684587.4663085938,186229.012878418,183809.9330444336
20:1 Campesteryl ester,676347.5854492188,688799.9445800781,533536.2581787109,168958.17156982422,165176.45068359375,711627.2513427734,574620.6032714844,681386.8842773438,190459.41339111328,188184.5531616211
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",347684.2236328125,502197.9731445313,419090.47009277344,148990.13116455078,136796.1903076172,441135.7902832031,413777.4302978516,411261.06884765625,157066.20965576172,160391.5714111328
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",339358.6844482422,501408.71350097656,406331.3693847656,155499.97149658203,139269.41015625,427770.54821777344,412817.9084472656,404912.9471435547,156799.3109741211,164944.91046142578
20:3 Campesteryl ester,733625.4548339844,708332.6119384766,659154.8083496094,231894.11669921875,267571.7769165039,651394.2424316406,620419.2241210938,818735.2111816406,256280.87823486328,276048.0584716797
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",283521.4597167969,442812.4324951172,341104.5848388672,144004.32977294922,136512.4094543457,364076.984375,342376.0046386719,346876.38415527344,141291.849609375,159077.29052734375
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",257892.53875732425,472898.1745147705,339870.63845825195,132994.22860717773,130860.34854125977,386609.8872833252,384790.6307067871,438562.8924407959,131670.3087234497,149449.1901550293
20:5 Cholesteryl ester,553765.8633422852,813621.7353820801,678465.0278625488,236174.3785057068,275581.3198928833,736159.460723877,768196.9700622559,914103.2744140624,243411.83782958984,267082.9399795532
22:0 Campesteryl ester,290060.2583770752,331322.3430328369,370521.7639007568,77295.60439682007,69889.4048576355,340675.8217391968,367210.848815918,477027.76877594,80513.78633880615,67158.64447784424
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",395209.9066314697,293992.34017944336,204615.7733001709,41977.76301956177,56235.90398788452,418908.9720458984,288414.3606262207,395202.1464691162,60594.46385574341,54126.38396835327
22:0 Sitosteryl ester,331275.7441635132,425492.64304351807,416829.3513565064,85851.6470413208,90384.90623092651,362017.368598938,396812.5258102417,498058.5573425293,96923.02661895752,69150.82513046265
22:1 Campesteryl ester,267219.9195404053,310564.399307251,335634.9217758179,72405.42503356934,72200.30522537231,338504.9609069824,364372.6840209961,430084.86849212646,86435.68635940552,65307.76513290405
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",401505.6079406738,279027.41773986816,202002.13383483887,46140.94332122803,56842.763942718506,429962.6456832886,281520.3006362915,380934.2229003906,58387.70426940918,56851.84379959106
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",322672.14546203613,349491.7835159302,386046.8065223694,80745.9264755249,84339.68700027466,360373.44744873047,413555.0725479126,509330.1950759888,100277.56690216064,72650.8650932312
22:2 Campesteryl ester,100209.36726379396,197735.27307128903,113135.72926330566,48554.28336715698,58030.14366531372,310858.8617248535,204018.31434631348,165681.3123474121,55576.944202423096,53085.56405258179
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",306571.82232666016,354139.8619194031,398292.5674934387,78448.08561706543,82347.54563903809,343573.86669921875,397247.6654701233,506831.23790740967,93415.8077392578,73798.28538894653
22:3 Campesteryl ester,128654.78890991212,235293.97583007807,123301.788772583,32028.121990203857,29257.102043151852,345234.3631744385,229129.03816223145,175946.43223571777,34748.142459869385,32327.26247024536
22:3 Stigmasteryl ester,301818.8037338257,337057.02380371094,380411.2284011841,75978.84562683105,74485.04415512085,327388.4639663696,372575.8259277344,492436.8146018982,90041.28677749634,63313.0247001648
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",717614.01171875,602161.724609375,566763.3215332031,203169.11529541016,193636.29321289065,761836.2901611328,625923.0830078125,729867.6760253906,213621.0160522461,221255.75579833984
22:5 Cholesteryl ester,681358.9282226562,574075.4008789062,548872.98046875,182482.6729736328,182210.3336181641,732844.8115234375,586350.7768554688,696990.0095214844,195039.9539489746,201413.274597168
22:6 Cholesteryl ester,689877.5708007812,583864.720703125,548383.4206542969,173364.03149414062,170276.5321044922,724647.8146972656,589545.1394042969,698972.4873046875,192804.07348632807,194199.51263427731
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",331529.74309921265,390391.3275756836,402741.9845695496,83488.34439468384,86167.32622909546,361285.80671310425,415519.5479660034,520013.3414154053,94177.24686813354,72342.84449386597
3-hydroxyarachidonoylcarnitine,1519325.8486328125,1689632.529296875,1686260.1721191406,1863435.63671875,1930435.376953125,1654123.5068359375,1856437.095703125,1835111.345703125,1974828.7731933596,1928741.116455078
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",1186676.7076416016,1378030.6455078125,1366539.055053711,1493792.3493652344,1580037.5629882812,1341716.8400878906,1510425.403930664,1495649.9022216797,1594701.9755859375,1617362.8673095703
"3-hydroxylinoleoylcarnitine,",10412728.368164062,19095156.520996094,17691295.735839844,15293062.92236328,12758226.377441406,22603931.45800781,12251396.957519531,18552533.94921875,15933776.28515625,14766753.270751951
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",5047329.992675781,8265390.025878906,7852521.141601562,6952312.624511719,6381760.837890625,9503114.80419922,5984358.296875,8369825.224609375,7382732.733886719,7176826.198730469
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",1471570.1196289062,1663145.7919921875,1660488.5493164062,1796975.3369140625,1917517.5590820312,1629539.580078125,1757365.703125,1789178.2016601562,1834129.7998046875,1957207.7475585935
C12:0,49450.46340942383,52048.26383972168,101086.58731079102,253384.01986694336,786235.9553222656,104670.28729248048,107748.88719940186,55248.80407714844,226448.41662597656,733573.8945007324
C12:1,42574.66279602051,31922.102256774902,62159.76443481445,110787.78799438477,288506.84075927734,59427.54405212402,47843.18366241455,55930.48390197754,110690.90811157228,275200.278503418
C14:0,939635.1861572266,797750.9364013672,1339612.2512207031,2224068.9370117188,6260269.737792969,1375814.2526855469,1198648.1489257812,803785.7360839844,2237367.991210937,5189257.805664063
C14:1,643907.5652160645,445981.771484375,738315.2306518555,837123.7770996094,1419222.2824707031,692347.3874511719,510473.6550292969,717643.2119445801,789669.7750244141,1296562.494140625
C15:0,102130.4673614502,60481.084144592285,133717.28941345215,249466.23806762692,1153097.682861328,110853.68840026855,104234.56735229492,135165.6690979004,220572.2958984375,959959.9842529296
C15:1,340894.59983825684,115592.80899047852,283884.9422607422,477691.393371582,1456058.8435058594,218629.41493225095,230389.17543029785,456531.76628112793,381341.5670166016,1353371.945678711
C16:0,476165.0105895996,282093.0023803711,699194.2758483887,1572147.9837036133,24236272.677246094,624800.8621520996,669805.5308074951,654285.5855407715,1482021.9129638672,23766001.09558105
C16:1,73353.28578186035,48122.00355529785,103382.14724731444,237671.4571838379,1969860.5838623047,98774.1865310669,93685.54733657835,100888.66667938232,283593.5999450684,1795473.702209473
C17:0,74938.32553100586,63271.40463256836,132518.6089477539,397807.56619262695,3552508.2741088867,109237.24765014648,113008.6683807373,117685.1485824585,468309.12911987305,2977794.2908935547
C17:1,52980.52372741699,44298.18312835693,86680.3264465332,149392.1907043457,727366.4727172852,74727.02532958984,58749.38416290283,66817.54458618164,196774.0928955078,634539.8258666992
C18:0,299957.1216888428,168370.83210754397,534584.3980484009,1466030.654159546,30337726.126098637,431486.0724945069,481663.0949401856,559183.4834899902,1314897.104598999,29269708.84863281
C18:1,72029.14485168457,54737.223709106445,103639.9073486328,188620.17379760745,1253256.2690429688,86475.9259185791,70049.16540527344,95522.1665649414,215003.7946777344,955797.8286132812
C18:2,55990.36389923096,51525.78366088867,92575.26654052734,185614.61416625977,906998.5246582032,82122.78601074219,61532.98417663574,74726.00527954102,478550.4316101074,888503.4256591797
C18:3,52043.82362365723,37622.52262878418,76727.4652709961,124470.34942626952,688411.2669067383,64679.68458557129,49622.28349304199,73251.34510803223,146945.17184448242,630508.348815918
C18:4,36511.84266662598,29497.00204467773,50239.18350982666,83721.28591918945,296024.74157714844,45939.48325347901,34610.88236236572,47726.00343322754,113393.60835266112,277794.69985961914
C19:0,95653.06672668456,54873.92371368408,149977.67024993896,317735.6428527832,3007762.539672852,107522.60765075684,106849.60803985596,172727.29260253906,337887.06213378906,3021680.8803710938
C20:0,7694.140556335449,7617.760482788086,7621.020488739014,614932.7451171875,4593185.5146484375,7639.600532531738,7632.480560302734,7626.580486297607,640342.6439208984,4826514.1572265625
C20:1,7796.720558166504,7857.680492401123,7617.48046875,140822.59042358398,951980.4077758788,7923.400539398193,8118.140605926514,7626.020473480225,174642.3316040039,972171.8549194336
C20:3,215283.09440994263,79402.42557144165,59789.083984375,399768.9284667969,1196870.639892578,119819.5083770752,109856.02811431883,16166.121063232422,399148.2878417969,1307326.7814941406
C20:4,37474.26264953613,33491.40241241455,51234.40377044678,101280.58700561523,553026.4783325195,52689.32372283936,41338.74296569824,43147.72286987305,112263.48756408691,498975.2778930664
C20:5,70922.48471832275,60085.26406097412,119466.9886932373,244713.57690429688,2424673.14263916,108170.8678779602,103828.7677230835,132663.90879821777,253791.73818969727,2460101.061950684
C22:0,18542.761386871334,15719.101078033447,32347.502548217773,116365.60809326172,2017461.663208008,28006.301902771,25348.621574401852,29273.24211120605,121045.1097869873,2131818.3259277344
C22:1,12022.420867919922,10510.760746002195,16281.281196594238,59875.12438201904,593143.4244384766,16095.081134796144,14486.260974884031,15778.401134490969,59617.72424316406,628133.1289978027
C22:4,12392.4208984375,11051.060764312744,14499.901008605955,57873.984031677246,395399.9071044922,14879.781059265137,12284.40089416504,14392.44095993042,55334.204010009766,354900.0247192383
C22:5,20233.56142425537,15351.221035003662,27479.56188964844,113305.82827758788,2086201.6647949216,23308.921676635742,21756.861572265625,27038.901977539062,114934.64831542967,1890893.5544433596
C22:6,14817.141075134276,13013.76093673706,24481.1817817688,109016.28771972656,926703.7264404296,18584.421321868896,15957.061100006104,24631.84167098999,123264.62911987305,907260.8684082032
C24:0,11357.02081680298,9507.660655975342,12327.520847320557,31436.622299194336,7625.360515594482,12544.980842590332,11782.680866241457,13331.72099685669,31774.98223876953,7632.960498809814
C24:1,10371.480716705322,9577.94065475464,11683.420806884766,40447.20280456543,7623.360511779785,11679.200820922852,11487.940799713137,10398.340724945068,39565.38287353516,7632.48051071167
C24:5,13476.480907440186,11292.020793914797,15463.721138000488,52588.40413665772,181311.0133934021,16385.72120285034,14604.30101776123,14021.64101409912,53978.32370758057,211407.67669677731
C24:6,12326.400840759276,10077.6607131958,14030.540996551514,47751.12338256836,9621.36060333252,14555.08102798462,13046.480945587158,12623.040897369385,47890.76341247559,9405.680633544922
C26:0,10437.540744781494,9760.360664367676,11199.160816192629,139168.94984436035,305287.44200897217,11075.580814361572,10411.86071395874,11757.96086883545,144820.0300140381,307391.3058013916
C26:1,12093.560897827148,11289.00080871582,13996.940963745115,322982.9826965332,271971.1393432617,13172.680931091309,11357.600788116457,12903.48093032837,318498.86267089844,256768.89825439453
C28:0,10039.640678405762,8877.520587921143,11357.46072769165,110373.1074256897,865841.4611816406,10609.120811462402,11391.780799865724,12365.840843200684,102752.06749725342,703603.0884170532
C30:0,8270.06057357788,8142.360538482666,9489.280658721924,30680.30202865601,531498.6968765259,9848.900714874268,9254.100723266602,8750.94058227539,30131.32222366333,539501.0548057556
C32:0,7936.260559082031,8020.160530090332,8384.940536499023,20417.76132583618,334075.94386291504,8301.440570831299,8228.860591888428,8155.720554351807,17630.981330871582,310046.70194625854
C34:0,8990.560653686523,9386.840629577637,10317.640689849854,38431.4029083252,372294.16857528687,11449.860816955566,11252.540817260742,11072.12080001831,35780.822410583496,372679.3901824951
Cer(d14:1(4E)/20:0(2OH)),66650.74519348145,54439.20386505127,56731.90399932861,48422.66332626343,50116.94361495972,52563.58427429199,54096.90383148193,30687.54201889038,45990.763427734375,41965.62269210816
Cer(d14:1(4E)/20:1(11Z)(2OH)),75061.22528839111,62368.964111328125,76992.8856124878,51291.08360290527,55728.08428955078,67584.02461242676,58871.3048210144,41557.48303604126,48262.5835647583,48459.3034362793
Cer(d14:1(4E)/22:0(2OH)),792039.7418060303,924250.8180084229,762881.6403007507,894977.015045166,811234.5140151978,841781.1739196777,980350.4079589844,311127.22427749634,929240.5542297364,741314.4466209412
Cer(d14:1(4E)/22:1(13Z)(2OH)),762646.4962997437,894908.9389953613,716635.99401474,891287.3468704224,811455.2856025696,821051.284324646,931842.088973999,309750.6650161743,908468.3333282472,711508.3666687012
Cer(d14:1(4E)/24:0(2OH)),107138.5082397461,116443.54864120483,114452.98726654051,124675.0270690918,137870.27012252808,99882.0276298523,129189.51008224487,47814.50333404541,130980.68824005128,121622.80861282349
Cer(d14:1(4E)/26:0(2OH)),337074.9861679077,494957.96284484863,541537.7220153809,487797.88973999023,484957.5127487183,547569.7347183228,415984.18517303467,246990.64037704468,554947.5443344116,513948.6778259277
"Cer(d14:2(4E,6E)/16:0)",32723.822052001957,36785.10237121582,37103.102725982666,45466.52307510376,48582.26343536377,46818.70296859741,49588.86336517334,19355.161197662357,42051.32285308838,43253.82303619385
"Cer(d14:2(4E,6E)/18:0(2OH))",36188.86263656616,40864.14295196533,46453.62310028076,50762.64370346069,49683.92366409302,61421.4045791626,63062.46446990967,22531.921615600582,43069.46284484863,51253.46418762207
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",37667.68252182007,42898.52331542969,48286.56330871582,47256.28318405152,51127.20343399048,59787.84385681152,63734.984855651855,22580.00164413452,44312.84300613403,48335.86357879639
"Cer(d14:2(4E,6E)/18:1(9Z))",35987.76224517822,37646.56273269653,43521.20297241211,43951.52314758301,44414.00364303589,44414.04288482666,53788.624282836914,19350.141220092773,42339.84297943115,44629.943309783936
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",56314.06340789795,54472.5640296936,63260.96466064453,59668.42415237427,48027.5429763794,68775.8858718872,68581.12490844727,32032.442337036133,48632.72338485718,54231.623905181885
"Cer(d14:2(4E,6E)/20:1(11Z))",39163.82279586792,40145.12295150757,45121.92335891724,41094.322872161865,40329.18296813965,44958.72314071655,44870.18347167969,22368.04182434082,40291.74254608154,44147.56328582764
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",653463.3156433105,732600.3270492554,580270.4158744812,711939.3246192932,671508.6106071472,599326.9708862305,785916.2691726685,271180.82040405273,716659.3988227844,614121.8733100891
"Cer(d14:2(4E,6E)/24:0(2OH))",97095.00667953493,103279.52662658691,109186.7868118286,135510.41207885742,134164.76929092407,114518.38901519775,139430.28848266602,48110.82347488403,126209.33029174805,122196.06798934937
