Lipid,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon
Lyso_PI(16:1) | PI (16:1)_2,1560.1601066589355,1474.56010055542,101633.42797851562,1574.8601036071775,1551.680103302002,132821.46844482422
Lyso_PI(17:0),66517.10567855835,489445.947265625,262241.1778411865,451729.7956542969,440162.6307373047,345800.6390991211
Lyso_PI(17:1) | PIp (18:0),15888.001220703123,62418.78530883789,43889.80323791504,52067.64385986328,61055.78427124024,63783.76399230957
Lyso_PI(17:1) | PIp (18:0)_2,21370.32175064087,61442.42459106445,41726.24243164063,55174.4045715332,61300.06427001953,60621.78407287598
Lyso_PI(17:1) | PIp (18:0)_3,14916.701015472412,61760.02449798584,42702.60336303711,52496.223693847656,53306.544006347656,57508.86442565918
Lyso_PI(17:2),26649.161964416504,95575.02697753906,72777.8448638916,91277.56512451172,89759.5073852539,84095.34484863281
Lyso_PI(18:0) | PI (18:0),26964.6018409729,100225.06591796876,1476.1201095581057,87577.46600341797,88591.98663330078,1469.5801010131836
Lyso_PI(18:0) | PI (18:0)_2,25745.88182067871,101701.18743896484,1528.960105895996,86212.86614990234,90202.18518066406,1549.500114440918
Lyso_PI(18:1) | PI (18:1),38681.32262802124,101287.70495605467,1708.5001182556152,84962.34674072266,94174.5281982422,1671.480110168457
Lyso_PI(18:1) | PI (18:1)_2,24426.521591186523,96689.26837158205,1745.60013961792,82652.2864074707,94537.46691894533,1529.6200981140137
Lyso_PI(18:2) | PI (18:2),32080.26220703125,320407.34423828125,2742.120174407959,270742.419342041,275018.4161682129,2166.4401512146
Lyso_PI(18:2) | PI (18:2)_2,35383.922790527344,310917.2185363769,2243.7601737976074,259043.83163452148,292098.3041229248,2420.980194091797
Lyso_PI(18:3) | PI (18:3),1001205.1164398192,9737565.974365234,6011448.339420319,8503795.555419922,8538973.434570312,3432882.2231140137
Lyso_PI(18:3) | PI (18:3)_2,884708.7465362549,9717353.28491211,5510963.465312958,8669269.057128906,8335527.7421875,3143541.560207367
Lyso_PI(18:4) | PI (18:4),19330.26146697998,77656.76525878906,44595.68355560303,79973.50549316406,73052.84490966797,76264.00668334961
Lyso_PI(18:4) | PI (18:4)_2,16677.261222839355,86024.38589477539,43000.94285964966,79983.64639282227,71221.40557861328,69600.4850769043
Lyso_PI(19:0),45698.52276611328,432946.1262817383,277533.9567565918,371650.0692749024,304500.24017333984,391521.5315246582
Lyso_PI(19:1),49899.883251190186,330522.5059814453,112231.04776000977,244452.3192138672,238804.26306152344,142307.70880126953
Lyso_PI(20:0) | PI (20:0),20440.241470336918,183736.17178344727,66212.50346374512,144194.06985473633,141523.2869873047,90995.88668823242
Lyso_PI(20:0) | PI (20:0)_2,18254.241271972656,181401.75067138672,67648.86587524414,146254.68990325928,130837.2495727539,89151.54725646973
Lyso_PI(20:1),51468.18369293213,210627.9747314453,122599.08813476562,160203.2314453125,162164.15161132812,168143.25170898438
Lyso_PI(20:2) | PI (20:2),130259.14949417114,696503.4417114258,595144.7265930176,505923.1332397461,1106084.9411621094,544474.8129882812
Lyso_PI(20:2) | PI (20:2)_2,149225.45265197754,702651.9847412109,611715.9055175781,497973.990234375,1103466.2647705078,559198.289932251
Lyso_PI(20:3) | PI (20:3),18872.201274871823,81527.62503051758,51471.98324584961,58993.72412109375,73654.44584655762,58848.04365539551
Lyso_PI(20:3) | PI (20:3)_2,19539.40131378174,75601.82522583008,50948.684005737305,56435.00396728516,71562.02555847168,56835.805000305176
Lyso_PI(20:4) | PI (20:4),19654.32146835327,93804.50717163086,46114.06354904175,94095.04693603516,84363.58575439453,69927.06451416016
Lyso_PI(20:4) | PI (20:4)_2,23932.98192214966,94955.28762817384,46581.12242889404,87761.36540222168,83724.88659667969,68896.7045135498
Lyso_PI(20:5) | PI (20:5),22629.86193847656,83452.42471313477,60477.24395751953,75278.1654663086,73108.32537841797,72705.96603393555
Lyso_PI(20:5) | PI (20:5)_2,20474.361476898197,90480.06634521484,56796.96453857422,76912.7063293457,75141.54516601562,76514.56466674805
Lyso_PI(21:0),30531.10185623169,116714.64852905272,61749.58438110352,90487.30712890624,106023.14736938477,156552.9949798584
Lyso_PI(22:0) | PI (22:0),63197.42398071289,162554.51013183594,94750.1669921875,210111.9931640625,230140.8342895508,122210.96966552734
Lyso_PI(22:0) | PI (22:0)_2,64426.34423828125,165958.17218017578,93034.2880859375,206922.8153076172,233247.6756591797,119523.36868286131
Lyso_PI(22:1) | PI (22:1),24217.241607666016,93709.68716430664,45021.54254150391,60274.60552978516,68230.50482177734,77238.3860168457
Lyso_PI(22:1) | PI (22:1)_2,25263.66162109375,84807.12655639648,43399.06335449219,58132.86344909668,62749.44396972656,77494.32461547852
Lyso_PI(22:2) | PI (22:2),18399.001556396484,67441.2451171875,41852.26216125488,54786.64501953125,57248.22416687012,59025.20384979248
Lyso_PI(22:2) | PI (22:2)_2,15487.201053619385,62036.66416931152,43283.28317260742,51497.124282836914,57445.044189453125,57131.86425018311
Lyso_PI(22:4) | PI (22:4),21636.241695404053,87811.326171875,53155.38377380371,83404.62515258789,81822.56588745117,61864.20378112793
Lyso_PI(22:4) | PI (22:4)_2,24077.02137756348,89013.9653930664,51183.723724365234,82985.666015625,84073.0647277832,62778.22422790527
Lyso_PI(22:6) | PI (22:6),25573.12173461914,114139.36856079102,56531.24353027344,98876.60757446288,102606.70626831056,71226.36471557617
Lyso_PI(22:6) | PI (22:6)_2,26357.521926879883,110340.20837402344,58325.80438232422,98567.90661621094,103973.60610961914,75750.14443206787
Lyso_PS(12:0) | PS (12:0),40529.18291854858,30860.882347106934,77741.00494384766,19289.22120285034,68058.22454833984,80249.44561767578
Lyso_PS(12:0) | PS (12:0)_2,41123.04288482666,28622.24241638184,79008.08508300781,18242.98126220703,69191.96423339844,80427.02575683594
Lyso_PS(13:0) | PS (12:0),67089.68535995483,30142.342361450195,113592.12817382812,25317.381942749023,130069.4892578125,113651.88793945312
Lyso_PS(13:0) | PS (12:0)_2,63312.98459625244,31942.782302856445,112449.1279296875,26570.1819190979,142223.51025390625,121043.34887695312
Lyso_PS(14:0),35875.96283721924,33198.201583862305,106847.38720703124,20055.721435546875,84163.9857788086,89919.20553588867
Lyso_PS(14:1) | PS (14:1),386697.8882446289,723045.7475585938,1858569.201171875,310130.40630340576,1328409.751953125,957770.1069335938
Lyso_PS(14:1) | PS (14:1)_2,386757.7848854065,751346.8651123047,1875401.0864257808,383025.9913635254,1297693.3178710938,953562.9731445312
Lyso_PS(15:0) | PSo (16:0),42106.923080444336,23106.281719207764,82270.00601196289,26436.22201538086,37403.04232406616,109502.98776245116
Lyso_PS(15:0) | PSo (16:0)_2,29677.882411956787,3101.360218048096,86412.7857055664,26146.182167053223,6355.960464477539,117999.20974731444
Lyso_PS(15:1),46994.00308990479,59107.36399459839,121506.92895507812,15610.56116104126,123523.27069091795,134542.82971191406
Lyso_PS(16:0) | PS (16:0),1462.1001052856443,1460.9600982666016,124966.19073486328,1461.380107879639,1574.340103149414,123650.07180786131
Lyso_PS(16:0) | PS (16:0)_2,1462.1800918579102,1466.6401023864746,121338.04956054688,1462.1801109313965,1583.0200996398926,124145.52978515624
Lyso_PS(16:1) | PS (16:1),1611.7601127624512,1549.7201042175293,66784.6439819336,1461.0801048278809,1762.2401161193848,74017.16516113281
Lyso_PS(16:1) | PS (16:1)_2,1461.840106964111,1506.360092163086,66396.2847290039,1542.3000984191897,1519.4201011657717,79614.04510498047
Lyso_PS(17:0) | PSo (18:0),411613.6048965454,1010029.682861328,1880516.935546875,424428.30490493774,1814764.333984375,786981.4775390625
Lyso_PS(17:0) | PSo (18:0)_2,420836.767288208,947656.8311767578,2035057.6142578125,461631.9895095825,1715572.9594726562,833217.5737304688
Lyso_PS(17:0) | PSo (18:0)_3,358774.341506958,870793.7777099609,2133670.084472656,469982.4132461548,1618029.431640625,868063.9067382812
Lyso_PS(17:1) | PSp (18:0),22376.7815322876,20326.64153289795,82552.44650268555,12817.720882415771,56559.904052734375,80510.62548828125
Lyso_PS(17:1) | PSp (18:0)_2,22598.6017036438,22568.82148742676,81121.12564086914,13229.40069961548,55557.22415161133,86120.0258178711
Lyso_PS(17:2),27559.801918029785,24151.08168792725,60029.52426147461,16782.24112701416,61554.02429199219,62716.904052734375
Lyso_PS(18:0) | PS (18:0),35906.20281982422,31803.30191040039,7822.320690155029,24603.781776428223,95651.22686767578,17924.9012260437
Lyso_PS(18:0) | PS (18:0)_2,39160.10260391235,31220.722663879395,3706.840297698975,24906.98137664795,93131.72692871094,3684.180313110352
Lyso_PS(18:1) | PS (18:1),33183.24239730835,12476.380844116213,45845.94305038452,10629.680770874023,58000.303955078125,51605.28424453735
Lyso_PS(18:1) | PS (18:1)_2,29117.50196456909,21673.08134460449,35545.58208465576,16266.480991363524,60616.84436035156,42765.422565460205
Lyso_PS(18:2) | PS (18:2),24224.601444244385,21420.321769714355,53316.04391479492,17863.861656188965,49676.1432800293,57309.12399291992
Lyso_PS(18:2) | PS (18:2)_2,25029.78169631958,17081.340896606445,52952.86395263672,15964.701187133787,49458.98310852051,55935.32440185547
Lyso_PS(18:3) | PS (18:3),38517.86332321167,68636.20463562012,107744.72836303712,44048.26361083984,133652.51055908203,123558.8699645996
Lyso_PS(18:3) | PS (18:3)_2,37322.96241760254,74038.4651260376,111254.12893676758,41840.64217376709,138063.4086303711,112453.10803222656
Lyso_PS(18:4),24473.341957092285,25127.682006835938,53523.863830566406,16549.321159362793,57154.8445892334,79693.5453491211
Lyso_PS(18:4)_2,24956.72173690796,26114.402114868164,53605.60345458984,10776.42073059082,55540.363861083984,78901.34533691406
Lyso_PS(19:0),40405.20288467407,26180.341594696045,48667.54322814941,18280.461502075195,117052.50885009766,57614.90408325195
Lyso_PS(19:1),27707.58221054077,21989.001274108887,34003.7622795105,16259.401050567629,58639.34323120117,35081.30269622803
Lyso_PS(20:0) | PS (20:0),44825.783203125,25618.64199066162,70735.30532836914,19596.921489715576,69460.70532226562,73896.10571289062
Lyso_PS(20:0) | PS (20:0)_2,48978.423828125,23356.32201385498,69053.38482666016,17485.781230926514,74299.04510498047,75420.42492675781
Lyso_PS(20:1) | PS (20:1),116344.36853027344,42480.743019104,157827.91186523438,37320.10265350342,194790.09301757807,149875.99047851562
Lyso_PS(20:1) | PS (20:1)_2,116032.32788085938,56013.084533691406,150870.13012695312,35080.522747039795,187523.0125732422,143311.3115234375
Lyso_PS(20:2) | PS (20:2),71950.42471313477,92326.08652114868,272683.3405761719,53945.304470062256,1309739.403869629,406250.045715332
Lyso_PS(20:2) | PS (20:2)_2,73165.14535522461,89653.12752914429,270398.1398925781,162181.99141311646,1324859.714050293,366582.3260498047
Lyso_PS(20:3) | PS (20:3),24391.56170654297,19996.621520996094,57729.8434753418,16564.40135574341,64366.364685058594,61856.12399291992
Lyso_PS(20:3) | PS (20:3)_2,27867.22186279297,18256.04118347168,51251.36389160156,19393.101360321045,57103.34346008301,57024.8229675293
Lyso_PS(20:4) | PS (20:4),26970.88163757324,17417.341526031494,39308.10266113281,12888.220825195312,45566.3427734375,53880.5832824707
Lyso_PS(20:4) | PS (20:4)_2,25625.622009277344,14454.381145477297,43483.46263122559,8182.720539093018,46340.403411865234,57662.00411987305
Lyso_PS(20:5) | PS (20:5),60708.68420410156,36529.64253616333,80760.22619628906,23233.94165802002,89696.90643310547,89774.06616210938
Lyso_PS(20:5) | PS (20:5)_2,64102.76452636719,41415.50313568115,83352.88568115234,35906.62232589722,99509.1279296875,90331.72637939452
Lyso_PS(21:0),30573.382049560547,15246.500869750977,70783.10527038574,23445.341705322266,61650.46463012695,79872.5450592041
Lyso_PS(22:0 | PS (22:0),54786.3837890625,57092.92414855957,86106.54602050781,22986.0817489624,178884.8348388672,93017.66723632812
Lyso_PS(22:0 | PS (22:0)_2,51532.18377685547,72637.98488616943,83095.54663085938,38611.72288513184,218377.5164794922,90101.0263671875
Lyso_PS(22:1) | PS (22:1),21891.96165466309,12054.560958862305,46168.76307678223,14182.901008605955,46436.62255859375,47193.30383300781
Lyso_PS(22:1) | PS (22:1)_2,23901.72171020508,10684.480735778809,43646.18292236328,16130.441287994385,45802.24295043945,47476.46365356445
Lyso_PS(22:2) | PS (22:2),25041.261657714844,22540.68133544922,56507.10397338867,22740.18124771118,61398.02340698242,59333.74508666992
Lyso_PS(22:2) | PS (22:2)_2,23819.30160522461,24629.561714172363,57576.18423461914,25499.621520996094,60909.06359863281,56813.98387145996
Lyso_PS(22:4) | PS (22:4),35207.24249267578,21168.661586761475,71628.34530639648,19941.68155670166,78144.1247253418,68772.00494384766
Lyso_PS(22:4) | PS (22:4)_2,34356.562438964844,26954.961631774902,66004.14431762695,19893.581295013428,77196.16552734375,70286.60424804688
Lyso_PS(22:6) | PS (22:6),40415.52313232422,34185.58190155029,80277.84616088867,23536.38172531128,71233.42541503906,83087.8656616211
Lyso_PS(22:6) | PS (22:6)_2,42870.22305297852,30745.26202392578,78729.26440429688,25662.54132080078,70234.2846069336,88495.66622924805
Lyso_Sphinganine-1-phosphocholine,182085.63330078125,186465.23071289065,197707.0186767578,154237.3735961914,172758.4140625,195356.9962158203
Lyso_Sphingosine-1-phosphocholine,94048.86730957033,98104.28723144533,106322.00720214844,81112.38549804688,94978.72668457033,108098.767578125
O-(11-carboxyundecanoyl)carnitine,1698009.3786621094,1608644.2199707031,1543775.736328125,2063324.2932128904,1445462.778076172,1551621.4125976562
O-(13-carboxytridecanoyl)carnitine,2464997.854736328,2497472.518310547,2486930.6091308594,2408075.9184570312,2258710.2392578125,2670320.4296875
O-(17-carboxyheptadecanoyl)carnitine,1916627.5317382808,1787021.61328125,1813601.7524414065,1854587.2724609373,1661807.1337890625,1912865.08984375
O-arachidonoylcarnitine,1879959.790527344,1825144.9770507808,1872888.494140625,1630397.6538085938,1708049.875,1974712.75390625
O-behenoylcarnitine,1146124.9450950625,1110679.3093795776,1107254.2224349976,1048316.785736084,998638.4768371582,1204462.4834213257
"O-oleoylcarnitine, Elaidic carnitine",2410372.6762695312,2916051.9331054688,2833547.6284179688,3202153.1528320312,2913805.9169921875,2306270.5888671875
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",1596917.227294922,1615202.787109375,1638445.1293945312,1494833.484375,1422741.223388672,1670595.7229003906
PC (30:0),86169.56600952148,118589.88662719728,134713.04946899414,100420.98878479004,97039.00770568848,96920.8874206543
PC (30:1),88982.3060760498,122133.58932495116,131660.08978271484,98903.28643798828,99945.58645629884,98654.66708374023
PC (30:2),84586.96543884277,120559.64868164062,138506.79061889648,93750.22494506836,102578.38748168944,90531.64743041992
PC (32:0),951137.5981445312,1698169.5415649414,2063338.8400268557,917661.4234008788,1321913.1739501953,589987.186340332
PC (32:1),942311.9768371582,1875814.616027832,1949665.0983581543,856982.7578125,1358959.491821289,568154.9945678711
PC (32:2),971271.4549255372,1742248.5977783203,1881470.266479492,878059.4818115234,1385867.379638672,616682.5644836426
PC (32:3),850410.770324707,1683215.1868896484,2026683.198852539,828206.257232666,1234030.9287109375,591162.6590270996
PC (32:4),371140.1830749512,910218.7320861816,1295923.1087341309,404445.8475341797,690925.3977966309,402161.15155029297
PC (32:5),206996.07334899905,435106.5923461914,589409.5653533936,231716.9764099121,348213.5633239746,242684.52059936523
PC (34:0),1000412.2849121094,2031450.9565429688,1963579.592590332,1095898.1716918943,1895418.4926757808,741628.6368103027
PC (34:1),1019534.3862304688,1999358.437866211,2062457.567199707,1067524.2207946775,1838787.4837341309,755503.6067504883
PC (34:2),1204827.7313232422,2262632.3309936523,2166422.607421875,1209870.2358398438,2117473.3958129883,794012.3369140625
PC (34:3),1766868.8690185547,3549027.204711914,3741014.481384277,1756514.5878295898,3160910.900085449,1162200.9977416992
PC (34:4),1794084.9948730469,3676238.707092285,3780442.97064209,1752679.2338867188,2835427.033569336,1166554.2265625
PC (34:5),1244225.732849121,2658677.5576782227,3125022.6955566406,1123385.2869873047,2199741.7637939453,936392.9751586914
PC (34:6),976127.1491088868,1849967.0333251955,2063399.7353515625,945539.1653442384,1455135.3637695312,621099.7001647949
PC (36:0); PCp(38:6),419005.1922302246,814761.6733093262,859278.4150085449,457613.5498199463,834556.471496582,333028.7045440674
PC (36:0); PCp(38:6)_2,428272.1943359375,849949.5341796875,807032.3782043457,439710.7679519653,774564.231918335,309862.7207336426
PC (36:1),446975.5899658203,878754.3044128418,851870.7861633301,482135.6018218994,841751.8919677734,332630.4375305176
PC (36:2),628427.1416931152,1158840.2968444824,1037596.5607299804,673426.4092712402,1079314.003479004,387503.9329605103
PC (36:3),1350130.224609375,2228490.890686035,1985041.7884521484,1298799.7810058594,2048086.5334472656,700651.4368286133
PC (36:4),1647646.500915527,3475730.7900390625,3262829.164581299,1762139.4871826172,3063164.8201293945,1167457.659790039
PC (36:5),1354212.9745788574,2967515.1405029297,3001574.1837768555,1478370.2123413086,2826380.217773437,1078521.4269714355
PC (36:6),1241169.74899292,2574484.727905273,2630318.8386535645,1268219.971130371,2232413.299133301,925720.9149780272
PC (36:7),1193220.4411010742,2375368.1112060547,2445248.6097717285,1212086.4483947754,2010543.9282531736,839326.5725708008
PC (36:8),1049363.3710021973,2247650.9483032227,2131989.322631836,1124734.867919922,2119987.921875,763584.4915161133
PC (38:0),853704.7693481445,1127701.172088623,1278505.552581787,751785.8755493164,1173567.3231811523,548245.4423522949
PC (38:1),865905.3190917969,1135844.233215332,1358794.0057678225,742798.8784179688,1192017.6906433103,558793.9630126953
PC (38:2),892448.0676879883,1274266.3102722168,1344833.375427246,801256.4038696289,1359190.044128418,577391.9215698242
PC (38:3),1073292.9995422363,1527116.7940063477,1810788.3368530276,1030313.5837402344,1677449.105102539,731999.5243530273
PC (38:4),1048841.5700073242,1609402.3541870115,1711209.6922912598,989377.7740478516,1695865.062652588,715051.024597168
PC (38:5),1021008.025756836,1607378.3634643557,1736420.1665039062,984188.2932739258,1689018.2056274414,674853.533203125
PC (38:6),1172053.4354858398,1949924.089691162,2098937.199951172,1053872.3278808594,1971864.714050293,737799.5421447754
PC (38:7),1125359.0493774414,1726499.340270996,1935263.1427001955,971850.788269043,1732215.368713379,725446.7746276855
PC (38:8),1050234.8379516602,1693249.315979004,1907706.6303710935,955782.9442749023,1608134.2962646484,679900.1955871582
PC (38:9),961502.595336914,1500634.0296020508,1661718.3981018066,847887.6981201172,1528343.6694335938,592227.6593933105
PC (40:0),1497682.9777832031,1680957.9809570312,1680422.5,1096610.1066894531,1389979.2136230469,1555641.5673828125
PC (40:1),1468236.936767578,1700013.3388671875,1600588.9738769531,1066622.2822265625,1509361.3928222656,1600818.0463867188
PC (40:10),894838.0615234375,1256899.961151123,1404387.8872680664,739622.7147216797,1227952.4459533691,586758.7645874023
PC (40:2),1313510.0510253906,1592308.479736328,1506033.4770507812,1012883.5512695312,1337654.12109375,1426071.8349609375
PC (40:3),1242736.6970214844,1497742.2189941406,1414927.7182617188,915854.025390625,1303055.2661132812,1358262.7236328125
PC (40:4),779947.1081542969,1166455.2385253906,1195902.6198730469,630097.3807373047,1050662.230834961,1084925.7302246094
PC (40:5),328537.60540771484,519085.5973815918,542492.0680084229,334641.3030090332,540590.9174346924,286068.2989501953
PC (40:6),397212.3690643311,668713.444519043,730970.3454284668,397358.08306884766,710984.3163757324,356893.6674499512
PC (40:7),463544.754486084,779393.6361083984,848565.0177612305,434963.30570983887,787617.0257263184,393866.58584594727
PC (40:8),619597.4418029785,1079630.8275756836,1114800.4551391602,576219.8182067871,1003171.2558898926,485160.5090332031
PC (40:9),917385.2309875488,1273482.8093566897,1498995.9426879885,768507.1564941406,1364979.0197753906,601186.2789306641
PC (42:0),597789.5999755859,606752.0329589844,513777.9915161133,435420.7260131836,535340.9927368164,571575.4750671387
PC (42:1),1429401.6518554688,1580248.3681640625,1477929.55078125,1010979.3784179688,1300558.8596191406,1500330.7644042969
PC (42:10),1480060.446044922,1755151.4475097656,1671272.3852539062,1091624.701171875,1427492.1284179688,1591931.978515625
PC (42:11),1495653.5903320312,1670027.0256347656,1566155.432861328,1055943.6015625,1431578.768798828,1612800.7111816406
PC (42:2),1486371.5275878906,1627966.7626953125,1507176.8815917969,1064403.346923828,1352599.031982422,1586413.9470214844
PC (42:3),1460753.2160644531,1643067.9645996094,1488914.888671875,1037216.667236328,1355985.5493164062,1597296.6479492188
PC (42:4),1464559.2114257812,1641828.1818847656,1485688.9089355469,1030545.203857422,1331959.7387695312,1601397.6689453125
PC (42:5),1482555.3332519531,1665884.807861328,1524227.720703125,1075316.630859375,1352659.21484375,1602381.4514160156
PC (42:6),1502709.9184570312,1674441.3254394531,1539500.9555664062,1086477.6201171875,1350034.4389648438,1591926.3225097656
PC (42:7),1592972.974609375,1824078.154296875,1707819.8840332031,1134132.3989257812,1474550.3627929688,1704712.1865234375
PC (42:8),1552901.2020263672,1771407.0517578125,1670151.3139648438,1116590.228515625,1495158.5004882812,1613671.9809570312
PC (42:9),1503447.3439941406,1766427.296875,1634938.5922851562,1085987.2795410156,1484926.978515625,1639715.4401855469
PC (44:0),45756.88317871094,52877.9236907959,51728.42370605469,36003.2421913147,44209.22344970703,49224.844177246094
PC (44:1),46302.143630981445,48379.52338409424,47291.58278656006,33221.86227416992,51014.98392868042,51123.0023727417
PC (44:10),113219.60813140868,129175.2488937378,118677.16793823242,69899.66525268555,110283.44881439208,116365.0097808838
PC (44:12),284804.5244293213,306733.2204284668,313421.4409790039,214583.73461914065,290323.3609161377,352861.55989837646
PC (44:2),49585.02342224121,57483.66480255127,54920.104568481445,37849.04251098633,54224.00461578369,53889.30437088013
PC (44:3),62690.68382263184,60580.82442855835,64789.46518325806,41308.14225769043,62662.98533630371,64891.86427307129
PC (44:4),64379.08465576172,67702.26553344727,70850.68384933472,45663.74376678467,69474.46488952637,67896.16667938232
PC (44:5),87080.18724060059,85826.90447998047,80793.52600860596,60634.764793396,78559.62665939331,82629.76607894897
PC (44:6),111380.86932373048,123091.16621017456,105814.0492401123,74289.96607208252,104198.8652191162,113573.90919494627
PC (44:7),109048.80894470216,120873.25156402588,110662.84732055664,73430.08550643921,111251.76777648926,111146.09062957764
PC (44:8),116168.26929473875,123185.55112457275,116882.8077545166,71263.46490478516,113516.82804489136,120288.50888824464
PC (46:0),14307.94107055664,16303.201244354248,16129.32103729248,13448.820888519287,14812.24097442627,15405.861152648926
PC (46:1),13795.701007843018,16989.66121673584,15760.381031036375,13571.340976715088,14662.541133880615,16250.501239776611
PC (46:2),14535.44090270996,15717.58101272583,15708.081153869629,13535.901168823242,15334.76099395752,15701.24129486084
PC (48:0),11488.200824737549,13410.900749206545,12926.501121520996,10817.560733795166,11065.880737304688,12201.140956878662
PC (48:2),10285.22076034546,12677.121055603027,12502.680812835692,9989.260753631592,11929.94090270996,11661.500911712646
PC (50:0),13438.50075531006,13969.94102859497,14418.94100189209,11602.560718536375,12778.78087234497,13459.980991363524
PC (52:0),18868.22135925293,18664.961250305176,22769.84172058105,13696.561042785645,16392.781089782715,16944.861045837402
PC (52:4),18289.92113494873,17653.621139526367,20848.901302337646,14428.181037902832,14547.020988464355,14355.881004333496
PCo(32:0),100903.54597473145,146594.51321411133,159424.16957092285,111571.5089416504,126797.08972167967,107714.26741027832
PCo(32:1),102293.32754516602,151826.92991638184,166624.13049316406,117699.41000366212,132077.58947753906,103994.52607727052
PCo(32:2),115222.14743041992,148333.69180297852,182568.5938110352,119977.78857421876,131918.54838562012,107145.34902954102
PCo(32:3),117158.80764770508,158095.20874023438,193576.3326416016,123564.02989196776,146928.55282592773,120484.40840148926
PCo(34:0),925146.2234191896,1852687.4654541016,2026725.0399475095,923844.244934082,1338167.203552246,624256.3402709961
PCo(34:1),949149.4002685548,1760912.4243774414,1925527.985534668,820481.1028442383,1317650.3931274414,604876.1661682129
PCo(34:2),965100.720703125,1720773.7974243164,2050089.9269714355,915578.0911254884,1380044.7407226562,597922.1484375
PCo(34:3),941089.487487793,1863451.4622192385,2106365.666183472,895114.1560974121,1439658.434509277,607939.32421875
PCo(34:4),951606.2817382812,1918888.3306274412,1949466.5006713867,848344.6751708984,1359518.5862426758,638058.7317199707
PCo(36:0),1237980.8333740234,2492148.8572998047,2454141.2727661133,1224182.33694458,2115450.903076172,826958.4130554199
PCo(36:1),1082742.4115600586,2107732.0633239746,2182051.833251953,1189478.0655517578,1928748.401977539,799852.3801574707
PCo(36:2),979597.9373779296,1973464.741882324,1972439.817138672,1051484.2282104492,1948531.9005737305,769776.0961303711
PCo(36:3),1006314.4498901368,2127347.2319335938,2073152.1543273928,1077633.361907959,1876969.492980957,777902.7474060059
PCo(36:4),1042670.462097168,2082454.4313354488,2155597.518081665,1054494.8218688965,1787466.3754882812,763024.9822387695
PCo(36:5),1041972.3598632812,2007265.2786254885,2083047.4833374023,1057023.477294922,1847184.689819336,768952.7524719238
PCo(38:0),1130090.7080078125,1718077.7846069336,2034206.260925293,1006677.7255249023,1783968.7604370115,743222.8057250977
PCo(38:1),1016897.5207824708,1664056.4118652344,1866785.2911376955,911393.517211914,1630573.4774169922,698878.1484985352
PCo(38:2),973374.471496582,1451372.8125,1619342.3543701172,858505.7781066895,1499155.7240600586,621122.8062133789
PCo(38:3),875554.6360778809,1269032.7553710938,1541816.594696045,786657.4370727539,1368704.9093933103,566551.2485351562
PCo(38:4),610657.1733703613,1043193.0126953124,1247938.2658081057,631298.1293640137,1067358.815612793,467129.0551147461
PCo(38:5),410612.0666809082,880924.3504638672,840430.8486633301,485786.6713867188,853854.5473937988,333219.0222167969
PCo(38:6),412889.6215820313,836501.2221984863,832823.8825683594,484760.9694519043,803032.0756530762,313837.1804962158
PCo(40:0),449037.5914611816,822242.0530700684,863831.1792755127,446851.7474975586,804294.6436157227,379370.7162780762
PCo(40:1),616535.3564147949,1027143.005645752,1154353.062286377,549117.5452880859,1020628.5887451172,509997.0986328125
PCo(40:2),913257.0162963868,1242013.5863952637,1439969.0927734375,781185.4982910156,1329442.390258789,618574.9963684082
PCo(40:3),919181.7241210938,1253525.4562072754,1385411.6895446775,765664.1206665039,1280619.318145752,581309.9152526855
PCo(40:4),867473.6683959961,1150633.4737854004,1361350.747009277,711514.7813110352,1167844.3903503418,576533.1907958984
PCo(40:5),846955.3981018066,1139552.556274414,1314595.5085754397,702067.001953125,1144330.5314331057,573049.7410888672
PCo(40:6),835889.0125732422,1148600.1209716797,1247627.129852295,716972.4742431641,1173087.9849853516,560661.8086547852
PCo(42:0),1542779.884765625,1848805.5710449216,1681604.3107910156,1138861.6564941406,1481810.5356445312,1620949.2641601562
PCo(42:1),1587381.870361328,1824431.748046875,1678872.1479492188,1097991.4821777344,1461217.3845214844,1700724.3071289062
PCo(42:2),1506876.7697753906,1734691.7124023438,1612398.7475585938,1098478.69140625,1495724.2109375,1622352.7294921875
PCo(42:3),1498243.858642578,1724539.6611328125,1635620.6096191406,1076259.1706542969,1356985.4189453125,1600434.3193359375
PCo(42:4),1465832.751953125,1678405.2131347656,1581705.375732422,1043177.3681640624,1427728.787109375,1610396.9919433594
PCo(42:6),1443938.6794433594,1649620.0441894531,1565315.9934082031,1061305.9204101562,1400602.956298828,1540962.8637695312
PCo(44:3),117998.84720611572,121635.7879638672,123535.90773010254,70076.98410797119,115491.22969818117,113880.80704498292
PCo(44:4),156022.38800048828,171675.8334197998,157875.05178833008,114464.24765777588,153914.8134841919,169891.09581756592
PCo(44:5),279793.16145324707,307773.6043395996,324050.0294113159,220357.93048095703,274046.05616760254,356923.32371521
PCp(32:4),915933.8500366212,1740186.4307861328,1963846.80065918,892838.2471923828,1286781.946899414,585536.4140319824
