Lipid,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo,Genotype__5xFAD___Brain_Region__hippo
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",862067.712310791,517304.1920166016,595576.9428405762,204358.05494308472,83035.78645706177,482734.01651000977,514852.2113342285,295495.2796020508,571522.3371124268,98115.54702758788
17:1 Cholesteryl ester; 16:1 Campesteryl ester,611723.5156555176,350131.3035583496,446275.3489227295,159345.89164733887,60428.163719177246,346586.8232803345,398959.0480499268,182229.13215637207,539455.1224517822,80697.56628417969
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,597038.2792663574,335558.16551208496,423873.5100250244,151612.76976776123,55816.66398239136,330769.7475128174,378362.88427734375,172700.15437316897,506378.6541099548,74885.58505630493
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",579479.3815917969,415102.8081359863,312724.2644042969,103781.74765777588,79692.8857498169,265665.31997680664,250481.35647583008,273335.97845458984,62059.30449676514,64375.98403930664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",581549.4797363281,415805.8867492676,298301.0598449707,106387.14749145508,80918.7451248169,278562.02059936523,251506.4744873047,265981.2977294922,66287.6245727539,65895.02463531494
18:1 Campesteryl ester,455285.64990234375,356218.5864562988,290367.66189575195,90191.30676269533,66857.70453643799,266465.2412109375,245670.0968322754,280101.3180847168,56779.70411682129,60489.72505187988
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",840616.2183532715,529500.3120422363,600648.3408966064,201127.7946472168,78328.40519714355,498600.83795166016,542809.4772644043,318725.1033630371,552400.2912902832,94015.80750274658
18:3 Campesteryl ester,349060.78579711914,310821.30099487305,245531.99661254883,79602.82596588135,67994.36478424072,237615.17587280276,228000.55624389648,240460.916885376,57197.34386444092,61311.203605651855
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",850813.5699462891,552733.6976013184,620345.5288085938,201715.55276489255,91518.96710586548,507301.7349853516,540377.458404541,337561.1262207031,573815.3596115112,101688.64781570436
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",738547.298828125,590154.2624511719,468987.13415527344,208501.35400390625,149831.62994384766,437464.8122558594,402255.1103515625,402006.4881591797,144071.72985839844,158509.9910888672
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",721592.5570068359,591230.9625244141,457069.5925292969,204910.27416992188,155575.15103149414,431716.41259765625,397131.4901123047,402571.6882324219,148464.85083007812,160089.11193847656
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",1342165.8034667969,1293608.794555664,1232293.98046875,1205931.8406982422,1154733.269897461,1083593.9168701172,1316100.0698242188,1280694.2133789062,1321934.1652832031,1328133.6027832031
20:0 Campesteryl ester,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,726330.0109863281,579660.4241943359,684587.4663085938,186229.012878418,183809.9330444336
20:1 Campesteryl ester,4235422.83215332,2598765.4096679688,1407519.564819336,627173.1862182617,362508.36560058594,711627.2513427734,574620.6032714844,681386.8842773438,190459.41339111328,188184.5531616211
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",741543.9924316406,592514.7603759766,463263.3770751953,213167.83587646484,152485.4100341797,441135.7902832031,413777.4302978516,411261.06884765625,157066.20965576172,160391.5714111328
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",715989.0925292969,571387.8460693359,452535.7111816406,214638.8768310547,156924.85137939453,427770.54821777344,412817.9084472656,404912.9471435547,156799.3109741211,164944.91046142578
20:3 Campesteryl ester,971733.7509765624,796782.5151367188,658286.7297363281,331052.8444213867,359388.5831298828,651394.2424316406,620419.2241210938,818735.2111816406,256280.87823486328,276048.0584716797
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",655990.4508056641,518913.4805908203,402155.2277832031,194882.89279174805,152072.91143798828,364076.984375,342376.0046386719,346876.38415527344,141291.849609375,159077.29052734375
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",739420.5382232666,566264.937713623,449138.75494384766,170348.91171264648,147960.15045166016,386609.8872833252,384790.6307067871,438562.8924407959,131670.3087234497,149449.1901550293
20:5 Cholesteryl ester,1235624.6225280762,995561.273284912,848273.2289733887,289770.3999023437,256014.0956192017,736159.460723877,768196.9700622559,914103.2744140624,243411.83782958984,267082.9399795532
22:0 Campesteryl ester,896566.9890136719,939694.8839035034,509218.2499542236,95272.74718475342,195138.1933746338,340675.8217391968,367210.848815918,477027.76877594,80513.78633880615,67158.64447784424
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",4193570.23059082,2436225.9285354614,1227538.8339004517,487762.71195983887,245699.79766082764,418908.9720458984,288414.3606262207,395202.1464691162,60594.46385574341,54126.38396835327
22:0 Sitosteryl ester,765647.420135498,885845.569229126,525418.6844100952,82712.30665969849,204437.7543678284,362017.368598938,396812.5258102417,498058.5573425293,96923.02661895752,69150.82513046265
22:1 Campesteryl ester,1047875.6008148192,946360.6265792848,542836.6854553223,118994.38879013062,192189.37321090695,338504.9609069824,364372.6840209961,430084.86849212646,86435.68635940552,65307.76513290405
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",4263195.970428467,2450399.517211914,1237139.4935913086,480094.9753990173,260850.21912384036,429962.6456832886,281520.3006362915,380934.2229003906,58387.70426940918,56851.84379959106
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",755514.5677680969,944503.3225631714,491153.4977798462,81157.6648902893,208831.17345809937,360373.44744873047,413555.0725479126,509330.1950759888,100277.56690216064,72650.8650932312
22:2 Campesteryl ester,3415261.498123169,1941418.5549240112,950963.794708252,341881.02141952515,226201.9358673096,310858.8617248535,204018.31434631348,165681.3123474121,55576.944202423096,53085.56405258179
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",743872.3928756714,898655.6136779785,502230.538608551,85175.60606384277,209764.5725975037,343573.86669921875,397247.6654701233,506831.23790740967,93415.8077392578,73798.28538894653
22:3 Campesteryl ester,4006962.4003601074,2313333.353652954,1145395.0406341553,463608.8536758423,215819.47241592407,345234.3631744385,229129.03816223145,175946.43223571777,34748.142459869385,32327.26247024536
22:3 Stigmasteryl ester,723321.4232177734,894071.6810836792,463588.0719909668,83160.50679779053,201195.9746055603,327388.4639663696,372575.8259277344,492436.8146018982,90041.28677749634,63313.0247001648
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",4550953.7470703125,2741932.9650878906,1526239.79296875,680709.7716064453,397991.8699951172,761836.2901611328,625923.0830078125,729867.6760253906,213621.0160522461,221255.75579833984
22:5 Cholesteryl ester,4551026.404541016,2730467.060913086,1502246.861694336,666926.9046630859,385240.2494506836,732844.8115234375,586350.7768554688,696990.0095214844,195039.9539489746,201413.274597168
22:6 Cholesteryl ester,4458070.431640625,2715212.2209472656,1491101.0864257812,645550.1623535156,377736.9682617188,724647.8146972656,589545.1394042969,698972.4873046875,192804.07348632807,194199.51263427731
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",741502.5326538086,901822.6605300904,507127.1789741516,85131.08557891846,202069.635471344,361285.80671310425,415519.5479660034,520013.3414154053,94177.24686813354,72342.84449386597
3-hydroxyarachidonoylcarnitine,1856874.8933105469,2316012.537353516,1997917.2893066409,1784077.2758789062,2009942.3466796875,1654123.5068359375,1856437.095703125,1835111.345703125,1974828.7731933596,1928741.116455078
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",1554010.6118164062,1916138.784423828,1676102.2985839844,1419993.0892333984,1622108.3797607422,1341716.8400878906,1510425.403930664,1495649.9022216797,1594701.9755859375,1617362.8673095703
"3-hydroxylinoleoylcarnitine,",15726473.67578125,17840220.71875,15795650.27294922,23904027.19970703,23345401.69580078,22603931.45800781,12251396.957519531,18552533.94921875,15933776.28515625,14766753.270751951
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",7174074.618164063,7910488.398925781,7254243.041503906,10290363.202148438,10271814.326171877,9503114.80419922,5984358.296875,8369825.224609375,7382732.733886719,7176826.198730469
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",1828917.915527344,1991359.2607421875,1810925.8793945312,1731165.087890625,1800051.0874023438,1629539.580078125,1757365.703125,1789178.2016601562,1834129.7998046875,1957207.7475585935
C12:0,91115.66660308838,71487.16569900513,123507.88874053957,163278.9520263672,470759.61096191406,104670.28729248048,107748.88719940186,55248.80407714844,226448.41662597656,733573.8945007324
C12:1,55532.34419250488,39086.12285614014,61801.26460266113,111234.48831176758,281311.47912597656,59427.54405212402,47843.18366241455,55930.48390197754,110690.90811157228,275200.278503418
C14:0,1170713.64453125,826162.8178710938,1642767.3564453125,1318476.87109375,3246147.341796875,1375814.2526855469,1198648.1489257812,803785.7360839844,2237367.991210937,5189257.805664063
C14:1,676127.4266967773,453576.5722351074,738303.3325195312,866707.7004394531,1378913.4365234375,692347.3874511719,510473.6550292969,717643.2119445801,789669.7750244141,1296562.494140625
C15:0,115329.78874206544,71964.42558288574,126095.18968200684,219580.85522460935,930123.4244384766,110853.68840026855,104234.56735229492,135165.6690979004,220572.2958984375,959959.9842529296
C15:1,224627.8755645752,120627.1275024414,319949.92462158203,382008.1252136231,1273499.8322753906,218629.41493225095,230389.17543029785,456531.76628112793,381341.5670166016,1353371.945678711
C16:0,660947.4272155762,333656.00215148926,657447.0054016113,1526596.5797729492,20384292.18188477,624800.8621520996,669805.5308074951,654285.5855407715,1482021.9129638672,23766001.09558105
C16:1,94007.92626190186,56306.563552856445,99747.12615966795,231847.9754486084,1546353.6267089844,98774.1865310669,93685.54733657835,100888.66667938232,283593.5999450684,1795473.702209473
C17:0,123095.10919189452,70313.40487670898,199605.27545166016,280185.3179626465,2158119.063598633,109237.24765014648,113008.6683807373,117685.1485824585,468309.12911987305,2977794.2908935547
C17:1,70450.06484985352,45439.243103027344,86452.7459564209,128715.72891235352,599384.6622924805,74727.02532958984,58749.38416290283,66817.54458618164,196774.0928955078,634539.8258666992
C18:0,426597.04763793945,219438.0149841309,444225.1284637451,1346389.8979797363,22369922.444458008,431486.0724945069,481663.0949401856,559183.4834899902,1314897.104598999,29269708.84863281
C18:1,88829.32608032227,54966.26390075684,97842.06655883788,174634.31256103516,821000.8999023438,86475.9259185791,70049.16540527344,95522.1665649414,215003.7946777344,955797.8286132812
C18:2,102454.0072479248,57258.20389556885,84487.14624023438,167009.63201904297,1293343.8269042969,82122.78601074219,61532.98417663574,74726.00527954102,478550.4316101074,888503.4256591797
C18:3,64677.52456665039,39599.40270996094,70027.02490234375,114559.92778015137,476275.4567871094,64679.68458557129,49622.28349304199,73251.34510803223,146945.17184448242,630508.348815918
C18:4,49328.70357513428,29003.78202819824,48505.68350219727,73670.14505004883,230079.23529052731,45939.48325347901,34610.88236236572,47726.00343322754,113393.60835266112,277794.69985961914
C19:0,105501.5679321289,66115.86447143555,122316.62759399414,291172.8797149658,3124553.2182617188,107522.60765075684,106849.60803985596,172727.29260253906,337887.06213378906,3021680.8803710938
C20:0,8062.020561218262,7630.060550689697,7644.300556182861,557594.1999511719,5679542.154785156,7639.600532531738,7632.480560302734,7626.580486297607,640342.6439208984,4826514.1572265625
C20:1,8027.760559082031,7921.62052154541,7731.320571899414,114871.64810180664,926097.329284668,7923.400539398193,8118.140605926514,7626.020473480225,174642.3316040039,972171.8549194336
C20:3,99969.18690872192,80306.24538421631,55090.103660583496,419988.68908691406,1269601.508544922,119819.5083770752,109856.02811431883,16166.121063232422,399148.2878417969,1307326.7814941406
C20:4,50165.02364349365,32843.202407836914,54698.72380065918,90197.84600830078,432405.37017822266,52689.32372283936,41338.74296569824,43147.72286987305,112263.48756408691,498975.2778930664
C20:5,115540.4878540039,65532.80462646485,121636.38887023926,228006.81616210935,1827520.5756225584,108170.8678779602,103828.7677230835,132663.90879821777,253791.73818969727,2460101.061950684
C22:0,25602.04180908203,21803.521533966064,28705.34211730957,110343.7876815796,2754172.4453125,28006.301902771,25348.621574401852,29273.24211120605,121045.1097869873,2131818.3259277344
C22:1,15473.281070709229,12471.68091583252,16434.541130065918,55796.564041137695,890322.2864990234,16095.081134796144,14486.260974884031,15778.401134490969,59617.72424316406,628133.1289978027
C22:4,13585.921005249023,11539.5608253479,14676.78102874756,56848.224044799805,306389.14248657227,14879.781059265137,12284.40089416504,14392.44095993042,55334.204010009766,354900.0247192383
C22:5,24488.881816864014,16209.861194610596,27121.201824188232,105347.7876739502,1437332.3403930664,23308.921676635742,21756.861572265625,27038.901977539062,114934.64831542967,1890893.5544433596
C22:6,18355.7612991333,13451.860969543455,22489.261589050293,99266.50688171388,1055587.523071289,18584.421321868896,15957.061100006104,24631.84167098999,123264.62911987305,907260.8684082032
C24:0,12932.640964508057,10754.52074432373,11117.600845336914,29923.922172546387,7642.500549316406,12544.980842590332,11782.680866241457,13331.72099685669,31774.98223876953,7632.960498809814
C24:1,11746.800834655762,11010.84075164795,12209.96086883545,35551.122413635254,7644.420555114746,11679.200820922852,11487.940799713137,10398.340724945068,39565.38287353516,7632.48051071167
C24:5,16507.021045684814,12323.40089416504,14607.021083831787,55844.02407073975,485918.2353820801,16385.72120285034,14604.30101776123,14021.64101409912,53978.32370758057,211407.67669677731
C24:6,14206.14096069336,11297.280799865724,13010.440864562988,47410.3631439209,12029.120834350586,14555.08102798462,13046.480945587158,12623.040897369385,47890.76341247559,9405.680633544922
C26:0,11262.520824432371,9523.680675506592,11716.920848846436,137109.5892944336,438316.8105163574,11075.580814361572,10411.86071395874,11757.96086883545,144820.0300140381,307391.3058013916
C26:1,13209.92092514038,11169.780799865724,13434.56092453003,317575.74237060547,269629.35929870605,13172.680931091309,11357.600788116457,12903.48093032837,318498.86267089844,256768.89825439453
C28:0,12142.860862731934,9420.960674285889,11658.720836639404,120332.64792633057,847453.7762184143,10609.120811462402,11391.780799865724,12365.840843200684,102752.06749725342,703603.0884170532
C30:0,9267.000602722168,8785.460655212402,9111.660633087158,43046.94311141968,1016122.5578269958,9848.900714874268,9254.100723266602,8750.94058227539,30131.32222366333,539501.0548057556
C32:0,8279.020553588867,8031.780574798584,8378.58065032959,19446.521251678467,257569.179523468,8301.440570831299,8228.860591888428,8155.720554351807,17630.981330871582,310046.70194625854
C34:0,11426.660820007324,10093.060779571531,10804.480796813965,33335.762351989746,290302.35802078247,11449.860816955566,11252.540817260742,11072.12080001831,35780.822410583496,372679.3901824951
Cer(d14:1(4E)/20:0(2OH)),54409.42351913452,54645.64340209961,50728.86381530762,43835.36344909668,37801.3228302002,52563.58427429199,54096.90383148193,30687.54201889038,45990.763427734375,41965.62269210816
Cer(d14:1(4E)/20:1(11Z)(2OH)),69546.04397583008,60719.284591674805,67139.00477600098,45686.62314987183,42428.04319763184,67584.02461242676,58871.3048210144,41557.48303604126,48262.5835647583,48459.3034362793
Cer(d14:1(4E)/22:0(2OH)),831213.9127311707,875382.1197280884,1118472.160873413,753600.4520835876,861652.8336791992,841781.1739196777,980350.4079589844,311127.22427749634,929240.5542297364,741314.4466209412
Cer(d14:1(4E)/22:1(13Z)(2OH)),814783.9790306091,830730.0292243958,1072988.9268074036,735649.0568618774,810348.5375366211,821051.284324646,931842.088973999,309750.6650161743,908468.3333282472,711508.3666687012
Cer(d14:1(4E)/24:0(2OH)),120509.0072555542,124601.53079223631,142303.6293106079,99755.16802215576,109442.62785720824,99882.0276298523,129189.51008224487,47814.50333404541,130980.68824005128,121622.80861282349
Cer(d14:1(4E)/26:0(2OH)),548219.8557701111,545936.8158340454,498422.5392913818,686541.7660484314,624075.7287979126,547569.7347183228,415984.18517303467,246990.64037704468,554947.5443344116,513948.6778259277
"Cer(d14:2(4E,6E)/16:0)",45839.003063201904,46005.98302459717,44292.14347839356,36190.38251495361,38377.00252914429,46818.70296859741,49588.86336517334,19355.161197662357,42051.32285308838,43253.82303619385
"Cer(d14:2(4E,6E)/18:0(2OH))",48923.64336776733,52557.204010009766,45784.5831451416,42600.90302276611,37220.92259979248,61421.4045791626,63062.46446990967,22531.921615600582,43069.46284484863,51253.46418762207
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",51354.723876953125,52893.80425262451,46353.64349365234,40620.72269821167,38395.36275482178,59787.84385681152,63734.984855651855,22580.00164413452,44312.84300613403,48335.86357879639
"Cer(d14:2(4E,6E)/18:1(9Z))",46483.00308990479,49152.82313537598,44162.04287338257,38142.242767333984,36365.902759552,44414.04288482666,53788.624282836914,19350.141220092773,42339.84297943115,44629.943309783936
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",63111.80439376831,64800.7843170166,57053.64440155029,48030.46302413941,46778.56330490112,68775.8858718872,68581.12490844727,32032.442337036133,48632.72338485718,54231.623905181885
"Cer(d14:2(4E,6E)/20:1(11Z))",46154.92319107056,45940.5627746582,40110.34262466431,42002.68292236328,34950.58248901367,44958.72314071655,44870.18347167969,22368.04182434082,40291.74254608154,44147.56328582764
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",666556.0680007935,688809.2840270996,832109.2857513428,587652.1475830078,628109.6446151733,599326.9708862305,785916.2691726685,271180.82040405273,716659.3988227844,614121.8733100891
"Cer(d14:2(4E,6E)/24:0(2OH))",133314.73202514648,132916.58863830566,140165.5313796997,117472.408744812,105293.2068901062,114518.38901519775,139430.28848266602,48110.82347488403,126209.33029174805,122196.06798934937
