Lipid,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype_5xFAD__Brain_Region_diencephalon,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex
1-O-tricosanoyl-Cer(d18:1/16:0),42481.76253890991,46389.883586883545,47993.66288375855,85672.64553451538,45309.76321029663,47917.14291381836,44551.78361511231,79700.04627227783,46306.86296844482
1-O-tricosanoyl-Cer(d18:1/18:0),9886.160655975342,11597.380840301514,10146.580741882324,12243.720832824709,8869.920574188232,11874.98077774048,11112.440662384031,11614.500896453856,10037.64073562622
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",4456442.3203125,4906805.72265625,4376553.2001953125,5851287.732910156,5240845.183105469,4612804.606933594,5059683.297363281,5089087.544433594,4672021.863769531
12:0 Cholesteryl ester,197889.75340271,192208.85467529297,196251.07221984863,46403.643058776855,45492.56311035156,206443.9545135498,187842.8329925537,54702.86418151856,53449.14390563965
12:0 Cholesteryl ester_2,188985.39365386963,191529.11226654053,181537.25415039065,43779.26319885254,49127.3635559082,198899.3538360596,189600.5742797852,50913.96357727051,49618.86361312866
14:0 Cholesteryl ester,107592.74710083008,111948.30752563477,95863.90637207033,37085.942611694336,34170.76250457764,107908.76762390137,103784.52690124512,43653.82319641113,49058.56335067749
14:1 Cholesteryl ester,105616.70771789552,114755.32794189452,89815.82641601562,36128.2225151062,35097.92267227173,101516.40711975098,103069.94741821288,42685.24269104004,45816.14336395264
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,344296.18408203125,322049.3430175781,282733.9587402344,111289.70825195312,97976.74700927734,289878.5213623047,287886.201171875,121756.2882385254,94190.34649658205
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,339298.6618652344,310006.2232055664,279367.6589355469,109775.18774414062,90888.4663696289,292477.3010253906,290238.6412353516,120988.00839233398,93845.26657104492
15:0 Cholesteryl ester,266142.63873291016,262806.1593017578,247914.3380126953,100862.94711303712,93542.90643310548,259193.8380126953,259023.73706054688,110598.20782470705,99013.02743530272
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,325613.7829589844,314207.48400878906,285182.6004638672,111228.06823730467,104504.52752685548,296957.74169921875,290135.00103759766,120349.36853027344,108678.26788330078
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,332167.2241210937,320285.1428222656,290290.8615722656,109240.58813476562,110252.7873840332,299675.64099121094,298718.8214111328,121086.38803100586,111295.56848144533
15:1 Cholesteryl ester,268890.8377685547,271941.5600585937,254635.35803222656,99233.0864868164,98567.5069580078,268055.0593261719,267581.09765625,112505.0086364746,97831.46688842772
16:0 Campesteryl ester | 17:0 Cholesteryl ester,599021.1501617432,364204.10803222656,448713.8888244629,151944.7908821106,56299.90330123901,482661.26905822754,230368.095413208,157669.31104660034,44475.38328170776
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,609993.4200134277,360084.2857208252,463799.4299316406,156451.45086669922,55858.1439781189,457017.1744232178,232697.2156829834,162404.1529197693,42214.92322540283
16:2 Campesteryl ester,625300.3235015869,333241.1462402344,437722.5107727051,152684.90951156616,56317.044551849365,468778.7299804688,229844.91590881348,165206.61423492432,43435.38317108154
"16:2 Cholesteryl ester, zymosteryl palmitoleate",318423.20361328125,314303.2229003906,291071.2001953125,108236.02865600586,103669.7276916504,286850.72009277344,293157.0216064453,113731.94830322266,101456.2074584961
16:3 Campesteryl ester,615577.7465820312,344850.82232666016,433388.474029541,157380.9925956726,58418.86434555054,456562.5186233521,217033.97341918945,160582.991481781,41053.32256317139
16:3 Cholesteryl ester,310266.3620605469,293686.3809814453,270211.9997558594,109016.26788330078,102616.72705078124,273550.51916503906,280845.88049316406,118023.78784179688,104182.76788330078
16:3 Stigmasteryl ester,727697.5627822876,427144.43183898926,529747.2166748047,192696.09077453613,87870.18571090698,542890.2322692871,303466.01583862305,177535.57064819336,70479.92538833618
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",855093.6213684082,510967.8601989746,612365.7075805664,204385.9342041016,84979.48628616333,609582.4785461426,339927.88663482666,196164.55129241943,63067.42455291748
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",852660.2135925293,521878.4792175293,601565.9233398438,199647.8141479492,89481.14645385742,612892.9210205078,352186.2632141113,199214.2363128662,66339.54444122314
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",842930.1578979492,510275.13067626953,586323.5788574219,197720.9366455078,81592.54598236084,604201.1010437012,344977.4267883301,195620.6760406494,66619.54499816895
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",862067.712310791,517304.1920166016,595576.9428405762,204358.05494308472,83035.78645706177,601233.5832366943,331640.3845214844,200966.05520629883,63674.6642036438
17:1 Cholesteryl ester; 16:1 Campesteryl ester,611723.5156555176,350131.3035583496,446275.3489227295,159345.89164733887,60428.163719177246,471428.01194763184,218880.09548187256,165967.61249160767,46261.54291534424
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,597038.2792663574,335558.16551208496,423873.5100250244,151612.76976776123,55816.66398239136,460792.76985168457,206078.07276916504,160566.41161346436,45343.34331130981
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",579479.3815917969,415102.8081359863,312724.2644042969,103781.74765777588,79692.8857498169,278488.0610809326,250274.46084594727,88312.66635894775,66861.42481994629
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",581549.4797363281,415805.8867492676,298301.0598449707,106387.14749145508,80918.7451248169,273423.89978027344,259398.0389404297,92443.26620483398,70337.48574829102
18:1 Campesteryl ester,455285.64990234375,356218.5864562988,290367.66189575195,90191.30676269533,66857.70453643799,263904.27825927734,252689.3544921875,82409.8259010315,56984.78404998779
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",840616.2183532715,529500.3120422363,600648.3408966064,201127.7946472168,78328.40519714355,604406.4444274902,375458.106048584,202646.0722885132,67644.66412353516
18:3 Campesteryl ester,349060.78579711914,310821.30099487305,245531.99661254883,79602.82596588135,67994.36478424072,233462.63381958008,232237.91787719727,76780.36492156982,65536.76523590088
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",850813.5699462891,552733.6976013184,620345.5288085938,201715.55276489252,91518.96710586548,619175.6261291504,365628.6613922119,202318.07664489743,71515.98536682129
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",738547.298828125,590154.2624511719,468987.13415527344,208501.35400390625,149831.62994384766,447091.572631836,447873.4123535156,205471.35342407227,140569.51007080078
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",721592.5570068359,591230.9625244141,457069.5925292969,204910.27416992188,155575.15103149414,443882.2932128906,452466.95568847656,199821.99346923828,138753.42993164062
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",1342165.8034667969,1293608.794555664,1232293.98046875,1205931.8406982422,1154733.269897461,1195290.807861328,1194065.662109375,1239282.0832519531,1133090.1042480469
20:0 Campesteryl ester,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,1051954.5400390625,802405.3129882812,404391.10778808594,333963.88360595703
20:1 Campesteryl ester,4235422.83215332,2598765.4096679688,1407519.564819336,627173.1862182617,362508.36560058594,1035268.6345214844,770815.9124755859,390393.90771484375,324425.34533691406
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",741543.9924316406,592514.7603759766,463263.3770751953,213167.83587646484,152485.4100341797,445063.4099121094,438793.0089111328,196959.5145874024,143887.10974121094
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",715989.0925292969,571387.8460693359,452535.7111816406,214638.8768310547,156924.85137939453,442481.4721679688,434864.9537353516,198226.1947631836,142786.26989746094
20:3 Campesteryl ester,971733.7509765624,796782.5151367188,658286.7297363281,331052.8444213867,359388.5831298828,690644.8483886719,670642.0698242188,303552.1791381836,338287.26470947266
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",655990.4508056641,518913.4805908203,402155.2277832031,194882.89279174805,152072.91143798828,373994.6680908203,377226.9892578125,181923.79260253903,143761.37060546875
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",739420.5382232666,566264.937713623,449138.75494384766,170348.91171264648,147960.15045166016,426969.5148162842,402345.11001586914,157411.192817688,135987.24981689453
20:5 Cholesteryl ester,1235624.6225280762,995561.273284912,848273.2289733887,289770.3999023437,256014.0956192017,774021.0893554688,796451.9927368164,261745.4785232544,228661.520111084
22:0 Campesteryl ester,896566.9890136719,939694.8839035034,509218.2499542236,95272.74718475342,195138.1933746338,466218.7146835327,350722.9248352051,96338.56734848022,93248.5464744568
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",4193570.23059082,2436225.9285354614,1227538.8339004517,487762.71195983887,245699.79766082764,760646.4669799805,476102.9566268921,238534.7177581787,214955.03761291504
22:0 Sitosteryl ester,765647.420135498,885845.569229126,525418.6844100952,82712.30665969849,204437.7543678284,485815.2135925293,355294.92652893066,88051.98610305786,102267.82748413086
22:1 Campesteryl ester,1047875.6008148192,946360.6265792848,542836.6854553223,118994.38879013062,192189.37321090692,468357.8101348877,350133.2861633301,110473.78787994383,98551.34607315063
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",4263195.970428467,2450399.517211914,1237139.4935913086,480094.9753990173,260850.2191238404,759511.5723876953,460364.1280517578,238796.4598121643,205046.51355743408
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",755514.5677680969,944503.3225631714,491153.4977798462,81157.6648902893,208831.17345809937,498246.4359283447,359096.9853553772,98792.72665023804,99168.76778030396
22:2 Campesteryl ester,3415261.498123169,1941418.5549240112,950963.794708252,341881.02141952515,226201.9358673096,560526.3181762695,350653.6643676758,191685.9516410828,109390.46683120728
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",743872.3928756714,898655.6136779785,502230.538608551,85175.60606384277,209764.5725975037,469579.57151794434,358588.62020111084,94247.98609542848,99335.6669845581
22:3 Campesteryl ester,4006962.4003601074,2313333.353652954,1145395.0406341553,463608.8536758423,215819.47241592407,665137.4459533691,401060.3264312744,213215.67528152463,110209.54704284668
22:3 Stigmasteryl ester,723321.4232177734,894071.6810836792,463588.0719909668,83160.50679779053,201195.9746055603,469026.6374282837,339874.4802551269,81643.70561981201,92794.06651306152
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",4550953.7470703125,2741932.9650878906,1526239.79296875,680709.7716064453,397991.8699951172,1093322.7568359375,861990.7429199219,423409.3279418945,346047.02673339844
22:5 Cholesteryl ester,4551026.404541016,2730467.060913086,1502246.861694336,666926.9046630859,385240.2494506836,1072980.8911132812,829280.7783203125,412156.6676635742,328844.22247314453
22:6 Cholesteryl ester,4458070.431640625,2715212.2209472656,1491101.0864257812,645550.1623535156,377736.9682617188,1064576.5604248047,808378.1989746094,398871.7492675781,318702.20233154297
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",741502.5326538086,901822.6605300904,507127.1789741516,85131.08557891846,202069.635471344,503115.4162559509,356643.3669662476,87385.58686447144,101842.16680145264
3-hydroxyarachidonoylcarnitine,1856874.8933105469,2316012.537353516,1997917.2893066409,1784077.2758789062,2009942.3466796875,1804854.5581054688,1691555.87109375,1853001.6511230469,1728707.09375
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",1554010.6118164062,1916138.784423828,1676102.2985839844,1419993.0892333984,1622108.3797607422,1483060.986328125,1352919.6352539062,1493629.2587890625,1350391.4493408203
"3-hydroxylinoleoylcarnitine,",15726473.67578125,17840220.71875,15795650.27294922,23904027.19970703,23345401.69580078,16541263.293945312,19619409.79248047,19984253.64794922,20210526.215820312
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",7174074.618164063,7910488.398925781,7254243.041503906,10290363.202148438,10271814.326171877,7377617.71875,8635526.384277344,8777433.122558594,8896624.508789062
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",1828917.915527344,1991359.2607421875,1810925.8793945312,1731165.087890625,1800051.0874023438,1729499.3325195312,1661999.3544921875,1749794.1958007812,1715870.7236328125
C12:0,91115.66660308838,71487.16569900513,123507.88874053957,163278.9520263672,470759.61096191406,102755.98667907716,93574.48696136476,244185.5394592285,502122.9731445313
C12:1,55532.34419250488,39086.12285614014,61801.26460266113,111234.48831176758,281311.47912597656,69150.74453735352,65784.02473449707,113583.0078125,270074.0389404297
C14:0,1170713.64453125,826162.8178710938,1642767.3564453125,1318476.87109375,3246147.341796875,1091242.5759277344,1048398.7133789062,2319769.7622070312,4795566.249511719
C14:1,676127.4266967773,453576.5722351074,738303.3325195312,866707.7004394531,1378913.4365234375,661317.3471069336,726307.5505981445,855747.0192871094,1478801.8356933594
C15:0,115329.78874206544,71964.42558288574,126095.18968200684,219580.85522460932,930123.4244384766,113912.88793945312,117210.58850097656,251196.03927612305,931129.7698974608
C15:1,224627.8755645752,120627.1275024414,319949.92462158203,382008.1252136231,1273499.8322753906,185168.93379211423,236472.4353027344,438494.6328735352,1635409.1970214844
C16:0,660947.4272155762,333656.00215148926,657447.0054016113,1526596.5797729492,20384292.18188477,619029.5606384277,687835.7874755859,1406338.4676513672,21696978.556396484
C16:1,94007.92626190186,56306.563552856445,99747.12615966795,231847.9754486084,1546353.6267089844,92179.58646392822,105333.04737091064,243560.97749328613,1463452.8924560547
C17:0,123095.10919189452,70313.40487670898,199605.27545166016,280185.3179626465,2158119.063598633,119093.28855895996,114860.32844543456,523007.9359741211,2593282.5930786133
C17:1,70450.06484985352,45439.243103027344,86452.7459564209,128715.72891235352,599384.6622924805,72961.54518127441,76476.34498596191,163386.79238891602,602982.5654296875
C18:0,426597.04763793945,219438.0149841309,444225.1284637451,1346389.8979797363,22369922.444458008,398423.98794555664,453710.31283569336,1195170.1613769531,26822640.43395996
C18:1,88829.32608032227,54966.26390075684,97842.06655883788,174634.31256103516,821000.8999023438,88351.62602233887,93067.82656860352,184608.3336181641,910963.5828857422
C18:2,102454.0072479248,57258.20389556885,84487.14624023438,167009.63201904297,1293343.8269042969,80750.52571105957,80072.3256072998,197827.17599487305,1277089.952209473
C18:3,64677.52456665039,39599.40270996094,70027.02490234375,114559.92778015137,476275.4567871094,66972.42492675781,68185.1443939209,135642.82958984375,536904.0774536133
C18:4,49328.70357513428,29003.78202819824,48505.68350219727,73670.14505004883,230079.2352905273,43943.263092041016,46511.78314208984,80847.46586608887,251535.9575805664
C19:0,105501.5679321289,66115.86447143555,122316.62759399414,291172.8797149658,3124553.2182617188,102223.66697692873,123433.24899291992,317191.9226989746,3241307.137573242
C20:0,8062.020561218262,7630.060550689697,7644.300556182861,557594.1999511719,5679542.154785156,7622.380481719971,7634.660541534424,577442.6827392578,5042129.390625
C20:1,8027.760559082031,7921.62052154541,7731.320571899414,114871.64810180664,926097.329284668,8123.340503692627,7784.100551605225,143522.9499053955,726845.827331543
C20:3,99969.18690872192,80306.24538421631,55090.103660583496,419988.68908691406,1269601.508544922,100316.60711288452,65319.744525909424,381163.126953125,2196692.3862304688
C20:4,50165.02364349365,32843.202407836914,54698.72380065918,90197.84600830078,432405.37017822266,49491.54354095459,50602.823654174805,107660.04711914062,532156.9182739258
C20:5,115540.4878540039,65532.80462646485,121636.38887023926,228006.81616210932,1827520.5756225584,104081.4468536377,119114.4077758789,188144.5343933105,1995148.889770508
C22:0,25602.04180908203,21803.521533966064,28705.34211730957,110343.7876815796,2754172.4453125,26651.96194076538,29380.08205795288,122871.94790649414,2416250.2287597656
C22:1,15473.281070709229,12471.68091583252,16434.541130065918,55796.564041137695,890322.2864990234,15641.161060333252,16140.621116638184,62404.16464996338,521649.2957458496
C22:4,13585.921005249023,11539.5608253479,14676.78102874756,56848.224044799805,306389.14248657227,14814.021087646484,14614.961017608644,59904.44418334961,317976.7225036621
C22:5,24488.881816864014,16209.861194610596,27121.201824188232,105347.7876739502,1437332.3403930664,22982.461685180664,25691.161811828613,116665.22760009766,1596640.9282836914
C22:6,18355.7612991333,13451.860969543455,22489.261589050293,99266.50688171388,1055587.523071289,19093.52132797241,23184.56167602539,112179.4280090332,852127.6811523438
C24:0,12932.640964508057,10754.52074432373,11117.600845336914,29923.922172546387,7642.500549316406,12422.880878448486,11962.540851593018,35576.462577819824,7630.560523986816
C24:1,11746.800834655762,11010.84075164795,12209.96086883545,35551.122413635254,7644.420555114746,12050.7808303833,10972.920818328856,44909.34334564209,7631.160537719727
C24:5,16507.021045684814,12323.40089416504,14607.021083831787,55844.02407073975,485918.2353820801,15964.541080474854,15109.661087036133,57000.02405548096,279655.6807937622
C24:6,14206.14096069336,11297.280799865724,13010.440864562988,47410.3631439209,12029.120834350586,14724.921058654783,13442.360980987549,59095.50420379639,10546.140739440918
C26:0,11262.520824432371,9523.680675506592,11716.920848846436,137109.5892944336,438316.8105163574,11362.400802612305,11605.460834503174,141754.75018310547,285523.23933410645
C26:1,13209.92092514038,11169.780799865724,13434.56092453003,317575.74237060547,269629.35929870605,12157.14087677002,13665.620986938477,316193.8034362793,231233.61688232425
C28:0,12142.860862731934,9420.960674285889,11658.720836639404,120332.64792633057,847453.7762184143,12676.12088394165,11160.080825805664,126774.08838272096,620624.3272666931
C30:0,9267.000602722168,8785.460655212402,9111.660633087158,43046.94311141968,1016122.5578269958,10177.460697174072,9409.78065109253,41076.242710113525,529046.6750564575
C32:0,8279.020553588867,8031.780574798584,8378.58065032959,19446.521251678467,257569.179523468,8342.200553894043,8305.340579986572,18470.46129226685,221910.69500732425
C34:0,11426.660820007324,10093.060779571531,10804.480796813965,33335.762351989746,290302.35802078247,10987.320747375488,10485.220756530762,37137.482566833496,288275.72148895264
Cer(d14:1(4E)/20:0(2OH)),54409.42351913452,54645.64340209961,50728.86381530762,43835.36344909668,37801.3228302002,65684.10403442383,56412.82353210449,50969.50338745117,54219.64370346069
Cer(d14:1(4E)/20:1(11Z)(2OH)),69546.04397583008,60719.284591674805,67139.00477600098,45686.62314987183,42428.04319763184,75295.0057220459,83777.5252609253,53569.9035949707,57841.424072265625
Cer(d14:1(4E)/22:0(2OH)),831213.9127311707,875382.1197280884,1118472.160873413,753600.4520835876,861652.8336791992,911247.462272644,727587.9548797607,769543.5727767944,733670.8095359802
Cer(d14:1(4E)/22:1(13Z)(2OH)),814783.9790306091,830730.0292243958,1072988.9268074036,735649.0568618774,810348.5375366211,888279.2268104553,705025.3226394653,757077.0777130127,704754.9338684082
Cer(d14:1(4E)/24:0(2OH)),120509.0072555542,124601.53079223631,142303.6293106079,99755.16802215576,109442.62785720824,123345.10816192628,111052.08710479736,113664.52755737305,110666.2273902893
Cer(d14:1(4E)/26:0(2OH)),548219.8557701111,545936.8158340454,498422.5392913818,686541.7660484314,624075.7287979126,553499.0198974609,593033.5422821045,560405.2588539124,581617.4612426758
"Cer(d14:2(4E,6E)/16:0)",45839.003063201904,46005.98302459717,44292.14347839356,36190.38251495361,38377.00252914429,43207.30297088623,39822.06280136109,43469.96287918091,37170.0026550293
"Cer(d14:2(4E,6E)/18:0(2OH))",48923.64336776733,52557.204010009766,45784.5831451416,42600.90302276611,37220.92259979248,50858.54306793213,50843.64400482178,53326.20362854004,44659.78339385986
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",51354.723876953125,52893.80425262451,46353.64349365234,40620.72269821167,38395.36275482178,50410.30330657959,43815.66324615479,48934.04312133789,45444.203437805176
"Cer(d14:2(4E,6E)/18:1(9Z))",46483.00308990479,49152.82313537598,44162.04287338257,38142.242767333984,36365.902759552,47856.023151397705,45633.46314239502,50257.743576049805,35887.10263442993
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",63111.80439376831,64800.7843170166,57053.64440155029,48030.46302413941,46778.56330490112,74884.54563903809,59851.26445770264,61635.56430435181,59431.08422088623
"Cer(d14:2(4E,6E)/20:1(11Z))",46154.92319107056,45940.5627746582,40110.34262466431,42002.68292236328,34950.58248901367,46237.92321777344,42028.843044281006,46365.96300125122,36962.0428314209
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",666556.0680007935,688809.2840270996,832109.2857513428,587652.1475830078,628109.6446151733,711966.7505493164,610751.699596405,620138.5299377441,580191.3209991455
"Cer(d14:2(4E,6E)/24:0(2OH))",133314.73202514648,132916.58863830566,140165.5313796997,117472.408744812,105293.2068901062,130536.80955505373,108461.3470954895,130636.9496498108,112089.08768463136
"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",549434.6729736328,572129.3027954102,669993.2951049805,500433.3950805664,545798.8641357422,614847.6120605469,514617.9124145508,503404.5989379883,494670.7143554688
"Cer(d16:2(4E,6E)/24:0(2OH))",149202.49026489258,142789.84912109375,150103.8106689453,139065.60968017578,131549.90896606445,142184.78930664062,141723.1703491211,142645.58950805664,133046.96920776367
Cer(d18:0/14:0),71597.4246673584,75585.72505187988,67996.16540527344,64700.82482147217,67962.92486572266,69678.10508728027,68727.40532684326,72194.92471313477,66011.90441894531
Cer(d18:0/16:0(2OH)),154019.81134033203,171576.25219726562,165317.25094604492,141531.23001098633,137383.86883544922,153011.21069335938,127287.80834960938,152874.5906982422,161880.13189697266
Cer(d18:0/16:0),114807.12731933594,119714.32794189452,107024.56784057616,107434.6078338623,109708.40719604492,113375.0082397461,110499.50741577148,114675.30766296388,107880.2878112793
Cer(d18:0/18:0(2OH)),124009.58905029295,135284.02868652344,124648.80946350098,155196.55114746094,113348.38793945312,121464.8078918457,104212.64819335938,161638.29013061523,118237.508102417
Cer(d18:0/18:0),149866.86961364746,169939.79206848145,142915.3690185547,176109.0739440918,142564.34927368164,157739.89166259766,132191.7696533203,181541.2541656494,136283.30877685547
Cer(d18:0/20:0(2OH)),179042.31350708008,209022.03158569336,175718.0521850586,202696.79278564453,188027.59396362305,202125.3351135254,162531.37170410156,218093.05740356445,190188.01220703125
Cer(d18:0/20:0),121279.4480895996,147107.85131835938,123406.50936889648,136542.16931152344,130466.98989868164,132555.86972045898,108238.1477355957,140808.33010864258,118345.74819946288
Cer(d18:0/22:0(2OH)),2288377.225036621,2502356.308288574,3017023.4556274414,2053075.6171875,2232318.895568848,2399728.389160156,2281492.40814209,2147129.334777832,2171286.031738281
Cer(d18:0/22:0),165498.09057617188,185307.2530822754,158184.9312133789,191777.2720336914,160124.87182617188,181953.27249145508,149522.72943115234,202511.11181640625,178534.01141357422
Cer(d18:0/24:0),2445793.439575196,2662189.094848633,3124762.6466674805,2164630.489074707,2318535.864135742,2515717.0775146484,2448334.5513916016,2276263.2356567383,2299914.916625977
