Lipid,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",426969.5148162842,402345.11001586914,157411.192817688,135987.24981689453,348037.0646057129,402231.2696151733,144343.5308227539
20:5 Cholesteryl ester,774021.0893554688,796451.9927368164,261745.4785232544,228661.520111084,719790.7917480469,810821.262512207,246523.35818481445
22:0 Campesteryl ester,466218.7146835327,350722.9248352051,96338.56734848022,93248.5464744568,526033.4529647827,384554.50311279297,71315.94483184814
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",760646.4669799805,476102.9566268921,238534.7177581787,214955.03761291504,636603.4621429443,524705.1521759033,114199.28704071043
22:0 Sitosteryl ester,485815.2135925293,355294.92652893066,88051.98610305786,102267.82748413086,561003.0242385864,421927.3472900391,79683.76554870605
22:1 Campesteryl ester,468357.8101348877,350133.2861633301,110473.78787994383,98551.34607315063,479712.1131286621,395492.0505371094,70321.82493591309
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",759511.5723876953,460364.1280517578,238796.4598121643,205046.51355743408,631755.8412628174,508749.6130981445,112743.7882270813
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",498246.4359283447,359096.9853553772,98792.72665023804,99168.76778030396,568701.699710846,423679.4720993042,84803.34576416016
22:2 Campesteryl ester,560526.3181762695,350653.6643676758,191685.9516410828,109390.46683120728,289210.3822784424,381027.0474014282,70477.46474456787
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",469579.57151794434,358588.62020111084,94247.98609542848,99335.6669845581,558193.1280670166,415441.63109588623,78620.56488800049
22:3 Campesteryl ester,665137.4459533691,401060.3264312744,213215.67528152463,110209.54704284668,353298.22665405273,449166.6716766357,60358.8840713501
22:3 Stigmasteryl ester,469026.6374282837,339874.4802551269,81643.70561981201,92794.06651306152,511923.66984558105,404606.4286499024,73503.32471084595
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",1093322.7568359375,861990.7429199219,423409.3279418945,346047.02673339844,1016566.2236328124,848434.1008300781,253103.3198852539
22:5 Cholesteryl ester,1072980.8911132812,829280.7783203125,412156.6676635742,328844.22247314453,964189.7916259766,834771.65625,240096.01763916016
22:6 Cholesteryl ester,1064576.5604248047,808378.1989746094,398871.7492675781,318702.20233154297,964544.3095703124,816056.55078125,238869.7992553711
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",503115.4162559509,356643.3669662476,87385.58686447144,101842.16680145264,578703.7203903198,439196.2760467529,80810.02714920044
3-hydroxyarachidonoylcarnitine,1804854.5581054688,1691555.87109375,1853001.6511230469,1728707.09375,2006010.538330078,1782707.8674316406,1758179.811767578
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",1483060.986328125,1352919.6352539062,1493629.2587890625,1350391.4493408203,1648205.6264648438,1463896.3289794922,1432335.53125
"3-hydroxylinoleoylcarnitine,",16541263.293945312,19619409.79248047,19984253.64794922,20210526.215820312,10761649.6015625,18211508.875,15035135.946289062
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",7377617.71875,8635526.384277344,8777433.122558594,8896624.508789062,5162313.787597656,8139380.811523437,7055534.583984375
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",1729499.3325195312,1661999.3544921875,1749794.1958007812,1715870.7236328125,1759514.2299804688,1749869.0766601562,1744912.2163085938
C12:0,102755.98667907716,93574.48696136476,244185.5394592285,502122.9731445313,65259.664710998535,109801.30871582033,710519.4306640625
C12:1,69150.74453735352,65784.02473449707,113583.0078125,270074.0389404297,47108.70352172852,62049.54445648193,287798.99993896484
C14:0,1091242.5759277344,1048398.7133789062,2319769.7622070312,4795566.249511719,898529.0009765625,1279555.7036132812,6963518.0693359375
C14:1,661317.3471069336,726307.5505981445,855747.0192871094,1478801.8356933594,594265.6606445312,717026.0707397461,1435120.964111328
C15:0,113912.88793945312,117210.58850097656,251196.03927612305,931129.7698974608,115030.28819274902,121836.94915771484,1090235.3614501953
C15:1,185168.93379211423,236472.4353027344,438494.6328735352,1635409.1970214844,296673.09677124023,235542.77764892572,1655150.7130126953
C16:0,619029.5606384277,687835.7874755859,1406338.4676513672,21696978.556396484,520237.87005615234,682099.9892883301,23354211.7565918
C16:1,92179.58646392822,105333.04737091064,243560.97749328613,1463452.8924560547,83028.24620056152,98844.3080368042,1805586.1708984373
C17:0,119093.28855895996,114860.32844543456,523007.9359741211,2593282.5930786133,106294.46714782716,139662.78958129883,3071493.1654663086
C17:1,72961.54518127441,76476.34498596191,163386.79238891602,602982.5654296875,64310.14447784424,78449.80569458008,573275.8400878906
C18:0,398423.98794555664,453710.31283569336,1195170.1613769531,26822640.43395996,331727.46364593506,427606.13441467285,23530379.48803711
C18:1,88351.62602233887,93067.82656860352,184608.3336181641,910963.5828857422,76538.52537536621,90479.36639404295,855011.8403320312
C18:2,80750.52571105957,80072.3256072998,197827.17599487305,1277089.952209473,67781.42481994629,83346.18618774414,652463.1795043945
C18:3,66972.42492675781,68185.1443939209,135642.82958984375,536904.0774536133,60280.80438232422,69524.76458740234,556984.080871582
C18:4,43943.263092041016,46511.78314208984,80847.46586608887,251535.9575805664,42168.5029296875,53779.40366363525,254400.53790283203
C19:0,102223.66697692873,123433.24899291992,317191.9226989746,3241307.137573242,110576.26768493652,109783.32733154295,2606082.5446777344
C20:0,7622.380481719971,7634.660541534424,577442.6827392578,5042129.390625,7604.120532989502,7639.580585479736,3456997.7758789062
C20:1,8123.340503692627,7784.100551605225,143522.9499053955,726845.827331543,8003.260551452637,7914.660617828369,751014.5116577148
C20:3,100316.60711288452,65319.744525909424,381163.126953125,2196692.3862304688,136979.38968658447,108870.46718978882,1641727.3037109375
C20:4,49491.54354095459,50602.823654174805,107660.04711914062,532156.9182739258,43572.74293518066,54842.16376495361,596100.1388549805
C20:5,104081.4468536377,119114.4077758789,188144.5343933105,1995148.889770508,87672.50679016113,105897.68690490724,1976678.9348754885
C22:0,26651.96194076538,29380.08205795288,122871.94790649414,2416250.2287597656,23399.06170654297,28800.42206192017,1611712.4611816406
C22:1,15641.161060333252,16140.621116638184,62404.16464996338,521649.2957458496,15650.301082611084,15731.241065979004,473792.9331970215
C22:4,14814.021087646484,14614.961017608644,59904.44418334961,317976.7225036621,13860.760997772217,14972.061054229736,341043.86407470703
C22:5,22982.461685180664,25691.161811828613,116665.22760009766,1596640.9282836914,21134.02146530152,23460.461711883545,1641801.1001586914
C22:6,19093.52132797241,23184.56167602539,112179.4280090332,852127.6811523438,17106.52126312256,19049.58134841919,778891.28515625
C24:0,12422.880878448486,11962.540851593018,35576.462577819824,7630.560523986816,11934.700847625732,12840.300930023192,7647.160579681396
C24:1,12050.7808303833,10972.920818328856,44909.34334564209,7631.160537719727,11565.220832824709,11653.540878295898,7644.080593109131
C24:5,15964.541080474854,15109.661087036133,57000.02405548096,279655.6807937622,15738.401149749756,15673.68117904663,624001.2620849609
C24:6,14724.921058654783,13442.360980987549,59095.50420379639,10546.140739440918,14481.600986480713,14948.381107330322,354402.948135376
C26:0,11362.400802612305,11605.460834503174,141754.75018310547,285523.23933410645,11094.560760498049,11749.080814361572,286680.2801055908
C26:1,12157.14087677002,13665.620986938477,316193.8034362793,231233.61688232425,11862.660820007324,13194.920936584473,254328.7173461914
C28:0,12676.12088394165,11160.080825805664,126774.08838272096,620624.3272666931,10795.200824737549,12089.440864562988,921608.5438575743
C30:0,10177.460697174072,9409.78065109253,41076.242710113525,529046.6750564575,8692.980613708496,10072.56076812744,626821.5882339478
C32:0,8342.200553894043,8305.340579986572,18470.46129226685,221910.69500732425,8103.960582733154,8386.080642700195,279200.08086013794
C34:0,10987.320747375488,10485.220756530762,37137.482566833496,288275.72148895264,10494.02073287964,11146.400840759276,343453.66204071045
Cer(d14:1(4E)/20:0(2OH)),65684.10403442383,56412.82353210449,50969.50338745117,54219.64370346069,83618.00576019287,56527.96408843994,46970.323123931885
Cer(d14:1(4E)/20:1(11Z)(2OH)),75295.0057220459,83777.5252609253,53569.9035949707,57841.424072265625,100976.027053833,82429.40523529053,51607.24343109131
Cer(d14:1(4E)/22:0(2OH)),911247.462272644,727587.9548797607,769543.5727767944,733670.8095359802,1045563.1411705016,763571.8783416748,861684.1185417175
Cer(d14:1(4E)/22:1(13Z)(2OH)),888279.2268104553,705025.3226394653,757077.0777130127,704754.9338684082,1003306.6694641112,741190.4307861328,843862.0259208679
Cer(d14:1(4E)/24:0(2OH)),123345.10816192628,111052.08710479736,113664.52755737305,110666.2273902893,138482.29209136963,114983.2476234436,123675.88765716551
Cer(d14:1(4E)/26:0(2OH)),553499.0198974609,593033.5422821045,560405.2588539124,581617.4612426758,378687.4689025879,567803.4783248901,491750.2019920349
"Cer(d14:2(4E,6E)/16:0)",43207.30297088623,39822.06280136109,43469.96287918091,37170.0026550293,36569.24269104004,40826.863262176514,45688.54325866699
"Cer(d14:2(4E,6E)/18:0(2OH))",50858.54306793213,50843.64400482178,53326.20362854004,44659.78339385986,41047.64293670654,47052.38296890259,48682.6035194397
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",50410.30330657959,43815.66324615479,48934.04312133789,45444.203437805176,38364.822425842285,48749.98352813721,50730.00401306152
"Cer(d14:2(4E,6E)/18:1(9Z))",47856.023151397705,45633.46314239502,50257.743576049805,35887.10263442993,36269.4024810791,43792.20291900635,46969.46282958984
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",74884.54563903809,59851.26445770264,61635.56430435181,59431.08422088623,68681.84567260742,62161.22441101074,60019.683948516846
"Cer(d14:2(4E,6E)/20:1(11Z))",46237.92321777344,42028.843044281006,46365.96300125122,36962.0428314209,39970.34275054932,46920.56356430054,42009.102840423584
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",711966.7505493164,610751.699596405,620138.5299377441,580191.3209991455,801460.8133850098,602502.0379333496,671283.4963188171
"Cer(d14:2(4E,6E)/24:0(2OH))",130536.80955505373,108461.3470954895,130636.9496498108,112089.08768463136,126944.5873184204,128125.5679473877,136392.7901649475
"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",614847.6120605469,514617.9124145508,503404.5989379883,494670.7143554688,660388.5580444336,509987.1778259277,532292.3584594727
