Lipid,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region__diencephalon,Brain_Region__diencephalon,Brain_Region__diencephalon,Brain_Region__diencephalon,Brain_Region__diencephalon,Brain_Region__diencephalon,Brain_Region__diencephalon,Brain_Region__diencephalon
CerP(d18:1/2:0),78310.10557556152,81996.7264251709,87536.06591796875,78514.5859375,80685.2452545166,78275.96561431885,73171.8849105835,83003.98606109619,76570.36514282227,78236.74575042725,77440.2847290039,77741.66497802734,87621.36699676514,83306.0661315918,61959.42440032959
CerP(d18:1/8:0),193493.39218139648,50290.66339874268,57364.64366531372,52068.70327377319,45144.32292175293,87236.04597473145,66779.88539123535,46514.703578948975,46432.32344055176,52125.743896484375,53584.103675842285,49922.343490600586,48419.82300567627,49027.083404541016,49612.22328948975
Cholesteryl 11-hydroperoxy-eicosatetraenoate | CE(22:2) | 20:1 Stigmasteryl ester | 20:2 Sitosteryl ester,631113.1820526123,785230.433883667,486303.7544708252,519931.7783508301,242612.57849502563,212423.1340522766,111592.80855560304,508719.3950653076,4335094.217636108,2424601.445907593,1214155.489013672,431463.2315979004,473240.09295654297,260224.8973274231,140062.0503730774
Cholesteryl nitrolinoleate,916999.603881836,1035345.849609375,787725.51953125,793275.0352783203,392853.3888854981,329565.4995727539,235085.15655517575,763013.3603515625,4343857.308349609,2643083.2318115234,1497477.1091308594,696839.2486572266,648281.0699462891,371760.6458129883,257479.65899658203
"Docosa-4,7,10,13,16-pentaenoyl carnitine | Clupanodonyl carnitine",1322355.9704589844,1261723.3449707031,1111369.9838867188,1216073.9246826172,1258329.4942626953,1109793.9830322266,1198193.4553222656,1131896.9448242188,1282508.1748046875,1568286.4035644531,1336119.8891601562,1069884.9743652344,1163869.4793701172,1387507.767944336,1345452.6511230469
FA(12:0),65259.664710998535,102755.98667907716,93574.48696136476,109801.30871582033,244185.5394592285,502122.9731445313,710519.4306640625,69178.10479736328,91115.66660308838,71487.16569900513,123507.88874053957,89496.72622680664,163278.9520263672,470759.61096191406,807750.4308166504
FA(12:1),47108.70352172852,69150.74453735352,65784.02473449707,62049.54445648193,113583.0078125,270074.0389404297,287798.99993896484,54428.58346557617,55532.34419250488,39086.12285614014,61801.26460266113,68969.32496643066,111234.48831176758,281311.47912597656,320718.3243408203
FA(14:0),898529.0009765625,1091242.5759277344,1048398.7133789062,1279555.7036132812,2319769.7622070312,4795566.249511719,6963518.0693359375,797848.4155273438,1170713.64453125,826162.8178710938,1642767.3564453125,1038947.3747558594,1318476.87109375,3246147.341796875,6086357.071289063
FA(14:1),594265.6606445312,661317.3471069336,726307.5505981445,717026.0707397461,855747.0192871094,1478801.8356933594,1435120.964111328,615082.2641601562,676127.4266967773,453576.5722351074,738303.3325195312,682291.145690918,866707.7004394531,1378913.4365234375,1603733.1870117188
FA(15:0),115030.28819274902,113912.88793945312,117210.58850097656,121836.94915771484,251196.03927612305,931129.7698974608,1090235.3614501953,110539.58795166016,115329.78874206544,71964.42558288574,126095.18968200684,123724.40884399414,219580.85522460935,930123.4244384766,1152721.5948486328
FA(15:1),296673.09677124023,185168.93379211423,236472.4353027344,235542.77764892575,438494.6328735352,1635409.1970214844,1655150.7130126953,210501.9548339844,224627.8755645752,120627.1275024414,319949.92462158203,202034.65341186523,382008.1252136231,1273499.8322753906,1514256.1926269531
FA(16:0),520237.87005615234,619029.5606384277,687835.7874755859,682099.9892883301,1406338.4676513672,21696978.556396484,23354211.7565918,529921.4750976562,660947.4272155762,333656.00215148926,657447.0054016113,620287.5859985352,1526596.5797729492,20384292.18188477,24158374.688964844
FA(16:1),83028.24620056152,92179.58646392822,105333.04737091064,98844.3080368042,243560.97749328613,1463452.8924560547,1805586.1708984373,86202.68649291992,94007.92626190186,56306.563552856445,99747.12615966795,91125.6865158081,231847.9754486084,1546353.6267089844,2158698.156677246
FA(17:0),106294.46714782716,119093.28855895996,114860.32844543456,139662.78958129883,523007.9359741211,2593282.5930786133,3071493.1654663086,100422.14749145508,123095.10919189452,70313.40487670898,199605.27545166016,122047.9882965088,280185.3179626465,2158119.063598633,2972810.925720215
FA(17:1),64310.14447784424,72961.54518127441,76476.34498596191,78449.80569458008,163386.79238891602,602982.5654296875,573275.8400878906,61690.26426696777,70450.06484985352,45439.243103027344,86452.7459564209,74057.78514099121,128715.72891235352,599384.6622924805,625535.0833129883
FA(18:0),331727.46364593506,398423.98794555664,453710.31283569336,427606.13441467285,1195170.1613769531,26822640.43395996,23530379.48803711,352334.68466186523,426597.04763793945,219438.0149841309,444225.1284637451,399402.2286453247,1346389.8979797363,22369922.444458008,22949736.43359375
FA(18:1),76538.52537536621,88351.62602233887,93067.82656860352,90479.36639404295,184608.3336181641,910963.5828857422,855011.8403320312,82890.0258178711,88829.32608032227,54966.26390075684,97842.06655883788,86888.56616210938,174634.31256103516,821000.8999023438,954833.6274414062
FA(18:2),67781.42481994629,80750.52571105957,80072.3256072998,83346.18618774414,197827.17599487305,1277089.952209473,652463.1795043945,70807.24513244629,102454.0072479248,57258.20389556885,84487.14624023438,76265.94551086426,167009.63201904297,1293343.8269042969,719817.4752197266
FA(18:3),60280.80438232422,66972.42492675781,68185.1443939209,69524.76458740234,135642.82958984375,536904.0774536133,556984.080871582,64590.524490356445,64677.52456665039,39599.40270996094,70027.02490234375,63170.42427062988,114559.92778015137,476275.4567871094,639759.1867675781
FA(18:4),42168.5029296875,43943.263092041016,46511.78314208984,53779.40366363525,80847.46586608887,251535.9575805664,254400.53790283203,46533.32337188721,49328.70357513428,29003.78202819824,48505.68350219727,43442.8631439209,73670.14505004883,230079.23529052731,297272.72036743164
FA(19:0),110576.26768493652,102223.66697692873,123433.24899291992,109783.32733154295,317191.9226989746,3241307.137573242,2606082.5446777344,98136.66693115234,105501.5679321289,66115.86447143555,122316.62759399414,111588.76774597168,291172.8797149658,3124553.2182617188,2496712.6459960938
FA(20:0),7604.120532989502,7622.380481719971,7634.660541534424,7639.580585479736,577442.6827392578,5042129.390625,3456997.7758789062,7596.040508270264,8062.020561218262,7630.060550689697,7644.300556182861,7619.42049407959,557594.1999511719,5679542.154785156,3588110.912597656
FA(20:1),8003.260551452637,8123.340503692627,7784.100551605225,7914.660617828369,143522.9499053955,726845.827331543,751014.5116577148,8022.220550537109,8027.760559082031,7921.62052154541,7731.320571899414,7994.180530548096,114871.64810180664,926097.329284668,840781.7383422852
FA(20:3),136979.38968658447,100316.60711288452,65319.744525909424,108870.46718978882,381163.126953125,2196692.3862304688,1641727.3037109375,91157.68614196776,99969.18690872192,80306.24538421631,55090.103660583496,103897.3074798584,419988.68908691406,1269601.508544922,1108946.6127929688
FA(20:4),43572.74293518066,49491.54354095459,50602.823654174805,54842.16376495361,107660.04711914062,532156.9182739258,596100.1388549805,46574.74308776856,50165.02364349365,32843.202407836914,54698.72380065918,53875.42372894287,90197.84600830078,432405.37017822266,525532.2166137695
FA(20:5),87672.50679016113,104081.4468536377,119114.4077758789,105897.68690490724,188144.53439331052,1995148.889770508,1976678.9348754885,95898.60676574708,115540.4878540039,65532.80462646485,121636.38887023926,99464.44665527344,228006.81616210935,1827520.5756225584,2234795.3063964844
FA(22:0),23399.06170654297,26651.96194076538,29380.08205795288,28800.42206192017,122871.94790649414,2416250.2287597656,1611712.4611816406,26260.50191116333,25602.04180908203,21803.521533966064,28705.34211730957,25082.26183319092,110343.7876815796,2754172.4453125,1738271.1184082031
FA(22:1),15650.301082611084,15641.161060333252,16140.621116638184,15731.241065979004,62404.16464996338,521649.2957458496,473792.9331970215,15058.681056976318,15473.281070709229,12471.68091583252,16434.541130065918,15180.181098937988,55796.564041137695,890322.2864990234,562976.8242797852
FA(22:4),13860.760997772217,14814.021087646484,14614.961017608644,14972.061054229736,59904.44418334961,317976.7225036621,341043.86407470703,14099.04095840454,13585.921005249023,11539.5608253479,14676.78102874756,14168.140979766846,56848.224044799805,306389.14248657227,407576.4501953125
FA(22:5),21134.021465301517,22982.461685180664,25691.161811828613,23460.461711883545,116665.22760009766,1596640.9282836914,1641801.1001586914,22931.98175811768,24488.881816864014,16209.861194610596,27121.201824188232,24359.44175720215,105347.7876739502,1437332.3403930664,1739447.8699951172
FA(22:6),17106.52126312256,19093.52132797241,23184.56167602539,19049.58134841919,112179.4280090332,852127.6811523438,778891.28515625,17181.101203918457,18355.7612991333,13451.860969543455,22489.261589050293,17762.741245269775,99266.50688171388,1055587.523071289,826280.32421875
FA(24:0),11934.700847625732,12422.880878448486,11962.540851593018,12840.300930023192,35576.462577819824,7630.560523986816,7647.160579681396,12339.840816497805,12932.640964508057,10754.52074432373,11117.600845336914,11470.440799713137,29923.922172546387,7642.500549316406,7645.300586700439
FA(24:1),11565.220832824709,12050.7808303833,10972.920818328856,11653.540878295898,44909.34334564209,7631.160537719727,7644.080593109131,11309.860774993896,11746.800834655762,11010.84075164795,12209.96086883545,12344.300842285156,35551.122413635254,7644.420555114746,7645.220573425293
FA(24:5),15738.401149749756,15964.541080474854,15109.661087036133,15673.68117904663,57000.02405548096,279655.6807937622,624001.2620849609,15465.401084899902,16507.021045684814,12323.40089416504,14607.021083831787,16131.00112915039,55844.02407073975,485918.2353820801,714886.6081542969
FA(24:6),14481.600986480713,14724.921058654783,13442.360980987549,14948.381107330322,59095.50420379639,10546.140739440918,354402.948135376,14413.2610206604,14206.14096069336,11297.280799865724,13010.440864562988,13877.68102645874,47410.3631439209,12029.120834350586,415605.2879180908
FA(26:0),11094.560760498049,11362.400802612305,11605.460834503174,11749.080814361572,141754.75018310547,285523.23933410645,286680.2801055908,10922.100776672363,11262.520824432371,9523.680675506592,11716.920848846436,10977.520793914797,137109.5892944336,438316.8105163574,314647.0219268799
FA(26:1),11862.660820007324,12157.14087677002,13665.620986938477,13194.920936584473,316193.8034362793,231233.61688232425,254328.7173461914,12510.580871582031,13209.92092514038,11169.780799865724,13434.56092453003,12858.260913848875,317575.74237060547,269629.35929870605,275542.51921081543
FA(28:0),10795.200824737549,12676.12088394165,11160.080825805664,12089.440864562988,126774.08838272096,620624.3272666931,921608.5438575743,11346.440788269045,12142.860862731934,9420.960674285889,11658.720836639404,14290.341018676758,120332.64792633057,847453.7762184143,942742.3486595154
FA(30:0),8692.980613708496,10177.460697174072,9409.78065109253,10072.56076812744,41076.242710113525,529046.6750564575,626821.5882339478,10840.6407661438,9267.000602722168,8785.460655212402,9111.660633087158,11179.040767669678,43046.94311141968,1016122.5578269958,514491.2581596375
FA(32:0),8103.960582733154,8342.200553894043,8305.340579986572,8386.080642700195,18470.46129226685,221910.69500732425,279200.08086013794,8321.540542602539,8279.020553588867,8031.780574798584,8378.58065032959,8389.820556640625,19446.521251678467,257569.179523468,305144.40198135376
FA(34:0),10494.02073287964,10987.320747375488,10485.220756530762,11146.400840759276,37137.482566833496,288275.72148895264,343453.66204071045,11103.62077331543,11426.660820007324,10093.060779571531,10804.480796813965,10224.440677642822,33335.762351989746,290302.35802078247,371290.6688842773
Hexacosanoyl carnitine,1618919.9663162231,1596793.2176513672,1471556.2792663574,1518398.7227973938,1644882.7238464355,1557275.4136543274,1581639.0426635742,1580945.2354125977,1631829.830657959,2064688.331604004,1616359.3477249146,1424323.4107513428,1544224.7182312012,1700647.0773849487,1670421.1096801758
LPC(10:0),40586.26254272461,50164.78329467773,58517.94384765625,41939.36279296875,44298.942810058594,40013.88302612305,39700.14270019531,43053.16354370117,38746.00286865234,38514.10272216797,45633.14303588867,41147.36267089844,46014.78372192383,43415.36352539063,40502.98275756836
LPC(11:0),54829.30322265625,57354.40368652344,58641.0241394043,54804.46389770508,56600.74487304688,52325.223205566406,61528.24508666992,53096.84326171875,56542.384033203125,53470.723571777344,52937.44354248047,55629.164642333984,62926.92388916016,52248.7239074707,58976.524475097656
LPC(12:0),76078.90518188477,82802.3056640625,83914.30688476562,84778.92742919922,82199.7260131836,79798.98529052734,79462.86553955078,78323.96432495117,81415.14685058594,76761.20614624023,79839.46560668945,77908.1851196289,86490.06756591797,77891.06628417969,81571.26525878906
LPC(13:0),44602.64349365234,45087.26304626465,43490.48283386231,42521.94253540039,44604.14239501953,41156.523193359375,47130.6435546875,42034.46276855469,47654.963439941406,41767.90272521973,42572.84313964844,39431.04243469238,48605.66372680664,39598.14318847656,48180.64358520508
LPC(14:0),193965.5513916016,192972.81317138672,189356.53399658203,198015.6134033203,197729.13513183597,176837.8348388672,198697.41284179688,164846.17041015625,209887.85876464844,182656.97198486328,191844.51220703125,178557.37377929688,206543.1798095703,175626.13134765625,199302.31298828125
LPC(14:1),153161.81298828125,149763.3096923828,144316.1499633789,161758.591796875,162123.4698486328,146485.59228515625,170637.77001953125,131529.1483154297,157900.31127929688,145659.6300048828,150578.2108154297,143456.431640625,175907.4500732422,148306.47045898438,162883.21002197266
LPC(15:0),289042.0607070923,283048.4274291992,270463.05770874023,282083.1940307617,279614.7800292969,235872.07940673828,283608.35565185547,228244.71633911133,301378.4775695801,258286.6183166504,267411.9811706543,252735.8761291504,302481.65116882324,238674.79434204104,294030.86206817627
LPC(15:1),237573.4570465088,243850.07711791992,232385.6562194824,242139.5730895996,262785.76123046875,220252.45364379883,249241.88037109372,195633.8315124512,258522.4175415039,226735.401260376,238269.0937957764,227935.71405029297,278025.0953979492,216010.9710083008,254834.17517089844
LPC(16:0),231953.0191040039,246190.39721679688,233664.29318237305,254127.5302734375,252286.0380859375,213331.29345703125,230902.83569335935,198958.31341552731,244871.02267456052,220532.0155029297,251082.41595458984,222372.3583984375,235656.4969482422,189824.8768310547,225734.2387084961
LPC(16:1),218835.897857666,225654.8150939941,212244.559753418,230079.5399169922,233312.0537109375,204208.833190918,215836.0550537109,179472.37353515625,223897.35287475583,211295.51513671875,230940.0400085449,208194.7756347656,228268.93450927731,177538.39709472656,201951.55517578125
LPC(16:1)_2,213202.51495361328,221255.89434814453,219323.45916748047,228598.17864990237,234034.0369567871,192514.8325805664,213364.5140075684,178669.31225585938,218162.4168395996,204568.57305908203,233947.9769897461,203020.33477783203,216502.6401977539,173068.13122558594,206924.0563354492
LPC(17:0),68162.02474975586,80433.16549682617,75562.06564331055,74251.02435302734,71569.82501220703,65401.86389160156,61937.68325805664,63446.364196777344,76762.30578613281,68611.34437561035,69696.04495239258,63986.64566040039,73495.2650756836,57730.06298828125,70835.78567504883
LPC(17:1),81375.7650756836,90756.4855041504,95877.38641357422,100988.14587402344,109611.7088470459,87964.52624511719,98807.10440063477,76202.38586425781,86046.84603881836,85520.20541381836,107340.52880859376,82043.1854095459,87438.50668334961,71970.24459838867,84666.7265625
LPC(17:2),84929.48442077637,95207.92570495604,96600.92491149902,99804.7646484375,110421.72735595705,88341.24615478516,93646.6442565918,77509.14505004883,88660.86538696289,81512.38650512695,106169.92623901369,84948.26722717285,83589.74645996094,73713.68560791016,83562.18447875977
LPC(18:0),87229.50686645508,103677.0669555664,96315.62600708008,104114.10618591309,111850.77011108398,90943.92803955078,99166.38619995116,75587.42486572266,92926.66662597656,81885.96606445312,123135.208984375,101409.22686767578,92113.98797607422,78908.14556884766,85377.52505493164
LPC(18:1),80200.70565795898,90161.96640014648,93539.20742797852,107466.66821289062,115220.08807373048,91754.70697021484,96909.36651611328,74625.46566772461,83602.20474243164,83063.76602172852,118313.86895751952,99568.6478881836,90767.50674438477,72008.54544067383,79150.88516235352
LPC(18:2),74418.72485351562,91217.8265991211,91531.76568603516,95595.8258972168,99273.46600341795,84190.48696899414,91070.74609375,69174.48583984375,81794.42599487305,78272.64535522461,111006.98776245116,93846.1266784668,85791.68524169922,74492.74594116211,80808.28729248047
LPC(18:3),65040.584869384766,80445.78482055664,80603.82637023926,82826.22457885742,96231.00759887695,81310.3656616211,81849.36590576172,60772.24401855469,77142.88470458984,67052.60549926758,93419.86630249023,81969.02670288086,82102.64483642578,65368.00473022461,72265.02438354492
LPC(18:4),47005.26303100586,58540.12380981445,58502.96405029297,61642.364349365234,71368.18505859375,58151.10464477539,63520.66418457031,48834.90309143066,56320.86422729492,57230.08352661133,56181.184074401855,56667.34408569336,60978.04431152344,55514.56439208984,63303.76412963867
LPC(19:0),129964.28955078124,133484.70825195312,138183.5087890625,135465.22875976562,195786.01416015625,164793.45166015625,170893.55297851562,121821.728515625,134867.60888671875,135261.78979492188,142673.12939453125,133721.26904296875,188738.5334472656,150582.03295898438,158563.51220703125
LPC(19:1),135391.95043945312,150078.86938476562,154914.94995117188,161986.73022460938,214270.59326171875,172565.35229492188,184284.171875,132118.4287109375,146437.888671875,138339.42822265625,176165.7548828125,153739.55200195312,201466.83520507807,159394.01171875,167019.77172851562
LPC(19:2),139944.62963867188,160372.84912109375,169565.75170898438,169943.39184570312,227727.15478515625,181481.63256835935,188709.69213867188,137134.68872070312,145711.57080078125,146362.19018554688,177543.69067382812,159176.27124023438,198877.7126464844,173818.2119140625,176978.853515625
LPC(19:3),142770.5107421875,158020.5927734375,163001.80981445312,162278.11279296875,223008.4951171875,176559.5927734375,190301.7126464844,136890.22998046875,143833.23071289062,145332.9501953125,178646.69360351562,159878.41162109375,201959.05517578125,159625.29174804688,175262.45288085938
LPC(20:0),75896.76541137695,82395.9262084961,84964.86636352539,86251.98596191406,274849.99981689453,129931.9308166504,119230.26586914062,62083.14358520508,73835.86605834961,71055.20474243164,86069.80685424805,71881.84484863281,234531.1572265625,115491.50827026369,114222.54699707033
LPC(20:1),121713.86865234376,126719.36791992188,131116.98889160156,129361.54931640624,156825.49169921875,130094.96923828124,144349.95043945312,109956.08813476562,121064.36865234376,117105.927734375,128553.9305419922,118474.84838867188,130229.2294921875,124876.1494140625,132567.92919921875
LPC(20:2),133300.07006835938,138021.30932617188,147486.41015625,147670.03051757812,207243.45434570312,161109.39233398438,168661.5107421875,122888.26953125,136069.55029296875,128051.58959960938,140827.11181640625,129807.5693359375,185696.41137695312,155302.6923828125,169024.55126953125
LPC(20:3),129584.82788085938,133171.2294921875,142479.15063476562,138929.9892578125,199596.7556152344,164369.67163085938,171967.13110351562,122997.36865234376,133788.82958984375,128307.84814453124,138788.0498046875,126254.587890625,177724.49291992188,148765.6494140625,162846.17236328125
LPC(20:4),125265.5107421875,136857.26977539062,144114.77075195312,133114.04956054688,192173.77270507807,158325.03173828125,164809.67211914062,120119.32836914062,130265.71044921876,126746.53002929688,137497.13061523438,120074.8076171875,173439.07202148438,149187.95068359375,158426.83081054688
LPC(20:5),131087.2490234375,135722.00903320312,141977.55053710938,135289.869140625,190643.79345703125,157732.39086914062,162614.03271484375,125822.58776855467,130033.60791015624,128118.92919921876,137083.4091796875,130877.68994140624,172543.87182617188,153063.05126953125,160035.25073242188
LPC(21:0),2794677.4243164062,2573657.0100097656,2512541.463562012,2359628.547241211,2405274.606567383,2424112.570678711,2431069.7095947266,3833971.092041016,2412238.256347656,2603843.2265625,3413266.3399658203,2099231.1717529297,2281924.774780273,2545644.134765625,2588389.8596191406
LPC(21:4),2668789.166015625,2503819.633544922,2403546.2154541016,2342301.317138672,2387775.853881836,2302360.34753418,2325640.266723633,3856615.862060547,2414262.1247558594,2505853.501953125,3358262.9720458984,2017193.141479492,2266365.541625977,2519705.8090820312,2500026.487548828
LPC(22:0),528320.7664794922,493323.0513916016,440956.6330566406,447081.2299804688,445760.1088867188,431739.8707275391,473009.36083984375,520299.7623291016,469232.0037841797,476372.4255371094,572688.6302490234,393196.8231201172,407098.6994628906,391518.3835449219,535932.1937255859
LPC(22:1),533187.6323242188,500412.5672607422,431507.3562011719,454632.5712890625,445619.5061035156,418629.79833984375,467572.7673339844,518177.05725097656,484824.14709472656,458105.8370361328,563318.5280761719,403392.1556396485,404924.6215820313,389621.5490722656,526767.4150390625
LPC(22:2),931206.0709228516,856599.9892578125,794632.3871459961,787555.9086303711,736447.3392333984,738365.0688476562,784271.0850830078,1117910.4442138672,836704.1334228516,824175.38671875,1084849.4591064453,691343.775390625,697067.6116943359,753127.8942871094,884563.8898925781
LPC(22:4),2952220.6440429688,2748367.5837402344,2644568.932006836,2617764.994140625,2648642.7310791016,2621822.9510498047,2633205.685546875,4165902.394287109,2672709.381347656,2789486.448486328,3716215.769287109,2233517.985839844,2500477.935791016,2805521.6970214844,2864728.053222656
LPC(22:5),2687751.1931152344,2593784.667236328,2432384.5970458984,2363640.3118896484,2471233.0961914062,2402441.877807617,2412424.337890625,3883220.217285156,2428149.642578125,2554759.552001953,3418769.010375977,2056358.5544433596,2337554.686767578,2591846.838745117,2592813.063964844
LPC(22:6),2723061.8120117188,2577798.096435547,2476173.622619629,2354835.174438477,2413506.3951416016,2427370.449584961,2362137.7236328125,3805597.016357422,2468775.3170166016,2612548.2978515625,3345885.7987060547,2106960.2680664062,2270646.189086914,2596805.224853516,2611418.022705078
LPC(24:0),1022237.542236328,1459335.205444336,1529910.3149414062,1425788.916381836,1504651.7569580078,1555294.5254516602,1334252.687866211,1565889.1699829102,1391959.7025756836,1346838.56640625,1308934.5665283203,1531883.060180664,1778532.7724609375,1650429.8873291016,898021.7210083008
LPC(24:1),1068875.7888793943,1477258.824951172,1532249.724243164,1488782.1209716797,1512395.4427490234,1579637.4693603516,1350830.0040893557,1611795.6401367188,1403475.5137939453,1329922.650024414,1336721.3992919922,1543252.5775756836,1773667.3100585938,1681234.227294922,933424.8053588868
LPC(2:0),44527.34341430664,45422.96325683594,38938.6220703125,41813.06314086914,34502.84246826172,37131.90278625488,37966.68246459961,34395.862396240234,47492.74334716797,47933.26284790039,41989.52276611328,36972.22259521485,33125.74237060547,37172.52221679688,46396.063903808594
LPC(3:0),1381279.5592041016,1274452.0786743164,1169293.393371582,1282680.5951538086,1445428.719329834,1173441.432876587,1364002.7477722168,1049267.339050293,1372757.2396850586,1168281.0025634766,1282095.8279418943,1202553.049987793,1604079.395477295,1136678.5831604004,1375591.5878295898
LPC(3:1),527429.2012023926,391063.6278381348,518584.5443725586,528513.5643310547,898208.3551025391,636155.1287841797,728880.5522155762,392569.13092041016,432221.3516235352,483601.95223999023,501616.63760375977,461545.2166900635,1010790.4476013184,596889.5185394287,740724.5583496094
LPC(4:0),60389.204345703125,65335.8046875,60210.984130859375,63137.22448730469,64676.284912109375,60931.78454589844,62214.52478027344,62585.584533691406,61377.564208984375,63962.464599609375,61770.48425292969,62584.34484863281,68432.16400146484,65472.18432617188,66822.56506347656
LPC(5:0),73066.38549804688,58800.60437011719,59900.68371582031,58815.04431152344,58041.76440429688,58927.14404296875,56869.80456542969,61178.18432617188,59303.704040527344,53582.26354980469,55044.4638671875,57325.424377441406,56959.9447631836,60787.86401367188,61221.883850097656
LPC(6:0),32188.78240966797,33576.642517089844,37847.52291870117,33948.32260131836,36964.74252319336,33302.88249206543,35546.00231933594,31684.862579345703,38708.04284667969,37533.42282104492,35683.06262207031,31769.42205810547,36738.2223815918,31510.181884765625,37361.40258789063
LPC(7:0),119708.04846191406,79047.24597167969,68183.38467407227,74772.205078125,75113.10516357422,112409.84735107422,93363.28674316406,65425.08441162109,80415.42492675781,65458.12487792969,75198.88568115234,94679.90551757812,80502.44592285156,96196.3660888672,75509.74627685547
LPC(8:0),38834.263671875,40757.34310913086,36630.982345581055,36789.18226623535,33368.962341308594,32246.442626953125,35651.56294250488,34862.98222351074,38689.84248352051,33783.38293457031,36511.02206420898,34221.80302429199,39505.86224365234,32105.46241760254,38528.343338012695
LPC(9:0),31338.902465820312,33834.622131347656,31667.382385253903,35567.06271362305,33960.7624206543,31637.042510986328,33157.20230102539,30381.822265625,34375.482330322266,32896.08251953125,32205.182220458984,31382.962432861328,35146.50280761719,33030.262298583984,34756.94241333008
LPE(12:0) | PE(12:0),63051.10485839844,69337.00482177734,56660.26416015625,61949.98461914063,54248.32403564453,49633.323303222656,51484.00415039063,65989.26477050781,76272.92578125,63253.44421386719,65743.14447021484,62108.14471435547,59698.08410644531,52760.42352294922,55810.94396972656
LPE(12:0) | PE(12:0)_2,60681.48425292969,69475.78442382812,63660.12469482422,65928.98443603516,57500.92419433594,53168.50402832031,53947.14410400391,75219.70581054688,76737.30590820312,70989.42462158203,64476.74432373047,62175.38446044922,60594.62390136719,56222.044006347656,54320.40393066406
LPE(13:0),33544.54243469238,35428.36259460449,31144.142578125,32823.98263549805,32203.52227783203,30862.321884155277,33090.301986694336,33459.26225280762,35162.28259277344,32910.362213134766,33657.00231933594,30171.242156982426,31376.42250061035,29372.44204711914,32747.702362060547
LPE(14:0),87890.40606689453,94828.7452697754,96368.72691345216,96582.22650146484,88381.2873840332,82949.8670501709,93155.24807739258,87024.54739379883,105225.78903198242,106399.66836547852,88292.24551391602,78509.30462646484,101734.26803588869,91424.90567016602,102554.34832763672
LPE(14:1),81199.48522949219,114240.6683959961,129850.2887878418,115519.9476928711,150060.64965820312,149260.49179077148,110463.72792053224,145241.89141845703,105536.00775146484,118369.70628356934,107662.76614379884,125616.40954589844,172430.7720336914,160771.87063598633,71749.04560852051
LPE(15:0),568512.1632080078,586573.2970275879,500142.1717529297,562622.633102417,600872.923538208,571153.9864196777,608762.5358276367,477655.6792449951,617717.1797485352,526438.2031555176,527711.8004455566,542968.7627563477,703773.7184143066,522110.0151367188,600238.4911804199
LPE(15:1),136586.97213745117,221106.73291015625,257136.58129882807,238605.2573852539,296495.0810852051,287040.0212554932,202215.25520324707,316160.8480377197,205500.1538238525,229199.08056640625,213566.3357849121,254258.83685302731,357230.98919677734,331794.5370025635,104978.40783691406
LPE(16:0),1662.080135345459,1430.14009475708,2142.940139770508,1416.2400932312012,605423.7229309082,614751.231048584,707197.2882995605,1501.1201057434082,1416.6400985717771,1546.6601104736328,1859.2401275634768,1460.200096130371,650429.1730041504,638849.5684661865,824180.9934997559
LPE(16:1),1469.8201065063477,1490.1801109313965,16617.381031036377,1847.620132446289,28738.501998901367,28000.58169555664,25443.601852416992,1473.8600997924805,1566.9000930786133,1451.3201026916504,11271.040828704834,1867.8001251220703,25793.80209350586,26755.5817565918,25093.181884765625
LPE(17:0),74649.68531799316,65880.40432739258,34450.72262954712,56647.32318115234,63126.74530029297,40903.86225891113,47094.66287231445,59719.40496826172,64244.62521362305,56286.38366699219,39003.52229309082,58143.38348388672,69547.7847366333,38046.06300354004,31188.182136535645
LPE(17:1),52008.18356323242,49026.66329956055,9651.7607421875,39167.603515625,28643.881759643555,26049.30178833008,24601.06184387207,51918.84310913086,52272.782958984375,45958.3627319336,15430.620975494385,38746.74254608154,29923.501861572266,29558.881912231445,29230.9020690918
LPE(17:2),29789.84210205078,26701.94183731079,1449.660099029541,13618.16082763672,27798.981964111328,23426.70184326172,27485.66192626953,34402.70198059082,29718.50227355957,31434.182174682617,2052.7201499938965,14014.18096923828,25840.14178466797,26671.26177978516,28196.30207824707
LPE(18:0),54278.94403076172,61575.62411499024,59124.883697509766,55208.08459472656,31037.84213256836,26596.16192626953,30092.482025146484,54922.083892822266,53686.18426513672,75823.18524169922,86411.20693969727,58771.84338378906,30993.92236328125,28960.28219604492,30453.32209777832
LPE(18:1),39105.66284179688,46027.40347290039,39577.70315551758,38249.242614746094,26365.00213623047,22079.82144165039,24038.881660461426,42648.90270996094,43852.60314941406,48161.62380981445,47098.34313964844,40611.26287841797,25025.941696166992,21152.701538085938,22664.321548461918
LPE(18:2),47283.28323364258,53002.40438842773,45364.44369506836,53209.36312866211,28913.782287597656,27459.941772460938,28235.62171936035,48335.26382446289,54103.94470214844,52230.68453979492,45779.20330047608,48637.20378112793,27350.00204467773,26098.10145568848,29462.281692504883
LPE(18:3),45223.44338989258,50200.14392089844,30487.08233642578,55025.18389892578,22128.90167236328,48090.983459472656,25923.22183227539,41120.54284667969,47031.46322631836,45012.22296142578,57930.7038269043,47018.56332397461,19605.1813659668,35611.66250610352,28559.462158203125
