Lipid,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo
Lyso_PI(20:1),95359.72668457033,177406.5517578125,134682.80883789062,141323.27197265625,166653.33251953125,86753.28625488281
Lyso_PI(20:2) | PI (20:2),145046.9137878418,1085672.139129639,745132.8973388672,514094.0180053711,944450.6334533693,305557.8998413086
Lyso_PI(20:2) | PI (20:2)_2,141717.7893218994,1090943.8528442385,736958.7850036621,512331.0799560547,938776.4866027832,295151.8788757324
Lyso_PI(20:3) | PI (20:3),30329.622177124023,100758.36703491212,69472.48553466797,69427.10412597656,93706.76776123048,30095.922332763672
Lyso_PI(20:3) | PI (20:3)_2,27755.56155395508,101938.0866394043,68859.64503479004,69665.7246017456,91361.56747436523,25777.04148864746
Lyso_PI(20:4) | PI (20:4),35430.7225189209,112571.98727416992,69103.62489318848,73522.30572509766,118785.22639465332,26514.061820983887
Lyso_PI(20:4) | PI (20:4)_2,41561.50314331055,115503.32766723631,65911.92514038086,72899.12484741211,115885.68811035156,26255.641555786133
Lyso_PI(20:5) | PI (20:5),40032.82299804688,84395.20684814453,73289.96563720703,86523.1650390625,96450.10717773438,38041.782623291016
Lyso_PI(20:5) | PI (20:5)_2,40050.72219848633,88782.6872253418,74940.68502807617,73109.76446533203,96217.40689086914,36479.40295410156
Lyso_PI(21:0),41802.92306518555,105488.24728393556,86084.62646484375,92840.06625366212,129096.44696044922,38776.062240600586
Lyso_PI(22:0) | PI (22:0),40855.62286758423,176077.4532470703,120032.9500732422,145815.60913085938,183840.1304321289,52331.62371826172
Lyso_PI(22:0) | PI (22:0)_2,39094.3226852417,180142.77532958984,118459.46856689452,152064.70892333984,180110.6915283203,56194.86437988281
Lyso_PI(22:1) | PI (22:1),32720.622344970703,67087.08477783203,51090.78356933594,55932.98376464844,65662.98425292969,31679.222091674805
Lyso_PI(22:1) | PI (22:1)_2,36835.06268310547,62944.14392089844,46467.583404541016,57738.10397338867,60971.704498291016,28474.04179382324
Lyso_PI(22:2) | PI (22:2),26095.3416595459,66476.26585388184,51343.024353027344,60017.74337768555,68658.44511413574,25460.84178161621
Lyso_PI(22:2) | PI (22:2)_2,24529.061599731445,68327.06495666504,52392.24291992188,54407.9040222168,63427.84408569336,26434.10157775879
Lyso_PI(22:4) | PI (22:4),41848.70246887207,100828.58755493164,71910.06484985352,74207.72534179688,111836.68731689452,32515.28234863281
Lyso_PI(22:4) | PI (22:4)_2,43725.14227294922,99839.08731079102,71721.24472045898,76050.84600830078,106430.3464050293,35135.102294921875
Lyso_PI(22:6) | PI (22:6),36638.922790527344,108881.72875976562,63075.00381469727,96290.32858276369,96266.82736206056,37639.88246154785
Lyso_PI(22:6) | PI (22:6)_2,38774.38293457031,102204.4065246582,63855.86476135254,95625.72549438477,100304.52781677246,40897.48278808594
Lyso_PS(12:0) | PS (12:0),41797.58274459839,42126.04304885864,63595.20446777344,25795.301834106445,42363.82317352295,68183.5845336914
Lyso_PS(12:0) | PS (12:0)_2,38366.08293151856,44732.3430519104,67364.484375,28240.722076416016,41258.10308074951,60092.14447021485
Lyso_PS(13:0) | PS (12:0),72418.08570861816,64162.2844619751,103606.328125,30363.042266845703,62651.9843711853,95641.52612304688
Lyso_PS(13:0) | PS (12:0)_2,69296.04517745972,64716.02420043945,107081.04663085938,28475.34210205078,66407.22507095337,99995.5864868164
Lyso_PS(14:0),27932.42208099365,41741.96318817139,80923.40573120117,23480.64199447632,36825.92213439941,95322.12561035156
Lyso_PS(14:1) | PS (14:1),231311.47485733032,495857.2742996216,1362649.7783203125,442712.2613525391,437247.667678833,1843878.0400390625
Lyso_PS(14:1) | PS (14:1)_2,238473.89477157596,473341.1899642944,1351059.3720703125,440766.7176513672,413562.32832336426,1838617.3159179688
Lyso_PS(15:0) | PSo (16:0),29071.082023620605,2975.860202789306,78540.6655883789,28020.62216567993,13514.88064956665,74195.22479248047
Lyso_PS(15:0) | PSo (16:0)_2,17800.06135559082,2016.400161743164,82471.36572265625,23516.06181716919,2676.00016784668,74141.82510375977
Lyso_PS(15:1),45034.443157196045,51027.52350616455,122841.90899658205,66512.00527191162,63030.50439071655,114339.60986328124
Lyso_PS(16:0) | PS (16:0),1589.7200965881348,1560.8400993347168,110110.28857421876,1476.820095062256,1484.620101928711,108193.7082824707
Lyso_PS(16:0) | PS (16:0)_2,1466.2200965881348,1510.9601020812988,109398.66900634766,1523.280117034912,1493.0200958251953,108573.52767944336
Lyso_PS(16:1) | PS (16:1),1465.7001037597656,1460.7800979614258,61040.48419189453,1465.7200927734375,1463.6001014709473,61598.30331420898
Lyso_PS(16:1) | PS (16:1)_2,1466.680088043213,1529.240104675293,56821.023864746094,1465.7800941467283,1463.300090789795,62395.34475708008
Lyso_PS(17:0) | PSo (18:0),216663.9764595032,618023.602306366,1341913.3032226562,302583.681842804,466859.409866333,1949182.4775390625
Lyso_PS(17:0) | PSo (18:0)_2,206127.9143447876,561933.6593780518,1418677.9946289062,169785.63372802734,471776.87328338623,2034447.8559570312
Lyso_PS(17:0) | PSo (18:0)_3,187415.21215438843,588388.2116241455,1503362.1142578125,334620.6996269226,413431.58867645264,2174830.40625
Lyso_PS(17:1) | PSp (18:0),18330.701347351074,22935.201774597168,55906.623596191406,14041.700965881348,21661.04175186157,62760.98406982422
Lyso_PS(17:1) | PSp (18:0)_2,18481.10138320923,26667.20167541504,58591.32354736328,8116.920593261719,22807.46170425415,59675.12487792969
Lyso_PS(17:2),21082.081523895264,32911.66214752197,54298.944244384766,16240.761283874512,30699.241817474365,50977.18365478516
Lyso_PS(18:0) | PS (18:0),35472.38247680664,46176.70299530029,21602.36111831665,18270.561317443848,42345.36321258545,21730.02108001709
Lyso_PS(18:0) | PS (18:0)_2,35771.602195739746,47233.46329116821,10900.94051361084,16875.321140289307,41912.28272628784,3973.220260620117
Lyso_PS(18:1) | PS (18:1),31112.262294769287,35970.48225021362,47162.50341415405,16022.441188812256,34763.762466430664,51726.1633720398
Lyso_PS(18:1) | PS (18:1)_2,31162.32218170166,37647.542362213135,37531.6224899292,18964.22143936157,37130.36268615723,42056.66282272339
Lyso_PS(18:2) | PS (18:2),21608.801483154297,28054.16201019287,46367.38302612305,15703.16104888916,25579.321880340576,40571.02297973633
Lyso_PS(18:2) | PS (18:2)_2,20571.921417236328,29414.06206512451,44926.90283203125,14899.941314697266,25881.501949310303,41549.00276184082
Lyso_PS(18:3) | PS (18:3),25429.941772460938,47328.28337478638,93332.60614013672,43063.224060058594,42750.082805633545,88972.32730102539
Lyso_PS(18:3) | PS (18:3)_2,24889.04176712036,46512.94332122803,96180.4271850586,46733.78289794922,49186.28354263306,90121.50735473631
Lyso_PS(18:4),19890.74133300781,26007.841762542725,46234.52383422852,14829.420928955078,28563.822177886963,44876.24295043945
Lyso_PS(18:4)_2,21914.72146987915,30551.28214263916,52488.16409301758,16138.580909729004,28331.342010498047,47575.60348510742
Lyso_PS(19:0),33772.402252197266,43529.64334106445,43842.423248291016,46820.863498687744,42261.90301132202,45193.54261779785
Lyso_PS(19:1),23428.841648101807,31496.882194519043,28501.40182495117,20624.821533203125,31639.38220596313,27957.282077789307
Lyso_PS(20:0) | PS (20:0),40904.762786865234,47438.04373168945,61975.204833984375,25465.62128067017,46715.22375488281,66418.52423095703
Lyso_PS(20:0) | PS (20:0)_2,40550.02256774902,52115.623596191406,62898.92449951172,24787.061824798584,53203.02380371094,65915.86376953125
Lyso_PS(20:1) | PS (20:1),103260.88696289062,120051.70849609376,146038.3905029297,49378.58358383179,123547.52905273438,148424.93090820312
Lyso_PS(20:1) | PS (20:1)_2,101174.34753417967,121282.96948242188,143733.54943847656,37521.822788238525,117766.30871582033,148917.24951171875
Lyso_PS(20:2) | PS (20:2),32369.82244873047,81246.44653320312,172152.21444702148,70398.02376556396,83133.02516174316,181936.49060058597
Lyso_PS(20:2) | PS (20:2)_2,31775.56214904785,66992.96417236328,164607.43182373047,48791.58422470093,78494.06533813477,180147.79452514648
Lyso_PS(20:3) | PS (20:3),19179.481231689453,31267.041870117188,50255.76327514648,17150.60121536255,29883.742141723636,46856.58271789551
Lyso_PS(20:3) | PS (20:3)_2,22563.241584777832,30119.72235107422,45658.30340576172,9829.400676727297,29893.84213256836,45878.86318969727
Lyso_PS(20:4) | PS (20:4),21773.26141357422,27803.401885986328,39023.942932128906,17175.12148284912,26518.561920166016,37240.58271026611
Lyso_PS(20:4) | PS (20:4)_2,23458.541534423828,34046.662200927734,36660.422790527344,8301.840595245361,32386.84228515625,36888.98262023926
Lyso_PS(20:5) | PS (20:5),55933.003662109375,63889.18490982056,67421.98461914062,33119.78231048584,59094.443992614746,69333.16479492188
Lyso_PS(20:5) | PS (20:5)_2,52411.92376708984,59715.62384796143,71535.3046875,26088.601863861084,62976.40417480469,67603.4052734375
Lyso_PS(21:0),22951.98162078857,40046.003326416016,65748.90493774414,25009.061805725098,37943.74282836914,72747.10456848145
Lyso_PS(22:0 | PS (22:0),56386.7442779541,72341.30493164062,79767.2255859375,34075.46223449707,69000.44537353516,79425.94598388672
Lyso_PS(22:0 | PS (22:0)_2,50425.32373046875,76911.42517089844,77705.04559326172,81340.74394226074,75615.08544921875,78632.14624023438
Lyso_PS(22:1) | PS (22:1),22002.741424560547,25710.441955566406,38415.602767944336,16511.061149597168,28088.901977539062,40116.38272857666
Lyso_PS(22:1) | PS (22:1)_2,21582.04141235352,25743.12173461914,39669.64308166504,15057.280967712402,26647.34197998047,36823.3423614502
Lyso_PS(22:2) | PS (22:2),23908.84169006348,28885.982025146484,57570.3250579834,24671.38167190552,30875.261825561523,53319.46441650391
Lyso_PS(22:2) | PS (22:2)_2,17557.041305541992,31993.82243347168,56043.703552246094,24239.101497650143,30415.28187561035,51651.863998413086
Lyso_PS(22:4) | PS (22:4),29972.781982421875,36506.60238647461,56100.52355957031,24650.781410217285,41710.12274169922,61976.72399902344
Lyso_PS(22:4) | PS (22:4)_2,30410.0022354126,41713.60299682617,61532.20440673828,24751.242210388184,41276.48315429688,65844.42477416992
Lyso_PS(22:6) | PS (22:6),36597.70245361328,51700.2041015625,65853.92449951172,27228.38168334961,43683.763122558594,74991.38555908203
Lyso_PS(22:6) | PS (22:6)_2,33072.74256896973,44419.60333251953,64280.46472167969,65029.40412902832,47304.88391113281,69062.94549560547
Lyso_Sphinganine-1-phosphocholine,194181.5760498047,197308.5112915039,195126.857421875,177199.77014160156,181039.21166992188,178498.99462890625
Lyso_Sphingosine-1-phosphocholine,93191.40753173828,103894.36724853516,103619.70684814452,92689.28552246094,91696.76708984376,104967.38720703124
O-(11-carboxyundecanoyl)carnitine,1636443.1501464844,1628954.5754394531,1609929.6301269531,1698085.2265625,1613916.1791992188,1705820.2456054688
O-(13-carboxytridecanoyl)carnitine,2525970.9899902344,2484566.024658203,2774485.9384765625,2559040.1791992188,2391943.559814453,2429390.343017578
O-(17-carboxyheptadecanoyl)carnitine,1780632.291015625,1825409.1884765625,1904286.744140625,1858644.235839844,1762426.8129882812,1767753.1176757812
O-arachidonoylcarnitine,1813997.779296875,1854003.634765625,2451500.782714844,1829549.857910156,1757919.6630859375,1786689.5073242188
O-behenoylcarnitine,1108163.3492889404,1117372.6411895752,1778627.9196472168,1243186.0341529846,1087461.7204818726,1069347.894615173
"O-oleoylcarnitine, Elaidic carnitine",2524766.19921875,2579686.61328125,2918418.5444335938,2752258.0747070312,2689731.6806640625,2955770.5419921875
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",1594045.3452148438,1572857.943359375,1900881.853515625,1599515.9545898438,1525306.733642578,1574279.4704589844
PC (30:0),116663.56880187988,219265.19830322263,92519.5457763672,85446.06591796875,106894.50701904295,136296.89154052734
PC (30:1),114787.52682495116,217753.1545715332,84294.10525512695,80584.42440795898,106675.58657836914,129153.18960571288
PC (30:2),115927.44927978516,228871.4760437012,89100.36520385742,84286.84475708008,106956.72563171388,128745.4481201172
PC (32:0),680101.5065307617,3429927.025512696,387112.7424011231,918412.5050964355,1695274.6646118164,1549376.1540527344
PC (32:1),663512.8841247559,3057185.627105713,399630.3648376465,909514.6896972656,1737846.698562622,1479992.0049743652
PC (32:2),672424.2381896973,3223585.253051758,396469.03533935547,888681.1894836426,1693392.9795837402,1491120.9206542969
PC (32:3),614475.9673461914,3392896.830383301,360493.7225036621,821572.4394836426,1648744.3404541016,1465353.6580810547
PC (32:4),336706.1000671387,1794084.3795166016,291534.23989868164,359651.3678894043,892133.5303344727,979930.5864715576
PC (32:5),223210.3800354004,974021.8276672364,194160.63345336917,233673.63146972656,491186.7600708008,528961.0158996582
PC (34:0),1014638.4526062012,4444064.818878174,622026.8252868652,866225.389251709,1658331.635131836,1494279.4243164062
PC (34:1),983094.4783630372,4764350.840148926,603501.1135559082,832891.242767334,1584422.2699890137,1361392.671661377
PC (34:2),1020757.8615112304,4760836.946105957,617045.473449707,974330.2805786132,1773052.9052734375,1552498.541168213
PC (34:3),1388814.911682129,7016003.7537231445,886306.9071960449,1514422.2919921875,2957979.50189209,2708315.1798095703
PC (34:4),1487002.601928711,7160792.481872559,857089.4302978516,1535100.9788208008,3172906.318054199,2605119.6669921875
PC (34:5),847765.8843383789,4998585.224243164,688614.253112793,1096450.8905334473,2433088.8147888184,2250776.16897583
PC (34:6),735070.428527832,3424368.128479004,409838.70669555664,884154.3727111816,1857101.0505371091,1609492.417175293
PC (36:0); PCp(38:6),435053.77502441406,1925494.163330078,260955.25415039065,371050.5507507324,685493.4228515625,632495.3935241699
PC (36:0); PCp(38:6)_2,416322.4945983887,1791330.5129699707,280876.4214630127,387057.87130737305,679997.5566253662,612348.4787902832
PC (36:1),446005.8759765625,1859780.460388184,268880.7839050293,377916.6846008301,663103.4117279053,649427.3399047852
PC (36:2),597167.1774291992,2435243.9852600098,313175.8644104004,537738.2978515625,847160.022064209,828229.1197509766
PC (36:3),1217512.9953918457,5501434.023681641,590098.4023742676,1045861.549041748,1807210.1898498533,1337782.210021973
PC (36:4),1571687.805633545,7546484.6759643555,975125.3948364258,1288456.9608764648,2580587.481536865,2381969.712554932
PC (36:5),1371656.7071533203,6620324.056365967,803399.8494567871,1185896.539794922,2162571.8723754883,2061363.959075928
PC (36:6),1118680.372894287,5730482.258666992,698576.9976196289,1088383.4785766602,1934864.098602295,1813187.6960144043
PC (36:7),1098407.7716064453,5075100.63079834,695569.3125,967950.117919922,2034762.8725891116,1764380.9009399414
PC (36:8),1033196.3688659668,4866856.44909668,635334.3019714355,909409.100189209,1798319.2464294434,1631728.3421020508
PC (38:0),781804.3551635742,2039109.0388183596,712613.688659668,631298.3871765137,1009282.2167358398,1289065.557006836
PC (38:1),805693.8829040527,2105033.9688415527,689550.3097229004,592221.4651184082,983561.0431518556,1322059.735748291
PC (38:2),904133.2488098145,2422603.3831481934,748793.9415283203,648524.9678955078,1049721.795562744,1324352.5770263672
PC (38:3),1047065.9375,3574585.963012696,864131.1938476562,733409.0558166504,1359761.9300231934,1612255.463760376
PC (38:4),1067685.971160889,3430863.348815918,763683.008605957,694638.9065551758,1297878.4309387207,1543358.3270568848
PC (38:5),996759.7385253906,3456068.226196289,808035.2034912109,715339.180847168,1260228.1028823853,1478379.160308838
PC (38:6),1011198.107421875,3927462.934997559,885649.9088745117,888608.2234191895,1606438.3504638672,1795237.9940490725
PC (38:7),990925.8618774414,3358972.089447021,782219.1566467285,856283.3559875488,1560848.6257781982,1752011.5234527588
PC (38:8),943140.8325195312,3319761.1072998047,748537.7001342773,762141.875,1427662.9224853516,1616570.5712890625
PC (38:9),850349.5054321289,3031995.2488708496,721583.7636108398,683683.125213623,1246768.331863403,1437432.4979858398
PC (40:0),1545816.8510742188,2157484.522705078,1573185.3659667969,1406934.451171875,1641225.9169921875,1514652.2563476562
PC (40:1),1594287.7387695312,2099303.998535156,1628974.3005371094,1343858.9924316406,1600871.2556152344,1513989.288330078
PC (40:10),866561.0187988281,2426319.791030884,729436.7596435547,607117.0198974609,1070705.473236084,1342595.8710021973
PC (40:2),1405589.3041992188,2043853.7165527344,1450728.7380371094,1266040.3828125,1445804.3793945312,1421857.9594726562
PC (40:3),1351244.5043945312,2235103.782714844,1406745.039794922,1172074.507080078,1403812.8217773438,1340280.6010742188
PC (40:4),935814.8845214844,1906804.3935546875,1137639.202392578,738866.7552490234,1065347.231201172,1133612.60546875
PC (40:5),462472.16094970703,1345354.1531677246,332856.6388092041,286288.6177825928,401506.300491333,464638.3288574219
PC (40:6),495635.8537979126,1621996.955535889,371081.31771850586,343910.8394012451,562489.4205627441,599021.5075378418
PC (40:7),505864.25422668457,1977509.4270935056,389195.4564208984,406310.2071838379,651532.3471603394,715559.0289916992
PC (40:8),769862.9135742188,2524054.25680542,557746.8742675781,496332.6663513184,835688.5118179321,937147.5898284912
PC (40:9),881484.3649902344,2543740.04876709,808117.2294616699,627679.4461669922,1040421.4789276124,1311757.3290252686
PC (42:0),650080.6097412109,685343.5911254883,517659.6817626953,571531.9820556641,611144.6981201172,462192.6714477539
PC (42:1),1504262.444580078,1574860.6802978516,1491770.2329101562,1395301.2550048828,1543437.5754394531,1367952.837890625
PC (42:10),1609394.317138672,2154545.604248047,1623869.0471191406,1390838.8010253906,1630869.2497558594,1440315.918701172
PC (42:11),1542795.7543945312,2057265.9450683596,1601313.9650878906,1370842.7514648438,1600535.9155273438,1458632.3681640625
PC (42:2),1610111.0249023438,1647391.974243164,1630031.5102539062,1472346.9145507812,1650122.6301269531,1456398.7724609375
PC (42:3),1571699.7404785156,1691369.2138671875,1626665.5493164062,1425224.78515625,1596411.5522460938,1449626.610107422
PC (42:4),1580877.5764160156,1636928.3247070312,1584802.0063476562,1448172.7036132812,1587961.853515625,1474943.6440429688
PC (42:5),1601775.8557128906,1643003.8979492188,1610942.875732422,1439903.15234375,1623756.767578125,1476290.9057617188
PC (42:6),1607500.8278808594,1757878.4370117188,1594732.669921875,1438833.6416015625,1661573.797607422,1512137.4345703125
PC (42:7),1676696.6201171875,2429325.5314941406,1715693.7749023438,1430750.20703125,1732079.9504394531,1551839.4333496094
PC (42:8),1687455.1831054688,2332639.8540039062,1692461.815673828,1450821.5563964844,1713359.0939941406,1588308.3354492188
PC (42:9),1589172.576171875,2275650.922363281,1650725.9716796875,1448307.9693603516,1679547.171142578,1551718.8889160156
PC (44:0),50645.782371521,87331.02509307861,46982.80390930176,41509.763595581055,50199.74341201782,39749.30347442627
PC (44:1),54949.184143066406,93643.44540023804,48549.48421096802,37398.04216003418,43022.92304611206,42335.70379638672
PC (44:10),136942.13205718994,197552.0559921265,106278.00463104248,102785.28579711914,116736.78796768188,97287.84564971924
PC (44:12),350284.16764831543,375126.0727844238,338263.93798828125,300988.5453262329,291309.3176422119,278639.35733795166
PC (44:2),66870.34497833252,98788.96601867676,54782.0838432312,42893.98307418823,57648.58447265625,46529.74428939819
PC (44:3),66596.0047454834,116893.02933883668,56529.82377624512,53834.583740234375,65134.12449645996,52881.38321685791
PC (44:4),72806.32409286499,120310.3676147461,54968.16331100464,55151.82418060303,63256.305183410645,54483.56430053711
PC (44:5),103736.14865875244,137743.67406463623,77796.92570495605,82106.20598220825,89093.26599884033,63894.92530059815
PC (44:6),127376.39027404784,170017.53463745117,110191.36898803712,99581.82461166382,119753.78854370116,91807.50692749023
PC (44:7),131886.10794830322,176053.54656982422,98525.54565429688,99595.26937866212,120145.04904937744,90940.6459236145
PC (44:8),136448.84868621826,200377.37434387207,100231.38556671144,93465.54606628418,111629.77028656006,89857.42552185059
PC (46:0),15406.340934753418,20326.441257476807,14949.221168518066,13836.061016082764,14624.041046142578,15206.701038360596
PC (46:1),13450.821083068848,19964.88130569458,13646.460941314695,13051.060985565186,15207.661052703856,14865.561092376707
PC (46:2),18220.141304016117,21145.301677703857,15672.160987854004,14298.42098236084,15345.701148986816,13477.46086883545
PC (48:0),12377.700759887695,12948.360919952393,11147.740837097168,11076.48091506958,11710.040767669678,11928.680709838867
PC (48:2),11320.780807495115,12588.26071548462,11624.900840759276,11302.240814208984,12647.440773010254,10822.940795898438
PC (50:0),12768.100784301758,13340.060791015623,12805.161010742188,12867.62075805664,12767.64077758789,13326.401023864746
PC (52:0),16814.38123703003,18353.361404418945,16898.94135284424,15793.82105255127,17715.281394958496,17260.421195983887
PC (52:4),15183.22114944458,17062.501152038574,16305.361099243164,14797.641159057615,17938.02117538452,16825.861209869385
PCo(32:0),130672.65341186523,258208.65618896484,95118.84616088869,98605.68704223631,134653.08953857422,158784.10942077637
PCo(32:1),122713.72994995116,253267.2008056641,91095.8664855957,98036.02825927734,136051.5675201416,156807.27128601074
PCo(32:2),130292.24911499023,286442.08111572266,97793.2485961914,104090.14855957033,136183.070602417,170799.83193969727
PCo(32:3),137481.60850524902,282841.3648071289,109891.68759155272,107517.78652954102,157233.29010009766,169989.13549804688
PCo(34:0),639361.3001098633,3375190.268951416,402596.7351074219,890829.9046630859,1772020.9450378418,1554959.5464782715
PCo(34:1),641856.0830078125,3382276.4217529297,392454.01989746094,836557.7827758789,1864116.1046447756,1537501.3479309082
PCo(34:2),677731.3556518555,3469322.094238281,395121.5246582031,873466.6727905273,1758224.9862670898,1589609.732849121
PCo(34:3),667141.0286865234,3209095.988128662,396001.9879760742,861156.9035644531,1763247.6309814453,1550726.9732055664
PCo(34:4),691145.9868164062,3260988.821228028,386962.71380615234,897798.1742553711,1730674.6746826172,1526920.2843017578
PCo(36:0),1037009.6412200928,5423653.801544189,655178.7007446289,985556.0006103516,1962389.609680176,1682055.7160949707
PCo(36:1),1032052.788482666,4991984.562011719,647867.8766174316,886254.9305419922,1797999.77835083,1587787.961227417
PCo(36:2),951512.9238891602,4515609.5615234375,625833.5299377441,915032.0212402344,1511355.2643432615,1441306.1291809082
PCo(36:3),971986.4122924804,4485113.37147522,597149.2160949707,829683.8489685059,1500606.4892578125,1411666.9707641602
PCo(36:4),939051.2250976562,4633074.538024902,590343.8370666504,801447.7275085449,1431668.9428710938,1416608.0233764648
PCo(36:5),945959.164642334,4513816.261459351,593970.5878295898,851258.0414733887,1543744.9982299805,1470403.4185180664
PCo(38:0),984992.6181030272,3464092.621520996,802234.2112426758,825970.1460571289,1578840.0939941406,1726232.7744140625
PCo(38:1),937792.5346984864,3181440.0059814453,730863.1838378906,748647.9049072266,1432004.8136291504,1734972.210571289
PCo(38:2),894489.4780578613,3101854.2935180664,722236.4162902832,702184.9002685547,1224057.0520324707,1394443.6295776367
PCo(38:3),811544.3071289062,2592870.3295288086,684865.8737792969,595374.3726501465,1138935.8477172852,1345728.2420654297
PCo(38:4),588484.544708252,2008420.728881836,518711.7415771485,452112.3368682861,866796.5290527344,1117301.22416687
PCo(38:5),445854.5009460449,1771054.533996582,282280.0028991699,370541.0853729248,675798.6024475098,703554.7610931396
PCo(38:6),422948.1577911377,1819020.6286010745,272022.8193359375,368741.4077758789,694621.4009094238,646225.1428833008
PCo(40:0),549283.5252532959,2125675.977920532,403385.7156448364,397670.1926269531,677280.8282623291,717999.8711242676
PCo(40:1),703145.7809448242,2611057.064666748,557287.4279174805,464494.3564758301,861455.7690734863,907024.3054962158
PCo(40:2),924018.5856628418,2498676.130126953,796318.7688293457,629017.6197814941,1050428.3242340088,1317964.581878662
PCo(40:3),853751.921875,2521749.399353028,762038.1259765625,646624.9703063965,1045768.1843414308,1303365.097442627
PCo(40:4),770500.6495513916,2076570.8695831296,715231.2022399902,592091.1392211914,1006265.9712524414,1309948.4259872437
PCo(40:5),832887.5697631836,1965931.041687012,708740.9263916016,563822.5555419922,982965.7194519044,1327965.7137451172
PCo(40:6),795030.2844085693,1987394.384918213,692594.1001586914,572118.697479248,993995.6159667968,1286036.501373291
PCo(42:0),1670869.453857422,2396378.9665527344,1717366.537109375,1495613.3259277344,1733137.968017578,1581615.3425292969
PCo(42:1),1713416.9350585938,2352559.780029297,1681534.548828125,1478977.8442382812,1723927.0012207031,1562641.9033203125
PCo(42:2),1635745.9360351562,2267038.2064208984,1640173.090576172,1415283.7329101562,1673034.333984375,1525203.5197753906
PCo(42:3),1516773.5009765625,2227290.780029297,1612967.1979980469,1394220.9753417969,1649062.812133789,1497135.6293945312
PCo(42:4),1571772.41796875,2089629.0446777344,1608780.7641601562,1356419.6171875,1622556.8190917969,1469343.891357422
PCo(42:6),1556767.6762695312,2043167.943359375,1633304.5168457031,1403809.8208007812,1566629.0415039062,1455816.8967285156
PCo(44:3),142256.61336517334,185886.94980621335,99217.4868812561,93023.8879699707,122887.58763885498,97204.80699920654
PCo(44:4),194145.1330871582,243334.73220825195,153938.23194122314,147200.11389160156,160393.0738067627,126299.8314666748
PCo(44:5),350660.08557128906,393283.1896820069,321181.8919830322,292618.2258605957,298842.2384185791,265210.65531921387
PCp(32:4),640225.8755187988,3285602.855163574,389391.69494628906,848536.6537475586,1683208.6495666504,1542467.25881958
PCp(36:5),961143.620300293,4429165.621765137,613353.7997436523,869050.7075805664,1615279.8414001465,1502268.9339294434
PCp(40:6),767189.9477539062,2078487.730041504,691517.3436889648,576484.6815185547,1034923.158782959,1243199.4739074707
PCp(42:4),1533516.2641601562,2096967.9880371091,1592293.5832519531,1395578.1723632812,1625884.244140625,1465324.9580078125
PCp(42:6),1534387.7021484375,2110292.146972656,1573343.3698730469,1389594.9479980469,1624082.7678222656,1495375.201171875
PE (14:0),57054.62396240234,57881.3837890625,54242.02423095703,53812.56411743164,50008.64364624024,47137.743560791016
PE (14:1),458465.58392333984,461029.5712890625,449331.5771484375,466453.3524169922,423918.9479370117,447142.05078125
PE (16:0),1744.1001243591309,1492.6601028442385,163858.59307861328,1523.66011428833,1544.0201110839844,154056.14840698242
PE (16:1),1609.5001182556152,1553.3601112365725,74242.82629394531,1529.6601181030271,1896.0001182556152,86577.80624389648
PE (18:0),58275.44445800781,78939.8257446289,40480.94302368164,60010.54446411133,68460.78393554688,50784.4235534668
PE (18:1),78301.94598388672,139242.83111572266,44652.12326049805,61632.52407836914,63234.26516723633,40945.70278930664
PE (18:2),62252.74420166016,62217.0837097168,49734.58377075195,61885.02508544922,57509.78414916992,45679.422760009766
PE (18:3),97952.30642700195,113252.98754882812,78532.74505615234,94485.78564453124,91726.92700195312,73301.38586425781
PE (18:4),74175.2445678711,1346482.1478881836,78917.62585449219,69796.78509521484,70810.50482177734,90006.40637207031
PE (20:0),86901.56820678711,86170.08708190918,1496.9601020812988,77286.6248626709,76253.96626281738,1588.1001091003418
PE (20:1),101447.84661865234,147742.40954589844,1954.880126953125,72980.9850769043,73587.84573364258,2695.5202140808105
PE (20:2),806355.2590332031,890111.2939453125,3542.360244750977,378889.0256347656,614424.4589233398,63769.2868270874
PE (20:3),109802.4866027832,116537.00900268556,42225.84265899658,103694.52783203124,110900.14822387695,44807.20347595215
PE (20:4),96989.06652832033,113362.64807128906,36847.22247695923,104865.50793457033,127224.78942871094,54445.02387237549
PE (20:5),750215.1669921875,751087.8935546875,504983.1337890625,738379.791015625,800877.8359375,518924.2373046875
PE (21:0),50758.46270751953,55520.3440246582,34050.74247741699,49264.70359802246,55287.48327636719,29898.50227355957
PE (22:0),84540.20547485352,89478.14669799805,64976.40423583984,72861.88485717773,85154.52685546875,83184.52642822266
PE (22:1),50594.06442260742,57563.38436889648,30377.70227050781,39251.5827331543,43704.86242675781,26482.661682128903
PE (22:2),54397.364654541016,53207.5432434082,44542.88301086426,53676.06394958496,53040.824768066406,42119.42337036133
PE (22:4),68959.14434814453,89585.98571777344,42645.4430847168,82694.70657348633,106378.72772216795,43672.10299682617
PE (22:6),111140.86987304688,319153.9258422852,68521.82461547852,195587.2347412109,221474.73388671875,106081.2077331543
