Lipid,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon
1-O-cerotoyl-Cer(d18:1/16:0),97478.24760437012,85335.76477050781,105676.1282157898,63247.98458099365,78392.94470977783,111197.36640167236
1-O-cerotoyl-Cer(d18:1/18:0),305559.53926086426,284533.3180465698,315078.30672073364,157930.9115447998,228741.71733093265,339689.64263916016
1-O-eicosanoyl-Cer(d18:1/16:0),50221.2636795044,97699.06726837158,35528.922370910645,40477.462688446045,47302.34348678589,36310.98204803467
1-O-lignoceroyl-Cer(d18:1/16:0),77242.60544967651,81890.94709014893,73431.82516098022,70156.98491287231,90403.96683502196,53195.04327392578
1-O-myristoyl-Cer(d18:1/16:0),55769.94352340698,59503.92415237427,51984.18327713013,44181.50326156616,49011.963397979736,45070.7234954834
1-O-palmitoyl-Cer(d18:1/16:0),42922.682651519775,68184.54487991333,40714.48252868652,39518.76318740845,44456.16331863403,41486.06307220459
1-O-stearoyl-Cer(d18:1/16:0),61475.42427444458,137949.04893875122,43658.14338684082,51899.82354354858,56296.36441421509,42019.50308609009
1-O-tricosanoyl-Cer(d18:1/16:0),43802.02247619629,44314.10312652588,45363.443408966064,42341.26301193237,47969.623191833496,34593.72241592407
1-O-tricosanoyl-Cer(d18:1/18:0),11110.9609375,11287.780799865724,10400.820728302002,9018.440578460692,11086.620765686035,10810.2406539917
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",4113421.935546875,4024964.0034179688,4172629.2885742183,5983760.49609375,5044906.811035156,2897261.4868164062
12:0 Cholesteryl ester,194297.81564331052,206243.57360839844,53790.523944854736,169429.59413146973,191839.97328186035,48507.40311431885
12:0 Cholesteryl ester_2,190207.0535888672,198169.4523773193,51690.70365142822,170046.1913909912,177208.31147766113,51444.80327987671
14:0 Cholesteryl ester,151012.9727783203,95271.94723510742,54412.36402511597,99233.18690490724,90300.9059906006,40449.28260803223
14:1 Cholesteryl ester,146649.31089782715,99486.52751159668,53858.74382400513,93945.5266494751,94580.62687683104,39776.48303985596
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,273822.9802246094,280063.2983398437,99011.74743652344,282307.5396728516,277162.119140625,107436.90838623048
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,266944.2990722656,270783.4014892578,96553.88653564452,282309.6809082031,278571.67907714844,108698.96670532228
15:0 Cholesteryl ester,241246.33728027344,253455.57739257807,105602.46716308594,257820.4782714844,246816.4970703125,116445.74822998048
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,278759.4783935547,273873.7996826172,111482.82788085938,295206.8620605469,267262.1589355469,126887.06896972656
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,272410.89880371094,280813.90087890625,110884.42791748048,280321.3400878906,274924.6597290039,121661.82904052734
15:1 Cholesteryl ester,260969.47998046875,254370.2586669922,106415.78732299805,268707.9381103516,249741.7177734375,113070.3878173828
16:0 Campesteryl ester | 17:0 Cholesteryl ester,163176.71159362793,187992.35208892825,46379.60326766968,336776.8264312744,328525.7266998291,76195.66496658325
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,160255.63095092773,202342.0154266357,50241.78372955322,347830.1068267822,326737.5634002685,75534.00523757935
16:2 Campesteryl ester,157160.73239135742,191045.8516845703,48198.26329803467,342955.9080352783,310051.0410308838,69768.96461868286
"16:2 Cholesteryl ester, zymosteryl palmitoleate",269839.3192138672,260879.01892089844,113157.4481201172,280581.6188964844,265993.7189941406,119384.78771972656
16:3 Campesteryl ester,154318.75048446655,185146.27444458008,47734.20327758789,332875.0812988281,310477.7449951172,71218.46506500244
16:3 Cholesteryl ester,254891.2978515625,267854.7390136719,103272.96737670898,259728.7784423828,258171.55993652344,119627.44903564452
16:3 Stigmasteryl ester,209177.1556091309,238084.13414001465,74735.34531402588,417130.1490478516,365903.52224731445,105826.8872909546
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",263683.299118042,306007.86514282227,72935.00525665283,472836.2958374024,411432.9081420898,95725.1279220581
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",264936.3984527588,297442.67919921875,70505.20509338379,467518.1094055176,432811.65029907227,94433.90701293944
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",262366.89752197266,291198.4189758301,70637.34497070312,449361.2501220703,421981.7488708496,102442.5464553833
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",270283.1389465332,304620.8027038574,71781.18487167358,468996.0119934082,424691.0045776367,98708.50708389282
17:1 Cholesteryl ester; 16:1 Campesteryl ester,159780.23112487793,195049.0751647949,50700.763595581055,345805.9059753418,328314.5411529541,73089.96499633789
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,141740.25134277344,189485.9930114746,45853.58361053467,334849.38470458984,315089.0400085449,72327.7248840332
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",219805.5156860352,230061.63494873047,61646.12407684326,251351.8338623047,233254.1951904297,69918.46492004395
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",218252.77764892575,222260.49298095703,57490.724044799805,256823.51718139648,238287.11483764648,71601.82501220703
18:1 Campesteryl ester,224761.6177978516,221406.51528930664,57654.62384033203,251414.53872680664,228142.67880249023,71419.0849647522
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",280304.0225830078,318279.0209350586,71046.00440979004,503344.5899963379,456015.0985107422,103999.52606201172
18:3 Campesteryl ester,204601.67504882807,201746.27587890625,59464.94415283203,230115.6553955078,210156.63537597656,71416.26483917236
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",303762.46228027344,323355.76055908203,75469.04551696777,507221.6766357422,458659.0358581543,101501.9271697998
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",394841.6081542969,361790.4643554688,141033.05004882812,410047.4875488281,395767.2680664063,149879.97039794922
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",389983.6870117188,350235.70349121094,141314.990234375,410446.4294433594,389397.6693115234,154023.69094848633
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",1239495.3037109375,1246068.608642578,1313484.6853027344,1111581.3986816406,1121579.8967285156,1366424.7204589844
20:0 Campesteryl ester,585695.0806884766,473914.7347412109,214888.3358154297,792573.4987792969,704186.2043457031,251567.6792602539
20:1 Campesteryl ester,591302.220703125,470726.4147949219,206285.61291503903,774650.533203125,688702.3489990234,246157.97802734372
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",399111.8679199219,371012.6671142578,143911.17016601562,414108.267944336,387061.1658935547,159229.2709350586
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",397876.2894287109,374258.9852294922,143833.49053955078,419701.06994628906,395618.7508544922,162763.43139648438
20:3 Campesteryl ester,718330.4713134766,585737.4237060547,297018.6400756836,603714.2861328125,607590.48828125,299902.3406982422
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",331318.5635986328,305953.5029296875,136850.70935058594,346226.2841796875,322671.5235595703,153372.83123779297
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",353973.44651794434,347179.2874908447,132554.4094543457,355207.22428894043,350653.64825439453,149925.87145996094
20:5 Cholesteryl ester,744792.4973754883,726792.6704101562,239452.2180480957,768802.1929626465,717188.4313659668,274553.0383682251
22:0 Campesteryl ester,328048.70728302,321248.46086883545,65602.16407394409,472356.95237731934,330720.66106414795,102224.66787719728
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",273860.9999847412,198562.29412078857,90103.56624221802,491573.2315979004,408879.0844268799,132412.4898223877
22:0 Sitosteryl ester,361571.613319397,384457.0058746338,74688.44552993774,486894.434677124,369547.3709869385,114893.82941436768
22:1 Campesteryl ester,276676.6441421509,289324.78229522705,61668.54472351074,438211.0646972656,309484.4637756348,99733.32707595824
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",276648.3995361328,193528.11378479004,89969.3465385437,483708.2539367676,420318.2272872925,128342.92868804932
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",368723.5038909912,365224.468170166,74251.82576751709,491484.9942550659,370056.0489387512,108360.74819946288
22:2 Campesteryl ester,107182.94714355467,130781.98825073242,53468.66411590576,366085.0646057129,299380.28102111816,109228.78860855104
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",350452.42657470703,345563.46530914307,71689.82487487793,490631.93672180176,363682.14473342896,113005.9493637085
22:3 Campesteryl ester,119099.86869812012,140469.92993164062,32036.042041778564,427643.9084777832,345265.1865081787,99418.78695678712
22:3 Stigmasteryl ester,327154.7291030884,340397.6675796509,71032.12460327148,474261.485168457,322717.52098083496,99826.9475517273
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",635157.966796875,495490.35778808594,231045.13665771484,825638.3364257812,752051.2749023438,282835.4387817383
22:5 Cholesteryl ester,602304.2216796875,474177.8748779297,214552.43481445312,781182.6794433594,727029.6968994141,266388.83935546875
22:6 Cholesteryl ester,590267.5639648438,471349.9522705078,207493.234375,792286.6184082031,704965.5673828125,258944.73635864255
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",370315.3039894104,374672.5684509277,71333.26514053345,502742.6997833252,380739.0824661255,113668.9673461914
3-hydroxyarachidonoylcarnitine,1743413.8393554688,1767162.2346191406,2071022.1474609373,1799780.4743652344,1569145.6931152344,1896938.0458984373
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",1407759.0158691406,1430833.4693603516,1726085.123046875,1492376.4155273438,1272668.7355957031,1561962.6239013672
"3-hydroxylinoleoylcarnitine,",13833465.81298828,13605475.501464844,13313878.918457031,24845405.71484375,20141493.19873047,7696857.471191406
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",6347135.7314453125,6494530.602050781,6203783.0927734375,10120286.5234375,8644065.336914062,4404611.219238281
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",1684092.1088867188,1725702.0595703125,1831606.1508789065,1702237.0874023438,1567913.7353515625,1825566.8857421875
C12:0,51106.78370666504,91973.32678222656,579113.6983642578,69178.10479736328,89496.72622680664,807750.4308166504
C12:1,36461.78248596192,56407.56418609619,267596.4381713867,54428.58346557617,68969.32496643066,320718.3243408203
C14:0,742224.6928710938,1357406.8583984375,4816041.5947265625,797848.4155273438,1038947.3747558594,6086357.071289063
C14:1,459139.11328125,698750.2480773926,1384640.4365234375,615082.2641601562,682291.145690918,1603733.1870117188
C15:0,83619.20587158203,114550.88809204102,980730.3876953124,110539.58795166016,123724.40884399414,1152721.5948486328
C15:1,243891.4972076416,172873.8332824707,2037424.6431884768,210501.9548339844,202034.65341186523,1514256.1926269531
C16:0,492442.299697876,722177.9931945801,24710067.015625,529921.4750976562,620287.5859985352,24158374.688964844
C16:1,69926.42470932007,101032.60723114014,1601274.842224121,86202.68649291992,91125.6865158081,2158698.156677246
C17:0,82212.16567230225,125040.14878082275,2558531.094116211,100422.14749145508,122047.9882965088,2972810.925720215
C17:1,41137.10298156738,79882.28601074219,500772.4754638672,61690.26426696777,74057.78514099121,625535.0833129883
C18:0,315278.34188079834,433378.3914489746,25256819.70678711,352334.68466186523,399402.2286453247,22949736.43359375
C18:1,55659.40390014648,90638.84634399414,810537.4561767578,82890.0258178711,86888.56616210938,954833.6274414062
C18:2,51517.12364196777,82772.3656463623,598530.7807617188,70807.24513244629,76265.94551086426,719817.4752197266
C18:3,40196.66284179688,68739.76467895508,482672.510131836,64590.524490356445,63170.42427062988,639759.1867675781
C18:4,29795.62212371826,42841.50294494629,253638.45809936523,46533.32337188721,43442.8631439209,297272.72036743164
C19:0,79735.1650314331,100824.54722595216,2517998.448852539,98136.66693115234,111588.76774597168,2496712.6459960938
C20:0,7625.920551300049,7608.080535888672,3569106.7729492188,7596.040508270264,7619.42049407959,3588110.912597656
C20:1,7973.540523529053,7957.200546264648,668306.7871704102,8022.220550537109,7994.180530548096,840781.7383422852
C20:3,135101.6886024475,104132.10711669922,2262179.7631835938,91157.68614196776,103897.3074798584,1108946.6127929688
C20:4,32735.622283935547,49819.90333557129,443240.44958496094,46574.74308776856,53875.42372894287,525532.2166137695
C20:5,74016.66553497314,103986.2075958252,2072325.462463379,95898.60676574708,99464.44665527344,2234795.3063964844
C22:0,19029.86138534546,26404.801998138428,1573388.7415161133,26260.50191116333,25082.26183319092,1738271.1184082031
C22:1,12262.760818481443,14928.021049499512,396425.8852233887,15058.681056976318,15180.181098937988,562976.8242797852
C22:4,11518.540817260742,13894.041004180908,287421.85873413086,14099.04095840454,14168.140979766846,407576.4501953125
C22:5,18497.501358032227,25893.501750946045,1595236.7329711914,22931.98175811768,24359.44175720215,1739447.8699951172
C22:6,13802.64096069336,20045.46136856079,714058.3937988281,17181.101203918457,17762.741245269775,826280.32421875
C24:0,10721.740745544434,11840.92082977295,7640.640575408936,12339.840816497805,11470.440799713137,7645.300586700439
C24:1,9778.740676879885,11193.28080368042,7639.500553131103,11309.860774993896,12344.300842285156,7645.220573425293
C24:5,12792.980945587158,13827.74101638794,556735.4445800781,15465.401084899902,16131.00112915039,714886.6081542969
C24:6,10561.200748443604,13263.780952453611,272243.0631752014,14413.2610206604,13877.68102645874,415605.2879180908
C26:0,9872.760688781738,11329.320789337158,263596.6177215576,10922.100776672363,10977.520793914797,314647.0219268799
C26:1,10679.94073867798,13171.200923919678,227776.5569458008,12510.580871582031,12858.260913848875,275542.51921081543
C28:0,10157.58067703247,11665.320838928224,610670.6045532227,11346.440788269045,14290.341018676758,942742.3486595154
C30:0,8350.92057800293,8562.020626068115,384803.0291366577,10840.6407661438,11179.040767669678,514491.2581596375
C32:0,8079.460540771484,8412.200569152832,226813.65603637692,8321.540542602539,8389.820556640625,305144.40198135376
C34:0,10201.14068222046,11093.140781402588,305333.1212348938,11103.62077331543,10224.440677642822,371290.6688842773
Cer(d14:1(4E)/20:0(2OH)),57777.78420257568,60768.66422653198,50150.32370376587,44911.30355453491,52637.56365966797,50211.7035446167
Cer(d14:1(4E)/20:1(11Z)(2OH)),76996.04591369629,74460.72595977783,52325.02319717407,66385.66468048096,67455.70527648926,58207.66443634033
Cer(d14:1(4E)/22:0(2OH)),904654.271533966,862039.7985877991,899897.511341095,1112994.5978775024,801876.4956321716,959443.559223175
Cer(d14:1(4E)/22:1(13Z)(2OH)),865813.1958465576,821842.8543510437,856637.6698722839,1077618.9515800476,790294.2203903198,916265.2725219728
Cer(d14:1(4E)/24:0(2OH)),130907.25006866457,122294.96878051758,125356.0083732605,126405.50827407835,108610.56880187988,134923.91022872925
Cer(d14:1(4E)/26:0(2OH)),505025.8565216065,492932.9487953186,440516.6707344055,594248.168182373,595145.3946228027,324045.42502593994
"Cer(d14:2(4E,6E)/16:0)",40769.52279281616,41007.66272735596,37300.06266784668,36659.84269714356,41108.84299468994,48744.80326461792
"Cer(d14:2(4E,6E)/18:0(2OH))",45247.52335357666,50021.8431930542,45329.50323867798,42400.46326446533,47095.68347167969,57186.80380630493
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",45080.623222351074,49815.48331069946,44422.783126831055,42056.00294494629,40724.52266693115,54889.60378265381
"Cer(d14:2(4E,6E)/18:1(9Z))",39618.36284637451,46642.46323013306,39698.04281997681,37185.162647247314,43020.64310836792,52689.10400390625
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",59789.84421157837,71142.02465057373,50820.34362030029,51594.80355834961,57414.78372955322,65516.9846496582
"Cer(d14:2(4E,6E)/20:1(11Z))",40963.18310165405,46591.06354904175,41008.20303344727,35934.16244888306,41194.082916259766,45720.88299179077
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",721940.2105064392,670892.6943588257,746761.8124961853,825867.1023635864,594778.1061706543,781338.4214324951
"Cer(d14:2(4E,6E)/24:0(2OH))",129998.12881469728,126046.5083694458,130150.34770584106,117835.48852539062,113940.36684799194,141184.82913208008
"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",593627.7808227539,581360.4057617188,557008.7744750977,703883.7639770508,517497.0614318848,619767.520324707
"Cer(d16:2(4E,6E)/24:0(2OH))",141637.86953735352,141703.29083251953,141010.5298461914,139150.44946289062,137532.40991210938,149615.56964111328
Cer(d18:0/14:0),66863.50491333008,69065.14440917969,71425.44549560547,63055.4044342041,63526.28448486328,67672.00479125977
Cer(d18:0/16:0(2OH)),157542.37243652344,175195.9535522461,151409.3317565918,122628.80828857422,141773.06951904297,137606.88946533203
Cer(d18:0/16:0),109625.56774902344,120050.1491394043,113740.40823364258,100094.02682495116,106206.4084777832,102810.2278137207
Cer(d18:0/18:0(2OH)),117435.24809265137,128627.12878417967,132048.20989990234,109518.74835205078,123302.81030273438,107603.967086792
Cer(d18:0/18:0),136700.02981567383,154117.93182373047,168054.5304260254,135386.96923828125,141122.8302307129,136266.6486968994
Cer(d18:0/20:0(2OH)),183096.27249145508,195391.7543334961,211938.6728515625,158721.9917602539,171630.59329223633,166497.03149414062
Cer(d18:0/20:0),117931.08877563477,121169.94833374023,125222.98852539062,109028.2276916504,113017.04803466795,112574.00775146484
Cer(d18:0/22:0(2OH)),2286434.396728516,2247384.0450439453,2154655.430541992,3300346.4752197266,1987975.8001098635,2262947.1845092773
Cer(d18:0/22:0),172038.23184204102,186121.9129333496,194704.15325927731,149867.6692199707,164326.61096191406,153924.45114135742
Cer(d18:0/24:0),2396469.434631348,2426856.960632324,2341771.2512817383,3448934.1716308594,2079665.658874512,2353423.262878418
Cer(d18:0/26:0),872896.2835693359,878020.8327026367,788809.9602050781,1137546.8623046875,1165005.7176513672,575032.2446899414
Cer(d18:0/h24:0),256679.75750732425,279762.6620788574,283369.41983032227,244643.45587158203,259111.43646240237,262429.3205566406
Cer(d18:0/h26:0),868249.850189209,886196.2477416992,808704.8353271484,1123480.5798339844,1150720.6209716797,550224.9970397949
Cer(d18:1/12:0),61028.26476287842,62309.10482788086,47802.182861328125,53197.92353057861,59851.80404663086,49775.063621521
Cer(d18:1/16:0),80432.16535949707,93757.44664764404,72981.7046661377,79237.16539001465,97881.70654296876,90603.74644851685
Cer(d18:1/18:0),59689.544372558594,127770.76694488524,56037.683586120605,87094.68640899658,110851.00830841064,88580.64666748047
Cer(d18:1/18:1(9Z)),115773.1886062622,218115.5729675293,102569.3660812378,140190.84909820557,210433.01362609863,120533.76919555664
Cer(d18:1/20:0),52026.52410507202,65261.56423187256,50047.483432769775,49522.90370178223,55451.34344482422,54179.524017333984
Cer(d18:1/22:0),870953.7059364319,265908.45905303955,623142.6586608887,100939.0463218689,160411.19227600098,119152.56928253174
Cer(d18:1/24:0),546581.3861999512,639760.0538253784,549333.956161499,593089.6455001831,438170.02546691895,599883.9811782837
Cer(d18:1/24:1(15Z)),543773.7197113037,696657.3953399658,532321.742401123,598796.2297325134,428113.7665176392,608439.4517974854
Cer(d18:1/26:0),469870.4802474976,454248.0467453003,436605.1278076172,497802.9726371765,537609.1670837402,326642.004447937
Cer(d18:1/26:1(17Z)),478652.75298309326,473673.8986740112,448157.33266448975,522383.6354675293,543907.6788864136,341461.0228652954
Cer(d18:1/2:0),57226.82417297363,57312.42374420166,65079.1443939209,55860.76383972168,50782.20366668701,56856.504219055176
Cer(d18:2/14:0),2201829.37607956,159849.03102111816,1778216.844497681,174427.89269256592,152164.46856689453,190887.815322876
Cer(d18:2/16:0),93261.62633132936,60513.88410186768,78506.70527648926,62053.18440628052,60778.943992614746,58489.70401763916
Cer(d18:2/18:1),223599.65673828125,214150.07403564453,238759.0759277344,206700.25567626956,222232.5562133789,212156.6743774414
Cer(d18:2/20:0),256444.37756347656,228657.23559570312,255671.3771972656,222627.7166748047,225070.27587890625,255206.47631835935
Cer(d18:2/20:1),261593.05786132807,244983.9771728516,274589.8798828125,231133.03564453125,243625.33837890625,269149.3182373047
Cer(d18:2/22:0),18541628.177490234,3105733.204589844,12921832.19946289,1038344.095703125,2183185.178466797,1487201.7111816406
Cer(d20:0/26:0(2OH)),325789.00036621094,335515.92514038086,312534.9390106201,374665.7680969238,411111.3875732422,237011.7158203125
Cer(d20:0/26:0),333146.2847595215,329067.0236816406,321036.70486450195,368906.1276245117,398658.8899078369,248854.3162078857
Cer(t18:0/16:0(2OH)),606446.1223602295,571067.5781402588,582200.8833999634,546143.3397521973,495983.7569732666,532031.7911300659
Cer(t18:0/18:0(2OH)),115771.9681854248,127249.98889160156,120445.3277053833,128379.40993499756,120575.34927368164,104532.12574768066
Cer(t18:0/20:0(2OH)),620803.1235656738,444940.0567321777,621021.2648620605,358028.68559265137,442355.5511627197,516267.29121398926
Cer(t18:0/22:0(2OH)),845147.2594146729,867732.143081665,867039.7893066406,994208.4525604248,640879.6389160156,939934.5295562744
Cer(t18:0/24:0(2OH)),357125.14936828613,348099.9447174072,418451.4130554199,369610.20582580566,298792.6787109375,454948.3930206299
Cer(t18:0/26:0(2OH)),752586.3932189941,729496.9492797852,685928.9699707031,829755.802658081,883147.4157104492,486786.0977935791
Cer(t20:0/26:0(2OH)),3468.720241546631,3382.3202362060547,497928.7173156738,3415.580249786377,3371.1802368164062,398842.88369750977
CerP(d18:0/16:0),173035.3125,186046.51293945312,197870.59466552731,152291.55096435547,168926.47064208984,155691.97232055664
CerP(d18:1/12:0),132405.96952819824,275667.90003967285,114402.40865325928,172587.41315841675,269969.7175292969,136097.96863555908
CerP(d18:1/14:0),56819.28397369385,71758.46583557129,48855.22270965576,57414.6042098999,62980.224296569824,53456.82442855835
CerP(d18:1/16:0),915789.8233413696,289944.86196136475,641735.2017593384,105640.08877563477,175879.49389648438,121013.00926208496
CerP(d18:1/18:0),538512.8828048706,699225.5154685974,526490.552570343,581102.6004943848,433374.4486618042,591773.5444641113
CerP(d18:1/20:0),472444.6291732788,458911.9384841919,428618.8303527832,526049.6774749756,524687.4390716553,343504.624004364
CerP(d18:1/22:0),76798.12537765503,81581.76573181152,72143.26515579224,72163.64433288574,72178.28564453125,65620.66539001465
CerP(d18:1/24:0),68749.28535461426,73797.66579437256,60966.98456573486,63919.48501205444,71260.62462615967,55145.943351745605
CerP(d18:1/24:1(15Z)),62809.56479644776,70478.72504425049,59639.54490280152,64127.064453125,66398.08428192139,53918.28367233277
CerP(d18:1/26:0),54308.183574676514,53668.02383422852,50444.94370651245,42902.26310348511,45579.02322769165,44308.6830406189
CerP(d18:1/26:1(17Z)),52826.94425964356,50741.76348876953,50619.08413696289,42678.42306518555,45244.40324020386,44901.60280227661
CerP(d18:1/2:0),73579.20556640625,72091.60517883301,67340.08499145508,83003.98606109619,77741.66497802734,61959.42440032959
CerP(d18:1/8:0),137604.01025009155,52283.6637802124,119431.92895507812,46514.703578948975,49922.343490600586,49612.22328948975
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",298767.4224395752,203995.51489257807,94036.04633712769,508719.3950653076,431463.2315979004,140062.0503730774
Cholesteryl nitrolinoleate,594039.0979003906,471232.4727783203,207450.61462402344,763013.3603515625,696839.2486572266,257479.65899658203
"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",1130974.0258789062,1205638.7025146484,1487022.7548828125,1131896.9448242188,1069884.9743652344,1345452.6511230469
Hexacosanoyl carnitine,1567602.5316314695,1540132.809577942,2344674.869720459,1580945.2354125977,1424323.4107513428,1670421.1096801758
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",6427668.4609375,6523871.8017578125,6429227.993164063,10762652.134765623,9055880.276367188,4218156.024414063
Lyso_C17 sphingosine-1-phosphocholine,69984.40475463867,66522.70385742188,66307.1255493164,56239.96435546875,62709.823974609375,70548.52459716797
Lyso_PC(10:0),36329.762298583984,42434.70332336426,38280.82247924805,43053.16354370117,41147.36267089844,40502.98275756836
Lyso_PC(11:0),53397.66369628906,54590.344299316406,57148.38426208496,53096.84326171875,55629.164642333984,58976.524475097656
Lyso_PC(12:0),79859.64468383789,75837.82467651367,83757.32565307617,78323.96432495117,77908.1851196289,81571.26525878906
Lyso_PC(13:0),43675.64349365234,48060.60305786133,43648.14323425293,42034.46276855469,39431.04243469238,48180.64358520508
Lyso_PC(14:0),202316.1151123047,211498.97149658203,199179.37622070312,164846.17041015625,178557.37377929688,199302.31298828125
Lyso_PC(14:1),156261.908203125,160945.83239746094,157671.35119628906,131529.1483154297,143456.431640625,162883.21002197266
Lyso_PC(15:0),298806.32095336914,292091.32440185547,277070.5731506348,228244.71633911133,252735.8761291504,294030.86206817627
Lyso_PC(15:1),261408.84521484372,269029.9136657715,257679.71942138672,195633.8315124512,227935.71405029297,254834.17517089844
Lyso_PC(16:0),239863.6969604492,276419.07974243164,213644.1976013184,198958.31341552731,222372.3583984375,225734.2387084961
