Lipid,Class,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,8591.540615081787,8456.700565338135,7244.800518035889,7988.360569000244,7816.26053237915,8907.860569000244,13441.081062316896,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:0)_QUAL,CAR,1465661.5479812622,1471804.5253257751,1495402.5145492554,1509350.9440078735,1534842.3647384644,1457573.125499725,1358931.08203125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:1),CAR,459726.014465332,459556.2958984375,466029.6733665466,473192.2338218689,470902.736000061,456719.7716178894,634009.9052734375,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,1168491.082397461,1165448.3845214844,1165622.5580291748,1197382.9510269165,1223989.145462036,1133229.6761245728,1046036.49609375,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:2),CAR,470667.7735595703,469337.28994750977,472138.4946517944,464267.77478027344,479449.8723144531,472247.4354248047,642041.1708984375,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,664392.66796875,603536.2040405273,627115.3056640625,708170.4301757812,600914.159362793,586886.3618164062,585456.421875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:3),CAR,465083.8903808594,462530.2118835449,458302.6073188782,460119.35189819336,464057.452835083,462716.1932449341,611447.3291015625,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,699709.5654449463,681354.36769104,692704.0530395508,695539.7074279785,672318.2248725891,617384.665802002,633677.9819335938,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(11:0),CAR,215049.35606002808,222003.6559715271,217721.4149169922,216942.31550216675,228741.0756149292,216124.01500701904,307762.5842285156,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,917140.747505188,945642.8892822266,954241.1290931702,983907.2283935548,980565.6117897034,924346.5397491456,870968.1220703125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(12:0),CAR,6612772.765007019,6553456.024692535,6603319.179691315,6624754.211257935,6717907.478443146,6659343.449691772,6397297.76171875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,1193942.9633636477,1279660.1290664673,1222956.989692688,1287689.2668800354,1300107.4476852417,1137825.3182106018,1316580.955078125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:0),CAR,332862.2823295593,339905.80448150635,338632.98584747314,344700.1848526001,358287.88621521,342347.18447875977,372286.3051757813,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,743154.5322341919,733432.2945365906,712182.9745788574,730440.7923126221,776724.5965690613,715467.2517662048,886736.28125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:1),CAR,338663.2843208313,351927.0446739197,349780.6231689453,348162.04473495483,367769.3065872192,348716.82412719727,368998.5258789063,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,744602.9521179199,733397.7854766846,751904.1968002319,766372.874382019,766401.6937179565,740715.7894592285,902707.2607421876,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:2),CAR,374953.6049690247,386218.3284263611,377583.80672836304,379547.5256729126,392923.6473693848,379550.0477981568,397565.6098632813,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,774199.4570770264,768619.9982872009,757587.032585144,789616.1741104126,798070.0604743958,746626.632194519,898668.984375,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:0),CAR,248438.1576423645,256342.4572944641,250341.67779922485,245753.4393043518,263729.85804367065,244751.75845336917,283562.0600585937,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,780233.8910598755,733402.4082489014,718402.3291473389,782067.414691925,729065.9316101074,712383.3089141846,743383.630859375,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:1),CAR,239549.95531082156,250917.5990600586,237858.3367919922,244149.1976242065,252695.8781776428,242737.27661895752,271161.9794921875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,728574.1284446716,727922.1539497375,726252.3511772156,714028.0119590759,761771.6136398315,713375.989616394,740003.9345703125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:2),CAR,243835.67629623413,242903.81734085083,227772.11569213867,233746.2361984253,251160.677192688,238116.23794555664,256414.337890625,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,758232.4121170044,706301.4317817688,682616.0869216919,746355.1691856384,741312.2479362488,680106.8850440979,720453.970703125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(17:0),CAR,1266043.720790863,1346960.3937568665,1297160.1095352173,1338827.432430267,1424652.5557098389,1275777.190788269,1142501.9833984375,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,522134.95793533325,544400.1816864014,533254.9981689453,544554.2147331238,562287.6005325317,533086.5393829346,595367.421875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:0),CAR,3130900.762664795,3252273.294067383,3145356.0317230225,3203608.6062583923,3518062.486724853,3245037.5331306458,3204698.263671875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,670423.8701210022,707733.4903945923,695461.6885604858,693850.8493843079,733085.6737937927,687811.7888336182,760985.4560546875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:1),CAR,3085144.1928215027,3204446.966571808,3077063.5401649475,3138169.3336029053,3388461.5528182983,3151038.9817237854,3208659.5,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,658951.204574585,695685.7893409729,664231.3082084656,658315.0877799988,721227.9511795044,669243.5468063354,735194.3125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:2),CAR,3159603.657661438,3276826.2682876587,3148183.6836013794,3217802.9153175354,3491905.8846931458,3245415.816570282,3252238.28515625,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,626307.843208313,661403.1086006165,648519.5268821716,652287.844379425,701849.2703590393,647354.7459030151,725255.8544921875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:3),CAR,3131085.3457870483,3246143.318599701,3126934.2593803406,3160923.04813385,3446792.911567688,3198455.052192688,3175149.642578125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,677312.8036766052,712527.8482093811,704776.6503562927,691029.6306724548,750720.569732666,698366.1102409363,757884.5498046875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:4),CAR,3077947.657196045,3193789.6042251587,3064326.3414115906,3131360.3840675354,3377583.2187576294,3131903.721725464,3109092.08203125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,659871.9247322083,704503.7686386108,686904.5498886108,692716.1691436768,747812.2742652893,689283.4114532471,756819.1298828125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:0),CAR,567950.9185638428,597981.5261383057,581646.0180549622,590750.9011764526,625775.5028991699,580729.5193443298,631235.4873046875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:0)_QUAL,CAR,2037328.78937912,2077391.2237548828,2048442.6357841487,2047274.6223487852,2105911.855319977,2005786.6437568665,2018746.53125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:1),CAR,555359.1405525208,573932.7795372009,548443.2402801514,548493.577545166,609974.4481315613,556584.7382469177,602583.583984375,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:1)_QUAL,CAR,2031445.1567268367,2030649.0118789675,2026440.485786438,2018776.38407135,2092374.8167266848,2016305.91469574,2005452.6015625,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:2),CAR,489639.15322875977,520274.2581291199,489973.5371932984,499628.75422668457,544810.4769973755,506287.9177017212,542018.3017578125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:2)_QUAL,CAR,1961910.864227295,1998494.3878173828,1959580.1868782043,1981384.982196808,2013512.038444519,1941173.5353164675,1927371.623046875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:4),CAR,518909.0928573608,536502.5371932983,520621.339263916,531815.5353775024,581046.8832092285,528724.5999298096,571720.7197265625,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:4)_QUAL,CAR,1710370.5127372742,1732785.4181289673,1729382.5322723389,1766595.6940689087,1787041.7264900208,1714533.551410675,1701772.712890625,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:0),CAR,206396.23305511475,220538.85735702515,209466.17405700684,214747.49493026733,227331.616481781,211000.8147354126,246921.7578163147,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:0)_QUAL,CAR,1567737.4921150208,1645451.4886016846,1766458.3007087708,1771301.5647697449,2602966.966884613,1834967.6647720337,2740927.288986206,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:2),CAR,248093.77682113647,261989.89906692505,257068.2985687256,256560.39823150635,282221.6598815918,258547.0998916626,311783.7636947632,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:2)_QUAL,CAR,1572855.6297721865,1650412.572818756,1754634.7050056458,1755342.2292251587,2629091.8953208923,1842750.7917251587,2741514.162109375,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Male,Genotype: WT | Brain Region: diencephalon | Sex: Male,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Male vs Genotype: WT__Brain Region: diencephalon__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
