Lipid,Class,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_hippocampus,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
[TG(55:10)|TG(54:3)]_FA20:4,TAG,221804.134765625,205626.55444335935,367056.3618164063,323041.3469238281,355173.7639160156,340367.4655761719,182766.27294921875,234039.0178222656,189694.39306640625,183041.55395507807,197268.81372070312,163568.251953125,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:10)|TG(54:3)]_FA22:5,TAG,85584.24624633789,83395.98620605469,110594.46728515624,130597.5280456543,146025.1512145996,122661.94903564452,75859.48486328125,114501.68878173828,78880.44607543945,68780.58506774902,115507.96807861328,30830.962188720703,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:10)|TG(54:3)]_FA22:6,TAG,88564.84658813477,86259.38641357422,108542.02749633788,131774.08923339844,131895.7693786621,104649.0869140625,90115.98666381836,108033.7081604004,80101.54573059082,72662.22506713867,108396.08712768556,35098.92231750488,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:11)|TG(54:4)]_FA14:0,TAG,60841.96435546875,52499.44378662109,82905.84661865234,78753.1050415039,98279.04736328124,80758.06604003906,51374.60391235352,54712.24453735352,49825.0234375,41341.46328735352,56158.54382324219,32437.08203125,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:11)|TG(54:4)]_FA16:0,TAG,2241330.8197021484,2679747.8377685547,3586523.334228516,10351034.572265623,11778133.262939451,3545794.8024902344,1115713.934509277,3043589.740478516,793812.4105224609,1891175.8172607424,1048207.5858154296,59198.84399414063,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:11)|TG(54:4)]_FA16:1,TAG,316156.1840209961,367113.2416381836,591987.0428466797,1305730.8784179688,1395485.9962768557,629514.6638793945,161093.69232177734,393555.9286499024,161256.03216552734,264792.53826904297,221613.09631347656,37073.78219604492,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:11)|TG(54:4)]_FA18:0,TAG,656290.630859375,613605.1435546875,1804296.5463867188,11190681.73828125,6614976.351074219,4375815.155029297,407805.69287109375,729355.0893554688,326209.58068847656,1296145.529296875,775406.3122558594,142586.51037597656,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:11)|TG(54:4)]_FA18:1,TAG,994956.2744140624,737518.08984375,3594417.0185546875,26733390.142578125,12685264.34375,9711582.512207031,771753.9599609375,1329974.5209960938,533313.3349609375,3455140.7006835938,1773811.111328125,263154.5986328125,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:11)|TG(54:4)]_FA18:2,TAG,2644676.140625,2782799.9326171875,8431649.31640625,17617256.4296875,12136160.314453123,11815217.748046877,1738401.873046875,2899568.306640625,1706629.7392578125,3679544.328125,3163285.0546875,661027.271484375,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
[TG(55:11)|TG(54:4)]_FA18:3,TAG,1257072.8627929688,1655821.6337890625,4099741.557617188,4209036.1611328125,4921258.182617188,4587365.621582031,692366.5483398438,1562977.0366210938,1048369.939453125,1255326.4702148438,1448992.4584960938,289580.8388671875,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
