Lipid,Class,DOD93_F4_Female_5xFAD_cerebellum,DOD93_F4_Female_5xFAD_cortex ,DOD93_F4_Female_5xFAD_diencephalon,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cortex ,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_hippocampus,DOD94_F3_Female_WT_cerebellum,DOD94_F3_Female_WT_cortex ,DOD94_F3_Female_WT_diencephalon,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cortex ,FAD184_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_cerebellum,FAD184_F4_Female_WT_cortex ,FAD184_F4_Female_WT_diencephalon,FAD184_F4_Female_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(16:1),CAR,265494.65633773804,243783.21682357788,251108.5578765869,251304.5781402588,248678.4370956421,245360.19734191892,255607.11666488647,246293.8966560364,245300.87617874143,240792.1379928589,248448.07914733887,245800.7378692627,245991.79652786252,251715.1997642517,264756.37813186646,247661.2379837036,250654.79792785645,250094.41779708865,238331.3762550354,247959.7371749878,271161.9794921875,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,737661.1934432983,704960.151763916,734014.1730155945,766917.2532501221,703927.8320007324,705393.8503189087,734830.953327179,720657.4304771423,695575.2939910889,676417.1706314087,726439.9694976807,707643.2922325134,717180.0927810669,725311.6316871643,725863.83070755,713666.6140708923,724446.8543014526,731428.8098487854,725142.5340690613,702181.8899688721,740003.9345703125,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(16:2),CAR,254123.47904968265,244697.97831726077,248117.01676177976,253679.09756469727,242813.39530944824,240024.1763458252,247627.7583732605,245519.13901138303,239340.3956298828,238028.15690994263,239834.85723495483,246588.4993057251,241356.97693252563,252207.2161369324,255897.41875839236,247745.63875579837,243000.4768104553,243440.07543563843,241989.59797668457,250961.57744979855,256414.337890625,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,701353.0062561035,666640.0074272156,697616.492351532,717976.537776947,678927.8856697083,674450.1648483276,677503.011100769,668987.487701416,692253.6337165833,675326.2664108276,689009.5485610962,643639.3448104858,677953.36668396,689828.7694168091,674033.1201629639,686873.8896560669,747993.7341079712,727642.2745780945,707687.5710601807,714111.8694229126,720453.970703125,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(17:0),CAR,1482878.3078193665,1396086.3981285095,1370896.202194214,1395676.4764137268,1409439.1154022217,1402296.1561775208,1423578.6156311035,1392305.039226532,1280312.0266456604,1342411.8786811829,1360446.9550056458,1249825.6628189087,1388717.9932060242,1365435.819694519,1413356.663368225,1410220.4593811035,1331627.514461517,1386686.9743041992,1347009.9774284365,1400522.4432868958,1142501.9833984375,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,595341.5996513367,547453.7202033997,576444.3008651733,575001.4996185303,567340.6586799622,563622.2194595337,572052.1805152893,547222.5586013794,547989.9380531311,535001.0970344543,550429.6366462708,544586.656879425,554741.1977005005,559384.4412536621,572058.7203559875,564401.9959831238,546695.0993423462,552436.002117157,565149.957233429,551341.518913269,595367.421875,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(18:0),CAR,3616983.304851532,3381557.4882850647,3483483.0332870483,3398042.738132477,3469922.337348938,3457404.749382019,3559557.1098480225,3474643.0546951294,3296005.070941925,3344060.9525032043,3352246.9637527466,3311144.372196197,3469259.7359466557,3484259.4640693665,3523997.505008697,3455183.6737556458,3436369.544849396,3403506.3254776,3337268.1692276,3445748.883598328,3204698.263671875,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,774771.6753196716,721255.08934021,754288.6739501953,743533.6129341125,738997.1532478333,737973.8898925781,757535.6389884949,732448.7354736328,716354.0694618225,722951.7132110596,719669.6684455872,710598.3502388,720246.8477783203,743083.9319190979,749395.356136322,723401.7704734802,700834.5096549988,726716.0859832764,706073.6140327454,726914.1117248535,760985.4560546875,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(18:1),CAR,3536704.2545394897,3301628.6700057983,3393913.270629883,3353392.2062568665,3361928.4101638794,3365038.3362579346,3400106.4828186035,3339850.368286133,3208154.653289795,3263183.57157135,3307511.630317688,3274809.1086006165,3347135.549381256,3382485.3075065613,3353254.942504883,3361561.0278167725,3287294.077976227,3296570.7317276,3204892.8693847656,3351227.7195396423,3208659.5,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,746234.0699272156,700237.9283294678,724785.0505142212,723665.552936554,716264.7123908997,705935.4915313721,710473.9950065613,703605.8525428772,690094.1508674622,691485.6316871643,704959.9509849548,697517.5519180298,700270.9301605225,722437.5520362854,733329.8883666992,704511.444694519,687817.2287979126,698676.2541503906,685858.1858673096,690885.727470398,735194.3125,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
