Lipid,Class,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(14:2),CAR,391137.3074455261,396985.10791397095,383549.54625701904,400606.2511405945,376575.94801330566,397565.6098632813,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,834265.8830909729,788367.5584449768,797707.0398521423,836812.7205162048,786712.6766471863,898668.984375,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(16:0),CAR,260527.89841461185,260281.57931137085,249055.1368522644,262179.4790916443,257094.6977005005,283562.0600585937,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,741665.0752410889,741527.9105110168,724922.409576416,739062.2687950134,754089.5711021423,743383.630859375,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(16:1),CAR,251108.5578765869,255607.11666488647,248448.07914733887,264756.37813186646,238331.3762550354,271161.9794921875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,734014.1730155945,734830.953327179,726439.9694976807,725863.83070755,725142.5340690613,740003.9345703125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(16:2),CAR,248117.01676177976,247627.7583732605,239834.85723495483,255897.41875839236,241989.59797668457,256414.337890625,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,697616.492351532,677503.011100769,689009.5485610962,674033.1201629639,707687.5710601807,720453.970703125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(17:0),CAR,1370896.202194214,1423578.6156311035,1360446.9550056458,1413356.663368225,1347009.9774284365,1142501.9833984375,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,576444.3008651733,572052.1805152893,550429.6366462708,572058.7203559875,565149.957233429,595367.421875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(18:0),CAR,3483483.0332870483,3559557.1098480225,3352246.9637527466,3523997.505008697,3337268.1692276,3204698.263671875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,754288.6739501953,757535.6389884949,719669.6684455872,749395.356136322,706073.6140327454,760985.4560546875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(18:1),CAR,3393913.270629883,3400106.4828186035,3307511.630317688,3353254.942504883,3204892.8693847656,3208659.5,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,724785.0505142212,710473.9950065613,704959.9509849548,733329.8883666992,685858.1858673096,735194.3125,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(18:2),CAR,3503175.5364112854,3480028.3957901,3378535.9031333923,3508806.404537201,3324932.8187561035,3252238.28515625,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,695773.7686767578,690644.4261360168,681685.0301246643,720276.7510643005,667810.4846534729,725255.8544921875,Genotype: 5xFAD | Brain Region: diencephalon | Sex: Female,Genotype: WT | Brain Region: diencephalon | Sex: Female,Genotype: 5xFAD__Brain Region: diencephalon__Sex: Female vs Genotype: WT__Brain Region: diencephalon__Sex: FemaleNo Averages Includes repeated Lipids,2,3,Blank_Blank_Blank_Blank_Blank
