Lipid,Class,07052023_ELOVL1_5Xdilution_HEPG2-01,07052023_ELOVL1_5Xdilution_HEPG2-02,07052023_ELOVL1_5Xdilution_HEPG2-03,07052023_ELOVL1_5Xdilution_HEK293-01,07052023_ELOVL1_5Xdilution_HEK293-02,07052023_ELOVL1_5Xdilution_HEK293-03,07052023_ELOVL1_5Xdilution_Blank-01,Title1,Title2,Title,length1,length2,Blank_name
FA(15:3),FA,3563.700264,4735.14035,5737.380447,3957.640289,4543.440323,5883.00042,2605.340183,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(15:5),FA,11997.7408,20820.00153,28300.62204,19005.16135,25448.88185,29105.96205,6988.280502,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(15:6),FA,31890.08209,63006.52466,79672.4256,52703.74338,72044.94446,77872.60513,18873.64133,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(16:0),FA,15856.66115,20372.70148,23596.36127,12486.3009,14675.48106,17925.20126,7246.500496,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(16:1),FA,3421.200253,5459.56041,5898.500385,4333.920322,5705.200417,6213.680439,2717.240196,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(16:2),FA,2651.040203,3509.380222,4235.300304,3106.000237,3487.740253,3941.860271,2466.840176,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(16:3),FA,8111.960602,11826.96089,13131.84085,7915.480583,9928.04068,11970.26079,4891.900322,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(16:4),FA,5991.900467,9600.580704,11524.70081,8140.400578,10212.26073,10978.56073,3456.200226,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(16:5),FA,12572.42099,21779.14163,28508.28201,17565.42113,25733.12193,29627.00199,8071.360641,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(16:6),FA,21011.08139,37779.96259,46403.76349,31654.28212,40385.18263,46777.28299,13822.12093,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(17:0) | FA(18:7),FA,22624.66141,37140.08276,43159.98322,28450.64206,33446.64197,38384.16272,12866.50098,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(17:0) | FA(18:7)_2,FA,5350.6404,7014.100502,8291.420601,5809.540432,7298.700531,7853.740601,3547.300274,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(17:1),FA,2885.680195,2997.000195,3832.560303,3343.740242,3599.560257,3501.34026,2603.400162,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(17:2),FA,5278.400375,7989.740608,11102.60077,7377.300522,7941.90049,10062.24073,4681.540371,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(17:3),FA,2283.800163,2751.680199,3685.820251,3154.38023,3177.260235,3085.600231,2100.480145,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(17:4),FA,3028.300201,3031.120224,4002.440273,2979.380215,3125.880234,3776.140301,2556.760189,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(17:6),FA,16187.26112,27796.42194,33754.0625,23096.90161,29018.58197,32734.12213,9970.280769,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(18:0),FA,18137.00132,21068.78191,22864.56154,8355.840576,10117.36069,13685.50111,5221.220387,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(18:1),FA,3324.060253,4561.30035,5171.640362,4174.460304,4252.720268,4148.620293,2713.100201,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(18:2),FA,2769.000195,3634.640259,3778.360271,3106.600224,3043.320206,3741.940243,2087.680164,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(18:3),FA,4092.880314,5252.540359,5586.480396,3931.600277,4724.640305,4727.080303,3219.180202,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(18:4),FA,5497.3004,5087.080349,5250.540371,4516.380325,4289.520302,4732.520298,4301.960297,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(18:5),FA,6327.620506,8085.400627,8870.540588,6801.700447,7516.98053,9273.460716,4837.100346,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(18:6),FA,28782.94196,44260.24292,55080.90369,37036.68243,46779.92316,52809.46375,17309.1412,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(19:0),FA,4870.280315,6646.560497,7040.360504,5463.700356,5522.900356,6638.940479,4109.720306,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(19:1),FA,3313.30024,4393.90033,5057.820366,3619.060268,4317.600288,4899.480377,2866.520199,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(19:2),FA,3607.200237,4893.800358,5535.700378,4240.900295,3946.100231,4762.280331,3242.740219,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(19:4),FA,3512.060257,5208.800377,4910.960373,3787.20026,4754.76038,4696.220314,2883.48019,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(19:5),FA,4544.760303,6481.100471,7827.260536,5592.960415,6359.300449,7742.020554,3634.34029,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(19:6),FA,11929.30093,16407.62137,19752.50133,12428.76089,14479.44098,17218.92136,7145.200508,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(20:0),FA,5292.560356,6909.700523,7059.440556,5521.000412,5933.960403,6502.140442,3595.220215,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(20:1),FA,2782.58017,3710.320259,3509.000259,3540.32024,3492.140217,4209.980282,2556.120213,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(20:2),FA,2994.280216,4145.960285,4463.300293,3246.34024,3528.100258,3936.88028,2234.480156,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(20:3),FA,2841.840206,4356.680313,4643.640331,3865.280243,4122.380302,4641.860344,2332.300171,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(20:4),FA,3738.640289,4840.560341,5483.740364,4582.1203,3918.520298,5706.960403,2832.940201,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(20:5),FA,7018.140472,9964.140724,11716.78087,8209.940598,8633.760612,10190.62073,5127.280407,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(20:6),FA,23303.66174,35921.28271,41335.02307,27166.44177,34657.0425,39359.22247,15563.06108,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(21:0),FA,6670.280479,8886.680641,8380.520599,6450.300488,7171.740486,7391.900543,4134.6203,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(21:1),FA,4378.280319,5452.080395,6134.160488,5207.780342,4904.060387,5636.240398,3644.100258,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(21:2),FA,4805.000359,5884.580379,7566.900497,4115.640301,5509.440392,9010.240601,3051.020191,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(21:3),FA,3240.220245,4127.720264,5240.940342,3230.220242,3792.860268,4213.800327,2569.660175,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(21:5),FA,4132.040253,5038.160351,6059.640411,4902.100315,5965.900398,5879.920391,3029.680225,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(22:0),FA,7564.080524,10296.84074,10154.84068,8672.760624,9132.54073,10641.12082,5087.800354,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(22:1),FA,4899.680363,6864.280472,8834.960602,5931.02042,6870.720486,8513.060684,3763.060257,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(22:2),FA,3829.140301,5551.740383,5538.12043,3977.140301,5127.000381,5152.600327,3007.660233,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(22:3),FA,4595.120319,6788.880539,6991.200493,4962.220341,6432.22047,6298.740448,4048.700272,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(22:4),FA,3135.760197,4469.880291,6076.960415,4308.260303,5248.880363,5396.820381,2803.580193,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(22:5),FA,3853.08028,4700.500286,5592.120399,4724.640312,4827.680298,5797.000401,2815.86018,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(22:6),FA,5140.260361,7154.440514,6679.900558,5807.300434,6190.860447,7161.000465,3198.020226,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(22:7),FA,8285.240593,11533.38072,14388.00102,8750.820633,10594.86075,13099.12091,6262.480457,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(23:0),FA,7562.040577,10032.40076,9768.300728,8144.920586,8973.320698,9157.940647,5431.560375,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(23:1),FA,6664.620461,8409.960663,10615.42076,7526.520535,7658.120522,9592.940655,4493.640335,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(23:6),FA,4468.440315,6926.560463,6808.780487,5423.260387,5574.34042,6720.640488,3124.420242,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(24:0),FA,12224.30091,16646.02115,15662.06104,14713.82095,12055.18088,13011.00097,8453.200603,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(24:1),FA,5541.840416,7967.780586,8902.600601,6692.400471,7899.780609,8229.340561,3430.680237,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(24:10),FA,5807.460381,8516.480621,10162.70077,7703.460579,8086.200569,9367.420666,3844.70026,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(24:12),FA,6058.280464,10214.16072,11583.92082,7536.560478,10498.20075,12622.28101,4025.400303,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(24:2),FA,4869.320362,7284.780548,7507.860474,5478.240383,6295.640469,6993.880531,3237.120251,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(24:3),FA,3783.300247,6225.660423,6202.660423,5810.480373,6146.720417,6614.040462,3184.420235,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(24:4),FA,5158.540398,8052.10054,9523.36071,6548.54047,7637.600536,8490.980572,3679.140244,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(24:5),FA,6661.76049,11224.30082,13214.90092,8713.440575,10611.12081,13945.94088,4298.740295,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(24:6),FA,5727.340378,9844.120735,11833.94083,7711.420494,8949.1007,11623.12072,4414.820351,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(24:7),FA,5553.900433,6190.880402,7275.440521,6031.460411,6106.380447,6626.860443,3566.160229,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(25:0),FA,5333.140362,8637.440643,9654.900742,6764.640453,7791.160534,7807.020527,4326.000309,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(25:1),FA,4956.940376,7393.340477,7664.080521,6506.680428,6874.100487,7305.440506,3425.800228,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(25:4),FA,8436.120605,13527.961,13895.54106,9523.560608,8749.620628,11504.26088,3323.880238,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(26:0),FA,8256.100632,12427.78078,14285.20096,9583.620667,11247.66078,13203.32093,5658.820435,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(26:1),FA,6656.400467,9728.280663,11269.50078,7531.360565,7673.680511,9746.380676,4187.880302,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(26:2),FA,5759.400387,8367.280563,9231.740723,5892.380444,7289.660519,8704.420624,3682.960274,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(26:3),FA,6092.8004,9659.900719,8791.5606,7089.160522,7989.620552,9449.960655,3589.280277,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(26:4),FA,5908.880421,9096.9207,9684.980644,6671.720459,8107.360573,8604.58062,3751.240276,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(26:5),FA,5603.560368,8371.940582,8022.800552,6469.180458,7195.240505,7672.140579,3643.520256,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(26:6),FA,5684.800411,8257.460579,7789.100464,5689.020382,7696.180527,8233.400555,3932.140251,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(27:0) | FA(28:7),FA,8652.600628,12320.60082,14069.06109,6637.380447,8855.900536,10431.94069,3636.30024,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
FA(27:0) | FA(28:7)_2,FA,12328.92064,19674.5013,22066.06152,11855.42096,12347.62074,16984.78134,4886.260342,Cell Line: HEP,Cell Line: HEK,Cell Line: HEP vs Cell Line: HEKBlank1,3,3,07052023_ELOVL1_5Xdilution_Blank-01
