lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cortex,DOD94_F4_Female_5xFAD_cortex,FAD185_M1_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_cortex,DOD94_F3_Female_WT_cortex,FAD184_F3_Female_WT_cortex,FAD184_F4_Female_WT_cortex,FAD185_M4_Male_WT_cortex,FAD189_M3_Male_WT_cortex,Blank_Blank_Blank_Blank_Blank
[TG(57:11)|TG(56:4)]_FA18:0,1.4338523356992612,10.392481323180998,10.57991734359464,0.0011432277108730474,0.10152497199058702,TAG,4832760.173217773,1761593.2873535156,14239368.055419922,17517204.248046875,22275028.104492188,10521773.92138672,1379161.2879638672,1880239.676513672,2806493.5975341797,7629215.138183594,1546564.6716308594,70663.724853515625
PG(44:10),1.4122889197862978,7.584060001164161,10.279447992048517,0.0013452018626449477,0.11317395670726048,PG,744821.0944824219,389888.1271972656,1921570.922241211,2041307.1669921875,2616082.8555908203,1722463.9986572266,255423.93798828125,395361.4685058594,408634.56884765625,529206.7170410156,385704.8481445313,225876.27685546875
PI(38:5),1.4156443522581494,8.325675561332279,10.325975283747539,0.001311709280464783,0.11317395670726048,PI,1119096.808959961,515557.4985961914,3686723.4069213863,3856433.2319335938,4789882.901916504,2799331.3391723633,423277.7694091797,498361.8754272461,779560.6536254883,1352134.7801208496,490867.39544677734,48350.22351074219
[TG(56:6)]_FA18:2,1.3891320597666972,10.505148705812283,9.961069571491349,0.0015988514158766752,0.12778819941394326,TAG,5174941.485107422,1875696.3706054688,14824561.268554688,19141378.685546875,23916602.868164062,11449713.509399414,1427898.8934631348,1977272.6573486328,3125846.0353393555,8579042.205688477,1862816.550415039,73558.2855834961
[TG(60:14)|TG(59:7)|TG(58:0)]_FA22:6,-1.351912634227077,9.403093641507523,9.984249118388497,0.0015788492490232207,0.12778819941394326,TAG,498476.6548461914,657984.2404785156,5563803.180603027,4428502.7599487305,3110837.784790039,517850.45892333984,1567117.0953979492,4912454.311706543,499520.81744384766,7820687.160888672,7613255.686950684,69407.06466674805
[TG(57:12)|TG(56:5)]_FA18:1,1.344488045823264,10.466931870154088,9.35949656833723,0.0022183306854167573,0.17297568783603348,TAG,5272141.137939453,1894808.1474609375,14890686.978149414,18582394.400878903,22294989.740722656,10630071.40222168,1484045.8963623047,2025860.334350586,3073813.6817626953,8459174.358520508,1841414.9481201172,56143.94445800781
[TG(58:12)|TG(57:5)]_FA20:4,-1.3022999101374113,8.813393364360087,9.278885210049335,0.00231810467367313,0.1764519200412618,TAG,346676.7258300781,429139.6723022461,3226479.6328125,3081779.358642578,2556454.357055664,437030.0534057617,970408.9857177734,3079960.5739746094,352631.5078125,5767369.647827148,4611952.990356445,75362.9658203125
[TG(56:7)|TG(55:0)]_FA18:3,1.3290044302725115,10.548831189652718,9.154689849039814,0.002480814226459011,0.17832022913186044,TAG,5426749.87890625,1865521.9798583984,15740141.481933594,19629600.48779297,24100626.41357422,11055952.15649414,1578622.8901367188,2134664.323486328,3310466.8178710938,9046845.160888672,1936158.3298339844,82315.86602783203
PE(34:1)|PE(O-35:1)|PE(P-35:0),1.327381448618463,8.082040033463395,9.133303222683027,0.0025099813296633466,0.17832022913186044,PE,1480760.4100341797,415527.7700195313,3483166.6595458984,2151868.8321533203,3730881.174682617,2204433.140991211,395656.6053466797,381315.8688964844,976025.5106201172,819113.8359375,425985.3041992187,129344.28930664062
PE(36:4)|PE(O-37:4),1.3331007652212326,8.029497958482636,9.208644657337572,0.0024087495833373363,0.17832022913186044,PE,1346798.0341796875,415863.3293457031,3307400.5643310547,2280871.6212158203,3512245.4926757812,2218425.6708984375,414488.7325439453,421888.1517333984,863531.0770263672,755541.5720214844,422999.6525878906,98054.26770019533
FA(21:0),-1.2842766591027073,9.827921662677886,9.028612163333019,0.0026578619389449275,0.18472140475667245,FA,5132891.686767578,2378260.6767578125,1641074.6489257812,802351.0339355469,6025232.510253906,1411071.6573486328,10091469.951171877,1284533.8189697266,2653263.0649414062,9940246.5185546875,3065077.2026367188,227035.07763671875
[TG(54:5)]_FA16:0,1.307914327275938,8.393313351062806,8.878904290936589,0.002884846309908618,0.19623092878250747,TAG,1171736.9924316406,497345.7489013672,3547548.057006836,4376900.6455078125,5260067.856201172,2447693.9404907227,390061.08447265625,549514.2028808594,709402.1491699219,1878019.436645508,508651.7344970703,40556.68292236328
FA(22:7),-1.2675649419997357,9.348795824801664,8.799374198066541,0.0030133388914874867,0.20070092575178117,FA,3449798.106567383,1753404.581298828,1097702.2104492188,549234.8453369141,4970265.036865234,889459.32421875,7156085.592529297,812427.5235595703,1658935.2374267578,7778849.842285156,2031319.7890625,193464.1936035156
PE(O-38:8)|PE(36:1)|PE(O-37:1)|PE(P-37:0),1.2776626661224715,8.332505540310867,8.489855406398418,0.0035713218864300085,0.23301053205952527,PE,1753980.5989990234,443790.9528808594,3834475.800415039,2347836.34765625,5200978.193603516,2562225.8247070312,450333.2120361328,402430.1301269531,1261961.9608154297,1005253.7857666016,603787.3037109375,91276.406005859375
PS(44:12),1.2678392129105913,6.693315266390247,8.36511998016067,0.00382491367008435,0.24456498006519334,PS,393392.50390625,216815.9754638672,1007226.6348876952,1232946.00390625,963961.2912597656,1039946.0678710938,191090.1131591797,178387.31309127808,272674.2999267578,254802.5400390625,225075.19396972656,147182.3505859375
DG(O-38:8)|DG(36:1)_C18:2,-1.2263222519393377,3.15356011217433,8.241020168069895,0.004095410738437831,0.25672604178011266,DAG,3257.020236968994,3236.080238342285,3230.420238494873,3237.940242767334,17045.881072998047,3237.2602500915527,3238.9002227783203,3231.380229949951,3242.120220184326,37739.122661590576,3237.1402168273926,166867.05351257324
FA(20:0),-1.2176724403186854,9.562795340698658,8.131452447898358,0.0043503882816570685,0.25755909882328976,FA,4115184.8583984375,2230263.399902344,1309922.0490722656,681317.8017578125,5437064.0361328125,1111918.1818847656,8562945.333984375,1036863.5219726562,1890347.124145508,8125364.66015625,2367332.5908203125,258155.2587890625
PE(39:6)|PE(O-40:6)|PE(P-40:5),1.2500283677414485,7.993381057186201,8.1412201353711,0.004327015793086471,0.25755909882328976,PE,960872.0323486328,488905.7979736328,2965650.240966797,2179750.1737060547,3169389.4306640625,2592859.2263183594,467438.49572753906,472563.2149658203,651361.5799560547,720396.8547363281,561026.2607421875,231214.3924560547
PG(44:12),1.2507319916037236,6.965966131703146,8.14997953450711,0.004306164703008634,0.25755909882328976,PG,477882.8159179687,271692.2392578125,1129622.182006836,1313712.0927734375,1443875.1848144531,1268822.0268554688,184608.53247070312,296162.4587402344,259631.19775390625,323762.8416748047,324561.5417480469,162836.79052734375
FA(16:2),-1.2087927858668306,4.994272253285991,8.014886993980326,0.004639436885823163,0.2602154337539764,FA,46851.96337890625,123172.34985351562,38776.343017578125,30418.662078857426,268117.97399902344,28859.40200805664,163644.79333496094,58518.84477233887,41617.62307739258,510933.7736816406,45933.542877197266,141914.6102294922
FA(22:0),-1.2110106961049247,9.120871656537712,8.044119145866716,0.004565161128467438,0.2602154337539764,FA,3176324.888671875,1802088.4720458984,1076329.3959960938,579338.4577636719,3189613.0620117188,938636.0021972656,5696791.430175781,918275.8037109376,1997989.267578125,5561232.562744141,2066467.6014404297,158888.591796875
PE(37:4)|PE(O-38:4)|PE(P-38:3),1.2442733278423908,6.63796913963478,8.069381448291551,0.004501948233089909,0.2602154337539764,PE,453179.69274902344,169962.09338378906,1174330.5499267578,819680.0809326172,1275601.7264404297,938633.6756591796,187356.6923828125,170745.751953125,287299.4201660156,257068.2756347656,225689.27380371097,77729.96551513672
DG(35:3)_C18:0,1.235929626799843,4.016520240413063,7.965311810816047,0.004768227639833584,0.2626381391195822,DAG,34434.20234298706,31385.68217086792,47902.40325164795,34273.122608184814,32607.862270355225,541101.714630127,30461.782146453857,33993.402267456055,31971.382320404053,33583.262435913086,34489.16237640381,45704.34292602539
DG(O-38:9)|DG(36:2)_C18:0,1.233541365285052,3.7755534193727414,7.935682328613552,0.0048469346912903815,0.2626381391195822,DAG,28494.122257232662,26703.62189102173,125610.08701324464,29447.342250823975,31279.102153778076,380014.9611053467,29541.042068481445,28224.322021484375,27394.961990356445,28226.101947784424,27929.86191558838,32929.36228942871
PE(37:5)|PE(O-38:5)|PE(P-38:4),1.2302479679987777,6.814498616370726,7.895632313511669,0.0049554311460066735,0.2640418895630556,PE,527587.2147216797,156812.99047851562,1324034.8073730469,923973.814086914,1485782.682006836,1051896.919555664,192451.1328125,206465.13256835935,349369.08447265625,312933.8641357422,221804.13317871097,86608.38684082031
DG(35:3)_C16:0,-1.178704565790435,1.3649123889250818,7.622172955829896,0.005765497684675753,0.3021687884903014,DAG,6642.7604637146,8001.24059677124,3769.820251464844,2629.9801864624023,3535.440231323242,4795.680324554443,12730.06084060669,10050.380668640137,7517.620529174805,5833.240398406982,6440.780448913574,23162.98149871826
PI(38:3),1.2043321958733468,7.966932434324823,7.579057247377932,0.00590503156853969,0.3044900955584095,PI,687645.2074584961,284759.6233520508,2249156.5861816406,3529127.8259887695,4325737.012512207,1716780.173034668,239982.79669189453,277575.43743896484,477160.389251709,1952794.881652832,354022.7213745117,41249.6227722168
PG(38:4),1.2017623730498794,8.500693141375065,7.547983478114474,0.006007726778187745,0.3048682938074003,PG,1913928.53515625,911355.6240234376,3747540.413574219,3185407.0927734375,4844772.1748046875,2409689.69140625,472952.6716308594,626495.52734375,1221498.3515625,1210485.5112304688,718756.2470703125,308585.84228515625
[TG(54:6)]_FA16:1,1.1896188576829894,8.381143204515553,7.401892350420896,0.006515530093300927,0.3115872667220743,TAG,1187692.739868164,557356.958190918,3506234.354736328,4074372.939025879,4953412.208129883,2423520.9853515625,374828.5094299317,545581.2186279297,749778.0291748047,2056706.8399658203,559705.65771484375,41776.86294555664
[TG(62:13)|TG(61:6)]_FA22:5,-1.1614620991412576,7.899487716401762,7.408646172712906,0.006491115148174719,0.3115872667220743,TAG,302103.15838623047,430287.6340332031,1737206.712890625,1414935.2547607422,1118189.143798828,462481.6513671875,460370.1953735352,2093858.7861328125,273313.73986816406,2366014.321166992,2079199.7133789065,72452.70501708984
LPC(24:0),-1.1612495756495027,9.45610234487379,7.406024793237123,0.006500580277049,0.3115872667220743,PC,4080159.490722656,4785997.157958984,874238.49658203125,714250.7322998047,646901.8220214844,801756.3564453125,4282644.6162109375,4639725.8984375,3956416.30859375,3962921.3837890625,2845112.828125,98562.5264892578
LPC(24:1),-1.1606038086898816,9.4559147095264109,7.397907213565787,0.00652998025348107,0.3115872667220743,PC,3992355.751464844,4869692.069824219,864104.75439453125,719430.9533691406,650588.9255371094,795828.7060546875,4327642.6865234375,4603751.143066406,3950509.622070313,3981253.432617187,2812758.185546875,98224.22705078124
DG(39:6)_C18:0,-1.1569605307058435,2.2768275983061725,7.34843429925786,0.006712118610288736,0.31556828231019246,DAG,2590.060199737549,2588.020191192627,22289.001586914062,7627.660514831543,2871.6001930236816,2604.9401779174805,29284.342082977295,7143.780544281006,2590.360195159912,2666.5001945495605,2590.420192718506,69420.62530517578
[TG(64:14)|TG(63:7)|TG(62:0)]_FA22:5,-1.1423553125952959,6.089687664660387,7.170140864636776,0.007412695407671934,0.34345488722213297,TAG,127817.38928222656,159688.69229125977,434030.651184082,342889.0230102539,319237.76498413086,134268.7497253418,130351.72897338869,679034.864074707,112478.12756347656,603617.1785888672,472079.83627319336,29459.982055664062
PE(O-38:9)|PE(36:2)|PE(O-37:2)|PE(P-37:1),1.1492781129194511,8.078450650587609,6.925812750605019,0.008496037251664102,0.38802615847957334,PE,1519009.6954345703,415111.6311035156,3156809.575439453,2014050.4893798828,3838387.18359375,2125605.3713378906,437603.009765625,355117.2624511719,1042705.8764648438,947235.2763671876,555975.2386474609,89604.54736328125
PC(22:0),-1.119087819860383,9.096755637967027,6.884851937909843,0.008692926833903861,0.39142657870409353,PC,3280426.8627929688,3756876.123046875,672325.24755859375,564488.13671875,548612.9410400391,624878.14599609375,3380154.7939453125,3545898.803222656,3060141.0302734375,3003446.9365234375,2138261.5673828125,98047.44714355467
PS(38:4),1.1410487876247648,8.167357295737787,6.830452392838197,0.008961656434106166,0.3979224391644085,PS,1525387.125,736953.7548828125,3127795.7885742188,2746537.828125,3207412.681152344,1902019.7890625,468513.8940429687,359170.82429885864,1221988.5439453125,924544.6875,458341.853515625,249139.5764160156
[TG(62:14)|TG(61:7)|TG(60:0)]_FA22:6,-1.1110058685373998,7.958330993432807,6.7870083949455875,0.009182366103578027,0.40213732100190347,TAG,335519.5446777344,450336.0925292969,1883089.5119628904,1521949.8424072266,1139254.7166748047,481705.76989746094,504334.2941894531,2144943.286010742,293471.1612548828,2360231.7893066406,2157497.986694336,78801.34576416016
FA(12:4),-1.1019923180059608,6.2653680463446495,6.678575982066828,0.009757854861476054,0.4215657025964722,FA,220563.0751953125,258926.71899414065,66490.96490478516,67963.50476074219,280973.8210449219,83617.70568847656,507544.63818359375,107308.6082763672,108139.84826660156,566732.8190917969,119605.64819335938,629513.70263671875
[TG(64:15)|TG(63:8)|TG(62:1)]_FA22:6,-1.097808700506539,6.168943682086563,6.628628524636953,0.010035250165632512,0.4221407207832519,TAG,141955.50939941406,169534.83186340332,478709.11346435547,363878.8465270996,326235.1024169922,150303.97109985352,151221.3498687744,702756.8090515137,123006.72747802734,604683.9233703613,494087.6181945801,34112.42204284668
PG(40:7)|PG(39:0)|PG(O-40:0),1.1247504234744725,7.89557424472119,6.643351493308728,0.00995265264452414,0.4221407207832519,PG,1006350.4282226562,592481.10546875,2353683.2490234375,2146706.009765625,3009253.71484375,2008135.1416015625,319379.8837890625,459168.2353515625,743983.3693847656,760242.77490234375,631219.142578125,213398.37524414065
DG(O-38:9)|DG(36:2)_C16:0,1.1167227186692357,6.227631403047554,6.552004936766025,0.010476603860001318,0.4349831498756391,DAG,432864.654296875,500072.1715698242,613656.5301208496,658732.157409668,194320.2324409485,782037.4934082031,81095.82608032227,45281.683197021484,292209.64082336426,369443.0045776367,186592.53204345703,49106.84371948242
[TG(57:10)|TG(56:3)]_FA18:0,1.113818744016601,9.509629492824368,6.519200224765399,0.010671598246522241,0.437398712745277,TAG,746420.4553833008,327259.2608642578,2812167.376220703,15283537.65197754,16527461.751342772,2312920.196533203,252815.43395996097,397273.4122314453,474341.0657348633,9031466.37548828,799949.4644775391,43386.563079833984
[TG(58:13)|TG(57:6)]_FA22:5,-1.0843212290530462,8.474260468363742,6.468728496838594,0.01097890544820419,0.4387445089738599,TAG,288470.1831665039,353139.2077026367,2868490.0872192383,2614160.3379821777,1996384.7830810547,695498.2810668945,585397.839050293,1784769.2811889648,318252.34259033203,4409908.527130127,4321198.254821777,51019.72317504883
PS(P-42:0),1.1099932779119115,5.883543902714882,6.475895131317941,0.010934722847877344,0.4387445089738599,PS,199803.51440429688,141064.63024902344,627574.3811035156,743335.29052734375,480763.55041503906,489014.1365966797,120477.08862304688,81107.04566955566,171418.51245117188,152691.53125,181967.3726806641,80502.065673828125
DG(38:8)|DG(dO-40:8)|DG(37:1)_C18:1,1.107238127125379,5.819142654587881,6.444571873912537,0.011129185913611398,0.43925935019525475,DAG,191799.69039154053,188956.83322525024,148418.06885528564,159432.28983306885,48129.08336639404,2938.3401985168457,176672.25147628784,2895.500202178955,2912.8002014160156,2883.700210571289,15485.861095428469,842503.0589599609
PS(O-40:0),1.1010505289101251,7.64282262781055,6.375498048328154,0.0115706565929054,0.4511145015551044,PS,904416.8623046876,536213.2548828125,2067754.10546875,1880348.5009765625,2136192.970703125,1665862.2509765625,342597.8840332031,245837.03787612915,776690.5725097656,614503.84326171875,480824.59619140625,176324.27221679688
LPC(12:0),-1.0634778747749236,6.388413334063506,6.22512488227585,0.012595002510016119,0.48513521716291,PC,462708.43225097656,553230.1634521484,128387.22900390624,113818.24768066406,110524.7274169922,122477.32891845705,507907.9095458984,515724.1162109375,467635.4538574219,430605.8671875,307463.7596435547,53912.94366455078
