lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cortex,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_cortex,DOD94_F4_Female_5xFAD_hippocampus,FAD185_M1_Male_5xFAD_cortex,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_hippocampus,DOD94_F3_Female_WT_cortex,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_cortex,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_cortex,FAD184_F4_Female_WT_hippocampus,FAD185_M4_Male_WT_cortex,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_cortex,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
PI(38:4),1.6000416645236124,10.599868910947139,27.235946880563784,1.8007925707223443e-7,5.233758044181213e-5,PI,5742859.923706055,2527837.923828125,2109606.07421875,2649365.159790039,18964249.315185547,3576204.261352539,16849076.783203125,10287533.256835938,23123847.909423828,12076061.775390623,14071898.182006836,3190865.0505371094,1776969.6245117188,1296785.277770996,2063641.091796875,2794874.53125,3898993.835205078,717200.9805908203,4279395.711425781,1686231.904663086,1512645.3295898438,999443.51806640625,67657.58447265625
LPE(20:4),1.5936391907198355,2.900759216969932,27.02492979739509,2.008483024756329e-7,5.350933525121654e-5,PE,6735.740474700928,4658.220355987549,3850.160335540771,11117.981048583984,264536.8984298706,118222.82836151125,42672.74304962158,58472.463832855225,18893.04136657715,5558.160369873047,2492.0801582336426,3425.680191040039,3832.8402976989746,3962.140274047851,13525.22087097168,3059.520179748535,2845.580192565918,3050.1002311706543,3242.400260925293,54891.284061431885,2589.7201538085938,3058.240207672119,2961.640182495117
PE(38:4),1.5581527246284068,11.133556613919957,25.908316428669,3.580233714619394e-7,8.804620912029387e-5,PE,10397772.046875,4673404.194824219,2355764.8811035156,5074492.185302734,27268403.8125,4527667.164306641,19092853.46899414,15055717.863769531,31245602.11767578,19099217.714111328,19068376.90673828,5359061.441650391,2465664.9471435547,2100327.642944336,2664567.080078125,5251704.792236328,6141552.260253906,1473689.3442382812,5163527.187744141,2136504.79296875,2087434.925048828,1525883.530517578,85672.04602050781
[TG(55:11)|TG(54:4)]_FA16:0,1.5529443672171166,10.589568023548882,25.74516922286937,3.896009781266897e-7,8.896816621935907e-5,TAG,5927175.963745117,2241330.8197021484,1948502.0974121096,2679747.8377685547,18014893.561035156,3586523.3342285156,17120540.081298828,10351034.572265623,23811293.59033203,11778133.262939451,12255546.647460938,3545794.8024902344,1606772.1477661133,1115713.934509277,2259594.5764160156,3043589.7404785156,3477323.428466797,793812.4105224609,4731802.588012695,1891175.8172607424,1488280.5549316406,1048207.5858154296,59198.843994140625
[TG(46:6)]_FA22:5,-1.4840837708981496,12.593010592213806,25.061622991328477,5.552703773949969e-7,1.1834662643545366e-4,TAG,19693437.845092773,16586394.428405762,35579386.97351074,29109821.80078125,2701004.547302246,3537173.9388427734,2774082.0932617188,3074289.003540039,3013081.195739746,3001405.6555786133,2188989.1720581055,2491813.448486328,3166517.977294922,37429927.81323242,49855678.06951904,34968473.287231445,16786233.40234375,23504976.35809326,14180665.486694336,17359756.292114258,2410410.003601074,56144623.94042969,55422.98370361328
[TG(54:5)]_FA16:1,1.5102610267663206,10.493584280511449,24.424754374017073,7.726943110340565e-7,1.372784652630974e-4,TAG,5704877.237548828,2254687.599609375,1964871.5920410156,2606642.157104492,16958184.77001953,3470835.587158203,14953420.697875977,9763483.931152344,21246502.786376953,10538839.83959961,12163959.627197266,3362128.415283203,1500615.077758789,1029733.7332763672,2053373.1634521484,2880678.212158203,3364039.373046875,811555.8371582031,4635697.680175781,1723956.8764648438,1521280.9294433594,1062680.972290039,50920.823791503906
DG(34:4)|DG(dO-36:4)_C16:1,1.5102455798970633,8.49519621727799,24.424201778529095,7.729159758322655e-7,1.372784652630974e-4,DAG,1187208.266357422,1857368.0333251953,1042086.5790252686,329758.5263786316,2831851.892089844,5684061.168457031,2581488.035888672,1107847.4912452698,418788.6486320496,689285.7465057373,4763832.096374512,1830091.190093994,1301695.4321899414,69864.04468536377,68321.00469589233,78258.94566726685,70054.56513595581,559346.867111206,1928579.430480957,676689.3136062622,278965.13944244385,72187.6453666687,77399.72564697266
PE(38:6),1.516444182492394,10.185549402025206,24.61419402173297,7.003398046798891e-7,1.372784652630974e-4,PE,5047215.410400391,1712273.703125,1359327.8920898438,2069112.6630859375,15037976.588867188,2121962.5991210938,10983687.037109377,7015494.319824219,17349277.5859375,8513443.8818359375,11787906.68725586,2492332.5083007812,1301386.884765625,974706.2760009766,1740542.4760742188,2241192.291748047,3367245.0888671875,650046.3095703125,2917959.9802246094,1132049.1162109375,1302656.1987304688,830834.1552734375,125977.90869140624
PE(40:5),1.5035797037909375,8.994626518050726,24.220692053568197,8.590437177086408e-7,1.4454540871129077e-4,PE,2344075.2465820312,826303.2138671875,643073.9892578125,935069.6915283204,6389070.266113281,935785.24658203125,4653219.323486328,3156801.7751464844,7480201.199951172,3640430.162841797,5042232.229125977,1015413.0119628906,602433.2048339844,449339.0712890625,713340.54931640625,965046.689086914,1438955.0966796875,320597.43908691406,1262407.2348632812,504153.5369873047,639283.82275390625,339580.38513183594,122497.78845214844
PE(40:4),1.500146066268787,8.692421509867607,24.116109955884895,9.069834590077291e-7,1.449813059223855e-4,PE,1771396.681640625,693297.6513671875,486563.8381347656,827629.1916503906,5156349.554321289,832731.7041015625,3654582.1630859375,2437242.8903808594,6057575.626220703,3033422.9645996094,3967990.270507813,1055858.987548828,498830.63818359375,377832.2478027344,552232.2177734375,846552.5632324219,1085930.3853759766,298893.44299316406,954276.1706542968,429551.0479736328,509846.5017089844,304899.2619628906,98494.9072265625
DG(36:3)_C16:1,1.4847410443798845,6.131311534223371,23.648885145576962,1.1561286909567863e-6,1.760068297613736e-4,DAG,343017.6452636719,558926.3790893555,329497.80101776123,87196.18650054932,486105.276184082,436158.0338897705,509943.0180358887,327200.3408203125,148940.02978897095,388930.60874176025,653151.9675445557,220166.69567489624,74434.1650390625,41107.26296234131,33302.52237701416,37562.12256240845,32338.66215133667,228180.0153121948,368930.0072631836,89144.50645446777,52217.42389297485,33822.342319488525,48801.16325378418
[TG(51:5)]_FA16:0,-1.4243179779233948,9.046068702087014,23.131845586804502,1.5126460350462897e-6,2.1981497154740853e-4,TAG,2662633.2572021484,887771.9512329102,2818020.0678100586,3198751.1602783203,132702.60998535156,178758.43466186523,129032.44927978516,148210.54956054688,116820.0492553711,81822.72570800781,117311.1682434082,112672.90786743164,2532498.1764526367,3692049.331726074,2619980.700744629,1366759.6182250977,1548488.1408081057,2377087.437561035,1867990.1942749023,2732314.543823242,742645.9927978516,2131708.7568969727,39190.08248901367
[TG(51:6)]_FA16:1,-1.398320960683634,9.205892125259203,22.314517223214352,2.3145025459204007e-6,3.217158538829357e-4,TAG,2958775.952270508,1047698.9948120116,3194918.0095214844,3570440.018432617,146931.69006347656,235628.3577880859,163424.91040039062,166777.21270751953,129036.94897460938,90604.30615234376,150070.03161621094,140699.15106201172,2587639.991394043,3810962.9245300298,2805761.458129883,1728675.4010009766,1722077.7590332031,2649432.7713623047,2157816.8165893555,2921303.8751220703,819853.119934082,2860349.9962158203,41019.22302246094
[TG(60:13)|TG(59:6)]_FA22:5,-1.3895234546043094,8.973057172533373,22.040987180022057,2.66889921723604e-6,3.5551961656265087e-4,TAG,432459.3494873047,158934.4503173828,636547.6641235352,136820.65032958984,5124024.193603516,271568.6645812988,4144828.5814819336,279331.78161621094,3038763.270385742,273533.9012451172,451908.2137451172,318814.06213378906,1476578.274169922,132925.56964111328,5006692.261291504,195760.333984375,468631.6297607422,120520.22875976562,7972292.2341918945,106415.08798217772,7195262.272033691,228201.69592285156,53200.703857421875
PE(38:5),1.4206270372178036,8.834176897043683,21.748917250740305,3.107652059183245e-6,3.974065453283534e-4,PE,2222563.019897461,981953.8098144532,704204.1866455078,1039524.7677001952,5405551.490600586,936460.0557861328,3822759.138305664,3032301.6474609375,6043773.176269531,3221614.946411133,3553550.3834228516,1063035.0618896484,598200.7032470703,423923.5087890625,622375.3010253906,890837.8856201172,1370444.770263672,311544.1239013672,1176950.8321533203,481432.45471191406,535431.5792236328,348684.36584472656,90965.40686035156
[TG(53:8)|TG(52:1)]_FA18:3,-1.3704850297674644,8.748618766279465,21.454311967569083,3.62360240840177e-6,4.4556372691001764e-4,TAG,2150532.0334472656,733127.6768188477,2183433.3715820312,2558327.557006836,180654.03326416016,213100.61627197263,231202.23846435547,172342.15173339844,191248.95178222656,119528.40829467772,163127.17059326172,139670.43029785156,2046916.5740966797,2826797.2276000977,2038674.369506836,1193189.1926269531,1234462.473022461,1985450.8454589844,1566839.3920288086,2189673.5802001953,661107.16650390625,1671665.2318725586,35997.24267578125
LPC(24:1),-1.3594514612869024,9.988970056793544,21.117748482729418,4.319092319054775e-6,4.931477908577898e-4,PC,3992355.751464844,2989996.987548828,4869692.069824219,4548652.8330078125,864104.75439453125,947463.6771240234,719430.9533691406,703872.4908447266,650588.9255371094,598382.2253417969,795828.7060546875,706272.10205078125,4327642.6865234375,5272523.8369140625,4603751.143066406,3168024.669921875,3950509.622070313,4206632.830078125,3981253.432617187,4545923.9130859375,2812758.185546875,4707881.474853516,98224.22705078124
PE(38:3),1.3993279388384694,8.233594302407328,21.132757307961583,4.28539723455598e-6,4.931477908577898e-4,PE,1360535.1088867188,617737.46240234375,366301.8857421875,673467.6279296875,3420122.5803222656,666831.9847412109,2445326.789794922,1959493.3701171875,3938309.053222656,2349858.7729492188,2513095.718017578,776617.0734863281,372071.2834472656,292638.64196777344,390681.7878417969,677292.3448486328,824770.82275390625,248989.4196777344,720438.8970947266,337645.1805419922,379877.4064941406,243318.2359619141,87890.98571777344
[TG(46:6)]_FA22:6,-1.3550935508295876,8.526406669005535,20.985361503146123,4.628060330727368e-6,5.055892174392154e-4,TAG,1071262.3357543943,901643.7282714844,1849506.6895446775,1440253.7862548828,420024.0667114258,391530.60232543945,319237.50506591797,327047.94244384766,565777.4880065918,390501.046875,522936.0169067383,310354.959564209,224469.11810302737,1921528.6443481443,3177383.5310668945,1981590.6659545896,928702.4057312012,1188435.577972412,743140.8942565918,854610.526550293,329713.4479980469,3487472.8237304688,48950.823181152344
LPC(24:0),-1.353521164723113,9.996664940713485,20.937820170112552,4.744346738560044e-6,5.055892174392154e-4,PC,4080159.490722656,3035732.380126953,4785997.157958984,4636961.5380859375,874238.49658203125,962746.7464599608,714250.7322998047,714065.1926269531,646901.8220214844,600970.9619140625,801756.3564453125,718077.5908203125,4282644.6162109375,5341079.8818359375,4639725.8984375,3243856.2265625,3956416.30859375,4207227.968261719,3962921.3837890625,4565285.9443359375,2845112.828125,4701352.3974609375,98562.5264892578
[TG(46:5)]_FA22:5,-1.3345930292532246,8.354657476632797,20.368182200822048,6.388318834423682e-6,6.403886174030344e-4,TAG,877289.4390563965,793609.6333618164,1646200.6027526855,1286781.0409545898,392258.10443115234,331557.5242919922,302665.09765625,312750.70404052734,578733.84375,371034.56719970703,484456.9119873047,303534.88412475586,200877.63693237305,1688081.7332763672,2801754.7133789062,1764416.5603027344,779659.3117675781,1032423.0044555664,677290.0884399414,769967.9580688477,291704.1178588867,3102810.694213867,48261.743408203125
[TG(51:4)]_FA14:0,-1.3343772660121904,8.402985995614143,20.361729985722377,6.409895451015671e-6,6.403886174030344e-4,TAG,1773224.271484375,587949.2760009766,1832418.6748046875,1983704.681274414,108547.54736328124,173716.59295654297,112186.84884643556,129466.10809326172,107290.3677368164,92858.4071044922,133083.69061279297,117728.94714355467,1483829.4456176758,2301213.3197631836,1653803.7844848633,813765.5987243652,904804.5995483398,1468196.5677490234,1252804.9055786133,1697107.4505004885,551434.9449462891,1406813.5804748535,82697.70608520508
[TG(57:11)|TG(56:4)]_FA18:0,1.3680246712044124,10.441281533480806,20.241296073134386,6.826332799408679e-6,6.613268472639256e-4,TAG,4832760.173217773,2013498.5832519531,1761593.2873535156,2295572.046875,14239368.055419922,3067059.545654297,17517204.248046875,7898564.8828125,22275028.104492188,9652997.70727539,10521773.92138672,3362569.185546875,1379161.2879638672,874726.2901611328,1880239.676513672,2421789.0256347656,2806493.5975341797,683563.2020874023,7629215.138183594,1546568.3200683594,1546564.6716308594,1036568.5012207032,70663.724853515625
PC(22:0),-1.327586462490924,9.622705722471636,20.159256696020748,7.125458112952231e-6,6.700026349149496e-4,PC,3280426.8627929688,2324176.128173828,3756876.123046875,3519406.118652344,672325.24755859375,742475.70751953125,564488.13671875,560010.240234375,548612.9410400391,475063.4091796875,624878.14599609375,587647.1022949219,3380154.7939453125,4077941.171142578,3545898.803222656,2455371.291015625,3060141.0302734375,3219591.5419921875,3003446.9365234375,3554628.0927734375,2138261.5673828125,3554114.2106933594,98047.44714355467
DG(38:8)|DG(dO-40:8)|DG(37:1)_C18:1,1.361874936200927,5.611931186301155,20.066824063891545,7.478273955553677e-6,6.830869095972887e-4,DAG,191799.69039154053,170829.49340057373,188956.83322525024,277437.6010360718,148418.06885528564,69014.60486602783,159432.28983306885,122716.78902053832,48129.08336639404,126053.36786651611,2938.3401985168457,2979.200206756592,176672.25147628784,158374.57176208496,2895.500202178955,2904.9802169799805,2912.8002014160156,7788.440601348877,2883.700210571289,2882.060218811035,15485.861095428469,2899.320209503174,842503.0589599609
[TG(53:7)|TG(52:0)]_FA18:2,-1.3189435503139868,8.332051011015151,19.902787674614956,8.148142618815323e-6,7.236003320097941e-4,TAG,1645898.0764770508,620764.9202270508,1710605.4948730469,1829313.0742797852,145479.53149414062,164086.3114013672,202866.09313964844,127228.1098022461,173959.39385986328,100502.58728027344,143284.52905273438,114746.76818847656,1427757.7503356934,1945688.8935546875,1571707.911743164,830613.3395996094,939572.2490234376,1440003.0162353516,1253771.7122192385,1661859.4553833008,577473.4824829102,1287158.9397583008,32808.362396240234
[TG(56:6)]_FA18:2,1.3419375335764039,10.548093455191164,19.51113726694799,1.0001485260384431e-5,8.57473646802835e-4,TAG,5174941.485107422,2123470.2495117188,1875696.3706054688,2412650.526489258,14824561.268554688,3604014.192138672,19141378.685546875,8376436.725097656,23916602.868164062,10148382.623291016,11449713.509399414,3592473.8127441406,1427898.8934631348,969244.0715332032,1977272.6573486328,2470156.3315429688,3125846.0353393555,755693.32861328125,8579042.205688477,1579801.9318847656,1862816.550415039,1127761.5037841797,73558.2855834961
PE(37:6)|PE(O-38:6)|PE(P-38:5),1.3406435887793933,7.522879806923979,19.47508337581758,1.0192054606977707e-5,8.57473646802835e-4,PE,745007.6301269531,358136.20275878906,210001.71362304688,403853.9870605469,2072888.4025878904,486732.35290527344,1414588.7409667969,1308744.7314453125,2123818.973876953,1502310.8946533203,1590561.8583984375,475021.23303222656,237175.61572265625,208828.57470703125,259109.55615234375,410118.38513183594,465625.9736328125,161473.9317626953,395321.00744628906,212746.4156494141,276625.79919433594,176070.59106445312,87416.285888671875
PI(38:5),1.3313375014190723,8.371114836045614,19.217742770473706,1.1662438882711777e-5,9.560209514879372e-4,PI,1119096.808959961,502677.4542236328,515557.4985961914,530631.0346069336,3686723.4069213863,840221.77294921875,3856433.2319335938,1909813.3204345703,4789882.901916504,2202649.687866211,2799331.3391723633,693507.6796264648,423277.7694091797,280070.4801635742,498361.8754272461,548112.6602783203,779560.6536254883,167480.45077514648,1352134.7801208496,394552.5490722656,490867.39544677734,279042.2226867676,48350.22351074219
[TG(60:14)|TG(59:7)|TG(58:0)]_FA22:6,-1.287875361181925,9.037854056094343,18.993726516200695,1.3114894226583918e-5,0.0010226418742046045,TAG,498476.6548461914,207216.89428710935,657984.2404785156,168210.3735961914,5563803.180603027,393832.5749511719,4428502.7599487305,367846.2463989258,3110837.784790039,385392.38513183594,517850.45892333984,365753.9431152344,1567117.0953979492,168742.6921081543,4912454.311706543,240068.7579345703,499520.81744384766,177083.87298583984,7820687.160888672,145509.31048583984,7613255.686950684,251956.77655029297,69407.06466674805
PS(40:5),1.324301321023413,9.908216671935854,19.024164602555125,1.2907348888498555e-5,0.0010226418742046045,PS,3891333.376953125,1990540.4028320312,1815814.046875,1999463.8647460935,10077343.0390625,2345607.0400390625,9741415.49609375,6616792.06640625,10119040.55078125,6978802.46875,8324860.8505859375,1611913.8725585938,1179678.2250976562,994830.0380859376,956047.6093788148,2304489.27734375,2838107.3564453125,1034050.5966796876,2247580.6708984375,1405298.9838867188,1062075.83984375,677021.768157959,656079.64892578125
PE(44:1),-1.2819439587011714,7.965650907224242,18.822334687742114,1.4347710631074234e-5,0.0010921340687510554,PE,1188196.8325042725,468652.19704437256,1365882.322013855,1451388.5310287476,131854.8496170044,161322.22917175293,119501.5877418518,137036.60969161987,114454.84790802002,91430.88668823242,155954.69045639038,118894.1287498474,1127260.4710273745,1477921.850883484,1119985.2969665527,613352.9843902588,864649.9012145996,1130414.4385299685,910853.5883636476,1178938.33146286,504413.15146255493,997330.02759552,64799.244232177734
PS(40:6),1.3140423730960218,12.837686563687873,18.743420106465592,1.4953843266745571e-5,0.0011118008586926882,PS,28633114.78125,14868667.984375,13590343.8203125,14904816.03515625,76398576.09375,17080812.9375,75990235.078125,50522178.84375,78843048.484375,52286206.046875,64728846.71875,11883331.8828125,8979179.66015625,7667465.798828125,7561599.554710388,17838532.65234375,21840351.5546875,7873376.255859375,17076816.54296875,10803173.28515625,7583059.552734375,5237349.903675079,5027281.986328125
[TG(52:5)]_FA18:0,-1.26449796258491,7.720450170459636,18.322621897008503,1.8647959904488533e-5,0.0013549438139693144,TAG,1031266.0767822266,374212.4312133789,1091218.444152832,1208726.7245483398,112788.58709716795,128432.0085144043,196109.6951904297,104457.52661132812,221577.05377197263,81759.24615478516,127342.189453125,104581.62664794922,957920.9559326172,1336902.0599975586,988023.7058105468,509242.1770019531,578623.995300293,862497.7973022461,894519.5750732422,1036941.0848999023,352849.72650146484,842065.9384765625,26629.72183227539
[TG(56:7)|TG(55:0)]_FA18:3,1.2882237992619219,10.596366599957252,18.04492309691402,2.1575321587034918e-5,0.0015163882014253389,TAG,5426749.87890625,2067383.44140625,1865521.9798583984,2513757.623535156,15740141.481933594,3567965.022216797,19629600.48779297,8718387.5576171875,24100626.41357422,10697376.092529297,11055952.15649414,3712279.73828125,1578622.8901367188,1029438.9063720704,2134664.323486328,2697552.2170410156,3310466.8178710938,837826.0969238281,9046845.160888672,1669418.593383789,1936158.3298339844,1123500.3657836914,82315.86602783203
[TG(57:12)|TG(56:5)]_FA18:1,1.2859004591101892,10.513442481407566,17.98264206713926,2.229285125648762e-5,0.0015163882014253389,TAG,5272141.137939453,2090006.6950683591,1894808.1474609375,2400243.447692871,14890686.978149414,3356378.2106933594,18582394.400878903,8364435.6171875,22294989.740722656,9720711.5498046875,10630071.40222168,3327734.5540161133,1484045.8963623047,966473.3759765624,2025860.334350586,2597269.094970703,3073813.6817626953,784660.6572265625,8459174.358520508,1628717.232421875,1841414.9481201172,1107792.1864013672,56143.94445800781
PE(40:7)|PE(39:0)|PE(O-40:0),1.2861355394596843,8.559546727590707,17.988889580905376,2.2219805735152245e-5,0.0015163882014253389,PE,1561211.3298339844,655943.0891113281,676361.0720214844,718967.4296875,4343308.433349609,738526.7678222656,3566598.8833007812,2184333.9111328125,4985810.662597656,2485958.0659179688,3418156.8325195312,837126.3615722656,519877.1125488281,355261.6650390625,576350.87939453125,724870.6906738281,1067736.5004882812,308384.4816894531,946431.9060058594,471820.2585449219,665234.53173828125,350242.32861328125,96693.20751953124
[TG(63:13)|TG(62:6)]_FA22:6,1.2810929893107552,12.038768808656057,17.854094728098495,2.3850549967354088e-5,0.001588546005117313,TAG,10215537.811035156,28902878.841796875,6207973.4560546875,5047176.015625,24641822.068359375,43922640.443847656,15244403.053222656,43907597.36669922,29774221.528808594,20993707.44873047,19117115.0546875,18902255.35498047,10985909.403808594,3483530.9897460938,2893032.267089844,10591312.298828123,5239128.6748046875,6968792.619140625,6910787.428955078,3587441.9497070312,10005153.461914062,5291723.3740234375,1656073.8100585938
[TG(52:8)|TG(51:1)]_FA18:3,-1.2452918867048097,7.591603964464813,17.77977191286117,2.4800598645201454e-5,0.0015953784783090657,TAG,886652.602142334,326570.6632080078,909353.4981079102,1064266.399230957,133044.1290283203,144048.47119140625,266848.8624267578,128617.65014648438,287355.30212402344,101294.80725097656,160431.53057861328,123401.98846435548,814524.4914550781,1137293.4727172852,880761.1392822266,501166.33502197266,520479.71911621094,820126.8565368652,891833.5827636719,923924.6457519532,401705.5270996094,744321.2060546875,36916.682678222656
PE(O-38:8)|PE(36:1)|PE(O-37:1)|PE(P-37:0),1.2778773729219304,8.472678727121846,17.76825509443006,2.4951180455255955e-5,0.0015953784783090657,PE,1753980.5989990234,661226.1481933594,443790.9528808594,654594.8474121094,3834475.800415039,697635.5119628906,2347836.34765625,3230512.5842285156,5200978.193603516,2208716.4212646484,2562225.8247070312,796782.5552978516,450333.2120361328,331413.12341308594,402430.1301269531,684274.84912109375,1261961.9608154297,293416.58166503906,1005253.7857666016,399315.9482421875,603787.3037109375,269911.49853515625,91276.406005859375
