Lipid,Class,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,9422.880630493164,8103.28050994873,7853.820575714111,7526.620525360107,9328.74059677124,8502.580646514893,13441.081062316896,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,579629.7597045898,602506.7243499756,600880.6587142944,653109.3824653625,633082.9434432983,606192.3217468262,585456.421875,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:3),CAR,468108.49212265015,470671.4733543396,470697.6712036133,460852.37074661255,473136.5139160156,473883.7734375,611447.3291015625,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,647800.7481269836,666427.1296043396,641976.5270996094,678101.4078559875,647108.7614135742,663728.0073547363,633677.9819335938,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(11:0),CAR,219353.91617584229,220078.1758270264,216354.03619003296,213329.99577713013,230991.2163734436,220441.4962081909,307762.5842285156,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,936028.9175796508,954372.5708656312,916378.5413360596,942803.9660987854,958958.3817367554,943764.8858032228,870968.1220703125,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(12:0),CAR,6536299.536567688,6606474.931880951,6758274.149066925,6607173.447193146,6800531.134380341,6639128.447193146,6397297.76171875,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,1161189.3405532837,1192792.445396423,1192158.3355522156,1164571.6839904785,1236211.186569214,1178170.2781333923,1316580.955078125,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:0),CAR,332927.7430534363,336576.90424728394,343159.0837364197,339383.0037384033,354786.8057899475,337522.3039932251,372286.3051757813,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,713829.2136383057,734547.4757080078,768051.2121162415,713456.0486755371,776756.1938323975,731135.1941871643,886736.28125,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:1),CAR,336109.3020401001,339588.00342559814,346242.2067642212,348505.52379608154,367426.5475463867,354754.462310791,368998.5258789063,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,715650.6092262268,718913.6894226074,773259.4165306091,701233.7068405151,767197.8109855652,719702.2526626587,902707.2607421876,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:2),CAR,368244.14541625977,382283.7461395264,382226.4464111328,374254.64543533325,394912.0869789124,379640.6463165283,397565.6098632813,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,753526.3537979126,772708.3506698608,783264.2549667358,744232.7703971863,800865.2715682983,758700.0524291992,898668.984375,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:0),CAR,242261.5566596985,248843.7773895264,258400.71842575076,242644.57736968997,261857.9980354309,249421.79866027832,283562.0600585937,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,719417.8522720337,785145.1504745483,775260.2955551147,742124.9953994751,724161.7909011841,707938.570438385,743383.630859375,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:1),CAR,234070.7368927002,243786.65781784055,243525.8972358704,245141.53705596924,252962.2583465576,235482.75677490237,271161.9794921875,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,702866.0491104126,749253.8325424194,745121.470867157,706428.0680923462,698302.7676239014,681140.4275474548,740003.9345703125,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:2),CAR,234065.51695632932,241021.6171951294,235195.55652236936,233346.37580871585,250200.19537734985,231382.07596588132,256414.337890625,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,672190.4879722595,718702.731842041,735353.2536010742,666488.748249054,662673.0277786255,647718.7468833923,720453.970703125,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(17:0),CAR,1323412.7336769104,1298430.0461006165,1256010.5886001587,1303440.0905532837,1353126.6807861328,1342317.3182106018,1142501.9833984375,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,524084.7597351074,544247.1184806824,544579.76039505,537445.2820396423,562570.2406730652,534958.2737159729,595367.421875,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:0),CAR,3152338.077976227,3125446.245632172,3206437.527507782,3154476.9831314087,3499921.774066925,3232710.562191009,3204698.263671875,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,680055.5681686401,686212.0269203186,692955.5866088867,686706.8727798462,747540.3379364014,697593.447933197,760985.4560546875,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:1),CAR,3117355.463287353,3032631.7442245483,3135661.8673477173,3137405.0901641846,3367397.8403167725,3200600.482662201,3208659.5,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,652836.6096572876,667999.2667655945,674752.2475852966,664495.7871170044,712744.3495368958,681471.0283279419,735194.3125,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:2),CAR,3154983.2973480225,3117305.6686019897,3227121.770629883,3208946.618911743,3490407.823757172,3287624.5207862854,3252238.28515625,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,637167.9860610962,647105.3828582764,656226.0102424622,626037.9048919678,696330.5928192139,644688.2028961182,725255.8544921875,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:3),CAR,3124648.587036133,3113804.3601646423,3207768.7754745483,3167399.818286896,3403707.0223503117,3265775.312194824,3175149.642578125,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,674675.5460586548,710249.2685241699,704185.2315292358,691361.1495399475,745413.3921546936,704370.0494613647,757884.5498046875,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:4),CAR,3088093.288913727,3084062.9276657104,3151311.2214126587,3114249.332508087,3388878.250629425,3190959.591255188,3109092.08203125,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,678610.269733429,695143.8686027527,680078.0080528259,691105.929813385,738490.2113761902,700743.2273521423,756819.1298828125,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:0),CAR,572608.2195358276,566178.4569587708,576807.3605537415,570718.543170929,630978.9630126953,595512.2205123901,631235.4873046875,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:0)_QUAL,CAR,2042408.3503189087,2046230.581569672,2031520.43227005,2030929.179382324,2070868.5746955872,2088308.668598175,2018746.53125,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:1),CAR,545235.2370758057,538423.6376609802,553335.9367637634,548148.9205741882,594834.1255531311,564796.5011367798,602583.583984375,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:1)_QUAL,CAR,2028297.7643814087,2010630.4911003115,2024439.627975464,2020137.3960990903,2076457.0429763796,2046993.6329727173,2005452.6015625,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:2),CAR,496472.91438293457,491934.2335205078,505968.0964126587,499994.77617645264,545533.9381332397,518068.7759819031,542018.3017578125,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:2)_QUAL,CAR,1960372.5642242432,1961801.5781326292,1988470.6656303408,1952663.5864143367,1998069.8691482544,1996353.573757172,1927371.623046875,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:4),CAR,517819.0538749695,522689.9145774841,526365.4971542358,530237.3162574768,572612.0991477966,527871.4763717651,571720.7197265625,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(20:4)_QUAL,CAR,1712337.70570755,1733120.2202415466,1725329.1989135742,1717118.4767227173,1762131.056098938,1744770.0836753843,1701772.712890625,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:0),CAR,209507.5941467285,208874.9756011963,214503.79622650144,214124.13687896729,230060.87617874143,212991.15462493896,246921.7578163147,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:0)_QUAL,CAR,1601205.023677826,1647985.9755516052,1683881.0427474976,1674280.313232422,2198097.339538574,1775421.633441925,2740927.288986206,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:2),CAR,254935.4981803894,251682.9585609436,265113.71658706665,260622.91743850708,285360.0610809326,262611.6785316467,311783.7636947632,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
CAR(22:2)_QUAL,CAR,1609999.834148407,1649533.837348938,1700951.377506256,1685397.1456298828,2221287.711883545,1807658.7081336973,2741514.162109375,Genotype: 5xFAD | Brain Region: hippocampus | Sex: Male,Genotype: WT | Brain Region: hippocampus | Sex: Male,Genotype: 5xFAD__Brain Region: hippocampus__Sex: Male vs Genotype: WT__Brain Region: hippocampus__Sex: MaleAveraging_All_Across_methods2,4,2,Blank_Blank_Blank_Blank_Blank
