Lipid,Class,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,DOD94_F3_Female_WT_cortex ,FAD184_F3_Female_WT_cortex ,FAD184_F4_Female_WT_cortex ,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,8721.760601043701,7482.000534057617,8591.540615081787,8456.700565338135,7244.800518035889,7988.360569000244,8556.320613861084,9057.300678253174,9157.600639343262,13441.081062316896,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(10:1),CAR,468052.5140953064,467979.4149398804,459726.014465332,459556.2958984375,466029.6733665466,473192.2338218689,452669.6117248535,471916.7936515808,461430.33322906494,634009.9052734375,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,1191053.168067932,1218492.8599853516,1168491.082397461,1165448.3845214844,1165622.5580291748,1197382.9510269165,1152608.801185608,1192826.0019073486,1209490.2474975586,1046036.49609375,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(10:2),CAR,466398.2900390625,476177.0739746094,470667.7735595703,469337.28994750977,472138.4946517944,464267.77478027344,457558.5531387329,476367.7107849121,477712.733215332,642041.1708984375,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,662201.5657730103,609228.8646697998,664392.66796875,603536.2040405273,627115.3056640625,708170.4301757812,583119.983165741,625976.7437744141,613562.1617736816,585456.421875,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(10:3),CAR,464280.1316108704,474447.635887146,465083.8903808594,462530.2118835449,458302.6073188782,460119.35189819336,460000.71240234375,464155.4952850342,468188.3310546875,611447.3291015625,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,673968.7052230835,665941.73046875,699709.5654449463,681354.36769104,692704.0530395508,695539.7074279785,642235.74609375,659595.4996337891,709130.7650985718,633677.9819335938,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(11:0),CAR,235500.31698989868,230270.4958267212,215049.35606002808,222003.6559715271,217721.4149169922,216942.31550216675,217053.09909439087,235199.47663497925,229641.99746704104,307762.5842285156,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,969895.6544570924,976975.6697769164,917140.747505188,945642.8892822266,954241.1290931702,983907.2283935548,954711.986038208,973990.7679748536,977671.6344985962,870968.1220703125,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(12:0),CAR,6863065.198444366,6699264.702194214,6612772.765007019,6553456.024692535,6603319.179691315,6624754.211257935,6587197.182506561,6841519.090320587,6707013.297504425,6397297.76171875,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,1223517.561569214,1185875.7597351074,1193942.9633636477,1279660.1290664673,1222956.989692688,1287689.2668800354,1186442.9816474917,1270938.2918777466,1232741.0681304932,1316580.955078125,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(14:0),CAR,361172.9073677063,357862.2861595154,332862.2823295593,339905.80448150635,338632.98584747314,344700.1848526001,348522.6434059143,359881.06538009644,346274.64430618286,372286.3051757813,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,771629.2531318665,767636.0124702454,743154.5322341919,733432.2945365906,712182.9745788574,730440.7923126221,744998.4352416992,772035.891960144,743653.8512954712,886736.28125,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(14:1),CAR,368253.6453018189,375739.64881134033,338663.2843208313,351927.0446739197,349780.6231689453,348162.04473495483,355140.1877403259,366563.72498703,356826.54473495483,368998.5258789063,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,767067.6369972229,760089.3957099915,744602.9521179199,733397.7854766846,751904.1968002319,766372.874382019,744259.6683273315,776833.9528961182,752968.1960601807,902707.2607421876,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(14:2),CAR,391137.3074455261,396985.10791397095,374953.6049690247,386218.3284263611,377583.80672836304,379547.5256729126,374163.9449691773,395916.17125701904,389661.7878799439,397565.6098632813,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,834265.8830909729,788367.5584449768,774199.4570770264,768619.9982872009,757587.032585144,789616.1741104126,767973.9305114746,807015.7537155151,799562.6788711548,898668.984375,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(16:0),CAR,260527.89841461185,260281.57931137085,248438.1576423645,256342.4572944641,250341.67779922485,245753.4393043518,251302.79752731323,257439.0177116394,254987.4772911072,283562.0600585937,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,741665.0752410889,741527.9105110168,780233.8910598755,733402.4082489014,718402.3291473389,782067.414691925,695143.8098487854,732082.8132858276,745552.4319190979,743383.630859375,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(16:1),CAR,251108.5578765869,255607.11666488647,239549.95531082156,250917.5990600586,237858.3367919922,244149.1976242065,240792.1379928589,251715.1997642517,250094.41779708865,271161.9794921875,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,734014.1730155945,734830.953327179,728574.1284446716,727922.1539497375,726252.3511772156,714028.0119590759,676417.1706314087,725311.6316871643,731428.8098487854,740003.9345703125,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(16:2),CAR,248117.01676177976,247627.7583732605,243835.67629623413,242903.81734085083,227772.11569213867,233746.2361984253,238028.15690994263,252207.2161369324,243440.07543563843,256414.337890625,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,697616.492351532,677503.011100769,758232.4121170044,706301.4317817688,682616.0869216919,746355.1691856384,675326.2664108276,689828.7694168091,727642.2745780945,720453.970703125,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(17:0),CAR,1370896.202194214,1423578.6156311035,1266043.720790863,1346960.3937568665,1297160.1095352173,1338827.432430267,1342411.8786811829,1365435.819694519,1386686.9743041992,1142501.9833984375,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,576444.3008651733,572052.1805152893,522134.95793533325,544400.1816864014,533254.9981689453,544554.2147331238,535001.0970344543,559384.4412536621,552436.002117157,595367.421875,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(18:0),CAR,3483483.0332870483,3559557.1098480225,3130900.762664795,3252273.294067383,3145356.0317230225,3203608.6062583923,3344060.9525032043,3484259.4640693665,3403506.3254776,3204698.263671875,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(18:0)_QUAL,CAR,754288.6739501953,757535.6389884949,670423.8701210022,707733.4903945923,695461.6885604858,693850.8493843079,722951.7132110596,743083.9319190979,726716.0859832764,760985.4560546875,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(18:1),CAR,3393913.270629883,3400106.4828186035,3085144.1928215027,3204446.966571808,3077063.5401649475,3138169.3336029053,3263183.57157135,3382485.3075065613,3296570.7317276,3208659.5,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(18:1)_QUAL,CAR,724785.0505142212,710473.9950065613,658951.204574585,695685.7893409729,664231.3082084656,658315.0877799988,691485.6316871643,722437.5520362854,698676.2541503906,735194.3125,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(18:2),CAR,3503175.5364112854,3480028.3957901,3159603.657661438,3276826.2682876587,3148183.6836013794,3217802.9153175354,3381310.580318451,3512091.339225769,3387669.825321197,3252238.28515625,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(18:2)_QUAL,CAR,695773.7686767578,690644.4261360168,626307.843208313,661403.1086006165,648519.5268821716,652287.844379425,681783.3293418884,703156.7877388,684677.1701622009,725255.8544921875,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(18:3),CAR,3444286.058444977,3441400.094696045,3131085.3457870483,3246143.318599701,3126934.2593803406,3160923.04813385,3354389.6895370483,3442251.3753204346,3350015.237663269,3175149.642578125,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(18:3)_QUAL,CAR,755661.3931694031,748352.8323478699,677312.8036766052,712527.8482093811,704776.6503562927,691029.6306724548,724256.6666870117,740901.3504333496,724836.8706283569,757884.5498046875,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(18:4),CAR,3399707.930316925,3403386.753757477,3077947.657196045,3193789.6042251587,3064326.3414115906,3131360.3840675354,3270577.046726227,3384906.931880951,3307672.6473503117,3109092.08203125,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(18:4)_QUAL,CAR,741467.396686554,735085.9696159363,659871.9247322083,704503.7686386108,686904.5498886108,692716.1691436768,713336.4137573242,749293.1941490173,719543.4729347229,756819.1298828125,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(20:0),CAR,617522.5022163391,626548.7864151001,567950.9185638428,597981.5261383057,581646.0180549622,590750.9011764526,608679.9014892578,622327.7019195557,603089.2824287415,631235.4873046875,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(20:0)_QUAL,CAR,2103584.7741470337,2118450.8718795776,2037328.78937912,2077391.2237548828,2048442.6357841487,2047274.6223487852,2030921.9206314087,2106460.679851532,2106803.243911743,2018746.53125,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(20:1),CAR,593158.8449478149,604612.7245368958,555359.1405525208,573932.7795372009,548443.2402801514,548493.577545166,573377.6212539673,606478.0848083496,584938.5810966492,602583.583984375,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(20:1)_QUAL,CAR,2120068.1714134216,2108902.4557876587,2031445.1567268367,2030649.0118789675,2026440.485786438,2018776.38407135,2010838.4269599917,2093240.2393836973,2075263.855632782,2005452.6015625,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(20:2),CAR,544962.1003189087,544552.8597335815,489639.15322875977,520274.2581291199,489973.5371932984,499628.75422668457,533664.4797325134,542057.2000083923,535712.1989135742,542018.3017578125,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(20:2)_QUAL,CAR,2043492.018131256,2023722.3308639529,1961910.864227295,1998494.3878173828,1959580.1868782043,1981384.982196808,1941919.9132881165,2028221.8551635745,2020504.7426643367,1927371.623046875,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(20:4),CAR,579437.7614097595,571953.6396141052,518909.0928573608,536502.5371932983,520621.339263916,531815.5353775024,554694.6580543518,578648.7180137634,568190.443561554,571720.7197265625,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(20:4)_QUAL,CAR,1775250.4566459656,1793011.7721939087,1710370.5127372742,1732785.4181289673,1729382.5322723389,1766595.6940689087,1721938.8299293518,1791836.084224701,1770957.344379425,1701772.712890625,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(22:0),CAR,233084.9561767578,230876.19455337524,206396.23305511475,220538.85735702515,209466.17405700684,214747.49493026733,225577.95599365237,226648.3770027161,220266.8165473938,246921.7578163147,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(22:0)_QUAL,CAR,2108268.9651641846,2580723.376106262,1567737.4921150208,1645451.4886016846,1766458.3007087708,1771301.5647697449,1742622.7064971924,1829532.893989563,1879769.452739716,2740927.288986206,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(22:2),CAR,275570.3806991577,282701.1981124878,248093.77682113647,261989.89906692505,257068.2985687256,256560.39823150635,265164.4580421448,277044.0199928284,268277.35957717896,311783.7636947632,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(22:2)_QUAL,CAR,2091327.2138710024,2590980.841960907,1572855.6297721865,1650412.572818756,1754634.7050056458,1755342.2292251587,1747418.25907135,1831103.713130951,1872745.5093803408,2741514.162109375,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
CAR(22:4),CAR,289300.1394081116,286656.9009170532,264973.2178382873,273737.1389732361,268994.839176178,271678.1594390869,277806.29878616333,287777.86057281494,280569.6193809509,317976.1638183594,Genotype: 5xFAD | Brain Region: diencephalon,Sex: Female | Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: diencephalon vs Sex: Female__Genotype: WT__Brain Region: cortex_,6,3,Blank_Blank_Blank_Blank_Blank
