,Reaction,Gene Code,reaction_code,Lipid 1,Lipid 2,Class,reaction_type,Number,Gene
63,23,5319,23,PC,LPC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,5319,PLA2G1B
64,23,5321,23,PC,LPC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,5321,PLA2G4A
65,23,100137049,23,PC,LPC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,100137049,PLA2G4B
66,23,8605,23,PC,LPC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,8605,PLA2G4C
67,23,283748,23,PC,LPC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,283748,PLA2G4D
68,23,123745,23,PC,LPC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,123745,PLA2G4E
69,23,255189,23,PC,LPC,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PC,255189,PLA2G4F
70,24,10554,24,LPA,PA,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PA,10554,AGPAT1
71,24,10555,24,LPA,PA,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PA,10555,AGPAT2
72,24,56894,24,LPA,PA,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PA,56894,AGPAT3
73,24,56895,24,LPA,PA,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PA,56895,AGPAT4
74,24,55326,24,LPA,PA,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PA,55326,AGPAT5
75,25,5321,25,PA,LPA,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PA,5321,PLA2G4A
76,25,283748,25,PA,LPA,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PA,283748,PLA2G4D
77,25,123745,25,PA,LPA,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PA,123745,PLA2G4E
78,25,255189,25,PA,LPA,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PA,255189,PLA2G4F
79,26,154141,26,LPE,PE,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PE,154141,MBOAT1
80,26,129642,26,LPE,PE,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PE,129642,MBOAT2
81,26,10162,26,LPE,PE,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PE,10162,LPCAT3
82,26,254531,26,LPE,PE,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PE,254531,LPCAT4
83,27,8605,27,PE,LPE,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PE,8605,PLA2G4C
84,28,79143,28,LPI,PI,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PI,79143,MBOAT7
85,29,283748,29,PI,LPI,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PI,283748,PLA2G4D
86,29,123745,29,PI,LPI,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PI,123745,PLA2G4E
87,30,154141,30,LPS,PS,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PS,154141,MBOAT1
88,30,10162,30,LPS,PS,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PS,10162,LPCAT3
89,30,254531,30,LPS,PS,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PS,254531,LPCAT4
90,31,30814,31,PS,LPS,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PS,30814,PLA2G2E
91,31,5320,31,PS,LPS,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PS,5320,PLA2G2A
92,31,64600,31,PS,LPS,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PS,64600,PLA2G2F
93,32,9926,32,LPG,PG,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PG,9926,LPGAT1
94,32,54675,32,LPG,PG,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PG,54675,CRLS1
95,33,283748,33,PG,LPG,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PG,283748,PLA2G4D
96,33,255189,33,PG,LPG,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PG,255189,PLA2G4F
97,33,54675,33,PG,LPG,Glycerolipids and Glycerophospholipids,Acyl chain remodelling of PG,54675,CRLS1
98,34,5537,34,PC,PA,Glycerolipids and Glycerophospholipids,Biosynthesis of PA,5537,PLD1
99,34,5338,34,PC,PA,Glycerolipids and Glycerophospholipids,Biosynthesis of PA,5338,PLD2
100,35,23236,35,PIP2,DG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,23236,PLCB1
101,35,5330,35,PIP2,DG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,5330,PLCB2
102,35,5331,35,PIP2,DG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,5331,PLCB3
103,35,5332,35,PIP2,DG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,5332,PLCB4
104,35,5333,35,PIP2,DG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,5333,PLCD1
105,35,113026,35,PIP2,DG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,113026,PLCD3
106,35,84812,35,PIP2,DG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,84812,PLCD4
107,35,51196,35,PIP2,DG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,51196,PLCE1
108,35,5335,35,PIP2,DG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,5335,PLCG1
109,35,5336,35,PIP2,DG,Glycerolipids and Glycerophospholipids,Biosynthesis of Mono/Di/Triacylglycerols,5336,PLCG2
110,37,56994,37,DG,PC,Glycerolipids and Glycerophospholipids,Biosynthesis of PC,56994,CHPT1
111,38,10390,38,DG,PE,Glycerolipids and Glycerophospholipids,Biosynthesis of PE,10390,CEPT1
