lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,07052023_ELOVL1_5Xdilution_HEPG2-01,07052023_ELOVL1_5Xdilution_HEPG2-02,07052023_ELOVL1_5Xdilution_HEPG2-03,07052023_ELOVL1_5Xdilution_HEK293-01,07052023_ELOVL1_5Xdilution_HEK293-02,07052023_ELOVL1_5Xdilution_HEK293-03,07052023_ELOVL1_5Xdilution_Blank-01
FA(18:4),0.3535087504070088,8.379202561208652,4.436893830639418,0.03517018021940859,0.48578811428058116,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,5497.3004,5087.080349,5250.540371,4516.380325,4289.520302,4732.520298,4301.960297
LPC(17:2)|LPC(P-18:1),-0.349418726796931,7.459246373934052,4.296585352000548,0.03818897603234423,0.496456688420475,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,1881.800121,2265.780182,2684.800198,2373.900158,3602.880257,3271.720234,2272.980145
FA(10:6),-0.3384107937805528,13.478251956856813,4.108522108956095,0.04266763214971894,0.510423774760407,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,82369.30615,208760.4739,301654.1626,157149.8917,271764.8198,318724.9233,37498.36261
FA(12:2),0.3365924952588797,11.430452387160951,4.06107377666774,0.04388258697035174,0.510423774760407,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,36473.86249,58835.72415,58578.02386,35677.72281,46511.62321,44894.06342,22258.86166
FA(25:4),0.32387715334990713,9.253689355799446,3.747193042191583,0.05289627079857042,0.5666490155928847,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,8436.120605,13527.961,13895.54106,9523.560608,8749.620628,11504.26088,3323.880238
FA(27:3),0.32248206971303334,9.572256661317388,3.7175141803468676,0.053844476594799004,0.5666490155928847,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,11632.18085,14442.92104,15319.34108,11442.84093,10667.96083,12982.70087,6121.680454
FA(27:4),0.3131178562006802,9.739137227511572,3.5062826838773162,0.0611364863008369,0.6141437942038616,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,13962.84099,15609.72113,15089.20116,13890.781,12067.70084,12407.88083,7599.560547
FA(10:0) | FA(10:0)_2,-0.21857349014604366,12.43162957932657,1.715780835392252,0.19023705122253917,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,43853.3031,105093.3673,146423.8512,73308.42523,121873.5093,150260.6907,20962.02151
FA(10:4),-0.21344304293617658,11.582176658416238,1.63559543247203,0.20093086510465105,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,26093.30202,53884.66394,81281.76593,41741.103,65089.54474,81743.20636,13677.30086
FA(10:5),-0.2629373757405853,13.090821529833793,2.482335112101282,0.11513120752968377,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,72813.34503,162593.1718,216266.5352,127849.3087,197968.0952,219281.2965,36125.04254
FA(11:0),-0.21524918024469875,11.927939458681276,1.6636991374077752,0.19710461299349125,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,30302.28214,69470.74548,108840.1277,49030.14328,86850.30615,106717.2479,15867.10107
FA(11:1),-0.2641198052613202,10.722092464899672,2.5014843396129436,0.11373905236673579,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,13399.28094,28899.46216,45804.44336,22007.84161,36931.94281,47441.34348,7222.460487
FA(11:2),-0.24804631303935792,12.499990796766685,2.2091329433160354,0.13719576187788682,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,46936.74359,102132.1874,155977.451,76461.14569,122870.5285,165995.1705,23154.36157
FA(11:6),-0.24080054609435983,13.105803702361177,2.082430622184802,0.14900274449274306,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,69076.82458,164607.0715,232127.7366,117051.9485,195090.1747,240912.3749,35226.24213
FA(12:1),0.2479762916039544,11.897667424730182,2.20718987022326,0.13736869878278982,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,47404.76331,80313.92566,83847.48633,51234.90347,66343.36479,67024.50473,28290.24197
FA(12:4),-0.27674290279190583,10.19351348588402,2.743883708584235,0.097627234545226,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,9812.020737,21427.18143,28095.92212,15056.66113,26138.78183,31994.46231,5617.840393
FA(12:5),-0.243869441674231,11.424081017690254,2.1343662091344413,0.14402998009395976,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,21267.46158,49694.64349,74856.08533,37733.86258,58958.88416,76132.64526,10699.90066
FA(15:5),-0.23826509832859746,10.264267247603977,2.03479279668958,0.1537351334397963,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,11997.7408,20820.00153,28300.62204,19005.16135,25448.88185,29105.96205,6988.280502
FA(16:3),0.22483329075511604,9.261758845467636,1.8073912555426546,0.17882149042044948,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,8111.960602,11826.96089,13131.84085,7915.480583,9928.04068,11970.26079,4891.900322
FA(18:3),0.2406176064936311,8.220000892264226,2.0575308536932084,0.1514554143599582,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,4092.880314,5252.540359,5586.480396,3931.600277,4724.640305,4727.080303,3219.180202
FA(2:0),-0.21659098028424262,11.257086496044995,1.683669457264159,0.1944375806596324,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,23971.78171,42817.12302,54278.98367,35533.08255,53085.66364,55396.52426,15082.46107
FA(21:0),0.2754357859318642,8.836996477970045,2.7058846046579674,0.09997861167002556,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,6670.280479,8886.680641,8380.520599,6450.300488,7171.740486,7391.900543,4134.6203
FA(21:3),0.23479004228695824,7.94662899389847,1.9552215746734907,0.16202528574407069,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,3240.220245,4127.720264,5240.940342,3230.220242,3792.860268,4213.800327,2569.660175
FA(24:0),0.22882402849951483,9.7710471004483,1.874369613799444,0.1709754601598891,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,12224.30091,16646.02115,15662.06104,14713.82095,12055.18088,13011.00097,8453.200603
FA(3:0),-0.26784067927053545,10.703456183526747,2.5721456898479573,0.10876012095374449,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,13955.521,30213.74231,39201.34265,23130.70169,36504.72235,42030.06329,9272.680641
FA(3:1),-0.21561838606583636,10.0363895451105,1.666032431069766,0.1967908014445732,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,9775.82061,18129.62125,24411.04175,14799.5811,22631.68169,24426.04166,6526.520515
FA(4:1),-0.22044252741020662,10.964736521416924,1.7436424110937878,0.18667797019767907,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,16788.88113,35542.54251,49915.36337,26426.86182,43876.30328,50015.86377,11034.38086
FA(6:0),-0.21757027494135897,13.075313248277451,1.7003562146401245,0.19224139859662961,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,78408.18573,164131.6517,200527.5944,123051.9883,182251.972,220108.3761,41795.34302
FA(7:0),-0.24170301091697644,13.122217862114523,2.0980480180629115,0.14748732142452384,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,71546.7655,168029.5502,224051.4949,121221.0486,199815.274,230612.0967,40338.50275
FA(8:0),-0.25354120906709116,13.1373313332926,2.3083440037135006,0.12868107854326294,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,69699.00482,166877.7921,236280.6771,119561.3484,204930.8745,240792.2376,37232.0025
FA(8:2),-0.2495465440783067,11.278392887343799,2.2344795834565048,0.13496205819452697,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,20494.62149,44699.56345,62815.92447,34300.02264,55300.30379,63633.88452,11765.04088
FA(9:1),0.22412762095992186,12.538845400214562,1.8040071606558286,0.17922880264965532,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,73693.90546,127343.9885,141735.3704,83767.76642,98917.74661,120885.1475,32956.00226
LPC(18:3),-0.21778871098444713,7.571638388637785,1.674466905055823,0.19566129602773719,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2125.940136,2666.800201,2987.900219,2391.000187,3227.260231,4105.660305,2437.540173
LPC(24:1),-0.22324993821852349,7.94536386738485,1.767749390655041,0.1836608550879634,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2882.940201,3654.220242,4193.380299,4105.720333,4271.580265,4808.180317,2491.300179
PC(14:0)|LPC(15:0)|LPC(O-16:0),-0.27290782794687257,7.5618408001597315,2.6281343254127094,0.10498500986033643,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2047.640152,2692.86018,3019.340218,3062.500233,3191.520229,3597.540218,2258.180157
PC(18:1)|LPC(19:1)|PC(O-19:1)|LPC(P-20:0),-0.2349458300945889,7.690698529398441,1.9522177356006551,0.1623480689175527,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2179.860168,2914.460186,3729.820286,3172.740219,3419.100235,4256.480297,2355.180168
PC(20:4)|LPC(21:4),0.23402710597138957,9.041082386346021,1.9574035874558153,0.1617912725128742,0.853956176694767,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,6379.440521,11663.48079,13213.72092,7048.400501,8687.280647,11780.06084,2374.780159
FA(12:6),-0.2087096743446527,13.04389044492771,1.5648099943364286,0.2109623320666882,0.8574979607293034,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,66205.68494,158153.11060000001,232288.2576,111435.0875,187716.1139,229327.7561,30382.9223
FA(26:1),0.20817150477155263,9.0108372153784,1.548179009285775,0.21340446986475875,0.8574979607293034,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,6656.400467,9728.280663,11269.50078,7531.360565,7673.680511,9746.380676,4187.880302
FA(9:0) | FA(10:7)_2,-0.2100890909730193,12.67954330334039,1.585396166004104,0.2079851283856835,0.8574979607293034,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,53323.34381,122809.009,174547.6509,86717.56622,145318.3098,176032.6736,25549.90176
LPC(4:0)|PC(O-4:0)|PC(O-5:0),0.20625343292917217,7.110090952172677,1.4904135025697158,0.22215231367374313,0.876708237891022,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,1985.980133,2121.880142,2108.100147,2074.540157,1806.120132,1886.920143,1923.980125
FA(10:0) | FA(10:0),-0.183540857626085,12.418819148216837,1.2101881453286296,0.2712948633941434,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,42503.42297,102436.4468,151725.4302,68402.58453,119254.2484,150274.0503,22087.90182
FA(10:1),-0.17717363896213245,12.14478770114652,1.1276156955800634,0.2882844872839258,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,36441.46249,87649.04608,121415.8483,59419.88434,101617.0861,117447.4087,17463.8811
FA(14:5),-0.1941848228548072,10.855912966853827,1.353116197429813,0.24473407692169127,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,18026.02121,33914.70239,42023.68274,27511.62189,39256.66301,43033.42317,10182.20072
FA(14:6),-0.16653774187178216,12.584507099383194,0.9964931488420916,0.31816055367120316,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,57651.58423,118878.0088,135015.4501,90528.96643,126252.6492,139807.0488,37020.60257
FA(15:6),-0.19635127482086862,11.74272206646864,1.384419186530522,0.23934983104791027,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,31890.08209,63006.52466,79672.4256,52703.74338,72044.94446,77872.60513,18873.64133
FA(16:5),-0.17460831872786187,10.296992855296542,1.0933702562928151,0.29572567365929914,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,12572.42099,21779.14163,28508.28201,17565.42113,25733.12193,29627.00199,8071.360641
FA(19:2),0.17927010027239365,8.161411135071795,1.1420819608657136,0.28521282820034255,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,3607.200237,4893.800358,5535.7003779999995,4240.900295,3946.100231,4762.280331,3242.740219
FA(19:6),0.19235931492207084,9.814701686479841,1.3254006667932572,0.24962509505356553,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,11929.30093,16407.62137,19752.50133,12428.76089,14479.44098,17218.92136,7145.200508
FA(20:0),0.184658403403862,8.572092247909351,1.2154977524866055,0.27024603298632904,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,5292.560356,6909.700523,7059.440556,5521.000412,5933.960403,6502.140442,3595.220215
FA(20:2),0.18637972838144568,7.836083933072859,1.2315035289283074,0.26711483665396196,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,2994.280216,4145.960285,4463.300293,3246.34024,3528.100258,3936.88028,2234.480156
FA(26:2),0.16876536548803608,8.797143615249219,1.0168691126864218,0.31326281731822364,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,5759.400387,8367.280563,9231.740723,5892.380444,7289.660519,8704.420624,3682.960274
FA(28:6),0.19130191727877952,9.154635700147688,1.3085447140212807,0.25265831191440774,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,7518.780518,10491.26073,13391.34097,8334.96051,8873.040619,11443.02086,3830.300293
FA(4:0),-0.17572150800049471,12.78854355257893,1.1094515719541942,0.2922011956817815,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,59131.80389,131787.8899,190948.715,88853.42645,158971.5911,186972.7934,28305.64191
FA(5:0),-0.1794746964746342,12.41348200279181,1.1571850359273412,0.28205010511276896,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,46131.38287,101660.9879,143455.75,70090.84467,121189.9486,141616.6898,23658.74176
FA(5:1),-0.1907521393589825,12.052102185266826,1.3068811458015261,0.2529601181934769,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,37229.86258,77979.08582,108944.8884,55932.80365,94465.60699,108592.0873,18946.44144
FA(5:2),-0.17590784432531692,12.974849686147772,1.1118463527409403,0.29168094434919023,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,74595.12451,143448.7513,205228.3542,106599.2677,171317.8327,208991.9349,37717.22263
FA(7:1),-0.19603494929633697,12.89033102875921,1.380606095098301,0.2399979342812688,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,64101.88464,141112.0503,198140.7122,99296.7674,168855.4712,198219.1537,32291.58191
FA(7:2),-0.18508756684954156,11.390589538195623,1.2300019776537283,0.26740665346492815,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,22975.72177,50576.30396,67559.245,36707.78282,59141.30408,65947.50439,12877.78087
FA(8:6),-0.19481890151078188,13.731200658087884,1.36375860400085,0.24288714340268386,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,117102.5689,260470.6592,348350.4819,183244.0728,298107.2202,359339.9452,52870.20367
FA(9:0) | FA(10:7),-0.16821641120201164,12.795008494944264,1.0167582978938299,0.3132891860242072,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,59884.08405,132577.8091,190399.854,91943.78687,150913.2111,191477.7328,29677.32202
LPC(14:0)|PC(O-14:0)|LPC(O-15:0),0.16772774761559175,7.447594103920231,0.9924232008792053,0.3191508433787337,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2372.180149,3057.420216,2861.480198,2276.900169,2565.680183,3093.380215,2042.340137
LPC(2:0),0.1715260243311629,7.103145815512185,1.0302243829757742,0.310105972394046,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,1932.760136,1931.360134,2084.060143,1895.300148,1989.400112,1784.600132,2069.460133
LPC(3:0)|PC(O-3:0),0.17324262412803865,7.180343178341411,1.0519393945318214,0.30506084936412375,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2014.880138,1995.080139,2138.860134,1799.580139,2061.380146,2053.300144,2295.220146
LPC(3:1),0.16710622738262929,7.244453706843382,0.9814333712867551,0.3218451859190517,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2268.060173,2280.04015,2366.10017,2215.140141,2384.720173,2018.460136,1922.560146
LPC(6:0),0.169433103950298,7.155364171810078,1.0063849767386008,0.3157704470499848,0.8781208159025979,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,1940.26012,2187.040176,2076.080147,1868.100132,2093.680164,1973.440132,2124.180138
FA(13:0) | FA(14:7),-0.16145216945555715,11.495378000823,0.9360961221684647,0.33328384550441287,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,27477.44189,54567.16351,63045.12445,41880.063219999996,61154.46449,62438.34427,18690.76132
FA(15:0) | FA(16:7),-0.15839997930656935,11.123196913102426,0.9007972399031132,0.3425680317619543,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,22456.28159,40562.2229,49652.1037,34103.08246,44510.20323,50054.84357,13611.88095
FA(16:6),-0.1417167079953637,11.030636620890913,0.7210405652328404,0.39580279689339093,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,21011.08139,37779.96259,46403.76349,31654.28212,40385.18263,46777.28299,13822.12093
FA(19:0),0.14952673901827185,8.56860852901217,0.7969893877242242,0.37199502015928254,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,4870.280315,6646.560497,7040.360504,5463.700356,5522.900356,6638.940479,4109.720306
FA(20:5),0.14523898241461455,9.128671251086464,0.7541881160905035,0.38515347927936017,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,7018.140472,9964.140724,11716.78087,8209.940598,8633.760612,10190.62073,5127.280407
FA(22:2),0.14256083307138653,8.229153859675234,0.7230327664933898,0.3951509050434171,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,3829.140301,5551.740383,5538.12043,3977.140301,5127.000381,5152.600327,3007.660233
FA(22:7),0.1440002603925691,9.384907221161754,0.742051787604936,0.3890044091154854,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,8285.240593,11533.38072,14388.00102,8750.820633,10594.86075,13099.12091,6262.480457
FA(23:0),0.14179377441286828,9.113347821313084,0.7186936340622196,0.39657275543298537,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,7562.040577,10032.40076,9768.300728,8144.920586,8973.320698,9157.940647,5431.560375
FA(24:3),-0.1448440329620838,8.44700966646768,0.7475912541425489,0.38723992714627536,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,3783.300247,6225.660423,6202.660423,5810.480373,6146.720417,6614.040462,3184.420235
FA(26:4),0.1398398355815739,8.877464175881403,0.698571834883225,0.4032639949031652,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,5908.880421,9096.9207,9684.980644,6671.720459,8107.360573,8604.58062,3751.240276
FA(28:1),0.15306623811647888,9.789672844195922,0.839485550797086,0.3595439449950996,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,12779.94096,17346.36116,17765.08133,14267.94105,15144.9611,15920.1812,5316.000389
FA(28:3),0.1398039878272359,8.861660899060626,0.6980791077218971,0.40342989559192427,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,5405.980358,8456.020561,10247.8607,6870.840439,6849.640518,8856.820667,4240.540302
FA(6:2),-0.1509901374660853,11.995682375773763,0.819026046377985,0.3654650809244374,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,36891.92267,73364.76514,105262.3477,52864.5433,85088.84622,105181.3074,20814.14142
FA(8:1),-0.15675425217861758,11.463765611859404,0.8824662229371825,0.34752708948549454,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,24430.00165,52193.463710000004,74029.8056,37958.46249,59119.60446,72457.96539,13264.48102
LPC(14:1)|LPC(P-15:0),-0.14687853265144094,7.395917833812662,0.7597839838658444,0.3833961327942104,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2072.080147,2218.320145,2564.240173,2483.260193,2810.860191,2817.120232,2281.28017
LPC(20:4),0.14347993324849295,8.323414212323529,0.733244941830165,0.39183339443962883,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,4684.580326,5387.620422,6758.160469,4614.080349,5869.100449,5627.920414,2316.78017
LPC(22:4),-0.15006129003955837,9.679432339873626,0.8066483578776626,0.3691130237119882,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,11505.34081,15385.18113,13364.64083,19048.38137,14565.82111,12925.18093,4044.480328
LPC(22:6),-0.15382235235179353,7.658341499062782,0.8367266459860687,0.36033463294234014,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2144.740128,3011.220215,3534.020279,3364.460258,3145.680256,3485.440281,2484.660172
LPC(24:0),-0.14547775062977242,7.858055256724687,0.7501335516250975,0.3864339508326021,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,2870.800205,3407.300243,3769.180271,4058.120262,3921.920277,3691.340294,2596.220181
PC(10:0)|LPC(11:0),0.140957179958207,7.3701124528734105,0.6998323762731856,0.40284002397665813,0.8827525438199532,3,3,Cell Line_ HEP,Cell Line_ HEK,PC,1902.760136,2830.560181,2890.420212,2222.280186,2329.320168,2689.040192,2235.860168
FA(8:5),-0.13793253848206802,13.478011829828509,0.6838470643078836,0.4082651407820139,0.8845744716943634,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,90134.80573,211413.5354,333643.9664,127881.5893,241759.9572,334721.4442,41653.16287
FA(24:2),0.13557543285730767,8.574491865613208,0.6555836647070237,0.41812341903668343,0.8971385981272527,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,4869.320362,7284.780548,7507.860474,5478.240383,6295.640469,6993.880531,3237.120251
FA(37:0),-0.1327051567807225,8.64028507765787,0.6284394166566614,0.4279283245300709,0.9006872354394826,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,4339.880302,6722.140507,8126.080597,5382.680386,7236.800499,9417.840618,3255.660225
FA(38:0),-0.1335483881616389,8.678755723586283,0.6365766925375738,0.42495315176345144,0.9006872354394826,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,4293.540306,6573.660469,8969.940605,5699.800373,7698.980579,9095.060669,3379.200256
FA(17:4),0.12448106112945673,7.751559352148883,0.5486474356925086,0.45887087838000595,0.9010263859545189,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,3028.300201,3031.120224,4002.440273,2979.380215,3125.880234,3776.140301,2556.760189
FA(18:2),0.12396519558962292,7.6975392898085335,0.5441793781223598,0.4607057991532156,0.9010263859545189,3,3,Cell Line_ HEP,Cell Line_ HEK,FA,2769.000195,3634.640259,3778.360271,3106.600224,3043.320206,3741.940243,2087.680164
