Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Position,Name,Type,Sex,method_type,Blank Subtraction,subclasses,chain_length,saturation,between_parenthese,FA_Chain
[TG(51:6)]_FA22:6,854.7,509.4,1770.1801223754883,854.7 -> 509.4,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,6,(51:6),22:6
[TG(52:10)|TG(51:3)]_FA22:6,860.8,515.5,1609.0801086425781,860.8 -> 515.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,10,(52:10),22:6
[TG(52:9)|TG(51:2)]_FA22:6,862.8,517.5,1707.3601188659668,862.8 -> 517.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,9,(52:9),22:6
[TG(52:8)|TG(51:1)]_FA22:6,864.8,519.5,2610.360176086426,864.8 -> 519.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,8,(52:8),22:6
[TG(52:7)|TG(51:0)]_FA22:6,866.8,521.5,1800.6801261901855,866.8 -> 521.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,7,(52:7),22:6
[TG(52:6)]_FA22:6,868.7,523.4,1619.9401092529297,868.7 -> 523.4,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,6,(52:6),22:6
[TG(53:10)|TG(52:3)]_FA22:6,874.8,529.5,1500.8400993347168,874.8 -> 529.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,10,(53:10),22:6
[TG(53:9)|TG(52:2)]_FA22:6,876.8,531.5,1579.760097503662,876.8 -> 531.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,9,(53:9),22:6
[TG(53:8)|TG(52:1)]_FA22:6,878.8,533.5,1879.0001182556152,878.8 -> 533.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,8,(53:8),22:6
[TG(53:7)|TG(52:0)]_FA22:6,880.8,535.5,1518.1001167297363,880.8 -> 535.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,7,(53:7),22:6
[TG(53:6)]_FA22:6,882.8,537.5,1554.280117034912,882.8 -> 537.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,6,(53:6),22:6
[TG(54:12)|TG(53:5)]_FA22:6,884.8,539.5,1547.520118713379,884.8 -> 539.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,12,(54:12),22:6
[TG(54:11)|TG(53:4)]_FA22:6,886.8,541.5,1566.1801071166992,886.8 -> 541.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,11,(54:11),22:6
[TG(54:10)|TG(53:3)]_FA22:6,888.8,543.5,1648.9001121520996,888.8 -> 543.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,10,(54:10),22:6
[TG(54:9)|TG(53:2)]_FA22:6,890.8,545.5,1815.840145111084,890.8 -> 545.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,9,(54:9),22:6
[TG(54:8)|TG(53:1)]_FA22:6,892.8,547.5,1593.1601028442383,892.8 -> 547.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,8,(54:8),22:6
[TG(54:7)|TG(53:0)]_FA22:6,894.8,549.5,1536.240104675293,894.8 -> 549.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,7,(54:7),22:6
[TG(54:6)]_FA22:6,896.8,551.5,1663.7001190185547,896.8 -> 551.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,6,(54:6),22:6
[TG(55:11)|TG(54:4)]_FA22:6,900.8,555.5,1501.000099182129,900.8 -> 555.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,11,(55:11),22:6
[TG(55:10)|TG(54:3)]_FA22:6,902.8,557.5,1500.3001022338867,902.8 -> 557.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,10,(55:10),22:6
[TG(55:9)|TG(54:2)]_FA22:6,904.8,559.5,1515.440097808838,904.8 -> 559.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,9,(55:9),22:6
[TG(55:8)|TG(54:1)]_FA22:6,906.8,561.5,1599.2601203918457,906.8 -> 561.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,8,(55:8),22:6
[TG(55:7)|TG(54:0)]_FA22:6,908.9,563.6,1917.100112915039,908.9 -> 563.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,7,(55:7),22:6
[TG(56:13)|TG(55:6)]_FA22:6,910.8,565.5,1527.5801124572754,910.8 -> 565.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,13,(56:13),22:6
[TG(56:12)|TG(55:5)]_FA22:6,912.8,567.5,1503.2200965881348,912.8 -> 567.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,12,(56:12),22:6
[TG(56:11)|TG(55:4)]_FA22:6,914.8,569.5,1499.7401123046875,914.8 -> 569.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,11,(56:11),22:6
[TG(56:10)|TG(55:3)]_FA22:6,916.8,571.5,1510.6401062011719,916.8 -> 571.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,10,(56:10),22:6
[TG(56:9)|TG(55:2)]_FA22:6,918.8,573.5,1568.6401138305664,918.8 -> 573.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,9,(56:9),22:6
[TG(56:8)|TG(55:1)]_FA22:6,920.9,575.6,1924.4001388549805,920.9 -> 575.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,8,(56:8),22:6
[TG(56:7)|TG(55:0)]_FA22:6,922.9,577.6,1709.2201194763184,922.9 -> 577.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,7,(56:7),22:6
[TG(56:6)]_FA22:6,924.8,579.5,1626.8601150512695,924.8 -> 579.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,6,(56:6),22:6
[TG(57:12)|TG(56:5)]_FA22:6,926.8,581.5,1619.7401123046875,926.8 -> 581.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,12,(57:12),22:6
[TG(57:11)|TG(56:4)]_FA22:6,928.8,583.5,1556.4401016235352,928.8 -> 583.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,11,(57:11),22:6
[TG(57:10)|TG(56:3)]_FA22:6,930.8,585.5,1500.7601127624512,930.8 -> 585.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,10,(57:10),22:6
[TG(57:9)|TG(56:2)]_FA22:6,932.9,587.6,1541.9401054382324,932.9 -> 587.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,9,(57:9),22:6
[TG(57:8)|TG(56:1)]_FA22:6,934.9,589.6,1517.16011428833,934.9 -> 589.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,8,(57:8),22:6
[TG(58:14)|TG(57:7)|TG(56:0)]_FA22:6,936.9,591.6,1555.9801139831543,936.9 -> 591.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,14,(58:14),22:6
[TG(58:13)|TG(57:6)]_FA22:6,938.8,593.5,1753.3601150512695,938.8 -> 593.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,13,(58:13),22:6
[TG(58:12)|TG(57:5)]_FA22:6,940.8,595.5,1500.720100402832,940.8 -> 595.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,12,(58:12),22:6
[TG(58:11)|TG(57:4)]_FA22:6,942.8,597.5,1544.0201110839844,942.8 -> 597.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,11,(58:11),22:6
[TG(58:10)|TG(57:3)]_FA22:6,944.9,599.6,1520.340103149414,944.9 -> 599.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,10,(58:10),22:6
[TG(58:9)|TG(57:2)]_FA22:6,946.9,601.6,1725.6601257324219,946.9 -> 601.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,9,(58:9),22:6
[TG(58:8)|TG(57:1)]_FA22:6,948.9,603.6,1571.7201194763184,948.9 -> 603.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,8,(58:8),22:6
[TG(58:7)|TG(57:0)]_FA22:6,950.9,605.6,1555.4001083374023,950.9 -> 605.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,7,(58:7),22:6
[TG(59:13)|TG(58:6)]_FA22:6,952.8,607.5,1640.4001197814941,952.8 -> 607.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,13,(59:13),22:6
[TG(59:12)|TG(58:5)]_FA22:6,954.8,609.5,1778.9401321411133,954.8 -> 609.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,12,(59:12),22:6
[TG(59:11)|TG(58:4)]_FA22:6,956.9,611.6,1604.7401123046875,956.9 -> 611.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,11,(59:11),22:6
[TG(59:10)|TG(58:3)]_FA22:6,958.9,613.6,1500.500114440918,958.9 -> 613.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,10,(59:10),22:6
[TG(59:9)|TG(58:2)]_FA22:6,960.9,615.6,1509.4201011657715,960.9 -> 615.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,9,(59:9),22:6
[TG(60:15)|TG(59:8)|TG(58:1)]_FA22:6,962.9,617.6,1574.0001106262207,962.9 -> 617.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,15,(60:15),22:6
[TG(60:14)|TG(59:7)|TG(58:0)]_FA22:6,964.9,619.6,1500.6001052856445,964.9 -> 619.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,14,(60:14),22:6
[TG(60:13)|TG(59:6)]_FA22:6,966.8,621.5,1500.6400985717773,966.8 -> 621.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,13,(60:13),22:6
[TG(60:12)|TG(59:5)]_FA22:6,968.9,623.6,1500.1800994873047,968.9 -> 623.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,12,(60:12),22:6
[TG(60:11)|TG(59:4)]_FA22:6,970.9,625.6,1500.4401054382324,970.9 -> 625.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,11,(60:11),22:6
[TG(60:10)|TG(59:3)]_FA22:6,972.9,627.6,1500.3400955200195,972.9 -> 627.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,10,(60:10),22:6
[TG(60:9)|TG(59:2)]_FA22:6,974.9,629.6,1501.2400970458984,974.9 -> 629.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,9,(60:9),22:6
[TG(60:8)|TG(59:1)]_FA22:6,976.9,631.6,1500.2400970458984,976.9 -> 631.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,8,(60:8),22:6
[TG(61:14)|TG(60:7)|TG(59:0)]_FA22:6,978.9,633.6,1500.3401107788086,978.9 -> 633.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,14,(61:14),22:6
[TG(61:13)|TG(60:6)]_FA22:6,980.9,635.6,1596.8401222229004,980.9 -> 635.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,13,(61:13),22:6
[TG(61:12)|TG(60:5)]_FA22:6,982.9,637.6,1510.280101776123,982.9 -> 637.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,12,(61:12),22:6
[TG(61:11)|TG(60:4)]_FA22:6,984.9,639.6,1500.2001037597656,984.9 -> 639.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,11,(61:11),22:6
[TG(61:10)|TG(60:3)]_FA22:6,986.9,641.6,1500.400089263916,986.9 -> 641.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,10,(61:10),22:6
[TG(62:16)|TG(61:9)|TG(60:2)]_FA22:6,988.9,643.6,1541.0801048278809,988.9 -> 643.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,16,(62:16),22:6
[TG(62:15)|TG(61:8)|TG(60:1)]_FA22:6,990.9,645.6,1499.9600944519043,990.9 -> 645.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,15,(62:15),22:6
[TG(62:14)|TG(61:7)|TG(60:0)]_FA22:6,993.0,647.7,1507.9801025390625,993.0 -> 647.7,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,14,(62:14),22:6
[TG(62:13)|TG(61:6)]_FA22:6,994.9,649.6,1614.4001121520996,994.9 -> 649.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,13,(62:13),22:6
[TG(62:12)|TG(61:5)]_FA22:6,996.9,651.6,1499.9401092529297,996.9 -> 651.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,12,(62:12),22:6
[TG(62:11)|TG(61:4)]_FA22:6,998.9,653.6,1541.0001106262207,998.9 -> 653.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,11,(62:11),22:6
[TG(62:10)|TG(61:3)]_FA22:6,1000.9,655.6,1601.3801078796387,1000.9 -> 655.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,10,(62:10),22:6
[TG(62:9)|TG(61:2)]_FA22:6,1002.9,657.6,1541.4801177978516,1002.9 -> 657.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,9,(62:9),22:6
[TG(62:8)|TG(61:1)]_FA22:6,1005.0,659.7,1591.7801094055176,1005.0 -> 659.7,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,8,(62:8),22:6
[TG(62:7)|TG(61:0)]_FA22:6,1007.0,661.7,1541.780117034912,1007.0 -> 661.7,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,7,(62:7),22:6
[TG(63:13)|TG(62:6)]_FA22:6,1008.9,663.6,1541.4601020812988,1008.9 -> 663.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,13,(63:13),22:6
[TG(63:12)|TG(62:5)]_FA22:6,1010.9,665.6,1542.1201133728027,1010.9 -> 665.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,12,(63:12),22:6
[TG(63:11)|TG(62:4)]_FA22:6,1012.9,667.6,1542.1200981140137,1012.9 -> 667.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,11,(63:11),22:6
[TG(64:17)|TG(63:10)|TG(62:3)]_FA22:6,1014.9,669.6,1541.140121459961,1014.9 -> 669.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,17,(64:17),22:6
[TG(64:16)|TG(63:9)|TG(62:2)]_FA22:6,1017.0,671.7,1541.9800987243652,1017.0 -> 671.7,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,16,(64:16),22:6
[TG(64:15)|TG(63:8)|TG(62:1)]_FA22:6,1019.0,673.7,1541.6001052856445,1019.0 -> 673.7,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,15,(64:15),22:6
[TG(64:14)|TG(63:7)|TG(62:0)]_FA22:6,1021.0,675.7,1569.020107269287,1021.0 -> 675.7,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,14,(64:14),22:6
[TG(64:13)|TG(63:6)]_FA22:6,1022.9,677.6,1700.8001136779785,1022.9 -> 677.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,13,(64:13),22:6
[TG(64:12)|TG(63:5)]_FA22:6,1024.9,679.6,1540.8401107788086,1024.9 -> 679.6,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,12,(64:12),22:6
