Lipid,Class,DOD73-5xFAD-M2liver_033123,FAD131-5xFAD-M1liver_033123,FAD131-5xFAD-M2liver_033123,FAD131-5xFAD-M4liver_033123,FAD173-5xFAD-M1liver_033123,DOD73m2_500x_N1__liverLD__8_8_23,FAD131m1_500x_N1__liverLD__8_8_23,FAD131m2_500x_N1__liverLD__8_8_23,FAD131m4_500x_N1__liverLD__8_8_23,FAD173m1_500x_N1__liverLD__8_8_23,Blank_500x_N1__liverLD__8_8_23,Title1,Title2,Title,length1,length2,Blank_name
1-O-cerotoyl-Cer(d18:1/18:0),Cer,16180.161041259766,30063.662281036377,28952.962230682373,10819.9807472229,29125.741970062256,1710.3801307678223,1722.2801208496094,1693.560131072998,1686.8001098632812,1797.6401252746582,1865.440128326416,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,11178.260723114014,12303.560836791992,12328.060791015625,9729.480697631836,11770.480796813965,1755.4001235961914,1802.5601272583008,1726.0201301574707,1705.0001182556152,1811.0001220703125,1690.6401100158691,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,128046.36904907227,237023.6909790039,280851.90058898926,27560.402072906494,214795.79314422607,1793.0601272583008,2008.6001434326172,1715.8201179504395,1944.8001327514648,1781.4201164245605,1810.0001373291016,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-myristoyl-Cer(d18:1/16:0),Cer,11886.22095489502,10779.68073272705,13350.980964660645,10098.280784606934,12056.160987854004,1802.6801300048828,1873.5201416015625,1669.1401176452637,1828.760139465332,1688.980125427246,1815.6001281738281,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-palmitoyl-Cer(d18:1/16:0),Cer,10560.500732421875,11993.200759887695,11152.820747375488,9148.94063949585,11511.2407913208,1863.300148010254,1792.7001190185547,1891.720127105713,1788.6401290893555,1857.9601402282715,1922.4201469421387,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-stearoyl-Cer(d18:1/16:0),Cer,12832.000988006592,14251.620956420898,13927.140914916992,12235.580841064453,12726.080932617188,1769.8401222229004,1807.3401260375977,1701.8201179504395,1826.1601295471191,1900.3001289367676,1860.3401336669922,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,135550.37031173706,242584.0573272705,295372.82263565063,26276.462158203125,214653.89820480347,8216.10073852539,8209.980533599854,2559.0201721191406,2068.5801391601562,10250.240600585938,1714.720115661621,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5155.200401306152,5557.080352783203,5012.480361938477,4540.9603271484375,4959.780361175537,1689.6201210021973,1686.2401313781738,1693.0801391601562,1686.6601295471191,1713.180118560791,1695.3201217651367,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
14:0 Cholesteryl ester,CE,138263.32962036133,131750.8491821289,125663.4089050293,129830.98937988281,126091.40902709961,10052.84069442749,11945.800876617432,11640.64081954956,10284.060752868652,10945.100769042969,11244.780765533447,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,433084.33026123047,386755.9862060547,426680.9898071289,481075.57385253906,360613.8235473633,16486.081218719482,15311.101108551025,17561.821308135986,17056.68120956421,16481.281227111816,15103.381072998047,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
15:0 Cholesteryl ester,CE,500697.69384765625,423330.630859375,465915.3526611328,535240.1566162109,403107.68908691406,10874.340755462646,10458.340728759766,11052.460815429688,10360.64070892334,10476.920707702637,10115.340724945068,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,535552.8375244141,481713.9729003906,498225.01708984375,579250.8642578125,444289.94982910156,20336.40142059326,23602.90170288086,23726.781665802002,22505.321563720703,21550.041522979736,18229.441314697266,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
15:1 Cholesteryl ester,CE,508496.5587158203,438516.2509765625,455777.6730957031,537842.7579956055,401359.5675048828,10741.840732574463,10239.020755767822,10431.480724334717,10876.82075881958,10540.300720214844,10276.380741119385,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,199009.5545654297,216457.89544677734,214115.87481689453,194121.4539794922,210059.57421875,10640.70071029663,10823.000751495361,10837.680778503418,10565.860748291016,10096.240684509277,10554.220748901367,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,540818.5389404297,480845.1545410156,502827.89404296875,574575.4202880859,451788.1934814453,9888.660675048828,9064.26063156128,9889.220691680908,9017.660614013672,10166.32069015503,9770.260646820068,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,294205.46014404297,404242.4270019531,389475.8056640625,253274.03649902344,399530.48626708984,14709.421012878418,15681.02112197876,15762.041149139404,14904.241035461426,14789.661037445068,15102.501056671143,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,294389.98150634766,410220.330078125,391361.0276489258,256653.89776611328,393576.3296508789,26728.861919403076,41525.44277191162,39880.4026260376,38525.48285675049,38519.90280914307,18138.161308288574,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,195411.3134765625,210506.57543945312,207816.4150390625,195112.27380371094,203038.95428466797,11128.860759735107,9706.080684661865,10175.860725402832,10130.38074874878,9692.500667572021,10526.400749206543,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,280052.52032470703,416777.9912109375,390900.98486328125,261129.95727539062,394342.8669433594,39578.082706451416,47635.123374938965,31872.242237091064,44908.16316604614,63846.58479309082,10255.52070236206,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,288172.8215332031,384476.5457763672,390682.3272705078,255557.0780029297,387639.5881958008,13062.680919647217,13973.520977020264,12106.640914916992,13831.981033325195,13908.720901489258,9596.980686187744,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,818257.2954101562,784583.0559082031,775899.5532226562,798375.9389648438,754986.5549316406,10370.0407371521,9993.320697784424,10477.040775299072,9249.400661468506,10632.000751495361,9955.600715637207,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,744249.513671875,705850.9096679688,698721.30859375,709757.3095703125,683648.2700195312,8934.960624694824,10845.760749816895,9908.240699768066,10194.440761566162,11125.84077835083,8762.920654296875,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",CE,526446.7568359375,515568.9758300781,510220.7159423828,489595.0556640625,500443.7147216797,21017.161445617676,22131.501747131348,20237.801319122314,23239.541675567627,26787.502017974854,9296.260684967041,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
20:5 Cholesteryl ester,CE,265705.45834350586,281842.11810302734,304873.80361938477,251556.2190246582,271957.861907959,12772.160919189453,13479.460994720459,12605.320850372314,15143.181037902832,12206.300792694092,12476.880939483643,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",CE,199579.47518920898,276432.15826416016,283204.7405395508,150922.0499267578,261169.54040527344,10460.900741577148,10370.700695037842,9856.000675201416,9399.76070022583,10036.360691070557,9720.780685424805,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",CE,205946.43334960938,276739.91984558105,293973.599899292,152646.49005126953,263308.8188018799,9503.700653076172,9786.04067993164,8990.300636291504,8816.700626373291,8819.180606842041,9270.880668640137,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",CE,760286.1535644531,790383.5528564453,806346.0209960938,698403.8881835938,756955.7144775391,9208.660648345947,8974.660652160645,8880.080661773682,9049.520648956299,9441.820629119873,8629.540618896484,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
22:5 Cholesteryl ester,CE,833841.4395751953,859656.3221435547,865545.3397216797,763276.3139648438,820390.6998291016,11150.260776519775,11687.780792236328,10668.200759887695,11203.880809783936,12431.660865783691,9316.760669708252,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
22:6 Cholesteryl ester,CE,839506.5385742188,856592.9573974609,880891.1201171875,773070.3527832031,822591.9149169922,26480.221752166748,34351.02230834961,29221.262046813965,23763.461883544922,37119.5227394104,8473.980602264404,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",CE,824907.5374908447,575996.6803588867,666587.8192596436,879547.0318374634,543776.3345565796,9563.22063446045,9723.520690917969,10238.260726928711,9881.160747528076,9292.100643157959,9609.860683441162,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",CAR,205186.65600585938,200550.57446289062,213322.51489257812,204572.1142578125,252873.6591796875,7193.1204833984375,8714.340644836426,8474.560585021973,7817.540523529053,7634.260551452637,8379.040599822998,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",CAR,1152357.54296875,1170740.322265625,1251187.7265625,1192738.005859375,1485295.001953125,10999.46078491211,10954.660766601562,11684.840850830078,10311.9407081604,10876.40079498291,11294.420841217041,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",CAR,331735.22265625,325016.705078125,355353.60498046875,332265.26416015625,403509.2646484375,13688.201053619385,10603.780700683594,16960.001182556152,7779.860576629639,10623.060760498047,7426.280570983887,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
C12:0,FA,25020.86181640625,25642.541717529297,21358.921325683594,24290.981689453125,21423.401489257812,397419.16796875,404795.40966796875,357318.04443359375,357572.20361328125,391951.4091796875,317237.04248046875,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
