,Unnamed: 0,Class,Transition,Lipid,LipidSet,IsInNew
361,897,PI,924.5 -> 647.5,PI(40:8),{'PI(40:8)'},False
362,899,PI,926.5 -> 649.5,PI(40:7),{'PI(40:7)'},False
363,908,PI,940.7 -> 663.7,PI(40:0),{'PI(40:0)'},False
364,912,PI,946.6 -> 669.6,PI(O-42:4),{'PI(O-42:4)'},False
365,913,PI,948.5 -> 671.5,PI(42:10),{'PI(42:10)'},False
366,915,PI,950.5 -> 673.5,PI(42:9),{'PI(42:9)'},False
367,918,PI,952.7 -> 675.7,PI(O-42:1),{'PI(O-42:1)'},False
368,920,PI,954.7 -> 677.7,PI(O-42:0),{'PI(O-42:0)'},False
369,933,PI,988.7 -> 711.7,PI(44:4),{'PI(44:4)'},False
370,939,PS,442.2 -> 257.2, PS(12:0)|LPS(12:0) ,"{'PS(12:0)', 'LPS(12:0)'}",False
371,941,PS,456.2 -> 271.2, PS(12:0)|LPS(13:0) ,"{'PS(12:0)', 'LPS(13:0)'}",False
372,943,PS,468.2 -> 283.2, PS(14:1)|LPS(14:1) ,"{'PS(14:1)', 'LPS(14:1)'}",False
373,944,PS,470.2 -> 285.2,LPS(14:0),{'LPS(14:0)'},False
374,946,PS,482.3 -> 297.3,PS(P-16:0),{'PS(P-16:0)'},False
375,948,PS,484.3 -> 299.3, PS(O-16:0)|LPS(15:0) ,"{'PS(O-16:0)', 'LPS(15:0)'}",False
376,950,PS,496.3 -> 311.3, PS(16:1)|LPS(16:1) ,"{'LPS(16:1)', 'PS(16:1)'}",False
377,951,PS,498.3 -> 313.3, PS(16:0)|LPS(16:0) ,"{'PS(16:0)', 'LPS(16:0)'}",False
378,952,PS,498.3 -> 313.3, PS(16:0)|LPS(16:0) ,"{'PS(16:0)', 'LPS(16:0)'}",False
379,955,PS,510.3 -> 325.3, PS(P-18:0)|LPS(17:1) ,"{'PS(P-18:0)', 'LPS(17:1)'}",False
380,957,PS,512.3 -> 327.3, PS(O-18:0)|LPS(17:0) ,"{'LPS(17:0)', 'PS(O-18:0)'}",False
381,958,PS,512.3 -> 327.3, PS(O-18:0)|LPS(17:0) ,"{'LPS(17:0)', 'PS(O-18:0)'}",False
382,959,PS,518.2 -> 333.2,LPS(18:4),{'LPS(18:4)'},False
383,960,PS,518.3 -> 333.2,LPS(18:4),{'LPS(18:4)'},False
384,962,PS,520.3 -> 335.3, PS(18:3)|LPS(18:3) ,"{'PS(18:3)', 'LPS(18:3)'}",False
385,964,PS,522.3 -> 337.3, PS(18:2)|LPS(18:2) ,"{'LPS(18:2)', 'PS(18:2)'}",False
386,966,PS,524.3 -> 339.3, PS(18:1)|LPS(18:1) ,"{'PS(18:1)', 'LPS(18:1)'}",False
