,Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Cage,Position,Dilution Factor,Sex2,Sex,Genotype,Brain Region,method_type,Blank Subtraction,subclasses,chain_length,saturation,between_parenthese,FA_Chain,IDs,Names
1677,[TG(43:0)]_FA14:0,754.7,509.5,42054.46301269531,754.7 -> 509.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,0,(43:0),14:0,"LMGL03013675, LMGL03013213, LMGL03012754","TG(13:0/14:0/16:0)[iso6], TG(12:0/14:0/17:0)[iso6], TG(14:0/14:0/15:0)[iso3]"
1678,[TG(44:5)]_FA14:0,758.6,513.4,22419.14144897461,758.6 -> 513.4,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,5,(44:5),14:0,,
1679,[TG(44:4)]_FA14:0,760.6,515.4,21369.601531982426,760.6 -> 515.4,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,4,(44:4),14:0,LMGL03013221,"TG(12:0/14:0/18:4(6Z,9Z,12Z,15Z))[iso6]"
1680,[TG(44:3)]_FA14:0,762.7,517.5,24325.14190673828,762.7 -> 517.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,3,(44:3),14:0,"LMGL03013219, LMGL03013220","TG(12:0/14:0/18:3(6Z,9Z,12Z))[iso6], TG(12:0/14:0/18:3(9Z,12Z,15Z))[iso6]"
1681,[TG(44:2)]_FA14:0,764.7,519.5,122163.10876464844,764.7 -> 519.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,2,(44:2),14:0,"LMGL03013218, LMGL03014140, LMGL03013679, LMGL03012785","TG(12:0/14:0/18:2(9Z,12Z))[iso6], TG(14:0/14:1(9Z)/16:1(9Z))[iso6], TG(13:0/14:0/17:2(9Z,12Z))[iso6], TG(14:0/15:1(9Z)/15:1(9Z))[iso3]"
1682,[TG(44:1)]_FA14:0,766.7,521.5,65254.60461425781,766.7 -> 521.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,1,(44:1),14:0,"LMGL03012757, LMGL03013678, LMGL03014139, LMGL03013217, LMGL03014166","TG(14:0/14:0/16:1(9Z))[iso3], TG(13:0/14:0/17:1(9Z))[iso6], TG(14:0/14:1(9Z)/16:0)[iso6], TG(12:0/14:0/18:1(9Z))[iso6], TG(14:0/15:0/15:1(9Z))[iso6]"
1683,[TG(44:0)|TG(O-45:0)]_FA14:0,768.7,523.5,95614.7861328125,768.7 -> 523.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG(O,TG(O,0,(44:0),14:0,"LMGL03013216, LMGL03012756, LMGL03013677, LMGL03012784, LMGL03020013","TG(12:0/14:0/18:0)[iso6], TG(14:0/14:0/16:0)[iso3], TG(13:0/14:0/17:0)[iso6], TG(14:0/15:0/15:0)[iso3], TG(O-14:0(13Me)_14:0(13Me)_14:0(13Me))"
1684,[TG(45:5)]_FA14:0,772.6,527.4,24922.921661376957,772.6 -> 527.4,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,5,(45:5),14:0,,
1685,[TG(45:4)]_FA14:0,774.7,529.5,24249.761932373047,774.7 -> 529.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,4,(45:4),14:0,LMGL03013685,"TG(13:0/14:0/18:4(6Z,9Z,12Z,15Z))[iso6]"
1686,[TG(45:3)]_FA14:0,776.7,531.5,24389.421661376957,776.7 -> 531.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,3,(45:3),14:0,"LMGL03014143, LMGL03013683, LMGL03013684","TG(14:0/14:1(9Z)/17:2(9Z,12Z))[iso6], TG(13:0/14:0/18:3(6Z,9Z,12Z))[iso6], TG(13:0/14:0/18:3(9Z,12Z,15Z))[iso6]"
