,Class,Transition,Lipid
945,PC,480.3 -> 184.1,LPC(15:1)|LPC(O-16:1)|LPC(P-16:0)
946,PC,482.4 -> 184.1,PC(14:0)|LPC(15:0)|LPC(O-16:0)
947,PC,494.4 -> 184.1,LPC(16:1)|LPC(P-17:0)
948,PC,496.4 -> 184.1,LPC(16:0)|PC(O-16:0)|LPC(O-17:0)
950,PC,506.4 -> 184.1,LPC(17:2)|LPC(P-18:1)
951,PC,508.4 -> 184.1,LPC(17:1)|LPC(O-18:1)|LPC(P-18:0)
952,PC,510.4 -> 184.1,PC(16:0)|PC(O-17:0)|LPC(O-18:0)
953,PC,516.3 -> 184.1,LPC(18:4)
954,PC,518.3 -> 184.1,LPC(18:3)
955,PC,520.4 -> 184.1,LPC(18:2)|LPC(P-19:1)
956,PC,522.4 -> 184.1,LPC(18:1)|PC(O-18:1)|PC(P-18:0)
957,PC,524.4 -> 184.1,LPC(18:0)|PC(O-18:0)|LPC(O-19:0)
959,PC,532.3 -> 184.1,LPC(19:3)
960,PC,536.4 -> 184.1,PC(18:1)|LPC(19:1)|PC(O-19:1)|LPC(P-20:0)
961,PC,538.4 -> 184.1,PC(18:0)|LPC(19:0)|PC(O-19:0)|LPC(O-20:0)
962,PC,542.3 -> 184.1,LPC(20:5)
963,PC,544.3 -> 184.1,LPC(20:4)
964,PC,546.4 -> 184.1,LPC(20:3)
965,PC,548.4 -> 184.1,LPC(20:2)|PC(O-20:2)
966,PC,550.4 -> 184.1,PC(19:1)|LPC(20:1)|PC(O-20:1)|PC(P-20:0)
967,PC,552.4 -> 184.1,PC(19:0)|LPC(20:0)|PC(O-20:0)
968,PC,558.4 -> 184.1,PC(20:4)|LPC(21:4)
970,PC,566.4 -> 184.1,PC(20:0)|LPC(21:0)|PC(O-21:0)
971,PC,568.3 -> 184.1,LPC(22:6)
972,PC,570.4 -> 184.1,LPC(22:5)
973,PC,572.4 -> 184.1,LPC(22:4)
974,PC,576.4 -> 184.1,LPC(22:2)
975,PC,578.4 -> 184.1,PC(21:1)|LPC(22:1)
976,PC,580.4 -> 184.1,PC(21:0)|LPC(22:0)|PC(O-22:0)
979,PC,606.4 -> 184.1,LPC(24:1)
980,PC,608.5 -> 184.1,LPC(24:0)
995,PC,702.5 -> 184.1,PC(30:2)|PC(P-31:1)
996,PC,704.6 -> 184.1,PC(30:1)|PC(O-31:1)|PC(P-31:0)
997,PC,706.6 -> 184.1,PC(30:0)|PC(O-31:0)
999,PC,714.5 -> 184.1,PC(31:3)|PC(O-32:3)
1000,PC,716.6 -> 184.1,PC(31:2)|PC(O-32:2)|PC(P-32:1)
1001,PC,718.6 -> 184.1,PC(31:1)|PC(O-32:1)|PC(P-32:0)
1002,PC,720.6 -> 184.1,PC(31:0)|PC(O-32:0)
1003,PC,724.5 -> 184.1,PC(32:5)
1004,PC,726.5 -> 184.1,PC(32:4)
1005,PC,728.6 -> 184.1,PC(32:3)|PC(P-33:2)
1006,PC,730.6 -> 184.1,PC(32:2)|PC(O-33:2)|PC(P-33:1)
1007,PC,732.6 -> 184.1,PC(32:1)|PC(O-33:1)|PC(P-33:0)
1008,PC,734.6 -> 184.1,PC(32:0)|PC(O-33:0)
1009,PC,738.5 -> 184.1,PC(33:5)|PC(P-34:4)
1010,PC,740.6 -> 184.1,PC(33:4)|PC(O-34:4)|PC(O-34:4)|PC(P-34:3)
1011,PC,742.6 -> 184.1,PC(33:3)|PC(O-34:3)|PC(P-34:2)
1012,PC,744.6 -> 184.1,PC(33:2)|PC(O-34:2)|PC(P-34:1)
1013,PC,746.6 -> 184.1,PC(33:1)|PC(O-34:1)|PC(P-34:0)
1014,PC,748.6 -> 184.1,PC(33:0)|PC(O-34:0)
1015,PC,750.5 -> 184.1,PC(34:6)
1016,PC,752.5 -> 184.1,PC(34:5)
1017,PC,754.6 -> 184.1,PC(34:4)|PC(O-35:4)
1018,PC,756.6 -> 184.1,PC(34:3)|PC(P-35:2)
1019,PC,758.6 -> 184.1,PC(34:2)|PC(O-35:2)|PC(P-35:1)
1020,PC,760.6 -> 184.1,PC(34:1)|PC(O-35:1)|PC(P-35:0)
1021,PC,762.6 -> 184.1,PC(34:0)|PC(O-35:0)
