,Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Position,nickname,Sex,Genotype,time point,method_type,Blank Subtraction,IDs,Names
21,"(11Z,14Z)-eicosadienoylcarnitine",452.4,85.1,1386486.881225586,452.4 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1102882.0004386902,LMFA07070011,"(11Z,14Z)-eicosadienoylcarnitine"
22,(11Z)-eicoseneoylcarnitine,454.4,85.1,1385807.142211914,454.4 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1100760.6635513306,LMFA07070010,(11Z)-eicoseneoylcarnitine
23,Arachidyl carnitine | O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine,456.4,85.1,1469895.6339111328,456.4 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1177517.5937919617,"LMFA07070052, LMFA07070086","Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine"
24,O-(17-carboxyheptadecanoyl)carnitine,458.3,85.1,1489063.3369140625,458.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1179419.8145332336,LMFA07070085,O-(17-carboxyheptadecanoyl)carnitine
25,3-hydroxyarachidonoylcarnitine,464.3,85.1,1351947.41015625,464.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1104115.4525527954,LMFA07070036,3-hydroxyarachidonoylcarnitine
26,3-hydroxyeicosanoylcarnitine | Cervonyl carnitine,472.4,85.1,1041805.2813110352,472.4 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,901487.3715629578,"LMFA07070040, LMFA07070055","3-hydroxyeicosanoylcarnitine, Cervonyl carnitine"
27,"Docosa-4,7,10,13,16-pentaenoyl carnitine | Clupanodonyl carnitine",474.4,85.1,1027983.7938842772,474.4 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,890174.0239028931,"LMFA07070061, LMFA07070058","Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine"
28,"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",476.4,85.1,1126353.620300293,476.4 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,973097.4693565367,LMFA07070022,"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine"
29,"(13Z,16Z)-docosadienoylcarnitine",480.4,85.1,1193675.4536132812,480.4 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1012010.879989624,LMFA07070012,"(13Z,16Z)-docosadienoylcarnitine"
30,O-behenoylcarnitine,484.4,85.1,988227.7280578612,484.4 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,842378.0179405212,LMFA07070089,O-behenoylcarnitine
31,Hexacosanoyl carnitine,540.5,85.1,1051320.6752319336,540.5 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,837222.299987793,LMFA07070069,Hexacosanoyl carnitine
112,CE(12:0),586.5,369.1,197343.87269592285,586.5 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,157833.74990844727,LMST01020001,12:0 Cholesterol ester
113,CE(12:0),586.5,369.1,212127.473815918,586.5 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,176526.15134048462,LMST01020001,12:0 Cholesterol ester
114,CE(14:1),612.5,369.1,176190.29229736328,612.5 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,142435.88988494873,LMST01020021,14:1 Cholesterol ester
115,CE(14:0),614.6,369.1,183002.45364379883,614.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,149270.7311706543,LMST01020004,14:0 Cholesterol ester
116,CE(15:1),626.6,369.1,477932.2758178711,626.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,395828.3904266357,LMST01020022,15:1 Cholesterol ester
117,CE(15:0),628.6,369.1,479322.4362182617,628.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,390218.7696762085,LMST01020027,15:0 Cholesterol ester
118,CE(16:3),636.5,369.1,512074.3354492188,636.5 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,408931.2480621338,LMST01020039,16:3 Cholesterol ester
119,CE(16:2) | zymosteryl palmitoleate,638.6,369.1,539949.7182617188,638.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,446946.1318054199,"LMST01020040, LMST01020024, LMST01020035","16:2 Cholesterol ester, 16:2 Cholesterol ester, zymosteryl palmitoleate"
120,15:1 Campesteryl ester_simulated | CE(16:1),640.6,369.1,663684.3700561523,640.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,557756.3025970459,"LMST01020041, LMST01020006","16:1 Cholesterol ester, 16:1 Cholesterol ester"
121,15:1 Campesteryl ester_simulated | CE(16:1),640.6,369.1,679982.6641845703,640.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,589044.9579925537,"LMST01020041, LMST01020006","16:1 Cholesterol ester, 16:1 Cholesterol ester"
122,15:0 Campesteryl ester_simulated | CE(16:0),642.6,369.1,789697.7373046875,642.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,706873.0715103149,LMST01020005,16:0 Cholesterol ester
123,15:0 Campesteryl ester_simulated | CE(16:0),642.6,369.1,853634.3922119141,642.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,779158.5269317627,LMST01020005,16:0 Cholesterol ester
124,16:3 Campesteryl ester,650.6,369.1,1020041.3619384766,650.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,983410.1594161988,LMST01020061,16:3 Campesterol ester
125,16:2 Campesteryl ester,652.6,369.1,1024153.8960876464,652.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,986605.7136230468,LMST01020058,16:2 Campesterol ester
126,CE(17:1) | 16:1 Campesteryl ester,654.6,369.1,1077207.5690307615,654.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1030912.885925293,"LMST01020023, LMST01020057","17:1 Cholesterol ester, 16:1 Campesterol ester"
127,CE(17:1) | 16:1 Campesteryl ester,654.6,369.1,940190.624267578,654.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,903808.2617492676,"LMST01020023, LMST01020057","17:1 Cholesterol ester, 16:1 Campesterol ester"
128,16:0 Campesteryl ester | CE(17:0),656.6,369.1,1192520.70552063,656.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1150065.162715912,"LMST01020043, LMST01020026","16:0 Campesterol ester, 17:0 Cholesterol ester"
129,16:0 Campesteryl ester | CE(17:0),656.6,369.1,1176163.0621032715,656.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1138693.2195510864,"LMST01020043, LMST01020026","16:0 Campesterol ester, 17:0 Cholesterol ester"
130,16:3 Stigmasteryl ester,662.6,369.1,1596471.5189819336,662.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1557200.656349182,LMST01020063,16:3 Stigmasterol ester
131,CE(18:3) | 16:2 Stigmasteryl ester | 16:3 Sitosteryl ester,664.6,369.1,1487454.1528892517,664.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1447218.1501045227,"LMST01020009, LMST01020060, LMST01020062","18:3 Cholesterol ester, 16:2 Stigmasterol ester, 16:3 Sitosterol ester"
132,CE(18:2) | zymosteryl oleate | 16:1 Stigmasteryl ester | 16:2 Sitosteryl ester,666.6,369.1,1412019.9285583496,666.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1371134.245628357,"LMST01020008, LMST01020034, LMST01020055, LMST01020059","18:2 Cholesterol ester, zymosteryl oleate, 16:1 Stigmasterol ester, 16:2 Sitosterol ester"
133,17:1 Campesteryl ester_simulated | CE(18:1) | 16:0 Stigmasteryl ester | 16:1 Sitosteryl ester,668.6,369.1,1306623.1169433594,668.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1265077.253917694,"LMST01020003, LMST01020054, LMST01020056","18:1 Cholesterol ester, 16:0 Stigmasterol ester, 16:1 Sitosterol ester"
134,17:1 Campesteryl ester_simulated | CE(18:1) | 16:0 Stigmasteryl ester | 16:1 Sitosteryl ester,668.6,369.1,1231825.1094665527,668.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1189408.9263954165,"LMST01020003, LMST01020054, LMST01020056","18:1 Cholesterol ester, 16:0 Stigmasterol ester, 16:1 Sitosterol ester"
135,17:0 Campesteryl ester_simulated | CE(18:0) | 16:0 Sitosteryl ester,670.6,369.1,916322.8885879515,670.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,875586.7856864929,"LMST01020007, LMST01020047","18:0 Cholesterol ester, 16:0 Sitosterol ester"
136,17:0 Campesteryl ester_simulated | CE(18:0) | 16:0 Sitosteryl ester,670.6,369.1,891883.8739013672,670.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,852616.7310333252,"LMST01020007, LMST01020047","18:0 Cholesterol ester, 16:0 Sitosterol ester"
137,18:3 Campesteryl ester,678.6,369.1,1567910.2755889893,678.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1524619.4923973083,LMST01020072,18:3 Campesterol ester
138,lanosteryl palmitoleate | 18:2 Campesteryl ester,680.6,369.1,1477679.1188354492,680.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1438208.9157981873,"LMST01020033, LMST01020067","lanosteryl palmitoleate, 18:2 Campesterol ester"
139,18:1 Campesteryl ester,682.6,369.1,1406696.6515655518,682.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1361848.428516388,LMST01020066,18:1 Campesterol ester
140,18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated | 17:0 sitosteryl ester_simulated,684.6,369.1,1256352.5386199951,684.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1216731.2959098816,LMST01020044,18:0 Campesterol ester
141,18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated | 17:0 sitosteryl ester_simulated,684.6,369.1,1372738.1610107422,684.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1329080.3978805542,LMST01020044,18:0 Campesterol ester
142,CE(20:5),688.6,369.1,1180285.7119293213,688.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1139437.5690498352,LMST01020015,20:5 Cholesterol ester
143,CE(20:4) | 18:3 Stigmasteryl ester,690.6,369.1,1413656.8290100098,690.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1332874.0031967163,"LMST01020014, LMST01020070","20:4 Cholesterol ester, 18:3 Stigmasterol ester"
144,CE(20:3) | 18:2 Stigmasteryl ester | 18:3 Sitosteryl ester,692.6,369.1,1730694.3919067385,692.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1617899.603668213,"LMST01020013, LMST01020069, LMST01020071","20:3 Cholesterol ester, 18:2 Stigmasterol ester, 18:3 Sitosterol ester"
145,CE(20:2) | 18:1 Stigmasteryl ester | 18:2 Sitosteryl ester,694.6,369.1,1713379.182678223,694.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1593281.334400177,"LMST01020012, LMST01020064, LMST01020068","20:2 Cholesterol ester, 18:1 Stigmasterol ester, 18:2 Sitosterol ester"
146,CE(20:1) | 18:0 Stigmasteryl ester | 18:1 Sitosteryl ester,696.6,369.1,1777556.1994018557,696.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1669968.3312568665,"LMST01020011, LMST01020053, LMST01020065","20:1 Cholesterol ester, 18:0 Stigmasterol ester, 18:1 Sitosterol ester"
147,19:0 Campesteryl ester_simulated | CE(20:0) | 18:0 Sitosteryl ester,698.6,369.1,1622310.220046997,698.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1509895.4715881348,"LMST01020010, LMST01020048","20:0 Cholesterol ester, 18:0 Sitosterol ester"
148,19:0 Campesteryl ester_simulated | CE(20:0) | 18:0 Sitosteryl ester,698.6,369.1,1640950.3916015625,698.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1530620.6232643127,"LMST01020010, LMST01020048","20:0 Cholesterol ester, 18:0 Sitosterol ester"
149,20:3 Campesteryl ester,706.6,369.1,1150791.1851959229,706.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1046992.1381607056,LMST01020079,20:3 Campesterol ester
150,lanosteryl oleate | 20:2 Campesteryl ester,708.6,369.1,1182101.0218048096,708.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1076688.974143982,"LMST01020032, LMST01020078","lanosteryl oleate, 20:2 Campesterol ester"
151,20:1 Campesteryl ester,710.6,369.1,1097204.6911010742,710.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,990190.2839622498,LMST01020073,20:1 Campesterol ester
152,Cholesteryl nitrolinoleate,711.6,369.1,1091636.5594940186,711.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,985277.5919418336,LMST01020028,Cholesteryl nitrolinoleate
153,20:0 Campesteryl ester,712.7,369.1,1144727.5750579834,712.7 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1027361.78666687,LMST01020045,20:0 Campesterol ester
154,CE(22:6),714.6,369.1,1135377.2860107422,714.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1018722.077709198,LMST01020019,22:6 Cholesterol ester
155,CE(22:5),716.6,369.1,1109609.7658081057,716.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,994619.1372756958,LMST01020031,22:5 Cholesterol ester
156,CE(22:4) | 20:3 Stigmasteryl ester,718.6,369.1,1101089.1317749023,718.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,982095.3029823304,"LMST01020018, LMST01020081","22:4 Cholesterol ester, 20:3 Stigmasterol ester"
157,ecdysone palmitate | CE(22:3) | 20:2 Stigmasteryl ester | 20:3 Sitosteryl ester,720.5,369.1,610486.6831817627,720.5 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,557620.0394134521,"LMST01020042, LMST01020076, LMST01020080","22:3 Cholesterol ester, 20:2 Stigmasterol ester, 20:3 Sitosterol ester"
158,Cholesteryl 11-hydroperoxy-eicosatetraenoate | CE(22:2) | 20:1 Stigmasteryl ester | 20:2 Sitosteryl ester,722.6,369.1,533870.6376190186,722.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,499774.2955284119,"LMST01020029, LMST01020017, LMST01020075, LMST01020077","Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesterol ester, 20:1 Stigmasterol ester, 20:2 Sitosterol ester"
159,CE(22:1) | 20:0 Stigmasteryl ester | 20:1 Sitosteryl ester,724.7,369.1,493171.572631836,724.7 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,464759.3307189941,"LMST01020025, LMST01020052, LMST01020074","22:1 Cholesterol ester, 20:0 Stigmasterol ester, 20:1 Sitosterol ester"
160,CE(22:0) | 20:0 Sitosteryl ester,726.7,369.1,486254.7740020752,726.7 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,458552.452129364,"LMST01020016, LMST01020049","22:0 Cholesterol ester, 20:0 Sitosterol ester"
161,22:3 Campesteryl ester,734.6,369.1,467180.3088684082,734.6 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,441363.4270591736,LMST01020090,22:3 Campesterol ester
162,22:2 Campesteryl ester,736.7,369.1,1059263.1563110352,736.7 -> 369.1,CE,CE_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CE,1030434.554424286,LMST01020085,22:2 Campesterol ester
