,Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID
29,,586.0,397.0,45454.98309326172,586.0 -> 397.0,,PG_FAD131-5xFAD-M4liver_033123_r007
30,,628.0,439.0,172717.17236328125,628.0 -> 439.0,,PG_FAD131-5xFAD-M4liver_033123_r007
31,,642.0,453.0,39213.16275024414,642.0 -> 453.0,,PG_FAD131-5xFAD-M4liver_033123_r007
32,,654.0,465.0,43865.30322265625,654.0 -> 465.0,,PG_FAD131-5xFAD-M4liver_033123_r007
33,,656.0,467.0,137936.48974609375,656.0 -> 467.0,,PG_FAD131-5xFAD-M4liver_033123_r007
34,,668.0,479.0,24757.60173034668,668.0 -> 479.0,,PG_FAD131-5xFAD-M4liver_033123_r007
35,,670.0,481.0,32525.182250976562,670.0 -> 481.0,,PG_FAD131-5xFAD-M4liver_033123_r007
36,,680.0,491.0,138169.2892150879,680.0 -> 491.0,,PG_FAD131-5xFAD-M4liver_033123_r007
37,,682.0,493.0,203053.53588867188,682.0 -> 493.0,,PG_FAD131-5xFAD-M4liver_033123_r007
38,,684.0,495.0,137857.8302001953,684.0 -> 495.0,,PG_FAD131-5xFAD-M4liver_033123_r007
39,,694.0,505.0,36512.20281982422,694.0 -> 505.0,,PG_FAD131-5xFAD-M4liver_033123_r007
40,,696.0,507.0,30816.922241210938,696.0 -> 507.0,,PG_FAD131-5xFAD-M4liver_033123_r007
41,,698.0,509.0,33349.702392578125,698.0 -> 509.0,,PG_FAD131-5xFAD-M4liver_033123_r007
42,,704.0,515.0,29842.102020263672,704.0 -> 515.0,,PG_FAD131-5xFAD-M4liver_033123_r007
43,,706.0,517.0,29104.042022705078,706.0 -> 517.0,,PG_FAD131-5xFAD-M4liver_033123_r007
44,,708.0,519.0,59129.94485473633,708.0 -> 519.0,,PG_FAD131-5xFAD-M4liver_033123_r007
45,,710.0,521.0,38823.32244873047,710.0 -> 521.0,,PG_FAD131-5xFAD-M4liver_033123_r007
46,,712.0,523.0,72694.38513183594,712.0 -> 523.0,,PG_FAD131-5xFAD-M4liver_033123_r007
47,,718.0,529.0,30638.362243652344,718.0 -> 529.0,,PG_FAD131-5xFAD-M4liver_033123_r007
48,,720.0,531.0,27354.421875,720.0 -> 531.0,,PG_FAD131-5xFAD-M4liver_033123_r007
49,,722.0,533.0,27837.981994628906,722.0 -> 533.0,,PG_FAD131-5xFAD-M4liver_033123_r007
50,,724.0,535.0,91853.72595214844,724.0 -> 535.0,,PG_FAD131-5xFAD-M4liver_033123_r007
51,,726.0,537.0,43370.122985839844,726.0 -> 537.0,,PG_FAD131-5xFAD-M4liver_033123_r007
52,,730.0,541.0,30353.562210083008,730.0 -> 541.0,,PG_FAD131-5xFAD-M4liver_033123_r007
53,,732.0,543.0,30867.122161865234,732.0 -> 543.0,,PG_FAD131-5xFAD-M4liver_033123_r007
54,,734.0,545.0,28610.622024536133,734.0 -> 545.0,,PG_FAD131-5xFAD-M4liver_033123_r007
55,,736.0,547.0,83323.72619628906,736.0 -> 547.0,,PG_FAD131-5xFAD-M4liver_033123_r007
56,,738.0,549.0,59176.46368408203,738.0 -> 549.0,,PG_FAD131-5xFAD-M4liver_033123_r007
57,,740.0,551.0,76095.76550292969,740.0 -> 551.0,,PG_FAD131-5xFAD-M4liver_033123_r007
58,,744.0,555.0,29583.221954345703,744.0 -> 555.0,,PG_FAD131-5xFAD-M4liver_033123_r007
59,,746.0,557.0,30722.022552490234,746.0 -> 557.0,,PG_FAD131-5xFAD-M4liver_033123_r007
60,,748.0,559.0,29061.842010498047,748.0 -> 559.0,,PG_FAD131-5xFAD-M4liver_033123_r007
61,,750.0,561.0,31435.64227294922,750.0 -> 561.0,,PG_FAD131-5xFAD-M4liver_033123_r007
62,,752.0,563.0,131814.35137939453,752.0 -> 563.0,,PG_FAD131-5xFAD-M4liver_033123_r007
63,,754.0,565.0,83255.2865600586,754.0 -> 565.0,,PG_FAD131-5xFAD-M4liver_033123_r007
64,,756.0,567.0,98826.36657714844,756.0 -> 567.0,,PG_FAD131-5xFAD-M4liver_033123_r007
65,,758.0,569.0,47153.14294433594,758.0 -> 569.0,,PG_FAD131-5xFAD-M4liver_033123_r007
66,,759.5,570.4,228701.595703125,759.5 -> 570.4,,PG_FAD131-5xFAD-M4liver_033123_r007
67,,760.0,571.0,97395.88671875,760.0 -> 571.0,,PG_FAD131-5xFAD-M4liver_033123_r007
68,,762.0,573.0,39284.54296875,762.0 -> 573.0,,PG_FAD131-5xFAD-M4liver_033123_r007
69,,764.0,575.0,42842.86312866211,764.0 -> 575.0,,PG_FAD131-5xFAD-M4liver_033123_r007
70,,766.0,577.0,56749.78405761719,766.0 -> 577.0,,PG_FAD131-5xFAD-M4liver_033123_r007
71,,768.0,579.0,56585.803649902344,768.0 -> 579.0,,PG_FAD131-5xFAD-M4liver_033123_r007
72,,770.0,581.0,34326.022521972656,770.0 -> 581.0,,PG_FAD131-5xFAD-M4liver_033123_r007
73,,772.0,583.0,57100.50390625,772.0 -> 583.0,,PG_FAD131-5xFAD-M4liver_033123_r007
74,,774.0,585.0,36928.742736816406,774.0 -> 585.0,,PG_FAD131-5xFAD-M4liver_033123_r007
75,,776.0,587.0,31196.38232421875,776.0 -> 587.0,,PG_FAD131-5xFAD-M4liver_033123_r007
76,,778.0,589.0,31788.802505493164,778.0 -> 589.0,,PG_FAD131-5xFAD-M4liver_033123_r007
77,,780.0,591.0,62162.58465576172,780.0 -> 591.0,,PG_FAD131-5xFAD-M4liver_033123_r007
78,,782.0,593.0,54590.50411987305,782.0 -> 593.0,,PG_FAD131-5xFAD-M4liver_033123_r007
79,,784.0,595.0,36157.80252075195,784.0 -> 595.0,,PG_FAD131-5xFAD-M4liver_033123_r007
80,,786.0,597.0,36837.202239990234,786.0 -> 597.0,,PG_FAD131-5xFAD-M4liver_033123_r007
81,,788.0,599.0,40692.10317993164,788.0 -> 599.0,,PG_FAD131-5xFAD-M4liver_033123_r007
82,,790.0,601.0,37282.282653808594,790.0 -> 601.0,,PG_FAD131-5xFAD-M4liver_033123_r007
83,,792.0,603.0,43653.22351074219,792.0 -> 603.0,,PG_FAD131-5xFAD-M4liver_033123_r007
84,,794.0,605.0,43530.48321533203,794.0 -> 605.0,,PG_FAD131-5xFAD-M4liver_033123_r007
85,,796.0,607.0,40599.12322998047,796.0 -> 607.0,,PG_FAD131-5xFAD-M4liver_033123_r007
86,,798.0,609.0,59844.22430419922,798.0 -> 609.0,,PG_FAD131-5xFAD-M4liver_033123_r007
87,,800.0,611.0,37311.862701416016,800.0 -> 611.0,,PG_FAD131-5xFAD-M4liver_033123_r007
88,,802.0,613.0,31485.92218017578,802.0 -> 613.0,,PG_FAD131-5xFAD-M4liver_033123_r007
89,,804.0,615.0,33588.142333984375,804.0 -> 615.0,,PG_FAD131-5xFAD-M4liver_033123_r007
90,,806.0,617.0,37373.202697753906,806.0 -> 617.0,,PG_FAD131-5xFAD-M4liver_033123_r007
91,,808.0,619.0,36331.72265625,808.0 -> 619.0,,PG_FAD131-5xFAD-M4liver_033123_r007
92,,810.0,621.0,38351.662841796875,810.0 -> 621.0,,PG_FAD131-5xFAD-M4liver_033123_r007
93,,812.0,623.0,45026.70346069336,812.0 -> 623.0,,PG_FAD131-5xFAD-M4liver_033123_r007
94,,814.0,625.0,46823.76336669922,814.0 -> 625.0,,PG_FAD131-5xFAD-M4liver_033123_r007
95,,816.0,627.0,40835.90267944336,816.0 -> 627.0,,PG_FAD131-5xFAD-M4liver_033123_r007
96,,818.0,629.0,35933.88269042969,818.0 -> 629.0,,PG_FAD131-5xFAD-M4liver_033123_r007
97,,820.0,631.0,36192.542541503906,820.0 -> 631.0,,PG_FAD131-5xFAD-M4liver_033123_r007
98,,822.0,633.0,38890.76254272461,822.0 -> 633.0,,PG_FAD131-5xFAD-M4liver_033123_r007
99,,824.0,635.0,46116.0830078125,824.0 -> 635.0,,PG_FAD131-5xFAD-M4liver_033123_r007
100,,826.0,637.0,57781.083740234375,826.0 -> 637.0,,PG_FAD131-5xFAD-M4liver_033123_r007
101,,828.0,639.0,45475.86343383789,828.0 -> 639.0,,PG_FAD131-5xFAD-M4liver_033123_r007
102,,830.0,641.0,38727.70281982422,830.0 -> 641.0,,PG_FAD131-5xFAD-M4liver_033123_r007
103,,832.0,643.0,45842.80310058594,832.0 -> 643.0,,PG_FAD131-5xFAD-M4liver_033123_r007
104,,834.0,645.0,71147.04479980469,834.0 -> 645.0,,PG_FAD131-5xFAD-M4liver_033123_r007
105,,836.0,647.0,35931.20243835449,836.0 -> 647.0,,PG_FAD131-5xFAD-M4liver_033123_r007
106,,838.0,649.0,31080.122283935547,838.0 -> 649.0,,PG_FAD131-5xFAD-M4liver_033123_r007
107,,840.0,651.0,33737.2822265625,840.0 -> 651.0,,PG_FAD131-5xFAD-M4liver_033123_r007
108,,842.0,653.0,36882.082580566406,842.0 -> 653.0,,PG_FAD131-5xFAD-M4liver_033123_r007
109,,844.0,655.0,37418.16244506836,844.0 -> 655.0,,PG_FAD131-5xFAD-M4liver_033123_r007
110,,846.0,657.0,43642.302978515625,846.0 -> 657.0,,PG_FAD131-5xFAD-M4liver_033123_r007
111,,848.0,659.0,47898.10321044922,848.0 -> 659.0,,PG_FAD131-5xFAD-M4liver_033123_r007
112,,850.0,661.0,36448.7624206543,850.0 -> 661.0,,PG_FAD131-5xFAD-M4liver_033123_r007
113,,852.0,663.0,50191.543395996094,852.0 -> 663.0,,PG_FAD131-5xFAD-M4liver_033123_r007
114,,854.0,665.0,33669.20248413086,854.0 -> 665.0,,PG_FAD131-5xFAD-M4liver_033123_r007
115,,856.0,667.0,33115.76239013672,856.0 -> 667.0,,PG_FAD131-5xFAD-M4liver_033123_r007
116,,858.0,669.0,33091.94233703613,858.0 -> 669.0,,PG_FAD131-5xFAD-M4liver_033123_r007
117,,860.0,671.0,33263.54229736328,860.0 -> 671.0,,PG_FAD131-5xFAD-M4liver_033123_r007
118,,862.0,673.0,41678.94256591797,862.0 -> 673.0,,PG_FAD131-5xFAD-M4liver_033123_r007
119,,864.0,675.0,29791.162017822266,864.0 -> 675.0,,PG_FAD131-5xFAD-M4liver_033123_r007
120,,866.0,677.0,33113.2825012207,866.0 -> 677.0,,PG_FAD131-5xFAD-M4liver_033123_r007
121,,868.0,679.0,30091.222259521484,868.0 -> 679.0,,PG_FAD131-5xFAD-M4liver_033123_r007
122,,870.0,681.0,29269.202056884766,870.0 -> 681.0,,PG_FAD131-5xFAD-M4liver_033123_r007
123,,872.0,683.0,30054.042114257812,872.0 -> 683.0,,PG_FAD131-5xFAD-M4liver_033123_r007
124,,874.0,685.0,43808.44305419922,874.0 -> 685.0,,PG_FAD131-5xFAD-M4liver_033123_r007
125,,876.0,687.0,33973.862548828125,876.0 -> 687.0,,PG_FAD131-5xFAD-M4liver_033123_r007
126,,878.0,689.0,31438.042266845703,878.0 -> 689.0,,PG_FAD131-5xFAD-M4liver_033123_r007
127,,880.0,691.0,26309.06184387207,880.0 -> 691.0,,PG_FAD131-5xFAD-M4liver_033123_r007
128,,882.0,693.0,25105.861694335938,882.0 -> 693.0,,PG_FAD131-5xFAD-M4liver_033123_r007
129,,884.0,695.0,24849.801635742188,884.0 -> 695.0,,PG_FAD131-5xFAD-M4liver_033123_r007
130,,886.0,697.0,41449.8830871582,886.0 -> 697.0,,PG_FAD131-5xFAD-M4liver_033123_r007
131,,888.0,699.0,34434.542236328125,888.0 -> 699.0,,PG_FAD131-5xFAD-M4liver_033123_r007
132,,890.0,701.0,28696.421966552734,890.0 -> 701.0,,PG_FAD131-5xFAD-M4liver_033123_r007
133,,892.0,703.0,24774.421600341797,892.0 -> 703.0,,PG_FAD131-5xFAD-M4liver_033123_r007
134,,894.0,705.0,25495.081924438477,894.0 -> 705.0,,PG_FAD131-5xFAD-M4liver_033123_r007
135,,896.0,707.0,21850.561569213867,896.0 -> 707.0,,PG_FAD131-5xFAD-M4liver_033123_r007
136,,898.0,709.0,22124.241607666016,898.0 -> 709.0,,PG_FAD131-5xFAD-M4liver_033123_r007
137,,900.0,711.0,30180.282196044922,900.0 -> 711.0,,PG_FAD131-5xFAD-M4liver_033123_r007
138,,902.0,713.0,34727.52256774902,902.0 -> 713.0,,PG_FAD131-5xFAD-M4liver_033123_r007
139,,904.0,715.0,26639.181915283203,904.0 -> 715.0,,PG_FAD131-5xFAD-M4liver_033123_r007
140,,906.0,717.0,23829.82179260254,906.0 -> 717.0,,PG_FAD131-5xFAD-M4liver_033123_r007
141,,908.0,719.0,20944.941528320312,908.0 -> 719.0,,PG_FAD131-5xFAD-M4liver_033123_r007
142,,998.9,264.4,4419.900321960449,998.9 -> 264.4,,CER_blank_033123_r004
143,,1001.0,280.4,38515.42176055908,1001.0 -> 280.4,,CER_blank_033123_r004
144,,1001.0,264.4,4343.480308532715,1001.0 -> 264.4,,CER_blank_033123_r004
145,,1010.9,262.4,7503.780563354492,1010.9 -> 262.4,,CER_blank_033123_r004
146,,1013.0,264.4,5004.180335998535,1013.0 -> 264.4,,CER_blank_033123_r004
147,,1015.0,266.4,5970.9603843688965,1015.0 -> 266.4,,CER_blank_033123_r004
148,,1025.0,262.4,4943.640354156494,1025.0 -> 262.4,,CER_blank_033123_r004
149,,1027.0,264.4,3816.1402626037598,1027.0 -> 264.4,,CER_blank_033123_r004
150,,1029.0,266.4,5242.740345001221,1029.0 -> 266.4,,CER_blank_033123_r004
151,,1039.0,262.4,5773.880424499512,1039.0 -> 262.4,,CER_blank_033123_r004
152,,1041.0,264.4,3688.3002853393555,1041.0 -> 264.4,,CER_blank_033123_r004
153,,1043.0,266.4,5139.020416259766,1043.0 -> 266.4,,CER_blank_033123_r004
154,,1055.0,264.4,4052.88028717041,1055.0 -> 264.4,,CER_blank_033123_r004
155,,1057.0,266.4,5285.340442657471,1057.0 -> 266.4,,CER_blank_033123_r004
156,,1067.0,262.4,5179.680351257324,1067.0 -> 262.4,,CER_blank_033123_r004
157,,1069.0,264.4,2843.760181427002,1069.0 -> 264.4,,CER_blank_033123_r004
158,,1071.0,266.4,5520.540386199951,1071.0 -> 266.4,,CER_blank_033123_r004
159,,1083.0,264.4,2715.620185852051,1083.0 -> 264.4,,CER_blank_033123_r004
160,,1085.1,280.4,29405.801681518555,1085.1 -> 280.4,,CER_blank_033123_r004
161,,1097.1,292.4,9944.640674591064,1097.1 -> 292.4,,CER_blank_033123_r004
162,,1099.1,294.4,4193.620300292969,1099.1 -> 294.4,,CER_blank_033123_r004
163,,1175.0,264.4,2907.2001991271973,1175.0 -> 264.4,,CER_blank_033123_r004
164,,1065.0,765.7,9378.900569915771,1065.0 -> 765.7,,TAG181_FAD131-5xFAD-M2liver_033123_r006
165,,1067.0,767.7,7427.100524902344,1067.0 -> 767.7,,TAG181_FAD131-5xFAD-M2liver_033123_r006
166,,1069.0,769.7,8169.000595092773,1069.0 -> 769.7,,TAG181_FAD131-5xFAD-M2liver_033123_r006
167,,1071.0,771.7,9302.600646972656,1071.0 -> 771.7,,TAG181_FAD131-5xFAD-M2liver_033123_r006
168,,1073.0,773.7,10128.02066040039,1073.0 -> 773.7,,TAG181_FAD131-5xFAD-M2liver_033123_r006
169,,1075.0,775.7,9627.540718078613,1075.0 -> 775.7,,TAG181_FAD131-5xFAD-M2liver_033123_r006
170,,1057.0,755.7,7735.120582580566,1057.0 -> 755.7,,TAG180_FAD131-5xFAD-M2liver_033123_r006
171,,1059.0,757.7,10646.660705566406,1059.0 -> 757.7,,TAG180_FAD131-5xFAD-M2liver_033123_r006
172,,1061.0,759.7,10569.460746765137,1061.0 -> 759.7,,TAG180_FAD131-5xFAD-M2liver_033123_r006
173,,1062.9,761.6,7682.000522613525,1062.9 -> 761.6,,TAG180_FAD131-5xFAD-M2liver_033123_r006
174,,1063.0,761.7,8901.980674743652,1063.0 -> 761.7,,TAG180_FAD131-5xFAD-M2liver_033123_r006
175,,1065.0,763.7,8236.360549926758,1065.0 -> 763.7,,TAG180_FAD131-5xFAD-M2liver_033123_r006
176,,1067.0,765.7,8811.840656280518,1067.0 -> 765.7,,TAG180_FAD131-5xFAD-M2liver_033123_r006
177,,1069.0,767.7,8402.98055267334,1069.0 -> 767.7,,TAG180_FAD131-5xFAD-M2liver_033123_r006
178,,1071.0,769.7,8383.240589141846,1071.0 -> 769.7,,TAG180_FAD131-5xFAD-M2liver_033123_r006
179,,1073.0,771.7,8103.180564880371,1073.0 -> 771.7,,TAG180_FAD131-5xFAD-M2liver_033123_r006
180,,1075.0,773.7,9079.400581359863,1075.0 -> 773.7,,TAG180_FAD131-5xFAD-M2liver_033123_r006
181,,1077.1,775.7,9238.240661621094,1077.1 -> 775.7,,TAG180_FAD131-5xFAD-M2liver_033123_r006
182,,896.6,619.6,37865.42337036133,896.6 -> 619.6,,PI_FAD173-5xFAD-M1liver_033123_r005
183,,896.6,619.6,31878.52212524414,896.6 -> 619.6,,PI_FAD173-5xFAD-M1liver_033123_r005
184,,898.6,621.6,31037.401763916016,898.6 -> 621.6,,PI_FAD173-5xFAD-M1liver_033123_r005
185,,898.6,621.6,30686.922073364258,898.6 -> 621.6,,PI_FAD173-5xFAD-M1liver_033123_r005
186,,900.5,623.5,77139.32650756836,900.5 -> 623.5,,PI_FAD173-5xFAD-M1liver_033123_r005
187,,900.5,623.5,76773.88478088379,900.5 -> 623.5,,PI_FAD173-5xFAD-M1liver_033123_r005
188,,902.5,625.5,106522.46670532227,902.5 -> 625.5,,PI_FAD173-5xFAD-M1liver_033123_r005
189,,902.5,625.5,103263.76649475098,902.5 -> 625.5,,PI_FAD173-5xFAD-M1liver_033123_r005
190,,904.6,627.6,114274.090675354,904.6 -> 627.6,,PI_FAD173-5xFAD-M1liver_033123_r005
191,,904.6,627.6,106336.24604034424,904.6 -> 627.6,,PI_FAD173-5xFAD-M1liver_033123_r005
192,,906.6,629.6,126672.03045654297,906.6 -> 629.6,,PI_FAD173-5xFAD-M1liver_033123_r005
193,,906.6,629.6,116556.2271270752,906.6 -> 629.6,,PI_FAD173-5xFAD-M1liver_033123_r005
194,,908.6,631.6,80527.26708984375,908.6 -> 631.6,,PI_FAD173-5xFAD-M1liver_033123_r005
195,,908.6,631.6,80239.06562805176,908.6 -> 631.6,,PI_FAD173-5xFAD-M1liver_033123_r005
196,,910.6,633.6,25569.262268066406,910.6 -> 633.6,,PI_FAD173-5xFAD-M1liver_033123_r005
197,,910.6,633.6,24553.941497802734,910.6 -> 633.6,,PI_FAD173-5xFAD-M1liver_033123_r005
198,,912.7,635.7,16268.80110168457,912.7 -> 635.7,,PI_FAD173-5xFAD-M1liver_033123_r005
199,,912.7,635.7,13013.480926513672,912.7 -> 635.7,,PI_FAD173-5xFAD-M1liver_033123_r005
200,,914.6,637.6,12647.780792236328,914.6 -> 637.6,,PI_FAD173-5xFAD-M1liver_033123_r005
201,,914.6,637.6,12274.060897827148,914.6 -> 637.6,,PI_FAD173-5xFAD-M1liver_033123_r005
202,,916.6,639.6,17463.721160888672,916.6 -> 639.6,,PI_FAD173-5xFAD-M1liver_033123_r005
203,,916.6,639.6,16793.441040039062,916.6 -> 639.6,,PI_FAD173-5xFAD-M1liver_033123_r005
204,,918.6,641.6,11903.240783691406,918.6 -> 641.6,,PI_FAD173-5xFAD-M1liver_033123_r005
205,,918.6,641.6,13049.020950317383,918.6 -> 641.6,,PI_FAD173-5xFAD-M1liver_033123_r005
206,,920.6,643.6,13869.301132202148,920.6 -> 643.6,,PI_FAD173-5xFAD-M1liver_033123_r005
207,,920.6,643.6,13910.601173400879,920.6 -> 643.6,,PI_FAD173-5xFAD-M1liver_033123_r005
208,,922.6,645.6,18595.741302490234,922.6 -> 645.6,,PI_FAD173-5xFAD-M1liver_033123_r005
209,,922.6,645.6,19400.641006469727,922.6 -> 645.6,,PI_FAD173-5xFAD-M1liver_033123_r005
210,,924.7,647.7,45337.242904663086,924.7 -> 647.7,,PI_FAD173-5xFAD-M1liver_033123_r005
211,,924.7,647.7,44566.22409057617,924.7 -> 647.7,,PI_FAD173-5xFAD-M1liver_033123_r005
212,,926.7,649.7,51680.62333679199,926.7 -> 649.7,,PI_FAD173-5xFAD-M1liver_033123_r005
213,,926.7,649.7,44910.92225646973,926.7 -> 649.7,,PI_FAD173-5xFAD-M1liver_033123_r005
214,,928.6,651.6,91172.82693481445,928.6 -> 651.6,,PI_FAD173-5xFAD-M1liver_033123_r005
215,,928.6,651.6,83342.36277770996,928.6 -> 651.6,,PI_FAD173-5xFAD-M1liver_033123_r005
216,,930.6,653.6,47207.74277496338,930.6 -> 653.6,,PI_FAD173-5xFAD-M1liver_033123_r005
217,,930.6,653.6,41862.362243652344,930.6 -> 653.6,,PI_FAD173-5xFAD-M1liver_033123_r005
218,,932.6,655.6,17399.101318359375,932.6 -> 655.6,,PI_FAD173-5xFAD-M1liver_033123_r005
219,,932.6,655.6,17937.761459350586,932.6 -> 655.6,,PI_FAD173-5xFAD-M1liver_033123_r005
220,,934.6,657.6,16128.401290893555,934.6 -> 657.6,,PI_FAD173-5xFAD-M1liver_033123_r005
221,,934.6,657.6,18077.581352233887,934.6 -> 657.6,,PI_FAD173-5xFAD-M1liver_033123_r005
222,,936.6,659.6,14800.361038208008,936.6 -> 659.6,,PI_FAD173-5xFAD-M1liver_033123_r005
223,,936.6,659.6,14651.74095916748,936.6 -> 659.6,,PI_FAD173-5xFAD-M1liver_033123_r005
224,,938.7,661.7,11438.620819091797,938.7 -> 661.7,,PI_FAD173-5xFAD-M1liver_033123_r005
225,,938.7,661.7,9841.480743408203,938.7 -> 661.7,,PI_FAD173-5xFAD-M1liver_033123_r005
226,,940.7,663.7,12163.500671386719,940.7 -> 663.7,,PI_FAD173-5xFAD-M1liver_033123_r005
227,,940.7,663.7,12409.380783081055,940.7 -> 663.7,,PI_FAD173-5xFAD-M1liver_033123_r005
228,,942.6,665.6,8810.1005859375,942.6 -> 665.6,,PI_FAD173-5xFAD-M1liver_033123_r005
229,,942.6,665.6,8784.320617675781,942.6 -> 665.6,,PI_FAD173-5xFAD-M1liver_033123_r005
230,,944.6,667.6,11478.180950164795,944.6 -> 667.6,,PI_FAD173-5xFAD-M1liver_033123_r005
231,,944.6,667.6,10433.840713500977,944.6 -> 667.6,,PI_FAD173-5xFAD-M1liver_033123_r005
232,,946.6,669.6,10139.78067779541,946.6 -> 669.6,,PI_FAD173-5xFAD-M1liver_033123_r005
233,,946.6,669.6,8850.740539550781,946.6 -> 669.6,,PI_FAD173-5xFAD-M1liver_033123_r005
234,,948.7,671.7,9549.300746917725,948.7 -> 671.7,,PI_FAD173-5xFAD-M1liver_033123_r005
235,,948.7,671.7,9596.980827331543,948.7 -> 671.7,,PI_FAD173-5xFAD-M1liver_033123_r005
236,,950.7,673.7,9623.7406539917,950.7 -> 673.7,,PI_FAD173-5xFAD-M1liver_033123_r005
237,,950.7,673.7,7950.7406005859375,950.7 -> 673.7,,PI_FAD173-5xFAD-M1liver_033123_r005
238,,952.7,675.7,17210.761169433594,952.7 -> 675.7,,PI_FAD173-5xFAD-M1liver_033123_r005
239,,952.7,675.7,12902.880859375,952.7 -> 675.7,,PI_FAD173-5xFAD-M1liver_033123_r005
240,,954.7,677.7,10388.040710449219,954.7 -> 677.7,,PI_FAD173-5xFAD-M1liver_033123_r005
241,,954.7,677.7,9948.160758972168,954.7 -> 677.7,,PI_FAD173-5xFAD-M1liver_033123_r005
242,,956.6,679.6,7723.90055847168,956.6 -> 679.6,,PI_FAD173-5xFAD-M1liver_033123_r005
243,,956.6,679.6,7193.36043548584,956.6 -> 679.6,,PI_FAD173-5xFAD-M1liver_033123_r005
244,,958.6,681.6,7217.960479736328,958.6 -> 681.6,,PI_FAD173-5xFAD-M1liver_033123_r005
245,,958.6,681.6,7581.500545501709,958.6 -> 681.6,,PI_FAD173-5xFAD-M1liver_033123_r005
246,,960.6,683.6,7577.5004806518555,960.6 -> 683.6,,PI_FAD173-5xFAD-M1liver_033123_r005
247,,960.6,683.6,7879.640693664551,960.6 -> 683.6,,PI_FAD173-5xFAD-M1liver_033123_r005
248,,962.6,685.6,9599.580680847168,962.6 -> 685.6,,PI_FAD173-5xFAD-M1liver_033123_r005
249,,962.6,685.6,9373.720596313477,962.6 -> 685.6,,PI_FAD173-5xFAD-M1liver_033123_r005
250,,964.7,687.6,6573.240493774414,964.7 -> 687.6,,PI_FAD173-5xFAD-M1liver_033123_r005
