,Parent_Ion_new,Product_Ion_new,Intensity_new,Transition,Class,Sample_ID_new,Sample Name_new,Cage,Position_new,Dilution Factor,Sex2,Sex_new,Genotype_new,Brain Region,method_type_new,Blank Subtraction_new,subclasses,chain_length,saturation,between_parenthese,FA_Chain,Parent_Ion_old,Product_Ion_old,Intensity_old,Sample_ID_old,Sample Name_old,Position_old,nickname,Sex_old,Genotype_old,time point,method_type_old,Blank Subtraction_old,Lipid
21,512.5,266.4,50856.26361083984,512.5 -> 266.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:0/14:0),None,512.5,266.4,5076.160377502441,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,1545.1601295471191,Cer(d18:0/14:0)
22,536.5,262.4,23382.72171020508,536.5 -> 262.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:2/16:0),None,536.5,262.4,18109.32155227661,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,14425.221271514893,Cer(d18:2/16:0)
23,540.5,266.4,84237.666015625,540.5 -> 266.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:0/16:0),None,540.5,266.4,40054.14290237427,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,35919.74261856079,Cer(d18:0/16:0)
24,562.5,262.4,23899.32177734375,562.5 -> 262.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:2/18:1),None,562.5,262.4,23423.34203338623,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,19752.701778411865,Cer(d18:2/18:1)
25,568.6,266.4,40826.322814941406,568.6 -> 266.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:0/18:0),None,568.6,266.4,58899.5630569458,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,55292.32280731201,Cer(d18:0/18:0)
26,590.6,262.4,27688.74201965332,590.6 -> 262.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:2/20:1),None,590.6,262.4,11505.720741271973,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,7989.360492706299,Cer(d18:2/20:1)
27,592.6,262.4,27019.16209411621,592.6 -> 262.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:2/20:0),None,592.6,262.4,11560.340782165527,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,7908.200534820557,Cer(d18:2/20:0)
28,596.6,266.4,40378.80267333984,596.6 -> 266.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:0/20:0),None,596.6,266.4,7176.500476837158,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,3622.6402320861816,Cer(d18:0/20:0)
29,620.5,266.4,135065.88647460938,620.5 -> 266.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,CerP,CerP,,(d18:0/16:0),None,620.5,266.4,8757.320594787598,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,4914.640342712402,CerP(d18:0/16:0)
30,620.6,262.4,32058.42248535156,620.6 -> 262.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:2/22:0),None,620.6,262.4,17868.881313323975,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,13796.241031646729,Cer(d18:2/22:0)
