lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,Transition,type,AK0161-1x_p1-b2,AK0170-1x_p1-b4,AK0139-1x_p1-b6,AK0200-1x_p1-b8,AK0202-2x_p1-c5,AK0204-1x_p1-c1,AK0174-1x_p1-b1,AK0145-1x_p1-b3,AK0175-2x_p1-c3,AK0164-1x_p1-b5,AK0141-1x_p1-b9,Blank-1x_p1 -a2
PEo (38:1),-0.32485463101533923,7.71601702531379,1.1957078027903663,0.27418124093978674,0.9995784849370064,6,5,H KO,H WT,760.6216 -> 619.6216,PE,331956.71777338,321486.84509279,135490.651123065,349200.46569837,144532.231079174,316586.44384749,324766.9843751,322370.06274422,330708.40466305,134040.388977059,525826.79443348,34595.822631823
PEo (38:2),-0.49375772927881845,7.559581269203509,2.7644924859796447,0.09637724832411408,0.9995784849370064,6,5,H KO,H WT,758.6059 -> 617.6059,PE,289437.83801268,281305.19750968,106895.188003485,306783.52514637,86978.3067016159,271837.64038078,284910.320434648,273954.47973625,363065.46472172,137108.049499495,432140.12963859,36029.882568366
PEo (38:3),-0.44602534384906173,7.013571121788923,2.255556234012147,0.13313561021427214,0.9995784849370064,6,5,H KO,H WT,756.5903 -> 615.5903,PE,194381.57092283,198193.45288091,81189.125717263,213838.83618166,59691.404006958,196763.59680183,194223.375122235,190764.5145264,246894.696899428,77701.625251799,305801.0656738,23176.921722411
PEo (38:4),-0.5718874711113436,6.90916701727639,3.7084424378140284,0.05413788816396773,0.9995784849370064,6,5,H KO,H WT,754.5746 -> 613.5746,PE,168729.28973401,161933.83068845,72623.065292373,185421.22979732,60341.84484861,178526.9349366,171122.412902796,302500.31933587,168624.75244134,98003.647460862,251357.03820808,23192.761749258
PEo (38:5),-0.42485870838454093,6.854746707197614,2.0463857679283155,0.15256800048196648,0.9995784849370064,6,5,H KO,H WT,752.559 -> 611.559,PE,174378.430480918,159634.29089341,64279.283966038,177307.27502449,69327.525268521,184118.65246584,169198.470519994,227625.85510248,178706.85571283,71817.1046599963,249095.697998,24169.161544798
PEo (38:6),-0.2488173431090886,7.075415161127274,0.7009468448359257,0.4024657234613681,0.9995784849370064,6,5,H KO,H WT,750.5433 -> 609.5433,PE,220336.313415584,204867.05383296,87020.3063430522,236786.17553705,81090.024505701,229913.27465836,219069.09411615,242586.874633748,178377.29321292,89227.38589477,296228.278076142,22679.6216010958
PEo (40:0),-0.2183193809152752,7.549930162807553,0.5394599481369369,0.46265662764513177,0.9995784849370064,6,5,H KO,H WT,790.6685 -> 649.6685,PE,318403.541320955,267455.76123042,201872.89350893,336951.56457515,72671.885101297,328128.48706052,303334.683471745,292048.6610107,225314.69250511,170797.812484755,449243.89477536,29397.602172864
PEo (40:1),-0.2458491502578277,7.417570383510336,0.6843063498554329,0.40810778051483854,0.9995784849370064,6,5,H KO,H WT,788.6529 -> 647.6529,PE,263915.99829102,247716.60034182,133701.009002714,273454.8587648,107490.707153285,269275.37988274,261373.61950694,240072.06115733,201317.1533203,156123.550544672,419219.68774408,37620.582534795
PEo (40:2),-0.37352626845533826,6.826554576973097,1.5813486543297586,0.2085665376470427,0.9995784849370064,6,5,H KO,H WT,786.6372 -> 645.6372,PE,180427.529724092,163748.79052736,68634.645477263,184361.77416986,52280.36393738,186709.8537597,179974.05297853,188500.83349608,149603.46972655,97723.266525316,264781.957275438,23933.041473393
PEo (40:3),-0.24721117367015724,6.756827634255949,0.6919038039504812,0.40551758035934815,0.9995784849370064,6,5,H KO,H WT,784.6216 -> 643.6216,PE,162160.15051275,148237.56872557,74211.765747026,170292.25170894,63676.325180038,180344.35180669,167651.832824781,164249.59155276,138647.33056634,81491.8655700585,218966.45349108,28229.881881702
PEo (40:4),-0.3383087338397124,6.702815627883201,1.2968948730349439,0.25478119066781657,0.9995784849370064,6,5,H KO,H WT,782.6059 -> 641.6059,PE,151281.830566338,137272.86895745,86556.006958008,156551.112060554,59816.904098497,164094.85070795,153455.4688721,197220.13439953,130705.01013179,79377.6054382255,217395.1351317,25189.441894537
PEo (40:5),-0.3486514798646788,7.467589250667788,1.3775446605086472,0.24051982407740513,0.9995784849370064,6,5,H KO,H WT,780.5903 -> 639.5903,PE,289798.76245134,280532.68139657,118573.749145479,288443.87963866,75801.0261497998,275456.19665532,294677.84143076,311906.98193354,257466.95593255,125249.308135902,362544.389831585,34836.1223068076
PEo (40:6),-0.27427273588163104,10.190705892070453,0.8519687538646394,0.35599598286671763,0.9995784849370064,6,5,H KO,H WT,778.5746 -> 637.5746,PE,1991099.03063995,2723746.56884749,638590.355430736,1708329.15258776,805668.167541399,1679495.16625984,2076326.51977557,2050167.09167535,2051405.35253919,889447.59910583,2224111.83203123,74024.04533384
PEo (42:0),-0.18762720957299237,6.921112515680645,0.39827671627426753,0.5279805768822341,0.9995784849370064,6,5,H KO,H WT,818.6998 -> 677.6998,PE,188969.855285674,167746.11303713,105040.527450647,197522.416809003,66447.3243942263,201829.63525387,186267.511291568,191293.954956032,126063.348571782,95674.465911722,274489.35803213,29789.421928398
PEo (42:2),-0.22340623931847894,7.375688725471632,0.5649242987419711,0.4522829440378259,0.9995784849370064,6,5,H KO,H WT,814.6685 -> 673.6685,PE,272271.739807144,302062.08227539,121805.328433983,297219.178710933,74635.886047392,266865.49987791,279053.400756857,293974.58239733,207168.333129831,128673.82887267,357053.603210385,25928.021881091
PEo (42:4),-0.1479734250214634,6.680157569531924,0.24757641048563528,0.6187867949604041,0.9995784849370064,6,5,H KO,H WT,810.6372 -> 669.6372,PE,160828.63037111,155788.17028803,85957.725479131,164648.951232954,58161.564285299,161605.71069336,158730.911621007,156679.42999266,115426.547241241,66986.984451305,219335.05541981,26252.081642147
PEo (42:6),-0.11747581229829133,7.444825513777708,0.1559702194717829,0.6928940682765329,0.9995784849370064,6,5,H KO,H WT,806.6059 -> 665.6059,PE,259130.6568603,261072.90234374,132656.667816197,289924.72119135,103868.147384624,310544.82629405,272255.30029308,253307.69787602001,186136.01257324,119697.849288929,388584.10888671,43226.522933959
PEp (16:0),0.08415873019019623,8.195411213102743,0.07972034014710516,0.7776767553276278,0.9995784849370064,6,5,H KO,H WT,438.298 -> 297.298,PE,544896.721679654,555854.100219726,348180.644576976,520765.495422397,231288.879714476,445647.467224114,504543.735137913,456491.063629195,286552.298919765,313278.104065447,509206.924682614,30877.6418304511
PEp (20:0),-0.07635826292055325,7.017351646426562,0.06584841406875341,0.7974802728134434,0.9995784849370064,6,5,H KO,H WT,494.3606 -> 353.3606,PE,220031.613281253,178529.453735328,128446.968566925,228672.277527009,81437.76673884,214317.112914947,210256.474670567,176924.271728519,141534.470336942,133612.529449443,244380.996154782,27335.64208984
PEp (28:0),-0.11485928854687645,7.712756442949938,0.14909481410722947,0.6994018913755635,0.9995784849370064,6,5,H KO,H WT,620.4651 -> 479.4651,PE,374497.982971174,341135.686096218,196328.192169276,440406.888122526,67158.145919815,437750.413879335,408227.653076225,338487.917602514,245132.180236792,178488.353561368,444527.604492126,18193.581314091
PEp (30:0),-0.16015563370557218,7.725038912213977,0.29008188921965683,0.5901680585239812,0.9995784849370064,6,5,H KO,H WT,648.4964 -> 507.4964,PE,341135.74676512,330576.986755334,172189.029632569,442294.29931642,79732.605773977,469374.8710938,426663.70745849,406478.775024428,239383.01379392,141411.489379948,436354.41015623,19049.861259461
PEp (30:1),-0.07813846638658394,7.183702282331109,0.06895730297037517,0.7928610385728818,0.9995784849370064,6,5,H KO,H WT,646.4807 -> 505.4807,PE,279248.397582982,254086.053405752,109168.966293228,282445.824951292,51607.063476526,277841.940246457,257766.463073774,243191.535339408,158371.349914578,102599.105072023,310984.825256323,20209.701354971
PEp (32:1),-0.044012968021590236,7.23536973234991,0.021864372822165024,0.8824484709131857,0.9995784849370064,6,5,H KO,H WT,674.512 -> 533.512,PE,284080.722961523,243525.596557722,115638.586792048,288460.40228266,59102.54381559,330053.764282283,282913.798156652,247005.755554164,169396.072387792,57842.863601685,347978.879943799,19926.021392822
PEp (34:4),-0.07525573497778894,6.3126781650774495,0.06395702966256067,0.8003475983941752,0.9995784849370064,6,5,H KO,H WT,696.4964 -> 555.4964,PE,129940.348999017,109465.668151966,45574.183288589,127331.26916497,39507.922241205,156418.469360283,122404.049743641,115379.92919922,86748.045471186,48248.0035705588,146048.35070799,24321.921707164
PEp (36:5),-0.15176180720166196,6.893151398120554,0.26043320014650817,0.6098226966357163,0.9995784849370064,6,5,H KO,H WT,722.512 -> 581.512,PE,213742.755859389,191764.792663572,72318.905273408,214719.5733642,50757.723815913,217755.376709,217854.032836872,217902.67401115,139865.828613357,53419.663391134,229729.11633315,23008.101409907
PEp (36:6),-0.3833930450376643,7.537800275219296,1.666129013086902,0.19677782446904007,0.9995784849370064,6,5,H KO,H WT,748.5277 -> 607.5277,PE,310363.461608904,297975.92541485,95082.30633545,316332.66076666,80781.525474553,301011.57763647,287964.242431753,318568.70434561,306703.666809041,116826.688308746,425176.95056141,31606.522232068
PEp (40:7),-0.45678263249552353,7.686512866307056,2.365788568632297,0.12402122890896274,0.9995784849370064,6,5,H KO,H WT,774.5433 -> 633.5433,PE,308465.203735312,276650.66430649,189117.195526049,331139.20397941,114897.047912591,313884.06079108,301008.678833042,297169.48522953,376301.17163101,186585.532760593,525110.72082518,28712.1421432477
PEp (42:0),-0.2420767585365253,6.7156735114603086,0.6634235289582202,0.41535390432053065,0.9995784849370064,6,5,H KO,H WT,816.6842 -> 675.6842,PE,164583.55120853,149885.630859254,81756.526336587,169749.251464835,60039.924362179,173706.53381344,158554.730956996,174198.5128174,115845.007751463,89108.845489406,245079.57800301,23440.2616271961
PEp (42:2),-0.11162971294545837,8.384363126121634,0.140822168944851,0.7074650293676973,0.9995784849370064,6,5,H KO,H WT,812.6529 -> 671.6529,PE,559585.659728511,659062.979064916,276888.378372183,605936.81860403,238753.778213469,553412.62182624,589835.14099218,642160.54626519,407219.20886227,265606.903915474,664002.883117068,24400.761695861
PEp (42:4),-0.21447845254806316,6.753015932159479,0.5206076242980089,0.4705826018145456,0.9995784849370064,6,5,H KO,H WT,808.6216 -> 667.6216,PE,181127.773864885,155514.389343304,74996.966033934,187001.492553771,74086.345108025,175679.79406749,168040.012512341,163055.069641167,117616.349059972,108357.208663912,267136.8010253,19248.4012985224
PEp (42:6),-0.07141439868464677,9.16954821669608,0.057594608781073475,0.8103389640116955,0.9995784849370064,6,5,H KO,H WT,804.5903 -> 663.5903,PE,792892.93884269,947027.75781246,412874.948731044,878590.25659181,276937.301879778,939293.49853519,839727.00695754,782915.16686959,521114.85888673,488973.977905197,1055904.74584954,201054.817230182
PG (12:0),0.09932286506624394,6.509522293143185,0.1109888198192267,0.739021174762196,0.9995784849370064,6,5,H KO,H WT,460.2042 -> 271.2042,PG,113608.48852542,109661.147277814,107043.947875883,116035.488098167,84606.026794466,103994.746398879,113235.607482884,98521.687805202,78874.065124519,99427.565795949,103347.726623424,41527.922912587
PG (14:0),-0.02742462993762148,1.2487615506932623,0.008453408727007172,0.9267437873221298,0.9995784849370064,6,5,H KO,H WT,474.2562 -> 285.2562,PG,2224.5001373287,2997.1801986682,1926.5801315307,2262.040145873,1730.4401054382,2064.7001419062,2618.1401977528,2080.6201591488,2096.1001701352,2436.5201530456,1808.0001296995,1605.3201179501
PG (14:1),0.2134703432646657,2.1186431755580797,0.5102827938644623,0.4750164624084933,0.9995784849370064,6,5,H KO,H WT,472.2406 -> 283.2406,PG,2939.4401969912,9067.0407753011,2803.8001976009,2931.5201873787,2123.9001541135,14159.6010131832,9659.0407600448,2680.040195466,5268.0803756734,2491.1201820364,2765.3002128589,1640.780117035
PG (16:0),0.12361142096540723,10.69999028652508,0.17181665812677238,0.6785023072062308,0.9995784849370064,6,5,H KO,H WT,516.2668 -> 327.2668,PG,3165259.51220718,2441865.86718743,2773573.95507795,2209078.2636717,1870529.58691419,1641623.83691424,2241862.49560533,2489768.4809569,1391748.8178709,2619455.95556629,2152126.92724618,320640.98437501
PG (16:1),0.06495626633593102,8.02917481317994,0.04751284329563532,0.8274490501098933,0.9995784849370064,6,5,H KO,H WT,500.2719 -> 311.2719,PG,432477.091247543,320611.740051266,409693.932189991,405974.6035766,292211.8440553,350310.709594758,363898.159606898,326758.405212508,220008.336914199,411967.154053211,482448.20141604,45584.002929687
PG (18:0),-0.07827163126519221,8.444103578592378,0.0691935892082256,0.7925145513149714,0.9995784849370064,6,5,H KO,H WT,530.3188 -> 341.3188,PG,325561.2402344,259661.395569001,334896.80126964,293624.95764166,298712.72277836,287715.44079583,287447.98291017,219454.856078989,273459.9217529,386122.38598617,459447.13549805,249343.639099157
PG (18:1),0.05827826855536994,7.386035964836251,0.03825106775798304,0.8449398534625464,0.9995784849370064,6,5,H KO,H WT,528.3032 -> 339.3032,PG,256355.937195063,192316.49017329,254058.377014208,245595.316528311,179113.84936523,223657.933593662,208195.417663488,174805.392517043,155469.570617509,259304.197937032,303569.18157953,40546.702636721
PG (18:2),0.05067660302240846,7.539054714341441,0.028928346827797213,0.8649445854688715,0.9995784849370064,6,5,H KO,H WT,526.2875 -> 337.2875,PG,290898.558654683,227018.097167869,276666.9230346,278466.375427337,191839.873413161,251360.658935657,255633.002929819,201606.433105471,164536.690521331,274809.901306065,349211.226745584,42479.103424062
PG (18:3),0.023880900628077874,7.9330384442755735,0.006427977604744228,0.9360983362272218,0.9995784849370064,6,5,H KO,H WT,524.2719 -> 335.2719,PG,348785.446228066,278799.120971535,350658.612976087,337944.209350466,206488.651977478,322403.486145028,318614.262573234,234671.517395074,184343.250793428,359609.962036089,449302.936950634,82459.765686009
PG (18:4),0.091311645820359,10.655974156716841,0.09383213553519454,0.7593607728522354,0.9995784849370064,6,5,H KO,H WT,522.2562 -> 333.2562,PG,960278.971984846,1100950.30847172,972887.184753453,1015164.6103521,205683.873626738,979080.711975186,948936.437713676,885081.467865074,171843.713531543,1191058.33447269,954621.580810488,1866382.38717653
PG (20:0),0.0666667563429184,7.041090301899347,0.05004452325420061,0.822985818105323,0.9995784849370064,6,5,H KO,H WT,572.3294 -> 383.3294,PG,171037.27185057,147928.510620143,180711.492797754,170952.97448728,132131.28869629,162878.56988531,160595.551086377,152653.449279766,117371.448120117,150629.28930668,195299.35327144,49674.823730466
PG (20:1),-0.04450532295954498,7.59011138697427,0.02235648332555229,0.8811426616954422,0.9995784849370064,6,5,H KO,H WT,556.3345 -> 367.3345,PG,229555.11572268,192872.53515624,230859.5175781,225173.59570307,182526.51293945,220582.97705089,222321.65173344,222056.99389651,169557.69042968,218650.65783709,283265.45581054,87822.46655273
PG (20:2),-0.6491480318890911,7.613289117002557,4.776991797708661,0.028842463147410066,0.9995784849370064,6,5,H KO,H WT,554.3188 -> 365.3188,PG,220986.018920718,223575.817565906,260615.116882375,227003.774536086,148737.292663658,206929.697387555,289290.260040307,161765.972076485,132086.227905219,224855.359069795,1077307.24658208,36097.96264649
PG (20:3),-0.06562611905544519,7.308110903324033,0.04863011149586782,0.8254643597853322,0.9995784849370064,6,5,H KO,H WT,552.3032 -> 363.3032,PG,226442.135742184,175146.313110315,239102.520690909,225209.196472296,138391.709106455,214544.357849002,225604.911621179,152198.310699472,119969.028320274,216363.335876394,393257.966919025,42947.763397224
PG (20:4),0.09142977716350474,6.823022846230821,0.09407014613307754,0.759065207042985,0.9995784849370064,6,5,H KO,H WT,550.2875 -> 361.2875,PG,162699.350830068,133666.50967416,157545.851196252,173535.772521981,99647.028198265,165203.871581991,151266.429962193,127780.88912956,91680.525939913,143968.267883318,190987.712707488,34791.302307124
PG (20:5),0.08420680816311833,6.651322011582288,0.07980653614058042,0.7775597583025851,0.9995784849370064,6,5,H KO,H WT,548.2719 -> 359.2719,PG,122521.349792433,105364.587768525,111363.808044448,116639.528137185,93359.166198727,111449.646972598,108747.787780767,109325.406921259,82810.50543212,96857.945739726,125400.229492174,52225.883728024
PG (22:0),0.055329167006610044,7.424657489077854,0.034479982090033445,0.8526895475081433,0.9995784849370064,6,5,H KO,H WT,586.3814 -> 397.3814,PG,205008.65539545,167407.6509399,239701.93481441,223272.39782718,158929.19128411,264224.35388172,214119.35449209,179583.21313485,147941.39025864,193475.27429196,286520.32177733,66089.62438966
PG (22:1),0.034711814138235375,7.073402786952489,0.013577325926462436,0.907239023302565,0.9995784849370064,6,5,H KO,H WT,584.3658 -> 395.3658,PG,185355.952941917,154118.708770622,201072.498596235,195687.710754338,137458.809326198,189936.436523502,176172.210632342,154565.671752936,120818.16867076,190030.09020998,238456.077758883,35904.162841793
PG (22:2),0.010902189614126985,8.03582594720901,0.0013400531240108648,0.9707985725430474,0.9995784849370064,6,5,H KO,H WT,582.3501 -> 393.3501,PG,330731.161071795,276152.501953023,336786.529602032,315567.259033109,190987.031921436,325506.881347656,334405.346984833,282462.545562825,187505.149719298,314495.200988714,357615.323181148,125446.689544671
PG (22:4),0.05083560807744202,7.006499585880084,0.029109443896260245,0.8645265816845396,0.9995784849370064,6,5,H KO,H WT,578.3188 -> 389.3188,PG,173612.77203371,151959.771484335,164674.393493659,168250.352539077,123430.746887278,157769.532592684,160989.430053706,140286.689514162,106437.267944332,146367.010864246,218573.531982582,48538.443542446
