,Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Position,nickname,Sex,Genotype,time point,method_type,Blank Subtraction,IDs,Names
1124,[TG(48:1)]_FA16:0,822.8,549.8,356983.9639892578,822.8 -> 549.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,316207.02130126953,"LMGL03014226, LMGL03010017, LMGL03013334, LMGL03013797, LMGL03014631, LMGL03015007, LMGL03015357","TG(14:0/16:0/18:1(9Z))[iso6], TG(16:0/16:0/16:1(9Z))[iso3], TG(12:0/16:0/20:1(11Z))[iso6], TG(13:0/16:0/19:1(9Z))[iso6], TG(14:1(9Z)/16:0/18:0)[iso6], TG(15:0/16:0/17:1(9Z))[iso6], TG(15:1(9Z)/16:0/17:0)[iso6]"
1125,[TG(48:1)]_FA16:1,822.8,551.8,461704.89208984375,822.8 -> 551.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,343631.623046875,"LMGL03013821, LMGL03010017, LMGL03013358, LMGL03014250, LMGL03015031","TG(13:0/16:1(9Z)/19:0)[iso6], TG(16:0/16:0/16:1(9Z))[iso3], TG(12:0/16:1(9Z)/20:0)[iso6], TG(14:0/16:1(9Z)/18:0)[iso6], TG(15:0/16:1(9Z)/17:0)[iso6]"
1126,[TG(48:0)]_FA18:0,824.8,523.8,377375.09130859375,824.8 -> 523.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,347544.6294250488,"LMGL03013839, LMGL03012877, LMGL03014225, LMGL03012669","TG(13:0/17:0/18:0)[iso6], TG(15:0/15:0/18:0)[iso3], TG(14:0/16:0/18:0)[iso6], TG(12:0/18:0/18:0)[iso3]"
1127,[TG(48:0)]_FA18:1,824.8,525.8,361309.9316101074,824.8 -> 525.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,343609.3703613281,,
1128,[TG(48:0)]_FA16:0,824.8,551.8,505868.296875,824.8 -> 551.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,393202.5697021485,"LMGL03010001, LMGL03013796, LMGL03013333, LMGL03014225, LMGL03015006","TG(16:0/16:0/16:0), TG(13:0/16:0/19:0)[iso6], TG(12:0/16:0/20:0)[iso6], TG(14:0/16:0/18:0)[iso6], TG(15:0/16:0/17:0)[iso6]"
1129,[TG(48:0)]_FA16:1,824.8,553.8,188062.153503418,824.8 -> 553.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,165291.1717224121,,
1130,[TG(50:4)]_FA18:0,846.8,545.8,372845.22509765625,846.8 -> 545.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,357164.2840576172,"LMGL03014345, LMGL03013452, LMGL03014749, LMGL03014750","TG(14:0/18:0/18:4(6Z,9Z,12Z,15Z))[iso6], TG(12:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(14:1(9Z)/18:0/18:3(6Z,9Z,12Z))[iso6], TG(14:1(9Z)/18:0/18:3(9Z,12Z,15Z))[iso6]"
1131,[TG(50:4)]_FA18:1,846.8,547.8,568175.7471923828,846.8 -> 547.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,541825.2454223633,"LMGL03014363, LMGL03014364, LMGL03013471, LMGL03014768, LMGL03015455","TG(14:0/18:1(9Z)/18:3(6Z,9Z,12Z))[iso6], TG(14:0/18:1(9Z)/18:3(9Z,12Z,15Z))[iso6], TG(12:0/18:1(9Z)/20:3(8Z,11Z,14Z))[iso6], TG(14:1(9Z)/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(15:1(9Z)/17:2(9Z,12Z)/18:1(9Z))[iso6]"
1132,[TG(50:4)]_FA16:0,846.8,573.8,240450.17504882807,846.8 -> 573.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,220747.47387695312,"LMGL03015707, LMGL03010065, LMGL03012982, LMGL03013344, LMGL03014237, LMGL03010046, LMGL03014642","TG(16:0/16:1(9Z)/18:3(6Z,9Z,12Z))[iso6], TG(16:0/16:1(9Z)/18:3(9Z,12Z,15Z))[iso6], TG(16:0/16:0/18:4(6Z,9Z,12Z,15Z))[iso3], TG(12:0/16:0/22:4(7Z,10Z,13Z,16Z))[iso6], TG(14:0/16:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:0/17:2(9Z,12Z)/17:2(9Z,12Z))[iso3], TG(14:1(9Z)/16:0/20:3(8Z,11Z,14Z))[iso6]"
1133,[TG(50:4)]_FA16:1,846.8,575.8,265902.2604370117,846.8 -> 575.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,229924.7579345703,"LMGL03015707, LMGL03010064, LMGL03010065, LMGL03014261, LMGL03010047, LMGL03013368, LMGL03014666","TG(16:0/16:1(9Z)/18:3(6Z,9Z,12Z))[iso6], TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))[iso3], TG(16:0/16:1(9Z)/18:3(9Z,12Z,15Z))[iso6], TG(14:0/16:1(9Z)/20:3(8Z,11Z,14Z))[iso6], TG(16:1(9Z)/17:1(9Z)/17:2(9Z,12Z))[iso6], TG(12:0/16:1(9Z)/22:3(10Z,13Z,16Z))[iso6], TG(14:1(9Z)/16:1(9Z)/20:2(11Z,14Z))[iso6]"
1134,[TG(50:3)]_FA18:0,848.8,547.8,601187.6213378906,848.8 -> 547.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,577197.8395233154,"LMGL03013451, LMGL03014344, LMGL03014343, LMGL03014748, LMGL03015454","TG(12:0/18:0/20:3(8Z,11Z,14Z))[iso6], TG(14:0/18:0/18:3(9Z,12Z,15Z))[iso6], TG(14:0/18:0/18:3(6Z,9Z,12Z))[iso6], TG(14:1(9Z)/18:0/18:2(9Z,12Z))[iso6], TG(15:1(9Z)/17:2(9Z,12Z)/18:0)[iso6]"
1135,[TG(50:3)]_FA18:1,848.8,549.8,442731.2322998047,848.8 -> 549.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,411713.4702758789,"LMGL03013470, LMGL03010052, LMGL03012850, LMGL03014362, LMGL03015104, LMGL03015433","TG(12:0/18:1(9Z)/20:2(11Z,14Z))[iso6], TG(16:1(9Z)/16:1(9Z)/18:1(9Z))[iso3], TG(14:1(9Z)/18:1(9Z)/18:1(9Z))[iso3], TG(14:0/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(15:0/17:2(9Z,12Z)/18:1(9Z))[iso6], TG(15:1(9Z)/17:1(9Z)/18:1(9Z))[iso6]"
1136,[TG(50:3)]_FA16:0,848.8,575.8,277919.2403564453,848.8 -> 575.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,242067.1981506348,"LMGL03013343, LMGL03014236, LMGL03010039, LMGL03012981, LMGL03014641, LMGL03010054, LMGL03010053","TG(12:0/16:0/22:3(10Z,13Z,16Z))[iso6], TG(14:0/16:0/20:3(8Z,11Z,14Z))[iso6], TG(16:0/17:1(9Z)/17:2(9Z,12Z))[iso6], TG(16:0/16:0/18:3(6Z,9Z,12Z))[iso3], TG(14:1(9Z)/16:0/20:2(11Z,14Z))[iso6], TG(16:0/16:0/18:3(9Z,12Z,15Z))[iso3], TG(16:0/16:1(9Z)/18:2(9Z,12Z))[iso6]"
1137,[TG(50:3)]_FA16:1,848.8,577.8,506006.4567871094,848.8 -> 577.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,404153.4882202149,"LMGL03010040, LMGL03014260, LMGL03013367, LMGL03010052, LMGL03010037, LMGL03010053, LMGL03014665, LMGL03015392","TG(16:1(9Z)/17:0/17:2(9Z,12Z))[iso6], TG(14:0/16:1(9Z)/20:2(11Z,14Z))[iso6], TG(12:0/16:1(9Z)/22:2(13Z,16Z))[iso6], TG(16:1(9Z)/16:1(9Z)/18:1(9Z))[iso3], TG(16:1(9Z)/17:1(9Z)/17:1(9Z))[iso3], TG(16:0/16:1(9Z)/18:2(9Z,12Z))[iso6], TG(14:1(9Z)/16:1(9Z)/20:1(11Z))[iso6], TG(15:1(9Z)/16:1(9Z)/19:1(9Z))[iso6]"
1138,[TG(50:2)]_FA18:0,850.8,549.8,412707.8065185547,850.8 -> 549.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,384069.5846557617,"LMGL03014342, LMGL03013450, LMGL03010042, LMGL03014747, LMGL03015103, LMGL03015432","TG(14:0/18:0/18:2(9Z,12Z))[iso6], TG(12:0/18:0/20:2(11Z,14Z))[iso6], TG(16:1(9Z)/16:1(9Z)/18:0)[iso3], TG(14:1(9Z)/18:0/18:1(9Z))[iso6], TG(15:0/17:2(9Z,12Z)/18:0)[iso6], TG(15:1(9Z)/17:1(9Z)/18:0)[iso6]"
1139,[TG(50:2)]_FA18:1,850.8,551.8,591457.8045654297,850.8 -> 551.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,495948.6572265625,"LMGL03010043, LMGL03012792, LMGL03013469, LMGL03013932, LMGL03014747, LMGL03015082, LMGL03015410","TG(16:0/16:1(9Z)/18:1(9Z))[iso6], TG(14:0/18:1(9Z)/18:1(9Z))[iso3], TG(12:0/18:1(9Z)/20:1(11Z))[iso6], TG(13:0/18:1(9Z)/19:1(9Z))[iso6], TG(14:1(9Z)/18:0/18:1(9Z))[iso6], TG(15:0/17:1(9Z)/18:1(9Z))[iso6], TG(15:1(9Z)/17:0/18:1(9Z))[iso6]"
1140,[TG(50:2)]_FA16:0,850.8,577.8,515227.4989013672,850.8 -> 577.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,415661.091796875,"LMGL03010043, LMGL03010044, LMGL03013342, LMGL03010034, LMGL03010032, LMGL03014235, LMGL03014640, LMGL03015367","TG(16:0/16:1(9Z)/18:1(9Z))[iso6], TG(16:0/16:0/18:2(9Z,12Z))[iso3], TG(12:0/16:0/22:2(13Z,16Z))[iso6], TG(16:0/17:0/17:2(9Z,12Z))[iso6], TG(16:0/17:1(9Z)/17:1(9Z))[iso3], TG(14:0/16:0/20:2(11Z,14Z))[iso6], TG(14:1(9Z)/16:0/20:1(11Z))[iso6], TG(15:1(9Z)/16:0/19:1(9Z))[iso6]"
1141,[TG(50:2)]_FA16:1,850.8,579.8,409050.8850097656,850.8 -> 579.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,313103.1765136719,"LMGL03013366, LMGL03010043, LMGL03014259, LMGL03010033, LMGL03010042, LMGL03014664, LMGL03015041, LMGL03015391","TG(12:0/16:1(9Z)/22:1(11Z))[iso6], TG(16:0/16:1(9Z)/18:1(9Z))[iso6], TG(14:0/16:1(9Z)/20:1(11Z))[iso6], TG(16:1(9Z)/17:0/17:1(9Z))[iso6], TG(16:1(9Z)/16:1(9Z)/18:0)[iso3], TG(14:1(9Z)/16:1(9Z)/20:0)[iso6], TG(15:0/16:1(9Z)/19:1(9Z))[iso6], TG(15:1(9Z)/16:1(9Z)/19:0)[iso6]"
1142,[TG(50:1)]_FA18:0,852.8,551.8,492448.01696777344,852.8 -> 551.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,434821.6520385742,"LMGL03012849, LMGL03010036, LMGL03013449, LMGL03014341, LMGL03013912, LMGL03015081, LMGL03015409","TG(14:1(9Z)/18:0/18:0)[iso3], TG(16:0/16:1(9Z)/18:0)[iso6], TG(12:0/18:0/20:1(11Z))[iso6], TG(14:0/18:0/18:1(9Z))[iso6], TG(13:0/18:0/19:1(9Z))[iso6], TG(15:0/17:1(9Z)/18:0)[iso6], TG(15:1(9Z)/17:0/18:0)[iso6]"
1143,[TG(50:1)]_FA18:1,852.8,553.8,247637.25720214844,852.8 -> 553.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,226343.995513916,"LMGL03013468, LMGL03014341, LMGL03010005, LMGL03010006, LMGL03013931, LMGL03015059","TG(12:0/18:1(9Z)/20:0)[iso6], TG(14:0/18:0/18:1(9Z))[iso6], TG(16:0/16:0/18:1(11E)), TG(16:0/16:0/18:1(9Z)), TG(13:0/18:1(9Z)/19:0)[iso6], TG(15:0/17:0/18:1(9Z))[iso6]"
1144,[TG(50:0)]_FA16:0,852.8,579.8,406036.64990234375,852.8 -> 579.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,314755.0234985352,"LMGL03013804, LMGL03015015, LMGL03013340, LMGL03010023, LMGL03014233, LMGL03010004","TG(13:0/16:0/21:0)[iso6], TG(15:0/16:0/19:0)[iso6], TG(12:0/16:0/22:0)[iso6], TG(16:0/17:0/17:0)[iso3], TG(14:0/16:0/20:0)[iso6], TG(16:0/16:0/18:0)"
1145,[TG(50:0)]_FA16:1,852.8,581.8,232856.6381225586,852.8 -> 581.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,203273.21585083008,,
1146,[TG(52:6)]_FA18:0,868.7,567.7,286808.28063964844,868.7 -> 567.7,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,258365.03860473636,"LMGL03013461, LMGL03014759","TG(12:0/18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(14:1(9Z)/18:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]"
1147,[TG(52:6)]_FA18:1,868.7,569.7,221895.6560974121,868.7 -> 569.7,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,0.0,"LMGL03014373, LMGL03013480, LMGL03014778, LMGL03015819","TG(14:0/18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(12:0/18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(14:1(9Z)/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:1(9Z)/18:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6]"
1148,[TG(52:6)]_FA16:0,868.7,595.7,210191.9925842285,868.7 -> 595.7,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,187263.3709716797,"LMGL03015732, LMGL03015735, LMGL03010192, LMGL03010215, LMGL03012985, LMGL03014246, LMGL03014651","TG(16:0/18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:0/18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))[iso6], TG(16:0/18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z))[iso3], TG(16:0/16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(16:0/18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z))[iso3], TG(14:0/16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(14:1(9Z)/16:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]"
1149,[TG(52:6)]_FA16:1,868.7,597.7,191362.4933166504,868.7 -> 597.7,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,173661.8921508789,"LMGL03014270, LMGL03010193, LMGL03010215, LMGL03010214, LMGL03014675, LMGL03015819, LMGL03015822","TG(14:0/16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:1(9Z)/18:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6], TG(16:0/16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso3], TG(14:1(9Z)/16:1(9Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:1(9Z)/18:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:1(9Z)/18:2(9Z,12Z)/18:3(6Z,9Z,12Z))[iso6]"
1150,[TG(52:5)]_FA18:0,870.8,569.8,211714.71502685547,870.8 -> 569.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,0.0,"LMGL03014353, LMGL03013460, LMGL03014758, LMGL03015815","TG(14:0/18:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(12:0/18:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(14:1(9Z)/18:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:1(9Z)/18:0/18:4(6Z,9Z,12Z,15Z))[iso6]"
1151,[TG(52:5)]_FA18:1,870.8,571.8,282652.1622314453,870.8 -> 571.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,234089.21824646,"LMGL03015728, LMGL03014372, LMGL03010140, LMGL03010168, LMGL03013479, LMGL03014777, LMGL03015818","TG(16:0/18:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6], TG(14:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(17:2(9Z,12Z)/17:2(9Z,12Z)/18:1(9Z))[iso3], TG(16:1(9Z)/18:1(9Z)/18:3(9Z,12Z,15Z))[iso6], TG(12:0/18:1(9Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(14:1(9Z)/18:1(9Z)/20:3(8Z,11Z,14Z))[iso6], TG(16:1(9Z)/18:1(9Z)/18:3(6Z,9Z,12Z))[iso6]"
1152,[TG(52:5)]_FA16:0,870.8,597.8,170213.3914489746,870.8 -> 597.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,150866.31016540527,"LMGL03014650, LMGL03015728, LMGL03015731, LMGL03014245, LMGL03010186, LMGL03010185, LMGL03010167","TG(14:1(9Z)/16:0/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:0/18:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:0/18:2(9Z,12Z)/18:3(6Z,9Z,12Z))[iso6], TG(14:0/16:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:0/16:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso3], TG(16:0/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:0/18:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6]"
1153,[TG(52:5)]_FA16:1,870.8,599.8,931541.3103637696,870.8 -> 599.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,909651.8088989258,"LMGL03014674, LMGL03010163, LMGL03014269, LMGL03010185, LMGL03010168, LMGL03010184, LMGL03015815, LMGL03015818","TG(14:1(9Z)/16:1(9Z)/22:3(10Z,13Z,16Z))[iso6], TG(16:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3], TG(14:0/16:1(9Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:0/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:1(9Z)/18:1(9Z)/18:3(9Z,12Z,15Z))[iso6], TG(16:1(9Z)/16:1(9Z)/20:3(8Z,11Z,14Z))[iso3], TG(16:1(9Z)/18:0/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:1(9Z)/18:1(9Z)/18:3(6Z,9Z,12Z))[iso6]"
