,Parent_Ion_new,Product_Ion_new,Intensity_new,Transition_new,Class,Sample_ID_new,Sample Name_new,Cage,Position_new,Dilution Factor,Sex2,Sex_new,Genotype_new,Brain Region,method_type_new,Blank Subtraction_new,subclasses,chain_length,saturation,between_parenthese,FA_Chain,Start,End,_tmpkey_new,Parent_Ion_old,Product_Ion_old,Intensity_old,Transition_old,Sample_ID_old,Sample Name_old,Position_old,nickname,Sex_old,Genotype_old,time point,method_type_old,Blank Subtraction_old,_tmpkey_old,Lipid
2031,428.4,85.1,3204698.263671875,428.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(18:0),None,428.4,85.1,CAR1427.0283.0,428.4,85.1,6482335.626220703,428.4 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,5420090.456745148,CAR1427.0283.0,CAR(18:0)
2100,448.3,85.1,571720.7197265625,448.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,4,(20:4),None,448.3,85.1,CAR1494.0283.0,448.3,85.1,1267969.9151611328,448.3 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,980931.5352783204,CAR1494.0283.0,CAR(20:4)
2165,452.4,85.1,542018.3017578125,452.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(20:2),None,452.4,85.1,CAR1507.0283.0,452.4,85.1,1386486.881225586,452.4 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1102882.0004386902,CAR1507.0283.0,CAR(20:2)
2230,454.4,85.1,602583.583984375,454.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(20:1),None,454.4,85.1,CAR1514.0283.0,454.4,85.1,1385807.142211914,454.4 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1100760.6635513306,CAR1514.0283.0,CAR(20:1)
2295,456.4,85.1,631235.4873046875,456.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(20:0),None,456.4,85.1,CAR1521.0283.0,456.4,85.1,1469895.6339111328,456.4 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1177517.5937919617,CAR1521.0283.0,CAR(20:0)
2362,472.4,85.1,318534.2431640625,472.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,6,(22:6),None,472.4,85.1,CAR1574.0283.0,472.4,85.1,1041805.2813110352,472.4 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,901487.3715629578,CAR1574.0283.0,CAR(22:6)
2427,474.4,85.1,303855.1018066406,474.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,5,(22:5),None,474.4,85.1,CAR1581.0283.0,474.4,85.1,1027983.7938842772,474.4 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,890174.0239028931,CAR1581.0283.0,CAR(22:5)
2492,476.4,85.1,317976.1638183594,476.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,4,(22:4),None,476.4,85.1,CAR1587.0283.0,476.4,85.1,1126353.620300293,476.4 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,973097.4693565367,CAR1587.0283.0,CAR(22:4)
2557,480.4,85.1,311783.7636947632,480.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(22:2),None,480.4,85.1,CAR1601.0283.0,480.4,85.1,1193675.4536132812,480.4 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1012010.879989624,CAR1601.0283.0,CAR(22:2)
2622,484.4,85.1,246921.7578163147,484.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(22:0),None,484.4,85.1,CAR1614.0283.0,484.4,85.1,988227.7280578612,484.4 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,842378.0179405212,CAR1614.0283.0,CAR(22:0)
2687,540.5,85.1,310939.6223144531,540.5 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(26:0),None,540.5,85.1,CAR1801.0283.0,540.5,85.1,1051320.6752319336,540.5 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,837222.299987793,CAR1801.0283.0,CAR(26:0)
2688,342.3,264.4,33699.42239379883,342.3 -> 264.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:1/2:0),None,342.3,264.4,Cer1141.0881.0,342.3,264.3,3969.760269165039,342.3 -> 264.3,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,548.4000244140625,Cer1141.0881.0,Cer(d18:1/2:0)
2769,422.3,264.4,32758.722259521484,422.3 -> 264.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,CerP,CerP,,(d18:1/2:0),None,422.3,264.4,Cer1407.0881.0,422.3,264.3,4243.380332946777,422.3 -> 264.3,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,801.6400871276855,Cer1407.0881.0,CerP(d18:1/2:0)
2930,480.4,206.4,16321.661117553713,480.4 -> 206.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,"(d14:2(4E,6E)",None,480.4,206.4,Cer1601.0688.0,480.4,206.3,119912.78817749023,480.4 -> 206.3,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,107706.60735321043,Cer1601.0687.0,"Cer(d14:2(4E,6E)/16:0)"
3011,482.5,264.4,25365.0817565918,482.5 -> 264.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:1/12:0),None,482.5,264.4,Cer1608.0881.0,482.5,264.3,7591.020538330078,482.5 -> 264.3,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,4088.4202880859375,Cer1608.0881.0,Cer(d18:1/12:0)
3252,506.4,264.4,33248.70245361328,506.4 -> 264.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,CerP,CerP,,(d18:1/8:0),None,506.4,264.4,Cer1687.0881.0,506.4,264.3,7437.220550537109,506.4 -> 264.3,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,3922.2603034973145,Cer1687.0881.0,CerP(d18:1/8:0)
3333,506.5,206.4,13665.06095123291,506.5 -> 206.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,"(d14:2(4E,6E)",None,506.5,206.4,Cer1688.0688.0,506.5,206.3,148472.2914199829,506.5 -> 206.3,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,134109.67031860352,Cer1688.0687.0,"Cer(d14:2(4E,6E)/18:1(9Z))"
3414,508.5,262.4,21388.84144592285,508.5 -> 262.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:2/14:0),None,508.5,262.4,Cer1695.0874.0,508.5,262.4,8495.920574188232,508.5 -> 262.4,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,4880.080307006836,Cer1695.0874.0,Cer(d18:2/14:0)
3575,512.5,266.4,50856.26361083984,512.5 -> 266.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:0/14:0),None,512.5,266.4,Cer1708.0887.0,512.5,266.4,5076.160377502441,512.5 -> 266.4,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,1545.1601295471191,Cer1708.0887.0,Cer(d18:0/14:0)
3898,534.5,206.4,18195.26148223877,534.5 -> 206.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,"(d14:2(4E,6E)",None,534.5,206.4,Cer1781.0688.0,534.5,206.3,209008.81243896484,534.5 -> 206.3,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,194731.751411438,Cer1781.0687.0,"Cer(d14:2(4E,6E)/20:1(11Z))"
3979,536.5,262.4,23382.72171020508,536.5 -> 262.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:2/16:0),None,536.5,262.4,Cer1788.0874.0,536.5,262.4,18109.32155227661,536.5 -> 262.4,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,14425.221271514893,Cer1788.0874.0,Cer(d18:2/16:0)
4060,538.5,264.4,38499.72271728516,538.5 -> 264.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:1/16:0),None,538.5,264.4,Cer1795.0881.0,538.5,264.3,75173.68560028076,538.5 -> 264.3,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,69680.16527938843,Cer1795.0881.0,Cer(d18:1/16:0)
4141,540.5,266.4,84237.666015625,540.5 -> 266.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:0/16:0),None,540.5,266.4,Cer1801.0887.0,540.5,266.4,40054.14290237427,540.5 -> 266.4,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,35919.74261856079,Cer1801.0887.0,Cer(d18:0/16:0)
4466,562.4,264.4,32613.582275390625,562.4 -> 264.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,CerP,CerP,,(d18:1/12:0),None,562.4,264.4,Cer1874.0881.0,562.4,264.3,91240.66621017456,562.4 -> 264.3,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,87678.36595153809,Cer1874.0881.0,CerP(d18:1/12:0)
4547,562.5,262.4,23899.32177734375,562.5 -> 262.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:2/18:1),None,562.5,262.4,Cer1875.0874.0,562.5,262.4,23423.34203338623,562.5 -> 262.4,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,19752.701778411865,Cer1875.0874.0,Cer(d18:2/18:1)
4628,564.5,264.4,31446.062286376957,564.5 -> 264.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:1/18:1(9Z),None,564.5,264.4,Cer1881.0881.0,564.5,264.3,91641.66716384888,564.5 -> 264.3,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,88069.60691070557,Cer1881.0881.0,Cer(d18:1/18:1(9Z))
4709,566.6,264.4,28675.522033691406,566.6 -> 264.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:1/18:0),None,566.6,264.4,Cer1888.0881.0,566.6,264.3,92057.2255859375,566.6 -> 264.3,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,88482.3853263855,Cer1888.0881.0,Cer(d18:1/18:0)
4790,568.6,266.4,40826.322814941406,568.6 -> 266.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:0/18:0),None,568.6,266.4,Cer1895.0887.0,568.6,266.4,58899.5630569458,568.6 -> 266.4,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,55292.32280731201,Cer1895.0887.0,Cer(d18:0/18:0)
5196,590.5,264.4,43235.70327758789,590.5 -> 264.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,CerP,CerP,,(d18:1/14:0),None,590.5,264.4,Cer1968.0881.0,590.5,264.3,11618.200832366943,590.5 -> 264.3,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,8060.820579528809,Cer1968.0881.0,CerP(d18:1/14:0)
5277,590.6,262.4,27688.74201965332,590.6 -> 262.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:2/20:1),None,590.6,262.4,Cer1968.0874.0,590.6,262.4,11505.720741271973,590.6 -> 262.4,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,7989.360492706299,Cer1968.0874.0,Cer(d18:2/20:1)
5358,592.6,262.4,27019.16209411621,592.6 -> 262.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:2/20:0),None,592.6,262.4,Cer1975.0874.0,592.6,262.4,11560.340782165527,592.6 -> 262.4,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,7908.200534820557,Cer1975.0874.0,Cer(d18:2/20:0)
5439,594.6,264.4,29753.861755371094,594.6 -> 264.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:1/20:0),None,594.6,264.4,Cer1982.0881.0,594.6,264.3,10111.300632476808,594.6 -> 264.3,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,6546.180393218994,Cer1982.0881.0,Cer(d18:1/20:0)
5520,596.6,266.4,40378.80267333984,596.6 -> 266.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:0/20:0),None,596.6,266.4,Cer1988.0887.0,596.6,266.4,7176.500476837158,596.6 -> 266.4,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,3622.6402320861816,Cer1988.0887.0,Cer(d18:0/20:0)
5846,618.5,264.4,23629.98181152344,618.5 -> 264.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,CerP,CerP,,(d18:1/16:0),None,618.5,264.4,Cer2061.0881.0,618.5,264.3,15802.60120010376,618.5 -> 264.3,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,11819.680912017822,Cer2061.0881.0,CerP(d18:1/16:0)
5927,620.5,266.4,135065.88647460938,620.5 -> 266.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,CerP,CerP,,(d18:0/16:0),None,620.5,266.4,Cer2068.0887.0,620.5,266.4,8757.320594787598,620.5 -> 266.4,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,4914.640342712402,Cer2068.0887.0,CerP(d18:0/16:0)
6008,620.6,262.4,32058.42248535156,620.6 -> 262.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:2/22:0),None,620.6,262.4,Cer2068.0874.0,620.6,262.4,17868.881313323975,620.6 -> 262.4,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,13796.241031646729,Cer2068.0874.0,Cer(d18:2/22:0)
