File Path,File Name,Time,Dose,Bacteria
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T6-0-r001.mzML,Bsub-A-T6-0-r001,T6,0,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T2-0-r001.mzML,Bsub-C-T2-0-r001,T2,0,Bsub
Projects/DTRA/mzml/done/ecoli_done/Ecoli_T2_control_rep1.mzML,Ecoli_T2_control_rep1,T2,,Ecoli
Projects/DTRA/mzml/done/ecoli_done/Ecoli_T0_rep3.mzML,Ecoli_T0_rep3,T0,,Ecoli
Projects/DTRA/mzml/done/ecoli_done/Ecoli_T2_GEN_rep3.mzML,Ecoli_T2_GEN_rep3,T2,,Ecoli
Projects/DTRA/mzml/done/ecoli_done/Ecoli_T2_GEN_rep2.mzML,Ecoli_T2_GEN_rep2,T2,,Ecoli
Projects/DTRA/mzml/done/ecoli_done/Ecoli_T0_rep2.mzML,Ecoli_T0_rep2,T0,,Ecoli
Projects/DTRA/mzml/done/ecoli_done/Ecoli_T2_control_rep2.mzML,Ecoli_T2_control_rep2,T2,,Ecoli
Projects/DTRA/mzml/done/ecoli_done/Ecoli_T2_control_rep3.mzML,Ecoli_T2_control_rep3,T2,,Ecoli
Projects/DTRA/mzml/done/ecoli_done/Ecoli_T0_rep1.mzML,Ecoli_T0_rep1,T0,,Ecoli
Projects/DTRA/mzml/done/ecoli_done/Ecoli_T2_GEN_rep1.mzML,Ecoli_T2_GEN_rep1,T2,,Ecoli
Projects/DTRA/mzml/done/paeru_done/Paeru-C-T4-0-BDL-r002.mzML,Paeru-C-T4-0-BDL-r002,T4,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-C-T4-16-BDL-r003.mzML,Paeru-C-T4-16-BDL-r003,T4,16,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-C-T0-0-BDL-r001.mzML,Paeru-C-T0-0-BDL-r001,T0,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-A-T4-0-BDL-r003.mzML,Paeru-A-T4-0-BDL-r003,T4,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-A-T4-16-BDL-r001.mzML,Paeru-A-T4-16-BDL-r001,T4,16,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-B-T0-0-BDL-r003.mzML,Paeru-B-T0-0-BDL-r003,T0,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-A-T4-0-BDL-r002.mzML,Paeru-A-T4-0-BDL-r002,T4,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-B-T4-0-BDL-r001.mzML,Paeru-B-T4-0-BDL-r001,T4,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-A-T0-0-BDL-r001.mzML,Paeru-A-T0-0-BDL-r001,T0,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-B-T0-0-BDL-r002.mzML,Paeru-B-T0-0-BDL-r002,T0,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-C-T4-0-BDL-r003.mzML,Paeru-C-T4-0-BDL-r003,T4,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-C-T4-16-BDL-r002.mzML,Paeru-C-T4-16-BDL-r002,T4,16,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-B-T4-16-BDL-r001.mzML,Paeru-B-T4-16-BDL-r001,T4,16,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-B-T4-0-BDL-r003.mzML,Paeru-B-T4-0-BDL-r003,T4,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-A-T4-16-BDL-r002.mzML,Paeru-A-T4-16-BDL-r002,T4,16,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-A-T0-0-BDL-r003.mzML,Paeru-A-T0-0-BDL-r003,T0,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-C-T4-0-BDL-r001.mzML,Paeru-C-T4-0-BDL-r001,T4,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-C-T0-0-BDL-r002.mzML,Paeru-C-T0-0-BDL-r002,T0,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-B-T4-16-BDL-r003.mzML,Paeru-B-T4-16-BDL-r003,T4,16,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-C-T4-16-BDL-r001.mzML,Paeru-C-T4-16-BDL-r001,T4,16,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-C-T0-0-BDL-r003.mzML,Paeru-C-T0-0-BDL-r003,T0,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-B-T4-16-BDL-r002.mzML,Paeru-B-T4-16-BDL-r002,T4,16,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-A-T4-0-BDL-r001.mzML,Paeru-A-T4-0-BDL-r001,T4,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-B-T4-0-BDL-r002.mzML,Paeru-B-T4-0-BDL-r002,T4,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-A-T4-16-BDL-r003.mzML,Paeru-A-T4-16-BDL-r003,T4,16,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-A-T0-0-BDL-r002.mzML,Paeru-A-T0-0-BDL-r002,T0,0,Paeru
Projects/DTRA/mzml/done/paeru_done/Paeru-B-T0-0-BDL-r001.mzML,Paeru-B-T0-0-BDL-r001,T0,0,Paeru
