,Unnamed: 0,Class,Transition,Lipid,LipidInfo,IsInNew
475,1169,TAG,878.8 -> 607.8,[TG(52:1)]_FA16:1,"({'[TG(52:1)]'}, 'FA16:1')",False
476,1170,TAG,880.8 -> 579.8,[TG(52:0)]_FA18:0,"({'[TG(52:0)]'}, 'FA18:0')",False
477,1171,TAG,880.8 -> 581.8,[TG(52:0)]_FA18:1,"({'[TG(52:0)]'}, 'FA18:1')",False
478,1172,TAG,880.8 -> 607.8,[TG(52:0)]_FA16:0,"({'[TG(52:0)]'}, 'FA16:0')",False
479,1173,TAG,880.8 -> 609.8,[TG(52:0)]_FA16:1,"({'[TG(52:0)]'}, 'FA16:1')",False
480,1174,TAG,892.7 -> 591.7,[TG(54:8)]_FA18:0,"({'[TG(54:8)]'}, 'FA18:0')",False
481,1175,TAG,892.7 -> 593.7,[TG(54:8)]_FA18:1,"({'[TG(54:8)]'}, 'FA18:1')",False
482,1176,TAG,892.7 -> 619.7,[TG(54:8)]_FA16:0,"({'[TG(54:8)]'}, 'FA16:0')",False
483,1177,TAG,892.7 -> 621.7,[TG(54:8)]_FA16:1,"({'[TG(54:8)]'}, 'FA16:1')",False
484,1178,TAG,894.8 -> 593.8,[TG(54:7)]_FA18:0,"({'[TG(54:7)]'}, 'FA18:0')",False
485,1179,TAG,894.8 -> 595.8,[TG(54:7)]_FA18:1,"({'[TG(54:7)]'}, 'FA18:1')",False
486,1180,TAG,894.8 -> 621.8,[TG(54:7)]_FA16:0,"({'[TG(54:7)]'}, 'FA16:0')",False
487,1181,TAG,894.8 -> 623.8,[TG(54:7)]_FA16:1,"({'[TG(54:7)]'}, 'FA16:1')",False
496,1190,TAG,900.8 -> 599.8,[TG(54:4)]_FA18:0,"({'[TG(54:4)]'}, 'FA18:0')",False
497,1191,TAG,900.8 -> 601.8,[TG(54:4)]_FA18:1,"({'[TG(54:4)]'}, 'FA18:1')",False
498,1192,TAG,900.8 -> 627.8,[TG(54:4)]_FA16:0,"({'[TG(54:4)]'}, 'FA16:0')",False
499,1193,TAG,900.8 -> 629.8,[TG(54:4)]_FA16:1,"({'[TG(54:4)]'}, 'FA16:1')",False
500,1194,TAG,902.8 -> 601.8,[TG(54:3)]_FA18:0,"({'[TG(54:3)]'}, 'FA18:0')",False
501,1195,TAG,902.8 -> 603.8,[TG(54:3)]_FA18:1,"({'[TG(54:3)]'}, 'FA18:1')",False
502,1196,TAG,902.8 -> 629.8,[TG(54:3)]_FA16:0,"({'[TG(54:3)]'}, 'FA16:0')",False
503,1197,TAG,902.8 -> 631.8,[TG(54:3)]_FA16:1,"({'[TG(54:3)]'}, 'FA16:1')",False
504,1198,TAG,904.8 -> 603.8,[TG(54:2)]_FA18:0,"({'[TG(54:2)]'}, 'FA18:0')",False
505,1199,TAG,904.8 -> 605.8,[TG(54:2)]_FA18:1,"({'[TG(54:2)]'}, 'FA18:1')",False
506,1200,TAG,904.8 -> 631.8,[TG(54:2)]_FA16:0,"({'[TG(54:2)]'}, 'FA16:0')",False
507,1201,TAG,904.8 -> 633.8,[TG(54:2)]_FA16:1,"({'[TG(54:2)]'}, 'FA16:1')",False
508,1202,TAG,906.8 -> 605.8,[TG(54:1)]_FA18:0,"({'[TG(54:1)]'}, 'FA18:0')",False
509,1203,TAG,906.8 -> 607.8,[TG(54:1)]_FA18:1,"({'[TG(54:1)]'}, 'FA18:1')",False
510,1204,TAG,906.8 -> 633.8,[TG(54:1)]_FA16:0,"({'[TG(54:1)]'}, 'FA16:0')",False
511,1205,TAG,906.8 -> 635.8,[TG(54:1)]_FA16:1,"({'[TG(54:1)]'}, 'FA16:1')",False
512,1206,TAG,908.9 -> 607.9,[TG(54:0)]_FA18:0,"({'[TG(54:0)]'}, 'FA18:0')",False
513,1207,TAG,908.9 -> 609.9,[TG(54:0)]_FA18:1,"({'[TG(54:0)]'}, 'FA18:1')",False
514,1208,TAG,908.9 -> 635.9,[TG(54:0)]_FA16:0,"({'[TG(54:0)]'}, 'FA16:0')",False
515,1209,TAG,908.9 -> 637.9,[TG(54:0)]_FA16:1,"({'[TG(54:0)]'}, 'FA16:1')",False
516,1210,TAG,920.8 -> 619.8,[TG(56:8)]_FA18:0,"({'[TG(56:8)]'}, 'FA18:0')",False
517,1211,TAG,920.8 -> 647.8,[TG(56:8)]_FA16:0,"({'[TG(56:8)]'}, 'FA16:0')",False
518,1212,TAG,920.8 -> 649.8,[TG(56:8)]_FA16:1,"({'[TG(56:8)]'}, 'FA16:1')",False
519,1213,TAG,922.8 -> 621.8,[TG(56:7)]_FA18:0,"({'[TG(56:7)]'}, 'FA18:0')",False
520,1214,TAG,922.8 -> 649.8,[TG(56:7)]_FA16:0,"({'[TG(56:7)]'}, 'FA16:0')",False
521,1215,TAG,922.8 -> 651.8,[TG(56:7)]_FA16:1,"({'[TG(56:7)]'}, 'FA16:1')",False
525,1219,TAG,926.8 -> 625.8,[TG(56:5)]_FA18:0,"({'[TG(56:5)]'}, 'FA18:0')",False
526,1220,TAG,926.8 -> 653.8,[TG(56:5)]_FA16:0,"({'[TG(56:5)]'}, 'FA16:0')",False
527,1221,TAG,926.8 -> 655.8,[TG(56:5)]_FA16:1,"({'[TG(56:5)]'}, 'FA16:1')",False
528,1222,TAG,928.8 -> 627.8,[TG(56:4)]_FA18:0,"({'[TG(56:4)]'}, 'FA18:0')",False
529,1223,TAG,928.8 -> 655.8,[TG(56:4)]_FA16:0,"({'[TG(56:4)]'}, 'FA16:0')",False
530,1224,TAG,928.8 -> 657.8,[TG(56:4)]_FA16:1,"({'[TG(56:4)]'}, 'FA16:1')",False
531,1225,TAG,930.8 -> 629.8,[TG(56:3)]_FA18:0,"({'[TG(56:3)]'}, 'FA18:0')",False
532,1226,TAG,930.8 -> 657.8,[TG(56:3)]_FA16:0,"({'[TG(56:3)]'}, 'FA16:0')",False
533,1227,TAG,930.8 -> 659.8,[TG(56:3)]_FA16:1,"({'[TG(56:3)]'}, 'FA16:1')",False
534,1228,TAG,932.9 -> 631.9,[TG(56:2)]_FA18:0,"({'[TG(56:2)]'}, 'FA18:0')",False
535,1229,TAG,932.9 -> 659.9,[TG(56:2)]_FA16:0,"({'[TG(56:2)]'}, 'FA16:0')",False
536,1230,TAG,932.9 -> 661.9,[TG(56:2)]_FA16:1,"({'[TG(56:2)]'}, 'FA16:1')",False
537,1231,TAG,934.9 -> 633.9,[TG(56:1)]_FA18:0,"({'[TG(56:1)]'}, 'FA18:0')",False
538,1232,TAG,934.9 -> 661.9,[TG(56:1)]_FA16:0,"({'[TG(56:1)]'}, 'FA16:0')",False
539,1233,TAG,934.9 -> 663.9,[TG(56:1)]_FA16:1,"({'[TG(56:1)]'}, 'FA16:1')",False
540,1234,TAG,936.9 -> 635.9,[TG(56:0)]_FA18:0,"({'[TG(56:0)]'}, 'FA18:0')",False
541,1235,TAG,936.9 -> 663.9,[TG(56:0)]_FA16:0,"({'[TG(56:0)]'}, 'FA16:0')",False
542,1236,TAG,936.9 -> 665.9,[TG(56:0)]_FA16:1,"({'[TG(56:0)]'}, 'FA16:1')",False
543,1237,TAG,944.8 -> 643.8,[TG(58:10)]_FA18:0,"({'[TG(58:10)]'}, 'FA18:0')",False
544,1238,TAG,944.8 -> 671.8,[TG(58:10)]_FA16:0,"({'[TG(58:10)]'}, 'FA16:0')",False
545,1239,TAG,944.8 -> 673.8,[TG(58:10)]_FA16:1,"({'[TG(58:10)]'}, 'FA16:1')",False
546,1240,TAG,946.8 -> 645.8,[TG(58:9)]_FA18:0,"({'[TG(58:9)]'}, 'FA18:0')",False
547,1241,TAG,946.8 -> 673.8,[TG(58:9)]_FA16:0,"({'[TG(58:9)]'}, 'FA16:0')",False
548,1242,TAG,946.8 -> 675.8,[TG(58:9)]_FA16:1,"({'[TG(58:9)]'}, 'FA16:1')",False
549,1243,TAG,948.8 -> 647.8,[TG(58:8)]_FA18:0,"({'[TG(58:8)]'}, 'FA18:0')",False
550,1244,TAG,948.8 -> 675.8,[TG(58:8)]_FA16:0,"({'[TG(58:8)]'}, 'FA16:0')",False
551,1245,TAG,948.8 -> 677.8,[TG(58:8)]_FA16:1,"({'[TG(58:8)]'}, 'FA16:1')",False
552,1246,TAG,950.8 -> 649.8,[TG(58:7)]_FA18:0,"({'[TG(58:7)]'}, 'FA18:0')",False
553,1247,TAG,950.8 -> 677.8,[TG(58:7)]_FA16:0,"({'[TG(58:7)]'}, 'FA16:0')",False
554,1248,TAG,950.8 -> 679.8,[TG(58:7)]_FA16:1,"({'[TG(58:7)]'}, 'FA16:1')",False
555,1249,TAG,952.8 -> 651.8,[TG(58:6)]_FA18:0,"({'[TG(58:6)]'}, 'FA18:0')",False
556,1250,TAG,952.8 -> 679.8,[TG(58:6)]_FA16:0,"({'[TG(58:6)]'}, 'FA16:0')",False
557,1251,TAG,952.8 -> 681.8,[TG(58:6)]_FA16:1,"({'[TG(58:6)]'}, 'FA16:1')",False
558,1252,TAG,954.8 -> 653.8,[TG(58:5)]_FA18:0,"({'[TG(58:5)]'}, 'FA18:0')",False
559,1253,TAG,954.8 -> 681.8,[TG(58:5)]_FA16:0,"({'[TG(58:5)]'}, 'FA16:0')",False
560,1254,TAG,954.8 -> 683.8,[TG(58:5)]_FA16:1,"({'[TG(58:5)]'}, 'FA16:1')",False
561,1255,TAG,956.9 -> 655.9,[TG(58:4)]_FA18:0,"({'[TG(58:4)]'}, 'FA18:0')",False
562,1256,TAG,956.9 -> 683.9,[TG(58:4)]_FA16:0,"({'[TG(58:4)]'}, 'FA16:0')",False
563,1257,TAG,956.9 -> 685.9,[TG(58:4)]_FA16:1,"({'[TG(58:4)]'}, 'FA16:1')",False
564,1258,TAG,958.9 -> 657.9,[TG(58:3)]_FA18:0,"({'[TG(58:3)]'}, 'FA18:0')",False
565,1259,TAG,958.9 -> 685.9,[TG(58:3)]_FA16:0,"({'[TG(58:3)]'}, 'FA16:0')",False
566,1260,TAG,958.9 -> 687.9,[TG(58:3)]_FA16:1,"({'[TG(58:3)]'}, 'FA16:1')",False
567,1261,TAG,960.9 -> 659.9,[TG(58:2)]_FA18:0,"({'[TG(58:2)]'}, 'FA18:0')",False
568,1262,TAG,960.9 -> 687.9,[TG(58:2)]_FA16:0,"({'[TG(58:2)]'}, 'FA16:0')",False
569,1263,TAG,960.9 -> 689.9,[TG(58:2)]_FA16:1,"({'[TG(58:2)]'}, 'FA16:1')",False
570,1264,TAG,962.9 -> 661.9,[TG(58:1)]_FA18:0,"({'[TG(58:1)]'}, 'FA18:0')",False
571,1265,TAG,962.9 -> 689.9,[TG(58:1)]_FA16:0,"({'[TG(58:1)]'}, 'FA16:0')",False
572,1266,TAG,962.9 -> 691.9,[TG(58:1)]_FA16:1,"({'[TG(58:1)]'}, 'FA16:1')",False
573,1267,TAG,964.9 -> 663.9,[TG(58:0)]_FA18:0,"({'[TG(58:0)]'}, 'FA18:0')",False
574,1268,TAG,964.9 -> 691.9,[TG(58:0)]_FA16:0,"({'[TG(58:0)]'}, 'FA16:0')",False
575,1269,TAG,964.9 -> 693.9,[TG(58:0)]_FA16:1,"({'[TG(58:0)]'}, 'FA16:1')",False
576,1270,TAG,968.9 -> 667.9,[TG(60:12)]_FA18:0,"({'[TG(60:12)]'}, 'FA18:0')",False
577,1271,TAG,968.9 -> 695.9,[TG(60:12)]_FA16:0,"({'[TG(60:12)]'}, 'FA16:0')",False
578,1272,TAG,968.9 -> 697.9,[TG(60:12)]_FA16:1,"({'[TG(60:12)]'}, 'FA16:1')",False
579,1273,TAG,970.9 -> 669.9,[TG(60:11)]_FA18:0,"({'[TG(60:11)]'}, 'FA18:0')",False
580,1274,TAG,970.9 -> 697.9,[TG(60:11)]_FA16:0,"({'[TG(60:11)]'}, 'FA16:0')",False
581,1275,TAG,970.9 -> 699.9,[TG(60:11)]_FA16:1,"({'[TG(60:11)]'}, 'FA16:1')",False
582,1276,TAG,972.9 -> 671.9,[TG(60:10)]_FA18:0,"({'[TG(60:10)]'}, 'FA18:0')",False
583,1277,TAG,972.9 -> 699.9,[TG(60:10)]_FA16:0,"({'[TG(60:10)]'}, 'FA16:0')",False
584,1278,TAG,972.9 -> 701.9,[TG(60:10)]_FA16:1,"({'[TG(60:10)]'}, 'FA16:1')",False
585,1279,TAG,974.9 -> 673.9,[TG(60:9)]_FA18:0,"({'[TG(60:9)]'}, 'FA18:0')",False
586,1280,TAG,974.9 -> 701.9,[TG(60:9)]_FA16:0,"({'[TG(60:9)]'}, 'FA16:0')",False
587,1281,TAG,974.9 -> 703.9,[TG(60:9)]_FA16:1,"({'[TG(60:9)]'}, 'FA16:1')",False
588,1282,TAG,976.9 -> 675.9,[TG(60:8)]_FA18:0,"({'[TG(60:8)]'}, 'FA18:0')",False
589,1283,TAG,976.9 -> 703.9,[TG(60:8)]_FA16:0,"({'[TG(60:8)]'}, 'FA16:0')",False
590,1284,TAG,976.9 -> 705.9,[TG(60:8)]_FA16:1,"({'[TG(60:8)]'}, 'FA16:1')",False
591,1285,TAG,978.9 -> 677.9,[TG(60:7)]_FA18:0,"({'[TG(60:7)]'}, 'FA18:0')",False
592,1286,TAG,978.9 -> 705.9,[TG(60:7)]_FA16:0,"({'[TG(60:7)]'}, 'FA16:0')",False
593,1287,TAG,978.9 -> 707.9,[TG(60:7)]_FA16:1,"({'[TG(60:7)]'}, 'FA16:1')",False
594,1288,TAG,980.9 -> 679.9,[TG(60:6)]_FA18:0,"({'[TG(60:6)]'}, 'FA18:0')",False
595,1289,TAG,980.9 -> 707.9,[TG(60:6)]_FA16:0,"({'[TG(60:6)]'}, 'FA16:0')",False
596,1290,TAG,980.9 -> 709.9,[TG(60:6)]_FA16:1,"({'[TG(60:6)]'}, 'FA16:1')",False
597,1291,TAG,982.9 -> 681.9,[TG(60:5)]_FA18:0,"({'[TG(60:5)]'}, 'FA18:0')",False
598,1292,TAG,982.9 -> 709.9,[TG(60:5)]_FA16:0,"({'[TG(60:5)]'}, 'FA16:0')",False
599,1293,TAG,982.9 -> 711.9,[TG(60:5)]_FA16:1,"({'[TG(60:5)]'}, 'FA16:1')",False
600,1294,TAG,984.9 -> 683.9,[TG(60:4)]_FA18:0,"({'[TG(60:4)]'}, 'FA18:0')",False
601,1295,TAG,984.9 -> 711.9,[TG(60:4)]_FA16:0,"({'[TG(60:4)]'}, 'FA16:0')",False
602,1296,TAG,984.9 -> 713.9,[TG(60:4)]_FA16:1,"({'[TG(60:4)]'}, 'FA16:1')",False
603,1297,TAG,986.9 -> 685.9,[TG(60:3)]_FA18:0,"({'[TG(60:3)]'}, 'FA18:0')",False
604,1298,TAG,986.9 -> 713.9,[TG(60:3)]_FA16:0,"({'[TG(60:3)]'}, 'FA16:0')",False
605,1299,TAG,986.9 -> 715.9,[TG(60:3)]_FA16:1,"({'[TG(60:3)]'}, 'FA16:1')",False
606,1300,TAG,988.9 -> 687.9,[TG(60:2)]_FA18:0,"({'[TG(60:2)]'}, 'FA18:0')",False
607,1301,TAG,988.9 -> 715.9,[TG(60:2)]_FA16:0,"({'[TG(60:2)]'}, 'FA16:0')",False
608,1302,TAG,988.9 -> 717.9,[TG(60:2)]_FA16:1,"({'[TG(60:2)]'}, 'FA16:1')",False
609,1303,TAG,990.9 -> 689.9,[TG(60:1)]_FA18:0,"({'[TG(60:1)]'}, 'FA18:0')",False
610,1304,TAG,990.9 -> 717.9,[TG(60:1)]_FA16:0,"({'[TG(60:1)]'}, 'FA16:0')",False
611,1305,TAG,990.9 -> 719.9,[TG(60:1)]_FA16:1,"({'[TG(60:1)]'}, 'FA16:1')",False
612,1306,TAG,992.9 -> 691.9,[TG(60:0)]_FA18:0,"({'[TG(60:0)]'}, 'FA18:0')",False
613,1307,TAG,992.9 -> 719.9,[TG(60:0)]_FA16:0,"({'[TG(60:0)]'}, 'FA16:0')",False
614,1308,TAG,992.9 -> 721.9,[TG(60:0)]_FA16:1,"({'[TG(60:0)]'}, 'FA16:1')",False
617,1311,TAG,822.8 -> 525.8,[TG(48:1)]_FA18:2,"({'[TG(48:1)]'}, 'FA18:2')",False
618,1312,TAG,824.8 -> 527.8,[TG(48:0)]_FA18:2,"({'[TG(48:0)]'}, 'FA18:2')",False
621,1315,TAG,850.8 -> 553.8,[TG(50:2)]_FA18:2,"({'[TG(50:2)]'}, 'FA18:2')",False
622,1316,TAG,852.8 -> 555.8,[TG(50:1)]_FA18:2,"({'[TG(50:1)]'}, 'FA18:2')",False
623,1317,TAG,868.7 -> 539.7,[TG(52:6)]_FA20:0,"({'[TG(52:6)]'}, 'FA20:0')",False
626,1320,TAG,870.8 -> 541.8,[TG(52:5)]_FA20:0,"({'[TG(52:5)]'}, 'FA20:0')",False
629,1323,TAG,872.8 -> 543.8,[TG(52:4)]_FA20:0,"({'[TG(52:4)]'}, 'FA20:0')",False
632,1326,TAG,874.8 -> 545.8,[TG(52:3)]_FA20:0,"({'[TG(52:3)]'}, 'FA20:0')",False
633,1327,TAG,874.8 -> 553.8,[TG(52:3)]_FA20:4,"({'[TG(52:3)]'}, 'FA20:4')",False
634,1328,TAG,874.8 -> 577.8,[TG(52:3)]_FA18:2,"({'[TG(52:3)]'}, 'FA18:2')",False
635,1329,TAG,876.8 -> 547.8,[TG(52:2)]_FA20:0,"({'[TG(52:2)]'}, 'FA20:0')",False
636,1330,TAG,876.8 -> 555.8,[TG(52:2)]_FA20:4,"({'[TG(52:2)]'}, 'FA20:4')",False
637,1331,TAG,876.8 -> 579.8,[TG(52:2)]_FA18:2,"({'[TG(52:2)]'}, 'FA18:2')",False
638,1332,TAG,878.8 -> 549.8,[TG(52:1)]_FA20:0,"({'[TG(52:1)]'}, 'FA20:0')",False
639,1333,TAG,878.8 -> 557.8,[TG(52:1)]_FA20:4,"({'[TG(52:1)]'}, 'FA20:4')",False
640,1334,TAG,878.8 -> 581.8,[TG(52:1)]_FA18:2,"({'[TG(52:1)]'}, 'FA18:2')",False
641,1335,TAG,880.8 -> 551.8,[TG(52:0)]_FA20:0,"({'[TG(52:0)]'}, 'FA20:0')",False
642,1336,TAG,880.8 -> 559.8,[TG(52:0)]_FA20:4,"({'[TG(52:0)]'}, 'FA20:4')",False
643,1337,TAG,880.8 -> 583.8,[TG(52:0)]_FA18:2,"({'[TG(52:0)]'}, 'FA18:2')",False
644,1338,TAG,892.7 -> 563.7,[TG(54:8)]_FA20:0,"({'[TG(54:8)]'}, 'FA20:0')",False
645,1339,TAG,892.7 -> 571.7,[TG(54:8)]_FA20:4,"({'[TG(54:8)]'}, 'FA20:4')",False
646,1340,TAG,892.7 -> 595.7,[TG(54:8)]_FA18:2,"({'[TG(54:8)]'}, 'FA18:2')",False
647,1341,TAG,894.8 -> 565.8,[TG(54:7)]_FA20:0,"({'[TG(54:7)]'}, 'FA20:0')",False
648,1342,TAG,894.8 -> 573.8,[TG(54:7)]_FA20:4,"({'[TG(54:7)]'}, 'FA20:4')",False
649,1343,TAG,894.8 -> 597.8,[TG(54:7)]_FA18:2,"({'[TG(54:7)]'}, 'FA18:2')",False
650,1344,TAG,896.8 -> 567.8,[TG(54:6)]_FA20:0,"({'[TG(54:6)]'}, 'FA20:0')",False
653,1347,TAG,898.8 -> 569.8,[TG(54:5)]_FA20:0,"({'[TG(54:5)]'}, 'FA20:0')",False
656,1350,TAG,900.8 -> 571.8,[TG(54:4)]_FA20:0,"({'[TG(54:4)]'}, 'FA20:0')",False
657,1351,TAG,900.8 -> 579.8,[TG(54:4)]_FA20:4,"({'[TG(54:4)]'}, 'FA20:4')",False
658,1352,TAG,900.8 -> 603.8,[TG(54:4)]_FA18:2,"({'[TG(54:4)]'}, 'FA18:2')",False
659,1353,TAG,902.8 -> 573.8,[TG(54:3)]_FA20:0,"({'[TG(54:3)]'}, 'FA20:0')",False
660,1354,TAG,902.8 -> 581.8,[TG(54:3)]_FA20:4,"({'[TG(54:3)]'}, 'FA20:4')",False
661,1355,TAG,902.8 -> 605.8,[TG(54:3)]_FA18:2,"({'[TG(54:3)]'}, 'FA18:2')",False
662,1356,TAG,904.8 -> 575.8,[TG(54:2)]_FA20:0,"({'[TG(54:2)]'}, 'FA20:0')",False
663,1357,TAG,904.8 -> 583.8,[TG(54:2)]_FA20:4,"({'[TG(54:2)]'}, 'FA20:4')",False
664,1358,TAG,904.8 -> 607.8,[TG(54:2)]_FA18:2,"({'[TG(54:2)]'}, 'FA18:2')",False
665,1359,TAG,906.8 -> 577.8,[TG(54:1)]_FA20:0,"({'[TG(54:1)]'}, 'FA20:0')",False
666,1360,TAG,906.8 -> 585.8,[TG(54:1)]_FA20:4,"({'[TG(54:1)]'}, 'FA20:4')",False
667,1361,TAG,906.8 -> 609.8,[TG(54:1)]_FA18:2,"({'[TG(54:1)]'}, 'FA18:2')",False
668,1362,TAG,908.9 -> 579.9,[TG(54:0)]_FA20:0,"({'[TG(54:0)]'}, 'FA20:0')",False
669,1363,TAG,908.9 -> 587.9,[TG(54:0)]_FA20:4,"({'[TG(54:0)]'}, 'FA20:4')",False
670,1364,TAG,908.9 -> 611.9,[TG(54:0)]_FA18:2,"({'[TG(54:0)]'}, 'FA18:2')",False
671,1365,TAG,920.8 -> 591.8,[TG(56:8)]_FA20:0,"({'[TG(56:8)]'}, 'FA20:0')",False
672,1366,TAG,920.8 -> 599.8,[TG(56:8)]_FA20:4,"({'[TG(56:8)]'}, 'FA20:4')",False
673,1367,TAG,920.8 -> 621.8,[TG(56:8)]_FA18:1,"({'[TG(56:8)]'}, 'FA18:1')",False
674,1368,TAG,920.8 -> 623.8,[TG(56:8)]_FA18:2,"({'[TG(56:8)]'}, 'FA18:2')",False
675,1369,TAG,922.8 -> 593.8,[TG(56:7)]_FA20:0,"({'[TG(56:7)]'}, 'FA20:0')",False
676,1370,TAG,922.8 -> 601.8,[TG(56:7)]_FA20:4,"({'[TG(56:7)]'}, 'FA20:4')",False
677,1371,TAG,922.8 -> 623.8,[TG(56:7)]_FA18:1,"({'[TG(56:7)]'}, 'FA18:1')",False
678,1372,TAG,922.8 -> 625.8,[TG(56:7)]_FA18:2,"({'[TG(56:7)]'}, 'FA18:2')",False
679,1373,TAG,924.8 -> 595.8,[TG(56:6)]_FA20:0,"({'[TG(56:6)]'}, 'FA20:0')",False
683,1377,TAG,926.8 -> 597.8,[TG(56:5)]_FA20:0,"({'[TG(56:5)]'}, 'FA20:0')",False
684,1378,TAG,926.8 -> 605.8,[TG(56:5)]_FA20:4,"({'[TG(56:5)]'}, 'FA20:4')",False
685,1379,TAG,926.8 -> 627.8,[TG(56:5)]_FA18:1,"({'[TG(56:5)]'}, 'FA18:1')",False
686,1380,TAG,926.8 -> 629.8,[TG(56:5)]_FA18:2,"({'[TG(56:5)]'}, 'FA18:2')",False
687,1381,TAG,928.8 -> 599.8,[TG(56:4)]_FA20:0,"({'[TG(56:4)]'}, 'FA20:0')",False
688,1382,TAG,928.8 -> 607.8,[TG(56:4)]_FA20:4,"({'[TG(56:4)]'}, 'FA20:4')",False
689,1383,TAG,928.8 -> 629.8,[TG(56:4)]_FA18:1,"({'[TG(56:4)]'}, 'FA18:1')",False
690,1384,TAG,928.8 -> 631.8,[TG(56:4)]_FA18:2,"({'[TG(56:4)]'}, 'FA18:2')",False
691,1385,TAG,930.8 -> 601.8,[TG(56:3)]_FA20:0,"({'[TG(56:3)]'}, 'FA20:0')",False
692,1386,TAG,930.8 -> 609.8,[TG(56:3)]_FA20:4,"({'[TG(56:3)]'}, 'FA20:4')",False
693,1387,TAG,930.8 -> 631.8,[TG(56:3)]_FA18:1,"({'[TG(56:3)]'}, 'FA18:1')",False
694,1388,TAG,930.8 -> 633.8,[TG(56:3)]_FA18:2,"({'[TG(56:3)]'}, 'FA18:2')",False
695,1389,TAG,932.9 -> 603.9,[TG(56:2)]_FA20:0,"({'[TG(56:2)]'}, 'FA20:0')",False
696,1390,TAG,932.9 -> 611.9,[TG(56:2)]_FA20:4,"({'[TG(56:2)]'}, 'FA20:4')",False
697,1391,TAG,932.9 -> 633.9,[TG(56:2)]_FA18:1,"({'[TG(56:2)]'}, 'FA18:1')",False
698,1392,TAG,932.9 -> 635.9,[TG(56:2)]_FA18:2,"({'[TG(56:2)]'}, 'FA18:2')",False
699,1393,TAG,934.9 -> 605.9,[TG(56:1)]_FA20:0,"({'[TG(56:1)]'}, 'FA20:0')",False
