Class,Lipid,OzESI_Intensity,Precursor_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,n-7,n-9,n-12,db_pos,Ratio
TG,[TG(50:4)]_FA14:0,2184.0,844.8,599.5,10.93,A-T0-0-BDL-r001,844.8 -> 599.5,762.8,734.8,692.8,,
TG,[TG(50:4)]_FA18:3,433.0,844.8,549.5,10.98,A-T0-0-BDL-r001,844.8 -> 549.5,762.8,734.8,692.8,,
TG,[TG(52:4)]_FA16:1,3311.0,872.8,601.5,11.11,A-T0-0-BDL-r001,872.8 -> 601.5,790.8,762.8,720.8,,
TG,[TG(52:4)]_FA18:2,51981.0,872.8,575.5,11.11,A-T0-0-BDL-r001,872.8 -> 575.5,790.8,762.8,720.8,,
TG,[TG(52:4)]_FA18:3,1680.0,872.8,577.5,11.11,A-T0-0-BDL-r001,872.8 -> 577.5,790.8,762.8,720.8,,
TG,[TG(52:5)]_FA18:3,945.0,870.8,575.5,10.98,A-T0-0-BDL-r001,870.8 -> 575.5,788.8,760.8,718.8,,
TG,[TG(54:5)]_FA18:3,1566.0,898.8,603.5,11.13,A-T0-0-BDL-r001,898.8 -> 603.5,816.8,788.8,746.8,,
TG,[TG(54:6)]_FA18:3,2231.0,896.8,601.5,10.97,A-T0-0-BDL-r001,896.8 -> 601.5,814.8,786.8,744.8,,
DG,DG(32:0)_C16:0,14255.0,586.5,313.2,10.03,A-T0-0-BDL-r002,586.5 -> 313.2,504.5,476.5,434.5,,
DG,DG(34:1)_C18:1,9035.0,612.6,313.3,10.07,A-T0-0-BDL-r002,612.6 -> 313.3,530.6,502.6,460.6,,
DG,DG(34:2)_C18:2,1678.0,610.5,313.2,10.09,A-T0-0-BDL-r002,610.5 -> 313.2,528.5,500.5,458.5,,
DG,DG(36:1)_C18:1,2389.0,640.6,341.3,10.26,A-T0-0-BDL-r002,640.6 -> 341.3,558.6,530.6,488.6,,
DG,DG(36:2)_C18:1,11119.0,638.6,339.3,10.11,A-T0-0-BDL-r002,638.6 -> 339.3,556.6,528.6,486.6,,
DG,DG(36:2)_C18:2,2105.0,638.6,341.3,10.13,A-T0-0-BDL-r002,638.6 -> 341.3,556.6,528.6,486.6,,
DG,DG(36:3)_C18:2,2138.0,636.6,339.3,10.02,A-T0-0-BDL-r002,636.6 -> 339.3,554.6,526.6,484.6,,
TG,TG(48:0)]_FA16:0,42241.0,824.8,551.5,11.39,A-T0-0-BDL-r002,824.8 -> 551.5,742.8,714.8,672.8,,
TG,TG(48:0)]_FA18:0,4262.0,824.8,523.5,11.4,A-T0-0-BDL-r002,824.8 -> 523.5,742.8,714.8,672.8,,
TG,TG(48:1)]_FA16:1,26572.0,822.8,551.5,11.24,A-T0-0-BDL-r002,822.8 -> 551.5,740.8,712.8,670.8,,
TG,TG(48:1)]_FA18:1,11924.0,822.8,523.5,11.22,A-T0-0-BDL-r002,822.8 -> 523.5,740.8,712.8,670.8,,
TG,TG(49:1)]_FA16:0,6299.0,836.8,563.5,11.37,A-T0-0-BDL-r002,836.8 -> 563.5,754.8,726.8,684.8,,
TG,TG(49:1)]_FA16:1,8912.0,836.8,565.5,11.31,A-T0-0-BDL-r002,836.8 -> 565.5,754.8,726.8,684.8,,
TG,TG(49:1)]_FA18:1,3461.0,836.8,537.5,11.37,A-T0-0-BDL-r002,836.8 -> 537.5,754.8,726.8,684.8,,
TG,TG(49:2)]_FA16:1,19116.0,834.8,563.5,11.18,A-T0-0-BDL-r002,834.8 -> 563.5,752.8,724.8,682.8,,
TG,TG(49:2)]_FA18:1,9641.0,834.8,535.5,11.17,A-T0-0-BDL-r002,834.8 -> 535.5,752.8,724.8,682.8,,
TG,TG(49:2)]_FA18:2,5224.0,834.8,537.5,11.2,A-T0-0-BDL-r002,834.8 -> 537.5,752.8,724.8,682.8,,
TG,TG(50:0)]_FA18:0,7053.0,852.8,551.5,11.61,A-T0-0-BDL-r002,852.8 -> 551.5,770.8,742.8,700.8,,
TG,TG(50:1)]_FA14:0,1815.0,850.8,605.5,11.42,A-T0-0-BDL-r002,850.8 -> 605.5,768.8,740.8,698.8,,
TG,TG(50:1)]_FA16:0,37641.0,850.8,577.5,11.42,A-T0-0-BDL-r002,850.8 -> 577.5,768.8,740.8,698.8,,
TG,TG(50:1)]_FA18:1,18955.0,850.8,551.5,11.42,A-T0-0-BDL-r002,850.8 -> 551.5,768.8,740.8,698.8,,
TG,TG(50:2)]_FA14:0,3039.0,848.8,603.5,11.24,A-T0-0-BDL-r002,848.8 -> 603.5,766.8,738.8,696.8,,
TG,TG(50:2)]_FA16:1,20515.0,848.8,577.5,11.27,A-T0-0-BDL-r002,848.8 -> 577.5,766.8,738.8,696.8,,
TG,TG(50:2)]_FA18:1,17127.0,848.8,549.5,11.26,A-T0-0-BDL-r002,848.8 -> 549.5,766.8,738.8,696.8,,
TG,TG(50:2)]_FA18:2,12041.0,848.8,551.5,11.26,A-T0-0-BDL-r002,848.8 -> 551.5,766.8,738.8,696.8,,
TG,TG(51:0)]_FA16:0,1258.0,866.7,593.4,11.71,A-T0-0-BDL-r002,866.7 -> 593.4,784.7,756.7,714.7,,
TG,TG(51:1)]_FA16:0,658.0,864.8,591.5,12.02,A-T0-0-BDL-r002,864.8 -> 591.5,782.8,754.8,712.8,,
TG,TG(51:1)]_FA18:1,442.0,864.8,565.5,11.6,A-T0-0-BDL-r002,864.8 -> 565.5,782.8,754.8,712.8,,
TG,TG(51:2)]_FA16:0,4122.0,862.8,589.5,11.37,A-T0-0-BDL-r002,862.8 -> 589.5,780.8,752.8,710.8,,
TG,TG(51:2)]_FA18:1,6679.0,862.8,563.5,11.37,A-T0-0-BDL-r002,862.8 -> 563.5,780.8,752.8,710.8,,
TG,TG(52:1)]_FA18:0,11199.0,878.8,577.5,11.63,A-T0-0-BDL-r002,878.8 -> 577.5,796.8,768.8,726.8,,
TG,TG(52:1)]_FA18:1,8489.0,878.8,579.5,11.63,A-T0-0-BDL-r002,878.8 -> 579.5,796.8,768.8,726.8,,
TG,TG(52:2)]_FA16:0,24415.0,876.8,603.5,11.44,A-T0-0-BDL-r002,876.8 -> 603.5,794.8,766.8,724.8,,
TG,TG(52:2)]_FA18:2,9144.0,876.8,579.5,11.45,A-T0-0-BDL-r002,876.8 -> 579.5,794.8,766.8,724.8,,
TG,TG(52:3)]_FA16:1,5580.0,874.8,603.5,11.29,A-T0-0-BDL-r002,874.8 -> 603.5,792.8,764.8,722.8,,
TG,TG(52:3)]_FA18:2,24410.0,874.8,577.5,11.26,A-T0-0-BDL-r002,874.8 -> 577.5,792.8,764.8,722.8,,
TG,TG(53:2)]_FA18:1,2142.0,890.8,591.5,11.53,A-T0-0-BDL-r002,890.8 -> 591.5,808.8,780.8,738.8,,
TG,TG(53:3)]_FA18:1,1540.0,888.8,589.5,11.4,A-T0-0-BDL-r002,888.8 -> 589.5,806.8,778.8,736.8,,
TG,TG(53:4)]_FA18:2,2914.0,886.8,589.5,11.22,A-T0-0-BDL-r002,886.8 -> 589.5,804.8,776.8,734.8,,
TG,TG(54:0)]_FA18:0,4583.0,908.8,607.5,12.03,A-T0-0-BDL-r002,908.8 -> 607.5,826.8,798.8,756.8,,
TG,TG(54:1)]_FA18:1,3316.0,906.8,607.5,11.86,A-T0-0-BDL-r002,906.8 -> 607.5,824.8,796.8,754.8,,
TG,TG(54:2)]_FA18:0,10586.0,904.8,603.5,11.66,A-T0-0-BDL-r002,904.8 -> 603.5,822.8,794.8,752.8,,
,TG(54:3)]_FA18:1,3123.0,820.8,577.5,11.08,A-T0-0-BDL-r002,820.8 -> 577.5,738.8,710.8,668.8,n-7,
TG,TG(54:3)]_FA18:1,25035.0,902.8,603.5,11.45,A-T0-0-BDL-r002,902.8 -> 603.5,820.8,792.8,750.8,,
,TG(54:3)]_FA18:2,3123.0,820.8,577.5,11.08,A-T0-0-BDL-r002,820.8 -> 577.5,738.8,710.8,668.8,n-7,
TG,TG(54:3)]_FA18:2,9901.0,902.8,605.5,11.46,A-T0-0-BDL-r002,902.8 -> 605.5,820.8,792.8,750.8,,
TG,TG(54:4)]_FA18:2,28107.0,900.8,603.5,11.3,A-T0-0-BDL-r002,900.8 -> 603.5,818.8,790.8,748.8,,
,TG(54:4)]_FA18:2,28721.0,818.8,818.8,10.95,A-T0-0-BDL-r002,818.8 -> 818.8,736.8,708.8,666.8,n-7,
,TG(57:2)]_FA22:6,3826.0,836.8,551.5,11.32,A-T0-0-BDL-r002,836.8 -> 551.5,754.8,726.8,684.8,n-9,1.01
,TG(57:2)]_FA22:6,3771.0,864.8,577.5,11.51,A-T0-0-BDL-r002,864.8 -> 577.5,782.8,754.8,712.8,n-7,
,TG(57:3)]_FA22:6,3230.0,862.8,575.5,11.34,A-T0-0-BDL-r002,862.8 -> 575.5,780.8,752.8,710.8,n-7,
TG,[TG(48:2)]_FA14:0,7509.0,820.8,575.5,11.07,A-T0-0-BDL-r002,820.8 -> 575.5,738.8,710.8,668.8,,
TG,[TG(48:2)]_FA16:1,41495.0,820.8,549.5,11.08,A-T0-0-BDL-r002,820.8 -> 549.5,738.8,710.8,668.8,,
TG,[TG(48:2)]_FA18:2,4978.0,820.8,523.5,11.1,A-T0-0-BDL-r002,820.8 -> 523.5,738.8,710.8,668.8,,
TG,[TG(48:3)]_FA14:0,1125.0,818.8,573.5,10.95,A-T0-0-BDL-r002,818.8 -> 573.5,736.8,708.8,666.8,,
TG,[TG(48:3)]_FA16:1,16562.0,818.8,547.5,10.95,A-T0-0-BDL-r002,818.8 -> 547.5,736.8,708.8,666.8,,
TG,[TG(50:3)]_FA14:0,2695.0,846.8,601.5,11.08,A-T0-0-BDL-r002,846.8 -> 601.5,764.8,736.8,694.8,,
TG,[TG(50:3)]_FA16:1,17160.0,846.8,575.5,11.11,A-T0-0-BDL-r002,846.8 -> 575.5,764.8,736.8,694.8,,
TG,[TG(50:3)]_FA18:2,8045.0,846.8,549.5,11.13,A-T0-0-BDL-r002,846.8 -> 549.5,764.8,736.8,694.8,,
TG,[TG(50:4)]_FA14:0,2247.0,844.8,599.5,10.93,A-T0-0-BDL-r002,844.8 -> 599.5,762.8,734.8,692.8,,
TG,[TG(50:4)]_FA18:3,450.0,844.8,549.5,10.98,A-T0-0-BDL-r002,844.8 -> 549.5,762.8,734.8,692.8,,
TG,[TG(52:4)]_FA16:1,3284.0,872.8,601.5,11.12,A-T0-0-BDL-r002,872.8 -> 601.5,790.8,762.8,720.8,,
TG,[TG(52:4)]_FA18:2,50219.0,872.8,575.5,11.11,A-T0-0-BDL-r002,872.8 -> 575.5,790.8,762.8,720.8,,
TG,[TG(52:4)]_FA18:3,1606.0,872.8,577.5,11.11,A-T0-0-BDL-r002,872.8 -> 577.5,790.8,762.8,720.8,,
TG,[TG(52:5)]_FA18:3,934.0,870.8,575.5,10.98,A-T0-0-BDL-r002,870.8 -> 575.5,788.8,760.8,718.8,,
TG,[TG(54:5)]_FA18:3,1447.0,898.8,603.5,11.13,A-T0-0-BDL-r002,898.8 -> 603.5,816.8,788.8,746.8,,
TG,[TG(54:6)]_FA18:3,2254.0,896.8,601.5,10.98,A-T0-0-BDL-r002,896.8 -> 601.5,814.8,786.8,744.8,,
DG,DG(32:0)_C16:0,14052.0,586.5,313.2,10.03,A-T0-0-BDL-r003,586.5 -> 313.2,504.5,476.5,434.5,,
DG,DG(34:1)_C18:1,9130.0,612.6,313.3,10.07,A-T0-0-BDL-r003,612.6 -> 313.3,530.6,502.6,460.6,,
DG,DG(34:2)_C18:2,1655.0,610.5,313.2,10.08,A-T0-0-BDL-r003,610.5 -> 313.2,528.5,500.5,458.5,,
DG,DG(36:1)_C18:1,2328.0,640.6,341.3,10.26,A-T0-0-BDL-r003,640.6 -> 341.3,558.6,530.6,488.6,,
DG,DG(36:2)_C18:1,11020.0,638.6,339.3,10.1,A-T0-0-BDL-r003,638.6 -> 339.3,556.6,528.6,486.6,,
DG,DG(36:2)_C18:2,2133.0,638.6,341.3,10.13,A-T0-0-BDL-r003,638.6 -> 341.3,556.6,528.6,486.6,,
DG,DG(36:3)_C18:2,2049.0,636.6,339.3,10.02,A-T0-0-BDL-r003,636.6 -> 339.3,554.6,526.6,484.6,,
TG,TG(48:0)]_FA16:0,40510.0,824.8,551.5,11.4,A-T0-0-BDL-r003,824.8 -> 551.5,742.8,714.8,672.8,,
TG,TG(48:0)]_FA18:0,4186.0,824.8,523.5,11.4,A-T0-0-BDL-r003,824.8 -> 523.5,742.8,714.8,672.8,,
TG,TG(48:1)]_FA16:1,26590.0,822.8,551.5,11.24,A-T0-0-BDL-r003,822.8 -> 551.5,740.8,712.8,670.8,,
TG,TG(48:1)]_FA18:1,11559.0,822.8,523.5,11.22,A-T0-0-BDL-r003,822.8 -> 523.5,740.8,712.8,670.8,,
TG,TG(49:1)]_FA16:0,6326.0,836.8,563.5,11.37,A-T0-0-BDL-r003,836.8 -> 563.5,754.8,726.8,684.8,,
TG,TG(49:1)]_FA16:1,8667.0,836.8,565.5,11.31,A-T0-0-BDL-r003,836.8 -> 565.5,754.8,726.8,684.8,,
TG,TG(49:1)]_FA18:1,3158.0,836.8,537.5,11.37,A-T0-0-BDL-r003,836.8 -> 537.5,754.8,726.8,684.8,,
TG,TG(49:2)]_FA16:1,18306.0,834.8,563.5,11.18,A-T0-0-BDL-r003,834.8 -> 563.5,752.8,724.8,682.8,,
TG,TG(49:2)]_FA18:1,9353.0,834.8,535.5,11.17,A-T0-0-BDL-r003,834.8 -> 535.5,752.8,724.8,682.8,,
TG,TG(49:2)]_FA18:2,5075.0,834.8,537.5,11.2,A-T0-0-BDL-r003,834.8 -> 537.5,752.8,724.8,682.8,,
TG,TG(50:0)]_FA18:0,6743.0,852.8,551.5,11.61,A-T0-0-BDL-r003,852.8 -> 551.5,770.8,742.8,700.8,,
TG,TG(50:1)]_FA14:0,1725.0,850.8,605.5,11.42,A-T0-0-BDL-r003,850.8 -> 605.5,768.8,740.8,698.8,,
TG,TG(50:1)]_FA16:0,36762.0,850.8,577.5,11.42,A-T0-0-BDL-r003,850.8 -> 577.5,768.8,740.8,698.8,,
TG,TG(50:1)]_FA18:1,18841.0,850.8,551.5,11.42,A-T0-0-BDL-r003,850.8 -> 551.5,768.8,740.8,698.8,,
TG,TG(50:2)]_FA14:0,3279.0,848.8,603.5,11.24,A-T0-0-BDL-r003,848.8 -> 603.5,766.8,738.8,696.8,,
TG,TG(50:2)]_FA16:1,19844.0,848.8,577.5,11.27,A-T0-0-BDL-r003,848.8 -> 577.5,766.8,738.8,696.8,,
TG,TG(50:2)]_FA18:1,16652.0,848.8,549.5,11.26,A-T0-0-BDL-r003,848.8 -> 549.5,766.8,738.8,696.8,,
TG,TG(50:2)]_FA18:2,11997.0,848.8,551.5,11.26,A-T0-0-BDL-r003,848.8 -> 551.5,766.8,738.8,696.8,,
TG,TG(51:0)]_FA16:0,1189.0,866.7,593.4,11.71,A-T0-0-BDL-r003,866.7 -> 593.4,784.7,756.7,714.7,,
TG,TG(51:1)]_FA16:0,642.0,864.8,591.5,12.02,A-T0-0-BDL-r003,864.8 -> 591.5,782.8,754.8,712.8,,
TG,TG(51:1)]_FA18:1,520.0,864.8,565.5,11.6,A-T0-0-BDL-r003,864.8 -> 565.5,782.8,754.8,712.8,,
TG,TG(51:2)]_FA16:0,4540.0,862.8,589.5,11.37,A-T0-0-BDL-r003,862.8 -> 589.5,780.8,752.8,710.8,,
TG,TG(51:2)]_FA18:1,6142.0,862.8,563.5,11.37,A-T0-0-BDL-r003,862.8 -> 563.5,780.8,752.8,710.8,,
TG,TG(52:1)]_FA18:0,10917.0,878.8,577.5,11.63,A-T0-0-BDL-r003,878.8 -> 577.5,796.8,768.8,726.8,,
TG,TG(52:1)]_FA18:1,8263.0,878.8,579.5,11.63,A-T0-0-BDL-r003,878.8 -> 579.5,796.8,768.8,726.8,,
TG,TG(52:2)]_FA16:0,23302.0,876.8,603.5,11.44,A-T0-0-BDL-r003,876.8 -> 603.5,794.8,766.8,724.8,,
TG,TG(52:2)]_FA18:2,8618.0,876.8,579.5,11.45,A-T0-0-BDL-r003,876.8 -> 579.5,794.8,766.8,724.8,,
TG,TG(52:3)]_FA16:1,5239.0,874.8,603.5,11.29,A-T0-0-BDL-r003,874.8 -> 603.5,792.8,764.8,722.8,,
TG,TG(52:3)]_FA18:2,24108.0,874.8,577.5,11.26,A-T0-0-BDL-r003,874.8 -> 577.5,792.8,764.8,722.8,,
TG,TG(53:2)]_FA18:1,2163.0,890.8,591.5,11.53,A-T0-0-BDL-r003,890.8 -> 591.5,808.8,780.8,738.8,,
TG,TG(53:3)]_FA18:1,1719.0,888.8,589.5,11.4,A-T0-0-BDL-r003,888.8 -> 589.5,806.8,778.8,736.8,,
TG,TG(53:4)]_FA18:2,3001.0,886.8,589.5,11.22,A-T0-0-BDL-r003,886.8 -> 589.5,804.8,776.8,734.8,,
TG,TG(54:0)]_FA18:0,4354.0,908.8,607.5,12.03,A-T0-0-BDL-r003,908.8 -> 607.5,826.8,798.8,756.8,,
TG,TG(54:1)]_FA18:1,3277.0,906.8,607.5,11.86,A-T0-0-BDL-r003,906.8 -> 607.5,824.8,796.8,754.8,,
TG,TG(54:2)]_FA18:0,10106.0,904.8,603.5,11.66,A-T0-0-BDL-r003,904.8 -> 603.5,822.8,794.8,752.8,,
,TG(54:3)]_FA18:1,2998.0,820.8,577.5,11.08,A-T0-0-BDL-r003,820.8 -> 577.5,738.8,710.8,668.8,n-7,
TG,TG(54:3)]_FA18:1,24755.0,902.8,603.5,11.45,A-T0-0-BDL-r003,902.8 -> 603.5,820.8,792.8,750.8,,
,TG(54:3)]_FA18:2,2998.0,820.8,577.5,11.08,A-T0-0-BDL-r003,820.8 -> 577.5,738.8,710.8,668.8,n-7,
TG,TG(54:3)]_FA18:2,10021.0,902.8,605.5,11.46,A-T0-0-BDL-r003,902.8 -> 605.5,820.8,792.8,750.8,,
TG,TG(54:4)]_FA18:2,26977.0,900.8,603.5,11.3,A-T0-0-BDL-r003,900.8 -> 603.5,818.8,790.8,748.8,,
,TG(54:4)]_FA18:2,29222.0,818.8,818.8,10.95,A-T0-0-BDL-r003,818.8 -> 818.8,736.8,708.8,666.8,n-7,
,TG(57:2)]_FA22:6,3795.0,836.8,551.5,11.32,A-T0-0-BDL-r003,836.8 -> 551.5,754.8,726.8,684.8,n-9,1.07
,TG(57:2)]_FA22:6,3548.0,864.8,577.5,11.51,A-T0-0-BDL-r003,864.8 -> 577.5,782.8,754.8,712.8,n-7,
,TG(57:3)]_FA22:6,3156.0,862.8,575.5,11.34,A-T0-0-BDL-r003,862.8 -> 575.5,780.8,752.8,710.8,n-7,
TG,[TG(48:2)]_FA14:0,7293.0,820.8,575.5,11.07,A-T0-0-BDL-r003,820.8 -> 575.5,738.8,710.8,668.8,,
TG,[TG(48:2)]_FA16:1,40325.0,820.8,549.5,11.08,A-T0-0-BDL-r003,820.8 -> 549.5,738.8,710.8,668.8,,
