IDs,Names,Lipid,Transition,Class
,,[TG(52:0)]_FA16:1,880.8 -> 609.8,TG
"LMGL03010586, LMGL03015851, LMGL03010585, LMGL03010447, LMGL03010452, LMGL03010442, LMGL03015833","TG(16:0/16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:1(9Z)/18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))[iso6], TG(16:1(9Z)/16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso3], TG(16:1(9Z)/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:1(9Z)/18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(16:1(9Z)/18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))[iso6], TG(16:1(9Z)/18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))[iso6]",[TG(54:7)]_FA16:1,894.8 -> 623.8,TG
"LMGL03010324, LMGL03010325, LMGL03010363, LMGL03015863, LMGL03015710, LMGL03010235, LMGL03010231","TG(16:1(9Z)/16:1(9Z)/22:0)[iso3], TG(16:0/16:1(9Z)/22:1(13Z))[iso6], TG(16:1(9Z)/17:1(9Z)/21:0)[iso6], TG(16:1(9Z)/19:0/19:1(9Z))[iso6], TG(16:0/16:1(9Z)/22:1(11Z))[iso6], TG(16:1(9Z)/18:0/20:1(11Z))[iso6], TG(16:1(9Z)/18:1(9Z)/20:0)[iso6]",[TG(54:2)]_FA16:1,904.8 -> 633.8,TG
"LMGL03010285, LMGL03010322, LMGL03010202, LMGL03010292","TG(16:0/16:1(9Z)/22:0)[iso6], TG(16:1(9Z)/17:0/21:0)[iso6], TG(16:1(9Z)/18:0/20:0)[iso6], TG(16:1(9Z)/19:0/19:0)[iso3]",[TG(54:1)]_FA16:1,906.8 -> 635.8,TG
,,[TG(54:0)]_FA18:1,908.9 -> 609.9,TG
,,[TG(54:0)]_FA16:1,908.9 -> 637.9,TG
"LMGL03010546, LMGL03010695, LMGL03010708, LMGL03010539, LMGL03010771, LMGL03015755, LMGL03015765, LMGL03010636, LMGL03015747, LMGL03010552","TG(16:0/20:1(11Z)/20:3(8Z,11Z,14Z))[iso6], TG(16:0/18:3(9Z,12Z,15Z)/22:1(13Z))[iso6], TG(16:0/18:0/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:0/20:2(11Z,14Z)/20:2(11Z,14Z))[iso3], TG(16:0/18:2(9Z,12Z)/22:2(13Z,16Z))[iso6], TG(16:0/18:3(9Z,12Z,15Z)/22:1(11Z))[iso6], TG(16:0/18:4(6Z,9Z,12Z,15Z)/22:0)[iso6], TG(16:0/18:1(9Z)/22:3(10Z,13Z,16Z))[iso6], TG(16:0/18:3(6Z,9Z,12Z)/22:1(11Z))[iso6], TG(16:0/20:0/20:4(5Z,8Z,11Z,14Z))[iso6]",[TG(56:4)]_FA16:0,928.8 -> 655.8,TG
"LMGL03010512, LMGL03010378, LMGL03010685","TG(16:1(9Z)/18:0/22:0)[iso6], TG(16:1(9Z)/20:0/20:0)[iso3], TG(16:1(9Z)/19:0/21:0)[iso6]",[TG(56:1)]_FA16:1,934.9 -> 663.9,TG
,,[TG(56:0)]_FA16:1,936.9 -> 665.9,TG
,,[TG(58:0)]_FA16:1,964.9 -> 693.9,TG
,,[TG(60:12)]_FA18:0,968.9 -> 667.9,TG
,,[TG(60:0)]_FA16:1,992.9 -> 721.9,TG
"LMGL03014633, LMGL03013864, LMGL03014985, LMGL03013462, LMGL03014252","TG(14:1(9Z)/16:0/18:2(9Z,12Z))[iso6], TG(13:0/17:1(9Z)/18:2(9Z,12Z))[iso6], TG(15:0/15:1(9Z)/18:2(9Z,12Z))[iso6], TG(12:0/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(14:0/16:1(9Z)/18:2(9Z,12Z))[iso6]",[TG(48:3)]_FA18:2,818.8 -> 521.8,TG
,,[TG(48:1)]_FA18:2,822.8 -> 525.8,TG
,,[TG(48:0)]_FA18:2,824.8 -> 527.8,TG
"LMGL03014342, LMGL03013487, LMGL03013950, LMGL03015060, LMGL03010044","TG(14:0/18:0/18:2(9Z,12Z))[iso6], TG(12:0/18:2(9Z,12Z)/20:0)[iso6], TG(13:0/18:2(9Z,12Z)/19:0)[iso6], TG(15:0/17:0/18:2(9Z,12Z))[iso6], TG(16:0/16:0/18:2(9Z,12Z))[iso3]",[TG(50:2)]_FA18:2,850.8 -> 553.8,TG
,,[TG(50:1)]_FA18:2,852.8 -> 555.8,TG
,,[TG(52:6)]_FA20:0,868.7 -> 539.7,TG
"LMGL03010166, LMGL03014391, LMGL03014796, LMGL03015822, LMGL03015732, LMGL03010193, LMGL03013498","TG(17:2(9Z,12Z)/17:2(9Z,12Z)/18:2(9Z,12Z))[iso3], TG(14:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(14:1(9Z)/18:2(9Z,12Z)/20:3(8Z,11Z,14Z))[iso6], TG(16:1(9Z)/18:2(9Z,12Z)/18:3(6Z,9Z,12Z))[iso6], TG(16:0/18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:1(9Z)/18:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6], TG(12:0/18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))[iso6]",[TG(52:6)]_FA18:2,868.7 -> 571.7,TG
"LMGL03014844, LMGL03013585","TG(14:1(9Z)/18:4(6Z,9Z,12Z,15Z)/20:0)[iso6], TG(12:0/20:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]",[TG(52:5)]_FA20:0,870.8 -> 541.8,TG
"LMGL03013583, LMGL03014405, LMGL03014793, LMGL03015462, LMGL03014422","TG(12:0/20:0/20:3(8Z,11Z,14Z))[iso6], TG(14:0/18:3(6Z,9Z,12Z)/20:0)[iso6], TG(14:1(9Z)/18:2(9Z,12Z)/20:0)[iso6], TG(15:1(9Z)/17:2(9Z,12Z)/20:0)[iso6], TG(14:0/18:3(9Z,12Z,15Z)/20:0)[iso6]",[TG(52:3)]_FA20:0,874.8 -> 545.8,TG
,,[TG(52:3)]_FA20:4,874.8 -> 553.8,TG
"LMGL03013582, LMGL03010113, LMGL03014387, LMGL03014774, LMGL03015111, LMGL03015440","TG(12:0/20:0/20:2(11Z,14Z))[iso6], TG(16:1(9Z)/16:1(9Z)/20:0)[iso3], TG(14:0/18:2(9Z,12Z)/20:0)[iso6], TG(14:1(9Z)/18:1(9Z)/20:0)[iso6], TG(15:0/17:2(9Z,12Z)/20:0)[iso6], TG(15:1(9Z)/17:1(9Z)/20:0)[iso6]",[TG(52:2)]_FA20:0,876.8 -> 547.8,TG
,,[TG(52:2)]_FA20:4,876.8 -> 555.8,TG
"LMGL03010095, LMGL03013581, LMGL03014368, LMGL03014032, LMGL03014754, LMGL03015089, LMGL03015417","TG(16:0/16:1(9Z)/20:0)[iso6], TG(12:0/20:0/20:1(11Z))[iso6], TG(14:0/18:1(9Z)/20:0)[iso6], TG(13:0/19:1(9Z)/20:0)[iso6], TG(14:1(9Z)/18:0/20:0)[iso6], TG(15:0/17:1(9Z)/20:0)[iso6], TG(15:1(9Z)/17:0/20:0)[iso6]",[TG(52:1)]_FA20:0,878.8 -> 549.8,TG
,,[TG(52:1)]_FA20:4,878.8 -> 557.8,TG
,,[TG(52:1)]_FA18:2,878.8 -> 581.8,TG
,,[TG(52:0)]_FA20:4,880.8 -> 559.8,TG
,,[TG(52:0)]_FA18:2,880.8 -> 583.8,TG
,,[TG(54:8)]_FA20:0,892.7 -> 563.7,TG
"LMGL03010450, LMGL03012803, LMGL03013633, LMGL03015762, LMGL03010498, LMGL03014923, LMGL03015834","TG(17:2(9Z,12Z)/17:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso3], TG(14:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))[iso3], TG(12:0/20:4(5Z,8Z,11Z,14Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:0/18:4(6Z,9Z,12Z,15Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:1(9Z)/18:3(9Z,12Z,15Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(14:1(9Z)/20:3(8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:1(9Z)/18:3(6Z,9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6]",[TG(54:8)]_FA20:4,892.7 -> 571.7,TG
,,[TG(54:7)]_FA20:0,894.8 -> 565.8,TG
"LMGL03014397, LMGL03010327, LMGL03010329, LMGL03010347, LMGL03010351, LMGL03014802, LMGL03016073, LMGL03016146","TG(14:0/18:2(9Z,12Z)/22:3(10Z,13Z,16Z))[iso6], TG(18:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3], TG(18:0/18:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6], TG(16:1(9Z)/18:2(9Z,12Z)/20:2(11Z,14Z))[iso6], TG(16:0/18:2(9Z,12Z)/20:3(8Z,11Z,14Z))[iso6], TG(14:1(9Z)/18:2(9Z,12Z)/22:2(13Z,16Z))[iso6], TG(17:2(9Z,12Z)/18:2(9Z,12Z)/19:1(9Z))[iso6], TG(18:0/18:2(9Z,12Z)/18:3(6Z,9Z,12Z))[iso6]",[TG(54:5)]_FA18:2,898.8 -> 601.8,TG
"LMGL03014093, LMGL03010280, LMGL03013629, LMGL03014484, LMGL03010315, LMGL03015241","TG(13:0/20:4(5Z,8Z,11Z,14Z)/21:0)[iso6], TG(17:0/17:0/20:4(5Z,8Z,11Z,14Z))[iso3], TG(12:0/20:4(5Z,8Z,11Z,14Z)/22:0)[iso6], TG(14:0/20:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(15:0/19:0/20:4(5Z,8Z,11Z,14Z))[iso6]",[TG(54:4)]_FA20:4,900.8 -> 579.8,TG
"LMGL03010307, LMGL03010288, LMGL03010303, LMGL03014396, LMGL03015994, LMGL03014801, LMGL03010333, LMGL03010287","TG(16:0/18:2(9Z,12Z)/20:2(11Z,14Z))[iso6], TG(18:1(9Z)/18:1(9Z)/18:2(9Z,12Z))[iso3], TG(16:1(9Z)/18:2(9Z,12Z)/20:1(11Z))[iso6], TG(14:0/18:2(9Z,12Z)/22:2(13Z,16Z))[iso6], TG(17:1(9Z)/18:2(9Z,12Z)/19:1(9Z))[iso6], TG(14:1(9Z)/18:2(9Z,12Z)/22:1(11Z))[iso6], TG(17:2(9Z,12Z)/18:2(9Z,12Z)/19:0)[iso6], TG(18:0/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3]",[TG(54:4)]_FA18:2,900.8 -> 603.8,TG
"LMGL03013590, LMGL03010262, LMGL03010233, LMGL03010263, LMGL03014483, LMGL03014888, LMGL03015739","TG(12:0/20:0/22:3(10Z,13Z,16Z))[iso6], TG(16:0/18:3(9Z,12Z,15Z)/20:0)[iso6], TG(17:1(9Z)/17:2(9Z,12Z)/20:0)[iso6], TG(16:1(9Z)/18:2(9Z,12Z)/20:0)[iso6], TG(14:0/20:0/20:3(8Z,11Z,14Z))[iso6], TG(14:1(9Z)/20:0/20:2(11Z,14Z))[iso6], TG(16:0/18:3(6Z,9Z,12Z)/20:0)[iso6]",[TG(54:3)]_FA20:0,902.8 -> 573.8,TG
,,[TG(54:3)]_FA20:4,902.8 -> 581.8,TG
"LMGL03010263, LMGL03010267, LMGL03010294, LMGL03014800, LMGL03015528, LMGL03015911, LMGL03014395, LMGL03010252","TG(16:1(9Z)/18:2(9Z,12Z)/20:0)[iso6], TG(16:0/18:2(9Z,12Z)/20:1(11Z))[iso6], TG(17:1(9Z)/18:2(9Z,12Z)/19:0)[iso6], TG(14:1(9Z)/18:2(9Z,12Z)/22:0)[iso6], TG(15:1(9Z)/18:2(9Z,12Z)/21:0)[iso6], TG(17:0/18:2(9Z,12Z)/19:1(9Z))[iso6], TG(14:0/18:2(9Z,12Z)/22:1(11Z))[iso6], TG(18:0/18:1(9Z)/18:2(9Z,12Z))[iso6]",[TG(54:3)]_FA18:2,902.8 -> 605.8,TG
"LMGL03010204, LMGL03010230, LMGL03010231, LMGL03010203, LMGL03013589, LMGL03014887, LMGL03015602, LMGL03014482","TG(17:1(9Z)/17:1(9Z)/20:0)[iso3], TG(16:0/18:2(9Z,12Z)/20:0)[iso6], TG(16:1(9Z)/18:1(9Z)/20:0)[iso6], TG(17:0/17:2(9Z,12Z)/20:0)[iso6], TG(12:0/20:0/22:2(13Z,16Z))[iso6], TG(14:1(9Z)/20:0/20:1(11Z))[iso6], TG(15:1(9Z)/19:1(9Z)/20:0)[iso6], TG(14:0/20:0/20:2(11Z,14Z))[iso6]",[TG(54:2)]_FA20:0,904.8 -> 575.8,TG
,,[TG(54:2)]_FA20:4,904.8 -> 583.8,TG
"LMGL03010201, LMGL03013588, LMGL03012857, LMGL03014481, LMGL03015251, LMGL03015588, LMGL03010202, LMGL03010177","TG(16:0/18:1(9Z)/20:0)[iso6], TG(12:0/20:0/22:1(11Z))[iso6], TG(14:1(9Z)/20:0/20:0)[iso3], TG(14:0/20:0/20:1(11Z))[iso6], TG(15:0/19:1(9Z)/20:0)[iso6], TG(15:1(9Z)/19:0/20:0)[iso6], TG(16:1(9Z)/18:0/20:0)[iso6], TG(17:0/17:1(9Z)/20:0)[iso6]",[TG(54:1)]_FA20:0,906.8 -> 577.8,TG
,,[TG(54:1)]_FA20:4,906.8 -> 585.8,TG
,,[TG(54:1)]_FA18:2,906.8 -> 609.8,TG
,,[TG(54:0)]_FA20:4,908.9 -> 587.9,TG
,,[TG(54:0)]_FA18:2,908.9 -> 611.9,TG
LMGL03013089,"TG(18:4(6Z,9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z)/20:0)[iso3]",[TG(56:8)]_FA20:0,920.8 -> 591.8,TG
"LMGL03010995, LMGL03010999, LMGL03010800, LMGL03010808, LMGL03016295, LMGL03016313, LMGL03010815","TG(16:1(9Z)/18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:0/18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))[iso6], TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso3], TG(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))[iso6], TG(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))[iso6], TG(18:1(9Z)/18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]",[TG(56:8)]_FA18:2,920.8 -> 623.8,TG
"LMGL03016374, LMGL03016510, LMGL03014899","TG(18:3(6Z,9Z,12Z)/18:4(6Z,9Z,12Z,15Z)/20:0)[iso6], TG(18:3(9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z)/20:0)[iso6], TG(14:1(9Z)/20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]",[TG(56:7)]_FA20:0,922.8 -> 593.8,TG
"LMGL03010741, LMGL03010748, LMGL03010922, LMGL03016228, LMGL03016246, LMGL03010925, LMGL03010733","TG(18:1(9Z)/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(18:1(9Z)/18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso3], TG(16:1(9Z)/18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(18:1(9Z)/18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))[iso6], TG(18:1(9Z)/18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))[iso6], TG(16:0/18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(18:1(9Z)/18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))[iso6]",[TG(56:7)]_FA18:1,922.8 -> 623.8,TG
"LMGL03010917, LMGL03010741, LMGL03010734, LMGL03010747, LMGL03010921, LMGL03016294, LMGL03016312, LMGL03010727","TG(16:1(9Z)/18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(18:1(9Z)/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:3(8Z,11Z,14Z))[iso3], TG(18:0/18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(16:0/18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)/20:2(11Z,14Z))[iso6], TG(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z)/20:1(11Z))[iso6], TG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/20:2(11Z,14Z))[iso6]",[TG(56:7)]_FA18:2,922.8 -> 625.8,TG
"LMGL03013049, LMGL03016311, LMGL03016358, LMGL03010653, LMGL03014898, LMGL03010679, LMGL03014493","TG(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z)/20:0)[iso3], TG(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z)/20:0)[iso6], TG(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z)/20:0)[iso6], TG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z)/20:0)[iso3], TG(14:1(9Z)/20:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:1(9Z)/20:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(14:0/20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]",[TG(56:6)]_FA20:0,924.8 -> 595.8,TG
"LMGL03010591, LMGL03016292, LMGL03010611, LMGL03010616, LMGL03014897, LMGL03016244, LMGL03014492","TG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/20:0)[iso6], TG(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)/20:0)[iso6], TG(16:1(9Z)/20:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:0/20:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(14:1(9Z)/20:0/22:4(7Z,10Z,13Z,16Z))[iso6], TG(18:1(9Z)/18:4(6Z,9Z,12Z,15Z)/20:0)[iso6], TG(14:0/20:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]",[TG(56:5)]_FA20:0,926.8 -> 597.8,TG
"LMGL03010615, LMGL03014530, LMGL03010674, LMGL03015663, LMGL03010610, LMGL03010611, LMGL03014935, LMGL03015956","TG(18:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(14:0/20:4(5Z,8Z,11Z,14Z)/22:1(11Z))[iso6], TG(17:1(9Z)/19:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(15:1(9Z)/20:4(5Z,8Z,11Z,14Z)/21:0)[iso6], TG(16:0/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:1(9Z)/20:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(14:1(9Z)/20:4(5Z,8Z,11Z,14Z)/22:0)[iso6], TG(17:0/19:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]",[TG(56:5)]_FA20:4,926.8 -> 605.8,TG
"LMGL03010615, LMGL03010775, LMGL03010701, LMGL03016226, LMGL03010595, LMGL03010602, LMGL03010609, LMGL03016244","TG(18:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:0/18:1(9Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:1(9Z)/18:1(9Z)/22:3(10Z,13Z,16Z))[iso6], TG(18:1(9Z)/18:3(6Z,9Z,12Z)/20:1(11Z))[iso6], TG(18:1(9Z)/18:3(9Z,12Z,15Z)/20:1(11Z))[iso6], TG(18:1(9Z)/18:2(9Z,12Z)/20:2(11Z,14Z))[iso6], TG(18:1(9Z)/18:1(9Z)/20:3(8Z,11Z,14Z))[iso3], TG(18:1(9Z)/18:4(6Z,9Z,12Z,15Z)/20:0)[iso6]",[TG(56:5)]_FA18:1,926.8 -> 627.8,TG
"LMGL03010591, LMGL03010841, LMGL03016292, LMGL03010602, LMGL03010608, LMGL03010596, LMGL03010700","TG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/20:0)[iso6], TG(16:1(9Z)/18:2(9Z,12Z)/22:2(13Z,16Z))[iso6], TG(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)/20:0)[iso6], TG(18:1(9Z)/18:2(9Z,12Z)/20:2(11Z,14Z))[iso6], TG(18:0/18:2(9Z,12Z)/20:3(8Z,11Z,14Z))[iso6], TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:1(11Z))[iso3], TG(16:0/18:2(9Z,12Z)/22:3(10Z,13Z,16Z))[iso6]",[TG(56:5)]_FA18:2,926.8 -> 629.8,TG
"LMGL03010533, LMGL03010771, LMGL03015825, LMGL03010544, LMGL03013043, LMGL03010538, LMGL03010753, LMGL03010696","TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:0)[iso3], TG(16:0/18:2(9Z,12Z)/22:2(13Z,16Z))[iso6], TG(16:1(9Z)/18:2(9Z,12Z)/22:1(11Z))[iso6], TG(18:0/18:2(9Z,12Z)/20:2(11Z,14Z))[iso6], TG(18:2(9Z,12Z)/19:1(9Z)/19:1(9Z))[iso3], TG(18:1(9Z)/18:2(9Z,12Z)/20:1(11Z))[iso6], TG(17:2(9Z,12Z)/18:2(9Z,12Z)/21:0)[iso6], TG(16:1(9Z)/18:2(9Z,12Z)/22:1(13Z))[iso6]",[TG(56:4)]_FA18:2,928.8 -> 631.8,TG
"LMGL03010477, LMGL03010486, LMGL03010491, LMGL03010478, LMGL03014895, LMGL03016114, LMGL03016154, LMGL03014490","TG(18:0/18:3(9Z,12Z,15Z)/20:0)[iso6], TG(16:1(9Z)/20:0/20:2(11Z,14Z))[iso6], TG(16:0/20:0/20:3(8Z,11Z,14Z))[iso6], TG(18:1(9Z)/18:2(9Z,12Z)/20:0)[iso6], TG(14:1(9Z)/20:0/22:2(13Z,16Z))[iso6], TG(17:2(9Z,12Z)/19:1(9Z)/20:0)[iso6], TG(18:0/18:3(6Z,9Z,12Z)/20:0)[iso6], TG(14:0/20:0/22:3(10Z,13Z,16Z))[iso6]",[TG(56:3)]_FA20:0,930.8 -> 601.8,TG
,,[TG(56:3)]_FA20:4,930.8 -> 609.8,TG
