Sample Name,Cage,Genotype,Sex,Class,Lipid,Transition,Intensity,Blank Subtraction
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(17:0),414.4 -> 85.1,1152357.54296875,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(17:0)_QUAL,414.4 -> 60.1,433445.08984375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(18:0),428.4 -> 85.1,1986488.38671875,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(18:0)_QUAL,428.4 -> 60.1,492644.474609375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(18:1),426.4 -> 85.1,1979574.865234375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(18:1)_QUAL,426.4 -> 60.1,488579.35009765625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(18:2),424.3 -> 85.1,2037788.001953125,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(18:2)_QUAL,424.3 -> 60.1,490237.2158203125,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(18:3),422.3 -> 85.1,2035039.759765625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(18:3)_QUAL,422.3 -> 60.1,542985.357421875,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(18:4),420.3 -> 85.1,2027094.67578125,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(18:4)_QUAL,420.3 -> 60.1,575988.3583984375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(20:0),456.4 -> 85.1,331735.22265625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(20:0)_QUAL,456.4 -> 60.1,1630744.05078125,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(20:1),454.4 -> 85.1,333833.80224609375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(20:1)_QUAL,454.4 -> 60.1,1662901.580078125,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(20:2),452.4 -> 85.1,323973.94287109375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(20:2)_QUAL,452.4 -> 60.1,1616141.568359375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(20:4),448.3 -> 85.1,359051.26611328125,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(20:4)_QUAL,448.3 -> 60.1,1449093.2421875,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(22:0),484.4 -> 85.1,179824.51150512695,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(22:0)_QUAL,484.4 -> 60.1,1280913.1374511719,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(22:2),480.4 -> 85.1,228522.23498535156,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(22:2)_QUAL,480.4 -> 60.1,1293668.7314453125,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(22:4),476.4 -> 85.1,212029.17529296875,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(22:4)_QUAL,476.4 -> 60.1,1328862.5087890625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(22:5),474.4 -> 85.1,198197.03442382812,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(22:5)_QUAL,474.4 -> 60.1,1318158.1962890625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(22:6),472.4 -> 85.1,205186.65600585938,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(22:6)_QUAL,472.4 -> 60.1,1091464.1025390625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(26:0),540.5 -> 85.1,245311.81958007812,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(26:0)_QUAL,540.5 -> 60.1,383831.0471191406,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(2:0),204.1 -> 85.1,3777688.9609375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(2:0)_QUAL,204.1 -> 60.1,137539.24951171875,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(3:0),218.1 -> 85.1,276632.39990234375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(3:0)_QUAL,218.1 -> 60.1,54405.143981933594,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(3:1),216.1 -> 85.1,420215.6103515625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(3:1)_QUAL,216.1 -> 60.1,64106.544677734375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(4:0),232.2 -> 85.1,260996.11669921875,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(4:0)_QUAL,232.2 -> 60.1,50438.36340332031,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(4:1),230.1 -> 85.1,661343.8671875,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(4:1)_QUAL,230.1 -> 60.1,232357.13647460938,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(5:0),246.2 -> 85.1,1042089.5732421875,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(5:0)_QUAL,246.2 -> 60.1,165683.91186523438,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(5:1),244.2 -> 85.1,1000468.2509765625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(5:1)_QUAL,244.2 -> 60.1,542571.697265625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(6:0),260.2 -> 85.1,480853.38916015625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(6:0)_QUAL,260.2 -> 60.1,109111.04772949219,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(6:1),258.2 -> 85.1,228528.2958984375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(6:1)_QUAL,258.2 -> 60.1,140630.10986328125,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(7:0),274.2 -> 85.1,201116.17504882812,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(7:0)_QUAL,274.2 -> 60.1,528158.3166503906,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(8:0),288.2 -> 85.1,187469.59252929688,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(8:0)_QUAL,288.2 -> 60.1,2376976.359375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(8:1),286.2 -> 85.1,166326.0712890625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(8:1)_QUAL,286.2 -> 60.1,2461005.30859375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(9:0),302.2 -> 85.1,111642.38781738281,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(9:0)_QUAL,302.2 -> 60.1,536694.21875,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR_QUAL,162.2 -> 60.1,34502.582427978516,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(12:0),586.6 -> 369.2,129680.14920043945,4964.160339355469
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(14:0),614.6 -> 369.2,138263.32962036133,15171.421173095703
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(14:1),612.6 -> 369.2,147893.03024291992,9661.180786132812
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(15:0),628.6 -> 369.2,500697.69384765625,121582.66796875
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(15:1),626.6 -> 369.2,508496.5587158203,139712.09228515625
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(16:2),638.6 -> 369.2,540818.5389404297,133682.30932617188
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(16:3),636.6 -> 369.2,530186.9393310547,123105.36938476562
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(17:0),656.6 -> 369.2,199009.5545654297,14353.121765136719
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(17:1),654.6 -> 369.2,195411.3134765625,11309.720031738281
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(18:3),664.6 -> 369.2,288172.8215332031,109756.04895019531
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(19:0),684.7 -> 369.2,362590.22689819336,179925.95434570312
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(20:0),698.7 -> 369.2,878647.4869384766,202682.01806640625
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(20:1),696.7 -> 369.2,845169.5614013672,178714.83142089844
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(20:2),694.6 -> 369.2,818257.2954101562,158766.2880859375
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(20:3),692.6 -> 369.2,744249.513671875,151169.55102539062
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(20:4),690.6 -> 369.2,526446.7568359375,112132.32800292969
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(20:5),688.6 -> 369.2,265705.45834350586,97148.2056274414
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(22:0),726.7 -> 369.2,199579.47518920898,90140.76748657227
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(22:1),724.7 -> 369.2,205946.43334960938,90685.74505615234
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(22:2),722.7 -> 369.2,221359.79608154297,94868.18704223633
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(22:3),720.7 -> 369.2,376733.70623779297,154549.39056396484
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(22:4),718.6 -> 369.2,760286.1535644531,185314.8319091797
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(22:5),716.6 -> 369.2,833841.4395751953,192724.8515625
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(22:6),714.6 -> 369.2,839506.5385742188,193251.33251953125
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(24:1),752.7 -> 369.2,824907.5374908447,296737.53874206543
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(46:3;O2),1089.0 -> 369.2,804951.26329422,219608.2757911682
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(48:3;O2),1117.1 -> 369.2,317353.80351257324,82074.34563827515
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(50:3;O2),1145.1 -> 369.2,399155.5675582886,110774.78842926025
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CE,CE(52:3;O2),1173.1 -> 369.2,86049.5860748291,17354.021743774414
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,1-O-behenoyl-Cer(d18:1/16:0),860.8 -> 264.4,34993.262214660645,27616.46171951294
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,1-O-carboceroyl-Cer(d18:1/18:0),973.0 -> 264.4,7887.820468902588,2295.740062713623
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,1-O-cerotoyl-Cer(d18:1/16:0),916.9 -> 264.4,56626.68326950073,49074.00275802612
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,1-O-cerotoyl-Cer(d18:1/18:0),944.9 -> 264.4,16180.161041259766,8615.44051361084
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,1-O-eicosanoyl-Cer(d18:1/16:0),832.8 -> 264.4,11178.260723114014,2705.760124206543
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,1-O-lignoceroyl-Cer(d18:1/16:0),888.9 -> 264.4,128046.36904907227,120040.48851776123
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,1-O-pentacosanoyl-Cer(d18:1/16:0),902.9 -> 264.4,113573.20904159546,104590.36840438843
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,1-O-tricosanoyl-Cer(d18:1/16:0),874.9 -> 264.4,135550.37031173706,126990.34968948364
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,1-O-tricosanoyl-Cer(d18:1/18:0),1001.0 -> 264.4,5155.200401306152,811.7200927734375
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d12:0/14:0),428.4 -> 182.4,30774.302185058594,112.3399658203125
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,"Cer(d14:2(4E,6E)/16:0)",480.4 -> 206.4,9602.800636291504,331.2999687194824
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,"Cer(d14:2(4E,6E)/18:1(9Z))",506.5 -> 206.4,8877.34058380127,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,"Cer(d14:2(4E,6E)/20:1(11Z))",534.5 -> 206.4,9588.000774383545,1868.260238647461
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d15:1/16:0),496.5 -> 222.4,16251.301277160645,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,"Cer(d15:2(4E,6E)/20:0)",550.5 -> 220.4,12156.200744628906,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,"Cer(d15:2(4E,6E)/22:0)",578.6 -> 220.4,11380.12092590332,1011.600212097168
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d16:1/17:0),524.5 -> 236.4,42903.00311279297,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d16:1/23:0),608.6 -> 236.4,11596.560745239258,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/13:0),498.5 -> 266.4,21747.361557006836,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/14:0),512.5 -> 266.4,25765.101806640625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/15:0),526.5 -> 266.4,24622.801635742188,2824.500030517578
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/16:0),540.5 -> 266.4,58309.224060058594,1714.9400024414062
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/17:0),554.6 -> 266.4,60897.36413574219,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/18:0),568.6 -> 266.4,24366.841735839844,1121.360107421875
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/19:0),582.6 -> 266.4,23624.841720581055,1255.6600799560547
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/20:0),596.6 -> 266.4,26695.201568603516,1546.1597290039062
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/21:0),610.6 -> 266.4,29813.042083740234,1771.1600646972656
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/22:0),624.6 -> 266.4,27776.181610107422,885.3397674560547
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/23:0),638.6 -> 266.4,26815.2218170166,1325.6799774169922
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/24:0),652.7 -> 266.4,73688.32458496094,6935.5802001953125
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/25:0),666.7 -> 266.4,67027.64416503906,179.559326171875
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/26:0),680.7 -> 266.4,37811.342834472656,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/27:0),694.7 -> 266.4,38411.08255004883,682.3800048828125
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/29:0),722.7 -> 266.4,23369.76188659668,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/30:0),736.8 -> 266.4,22763.581573486328,2858.6600952148438
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/31:0),750.8 -> 266.4,17145.78123474121,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/32:0),764.8 -> 266.4,18658.421279907227,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/h17:0),570.5 -> 266.4,23552.721618652344,1062.5601959228516
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/h24:0),668.7 -> 266.4,66100.90417480469,2011.5391845703125
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:0/h26:0),696.7 -> 266.4,37228.58270263672,2590.9403686523438
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/12:0),482.5 -> 264.4,13702.380935668945,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/14:0),510.5 -> 264.4,18047.64125061035,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/16:0),538.5 -> 264.4,27773.801971435547,3608.320068359375
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/17:0),552.5 -> 264.4,26161.381866455078,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/18:0),566.6 -> 264.4,19111.721336364746,467.2200241088867
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/18:1(9Z)),564.5 -> 264.4,17384.681106567383,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/19:0),580.6 -> 264.4,19799.18116760254,1218.8199615478516
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/20:0),594.6 -> 264.4,17296.36116027832,2452.900077819824
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/22:0),622.6 -> 264.4,16935.281127929688,1810.3801040649414
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/23:0),636.6 -> 264.4,21990.70149230957,6957.52033996582
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/24:0),650.6 -> 264.4,19778.12139892578,725.6800994873047
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/24:1(15Z)),648.6 -> 264.4,28354.101760864258,6843.120254516602
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/25:0),664.7 -> 264.4,22809.58139038086,4860.120132446289
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/26:0),678.7 -> 264.4,18196.42124938965,1920.0799713134766
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/26:1(17Z)),676.7 -> 264.4,16077.50112915039,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/27:0),692.7 -> 264.4,16620.921264648438,1618.4002227783203
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/28:0),706.7 -> 264.4,12641.48091506958,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/29:0),720.7 -> 264.4,13456.160888671875,1116.5401153564453
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/2:0),342.3 -> 264.4,21931.72166442871,579.2002105712891
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/30:0),734.7 -> 264.4,13984.540939331055,1043.9200286865234
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/31:0),748.8 -> 264.4,11886.22095489502,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/32:0),762.8 -> 264.4,10929.700782775879,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/33:0),776.8 -> 264.4,10560.500732421875,125.92001342773438
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/34:0),790.8 -> 264.4,10944.020725250244,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:1/35:0),804.8 -> 264.4,12832.000988006592,1010.1801872253418
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/14:0),508.5 -> 262.4,15502.421157836914,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/15:0),522.5 -> 262.4,12820.901000976562,34.260047912597656
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/16:0),536.5 -> 262.4,17949.241333007812,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/18:1),562.5 -> 262.4,12146.300811767578,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/20:0),592.6 -> 262.4,14261.48104095459,1144.2201080322266
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/20:1),590.6 -> 262.4,14096.920989990234,702.1200180053711
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/21:0),606.6 -> 262.4,18342.381256103516,2134.8801345825195
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/22:0),620.6 -> 262.4,14229.121101379395,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/23:0),634.6 -> 262.4,17917.461380004883,796.4601554870605
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/25:0),662.6 -> 262.4,21505.2615814209,3866.1603088378906
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/27:0),690.7 -> 262.4,17447.961212158203,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/28:0),704.7 -> 262.4,20703.861526489258,2908.2801208496094
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/29:0),718.7 -> 262.4,20557.501358032227,1836.7399139404297
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/30:0),732.7 -> 262.4,19677.521438598633,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d18:2/32:0),760.8 -> 262.4,19106.52130126953,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,Cer(d20:0/26:0),708.7 -> 294.4,15488.001068115234,2027.2001113891602
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,CerP(d18:0/16:0),620.5 -> 266.4,29477.281829833984,2913.4801025390625
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,Cer,CerP(d18:1/12:0),562.4 -> 264.4,19749.761505126953,0.0
