Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Position,Genotype,Brain Region,Sex,method_type,Blank Subtraction
PG (44:8),892.6,703.6,34687.202575683594,892.6 -> 703.6,PG,PG_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PG,7492.48046875
PG (44:7),894.6,705.6,31636.7421875,894.6 -> 705.6,PG,PG_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PG,1099.4197845458984
PG (44:6),896.6,707.6,30522.62208557129,896.6 -> 707.6,PG,PG_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PG,903.30029296875
PG (44:5),898.6,709.6,34204.9425201416,898.6 -> 709.6,PG,PG_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PG,11596.10090637207
PG (44:4),900.6,711.6,32948.442070007324,900.6 -> 711.6,PG,PG_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PG,4143.360084533691
PG (44:3),902.7,713.7,27568.261852264404,902.7 -> 713.7,PG,PG_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PG,0.0
PG (44:2),904.7,715.7,30198.9418258667,904.7 -> 715.7,PG,PG_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PG,0.0
PG (44:1),906.7,717.7,28357.782096862793,906.7 -> 717.7,PG,PG_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PG,333.6401596069336
PG (44:0),908.7,719.7,29327.062103271484,908.7 -> 719.7,PG,PG_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PG,4582.520202636719
Lyso_PI(12:0) | PI (12:0),534.2,257.2,71548.58477783203,534.2 -> 257.2,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,19848.82098388672
Lyso_PI(12:0) | PI (12:0),534.2,257.2,70659.92568969727,534.2 -> 257.2,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,17337.822479248047
Lyso_PI(12:0) | PI (12:0),534.2,257.2,71486.62503051758,534.2 -> 257.2,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,16462.940704345703
Lyso_PI(13:0),548.2,271.2,116219.48864746094,548.2 -> 271.2,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,26216.601501464844
Lyso_PI(14:1),560.2,283.2,492905.51513671875,560.2 -> 283.2,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,205686.43322753906
PI (14:1),560.3,283.3,504336.79626464844,560.3 -> 283.3,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,228305.7374267578
Lyso_PI(14:0) | PI (14:0),562.3,285.3,80269.96612548828,562.3 -> 285.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,13154.200866699219
Lyso_PI(14:0) | PI (14:0),562.3,285.3,77404.00573730469,562.3 -> 285.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,15607.960510253906
Lyso_PI(15:1) | PIp (16:0),574.3,297.3,67377.20484924316,574.3 -> 297.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(15:1) | PIp (16:0),574.3,297.3,73891.20491027832,574.3 -> 297.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(15:0) | PIo (16:0),576.3,299.3,564576.1209793091,576.3 -> 299.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,487327.6344985962
Lyso_PI(15:0) | PIo (16:0),576.3,299.3,564512.1929969788,576.3 -> 299.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,490470.3082923889
Lyso_PI(16:1) | PI (16:1),588.3,311.3,1493.8201026916504,588.3 -> 311.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,31.260009765625
Lyso_PI(16:1) | PI (16:1),588.3,311.3,1479.9601020812988,588.3 -> 311.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,10.319995880126953
Lyso_PI(16:0) | PI (16:0),590.3,313.3,1527.3001022338867,590.3 -> 313.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,51.08000564575195
Lyso_PI(16:0) | PI (16:0),590.3,313.3,1488.2601013183594,590.3 -> 313.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(17:2),600.3,323.3,73574.08474731445,600.3 -> 323.3,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(17:1) | PIp (18:0),602.3,325.3,52347.70462036133,602.3 -> 325.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(17:1) | PIp (18:0),602.3,325.3,52208.30383300781,602.3 -> 325.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(17:1) | PIp (18:0),602.3,325.3,49741.40414428711,602.3 -> 325.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(17:0),604.3,327.3,392852.9119873047,604.3 -> 327.3,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,264246.68518066406
PIo (18:0),604.4,327.4,397564.3499145508,604.4 -> 327.4,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,289504.76171875
Lyso_PI(18:4) | PI (18:4),610.3,333.3,68908.92468261719,610.3 -> 333.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(18:4) | PI (18:4),610.3,333.3,67838.08477783203,610.3 -> 333.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(18:3) | PI (18:3),612.3,335.3,3834955.607788086,612.3 -> 335.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,3764121.582092285
Lyso_PI(18:3) | PI (18:3),612.3,335.3,3930294.1212158203,612.3 -> 335.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,3857818.6571350098
Lyso_PI(18:2) | PI (18:2),614.3,337.3,149668.54858398438,614.3 -> 337.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,85784.76345825195
Lyso_PI(18:2) | PI (18:2),614.3,337.3,149745.21069335938,614.3 -> 337.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,87183.58755493164
Lyso_PI(18:1) | PI (18:1),616.3,339.3,76160.14535522461,616.3 -> 339.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(18:1) | PI (18:1),616.3,339.3,72141.82443237305,616.3 -> 339.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(18:0) | PI (18:0),618.3,341.3,79190.18518066406,618.3 -> 341.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(18:0) | PI (18:0),618.3,341.3,83925.7661743164,618.3 -> 341.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(19:1),630.3,353.3,171724.43200683594,630.3 -> 353.3,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,42542.28210449219
PIp (20:0),630.4,353.4,172845.0137939453,630.4 -> 353.4,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,45905.024658203125
Lyso_PI(19:0),632.3,355.3,529254.7145385742,632.3 -> 355.3,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
PIo (20:5),632.4,355.4,401664.26306152344,632.4 -> 355.4,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(20:5) | PI (20:5),636.3,359.3,91448.02639770508,636.3 -> 359.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,14206.561645507812
Lyso_PI(20:5) | PI (20:5),636.3,359.3,90679.0873413086,636.3 -> 359.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,12476.701141357422
Lyso_PI(20:4) | PI (20:4),638.3,361.3,74845.50500488281,638.3 -> 361.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,14337.44075012207
Lyso_PI(20:4) | PI (20:4),638.3,361.3,72096.44534301758,638.3 -> 361.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,10331.720397949219
Lyso_PI(20:3) | PI (20:3),640.3,363.3,71380.48556518555,640.3 -> 363.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,15005.14208984375
Lyso_PI(20:3) | PI (20:3),640.3,363.3,66447.80508422852,640.3 -> 363.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,5914.060272216797
Lyso_PI(20:2) | PI (20:2),642.3,365.3,1003061.4029541016,642.3 -> 365.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,935775.1580200195
Lyso_PI(20:2) | PI (20:2),642.3,365.3,1007710.8746337891,642.3 -> 365.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,942236.0698852539
Lyso_PI(20:1),644.3,367.3,165078.49047851562,644.3 -> 367.3,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,49008.32189941406
PI (20:1),644.4,367.3,169894.91040039062,644.4 -> 367.3,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,50086.64245605469
Lyso_PI(20:0) | PI (20:0),646.4,369.4,61579.3039855957,646.4 -> 369.4,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(20:0) | PI (20:0),646.4,369.4,61042.98391723633,646.4 -> 369.4,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
Lyso_PI(21:0),660.4,383.4,84067.546875,660.4 -> 383.4,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,20741.781799316406
Lyso_PI(22:6) | PI (22:6),662.3,385.3,75545.02505493164,662.3 -> 385.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,5902.720001220703
Lyso_PI(22:6) | PI (22:6),662.3,385.3,75985.60598754883,662.3 -> 385.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,9000.58169555664
Lyso_PI(22:4) | PI (22:4),666.3,389.3,73600.02499389648,666.3 -> 389.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,29210.901580810547
Lyso_PI(22:4) | PI (22:4),666.3,389.3,73409.66497802734,666.3 -> 389.3,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,26512.461334228516
Lyso_PI(22:2) | PI (22:2),670.4,393.4,52567.44366455078,670.4 -> 393.4,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,4451.740585327148
Lyso_PI(22:2) | PI (22:2),670.4,393.4,54188.56330871582,670.4 -> 393.4,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,783.9001159667969
Lyso_PI(22:1) | PI (22:1),672.4,395.4,72899.08612060547,672.4 -> 395.4,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,9728.64144897461
Lyso_PI(22:1) | PI (22:1),672.4,395.4,72859.7847290039,672.4 -> 395.4,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,17074.601348876953
Lyso_PI(22:0) | PI (22:0),674.4,397.4,206093.8515625,674.4 -> 397.4,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,118138.80493164062
Lyso_PI(22:0) | PI (22:0),674.4,397.4,204358.29693603516,674.4 -> 397.4,PI | PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,116425.37158203125
PI (24:0),716.4,439.4,68688.38439941406,716.4 -> 439.4,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,22114.681427001953
PI (26:1),742.4,465.4,164507.2119140625,742.4 -> 465.4,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,20107.92236328125
PI (26:0),744.4,467.4,61271.764892578125,744.4 -> 467.4,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
PIp (28:0),756.5,479.5,39659.642486572266,756.5 -> 479.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,7683.140045166016
PIo (28:0),758.5,481.5,75431.64514160156,758.5 -> 481.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,26540.401916503906
PI (28:2),768.4,491.4,37711.26298522949,768.4 -> 491.4,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
PI (28:1),770.5,493.5,51201.20346069336,770.5 -> 493.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,5956.699554443359
PI (28:0),772.5,495.5,83152.7866821289,772.5 -> 495.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,12120.781860351562
PIp (30:1),782.5,505.5,115095.78778076172,782.5 -> 505.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
PIo (30:1),784.5,507.5,85775.0866394043,784.5 -> 507.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
PIo (30:0),786.5,509.5,106644.40740966797,786.5 -> 509.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,36531.4423828125
PI (30:4),792.4,515.4,52417.74417114258,792.4 -> 515.4,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,16952.34196472168
PI (30:3),794.5,517.5,36376.36247253418,794.5 -> 517.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
PI (30:2),796.5,519.5,98563.8671875,796.5 -> 519.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,4106.741271972656
PI (30:1),798.5,521.5,135217.0469970703,798.5 -> 521.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,44375.38073730469
PI (30:0),800.5,523.5,310404.60302734375,800.5 -> 523.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,78020.005859375
PIp (32:1),810.5,533.5,53242.40380859375,810.5 -> 533.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
"PIo (32:1), PIp (32:0)",812.5,535.5,95205.18713378906,812.5 -> 535.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,27978.942138671875
PIo (32:0),814.6,537.6,172066.57299804688,814.6 -> 537.6,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,62015.78479003906
PI (32:5),818.5,541.5,52770.90321350098,818.5 -> 541.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,15441.200729370117
PI (32:4),820.5,543.5,78353.60540008545,820.5 -> 543.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,44524.60349273682
PI (32:3),822.5,545.5,45247.76300048828,822.5 -> 545.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,7984.100158691406
PI (32:2),824.5,547.5,291768.1220703125,824.5 -> 547.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,32870.24365234375
PI (32:1),826.5,549.5,293106.51953125,826.5 -> 549.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,67953.904296875
PI (32:0),828.5,551.5,465637.03271484375,828.5 -> 551.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,106615.126953125
PIp (34:4),832.5,555.5,39283.92254638672,832.5 -> 555.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,7725.540374755859
"PIo (34:4), PIp (34:3)",834.5,557.5,38098.042541503906,834.5 -> 557.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,4083.800262451172
"PIo (34:3), PIp (34:2)",836.5,559.5,53689.483795166016,836.5 -> 559.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,15747.881286621094
PIp (34:1),838.6,561.6,63717.303771972656,838.6 -> 561.6,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,13391.719818115234
"PIo (34:1), PIp (34:0)",840.6,563.6,153183.19177246094,840.6 -> 563.6,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,66152.42565917969
PIo (34:0),842.6,565.6,129319.82861328125,842.6 -> 565.6,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,49188.3232421875
PI (34:6),844.5,567.5,43168.32342529297,844.5 -> 567.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,3741.5006256103516
PI (34:5),846.5,569.5,76796.72567749023,846.5 -> 569.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,20210.52178955078
PI (34:4),848.5,571.5,41874.50280761719,848.5 -> 571.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,7510.000671386719
PI (34:3),850.5,573.5,58902.584228515625,850.5 -> 573.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,11361.520324707031
PI (34:2),852.5,575.5,242025.51708984375,852.5 -> 575.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,63650.446044921875
PI (34:1),854.5,577.5,318003.42236328125,854.5 -> 577.5,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
PI (34:0),856.6,579.6,377184.56689453125,856.6 -> 579.6,PI,PI_DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male,PI,0.0
