Lipid,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon
Lyso_PE(20:5),98819.9072265625,93538.5068359375,83122.82580566406,91800.6864013672,1493.7801132202148,19662.681350708008,19152.42149353028,96589.0069580078,84460.30712890625,20237.841274261475
Lyso_PE(21:0),87757.24655151367,87636.82614135742,48976.94348144531,55654.04473876953,40803.003189086914,30865.78204345703,35582.04244995117,59641.24383544922,59982.94393920898,45611.46405029297
Lyso_PE(22:0),56585.16387939453,59917.04415893555,43939.88285827637,53942.10363769531,36129.40211486816,23884.32165527344,27198.022079467773,54472.66445922852,60362.86328125,23103.74157714844
Lyso_PE(22:1),41971.14266967773,41009.56282043457,35864.202377319336,39181.60284423828,29172.541748046875,22803.68170166016,25360.44163513184,39574.52282714844,35798.502380371094,25828.021850585938
Lyso_PE(22:2),53169.623046875,53241.88319396973,47137.2834777832,46934.46314239502,28129.241928100582,23799.18173217773,29089.76194763184,46831.3232421875,44720.44320678711,26945.82191467285
Lyso_PE(22:4),47519.12307739258,61551.60513305664,48646.70365905762,47068.742767333984,36923.64253234863,27571.1420211792,34298.96237182617,44725.063049316406,52443.684143066406,29076.881858825684
Lyso_PE(22:5),93331.02627563477,127142.36938476562,125781.90936279295,104717.34698486328,75621.48532104492,45936.48281860352,75396.98522949219,71308.66458129883,122977.3074951172,38627.14273071289
Lyso_PE(22:6),53752.10409545898,66757.36499023438,61184.38455200195,57161.58416748047,34541.30253601074,20840.18142700196,30662.802001953125,56729.54382324219,59869.224365234375,29588.06242370605
Lyso_PE(24:0),49776.903411865234,61649.54501342773,48846.883728027344,49925.744384765625,35370.24295043945,29271.70196533203,32055.622283935547,51296.68365478516,49808.76370239258,34971.7223815918
Lyso_PE(24:1),73293.564453125,76917.60604858398,64308.68548583984,62804.82376098633,48661.682388305664,41981.8229598999,49077.58329772949,64418.0244140625,66131.14393615723,50387.56346130371
Lyso_PE(24:6),52615.54379272461,56311.5846862793,42145.06314086914,50852.52381896973,54653.74327087402,35666.90277481079,43733.04328918457,50781.8840637207,54160.92385864258,27743.46202850341
Lyso_PG(12:0),78609.22625732422,94955.52685546876,71601.22485351562,90008.88598632812,76464.06622314453,90408.36694335938,88899.18688964844,76028.34558105469,85721.3662109375,87272.42645263672
Lyso_PG(13:0) | PG (12:0),145131.91064453125,177987.59252929688,147746.5498046875,128483.40942382812,120611.24853515624,112059.0078125,112850.96740722656,171392.11206054688,125325.68920898438,117497.80834960938
Lyso_PG(13:0) | PG (12:0)_2,150098.74963378906,189262.6728515625,160789.39282226562,147085.2508544922,126125.38891601562,108325.68786621094,115446.54858398438,177290.7529296875,124287.04858398438,126280.42919921876
Lyso_PG(14:0),91497.48596191406,88293.9859008789,56379.16394042969,82256.86560058594,95458.9267578125,73707.22509765625,99267.0672607422,62050.52429199219,75505.8447265625,82216.96569824219
Lyso_PG(14:1) | PG (14:1),1258672.4228515625,1028042.9047851562,638230.3408203125,1011577.1616210938,1758449.70703125,1129728.8994140625,1377536.2084960938,841124.8198242188,979346.2236328124,771176.2680664062
Lyso_PG(14:1) | PG (14:1)_2,1273893.7622070312,1016062.0776367188,645595.1977539062,991362.8793945312,1768414.1518554688,1131762.0078125,1408114.28125,831269.59765625,964704.9619140624,760768.568359375
Lyso_PG(15:0) | PGo (16:0),99884.14504623412,111522.5873413086,65276.94515991211,76440.50614929199,79442.98614501953,88679.32727050781,82327.16583251953,62146.34553909302,80399.00595092773,103298.28735351562
Lyso_PG(15:0) | PGo (16:0)_2,69923.82579040527,109663.9866027832,65061.50534057617,79943.26568603516,80524.4658203125,94875.60662841795,86121.12686157227,39628.24318695068,78163.62615966797,104955.32821655272
Lyso_PG(15:1),102172.9478149414,119784.80792236328,89928.96685791016,100178.10626220705,100217.62829589844,79701.7651977539,89803.64767456055,93185.98645019533,83363.88610839844,95708.88775634766
Lyso_PG(16:0),1453.4201126098633,1497.8000984191897,1554.1201057434082,1467.8801040649414,196479.4531555176,152307.66967773438,186140.9340209961,1471.7400970458984,1468.3800926208496,176357.0711669922
Lyso_PG(16:1) | PG (16:1),1684.7401084899902,1552.7801055908203,1530.340103149414,1634.6601028442385,66349.36459350586,68397.72528076172,72665.84478759766,1543.0001106262207,1531.640106201172,83069.04583740234
Lyso_PG(16:1) | PG (16:1)_2,1706.660125732422,1586.9801177978516,1552.8201141357422,1512.6801071166992,73526.4642944336,67515.16467285156,70501.2445678711,1488.840106964111,1575.9401092529297,78848.70449829102
Lyso_PG(17:0) | PG (16:0) | PGo (18:0),1727465.3676757812,1245639.6420898438,732898.9790039062,1262055.7163085938,1899850.7126464844,1153654.5563964844,1398261.315673828,1106026.0170898438,1254833.138671875,600435.4860839844
Lyso_PG(17:0) | PG (16:0) | PGo (18:0)_2,1625907.2641601562,1185238.2587890625,687843.9790039062,1232189.2143554688,2015514.9868164065,1188459.6889648438,1485995.8959960938,1049682.4501953125,1197653.798828125,640666.1799316406
Lyso_PG(17:0) | PG (16:0) | PGo (18:0)_3,1521635.9482421875,1127991.461669922,610883.6608886719,1133377.6079101562,2093113.771728516,1235036.7775878906,1556953.1655273438,984459.3425292968,1088854.1411132812,663693.0275878906
Lyso_PG(17:1) | PGp (18:0),54148.80422973633,68958.62487792969,52079.3432006836,58135.86352539063,85653.30581665039,55350.0637512207,82315.56579589844,44995.30346679688,45841.20343017578,84383.5864868164
Lyso_PG(17:1) | PGp (18:0)_2,59036.80407714844,70027.00537109375,50363.14419555664,58824.56433105469,82595.72589111328,52921.884033203125,82732.76611328125,46666.52314758301,47192.58364868164,84085.02572631836
Lyso_PG(17:2),64384.684814453125,75401.7258605957,61143.88516235352,72226.56481933594,64285.86462402344,61849.72427368164,64609.204650878906,79778.38555908203,61216.96441650391,69901.5453491211
Lyso_PG(18:0) | PG (18:0),634398.4738769531,573868.9445800781,795429.5872802734,864664.8092651367,274496.2174682617,271304.258972168,252140.6189575196,647106.1052246094,901902.1672973632,277496.9031982422
Lyso_PG(18:0) | PG (18:0)_2,632419.8797607422,586587.3552856445,802778.4462280273,889756.4171142578,276988.7353515625,269036.4365234375,251318.75744628903,640110.3377075195,913106.8505859376,274351.4606933594
Lyso_PG(18:1) | PG (18:1),59266.804107666016,65431.04461669922,47951.34329223633,56538.84442138672,53102.92343139648,49520.583251953125,52211.263427734375,53097.66375732422,50935.803619384766,63956.58459472656
Lyso_PG(18:1) | PG (18:1)_2,61069.84356689453,71908.42529296875,51354.80346679688,57408.16394042969,61003.92401123047,50755.503662109375,53643.78399658203,54014.92419433594,48055.043395996094,60859.06427001953
Lyso_PG(18:2) | PG (18:2),63475.22473144531,68170.06494140625,41276.68336486816,49932.503509521484,39960.98303985596,40403.72259521485,51973.44369506836,45693.72286987305,48032.6838684082,49853.363372802734
Lyso_PG(18:2) | PG (18:2)_2,62306.984130859375,70039.32461547852,42973.20329284668,47544.423278808594,44374.643814086914,40432.62271118164,56877.10339355469,46664.78317260742,45685.02291870117,56825.72351074219
Lyso_PG(18:3) | PG (18:3),126294.16860961914,128186.41116333008,110676.2456665039,110590.7279663086,90666.50567626952,82178.46502685547,101586.2074584961,108097.24780273438,103985.76895141602,107379.70635986328
Lyso_PG(18:3) | PG (18:3)_2,132135.30938720703,138765.0897216797,110777.3890991211,117494.8671875,83791.60534667969,86326.18725585938,104265.36758422852,99848.12823486328,112137.56689453124,107523.34646606444
Lyso_PG(18:4),66564.68450927734,85860.60638427734,62755.58465576172,77059.04528808594,61536.04479980469,67430.7649230957,62217.34494018555,63212.34423828125,62065.82409667969,79569.86477661133
Lyso_PG(19:0),102102.28771972656,113600.58792114258,105137.92782592772,111208.24822998048,7542.400505065918,1656.7801208496094,1630.2801208496094,96894.12677001952,107781.88677978516,4521.160301208496
Lyso_PG(19:1),60182.96502685547,67350.90414428711,47771.063385009766,59933.72471618652,1539.260108947754,2067.8201484680176,1491.420108795166,50951.98373413086,50688.74331665039,1457.360107421875
Lyso_PG(20:0),69926.54455566406,78979.90545654297,65402.36462402344,72648.86511230469,63605.12469482422,52936.24394607544,63783.88436889648,64141.50411987305,71316.72509765625,68487.56512451172
Lyso_PG(20:1) | PG (20:1),199992.37451171875,204851.4155273437,169580.41162109375,185115.91381835932,141077.81030273438,135680.8108139038,150701.69116210938,161161.3916015625,189009.61401367188,149723.64965820312
Lyso_PG(20:1) | PG (20:1)_2,196260.63256835932,207557.5524902344,173594.27221679688,188939.8732910156,136963.44897460938,130584.62813949584,151284.83081054688,164389.7508544922,189764.4936523437,152174.8106689453
Lyso_PG(20:2) | PG (20:2),409278.7787475586,679506.0567626953,202158.79595947263,288855.0391845703,200675.33438110352,269932.67991256714,231983.4186706543,386361.72970581055,1110743.507446289,335348.6989135742
Lyso_PG(20:2) | PG (20:2)_2,410978.7850952149,659222.9008789062,207679.8167724609,277433.16342163086,204273.7769165039,261288.9019126892,229102.4744262696,394050.2710266113,1116083.1503601074,338614.0032043457
Lyso_PG(20:3) | PG (20:3),60992.24490356445,71022.5256652832,54178.56423950195,62328.404541015625,43382.403747558594,32352.06227874756,43966.063049316406,53333.56405639648,55793.02365112305,43238.08331298828
Lyso_PG(20:3) | PG (20:3)_2,61960.724517822266,64133.085540771484,53458.60330200195,59360.02490234375,43510.6635131836,31257.76190567017,42583.42295837402,52252.06381225586,57100.00378417969,43176.90280151367
Lyso_PG(20:4) | PG (20:4),53665.90383911133,64777.54406738281,48290.02334594727,55504.14450073242,38263.022857666016,23117.98167037964,29395.582550048828,46675.883392333984,46869.30364990234,41808.28373336792
Lyso_PG(20:4) | PG (20:4)_2,52694.48370361328,62626.24395751953,45988.80380249024,51100.32357788086,37247.66262817383,22692.341346740723,32522.36199951172,50409.06393432617,47473.98355102539,44885.12287902832
Lyso_PG(20:5) | PG (20:5),93536.00720214844,116189.0887451172,86026.74609375,99798.80700683594,54350.90383529663,18926.5615234375,46889.36322021485,90312.50659179688,88813.34680175781,55922.6435508728
Lyso_PG(20:5) | PG (20:5)_2,100301.34765625,115493.9481201172,89173.58654785156,101364.38684082033,54362.28416442871,24862.52173995972,49014.203563690186,90336.94677734376,90423.46606445312,56678.303813934326
Lyso_PG(21:0),77618.22555541992,76416.50512695312,59667.5842590332,68776.28442382812,71841.1849975586,64879.50451660156,61995.704986572266,56096.80310058594,61217.86477661133,76288.76672363281
Lyso_PG(22:0) | PG (22:0),388397.3115234375,299290.2998046875,124028.98944091795,175154.57165527344,128361.60961914062,127635.51110839844,123025.18920898438,125371.20770263672,232407.77734375,129613.50732421876
Lyso_PG(22:0) | PG (22:0)_2,494939.8901367188,363965.40380859375,136011.8299560547,203715.37408447263,127314.50897216795,139483.65087890625,137872.86993408203,132831.85095214844,273797.4415283203,151267.8692626953
Lyso_PG(22:1) | PG (22:1),56016.80346679688,61704.28466796875,45944.74301147461,55850.62377929688,42728.823318481445,42366.663330078125,46195.40296936035,46507.783111572266,48134.862701416016,49789.70378112793
Lyso_PG(22:1) | PG (22:1)_2,53605.703674316406,58693.00408935547,45760.56314086914,51599.04318237305,47868.7033996582,42102.20310974121,46891.40301513672,46573.622955322266,47815.063385009766,50030.843505859375
Lyso_PG(22:2),87441.28747558594,74852.76498413086,66405.78477478027,77709.42590332031,57149.5438079834,52695.32504272461,62189.00520324707,63943.823806762695,63314.023529052734,61020.82498168945
Lyso_PG(22:4) | PG (22:4),116367.48809814452,119761.56866455078,112945.12878417967,91663.98648071288,73163.10412597656,70752.98461914062,70813.46563720703,75008.62524414062,81511.22467041016,71980.20492553711
Lyso_PG(22:4) | PG (22:4)_2,109633.8077392578,118605.84973144533,107015.927734375,89998.76495361328,67423.18389892578,65735.96490478516,68049.42477416992,78984.22564697266,82190.72634887695,72383.02529907227
Lyso_PG(22:6) | PG (22:6),77877.48693847656,89379.12701416016,67123.82434082031,84300.26666259766,76550.78552246094,62087.52426147461,75310.54504394531,73085.1650390625,69224.94506835938,81244.08544921875
Lyso_PG(22:6) | PG (22:6)_2,75546.74591064453,88294.32543945312,73007.82470703125,84481.82550048828,82898.18658447266,63821.98370361328,75406.48455810547,73765.96508789062,70963.66528320312,84391.86544799805
Lyso_PI(12:0) | PI (12:0),26482.561920166016,21872.961627960205,68302.94497680664,74737.4652709961,68516.46559143066,69559.30517578125,47534.32379150391,62948.00439453125,72001.904296875,63929.98400878906
Lyso_PI(12:0) | PI (12:0)_2,27914.84211349488,23635.581630706787,70072.86456298828,73569.52493286133,66701.16535949707,72514.0647277832,46315.36395263672,65184.444732666016,69831.80532836914,65931.64434814453
Lyso_PI(12:0) | PI (12:0)_3,26141.361568450928,22919.881565094,67789.64440917969,76466.34622192383,66922.50625610352,70307.16459655762,47535.423095703125,61735.00396728516,72060.3251953125,68475.02508544922
Lyso_PI(13:0),54049.80385971069,41458.34313201904,92059.9467163086,94366.20733642578,78218.90631103516,100321.04638671876,71578.2455444336,88041.56555175781,100036.94732666016,86445.34631347656
Lyso_PI(14:0) | PI (14:0),28600.541564941406,21771.1815032959,78718.44567871094,86690.42446899414,78933.42465209961,79741.34530639648,57177.1442527771,77018.10507202148,81696.1852722168,78921.18536376953
Lyso_PI(14:0) | PI (14:0)_2,31193.10231399536,22566.501735687256,80119.52658081055,85640.82638549805,83722.06677246094,76274.1242980957,59346.52449417114,71922.00552368164,82606.22671508789,80378.94665527344
Lyso_PI(14:1),227979.81832122803,68777.36492538452,548923.8675537109,586810.4587402344,649246.4865722656,590693.4376220703,417193.7364501953,577600.7016601562,569121.9011230469,554944.9953613281
Lyso_PI(15:0) | PIo (16:0),2766.700206756592,20767.781421661377,533027.7792816162,507624.4865036011,541179.3835144043,611136.9318237305,341210.94483947754,2981.9402198791504,419664.1083068848,747041.7401123047
Lyso_PI(15:0) | PIo (16:0)_2,2578.660202026367,13958.00080871582,524690.0135879517,499735.4829330444,535870.8276977539,610761.8307800293,354721.3103713989,3010.200187683105,390935.7881278992,752933.0030822754
Lyso_PI(15:1) | PIp (16:0),25298.141681671143,20816.681552886963,75834.58619689941,79174.8864440918,67913.44496154785,63686.02502441406,49598.22410583496,56597.76386642456,71749.40454101562,67538.64532470703
Lyso_PI(15:1) | PIp (16:0)_2,21312.281330108643,25304.221797943115,74089.54528808594,81690.1067199707,70760.80419921875,65148.26458740234,50019.6837310791,50827.68334197998,73202.16510009766,72923.36517333984
Lyso_PI(16:0) | PI (16:0),1635.8601150512695,1480.5401039123535,1567.200107574463,1547.2601127624512,95951.26806640624,80706.6654663086,69197.96463775635,1489.740104675293,1489.8201065063477,90765.68591308594
Lyso_PI(16:0) | PI (16:0)_2,1672.580108642578,1461.160099029541,1469.0401000976562,1478.280101776123,93221.0658569336,85159.06494140625,65349.48564147949,1527.2601051330566,1490.400104522705,92569.78631591795
Lyso_PI(16:1) | PI (16:1),1512.4001083374023,1461.1401023864746,1464.800106048584,1514.1201057434082,146457.29071044922,137414.38842773438,93450.36782073976,1548.7201042175293,1671.540111541748,129531.8305053711
Lyso_PI(16:1) | PI (16:1)_2,1560.1601066589355,1497.2001037597656,1606.0801162719729,1474.56010055542,138089.0884399414,136031.12857055664,101633.42797851562,1574.8601036071775,1551.680103302002,132821.46844482422
Lyso_PI(17:0),66517.10567855835,51427.56373214722,472161.42932128906,489445.947265625,434415.69299316406,392161.3770751953,262241.1778411865,451729.7956542969,440162.6307373047,345800.6390991211
Lyso_PI(17:1) | PIp (18:0),15888.001220703123,16624.881225585938,58258.02395629883,62418.78530883789,70246.34425354004,56134.084533691406,43889.80323791504,52067.64385986328,61055.78427124024,63783.76399230957
Lyso_PI(17:1) | PIp (18:0)_2,21370.32175064087,18149.52128982544,58474.82446289063,61442.42459106445,67698.00398254395,49347.02340698242,41726.24243164063,55174.4045715332,61300.06427001953,60621.78407287598
Lyso_PI(17:1) | PIp (18:0)_3,14916.701015472412,15123.400959014893,55434.36415863037,61760.02449798584,74555.32643127441,53713.72384643555,42702.60336303711,52496.223693847656,53306.544006347656,57508.86442565918
Lyso_PI(17:2),26649.161964416504,25638.04204940796,79326.94509887695,95575.02697753906,94695.46728515624,84302.64584350586,72777.8448638916,91277.56512451172,89759.5073852539,84095.34484863281
Lyso_PI(18:0) | PI (18:0),26964.6018409729,34684.862548828125,94868.02749633788,100225.06591796876,79584.92588806152,2110.4001502990723,1476.1201095581057,87577.46600341797,88591.98663330078,1469.5801010131836
Lyso_PI(18:0) | PI (18:0)_2,25745.88182067871,34451.3625793457,97017.7060546875,101701.18743896484,70214.54557037354,1624.0601119995115,1528.960105895996,86212.86614990234,90202.18518066406,1549.500114440918
Lyso_PI(18:1) | PI (18:1),38681.32262802124,24221.02160263061,92564.72671508788,101287.70495605467,72059.70501708984,1913.0401420593264,1708.5001182556152,84962.34674072266,94174.5281982422,1671.480110168457
Lyso_PI(18:1) | PI (18:1)_2,24426.521591186523,23580.961639404297,96279.5689086914,96689.26837158205,68850.4849243164,2450.080177307129,1745.60013961792,82652.2864074707,94537.46691894533,1529.6200981140137
Lyso_PI(18:2) | PI (18:2),32080.26220703125,19798.38143157959,207420.3297729492,320407.34423828125,324640.5463562012,175994.35049819946,2742.120174407959,270742.419342041,275018.4161682129,2166.4401512146
Lyso_PI(18:2) | PI (18:2)_2,35383.922790527344,19118.32146835327,194930.4557189941,310917.2185363769,316352.9814453125,155581.1092414856,2243.7601737976074,259043.83163452148,292098.3041229248,2420.980194091797
Lyso_PI(18:3) | PI (18:3),1001205.1164398192,128292.34872817992,5222462.502624512,9737565.974365234,10351165.05871582,6653299.061588287,6011448.339420319,8503795.555419922,8538973.434570312,3432882.2231140137
Lyso_PI(18:3) | PI (18:3)_2,884708.7465362549,121761.20742034912,5383401.006652832,9717353.28491211,10257214.948120115,6281913.514659882,5510963.465312958,8669269.057128906,8335527.7421875,3143541.560207367
Lyso_PI(18:4) | PI (18:4),19330.26146697998,22495.561809539795,70460.44506835938,77656.76525878906,55737.4841003418,64996.944915771484,44595.68355560303,79973.50549316406,73052.84490966797,76264.00668334961
Lyso_PI(18:4) | PI (18:4)_2,16677.261222839355,21912.30149078369,67203.64419555664,86024.38589477539,57006.963928222656,58346.92401123047,43000.94285964966,79983.64639282227,71221.40557861328,69600.4850769043
Lyso_PI(19:0),45698.52276611328,87234.50659179688,482824.270690918,432946.1262817383,122232.46685028076,257660.8764038086,277533.9567565918,371650.0692749024,304500.24017333984,391521.5315246582
Lyso_PI(19:1),49899.883251190186,61288.58380126953,199263.63305664065,330522.5059814453,8759.680561065674,131175.3076171875,112231.04776000977,244452.3192138672,238804.26306152344,142307.70880126953
Lyso_PI(20:0) | PI (20:0),20440.24147033692,19930.66131591797,106673.32723999023,183736.17178344727,180514.827835083,62549.44488525391,66212.50346374512,144194.06985473633,141523.2869873047,90995.88668823242
Lyso_PI(20:0) | PI (20:0)_2,18254.241271972656,22328.92156982422,105164.82763671876,181401.75067138672,178818.23100280762,60833.4248046875,67648.86587524414,146254.68990325928,130837.2495727539,89151.54725646973
Lyso_PI(20:1),51468.18369293213,79317.16619873047,151939.70959472656,210627.9747314453,129286.1279296875,151903.49047851562,122599.08813476562,160203.2314453125,162164.15161132812,168143.25170898438
Lyso_PI(20:2) | PI (20:2),130259.14949417114,37201.602478027344,561861.8635864258,696503.4417114258,381435.29878234863,1170886.2150268557,595144.7265930176,505923.1332397461,1106084.9411621094,544474.8129882812
Lyso_PI(20:2) | PI (20:2)_2,149225.45265197754,37587.6025390625,556768.84765625,702651.9847412109,383117.60021972656,1106764.4852600098,611715.9055175781,497973.990234375,1103466.2647705078,559198.289932251
Lyso_PI(20:3) | PI (20:3),18872.201274871823,20523.92153930664,72605.68594360352,81527.62503051758,53147.68426513672,64936.6848449707,51471.98324584961,58993.72412109375,73654.44584655762,58848.04365539551
Lyso_PI(20:3) | PI (20:3)_2,19539.40131378174,21250.781448364258,69017.185546875,75601.82522583008,51563.663650512695,62434.70349121094,50948.684005737305,56435.00396728516,71562.02555847168,56835.805000305176
Lyso_PI(20:4) | PI (20:4),19654.32146835327,17632.92108154297,87106.1657409668,93804.50717163086,55227.74401855469,68848.70486450195,46114.06354904175,94095.04693603516,84363.58575439453,69927.06451416016
Lyso_PI(20:4) | PI (20:4)_2,23932.98192214966,22660.181610107426,89753.96673583984,94955.28762817384,51825.86293029785,79732.8257446289,46581.12242889404,87761.36540222168,83724.88659667969,68896.7045135498
Lyso_PI(20:5) | PI (20:5),22629.86193847656,30076.642120361328,79494.80603027344,83452.42471313477,49164.38345336914,70780.54507446289,60477.24395751953,75278.1654663086,73108.32537841797,72705.96603393555
Lyso_PI(20:5) | PI (20:5)_2,20474.3614768982,30622.52243041992,88005.42596435547,90480.06634521484,50102.02349853516,72338.08581542969,56796.96453857422,76912.7063293457,75141.54516601562,76514.56466674805
Lyso_PI(21:0),30531.10185623169,30948.36196899414,91590.28720092772,116714.64852905272,264638.57638549805,101205.84634399414,61749.58438110352,90487.30712890624,106023.14736938477,156552.9949798584
Lyso_PI(22:0) | PI (22:0),63197.42398071289,37486.88262939453,140767.548828125,162554.51013183594,125089.00979614258,115492.04849243164,94750.1669921875,210111.9931640625,230140.8342895508,122210.96966552734
Lyso_PI(22:0) | PI (22:0)_2,64426.34423828125,35168.702365875244,141808.4517211914,165958.17218017578,131778.3096923828,116161.00805664062,93034.2880859375,206922.8153076172,233247.6756591797,119523.36868286131
Lyso_PI(22:1) | PI (22:1),24217.241607666016,26316.72204589844,61129.96496582031,93709.68716430664,66833.24462890625,55431.84411621094,45021.54254150391,60274.60552978516,68230.50482177734,77238.3860168457
Lyso_PI(22:1) | PI (22:1)_2,25263.66162109375,25449.00187683105,56105.20346069336,84807.12655639648,60314.784744262695,53557.20397949219,43399.06335449219,58132.86344909668,62749.44396972656,77494.32461547852
Lyso_PI(22:2) | PI (22:2),18399.001556396484,17725.281211853027,59695.10395812988,67441.2451171875,53020.74375152588,54673.72396850586,41852.26216125488,54786.64501953125,57248.22416687012,59025.20384979248
Lyso_PI(22:2) | PI (22:2)_2,15487.201053619385,16514.36127471924,60088.64375305176,62036.66416931152,51048.16374206543,55382.54476928711,43283.28317260742,51497.124282836914,57445.044189453125,57131.86425018311
Lyso_PI(22:4) | PI (22:4),21636.241695404053,24625.58140563965,83175.56524658203,87811.326171875,63331.00454711914,74127.18493652344,53155.38377380371,83404.62515258789,81822.56588745117,61864.20378112793
Lyso_PI(22:4) | PI (22:4)_2,24077.02137756348,23038.22187805176,80308.14596557617,89013.9653930664,63792.02368164063,71487.34497070312,51183.723724365234,82985.666015625,84073.0647277832,62778.22422790527
Lyso_PI(22:6) | PI (22:6),25573.12173461914,24869.0018157959,92250.28704833984,114139.36856079102,92995.88725280762,76259.06536865234,56531.24353027344,98876.60757446288,102606.70626831056,71226.36471557617
Lyso_PI(22:6) | PI (22:6)_2,26357.521926879883,22629.261688232426,94289.00485229492,110340.20837402344,95767.90649414062,77209.24542236328,58325.80438232422,98567.90661621094,103973.60610961914,75750.14443206787
Lyso_PS(12:0) | PS (12:0),40529.18291854858,40379.86267852783,17560.501140594482,30860.882347106934,70555.78540039062,64657.30401611328,77741.00494384766,19289.22120285034,68058.22454833984,80249.44561767578
Lyso_PS(12:0) | PS (12:0)_2,41123.04288482666,37503.60297012329,20239.18162155152,28622.24241638184,76382.52453613281,61082.52456665039,79008.08508300781,18242.98126220703,69191.96423339844,80427.02575683594
Lyso_PS(13:0) | PS (12:0),67089.68535995483,65955.86489486694,28188.1817893982,30142.342361450195,111091.10729980467,91875.1866455078,113592.12817382812,25317.381942749023,130069.4892578125,113651.88793945312
Lyso_PS(13:0) | PS (12:0)_2,63312.98459625244,64318.90487289429,28940.301986694336,31942.782302856445,107747.88830566406,97402.46704101562,112449.1279296875,26570.1819190979,142223.51025390625,121043.34887695312
Lyso_PS(14:0),35875.96283721924,28089.121921539307,19024.381217956543,33198.201583862305,109584.58709716795,84214.98571777344,106847.38720703124,20055.721435546875,84163.9857788086,89919.20553588867
Lyso_PS(14:1) | PS (14:1),386697.8882446289,239045.85823440552,266529.4800186157,723045.7475585938,2416793.9765625,1442131.3994140625,1858569.201171875,310130.40630340576,1328409.751953125,957770.1069335938
Lyso_PS(14:1) | PS (14:1)_2,386757.7848854065,228577.01641845703,278942.3008422852,751346.8651123047,2363559.783203125,1425891.8232421875,1875401.0864257808,383025.9913635254,1297693.3178710938,953562.9731445312
Lyso_PS(15:0) | PSo (16:0),42106.923080444336,10335.880744934082,21079.141624450684,23106.281719207764,85585.96618652344,89865.86529541016,82270.00601196289,26436.22201538086,37403.04232406616,109502.98776245116
Lyso_PS(15:0) | PSo (16:0)_2,29677.882411956787,7451.060451507568,7019.320518493652,3101.360218048096,85501.26641845703,87161.04721069336,86412.7857055664,26146.182167053223,6355.960464477539,117999.20974731444
Lyso_PS(15:1),46994.00308990479,46781.4033203125,22129.921558380127,59107.36399459839,130979.0698852539,102316.28698730467,121506.92895507812,15610.56116104126,123523.27069091795,134542.82971191406
Lyso_PS(16:0) | PS (16:0),1462.1001052856443,1468.0801048278809,1464.320110321045,1460.9600982666016,133364.57022094727,98567.60806274414,124966.19073486328,1461.380107879639,1574.340103149414,123650.07180786131
Lyso_PS(16:0) | PS (16:0)_2,1462.1800918579102,1464.6000938415527,1476.9000968933103,1466.6401023864746,141001.18823242188,104074.607421875,121338.04956054688,1462.1801109313965,1583.0200996398926,124145.52978515624
Lyso_PS(16:1) | PS (16:1),1611.7601127624512,1605.1201171875,1463.8400955200195,1549.7201042175293,69251.94485473633,59162.12438964844,66784.6439819336,1461.0801048278809,1762.2401161193848,74017.16516113281
Lyso_PS(16:1) | PS (16:1)_2,1461.840106964111,1480.9200897216797,1464.60009765625,1506.360092163086,65641.16519165039,66995.9047241211,66396.2847290039,1542.3000984191897,1519.4201011657717,79614.04510498047
Lyso_PS(17:0) | PSo (18:0),411613.6048965454,219361.6747894287,393649.284034729,1010029.682861328,2589490.008300781,1496242.6928710938,1880516.935546875,424428.30490493774,1814764.333984375,786981.4775390625
Lyso_PS(17:0) | PSo (18:0)_2,420836.767288208,208020.2352256775,393516.7474327088,947656.8311767578,2697833.5893554688,1578359.8095703125,2035057.6142578125,461631.9895095825,1715572.9594726562,833217.5737304688
Lyso_PS(17:0) | PSo (18:0)_3,358774.341506958,190187.8539199829,149694.4507637024,870793.7777099609,2825750.7607421875,1659603.2670898438,2133670.084472656,469982.4132461548,1618029.431640625,868063.9067382812
Lyso_PS(17:1) | PSp (18:0),22376.7815322876,18442.22137069702,17037.38104248047,20326.64153289795,89973.02630615234,56818.244384765625,82552.44650268555,12817.720882415771,56559.904052734375,80510.62548828125
Lyso_PS(17:1) | PSp (18:0)_2,22598.6017036438,19047.68130874633,9049.580646514893,22568.82148742676,88361.52572631836,57330.34414672852,81121.12564086914,13229.40069961548,55557.22415161133,86120.0258178711
Lyso_PS(17:2),27559.801918029785,24899.18170166016,17015.300937652588,24151.08168792725,57510.04473876953,50176.52365112305,60029.52426147461,16782.24112701416,61554.02429199219,62716.904052734375
Lyso_PS(18:0) | PS (18:0),35906.20281982422,34645.342334747314,30125.28234863281,31803.30191040039,84801.46618270874,59853.704528808594,7822.320690155029,24603.781776428223,95651.22686767578,17924.9012260437
Lyso_PS(18:0) | PS (18:0)_2,39160.10260391235,35935.66244125366,17383.781337738037,31220.722663879395,18671.841175079346,41798.14281463623,3706.840297698975,24906.98137664795,93131.72692871094,3684.180313110352
Lyso_PS(18:1) | PS (18:1),33183.24239730835,31371.542274475098,19576.62127304077,12476.380844116213,58371.484466552734,46029.16339111328,45845.94305038452,10629.680770874023,58000.303955078125,51605.28424453735
