Lipid,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo
Lyso_PI(18:2) | PI (18:2),32080.26220703125,320407.34423828125,2742.120174407959,209466.67485046387,286896.09939575195,32216.581508636475
Lyso_PI(18:2) | PI (18:2)_2,35383.922790527344,310917.2185363769,2243.7601737976074,217747.7539215088,285794.453704834,2434.940158843994
Lyso_PI(18:3) | PI (18:3),1001205.1164398192,9737565.974365234,6011448.339420319,6075404.322265625,8747848.963623047,1981734.8844451904
Lyso_PI(18:3) | PI (18:3)_2,884708.7465362549,9717353.28491211,5510963.465312958,6129537.108032227,8710851.886535645,2025487.797492981
Lyso_PI(18:4) | PI (18:4),19330.26146697998,77656.76525878906,44595.68355560303,65778.56491088867,84633.52445220947,26696.1618347168
Lyso_PI(18:4) | PI (18:4)_2,16677.261222839355,86024.38589477539,43000.94285964966,68408.10559082031,86147.0054321289,28261.581634521484
Lyso_PI(19:0),45698.52276611328,432946.1262817383,277533.9567565918,537758.0297851562,527039.861114502,133474.55117797852
Lyso_PI(19:1),49899.883251190186,330522.5059814453,112231.04776000977,199834.7745361328,215436.29528808597,68424.24536132812
Lyso_PI(20:0) | PI (20:0),20440.241470336918,183736.17178344727,66212.50346374512,110390.90756225586,84179.0658569336,30166.22203063965
Lyso_PI(20:0) | PI (20:0)_2,18254.241271972656,181401.75067138672,67648.86587524414,108143.90655517578,85246.2057800293,29862.682403564453
Lyso_PI(20:1),51468.18369293213,210627.9747314453,122599.08813476562,141323.27197265625,166653.33251953125,86753.28625488281
Lyso_PI(20:2) | PI (20:2),130259.14949417114,696503.4417114258,595144.7265930176,514094.0180053711,944450.6334533693,305557.8998413086
Lyso_PI(20:2) | PI (20:2)_2,149225.45265197754,702651.9847412109,611715.9055175781,512331.0799560547,938776.4866027832,295151.8788757324
Lyso_PI(20:3) | PI (20:3),18872.201274871823,81527.62503051758,51471.98324584961,69427.10412597656,93706.76776123048,30095.922332763672
Lyso_PI(20:3) | PI (20:3)_2,19539.40131378174,75601.82522583008,50948.684005737305,69665.7246017456,91361.56747436523,25777.04148864746
Lyso_PI(20:4) | PI (20:4),19654.32146835327,93804.50717163086,46114.06354904175,73522.30572509766,118785.22639465332,26514.061820983887
Lyso_PI(20:4) | PI (20:4)_2,23932.98192214966,94955.28762817384,46581.12242889404,72899.12484741211,115885.68811035156,26255.641555786133
Lyso_PI(20:5) | PI (20:5),22629.86193847656,83452.42471313477,60477.24395751953,86523.1650390625,96450.10717773438,38041.782623291016
Lyso_PI(20:5) | PI (20:5)_2,20474.361476898197,90480.06634521484,56796.96453857422,73109.76446533203,96217.40689086914,36479.40295410156
Lyso_PI(21:0),30531.10185623169,116714.64852905272,61749.58438110352,92840.06625366212,129096.44696044922,38776.062240600586
Lyso_PI(22:0) | PI (22:0),63197.42398071289,162554.51013183594,94750.1669921875,145815.60913085938,183840.1304321289,52331.62371826172
Lyso_PI(22:0) | PI (22:0)_2,64426.34423828125,165958.17218017578,93034.2880859375,152064.70892333984,180110.6915283203,56194.86437988281
Lyso_PI(22:1) | PI (22:1),24217.241607666016,93709.68716430664,45021.54254150391,55932.98376464844,65662.98425292969,31679.222091674805
Lyso_PI(22:1) | PI (22:1)_2,25263.66162109375,84807.12655639648,43399.06335449219,57738.10397338867,60971.704498291016,28474.04179382324
Lyso_PI(22:2) | PI (22:2),18399.001556396484,67441.2451171875,41852.26216125488,60017.74337768555,68658.44511413574,25460.84178161621
Lyso_PI(22:2) | PI (22:2)_2,15487.201053619385,62036.66416931152,43283.28317260742,54407.9040222168,63427.84408569336,26434.10157775879
Lyso_PI(22:4) | PI (22:4),21636.241695404053,87811.326171875,53155.38377380371,74207.72534179688,111836.68731689452,32515.28234863281
Lyso_PI(22:4) | PI (22:4)_2,24077.02137756348,89013.9653930664,51183.723724365234,76050.84600830078,106430.3464050293,35135.102294921875
Lyso_PI(22:6) | PI (22:6),25573.12173461914,114139.36856079102,56531.24353027344,96290.32858276369,96266.82736206056,37639.88246154785
Lyso_PI(22:6) | PI (22:6)_2,26357.521926879883,110340.20837402344,58325.80438232422,95625.72549438477,100304.52781677246,40897.48278808594
Lyso_PS(12:0) | PS (12:0),40529.18291854858,30860.882347106934,77741.00494384766,25795.301834106445,42363.82317352295,68183.5845336914
Lyso_PS(12:0) | PS (12:0)_2,41123.04288482666,28622.24241638184,79008.08508300781,28240.722076416016,41258.10308074951,60092.14447021485
Lyso_PS(13:0) | PS (12:0),67089.68535995483,30142.342361450195,113592.12817382812,30363.042266845703,62651.9843711853,95641.52612304688
Lyso_PS(13:0) | PS (12:0)_2,63312.98459625244,31942.782302856445,112449.1279296875,28475.34210205078,66407.22507095337,99995.5864868164
Lyso_PS(14:0),35875.96283721924,33198.201583862305,106847.38720703124,23480.64199447632,36825.92213439941,95322.12561035156
Lyso_PS(14:1) | PS (14:1),386697.8882446289,723045.7475585938,1858569.201171875,442712.2613525391,437247.667678833,1843878.0400390625
Lyso_PS(14:1) | PS (14:1)_2,386757.7848854065,751346.8651123047,1875401.0864257808,440766.7176513672,413562.32832336426,1838617.3159179688
Lyso_PS(15:0) | PSo (16:0),42106.923080444336,23106.281719207764,82270.00601196289,28020.62216567993,13514.88064956665,74195.22479248047
Lyso_PS(15:0) | PSo (16:0)_2,29677.882411956787,3101.360218048096,86412.7857055664,23516.06181716919,2676.00016784668,74141.82510375977
Lyso_PS(15:1),46994.00308990479,59107.36399459839,121506.92895507812,66512.00527191162,63030.50439071655,114339.60986328124
Lyso_PS(16:0) | PS (16:0),1462.1001052856443,1460.9600982666016,124966.19073486328,1476.820095062256,1484.620101928711,108193.7082824707
Lyso_PS(16:0) | PS (16:0)_2,1462.1800918579102,1466.6401023864746,121338.04956054688,1523.280117034912,1493.0200958251953,108573.52767944336
Lyso_PS(16:1) | PS (16:1),1611.7601127624512,1549.7201042175293,66784.6439819336,1465.7200927734375,1463.6001014709473,61598.30331420898
Lyso_PS(16:1) | PS (16:1)_2,1461.840106964111,1506.360092163086,66396.2847290039,1465.7800941467283,1463.300090789795,62395.34475708008
Lyso_PS(17:0) | PSo (18:0),411613.6048965454,1010029.682861328,1880516.935546875,302583.681842804,466859.409866333,1949182.4775390625
Lyso_PS(17:0) | PSo (18:0)_2,420836.767288208,947656.8311767578,2035057.6142578125,169785.63372802734,471776.87328338623,2034447.8559570312
Lyso_PS(17:0) | PSo (18:0)_3,358774.341506958,870793.7777099609,2133670.084472656,334620.6996269226,413431.58867645264,2174830.40625
Lyso_PS(17:1) | PSp (18:0),22376.7815322876,20326.64153289795,82552.44650268555,14041.700965881348,21661.04175186157,62760.98406982422
Lyso_PS(17:1) | PSp (18:0)_2,22598.6017036438,22568.82148742676,81121.12564086914,8116.920593261719,22807.46170425415,59675.12487792969
Lyso_PS(17:2),27559.801918029785,24151.08168792725,60029.52426147461,16240.761283874512,30699.241817474365,50977.18365478516
Lyso_PS(18:0) | PS (18:0),35906.20281982422,31803.30191040039,7822.320690155029,18270.561317443848,42345.36321258545,21730.02108001709
Lyso_PS(18:0) | PS (18:0)_2,39160.10260391235,31220.722663879395,3706.840297698975,16875.321140289307,41912.28272628784,3973.220260620117
Lyso_PS(18:1) | PS (18:1),33183.24239730835,12476.380844116213,45845.94305038452,16022.441188812256,34763.762466430664,51726.1633720398
Lyso_PS(18:1) | PS (18:1)_2,29117.50196456909,21673.08134460449,35545.58208465576,18964.22143936157,37130.36268615723,42056.66282272339
Lyso_PS(18:2) | PS (18:2),24224.601444244385,21420.321769714355,53316.04391479492,15703.16104888916,25579.321880340576,40571.02297973633
Lyso_PS(18:2) | PS (18:2)_2,25029.78169631958,17081.340896606445,52952.86395263672,14899.941314697266,25881.501949310303,41549.00276184082
Lyso_PS(18:3) | PS (18:3),38517.86332321167,68636.20463562012,107744.72836303712,43063.224060058594,42750.082805633545,88972.32730102539
Lyso_PS(18:3) | PS (18:3)_2,37322.96241760254,74038.4651260376,111254.12893676758,46733.78289794922,49186.28354263306,90121.50735473631
Lyso_PS(18:4),24473.341957092285,25127.682006835938,53523.863830566406,14829.420928955078,28563.822177886963,44876.24295043945
Lyso_PS(18:4)_2,24956.72173690796,26114.402114868164,53605.60345458984,16138.580909729004,28331.342010498047,47575.60348510742
Lyso_PS(19:0),40405.20288467407,26180.341594696045,48667.54322814941,46820.863498687744,42261.90301132202,45193.54261779785
Lyso_PS(19:1),27707.58221054077,21989.001274108887,34003.7622795105,20624.821533203125,31639.38220596313,27957.282077789307
Lyso_PS(20:0) | PS (20:0),44825.783203125,25618.64199066162,70735.30532836914,25465.62128067017,46715.22375488281,66418.52423095703
Lyso_PS(20:0) | PS (20:0)_2,48978.423828125,23356.32201385498,69053.38482666016,24787.061824798584,53203.02380371094,65915.86376953125
Lyso_PS(20:1) | PS (20:1),116344.36853027344,42480.743019104,157827.91186523438,49378.58358383179,123547.52905273438,148424.93090820312
Lyso_PS(20:1) | PS (20:1)_2,116032.32788085938,56013.084533691406,150870.13012695312,37521.822788238525,117766.30871582033,148917.24951171875
Lyso_PS(20:2) | PS (20:2),71950.42471313477,92326.08652114868,272683.3405761719,70398.02376556396,83133.02516174316,181936.49060058597
Lyso_PS(20:2) | PS (20:2)_2,73165.14535522461,89653.12752914429,270398.1398925781,48791.58422470093,78494.06533813477,180147.79452514648
Lyso_PS(20:3) | PS (20:3),24391.56170654297,19996.621520996094,57729.8434753418,17150.60121536255,29883.742141723636,46856.58271789551
Lyso_PS(20:3) | PS (20:3)_2,27867.22186279297,18256.04118347168,51251.36389160156,9829.400676727297,29893.84213256836,45878.86318969727
Lyso_PS(20:4) | PS (20:4),26970.88163757324,17417.341526031494,39308.10266113281,17175.12148284912,26518.561920166016,37240.58271026611
Lyso_PS(20:4) | PS (20:4)_2,25625.622009277344,14454.381145477297,43483.46263122559,8301.840595245361,32386.84228515625,36888.98262023926
Lyso_PS(20:5) | PS (20:5),60708.68420410156,36529.64253616333,80760.22619628906,33119.78231048584,59094.443992614746,69333.16479492188
Lyso_PS(20:5) | PS (20:5)_2,64102.76452636719,41415.50313568115,83352.88568115234,26088.601863861084,62976.40417480469,67603.4052734375
Lyso_PS(21:0),30573.382049560547,15246.500869750977,70783.10527038574,25009.061805725098,37943.74282836914,72747.10456848145
Lyso_PS(22:0 | PS (22:0),54786.3837890625,57092.92414855957,86106.54602050781,34075.46223449707,69000.44537353516,79425.94598388672
Lyso_PS(22:0 | PS (22:0)_2,51532.18377685547,72637.98488616943,83095.54663085938,81340.74394226074,75615.08544921875,78632.14624023438
Lyso_PS(22:1) | PS (22:1),21891.96165466309,12054.560958862305,46168.76307678223,16511.061149597168,28088.901977539062,40116.38272857666
Lyso_PS(22:1) | PS (22:1)_2,23901.72171020508,10684.480735778809,43646.18292236328,15057.280967712402,26647.34197998047,36823.3423614502
Lyso_PS(22:2) | PS (22:2),25041.261657714844,22540.68133544922,56507.10397338867,24671.38167190552,30875.261825561523,53319.46441650391
Lyso_PS(22:2) | PS (22:2)_2,23819.30160522461,24629.561714172363,57576.18423461914,24239.101497650143,30415.28187561035,51651.863998413086
Lyso_PS(22:4) | PS (22:4),35207.24249267578,21168.661586761475,71628.34530639648,24650.781410217285,41710.12274169922,61976.72399902344
Lyso_PS(22:4) | PS (22:4)_2,34356.562438964844,26954.961631774902,66004.14431762695,24751.242210388184,41276.48315429688,65844.42477416992
Lyso_PS(22:6) | PS (22:6),40415.52313232422,34185.58190155029,80277.84616088867,27228.38168334961,43683.763122558594,74991.38555908203
Lyso_PS(22:6) | PS (22:6)_2,42870.22305297852,30745.26202392578,78729.26440429688,65029.40412902832,47304.88391113281,69062.94549560547
Lyso_Sphinganine-1-phosphocholine,182085.63330078125,186465.23071289065,197707.0186767578,177199.77014160156,181039.21166992188,178498.99462890625
Lyso_Sphingosine-1-phosphocholine,94048.86730957033,98104.28723144533,106322.00720214844,92689.28552246094,91696.76708984376,104967.38720703124
O-(11-carboxyundecanoyl)carnitine,1698009.3786621094,1608644.2199707031,1543775.736328125,1698085.2265625,1613916.1791992188,1705820.2456054688
O-(13-carboxytridecanoyl)carnitine,2464997.854736328,2497472.518310547,2486930.6091308594,2559040.1791992188,2391943.559814453,2429390.343017578
O-(17-carboxyheptadecanoyl)carnitine,1916627.5317382808,1787021.61328125,1813601.7524414065,1858644.235839844,1762426.8129882812,1767753.1176757812
O-arachidonoylcarnitine,1879959.790527344,1825144.9770507808,1872888.494140625,1829549.857910156,1757919.6630859375,1786689.5073242188
O-behenoylcarnitine,1146124.9450950625,1110679.3093795776,1107254.2224349976,1243186.0341529846,1087461.7204818726,1069347.894615173
"O-oleoylcarnitine, Elaidic carnitine",2410372.6762695312,2916051.9331054688,2833547.6284179688,2752258.0747070312,2689731.6806640625,2955770.5419921875
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",1596917.227294922,1615202.787109375,1638445.1293945312,1599515.9545898438,1525306.733642578,1574279.4704589844
PC (30:0),86169.56600952148,118589.88662719728,134713.04946899414,85446.06591796875,106894.50701904295,136296.89154052734
PC (30:1),88982.3060760498,122133.58932495116,131660.08978271484,80584.42440795898,106675.58657836914,129153.18960571288
PC (30:2),84586.96543884277,120559.64868164062,138506.79061889648,84286.84475708008,106956.72563171388,128745.4481201172
PC (32:0),951137.5981445312,1698169.5415649414,2063338.8400268557,918412.5050964355,1695274.6646118164,1549376.1540527344
PC (32:1),942311.9768371582,1875814.616027832,1949665.0983581543,909514.6896972656,1737846.698562622,1479992.0049743652
PC (32:2),971271.4549255372,1742248.5977783203,1881470.266479492,888681.1894836426,1693392.9795837402,1491120.9206542969
PC (32:3),850410.770324707,1683215.1868896484,2026683.198852539,821572.4394836426,1648744.3404541016,1465353.6580810547
PC (32:4),371140.1830749512,910218.7320861816,1295923.1087341309,359651.3678894043,892133.5303344727,979930.5864715576
PC (32:5),206996.07334899905,435106.5923461914,589409.5653533936,233673.63146972656,491186.7600708008,528961.0158996582
PC (34:0),1000412.2849121094,2031450.9565429688,1963579.592590332,866225.389251709,1658331.635131836,1494279.4243164062
PC (34:1),1019534.3862304688,1999358.437866211,2062457.567199707,832891.242767334,1584422.2699890137,1361392.671661377
PC (34:2),1204827.7313232422,2262632.3309936523,2166422.607421875,974330.2805786132,1773052.9052734375,1552498.541168213
PC (34:3),1766868.8690185547,3549027.204711914,3741014.481384277,1514422.2919921875,2957979.50189209,2708315.1798095703
PC (34:4),1794084.9948730469,3676238.707092285,3780442.97064209,1535100.9788208008,3172906.318054199,2605119.6669921875
PC (34:5),1244225.732849121,2658677.5576782227,3125022.6955566406,1096450.8905334473,2433088.8147888184,2250776.16897583
PC (34:6),976127.1491088868,1849967.0333251955,2063399.7353515625,884154.3727111816,1857101.0505371091,1609492.417175293
PC (36:0); PCp(38:6),419005.1922302246,814761.6733093262,859278.4150085449,371050.5507507324,685493.4228515625,632495.3935241699
PC (36:0); PCp(38:6)_2,428272.1943359375,849949.5341796875,807032.3782043457,387057.87130737305,679997.5566253662,612348.4787902832
PC (36:1),446975.5899658203,878754.3044128418,851870.7861633301,377916.6846008301,663103.4117279053,649427.3399047852
PC (36:2),628427.1416931152,1158840.2968444824,1037596.5607299804,537738.2978515625,847160.022064209,828229.1197509766
PC (36:3),1350130.224609375,2228490.890686035,1985041.7884521484,1045861.549041748,1807210.1898498533,1337782.210021973
PC (36:4),1647646.500915527,3475730.7900390625,3262829.164581299,1288456.9608764648,2580587.481536865,2381969.712554932
PC (36:5),1354212.9745788574,2967515.1405029297,3001574.1837768555,1185896.539794922,2162571.8723754883,2061363.959075928
PC (36:6),1241169.74899292,2574484.727905273,2630318.8386535645,1088383.4785766602,1934864.098602295,1813187.6960144043
PC (36:7),1193220.4411010742,2375368.1112060547,2445248.6097717285,967950.117919922,2034762.8725891116,1764380.9009399414
PC (36:8),1049363.3710021973,2247650.9483032227,2131989.322631836,909409.100189209,1798319.2464294434,1631728.3421020508
PC (38:0),853704.7693481445,1127701.172088623,1278505.552581787,631298.3871765137,1009282.2167358398,1289065.557006836
PC (38:1),865905.3190917969,1135844.233215332,1358794.0057678225,592221.4651184082,983561.0431518556,1322059.735748291
PC (38:2),892448.0676879883,1274266.3102722168,1344833.375427246,648524.9678955078,1049721.795562744,1324352.5770263672
PC (38:3),1073292.9995422363,1527116.7940063477,1810788.3368530276,733409.0558166504,1359761.9300231934,1612255.463760376
PC (38:4),1048841.5700073242,1609402.3541870115,1711209.6922912598,694638.9065551758,1297878.4309387207,1543358.3270568848
PC (38:5),1021008.025756836,1607378.3634643557,1736420.1665039062,715339.180847168,1260228.1028823853,1478379.160308838
PC (38:6),1172053.4354858398,1949924.089691162,2098937.199951172,888608.2234191895,1606438.3504638672,1795237.9940490725
PC (38:7),1125359.0493774414,1726499.340270996,1935263.1427001955,856283.3559875488,1560848.6257781982,1752011.5234527588
PC (38:8),1050234.8379516602,1693249.315979004,1907706.6303710935,762141.875,1427662.9224853516,1616570.5712890625
PC (38:9),961502.595336914,1500634.0296020508,1661718.3981018066,683683.125213623,1246768.331863403,1437432.4979858398
PC (40:0),1497682.9777832031,1680957.9809570312,1680422.5,1406934.451171875,1641225.9169921875,1514652.2563476562
PC (40:1),1468236.936767578,1700013.3388671875,1600588.9738769531,1343858.9924316406,1600871.2556152344,1513989.288330078
PC (40:10),894838.0615234375,1256899.961151123,1404387.8872680664,607117.0198974609,1070705.473236084,1342595.8710021973
PC (40:2),1313510.0510253906,1592308.479736328,1506033.4770507812,1266040.3828125,1445804.3793945312,1421857.9594726562
PC (40:3),1242736.6970214844,1497742.2189941406,1414927.7182617188,1172074.507080078,1403812.8217773438,1340280.6010742188
PC (40:4),779947.1081542969,1166455.2385253906,1195902.6198730469,738866.7552490234,1065347.231201172,1133612.60546875
PC (40:5),328537.60540771484,519085.5973815918,542492.0680084229,286288.6177825928,401506.300491333,464638.3288574219
PC (40:6),397212.3690643311,668713.444519043,730970.3454284668,343910.8394012451,562489.4205627441,599021.5075378418
PC (40:7),463544.754486084,779393.6361083984,848565.0177612305,406310.2071838379,651532.3471603394,715559.0289916992
PC (40:8),619597.4418029785,1079630.8275756836,1114800.4551391602,496332.6663513184,835688.5118179321,937147.5898284912
PC (40:9),917385.2309875488,1273482.8093566897,1498995.9426879885,627679.4461669922,1040421.4789276124,1311757.3290252686
PC (42:0),597789.5999755859,606752.0329589844,513777.9915161133,571531.9820556641,611144.6981201172,462192.6714477539
PC (42:1),1429401.6518554688,1580248.3681640625,1477929.55078125,1395301.2550048828,1543437.5754394531,1367952.837890625
PC (42:10),1480060.446044922,1755151.4475097656,1671272.3852539062,1390838.8010253906,1630869.2497558594,1440315.918701172
PC (42:11),1495653.5903320312,1670027.0256347656,1566155.432861328,1370842.7514648438,1600535.9155273438,1458632.3681640625
PC (42:2),1486371.5275878906,1627966.7626953125,1507176.8815917969,1472346.9145507812,1650122.6301269531,1456398.7724609375
PC (42:3),1460753.2160644531,1643067.9645996094,1488914.888671875,1425224.78515625,1596411.5522460938,1449626.610107422
PC (42:4),1464559.2114257812,1641828.1818847656,1485688.9089355469,1448172.7036132812,1587961.853515625,1474943.6440429688
PC (42:5),1482555.3332519531,1665884.807861328,1524227.720703125,1439903.15234375,1623756.767578125,1476290.9057617188
PC (42:6),1502709.9184570312,1674441.3254394531,1539500.9555664062,1438833.6416015625,1661573.797607422,1512137.4345703125
PC (42:7),1592972.974609375,1824078.154296875,1707819.8840332031,1430750.20703125,1732079.9504394531,1551839.4333496094
PC (42:8),1552901.2020263672,1771407.0517578125,1670151.3139648438,1450821.5563964844,1713359.0939941406,1588308.3354492188
PC (42:9),1503447.3439941406,1766427.296875,1634938.5922851562,1448307.9693603516,1679547.171142578,1551718.8889160156
PC (44:0),45756.88317871094,52877.9236907959,51728.42370605469,41509.763595581055,50199.74341201782,39749.30347442627
PC (44:1),46302.143630981445,48379.52338409424,47291.58278656006,37398.04216003418,43022.92304611206,42335.70379638672
PC (44:10),113219.60813140868,129175.2488937378,118677.16793823242,102785.28579711914,116736.78796768188,97287.84564971924
PC (44:12),284804.5244293213,306733.2204284668,313421.4409790039,300988.5453262329,291309.3176422119,278639.35733795166
PC (44:2),49585.02342224121,57483.66480255127,54920.104568481445,42893.98307418823,57648.58447265625,46529.74428939819
PC (44:3),62690.68382263184,60580.82442855835,64789.46518325806,53834.583740234375,65134.12449645996,52881.38321685791
PC (44:4),64379.08465576172,67702.26553344727,70850.68384933472,55151.82418060303,63256.305183410645,54483.56430053711
PC (44:5),87080.18724060059,85826.90447998047,80793.52600860596,82106.20598220825,89093.26599884033,63894.92530059815
PC (44:6),111380.86932373048,123091.16621017456,105814.0492401123,99581.82461166382,119753.78854370116,91807.50692749023
PC (44:7),109048.80894470216,120873.25156402588,110662.84732055664,99595.26937866212,120145.04904937744,90940.6459236145
PC (44:8),116168.26929473875,123185.55112457275,116882.8077545166,93465.54606628418,111629.77028656006,89857.42552185059
PC (46:0),14307.94107055664,16303.201244354248,16129.32103729248,13836.061016082764,14624.041046142578,15206.701038360596
PC (46:1),13795.701007843018,16989.66121673584,15760.381031036375,13051.060985565186,15207.661052703856,14865.561092376707
PC (46:2),14535.44090270996,15717.58101272583,15708.081153869629,14298.42098236084,15345.701148986816,13477.46086883545
PC (48:0),11488.200824737549,13410.900749206545,12926.501121520996,11076.48091506958,11710.040767669678,11928.680709838867
PC (48:2),10285.22076034546,12677.121055603027,12502.680812835692,11302.240814208984,12647.440773010254,10822.940795898438
PC (50:0),13438.50075531006,13969.94102859497,14418.94100189209,12867.62075805664,12767.64077758789,13326.401023864746
PC (52:0),18868.22135925293,18664.961250305176,22769.84172058105,15793.82105255127,17715.281394958496,17260.421195983887
PC (52:4),18289.92113494873,17653.621139526367,20848.901302337646,14797.641159057615,17938.02117538452,16825.861209869385
PCo(32:0),100903.54597473145,146594.51321411133,159424.16957092285,98605.68704223631,134653.08953857422,158784.10942077637
PCo(32:1),102293.32754516602,151826.92991638184,166624.13049316406,98036.02825927734,136051.5675201416,156807.27128601074
PCo(32:2),115222.14743041992,148333.69180297852,182568.5938110352,104090.14855957033,136183.070602417,170799.83193969727
PCo(32:3),117158.80764770508,158095.20874023438,193576.3326416016,107517.78652954102,157233.29010009766,169989.13549804688
PCo(34:0),925146.2234191896,1852687.4654541016,2026725.0399475095,890829.9046630859,1772020.9450378418,1554959.5464782715
PCo(34:1),949149.4002685548,1760912.4243774414,1925527.985534668,836557.7827758789,1864116.1046447756,1537501.3479309082
PCo(34:2),965100.720703125,1720773.7974243164,2050089.9269714355,873466.6727905273,1758224.9862670898,1589609.732849121
PCo(34:3),941089.487487793,1863451.4622192385,2106365.666183472,861156.9035644531,1763247.6309814453,1550726.9732055664
PCo(34:4),951606.2817382812,1918888.3306274412,1949466.5006713867,897798.1742553711,1730674.6746826172,1526920.2843017578
PCo(36:0),1237980.8333740234,2492148.8572998047,2454141.2727661133,985556.0006103516,1962389.609680176,1682055.7160949707
PCo(36:1),1082742.4115600586,2107732.0633239746,2182051.833251953,886254.9305419922,1797999.77835083,1587787.961227417
PCo(36:2),979597.9373779296,1973464.741882324,1972439.817138672,915032.0212402344,1511355.2643432615,1441306.1291809082
PCo(36:3),1006314.4498901368,2127347.2319335938,2073152.1543273928,829683.8489685059,1500606.4892578125,1411666.9707641602
PCo(36:4),1042670.462097168,2082454.4313354488,2155597.518081665,801447.7275085449,1431668.9428710938,1416608.0233764648
PCo(36:5),1041972.3598632812,2007265.2786254885,2083047.4833374023,851258.0414733887,1543744.9982299805,1470403.4185180664
PCo(38:0),1130090.7080078125,1718077.7846069336,2034206.260925293,825970.1460571289,1578840.0939941406,1726232.7744140625
PCo(38:1),1016897.5207824708,1664056.4118652344,1866785.2911376955,748647.9049072266,1432004.8136291504,1734972.210571289
PCo(38:2),973374.471496582,1451372.8125,1619342.3543701172,702184.9002685547,1224057.0520324707,1394443.6295776367
PCo(38:3),875554.6360778809,1269032.7553710938,1541816.594696045,595374.3726501465,1138935.8477172852,1345728.2420654297
PCo(38:4),610657.1733703613,1043193.0126953124,1247938.2658081057,452112.3368682861,866796.5290527344,1117301.22416687
PCo(38:5),410612.0666809082,880924.3504638672,840430.8486633301,370541.0853729248,675798.6024475098,703554.7610931396
PCo(38:6),412889.6215820313,836501.2221984863,832823.8825683594,368741.4077758789,694621.4009094238,646225.1428833008
PCo(40:0),449037.5914611816,822242.0530700684,863831.1792755127,397670.1926269531,677280.8282623291,717999.8711242676
PCo(40:1),616535.3564147949,1027143.005645752,1154353.062286377,464494.3564758301,861455.7690734863,907024.3054962158
PCo(40:2),913257.0162963868,1242013.5863952637,1439969.0927734375,629017.6197814941,1050428.3242340088,1317964.581878662
PCo(40:3),919181.7241210938,1253525.4562072754,1385411.6895446775,646624.9703063965,1045768.1843414308,1303365.097442627
PCo(40:4),867473.6683959961,1150633.4737854004,1361350.747009277,592091.1392211914,1006265.9712524414,1309948.4259872437
PCo(40:5),846955.3981018066,1139552.556274414,1314595.5085754397,563822.5555419922,982965.7194519044,1327965.7137451172
PCo(40:6),835889.0125732422,1148600.1209716797,1247627.129852295,572118.697479248,993995.6159667968,1286036.501373291
PCo(42:0),1542779.884765625,1848805.5710449216,1681604.3107910156,1495613.3259277344,1733137.968017578,1581615.3425292969
PCo(42:1),1587381.870361328,1824431.748046875,1678872.1479492188,1478977.8442382812,1723927.0012207031,1562641.9033203125
PCo(42:2),1506876.7697753906,1734691.7124023438,1612398.7475585938,1415283.7329101562,1673034.333984375,1525203.5197753906
PCo(42:3),1498243.858642578,1724539.6611328125,1635620.6096191406,1394220.9753417969,1649062.812133789,1497135.6293945312
PCo(42:4),1465832.751953125,1678405.2131347656,1581705.375732422,1356419.6171875,1622556.8190917969,1469343.891357422
PCo(42:6),1443938.6794433594,1649620.0441894531,1565315.9934082031,1403809.8208007812,1566629.0415039062,1455816.8967285156
PCo(44:3),117998.84720611572,121635.7879638672,123535.90773010254,93023.8879699707,122887.58763885498,97204.80699920654
PCo(44:4),156022.38800048828,171675.8334197998,157875.05178833008,147200.11389160156,160393.0738067627,126299.8314666748
PCo(44:5),279793.16145324707,307773.6043395996,324050.0294113159,292618.2258605957,298842.2384185791,265210.65531921387
PCp(32:4),915933.8500366212,1740186.4307861328,1963846.80065918,848536.6537475586,1683208.6495666504,1542467.25881958
PCp(36:5),1023662.5672912598,2039162.4931640625,1986399.4479675293,869050.7075805664,1615279.8414001465,1502268.9339294434
PCp(40:6),860530.7993164062,1108438.1222229004,1318561.2338256836,576484.6815185547,1034923.158782959,1243199.4739074707
PCp(42:4),1435915.7016601562,1643876.397705078,1563865.328125,1395578.1723632812,1625884.244140625,1465324.9580078125
PCp(42:6),1504250.2575683594,1695483.2680664062,1652013.1081542969,1389594.9479980469,1624082.7678222656,1495375.201171875
PE (14:0),56239.40451049805,56879.36428833008,55542.484375,53812.56411743164,50008.64364624024,47137.743560791016
PE (14:1),437058.9523925781,452286.5618896485,459582.34576416016,466453.3524169922,423918.9479370117,447142.05078125
PE (16:0),1574.5601119995115,1472.780101776123,170159.0330810547,1523.66011428833,1544.0201110839844,154056.14840698242
PE (16:1),1536.14009475708,1834.9201278686523,75661.92510986328,1529.6601181030271,1896.0001182556152,86577.80624389648
PE (18:0),61579.003662109375,75411.68606567383,52595.80380249024,60010.54446411133,68460.78393554688,50784.4235534668
PE (18:1),77750.7451171875,80942.9052734375,62663.42443847656,61632.52407836914,63234.26516723633,40945.70278930664
PE (18:2),55644.24328613281,59983.88470458984,59692.5041809082,61885.02508544922,57509.78414916992,45679.422760009766
PE (18:3),97576.60748291016,101130.60919189452,83026.2861328125,94485.78564453124,91726.92700195312,73301.38586425781
