Lipid,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex
C20:4,32735.622283935547,49819.90333557129,443240.44958496094,43572.74293518066,54842.16376495361,596100.1388549805
C20:5,74016.66553497314,103986.2075958252,2072325.462463379,87672.50679016113,105897.68690490724,1976678.9348754885
C22:0,19029.86138534546,26404.801998138428,1573388.7415161133,23399.06170654297,28800.42206192017,1611712.4611816406
C22:1,12262.760818481443,14928.021049499512,396425.8852233887,15650.301082611084,15731.241065979004,473792.9331970215
C22:4,11518.540817260742,13894.041004180908,287421.85873413086,13860.760997772217,14972.061054229736,341043.86407470703
C22:5,18497.501358032227,25893.501750946045,1595236.7329711914,21134.021465301517,23460.461711883545,1641801.1001586914
C22:6,13802.64096069336,20045.46136856079,714058.3937988281,17106.52126312256,19049.58134841919,778891.28515625
C24:0,10721.740745544434,11840.92082977295,7640.640575408936,11934.700847625732,12840.300930023192,7647.160579681396
C24:1,9778.740676879885,11193.28080368042,7639.500553131103,11565.220832824709,11653.540878295898,7644.080593109131
C24:5,12792.980945587158,13827.74101638794,556735.4445800781,15738.401149749756,15673.68117904663,624001.2620849609
C24:6,10561.200748443604,13263.780952453611,272243.0631752014,14481.600986480713,14948.381107330322,354402.948135376
C26:0,9872.760688781738,11329.320789337158,263596.6177215576,11094.560760498049,11749.080814361572,286680.2801055908
C26:1,10679.94073867798,13171.200923919678,227776.5569458008,11862.660820007324,13194.920936584473,254328.7173461914
C28:0,10157.58067703247,11665.320838928224,610670.6045532227,10795.200824737549,12089.440864562988,921608.5438575743
C30:0,8350.92057800293,8562.020626068115,384803.0291366577,8692.980613708496,10072.56076812744,626821.5882339478
C32:0,8079.460540771484,8412.200569152832,226813.65603637692,8103.960582733154,8386.080642700195,279200.08086013794
C34:0,10201.14068222046,11093.140781402588,305333.1212348938,10494.02073287964,11146.400840759276,343453.66204071045
Cer(d14:1(4E)/20:0(2OH)),57777.78420257568,60768.66422653198,50150.32370376587,83618.00576019287,56527.96408843994,46970.323123931885
Cer(d14:1(4E)/20:1(11Z)(2OH)),76996.04591369629,74460.72595977783,52325.02319717407,100976.027053833,82429.40523529053,51607.24343109131
Cer(d14:1(4E)/22:0(2OH)),904654.271533966,862039.7985877991,899897.511341095,1045563.1411705016,763571.8783416748,861684.1185417175
Cer(d14:1(4E)/22:1(13Z)(2OH)),865813.1958465576,821842.8543510437,856637.6698722839,1003306.6694641112,741190.4307861328,843862.0259208679
Cer(d14:1(4E)/24:0(2OH)),130907.25006866457,122294.96878051758,125356.0083732605,138482.29209136963,114983.2476234436,123675.88765716551
Cer(d14:1(4E)/26:0(2OH)),505025.8565216065,492932.9487953186,440516.6707344055,378687.4689025879,567803.4783248901,491750.2019920349
"Cer(d14:2(4E,6E)/16:0)",40769.52279281616,41007.66272735596,37300.06266784668,36569.24269104004,40826.863262176514,45688.54325866699
"Cer(d14:2(4E,6E)/18:0(2OH))",45247.52335357666,50021.8431930542,45329.50323867798,41047.64293670654,47052.38296890259,48682.6035194397
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",45080.623222351074,49815.48331069946,44422.783126831055,38364.822425842285,48749.98352813721,50730.00401306152
"Cer(d14:2(4E,6E)/18:1(9Z))",39618.36284637451,46642.46323013306,39698.04281997681,36269.4024810791,43792.20291900635,46969.46282958984
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",59789.84421157837,71142.02465057373,50820.34362030029,68681.84567260742,62161.22441101074,60019.683948516846
"Cer(d14:2(4E,6E)/20:1(11Z))",40963.18310165405,46591.06354904175,41008.20303344727,39970.34275054932,46920.56356430054,42009.102840423584
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",721940.2105064392,670892.6943588257,746761.8124961853,801460.8133850098,602502.0379333496,671283.4963188171
"Cer(d14:2(4E,6E)/24:0(2OH))",129998.12881469728,126046.5083694458,130150.34770584106,126944.5873184204,128125.5679473877,136392.7901649475
"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",593627.7808227539,581360.4057617188,557008.7744750977,660388.5580444336,509987.1778259277,532292.3584594727
"Cer(d16:2(4E,6E)/24:0(2OH))",141637.86953735352,141703.29083251953,141010.5298461914,152708.03100585938,144627.31127929688,142850.1102294922
Cer(d18:0/14:0),66863.50491333008,69065.14440917969,71425.44549560547,76590.40516662598,72753.74540710449,65718.24452972412
Cer(d18:0/16:0(2OH)),157542.37243652344,175195.9535522461,151409.3317565918,154726.37161254883,149797.71005249023,161353.7706604004
Cer(d18:0/16:0),109625.56774902344,120050.1491394043,113740.40823364258,118692.06811523438,109609.50817871094,112117.84796142578
Cer(d18:0/18:0(2OH)),117435.24809265137,128627.12878417967,132048.20989990234,130583.3279876709,122910.10862731934,131247.60917663574
Cer(d18:0/18:0),136700.02981567383,154117.93182373047,168054.5304260254,149210.90942382812,140803.89176940918,147970.37173461914
Cer(d18:0/20:0(2OH)),183096.27249145508,195391.7543334961,211938.6728515625,200653.45449829104,188047.39164733887,189347.37405395508
Cer(d18:0/20:0),117931.08877563477,121169.94833374023,125222.98852539062,134113.38821411133,120012.84866333008,125828.38876342772
Cer(d18:0/22:0(2OH)),2286434.396728516,2247384.0450439453,2154655.430541992,2519364.7571411133,2208841.9205932617,2138940.8828125
Cer(d18:0/22:0),172038.23184204102,186121.9129333496,194704.15325927731,182697.05377197263,165527.31121826172,178499.39318847656
Cer(d18:0/24:0),2396469.434631348,2426856.960632324,2341771.2512817383,2625003.172973633,2309902.7052612305,2261162.507446289
Cer(d18:0/26:0),872896.2835693359,878020.8327026367,788809.9602050781,722315.9315795898,1052177.0668945312,937566.7385253906
Cer(d18:0/h24:0),256679.75750732425,279762.6620788574,283369.41983032227,290313.6188659668,268821.9165649414,274027.75885009766
Cer(d18:0/h26:0),868249.850189209,886196.2477416992,808704.8353271484,714557.6403198242,1050206.1356811523,922139.064086914
Cer(d18:1/12:0),61028.26476287842,62309.10482788086,47802.182861328125,60649.14424133301,59109.48402404785,46814.34299468994
Cer(d18:1/16:0),80432.16535949707,93757.44664764404,72981.7046661377,110343.84799194336,87653.74635314941,97444.96645355225
Cer(d18:1/18:0),59689.544372558594,127770.76694488524,56037.683586120605,107768.54822921751,115474.96814727785,103438.687210083
Cer(d18:1/18:1(9Z)),115773.1886062622,218115.5729675293,102569.3660812378,193545.1158370972,192164.97288513184,208010.8747253418
Cer(d18:1/20:0),52026.52410507202,65261.56423187256,50047.483432769775,57316.40448760986,54412.4843826294,48239.84332275391
Cer(d18:1/22:0),870953.7059364319,265908.45905303955,623142.6586608887,1037137.8373565674,160806.1912765503,307433.958732605
Cer(d18:1/24:0),546581.3861999512,639760.0538253784,549333.956161499,597393.7955322266,466028.2744064331,525554.4322433472
Cer(d18:1/24:1(15Z)),543773.7197113037,696657.3953399658,532321.742401123,602736.5419998169,472518.2904319763,495295.6709213257
Cer(d18:1/26:0),469870.4802474976,454248.0467453003,436605.1278076172,385644.3674545288,511342.61725616455,462894.2963142395
Cer(d18:1/26:1(17Z)),478652.75298309326,473673.8986740112,448157.33266448975,400441.0852546692,510416.1512298584,479926.4353713989
Cer(d18:1/2:0),57226.82417297363,57312.42374420166,65079.1443939209,54291.603660583496,56176.74384307861,50214.62384033203
Cer(d18:2/14:0),2201829.37607956,159849.03102111816,1778216.844497681,3416852.9455070496,269664.724155426,694974.3241043091
Cer(d18:2/16:0),93261.62633132936,60513.88410186768,78506.70527648926,123757.82781982422,68455.36488723755,80657.44599914551
Cer(d18:2/18:1),223599.65673828125,214150.07403564453,238759.0759277344,266919.77966308594,241604.7359619141,252434.47973632807
Cer(d18:2/20:0),256444.37756347656,228657.23559570312,255671.3771972656,266852.4979248047,242336.5787353516,247730.11840820312
Cer(d18:2/20:1),261593.05786132807,244983.9771728516,274589.8798828125,280299.33935546875,236165.61596679688,271318.1794433594
Cer(d18:2/22:0),18541628.177490234,3105733.204589844,12921832.19946289,21876463.47729492,2192631.454345703,5911809.000732422
Cer(d20:0/26:0(2OH)),325789.00036621094,335515.92514038086,312534.9390106201,275616.54064941406,367740.8090209961,339854.6871032715
Cer(d20:0/26:0),333146.2847595215,329067.0236816406,321036.70486450195,290547.4771728516,357204.6473693848,345908.2863006592
Cer(t18:0/16:0(2OH)),606446.1223602295,571067.5781402588,582200.8833999634,534204.100982666,603254.3074645996,580371.6365661621
Cer(t18:0/18:0(2OH)),115771.9681854248,127249.98889160156,120445.3277053833,128271.2089996338,136849.28987121582,131088.89018249512
Cer(t18:0/20:0(2OH)),620803.1235656738,444940.0567321777,621021.2648620605,770556.0726623535,468678.571975708,623066.1385498047
Cer(t18:0/22:0(2OH)),845147.2594146729,867732.143081665,867039.7893066406,940140.0170059204,743301.6553649902,796962.058631897
Cer(t18:0/24:0(2OH)),357125.14936828613,348099.9447174072,418451.4130554199,405635.0665588379,322809.5827178955,415376.3258514404
Cer(t18:0/26:0(2OH)),752586.3932189941,729496.9492797852,685928.9699707031,577438.0233917236,822959.9746398926,734778.9151687622
Cer(t20:0/26:0(2OH)),3468.720241546631,3382.3202362060547,497928.7173156738,3401.260238647461,3327.640254974365,529730.6989440918
CerP(d18:0/16:0),173035.3125,186046.51293945312,197870.59466552731,179596.93313598633,168011.5310974121,176126.79162597656
CerP(d18:1/12:0),132405.96952819824,275667.90003967285,114402.40865325928,250289.65614318848,246327.43495178223,255952.5352706909
CerP(d18:1/14:0),56819.28397369385,71758.46583557129,48855.22270965576,64288.3443069458,57160.08363723755,57864.88422393799
CerP(d18:1/16:0),915789.8233413696,289944.86196136475,641735.2017593384,1047218.1471862792,161611.6707763672,317005.54399108887
CerP(d18:1/18:0),538512.8828048706,699225.5154685974,526490.552570343,585449.997138977,445903.5458679199,478887.2141189575
CerP(d18:1/20:0),472444.6291732788,458911.9384841919,428618.8303527832,412531.6954803467,516332.2277946472,464796.0968894959
CerP(d18:1/22:0),76798.12537765503,81581.76573181152,72143.26515579224,71332.52573013306,76476.0055770874,68321.12446212769
CerP(d18:1/24:0),68749.28535461426,73797.66579437256,60966.98456573486,59776.82378005981,69345.72481155396,64170.64370727539
CerP(d18:1/24:1(15Z)),62809.56479644776,70478.72504425049,59639.54490280152,58633.78398513794,70399.26530075073,65185.04468154907
CerP(d18:1/26:0),54308.183574676514,53668.02383422852,50444.94370651245,56837.58446121216,50731.8637008667,44272.76279449463
CerP(d18:1/26:1(17Z)),52826.94425964356,50741.76348876953,50619.08413696289,57241.684047698975,52078.04344558716,44502.86340332031
CerP(d18:1/2:0),73579.20556640625,72091.60517883301,67340.08499145508,78310.10557556152,78514.5859375,73171.8849105835
CerP(d18:1/8:0),137604.01025009155,52283.6637802124,119431.92895507812,193493.39218139648,52068.70327377319,66779.88539123535
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",298767.4224395752,203995.51489257807,94036.04633712769,631113.1820526123,519931.7783508301,111592.80855560304
Cholesteryl nitrolinoleate,594039.0979003906,471232.4727783203,207450.61462402344,916999.603881836,793275.0352783203,235085.15655517575
"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",1130974.0258789062,1205638.7025146484,1487022.7548828125,1322355.9704589844,1216073.9246826172,1198193.4553222656
Hexacosanoyl carnitine,1567602.5316314695,1540132.809577942,2344674.869720459,1618919.9663162231,1518398.7227973938,1581639.0426635742
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",6427668.4609375,6523871.8017578125,6429227.993164063,5371311.2333984375,8483516.650390625,7063102.595703125
Lyso_C17 sphingosine-1-phosphocholine,69984.40475463867,66522.70385742188,66307.1255493164,62717.02403259277,62700.98388671875,64643.46548461914
Lyso_PC(10:0),36329.762298583984,42434.70332336426,38280.82247924805,40586.26254272461,41939.36279296875,39700.14270019531
Lyso_PC(11:0),53397.66369628906,54590.344299316406,57148.38426208496,54829.30322265625,54804.46389770508,61528.24508666992
Lyso_PC(12:0),79859.64468383789,75837.82467651367,83757.32565307617,76078.90518188477,84778.92742919922,79462.86553955078
Lyso_PC(13:0),43675.64349365234,48060.60305786133,43648.14323425293,44602.64349365234,42521.94253540039,47130.6435546875
Lyso_PC(14:0),202316.1151123047,211498.97149658203,199179.37622070312,193965.5513916016,198015.6134033203,198697.41284179688
Lyso_PC(14:1),156261.908203125,160945.83239746094,157671.35119628906,153161.81298828125,161758.591796875,170637.77001953125
Lyso_PC(15:0),298806.32095336914,292091.32440185547,277070.5731506348,289042.0607070923,282083.1940307617,283608.35565185547
Lyso_PC(15:1),261408.84521484372,269029.9136657715,257679.71942138672,237573.4570465088,242139.5730895996,249241.88037109372
Lyso_PC(16:0),239863.6969604492,276419.07974243164,213644.1976013184,231953.0191040039,254127.5302734375,230902.83569335935
Lyso_PC(16:1),221295.02075195312,253514.0367431641,200772.57232666016,218835.897857666,230079.5399169922,215836.0550537109
