Lipid,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex
3-hydroxyarachidonoylcarnitine,1519325.8486328125,1689632.529296875,1686260.1721191406,1863435.63671875,1930435.376953125,1804854.5581054688,1691555.87109375,1853001.6511230469,1728707.09375
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",1186676.7076416016,1378030.6455078125,1366539.055053711,1493792.3493652344,1580037.5629882812,1483060.986328125,1352919.6352539062,1493629.2587890625,1350391.4493408203
"3-hydroxylinoleoylcarnitine,",10412728.368164062,19095156.520996094,17691295.735839844,15293062.92236328,12758226.377441406,16541263.293945312,19619409.79248047,19984253.64794922,20210526.215820312
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",5047329.992675781,8265390.025878906,7852521.141601562,6952312.624511719,6381760.837890625,7377617.71875,8635526.384277344,8777433.122558594,8896624.508789062
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",1471570.1196289062,1663145.7919921875,1660488.5493164062,1796975.3369140625,1917517.5590820312,1729499.3325195312,1661999.3544921875,1749794.1958007812,1715870.7236328125
C12:0,49450.46340942383,52048.26383972168,101086.58731079102,253384.01986694336,786235.9553222656,102755.98667907716,93574.48696136476,244185.5394592285,502122.9731445313
C12:1,42574.66279602051,31922.102256774902,62159.76443481445,110787.78799438477,288506.84075927734,69150.74453735352,65784.02473449707,113583.0078125,270074.0389404297
C14:0,939635.1861572266,797750.9364013672,1339612.2512207031,2224068.9370117188,6260269.737792969,1091242.5759277344,1048398.7133789062,2319769.7622070312,4795566.249511719
C14:1,643907.5652160645,445981.771484375,738315.2306518555,837123.7770996094,1419222.2824707031,661317.3471069336,726307.5505981445,855747.0192871094,1478801.8356933594
C15:0,102130.4673614502,60481.084144592285,133717.28941345215,249466.23806762692,1153097.682861328,113912.88793945312,117210.58850097656,251196.03927612305,931129.7698974608
C15:1,340894.59983825684,115592.80899047852,283884.9422607422,477691.393371582,1456058.8435058594,185168.93379211423,236472.4353027344,438494.6328735352,1635409.1970214844
C16:0,476165.0105895996,282093.0023803711,699194.2758483887,1572147.9837036133,24236272.677246094,619029.5606384277,687835.7874755859,1406338.4676513672,21696978.556396484
C16:1,73353.28578186035,48122.00355529785,103382.14724731444,237671.4571838379,1969860.5838623047,92179.58646392822,105333.04737091064,243560.97749328613,1463452.8924560547
C17:0,74938.32553100586,63271.40463256836,132518.6089477539,397807.56619262695,3552508.2741088867,119093.28855895996,114860.32844543456,523007.9359741211,2593282.5930786133
C17:1,52980.52372741699,44298.18312835693,86680.3264465332,149392.1907043457,727366.4727172852,72961.54518127441,76476.34498596191,163386.79238891602,602982.5654296875
C18:0,299957.1216888428,168370.83210754397,534584.3980484009,1466030.654159546,30337726.126098637,398423.98794555664,453710.31283569336,1195170.1613769531,26822640.43395996
C18:1,72029.14485168457,54737.223709106445,103639.9073486328,188620.17379760745,1253256.2690429688,88351.62602233887,93067.82656860352,184608.3336181641,910963.5828857422
C18:2,55990.36389923096,51525.78366088867,92575.26654052734,185614.61416625977,906998.5246582032,80750.52571105957,80072.3256072998,197827.17599487305,1277089.952209473
C18:3,52043.82362365723,37622.52262878418,76727.4652709961,124470.34942626952,688411.2669067383,66972.42492675781,68185.1443939209,135642.82958984375,536904.0774536133
C18:4,36511.84266662598,29497.00204467773,50239.18350982666,83721.28591918945,296024.74157714844,43943.263092041016,46511.78314208984,80847.46586608887,251535.9575805664
C19:0,95653.06672668456,54873.92371368408,149977.67024993896,317735.6428527832,3007762.539672852,102223.66697692873,123433.24899291992,317191.9226989746,3241307.137573242
C20:0,7694.140556335449,7617.760482788086,7621.020488739014,614932.7451171875,4593185.5146484375,7622.380481719971,7634.660541534424,577442.6827392578,5042129.390625
C20:1,7796.720558166504,7857.680492401123,7617.48046875,140822.59042358398,951980.4077758788,8123.340503692627,7784.100551605225,143522.9499053955,726845.827331543
C20:3,215283.09440994263,79402.42557144165,59789.083984375,399768.9284667969,1196870.639892578,100316.60711288452,65319.744525909424,381163.126953125,2196692.3862304688
C20:4,37474.26264953613,33491.40241241455,51234.40377044678,101280.58700561523,553026.4783325195,49491.54354095459,50602.823654174805,107660.04711914062,532156.9182739258
C20:5,70922.48471832275,60085.26406097412,119466.9886932373,244713.57690429688,2424673.14263916,104081.4468536377,119114.4077758789,188144.53439331052,1995148.889770508
C22:0,18542.761386871334,15719.101078033447,32347.502548217773,116365.60809326172,2017461.663208008,26651.96194076538,29380.08205795288,122871.94790649414,2416250.2287597656
C22:1,12022.420867919922,10510.760746002195,16281.281196594238,59875.12438201904,593143.4244384766,15641.161060333252,16140.621116638184,62404.16464996338,521649.2957458496
C22:4,12392.4208984375,11051.060764312744,14499.901008605955,57873.984031677246,395399.9071044922,14814.021087646484,14614.961017608644,59904.44418334961,317976.7225036621
C22:5,20233.56142425537,15351.221035003662,27479.56188964844,113305.82827758788,2086201.6647949216,22982.461685180664,25691.161811828613,116665.22760009766,1596640.9282836914
C22:6,14817.141075134276,13013.76093673706,24481.1817817688,109016.28771972656,926703.7264404296,19093.52132797241,23184.56167602539,112179.4280090332,852127.6811523438
C24:0,11357.02081680298,9507.660655975342,12327.520847320557,31436.622299194336,7625.360515594482,12422.880878448486,11962.540851593018,35576.462577819824,7630.560523986816
C24:1,10371.480716705322,9577.94065475464,11683.420806884766,40447.20280456543,7623.360511779785,12050.7808303833,10972.920818328856,44909.34334564209,7631.160537719727
C24:5,13476.480907440186,11292.020793914797,15463.721138000488,52588.40413665772,181311.0133934021,15964.541080474854,15109.661087036133,57000.02405548096,279655.6807937622
C24:6,12326.400840759276,10077.6607131958,14030.540996551514,47751.12338256836,9621.36060333252,14724.921058654783,13442.360980987549,59095.50420379639,10546.140739440918
C26:0,10437.540744781494,9760.360664367676,11199.160816192629,139168.94984436035,305287.44200897217,11362.400802612305,11605.460834503174,141754.75018310547,285523.23933410645
C26:1,12093.560897827148,11289.00080871582,13996.940963745115,322982.9826965332,271971.1393432617,12157.14087677002,13665.620986938477,316193.8034362793,231233.61688232425
C28:0,10039.640678405762,8877.520587921143,11357.46072769165,110373.1074256897,865841.4611816406,12676.12088394165,11160.080825805664,126774.08838272096,620624.3272666931
C30:0,8270.06057357788,8142.360538482666,9489.280658721924,30680.30202865601,531498.6968765259,10177.460697174072,9409.78065109253,41076.242710113525,529046.6750564575
C32:0,7936.260559082031,8020.160530090332,8384.940536499023,20417.76132583618,334075.94386291504,8342.200553894043,8305.340579986572,18470.46129226685,221910.69500732425
C34:0,8990.560653686523,9386.840629577637,10317.640689849854,38431.4029083252,372294.16857528687,10987.320747375488,10485.220756530762,37137.482566833496,288275.72148895264
Cer(d14:1(4E)/20:0(2OH)),66650.74519348145,54439.20386505127,56731.90399932861,48422.66332626343,50116.94361495972,65684.10403442383,56412.82353210449,50969.50338745117,54219.64370346069
Cer(d14:1(4E)/20:1(11Z)(2OH)),75061.22528839111,62368.964111328125,76992.8856124878,51291.08360290527,55728.08428955078,75295.0057220459,83777.5252609253,53569.9035949707,57841.424072265625
Cer(d14:1(4E)/22:0(2OH)),792039.7418060303,924250.8180084229,762881.6403007507,894977.015045166,811234.5140151978,911247.462272644,727587.9548797607,769543.5727767944,733670.8095359802
Cer(d14:1(4E)/22:1(13Z)(2OH)),762646.4962997437,894908.9389953613,716635.99401474,891287.3468704224,811455.2856025696,888279.2268104553,705025.3226394653,757077.0777130127,704754.9338684082
Cer(d14:1(4E)/24:0(2OH)),107138.5082397461,116443.54864120483,114452.98726654051,124675.0270690918,137870.27012252808,123345.10816192628,111052.08710479736,113664.52755737305,110666.2273902893
Cer(d14:1(4E)/26:0(2OH)),337074.9861679077,494957.96284484863,541537.7220153809,487797.88973999023,484957.5127487183,553499.0198974609,593033.5422821045,560405.2588539124,581617.4612426758
"Cer(d14:2(4E,6E)/16:0)",32723.822052001957,36785.10237121582,37103.102725982666,45466.52307510376,48582.26343536377,43207.30297088623,39822.06280136109,43469.96287918091,37170.0026550293
"Cer(d14:2(4E,6E)/18:0(2OH))",36188.86263656616,40864.14295196533,46453.62310028076,50762.64370346069,49683.92366409302,50858.54306793213,50843.64400482178,53326.20362854004,44659.78339385986
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",37667.68252182007,42898.52331542969,48286.56330871582,47256.28318405152,51127.20343399048,50410.30330657959,43815.66324615479,48934.04312133789,45444.203437805176
"Cer(d14:2(4E,6E)/18:1(9Z))",35987.76224517822,37646.56273269653,43521.20297241211,43951.52314758301,44414.00364303589,47856.023151397705,45633.46314239502,50257.743576049805,35887.10263442993
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",56314.06340789795,54472.5640296936,63260.96466064453,59668.42415237427,48027.5429763794,74884.54563903809,59851.26445770264,61635.56430435181,59431.08422088623
"Cer(d14:2(4E,6E)/20:1(11Z))",39163.82279586792,40145.12295150757,45121.92335891724,41094.322872161865,40329.18296813965,46237.92321777344,42028.843044281006,46365.96300125122,36962.0428314209
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",653463.3156433105,732600.3270492554,580270.4158744812,711939.3246192932,671508.6106071472,711966.7505493164,610751.699596405,620138.5299377441,580191.3209991455
"Cer(d14:2(4E,6E)/24:0(2OH))",97095.00667953493,103279.52662658691,109186.7868118286,135510.41207885742,134164.76929092407,130536.80955505373,108461.3470954895,130636.9496498108,112089.08768463136
"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",570225.5207519531,594318.3209838867,522056.5323486328,577011.7044067383,551185.817565918,614847.6120605469,514617.9124145508,503404.5989379883,494670.7143554688
"Cer(d16:2(4E,6E)/24:0(2OH))",121979.70907592772,131456.66970825195,149224.67126464844,151747.88934326172,153175.0912475586,142184.78930664062,141723.1703491211,142645.58950805664,133046.96920776367
Cer(d18:0/14:0),67271.1851272583,67354.10481262207,71797.26489257812,68996.70455932617,97305.06623840332,69678.10508728027,68727.40532684326,72194.92471313477,66011.90441894531
Cer(d18:0/16:0(2OH)),142359.94995117188,174073.97229003906,144255.1701965332,140065.92962646484,147288.75,153011.21069335938,127287.80834960938,152874.5906982422,161880.13189697266
Cer(d18:0/16:0),99618.26760864258,101845.4079284668,115023.52792358398,110583.48779296876,114044.14715576172,113375.0082397461,110499.50741577148,114675.30766296388,107880.2878112793
Cer(d18:0/18:0(2OH)),100195.2667388916,99591.74786376952,132923.2901611328,148217.99099731445,124513.36985778809,121464.8078918457,104212.64819335938,161638.29013061523,118237.508102417
Cer(d18:0/18:0),119376.1890411377,115015.36853027344,136114.54983520508,171818.87350463867,152880.01196289062,157739.89166259766,132191.7696533203,181541.2541656494,136283.30877685547
Cer(d18:0/20:0(2OH)),170788.87274169922,155040.87133789062,182352.23345947263,204832.8739318848,162233.4900817871,202125.3351135254,162531.37170410156,218093.05740356445,190188.01220703125
Cer(d18:0/20:0),99295.5671081543,96509.28689575195,115892.88806152344,134044.8098449707,120227.06829833984,132555.86972045898,108238.1477355957,140808.33010864258,118345.74819946288
Cer(d18:0/22:0(2OH)),2026375.7747802732,2742920.2434692383,2190395.5884399414,2249994.368652344,2191904.135192871,2399728.389160156,2281492.40814209,2147129.334777832,2171286.031738281
Cer(d18:0/22:0),165235.2922668457,137595.92993164062,191403.1109619141,185889.1315307617,154543.90936279297,181953.27249145508,149522.72943115234,202511.11181640625,178534.01141357422
Cer(d18:0/24:0),2118778.14251709,2853717.473083496,2341071.3193969727,2387556.5045776367,2265287.441833496,2515717.0775146484,2448334.5513916016,2276263.2356567383,2299914.916625977
