Lipid,Class,E-1BMVF,E-1BrainF,E-1LiverF,E-1PlasmaF,E-1RetinaF,E-2BMVF,E-2BrainF,E-2LiverF,E-2PlasmaF,E-2RetinaF,E-3BMVF,E-3BrainF,E-3LiverF,E-3PlasmaF,E-3RetinaF,E-4BMVM,E-4BrainM,E-4LiverM,E-4PlasmaM,E-4RetinaM,E-5BMVM,E-5BrainM,E-5LiverM,E-5PlasmaM,E-5RetinaM,E-6BMVM,E-6BrainM,E-6LiverM,E-6PlasmaM,E-6RetinaM,C-1BMVF,C-1BrainF,C-1LiverF,C-1PlasmaF,C-1RetinaF,C-2BMVF,C-2BrainF,C-2LiverF,C-2PlasmaF,C-2RetinaF,C-3BMVF,C-3BrainF,C-3LiverF,C-3PlasmaF,C-3RetinaF,C-4BMVM,C-4BrainM,C-4LiverM,C-4PlasmaM,C-4RetinaM,C-5BMVM,C-5BrainM,C-5LiverM,C-5PlasmaM,C-5RetinaM,C-6BMVM,C-6BrainM,C-6LiverM,C-6PlasmaM,C-6RetinaM,BlankBrain_NA,Title1,Title2,Title,length1,length2,Blank_name
PI(44:4),PI,1243.1400833129883,1250.8600883483887,1288.1600914001465,1289.8000984191895,1258.840087890625,1277.1001014709473,1251.740089416504,1371.1400833129883,1411.9001007080078,1325.3001022338867,1245.1600875854492,1250.1200942993164,1258.3000831604004,1307.9600944519043,1246.800090789795,1258.860092163086,1253.8800735473633,1350.080093383789,1250.4200897216797,1376.0200958251953,1249.4800910949707,1286.140079498291,1297.2600898742676,1306.3800926208496,1389.8600883483887,1252.5600814819336,1249.4800910949707,1296.1800918579102,1248.0000953674316,1250.7600746154785,1296.4200973510742,1275.2200965881348,1280.2400970458984,1255.660083770752,1427.6201057434082,1246.0600852966309,1252.5600891113281,1246.4800910949707,1311.2200965881348,1318.0200881958008,1245.9200973510742,1328.3600997924805,1301.2600936889648,1251.9600868225098,1316.0000953674316,1247.500087738037,1327.0601081848145,1248.320083618164,1377.0600967407227,1357.4401054382324,1308.440097808838,1257.9200973510742,1362.5601043701172,1250.1200790405273,1248.5001029968262,1348.0401000976562,1257.0600852966309,1342.6800994873047,1247.2400970458984,1347.7401008605957,1290.5200958251953,experiment: E,experiment: C,experiment: E vs experiment: C,30,30,BlankBrain_NA
PI(44:5),PI,1277.8400955200195,1313.880084991455,1243.640079498291,1252.820083618164,1443.8801040649414,1266.360092163086,1312.4600868225098,1405.760097503662,1251.520076751709,1247.3200912475586,1270.720085144043,1250.2000885009766,1242.6200866699219,1513.6801071166992,1247.0200996398926,1486.7401161193848,1253.760082244873,1332.9000930786133,1333.680088043213,1305.9400901794434,1250.0200881958008,1261.8400840759277,1238.520076751709,1300.2801094055176,1297.240077972412,1303.7400932312012,1305.360092163086,1395.0800971984863,1247.9600830078125,1251.4800987243652,1246.0200843811035,1249.8400917053223,1273.7601013183594,1359.660083770752,1364.1800994873047,1245.7600860595703,1252.760097503662,1253.1401023864746,1249.440086364746,1302.700080871582,1245.4000854492188,1250.160083770752,1329.000087738037,1251.5600891113281,1392.7800979614258,1247.0600929260254,1246.7800903320312,1248.680088043213,1642.6001319885254,1245.3800811767578,1291.9800910949707,1299.6001014709473,1332.6400871276855,1275.2800827026367,1248.4200859069824,1301.3600959777832,1312.0000953674316,1373.2401008605957,1252.820083618164,1331.620101928711,1246.020092010498,experiment: E,experiment: C,experiment: E vs experiment: C,30,30,BlankBrain_NA
PI(44:6),PI,1242.0200805664062,1284.7000923156738,1399.300106048584,1403.8201026916504,1446.780101776123,1246.7200889587402,1263.080093383789,1401.4400939941406,1309.9000854492188,1411.200096130371,1245.4400787353516,1278.5400886535645,1357.6000938415527,1412.300090789795,1246.9200973510742,1269.040096282959,1253.8400917053223,1412.720100402832,1295.7401008605957,1572.2401123046875,1249.680088043213,1251.980079650879,1486.7800979614258,1282.8000984191895,1269.64009475708,1270.240077972412,1315.2800979614258,1346.580093383789,1423.8600997924805,1338.6600875854492,1245.8000984191895,1250.2600898742676,1290.1200942993164,1494.4601135253906,1323.1000862121582,1246.3800926208496,1281.5000953674316,1395.6000938415527,1307.4800834655762,1242.9600791931152,1253.520092010498,1285.1800842285156,1270.9600868225098,1284.760097503662,1279.5200843811035,1251.720085144043,1246.9600868225098,1248.9800910949707,1988.9601440429688,1294.960090637207,1283.7000923156738,1373.14009475708,1373.4201011657715,1441.8201026916504,1248.4401016235352,1317.3600959777832,1249.1200866699219,1448.6400985717773,1388.4400939941406,1295.920078277588,1246.3400955200195,experiment: E,experiment: C,experiment: E vs experiment: C,30,30,BlankBrain_NA
PI(44:7)|PI(43:0),PI,1271.7400932312012,1265.3600959777832,1358.3201026916504,1688.8601264953613,1552.680118560791,1292.1001014709473,1251.300090789795,2124.1201362609863,1529.1001052856445,1788.7801132202148,1280.9000930786133,1323.14009475708,1578.0201110839844,1400.7600936889648,1246.580093383789,1244.840087890625,1253.8800888061523,1603.08012008667,1531.900104522705,1981.7601585388184,1327.2401008605957,1251.7800827026367,1602.2401161193848,1836.0401306152344,1760.960132598877,1253.6600875854492,1249.8200874328613,1569.8401069641113,1336.0600891113281,1602.5601119995117,1258.1600952148438,1249.5400772094727,1844.7401237487793,1475.5801086425781,1287.980094909668,1246.1000938415527,1253.1000862121582,1387.1401023864746,1989.2401390075684,1455.660099029541,1244.8400955200195,1250.2400932312012,1512.240104675293,1299.2800903320312,1533.4201126098633,1247.4600868225098,1246.9400901794434,1249.0000953674316,2166.5801391601562,1351.6201057434082,1245.8400917053223,1266.800090789795,1843.7801208496094,1484.160099029541,1248.880084991455,1401.7400856018066,1393.460105895996,1351.1800994873047,1726.4401245117188,1734.200138092041,1246.040096282959,experiment: E,experiment: C,experiment: E vs experiment: C,30,30,BlankBrain_NA
PI(44:8)|PI(43:1),PI,1242.520092010498,1251.1200828552246,1554.9400901794434,1871.6401290893555,2264.9201316833496,1340.3601036071777,1250.640079498291,1693.1201057434082,1645.680118560791,2401.780174255371,1244.8800811767578,1302.7800941467285,1329.0801010131836,1563.2401237487793,1326.3001022338867,1244.6000938415527,1303.7600898742676,1744.5601234436035,1501.3600959777832,2535.76016998291,1249.5400848388672,1251.600082397461,1757.0601043701172,1840.3001556396484,1538.6801071166992,1252.4600830078125,1317.080093383789,1471.1801109313965,1449.0400924682617,1493.820110321045,1276.4200859069824,1249.3600997924805,1444.3001174926758,2068.5201416015625,1342.1200981140137,1245.6400833129883,1252.2800827026367,1367.6600914001465,1818.4801330566406,1327.0600852966309,1244.8800811767578,1249.740089416504,1283.380084991455,1252.560073852539,1459.2201080322266,1298.8000984191895,1247.080093383789,1269.300090789795,2199.340171813965,1626.1201210021973,1311.960090637207,1250.6000785827637,1768.8201141357422,1423.06010055542,1248.4000854492188,1248.4200973510742,1248.5401039123535,2134.460159301758,1626.8801193237305,1744.9201278686523,1292.6400985717773,experiment: E,experiment: C,experiment: E vs experiment: C,30,30,BlankBrain_NA
PS(24:0),PS,1964.0001487731934,2067.260112762451,2146.2801399230957,1925.1601371765137,3869.520236968994,1811.040126800537,1871.480136871338,1588.0001068115234,1802.5001220703125,5182.580352783203,1304.240089416504,2866.180206298828,9638.860691070557,1800.840129852295,1316.0601043701172,1466.160099029541,1439.660099029541,14039.66089630127,2386.560188293457,8379.000671386719,1608.7001152038574,2224.1201400756836,13969.84094619751,2629.420196533203,3770.9802436828613,1535.0001106262207,2335.5401649475098,12945.240825653076,1748.9801292419434,3399.020248413086,1558.740104675293,1320.8400955200195,10714.500793457031,1398.980094909668,1554.560115814209,1921.4801445007324,2110.240161895752,11088.680717468262,2377.440200805664,6122.300434112549,1901.3201332092285,1498.4601020812988,1995.4401206970215,1482.5201110839844,1433.4200973510742,1879.9201316833496,2371.200168609619,1554.200107574463,2344.1401863098145,1261.0000915527344,1784.0601272583008,1455.9001083374023,13749.060916900635,2174.520149230957,1436.1601066589355,1909.14013671875,1539.9201011657715,12730.660831451416,2022.780128479004,4758.720329284668,1646.7401123046875,experiment: E,experiment: C,experiment: E vs experiment: C,30,30,BlankBrain_NA
PS(25:0),PS,3617.000228881836,6898.520519256592,1342.6800918579102,4256.060317993164,4954.740329742432,6685.300384521484,2028.780143737793,1320.8200912475586,3236.8002548217773,4795.980373382568,1993.260139465332,3175.2802124023438,3092.4002075195312,3484.30025100708,1466.000099182129,6339.460506439209,1482.5600852966309,2842.660224914551,3536.0602226257324,5193.600315093994,3817.0202674865723,6052.3004722595215,4514.8002853393555,2633.6001930236816,4642.480339050293,3594.800220489502,3157.540225982666,3041.500217437744,2692.7601737976074,3158.9202041625977,1521.5000953674316,1550.0801010131836,3578.0402488708496,1309.7601051330566,1565.8401184082031,4504.36030960083,5077.560352325439,3204.280200958252,3444.2602577209473,3128.2201957702637,3429.5602226257324,1570.880126953125,1722.5601348876953,1398.920078277588,1480.7201118469238,3956.9803161621094,3900.6403160095215,1262.3200912475586,2792.5801887512207,1403.0401000976562,7747.340530395508,1772.5601348876953,4031.4002838134766,2590.8801879882812,1339.420093536377,9324.960655212402,2640.640182495117,4276.100341796875,2757.860206604004,3722.740245819092,3003.160224914551,experiment: E,experiment: C,experiment: E vs experiment: C,30,30,BlankBrain_NA
PS(26:0),PS,1399.5601043701172,1626.8201141357422,1331.1200866699219,1582.440097808838,3108.980224609375,1519.4401168823242,1289.220085144043,1245.1800918579102,1478.9200973510742,5393.96036529541,1243.2000846862793,1781.2001266479492,4701.12032699585,1408.0200958251953,1298.5600891113281,1409.4801063537598,1517.5801086425781,4189.300281524658,1363.780101776123,6171.700424194336,1448.1001052856445,1309.14009475708,6144.520454406738,1440.4401016235352,4931.980361938477,1369.2400856018066,2746.500171661377,4593.100326538086,1993.7001419067383,3667.840259552002,1525.2401237487793,1397.6600952148438,4382.760314941406,1323.8200988769531,1298.2600936889648,1570.380111694336,1436.1200942993164,3656.8202629089355,1613.9801139831543,3332.3402557373047,1411.920093536377,1459.1401062011719,1753.0601196289062,1370.000087738037,1384.6800842285156,1647.5601119995117,1304.4000854492188,1401.9600982666016,1404.6001052856445,1261.3800888061523,1334.200096130371,1394.3600997924805,4989.700340270996,1495.740119934082,1290.980094909668,1669.440113067627,1507.0201110839844,5419.940368652344,1744.9801063537598,3312.24027633667,1384.7401008605957,experiment: E,experiment: C,experiment: E vs experiment: C,30,30,BlankBrain_NA
PS(26:1),PS,1998.6601486206055,1581.4800910949707,1492.3401069641113,1526.500099182129,3227.320240020752,1773.8801231384277,1572.200107574463,1459.680103302002,1769.7801246643066,6531.900440216064,1442.0400886535645,3109.2602615356445,3276.880214691162,1723.5401000976562,1438.2601051330566,1915.500144958496,1472.9601097106934,2856.920177459717,1393.9800910949707,7763.480564117432,1567.520107269287,2095.0801391601562,3304.380226135254,1804.8001251220703,5050.780284881592,1612.300121307373,2348.3001708984375,2676.6401977539062,1809.5001258850098,3215.2202339172363,1843.4801330566406,1740.200107574463,3150.760242462158,1374.500099182129,1316.7200927734375,1436.6601181030273,1907.7601470947266,3754.080253601074,1804.5201301574707,2855.4401931762695,1717.4201126098633,1287.4600868225098,1462.1200942993164,1491.1600952148438,1644.1001167297363,1562.3601150512695,1948.3001327514648,1764.6601219177246,1970.360149383545,1492.3800964355469,1844.5801467895508,1466.0801124572754,2775.080192565918,1937.740146636963,1949.460132598877,1689.680118560791,2119.8201637268066,3817.980297088623,1695.2001113891602,3170.0002098083496,1774.840129852295,experiment: E,experiment: C,experiment: E vs experiment: C,30,30,BlankBrain_NA
PS(28:2),PS,1324.700096130371,1305.10009765625,1352.480094909668,1502.8000984191895,4852.5803298950195,1427.9600944519043,1402.5800971984863,1245.2200927734375,1322.9400901794434,11639.920913696289,1379.6800956726074,1594.4401016235352,3696.540241241455,1279.4800910949707,1428.2800941467285,1563.1801071166992,1318.700096130371,2952.4201850891113,1436.4401054382324,29697.642112731934,1419.4201049804688,1431.60009765625,4584.680358886719,1793.180118560791,7816.460430145264,1295.9400825500488,2058.7601280212402,3872.160270690918,1343.9600944519043,6028.32043838501,1374.7601127624512,1335.8800811767578,4740.000324249268,1458.8201141357422,1465.7001152038574,1483.9201202392578,1368.56010055542,4766.460361480713,2223.2401695251465,1730.4801177978516,1247.5600929260254,1254.1800842285156,1551.3801078796387,1293.0000762939453,1447.200096130371,1374.10009765625,1460.6400985717773,1577.9201164245605,1632.9401016235352,1245.420093536377,1246.8400955200195,1294.8800811767578,4002.900260925293,1378.1401138305664,1261.9600868225098,1552.020118713379,1351.0601081848145,7861.820537567139,1434.6201057434082,5901.400444030762,1318.460090637207,experiment: E,experiment: C,experiment: E vs experiment: C,30,30,BlankBrain_NA
PS(30:3),PS,1890.1401138305664,1666.9401168823242,1403.7201118469238,1421.6600875854492,3645.840259552002,1492.2001152038574,1777.3201065063477,1317.5201034545898,1441.0001182556152,5315.020439147949,1374.2000999450684,2145.3601455688477,2833.8202171325684,1728.5801315307617,1506.660099029541,1522.840103149414,1382.6400909423828,2097.120174407959,1532.540096282959,8713.820552825928,1347.940097808838,1542.2401123046875,3711.420238494873,1473.6401023864746,4807.840305328369,1347.1800956726074,1934.380142211914,3449.5202255249023,1313.200080871582,3025.9002265930176,1332.5400886535645,1329.9601020812988,3101.5802040100098,1291.6800918579102,1383.6601028442383,1561.9801177978516,2024.1601371765137,2555.3601875305176,1871.9401245117188,2182.360134124756,1464.0001068115234,1410.840087890625,1452.4401206970215,1751.9601287841797,1416.2601013183594,1764.5601272583008,1733.520118713379,1420.5801124572754,1916.4001388549805,1395.740104675293,1446.5001029968262,1313.3800926208496,2601.420207977295,1503.4601020812988,1343.8201026916504,1377.0201034545898,1633.3401222229004,3801.3002738952637,1757.7001190185547,3719.100254058838,1620.6801109313965,experiment: E,experiment: C,experiment: E vs experiment: C,30,30,BlankBrain_NA
