Lipid,Class,C-1PlasmaF_x,C-2PlasmaF_x,C-3PlasmaF_x,C-4PlasmaM_x,C-5PlasmaM_x,C-6PlasmaM_x,C-1PlasmaF_y,C-2PlasmaF_y,C-3PlasmaF_y,C-4PlasmaM_y,C-5PlasmaM_y,C-6PlasmaM_y,BlankBrain_NA,Title1,Title2,Title,length1,length2,Blank_name
LPE(20:4),PE,6088.300518035889,26122.06153488159,1782.4001350402832,7619.220516204834,36417.08232498169,26539.062042236328,6088.300518035889,26122.06153488159,1782.4001350402832,7619.220516204834,36417.08232498169,26539.062042236328,1285.3600959777832,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPE(20:5),PE,3007.30020904541,8265.360534667969,1811.240119934082,4134.640319824219,8167.90060043335,7100.460559844971,3007.30020904541,8265.360534667969,1811.240119934082,4134.640319824219,8167.90060043335,7100.460559844971,1779.0801391601562,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPE(22:0),PE,2888.9401893615723,2205.8201789855957,1500.700096130371,1696.800136566162,1749.2001266479492,2427.0802001953125,2888.9401893615723,2205.8201789855957,1500.700096130371,1696.800136566162,1749.2001266479492,2427.0802001953125,1891.3601417541504,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPE(22:1),PE,2009.740135192871,1532.680103302002,1271.6800842285156,1690.2601356506348,1977.5401306152344,1667.7801132202148,2009.740135192871,1532.680103302002,1271.6800842285156,1690.2601356506348,1977.5401306152344,1667.7801132202148,1260.7600860595703,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPE(22:2),PE,6426.740493774414,3306.040256500244,2239.3001823425293,8311.760654449463,6154.160430908203,4569.480297088623,6426.740493774414,3306.040256500244,2239.3001823425293,8311.760654449463,6154.160430908203,4569.480297088623,1826.8201293945312,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPE(22:4),PE,29870.782028198242,32355.00216293335,1695.3801193237305,56917.884437561035,31670.44302368164,31958.781852722168,29870.782028198242,32355.00216293335,1695.3801193237305,56917.884437561035,31670.44302368164,31958.781852722168,1489.7201042175293,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPE(22:5),PE,3953.1402549743652,15151.22114944458,1704.1201095581055,5493.760402679443,13215.960758209229,12085.820747375488,3953.1402549743652,15151.22114944458,1704.1201095581055,5493.760402679443,13215.960758209229,12085.820747375488,1446.6200981140137,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPE(22:6),PE,8323.04065322876,77024.48574066162,2546.0001678466797,11603.12075805664,67245.0443687439,63663.64476394653,8323.04065322876,77024.48574066162,2546.0001678466797,11603.12075805664,67245.0443687439,63663.64476394653,1565.360107421875,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPE(24:1),PE,1412.5801010131836,1951.6601448059082,1251.0200805664062,2384.1201400756836,1923.3401336669922,1688.5201225280762,1412.5801010131836,1951.6601448059082,1251.0200805664062,2384.1201400756836,1923.3401336669922,1688.5201225280762,1434.5801010131836,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPE(24:6),PE,17356.221153259277,29902.28200149536,1998.540138244629,19524.321292877197,37228.22262954712,35373.84239196777,17356.221153259277,29902.28200149536,1998.540138244629,19524.321292877197,37228.22262954712,35373.84239196777,1394.680103302002,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPE(O-16:0),PE,2495.240161895752,2394.9801635742188,1745.2401390075684,3786.4602432250977,2322.020175933838,3284.480251312256,2495.240161895752,2394.9801635742188,1745.2401390075684,3786.4602432250977,2322.020175933838,3284.480251312256,1955.6401329040527,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPE(O-20:0),PE,2007.8201484680176,1825.7401237487793,1325.1200866699219,2571.6601905822754,2260.9201583862305,1845.4001235961914,2007.8201484680176,1825.7401237487793,1325.1200866699219,2571.6601905822754,2260.9201583862305,1845.4001235961914,1893.6201248168945,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPE(O-20:4),PE,71920.14421844482,45277.68340301514,2960.480197906494,50902.6840171814,38691.94214248657,46458.28281021118,71920.14421844482,45277.68340301514,2960.480197906494,50902.6840171814,38691.94214248657,46458.28281021118,2903.140209197998,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(14:0),PG,1573.800121307373,1711.8201293945312,1717.2801208496094,1644.4801139831543,1539.4401016235352,1457.8801155090332,1573.800121307373,1711.8201293945312,1717.2801208496094,1644.4801139831543,1539.4401016235352,1457.8801155090332,1415.7601051330566,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(14:1),PG,1817.7601356506348,2313.640163421631,1846.2001266479492,2088.1601600646973,1582.0601043701172,2144.66015625,1817.7601356506348,2313.640163421631,1846.2001266479492,2088.1601600646973,1582.0601043701172,2144.66015625,1648.5201034545898,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(15:0)|LPG(O-16:0),PG,1330.5800895690918,1489.240104675293,1973.8801307678223,1458.9200973510742,1437.6601028442383,1261.8000831604004,1330.5800895690918,1489.240104675293,1973.8801307678223,1458.9200973510742,1437.6601028442383,1261.8000831604004,1363.940097808838,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(15:1)|LPG(P-16:0),PG,1758.1601181030273,1346.180088043213,1619.2001152038574,1699.5001106262207,1384.440086364746,1749.1001319885254,1758.1601181030273,1346.180088043213,1619.2001152038574,1699.5001106262207,1384.440086364746,1749.1001319885254,1435.660099029541,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(16:0),PG,1754.740135192871,1368.9400939941406,1494.7401008605957,1654.0801429748535,1504.2200927734375,1591.9001197814941,1754.740135192871,1368.9400939941406,1494.7401008605957,1654.0801429748535,1504.2200927734375,1591.9001197814941,2056.1601371765137,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(16:1),PG,1891.1401290893555,1595.6001243591309,1823.7401161193848,1828.300121307373,1354.2600898742676,1669.320125579834,1891.1401290893555,1595.6001243591309,1823.7401161193848,1828.300121307373,1354.2600898742676,1669.320125579834,1694.5001220703125,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(17:1)|LPG(P-18:0),PG,1505.9201049804688,1427.7601127624512,1398.8200988769531,1289.9200897216797,1375.1600914001465,1326.1400985717773,1505.9201049804688,1427.7601127624512,1398.8200988769531,1289.9200897216797,1375.1600914001465,1326.1400985717773,1467.6800956726074,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(17:2),PG,1379.540096282959,1418.9001083374023,1818.760124206543,1637.7801208496094,1382.0801124572754,1703.6401176452637,1379.540096282959,1418.9001083374023,1818.760124206543,1637.7801208496094,1382.0801124572754,1703.6401176452637,1422.3201141357422,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(18:0),PG,1546.4001121520996,1551.180103302002,1929.3201370239258,1356.8200950622559,1609.5400886535645,1499.7001113891602,1546.4001121520996,1551.180103302002,1929.3201370239258,1356.8200950622559,1609.5400886535645,1499.7001113891602,1745.3601188659668,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(18:1),PG,1566.6801147460938,1554.5201148986816,1514.1201057434082,1536.8001136779785,1421.5200881958008,1433.1400871276855,1566.6801147460938,1554.5201148986816,1514.1201057434082,1536.8001136779785,1421.5200881958008,1433.1400871276855,1485.4401092529297,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(18:2),PG,1575.66011428833,1466.300090789795,1453.440097808838,1336.5401039123535,1493.340103149414,1917.800136566162,1575.66011428833,1466.300090789795,1453.440097808838,1336.5401039123535,1493.340103149414,1917.800136566162,1393.2800941467285,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(18:3),PG,1332.6200981140137,1397.5601043701172,1844.8801307678223,1296.800090789795,1271.740089416504,1356.1001052856445,1332.6200981140137,1397.5601043701172,1844.8801307678223,1296.800090789795,1271.740089416504,1356.1001052856445,1495.5001029968262,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(18:4),PG,1325.0200958251953,1457.1001052856445,1802.3401260375977,1735.9801216125488,1387.4800872802734,1398.580078125,1325.0200958251953,1457.1001052856445,1802.3401260375977,1735.9801216125488,1387.4800872802734,1398.580078125,1487.540096282959,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(19:0)|LPG(O-20:0),PG,1404.0801162719727,1426.020107269287,1417.3800964355469,1363.7600936889648,1708.5401344299316,1568.06010055542,1404.0801162719727,1426.020107269287,1417.3800964355469,1363.7600936889648,1708.5401344299316,1568.06010055542,1458.3000984191895,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(19:1)|LPG(P-20:0),PG,1389.0401000976562,1349.3400993347168,1514.7801055908203,1673.6201095581055,1276.3800811767578,1453.1201057434082,1389.0401000976562,1349.3400993347168,1514.7801055908203,1673.6201095581055,1276.3800811767578,1453.1201057434082,1352.3800964355469,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(20:0),PG,1246.1400833129883,1472.0801086425781,1404.6000938415527,1249.7600898742676,1334.5200996398926,1342.5001106262207,1246.1400833129883,1472.0801086425781,1404.6000938415527,1249.7600898742676,1334.5200996398926,1342.5001106262207,1252.6400833129883,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(20:1),PG,1981.1001167297363,2015.9801483154297,2218.380168914795,1722.4601249694824,2196.920150756836,2524.1601753234863,1981.1001167297363,2015.9801483154297,2218.380168914795,1722.4601249694824,2196.920150756836,2524.1601753234863,1907.2801475524902,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(20:2),PG,1246.0200996398926,1248.9600830078125,1754.7601280212402,1346.3400993347168,1325.7800903320312,1349.020092010498,1246.0200996398926,1248.9600830078125,1754.7601280212402,1346.3400993347168,1325.7800903320312,1349.020092010498,1252.5000839233398,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(20:3),PG,1323.4800987243652,1248.680088043213,1334.5401077270508,1334.1200904846191,1250.1000900268555,1293.3200874328613,1323.4800987243652,1248.680088043213,1334.5401077270508,1334.1200904846191,1250.1000900268555,1293.3200874328613,1418.8400917053223,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(20:4),PG,1485.6601104736328,1462.620101928711,1628.1401176452637,1553.7001152038574,1424.9001007080078,1415.020107269287,1485.6601104736328,1462.620101928711,1628.1401176452637,1553.7001152038574,1424.9001007080078,1415.020107269287,1306.5600814819336,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
LPG(20:5),PG,1266.980094909668,1362.8400993347168,1303.4200820922852,1249.2600746154785,1364.8800926208496,1703.9801177978516,1266.980094909668,1362.8400993347168,1303.4200820922852,1249.2600746154785,1364.8800926208496,1703.9801177978516,1340.2401008605957,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
