Lipid,Class,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-stearoyl-Cer(d18:1/16:0),CER,39907.92282104492,41409.22291183472,24739.3617515564,39577.36284255981,37099.262493133545,34317.60231781006,35969.52249908447,40138.9030418396,32940.40257644653,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),CER,46462.44305038452,36770.78251647949,26529.861740112305,74690.7049446106,34747.30205154419,36280.562450408936,43573.80286026001,47277.84367752075,21537.66153717041,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),CER,12337.640785217283,10196.060813903809,9660.040676116943,10959.840721130371,10466.840755462646,10864.320823669434,11811.08076095581,10880.9607963562,12759.900817871094,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",AC,5415979.774414063,3846312.868652344,4968330.218261719,4577722.708984375,4138307.3325195312,4530618.3974609375,4468202.2490234375,4224210.512207031,2428656.8916015625,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
12:0 Cholesteryl ester,CE,200241.51499938965,196464.39416503903,191143.31437683103,48828.74309921265,50371.44329452515,186232.6936645508,183007.0717926025,49461.10324478149,158999.98956298828,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,185237.65446472168,194796.03422546387,182998.59495544437,46823.28361511231,44904.20314788818,189840.2132263184,177894.63215637207,54207.28388977051,163044.15301513672,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
14:0 Cholesteryl ester,CE,105610.56730651855,107985.74781799316,168315.25177001953,36109.662437438965,35977.82231903076,104420.42792510986,109004.62704467772,49358.223373413086,85346.74568939209,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
14:1 Cholesteryl ester,CE,109536.30744934082,108556.44799804688,160008.3309020996,36776.74267196655,35528.5424118042,103682.6265411377,112287.36878967284,47979.98323059082,91728.62675476074,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE | CE,306373.8005371094,299731.0216064453,295858.30310058594,112840.5672302246,105376.86743164062,274064.7186279297,268143.7779541016,100182.9266052246,268696.0985107422,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE | CE,303455.8826904297,299659.14196777344,302988.9415283203,112044.8677368164,106071.48748779295,278048.1408691406,271687.5393066406,96428.72689819336,281328.5203857422,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
15:0 Cholesteryl ester,CE,266860.19885253906,267613.71813964844,272503.8608398437,114434.50775146484,111157.34732055664,258305.59765625,248950.81713867188,102162.18740844728,248100.27880859372,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE | CE,297769.2003173828,290351.58154296875,308943.9620361328,124084.7282409668,119824.3484802246,286384.1994628906,276976.9796142578,111654.76879882812,282264.8193359375,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE | CE,301401.74060058594,287615.060546875,309998.6005859375,119055.92895507812,120952.50833129884,293948.66052246094,278041.7590332031,112872.2681274414,287922.24072265625,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
15:1 Cholesteryl ester,CE,284971.76025390625,274811.8981933594,285592.7198486328,114059.18821716309,115133.86862182616,261043.47790527344,247970.59814453125,107635.2876586914,255572.7781982422,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE | CE,351679.80712890625,393651.0072021485,180673.55206298828,528545.7402648926,78532.20629882812,249489.0998535156,160506.25076293945,47949.46321105957,121273.30940246582,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE | CE,337068.3601837158,390498.6081542969,178450.37184143066,527734.0662574768,75855.20571899414,240007.47801208496,151672.46923828125,50140.58383560181,125768.08905029295,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
16:2 Campesteryl ester,CE,337974.6212387085,383311.68368530273,173929.8528137207,523835.7752380371,71962.5654296875,239180.9777069092,147526.39030456543,45947.08301925659,117353.56846618652,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,297905.1613769531,287947.70153808594,311092.6616210937,121413.6282043457,118804.1879272461,276360.1994628906,269447.4189453125,107576.0082397461,274790.7999267578,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
16:3 Campesteryl ester,CE,331275.62284851074,373961.9270172119,172677.89218139648,515711.15589141846,74763.10524368286,234669.65798187256,144066.910446167,46587.88315200806,114802.70822143556,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
16:3 Cholesteryl ester,CE,294535.90087890625,284794.66064453125,298385.6613769531,113194.88842773438,113224.94805908205,274137.7209472656,262840.2385253906,104622.92736816406,268572.4782714844,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
16:3 Stigmasteryl ester,CE,411188.2872314453,460511.3327941895,242870.8171234131,562328.8849334717,103573.42597198486,301400.6235656738,207753.87649536133,79884.74600219727,174687.61349487305,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE | CE,499268.83602905273,530913.7354736328,301160.1184692383,602502.1294021606,107037.6085472107,360051.7068176269,252912.35702514648,69250.00426864624,197711.39486694336,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE | CE,479157.2927246094,521070.05615234375,297985.96279907227,599676.2238388062,98678.10720062256,372578.784576416,249793.495513916,65956.20474243164,197452.6138916016,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE | CE,485151.7746276856,520088.8929138184,296793.23989868164,562371.0579147339,102937.98823547363,372894.063873291,253252.07821655276,72498.68489837646,201944.2561798096,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE | CE,482734.01651000977,514852.2113342285,295495.2796020508,571522.3371124268,98115.54702758788,350154.3428039551,255931.9373779297,67602.62491607666,199674.9553833008,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,346586.8232803345,398959.0480499268,182229.13215637207,539455.1224517822,80697.56628417969,243419.6374053955,148317.23024749756,45423.58345794678,122837.10720825195,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,330769.7475128174,378362.88427734375,172700.15437316897,506378.6541099548,74885.58505630493,236172.8360900879,147790.75193023682,48443.423652648926,119584.48794555664,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE | CE,265665.31997680664,250481.35647583008,273335.97845458984,62059.30449676514,64375.98403930664,222433.1926574707,217670.1551208496,58456.8840713501,232670.8377380371,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE | CE,278562.02059936523,251506.4744873047,265981.2977294922,66287.6245727539,65895.02463531494,230665.59564208984,212685.6136932373,61869.20440673828,241449.8783721924,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
18:1 Campesteryl ester,CE,266465.2412109375,245670.0968322754,280101.3180847168,56779.70411682129,60489.72505187988,240928.99647521973,227796.5161743164,60167.68382263184,225617.7167816162,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,498600.83795166016,542809.4772644043,318725.1033630371,552400.2912902832,94015.80750274658,381474.1481933594,274696.0990600586,71782.84466552734,224405.7758178711,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
18:3 Campesteryl ester,CE,237615.17587280276,228000.55624389648,240460.916885376,57197.34386444092,61311.203605651855,206521.37365722656,195902.6728515625,58889.22416687012,197820.75631713867,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,507301.7349853516,540377.458404541,337561.1262207031,573815.3596115112,101688.64781570436,400381.6452026367,283924.2213745117,76460.92622375488,254542.4615478516,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE | CE,437464.8122558594,402255.1103515625,402006.4881591797,144071.72985839844,158509.9910888672,391348.7673339844,354341.3049316406,139586.21026611328,328716.4434814453,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",CE | CE,431716.41259765625,397131.4901123047,402571.6882324219,148464.85083007812,160089.11193847656,382867.525756836,352302.1843261719,137866.00958251953,329537.4803466797,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",AC,1083593.9168701172,1316100.0698242188,1280694.2133789062,1321934.1652832031,1328133.6027832031,1289018.3786621094,1210873.5478515625,1173183.5369873047,1930786.4631347656,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
20:0 Campesteryl ester,CE,726330.0109863281,579660.4241943359,684587.4663085938,186229.012878418,183809.9330444336,469695.3544921875,501893.65234375,197502.67498779297,317584.8635253906,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
20:1 Campesteryl ester,CE,711627.2513427734,574620.6032714844,681386.8842773438,190459.41339111328,188184.5531616211,461297.6511230469,503761.7349853516,199627.7740478516,310572.0031738281,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,441135.7902832031,413777.4302978516,411261.06884765625,157066.20965576172,160391.5714111328,396489.7082519531,359091.7648925781,142767.74981689453,336350.2844238281,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,427770.54821777344,412817.9084472656,404912.9471435547,156799.3109741211,164944.91046142578,380589.8077392578,355941.384765625,146173.73016357422,332064.9237060547,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
20:3 Campesteryl ester,CE,651394.2424316406,620419.2241210938,818735.2111816406,256280.87823486328,276048.0584716797,581533.5655517578,624555.2194824219,273740.8601074219,532591.3153076172,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,364076.984375,342376.0046386719,346876.38415527344,141291.849609375,159077.29052734375,316081.24267578125,295324.5201416016,140183.13012695312,281844.6805419922,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",CE,386609.8872833252,384790.6307067871,438562.8924407959,131670.3087234497,149449.1901550293,348575.3070983887,324714.06285095215,131112.8683166504,433173.9257125855,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
20:5 Cholesteryl ester,CE,736159.460723877,768196.9700622559,914103.2744140624,243411.83782958984,267082.9399795532,771799.6127319336,714395.755935669,235360.5344581604,911030.2897338868,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
22:0 Campesteryl ester,CE,340675.8217391968,367210.848815918,477027.76877594,80513.78633880615,67158.64447784424,335009.5023803711,319311.84059143066,69838.88446426392,105651.5481300354,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",CE,418908.9720458984,288414.3606262207,395202.1464691162,60594.46385574341,54126.38396835327,172745.71115112305,235747.2753677368,80594.5062789917,79871.64535522461,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
22:0 Sitosteryl ester,CE,362017.368598938,396812.5258102417,498058.5573425293,96923.02661895752,69150.82513046265,375415.221206665,342953.5009460449,77020.76491165161,228572.99380493164,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
22:1 Campesteryl ester,CE,338504.9609069824,364372.6840209961,430084.86849212646,86435.68635940552,65307.76513290405,300019.1825180054,286221.46573257446,66762.08471679688,102455.64757919312,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
