Lipid,Group_D,Group_D,Group_D,Group_D,Group__A,Group__A,Group__A,Group__A
CAR(10:0)_QUAL,3308.2402381896973,2574.680164337158,4765.580360412598,3706.280246734619,2130.540153503418,4588.060325622559,4821.200332641602,5206.300415039063
CAR(10:1),3281.2202186584477,2258.8601608276367,3818.060295104981,3514.520233154297,2141.70015335083,2971.320243835449,3747.080238342285,3518.9002113342285
CAR(10:1)_QUAL,3253.720241546631,2809.1201934814453,5163.160358428955,3681.680267333984,2558.9201889038086,4871.080333709717,4702.100345611572,4794.360282897949
CAR(10:2),2853.400203704834,2036.140151977539,4015.080284118652,2852.0602111816406,1970.1601333618164,3249.240196228028,3199.800235748291,3692.520278930664
CAR(10:2)_QUAL,22179.781616210938,20332.621459960938,44016.34289550781,28926.30178833008,15282.721103668213,35610.58242797852,36903.94230651856,41608.98281860352
CAR(10:3),1989.1401290893557,1957.4401359558103,2752.040199279785,1988.8801307678225,1580.3200988769531,2688.6601753234863,2408.0001831054688,2391.980178833008
CAR(10:3)_QUAL,2557.880172729492,1961.5601425170896,3620.000286102295,3057.240226745605,1927.240119934082,3856.700275421143,3365.160243988037,3818.12028503418
CAR(11:0),2124.580139160156,1939.0801239013672,2765.180160522461,2832.3802032470703,1861.7201385498047,2388.6601943969727,2682.8601684570312,3123.2602157592773
CAR(11:0)_QUAL,3342.040237426758,3205.1001930236816,5227.060363769531,3571.9002723693848,2360.020175933838,5043.440380096436,4665.480331420898,5279.680416107178
CAR(12:0),1710.3201026916504,1671.8601303100586,1974.160144805908,1869.120128631592,1540.7201118469238,1970.420150756836,2089.280166625977,2275.1001892089844
CAR(12:0)_QUAL,3343.880226135254,2690.300170898437,4647.280326843262,3616.0802421569824,2366.8601722717285,4845.880352020264,4238.80029296875,4580.680324554443
CAR(14:0),2128.9601669311523,2138.320171356201,2935.600204467773,2706.2602005004883,1995.4201316833496,2439.220169067383,2513.64017868042,2524.480182647705
CAR(14:0)_QUAL,5522.320407867432,4207.580333709717,8759.020622253418,6038.120456695557,3393.4602432250977,7529.900581359863,7802.920669555664,8388.960525512695
CAR(14:1),2185.860145568848,2163.600154876709,2269.400154113769,2514.2601737976074,1869.300136566162,2310.060157775879,2349.1601638793945,2575.6001777648926
CAR(14:1)_QUAL,4601.700336456299,4431.140281677246,8566.240615844727,5965.080406188965,3414.400257110596,7693.740501403809,7311.340591430664,7821.260566711426
CAR(14:2),3130.2002449035645,2801.0202293396,5129.980354309082,3784.1402702331534,2508.720184326172,4118.480285644531,4432.740314483643,4698.90030670166
CAR(14:2)_QUAL,52433.423583984375,44321.98294067383,103665.9877319336,62098.08441162109,35312.24249267578,77973.94537353516,84386.845703125,93783.54663085938
CAR(16:0),2460.660167694092,2631.700206756592,3576.720241546631,2691.920181274414,2025.660140991211,3241.8802223205566,2834.100185394287,3368.520221710205
CAR(16:0)_QUAL,4344.620315551758,3650.740257263184,7294.520469665527,5058.500354766846,3533.4002227783203,6461.580436706543,6075.060436248779,7199.6605224609375
CAR(16:1),1958.7801361083984,2011.7601585388184,2366.3801612854004,2093.040153503418,1758.9401168823242,2051.640125274658,2344.460178375244,2376.400161743164
CAR(16:1)_QUAL,5912.940441131592,4842.860385894775,10138.320751190186,6586.320465087891,3924.6802711486816,12480.160873413086,8538.260593414307,9331.640617370604
CAR(16:2),2089.5401573181152,2191.2001724243164,3101.1802253723145,2836.2602195739746,1942.9801406860352,2516.740177154541,2580.380184173584,3111.400215148926
CAR(16:2)_QUAL,2888.5002212524414,2414.200164794922,4120.200290679932,2915.220226287842,2251.880157470703,4361.220310211182,3785.120265960693,3741.320236206055
CAR(17:0),3096.440200805664,2518.240188598633,4507.420330047607,3148.700252532959,2054.1601524353027,3510.6202697753906,3703.080238342285,4191.720287322998
CAR(17:0)_QUAL,6794.740501403809,5169.180362701416,11420.220840454102,7304.7404861450195,4312.360294342041,9461.260692596436,10135.780708312988,11151.20086669922
CAR(18:0),2665.7601928710938,1911.820140838623,3432.740261077881,2919.960216522217,2092.06014251709,2822.620204925537,3448.080238342285,3207.3602333068848
CAR(18:0)_QUAL,4244.460273742676,3896.9802856445312,6956.720470428467,4675.560329437256,3243.7602462768555,6312.540435791016,6302.480411529541,6718.620468139648
CAR(18:1),2868.020217895508,2130.1201515197754,3592.2802734375,2652.660186767578,1832.5201263427732,2594.3601722717285,3294.260208129883,3853.88028717041
CAR(18:1)_QUAL,3788.6002769470215,3456.6802673339844,6222.280448913574,4786.6403884887695,3129.720199584961,5372.22034072876,5542.600368499756,5220.380367279053
CAR(18:2),3379.780227661133,3379.2602577209477,4826.000358581543,3476.12020111084,2233.7001609802246,3928.340286254883,3654.6202812194815,4550.52029800415
CAR(18:2)_QUAL,3561.540252685547,2936.640182495117,4953.560348510742,3809.380279541016,2589.880184173584,4073.180274963379,4693.660339355469,4502.820289611816
CAR(18:3),2598.8201866149902,2351.260154724121,3749.3202590942383,2605.680160522461,1947.360134124756,3335.0202445983887,3208.800201416016,3722.3802757263184
CAR(18:3)_QUAL,4596.940288543701,3532.7002296447754,7055.160491943359,4998.500354766846,3035.280227661133,6024.380416870117,5681.100414276123,6968.86051940918
CAR(18:4),3352.960231781006,3042.740219116211,5655.640380859375,4081.560291290283,2626.680191040039,4749.260341644287,5369.120391845703,4952.120330810547
CAR(18:4)_QUAL,4398.160350799561,4087.84024810791,7925.360488891602,4890.380336761475,3150.5402297973637,5252.480438232422,6342.140502929688,6530.64045715332
CAR(20:0),2482.900188446045,2081.120147705078,2778.9801864624023,2009.000144958496,1534.5401000976562,2231.3801651000977,2205.5401725769043,2740.240177154541
CAR(20:0)_QUAL,5956.480419158936,4985.000343322754,10488.56069946289,7405.740455627441,4146.400295257568,8061.100540161133,9378.640712738035,10130.760688781738
CAR(20:1),3327.3402366638184,3256.180221557617,4166.900352478027,3472.2002334594727,2478.1601905822754,3467.500244140625,3366.260227203369,4251.600330352783
CAR(20:1)_QUAL,2960.9002075195312,2481.2601737976074,4220.94030380249,3354.5002517700195,2001.5001373291016,3533.440269470215,3680.740261077881,3639.460250854492
CAR(20:2),4833.080337524414,5251.900352478027,8560.0806350708,5423.540374755859,3080.060214996338,6740.860412597656,6784.920478820801,8216.84061050415
CAR(20:2)_QUAL,3338.100238800049,3132.5802268981934,5219.000392913818,3900.5002975463863,2709.1401863098145,4866.240367889404,4215.140327453613,4970.000339508057
CAR(20:4),2202.8601570129395,2005.0601348876955,2594.800178527832,2063.7801475524902,1615.6801223754885,2286.22017288208,2420.7601737976074,2714.680187225342
CAR(20:4)_QUAL,3186.660217285156,3013.060199737549,4761.540370941162,3791.340259552002,2436.060165405273,3698.000247955322,4033.840305328369,4831.140350341797
CAR(22:0),4130.300258636475,3083.040241241455,5922.580463409424,3316.820240020752,2181.7401580810547,3709.900276184082,4610.280277252197,6012.120449066162
CAR(22:0)_QUAL,3855.620273590088,4052.9402770996094,6631.820449829102,4554.400310516357,2950.480197906494,5330.600364685059,5514.040355682373,6091.820404052734
CAR(22:2),3841.960266113281,3419.6002655029297,5991.520408630371,4569.820362091064,2996.520198822021,4953.640365600586,5397.640365600586,6028.260410308838
CAR(22:2)_QUAL,7396.840518951416,6150.840396881104,13037.78086090088,9233.020652770996,5679.040386199951,10666.92068862915,11903.380798339844,11808.520854949951
CAR(22:4),1954.2401428222656,1808.060111999512,2495.920181274414,2079.640151977539,1683.1401176452637,2035.860145568848,2614.1602058410645,2189.5001525878906
CAR(22:4)_QUAL,4037.480293273926,3686.6202545166016,6919.300498962402,4519.320350646973,2693.220199584961,5639.240406036377,6357.740463256836,7987.440643310547
CAR(22:5),1681.480110168457,1558.8001174926758,1814.180126190185,1940.5401420593264,1505.4801177978516,1762.7801322937012,1856.220142364502,1809.4201316833496
CAR(22:5)_QUAL,13547.660926818848,12880.180870056152,41218.98219299317,16905.98137664795,8957.640678405762,18387.401306152344,24103.241622924805,57278.40451049805
CAR(22:6),1934.460147857666,1920.7201347351076,2398.260181427002,2098.340160369873,1664.0801162719729,2181.1401596069336,2574.440196990967,2330.160179138184
CAR(22:6)_QUAL,4962.240352630615,4476.780300140381,8662.220649719238,5663.9204177856445,3646.1802711486816,7522.200508117676,7505.240566253662,9879.760772705078
CAR(26:0),6495.880439758301,6702.880439758301,11537.8408203125,8289.34056854248,4606.220306396484,9228.180675506592,9529.180763244629,11639.56088256836
CAR(26:0)_QUAL,5185.320365905762,4383.180320739746,8163.720573425293,5705.500396728516,3846.940269470215,6967.940505981445,7288.48051071167,7775.180526733398
CAR(2:0),1907.780128479004,1597.900131225586,2430.3001861572266,1594.9401168823242,1606.260108947754,1838.980136871338,1899.2001419067385,1821.9001083374023
CAR(2:0)_QUAL,1803.6801223754885,1526.7001190185547,2010.360149383545,1637.280117034912,1475.4000854492188,1825.6401329040527,1874.1401329040527,1907.600128173828
CAR(3:0),1562.1401023864746,1507.1201133728027,1728.7001304626465,1596.5401000976562,1433.320087432861,1820.4401206970213,1612.5201148986816,1873.0601272583008
CAR(3:0)_QUAL,4373.480304718018,3759.900302886963,7266.360450744629,5018.100368499756,3551.7802696228027,5794.980369567871,5872.300426483154,6597.760459899902
CAR(3:1),2134.9601440429688,1833.180118560791,2433.2401695251465,2078.360134124756,1933.3401527404783,2590.4801712036133,3047.2001914978027,2717.740196228028
CAR(3:1)_QUAL,5497.800426483154,4413.740295410156,9103.760654449465,6272.640453338623,4172.320262908936,8208.240566253662,8401.300548553467,8305.460563659668
CAR(4:0),1601.7401123046875,1570.3001098632812,2007.9001388549805,1880.2801475524905,1515.4601097106934,2165.460159301758,2052.4601554870605,2048.2201499938965
CAR(4:0)_QUAL,2381.820152282715,2095.480167388916,3700.760272979736,2643.140190124512,2106.9601554870605,3195.9802169799805,3418.420207977295,3379.320209503174
CAR(4:1),8031.660530090332,6929.040512084961,13581.440971374512,8166.600589752197,5955.720443725586,11585.400825500488,11768.780849456787,12094.321029663086
CAR(4:1)_QUAL,2810.3401985168457,2262.0001525878906,3910.660316467285,3001.2202377319336,2353.100151062012,3751.580276489258,3304.4602394104004,3374.3202323913574
CAR(5:0),2446.020191192627,2219.4001388549805,3919.660278320313,3385.6602363586426,1848.6401290893557,3443.880207061768,3210.560234069824,3327.6802406311035
CAR(5:0)_QUAL,2777.920196533203,2170.2401580810547,4105.300296783447,2717.0001945495605,2311.2201385498047,3725.380302429199,4101.800308227539,4086.640277862549
CAR(5:1),1895.6801223754885,1983.880126953125,2538.64017868042,2100.380146026612,1723.9801177978516,2101.6001586914062,2068.040142059326,2762.100196838379
CAR(5:1)_QUAL,1990.0401496887207,1723.2601127624512,2610.820182800293,2411.3001556396484,1745.400119781494,2315.0801696777344,2405.1601600646973,2456.560173034668
CAR(6:0),1686.7201194763184,1495.720115661621,1741.6001319885254,1870.320140838623,1411.3601112365725,1671.8801231384275,1847.8601417541504,1897.0801315307615
CAR(6:0)_QUAL,2442.6001586914062,2279.380157470703,3381.160243988037,2814.660213470459,1781.5801315307615,2669.4802055358887,3004.8401794433594,3051.4202194213867
CAR(6:1),7371.380561828613,6077.340480804443,11038.300765991213,7398.940528869629,4452.440338134766,9679.540634155272,9851.520698547363,10186.940673828123
CAR(6:1)_QUAL,2439.0401763916016,2043.6201438903809,3322.8602294921875,2609.9001808166504,1903.040138244629,2858.6402168273926,2723.180191040039,4132.6002769470215
CAR(7:0),1619.2001304626465,1530.260108947754,1986.360134124756,1798.1201248168943,1502.8601150512695,2002.0001487731931,1822.920124053955,2289.340187072754
CAR(7:0)_QUAL,5425.960391998291,3819.4202613830566,8431.280578613281,6103.820449829102,3241.0402450561523,7227.900535583496,8288.12056350708,8324.000549316406
CAR(8:0),3387.80025100708,2793.300201416016,4908.160316467285,3727.200263977051,2582.380176544189,3881.9202919006343,4327.140319824219,4978.460357666016
CAR(8:0)_QUAL,2965.1402168273926,2520.520168304444,4368.420291900635,3098.660228729248,2096.4601516723637,3759.720245361328,3572.6002616882324,3901.180286407471
CAR(8:1),3289.340232849121,2820.8201942443848,4718.16028213501,3921.140266418457,2494.2601928710938,4665.340347290039,4615.06037902832,4859.720321655273
CAR(8:1)_QUAL,5331.820327758789,4228.580314636231,8286.520603179932,6466.54048538208,3252.080223083496,7967.080562591553,7398.700511932373,8880.240631103516
CAR(9:0),1829.08012008667,1484.840114593506,2107.14013671875,1810.9601211547847,1599.1400985717771,1937.200138092041,1733.5801277160645,2025.3001518249512
CAR(9:0)_QUAL,2881.3802032470703,2344.300178527832,4043.6602935791016,3168.3802185058594,2014.020156860352,3601.9002647399902,3510.800224304199,3773.100261688232
CAR_QUAL,2636.320205688477,1789.4201278686523,3109.340263366699,2335.980155944824,1834.680118560791,2635.040195465088,2598.2601890563965,3054.700206756592
CE(12:0),5177.480381011963,5105.680305480957,5116.200386047363,5130.30037689209,5224.900360107422,5306.160381317139,5201.0403175354,5336.760364532471
CE(14:0),5480.800365447998,5460.320373535156,5283.880348205566,5106.840320587158,5498.480361938477,5523.000392913818,5257.6403465271,5683.620410919189
CE(14:1),5077.940341949463,5239.600379943848,5218.100395202637,5040.800342559814,5194.560329437256,5389.880405426025,5068.480339050293,5200.740379333496
CE(15:0),5411.080352783203,5818.320392608643,5113.580375671387,5253.12036895752,5733.4603843688965,6047.120433807373,5427.30037689209,5989.06042098999
CE(15:1),6407.50044631958,6758.420478820801,5639.400394439697,5271.140369415283,7131.100494384766,6775.080493927002,5791.460376739502,9701.400703430176
CE(16:0),5296.000335693359,5909.320411682129,6037.440406799316,5750.160430908203,6585.600440979004,6786.480499267578,5684.280410766602,6948.780475616455
CE(16:1),5811.500419616699,6157.2004318237305,5858.900417327881,5613.840385437012,5928.10041809082,5895.340442657471,5813.28039932251,6539.640472412109
CE(16:2),5243.060352325439,5198.320358276367,5132.360397338867,5137.580341339111,5433.400379180908,5334.4003829956055,5133.780326843262,5294.200397491455
CE(16:3),5380.100353240967,5474.30037689209,5268.28039932251,5128.7403564453125,5233.860382080078,5507.600421905518,5208.520336151123,5395.600364685059
CE(17:0),5558.340362548828,5908.940437316895,5175.220367431641,5432.840404510498,5587.160381317139,6037.740440368652,5341.640350341797,5600.440399169922
CE(17:1),5323.600353240967,5310.860366821289,5232.240371704102,5202.780353546143,5521.760406494141,5548.340412139893,5189.480350494385,5238.000370025635
CE(18:1),8486.980575561523,8089.660606384277,8101.480606079102,8454.780601501465,7316.140506744385,9545.040702819824,7026.400497436523,9245.14066696167
CE(18:2),12010.580780029297,10359.660705566406,9949.70079421997,12558.00089263916,9056.620643615724,10913.62084197998,6821.140502929688,10865.20076751709
CE(18:3),5241.320373535156,5795.760406494141,5625.400428771973,6213.380451202393,5839.160400390625,5891.100399017334,5495.360374450684,5723.100421905518
CE(19:0),5612.640384674072,5717.040416717529,5377.520393371582,5419.540386199951,6036.100433349609,6417.820465087891,5347.660312652588,6771.140468597412
CE(20:0),5629.360397338867,6243.540420532227,5409.220397949219,5488.040374755859,6128.140430450439,6625.500480651856,5887.180393218994,6949.900527954102
CE(20:1),5145.720344543457,5303.160385131836,5136.700374603272,5327.360363006592,5418.860389709473,5446.940395355225,5177.620330810547,5389.840377807617
CE(20:3),5415.300369262695,5641.960346221924,5243.420398712158,5148.840351104736,5357.70036315918,5390.4603843688965,5192.100353240967,5558.180347442627
CE(20:4),10609.280780792236,9335.30058670044,6675.44051361084,6978.180469512939,6599.100448608398,6946.42053604126,6001.520401000977,7060.560493469238
CE(20:5),5510.220386505127,5469.46036529541,5237.240383148193,5215.740379333496,5605.960391998291,6014.48042678833,5160.700332641602,5888.720439910889
CE(22:0),5198.880332946777,5178.080348968506,5226.900363922119,5274.380382537842,5444.760391235352,5233.420413970947,5094.160335540772,5362.080375671387
CE(22:1),5319.360382080078,5486.480365753174,5228.640365600586,5371.460395812988,5641.320381164551,5788.100437164307,5352.060375213623,6073.560432434082
CE(22:2),5153.240352630615,5187.040378570557,5111.600395202637,5188.3803787231445,5311.260349273682,5527.300403594971,5255.88037109375,5397.120380401611
CE(22:3),5125.260364532471,5164.660346984863,5055.720375061035,5147.940361022949,5131.840354919434,5324.220409393311,5166.900318145752,5276.280364990234
CE(22:5),5346.640380859375,5682.460430145264,5224.560386657715,5683.500392913818,5220.320346832275,5779.32039642334,5390.180370330811,5666.320392608643
CE(22:6),8606.920528411865,9521.160682678224,7416.460548400879,7065.140483856201,6294.800441741943,8840.580657958984,7299.940486907959,8813.78056716919
CE(24:1),5217.360374450684,5290.420387268066,5180.440380096436,5191.780349731445,5386.560363769531,5304.18034362793,5149.200344085693,5470.740390777588
CE(46:3;O2),5118.440349578857,5069.060359954834,5063.960372924805,5081.540344238281,5118.720348358154,5104.08039855957,5092.280326843262,5096.020351409912
CE(48:3;O2),5072.560333251953,5109.440349578857,5056.96036529541,5080.900341033936,5087.660335540772,5129.000400543213,5140.50032043457,5116.6203536987305
CE(50:3;O2),5102.100353240967,5090.860363006592,5079.520366668701,5081.180347442627,5115.980312347412,5151.520370483398,5211.640327453613,5102.96036529541
CE(52:3;O2),5066.380355834961,5126.920372009277,5075.300346374512,5100.740352630615,5168.22034072876,5211.460346221924,5130.44034576416,5187.700366973877
Cer(d12:0/14:0),1213.8800811767578,1080.060073852539,1256.54008102417,1229.8800964355469,1083.060073852539,1108.400089263916,1227.7800788879397,1175.8400802612305
"Cer(d14:2(4E,6E)/16:0)",1071.1000785827637,1073.4200820922852,1145.660083770752,1139.4800910949707,1074.2400817871094,1120.6000785827637,1148.6000709533691,1150.5800666809082
"Cer(d14:2(4E,6E)/18:1(9Z))",1102.0600814819336,1072.680076599121,1223.5800857543943,1176.2600860595703,1074.4400749206543,1070.0400772094729,1075.1800689697266,1115.360080718994
"Cer(d14:2(4E,6E)/20:1(11Z))",1071.020076751709,1072.2800827026367,1205.1200790405271,1121.320083618164,1073.9200706481934,1100.960075378418,1138.380084991455,1153.9800758361816
Cer(d15:1/16:0),1147.3200721740725,1122.1800842285156,1235.5400848388672,1121.940086364746,1111.1600723266602,1074.900074005127,1174.0800895690918,1165.6800842285156
"Cer(d15:2(4E,6E)/20:0)",1260.6200942993164,1202.160083770752,1383.8800926208496,1131.780086517334,1084.0200729370115,1162.4600830078125,1527.1001052856443,1406.6200904846191
"Cer(d15:2(4E,6E)/22:0)",1156.640079498291,1132.2400741577148,1260.5200691223145,1178.6200981140137,1105.8800621032717,1069.6800842285156,1104.280071258545,1208.300075531006
Cer(d16:1/17:0),1135.1200790405271,1094.9600791931152,1138.54008102417,1091.580078125,1074.320068359375,1137.7800788879397,1099.9800720214844,1170.3200721740725
Cer(d16:1/23:0),1071.560073852539,1126.8400802612305,1123.340087890625,1181.6200790405271,1161.920078277588,1079.9200859069824,1080.9400634765625,1145.500072479248
Cer(d18:0/13:0),1071.2400817871094,1177.0600852966309,1120.3400764465332,1259.6400871276855,1079.5600662231443,1103.6400756835938,1104.1200675964355,1172.7000846862793
Cer(d18:0/14:0),1119.0000801086426,1127.140079498291,1266.6400871276855,1218.2200965881348,1085.5000801086426,1123.3000793457031,1111.740077972412,1124.9400825500488
Cer(d18:0/15:0),1195.8200759887695,1072.12007522583,1106.3400840759275,1127.7400932312012,1108.5000801086426,1069.780071258545,1101.520076751709,1165.3800735473633
Cer(d18:0/16:0),1219.5000915527344,1136.960075378418,1245.8200912475586,1126.4200820922852,1088.9400825500488,1096.7200775146484,1205.060089111328,1188.0800819396973
Cer(d18:0/17:0),1071.820083618164,1072.4200630187988,1254.0800971984863,1226.6600914001465,1139.8200798034668,1069.880084991455,1143.7800827026367,1153.140079498291
Cer(d18:0/18:0),1137.020076751709,1198.3400840759275,1128.6200675964355,1209.2000846862793,1120.4000816345217,1097.2800827026367,1135.7600746154783,1188.7000694274902
Cer(d18:0/19:0),1087.1400718688965,1138.5400733947754,1117.1200790405271,1155.460090637207,1074.060073852539,1069.680076599121,1088.940086364746,1104.2200775146484
Cer(d18:0/20:0),1107.840068817139,1135.640079498291,1220.2600784301758,1361.0401039123535,1074.400074005127,1135.0200843811035,1173.260082244873,1265.4000968933103
Cer(d18:0/21:0),1373.5600929260254,1857.8201293945312,1458.1800918579102,1547.1401329040527,1453.7201042175293,1205.5800895690918,1568.3400993347168,1883.2601318359373
Cer(d18:0/22:0),1217.8600845336914,1416.7200965881348,1348.7000923156738,1356.900089263916,1404.3801040649414,1258.6601028442385,1269.420078277588,1147.5200843811035
Cer(d18:0/23:0),1130.4800758361816,1401.6200942993164,1127.6600723266602,1360.7200889587402,1143.860080718994,1173.4800910949707,1264.4200973510742,1190.9400825500488
Cer(d18:0/24:0),1225.9800872802734,1307.2000923156738,1168.380084991455,1226.4000816345217,1090.6400718688965,1107.680088043213,1158.9800872802734,1248.3000831604004
Cer(d18:0/25:0),1227.3000831604004,1260.7800903320312,1382.6601104736328,1413.1001091003418,1177.6800651550293,1306.6400833129885,1554.440113067627,1246.8400802612305
Cer(d18:0/26:0),1150.220085144043,1239.0400886535645,1141.9600830078125,1318.0200843811035,1074.2600746154783,1113.4000816345217,1303.6800918579102,1153.4800834655762
Cer(d18:0/27:0),1146.0800857543943,1112.300064086914,1188.360088348389,1090.8000793457031,1139.720085144043,1068.62007522583,1074.560073852539,1245.8400840759275
Cer(d18:0/29:0),1071.7200775146484,1168.1600799560547,1136.1200790405271,1192.300090789795,1110.560073852539,1102.3800773620603,1163.4600830078125,1117.480068206787
Cer(d18:0/30:0),1071.1200790405271,1072.520076751709,1072.7000770568848,1103.0400733947754,1198.820083618164,1091.0000801086426,1164.100082397461,1076.0800743103027
Cer(d18:0/31:0),1123.8000831604004,1154.0400848388672,1091.680076599121,1191.320087432861,1073.9200706481934,1069.7800788879397,1198.2200775146484,1241.7400741577148
Cer(d18:0/32:0),1092.5600776672363,1095.140079498291,1073.740077972412,1118.500087738037,1104.9000701904297,1069.440071105957,1214.9400825500488,1075.9600677490234
Cer(d18:0/h17:0),1071.3000717163086,1185.2000999450684,1115.9800834655762,1089.9600791931152,1074.3800621032717,1173.1000862121582,1075.600067138672,1075.6000862121582
Cer(d18:0/h24:0),1195.7200927734375,1078.3400802612305,1110.8800735473633,1078.9200820922852,1150.4800834655762,1073.3600616455078,1161.4600791931152,1118.280071258545
Cer(d18:0/h26:0),1073.2000885009766,1118.2000732421875,1109.280071258545,1097.7800827026367,1093.6000900268557,1070.0000762939453,1130.040069580078,1081.6000709533691
Cer(d18:1/12:0),1197.820083618164,1119.760082244873,1182.8800773620603,1105.000072479248,1111.7600746154783,1165.9400825500488,1097.3200759887695,1106.1600799560547
Cer(d18:1/14:0),1094.400074005127,1154.1200790405271,1159.9800758361816,1318.4200897216797,1089.1200790405271,1176.1800804138184,1216.7200927734375,1247.920078277588
Cer(d18:1/16:0),3514.3602981567383,3455.6202354431152,4311.080299377441,4436.560222625732,2305.2001457214355,3401.120319366455,1756.9001159667969,3508.460247039795
Cer(d18:1/17:0),1171.6200828552246,1150.7400703430176,1320.2800903320312,1272.2000885009766,1175.460075378418,1173.0600776672363,1202.300067901611,1240.220085144043
Cer(d18:1/18:0),1454.080108642578,1514.4001121520996,1757.9401206970217,1405.2800903320312,1228.4200859069824,1278.0800971984863,1575.5401077270508,1397.8800811767578
Cer(d18:1/18:1(9Z)),1179.6800804138184,1155.080078125,1252.600082397461,1568.300121307373,1121.9400825500488,1097.5600776672363,1181.2200889587402,1217.4000778198242
Cer(d18:1/19:0),1123.04008102417,1095.7200813293457,1089.340068817139,1182.3000946044922,1113.720085144043,1226.1400909423828,1155.5000762939453,1096.9600830078125
Cer(d18:1/20:0),1400.2401084899902,2765.1802253723145,2316.880168914795,1846.060131072998,1315.360092163086,1327.1000900268557,1357.700096130371,2079.6001319885254
Cer(d18:1/22:0),7063.000450134277,18695.640758514404,6144.720539093018,10847.000900268557,3779.940250396729,4694.4003829956055,5865.660507202148,7339.24040222168
Cer(d18:1/23:0),2885.2602195739746,4288.920223236084,2029.1001358032229,3358.6202087402344,2503.440158843994,1843.6001205444336,1928.280117034912,2573.8001594543457
Cer(d18:1/24:0),5899.620471954346,10714.060653686523,5335.440414428711,9608.140769958496,3960.7802658081055,4206.960235595703,3733.140190124512,5355.700378417969
Cer(d18:1/24:1(15Z)),8760.400646209717,18286.44095993042,7030.960594177246,14916.581203460692,5685.040500640869,5054.220352172852,5264.860286712647,8995.56037902832
Cer(d18:1/25:0),1317.1800994873047,1611.9601211547852,1577.3601188659668,1580.4001159667969,1163.5200843811035,1212.5400848388672,1259.2000885009766,1367.6600914001465
Cer(d18:1/26:0),1196.4000816345217,1241.1800842285156,1187.5600814819336,1300.0600929260254,1122.62007522583,1212.1000938415527,1347.3000946044922,1242.5800895690918
Cer(d18:1/26:1(17Z)),1167.1600914001465,1134.3000717163086,1135.5600814819336,1282.740089416504,1099.1000747680664,1118.7000885009766,1137.600082397461,1221.6800918579102
Cer(d18:1/27:0),1085.8400802612305,1095.4400787353516,1091.8800811767578,1146.7600860595703,1074.0800704956057,1102.080093383789,1105.5600814819336,1155.2600746154783
Cer(d18:1/28:0),1124.9800758361816,1203.8400917053225,1221.000087738037,1087.1000900268557,1115.04008102417,1192.720085144043,1175.2400856018066,1249.300090789795
Cer(d18:1/29:0),1103.3400764465332,1119.8600769042969,1088.7000732421875,1101.340087890625,1074.0000839233398,1069.7200736999512,1107.2800674438477,1106.400074005127
Cer(d18:1/2:0),1158.6400871276855,1133.0600776672363,1142.100067138672,1422.780101776123,1203.1600875854492,1167.4200820922852,1229.8600730895996,1142.400074005127
Cer(d18:1/30:0),1104.280086517334,1072.8800811767578,1127.4800758361816,1070.0600776672363,1086.4400787353516,1069.4600830078125,1105.1000785827637,1076.0200653076172
